־אי	a i
עוגה	u ɡ a
עוגות	u ɡ o t
עוגייה	u ɡ i j a
עוד	o d
עוה	i v a
עוון	a v o n
עול	o l
עולם	o l a m
עומר	o m e r
עונה	o n a
עונש	o n e ʃ
עוף	o f
עופר	o f e ʁ
עור	o ʁ
עורב	o ʁ e v
עז	e z
עזה	a z a
עזזיהו	a z a z j a h u
עזיז	a z i z
עזרה	e z ʁ a
עט	e t
עטור	a t u ʁ
עטיפה	a t i f a
עטן	a t a n
עטר	a t a r
עטרה	a t a ʁ a
עיבר	i b e ʁ
עיוור	i v e ʁ
עיון	i j u n
עיט	a j i t
עיטור	i t u ʁ
עיין	i j e n
עייף	a j a f
עייפות	a j e f u t
עיכול	i k u l
עיכל	i k e l
עין	a j i n
עינוי	i n u j
עיניים	e j n a j i m
עיפרון	ʔ i p a ʁ o n
עיפש	i p e ʃ
עיצור	i t͡s u ʁ
עיר	i ʁ
עירר	e ʁ e ʁ
עיתונאות	i t o n a u t
עכביש	a k a v i ʃ
עכבישים	a k a v i ʃ i m
עכבר	a χ b a ʁ
עכו	a k o
עכוז	a k u z
עכשיו	a χ ʃ a v
על	a l
עלה	a l a
עלוב	a l u v
עלול	a l u l
עלוקה	a l u k a
עלינו	a l e i n u
עלמה	a l m a
עם	a m
עמד	a m a d
עמוק	a m o k
עמורה	a m o j r ɔ
עמנואל	i m a n u e l
עמק	e m e k
עמ׳	a m u d
ענבל	i n b a l
עני	a n i
ענן	a n a n
ענף	a n a f
עף	a f
עפולה	a f u l a
עפר	a f a ʁ
עפרונות	ʔ e f ʁ o n o t
עפ״י	a p i
עץ	e j t͡s
עצב	a t͡s a v
עצומה	a t͡s u m a
עצים	e t͡s i m
עצלן	a t͡s l a n
עצם	e t͡s e m
עצמאות	a t͡s m a u t
עקב	a k a v
עקעק	a k a k
עקרב	a k ʁ a b
עקרבים	a k ʁ a b i m
עקרון	e k ʁ o n
עקשן	a k ʃ a n
ערב	e ʁ e v
ערבב	i ʁ b e v
ערבית	a ʁ a v i t
ערוה	e ʁ v a
ערום	a ʁ u m
ערוץ	a ʁ u t͡s
ערירי	a ʁ i ʁ i
ערך	a r a χ
ערכאה	a ʁ k a a
ערמון	a r m o n
ערס	a ʁ s
ערפל	a ʁ a f e l
ערש	e ʁ e s
עש	a ʃ
עשב	e s e v
עשה	a s a
עשור	a s o ʁ
עשים	a ʃ i m
עשיר	a ʃ i ʁ
עשר	a s a ʁ
עשרה	a s a ʁ a
עת	e t
עתיד	a t i d
פאה	p e a
פברק	f i b ʁ e k
פגר	p e ɡ e ʀ
פגרה	p a ɡ ʀ a
פדחת	p a d a χ a t
פדרציה	f e d e ʁ a t͡s j a
פהה	p a h a
פוח	p u a χ
פוטיפר	p o t i f a ʁ
פויה	f u j a
פולמוס	p o l m o s
פולקלור	f o l k l o r
פומלה	p o m e l a
פונדק	p u n d a k
פופאי	p o p a j
פופולרי	p o p u l a ʁ i
פורים	p u r i m
פושט	p o ʃ e t
פח	p a χ
פחד	p a χ a d
פחדן	p a χ d a n
פחה	p e χ a
פחם	p e χ a m
פטל	p e t e l
פטמה	p i t m a
פי	p i
פיג׳י	f i d͡ʒ i
פיג׳מה	p i d͡ʒ a m a
פיזי	f i z i
פיטאיה	p i t a j a
פיטן	p a j t a n
פילוסוף	f i l o s o f
פילל	p i l e l
פין	p i n
פינוי	p i n u j
פינטז	f i n t e z
פינקוושינג	p i n k v a ʃ i n ɡ
פיסח	p i s e a χ
פיצה	p i t͡s a
פיצוץ	p i t͡s u t͡s
פירק	p e ʁ e k
פירש	p e ʁ e ʃ
פישון	p i ʃ o n
פישט	p i ʃ e t
פיתח	p i t e a χ
פך	p a χ
פלאו	p a l a u
פלונטר	p l o n t e r
פלזמה	p l a z m a
פלטינה	p l a t i n a
פליט	p a l i t
פלני	p l o n i
פלסטין	f a l a s t i n
פלפל	p i l p e l
פלרטט	f l i ʁ t e t
פלשבק	f l e ʃ b e k
פלשת	p a l a ʃ t
פלשתינה	f a l e s t i n a
פמיניזם	f e m i n i z e m
פן	f e n
פנייה	p n i j a
פנמה	p a n a m a
פנס	p a n a s
פסול	p a s u l
פסולת	p s o l e t
פסוקית	p s u k i t
פסח	p a s a χ
פסחא	p a s χ a
פסטורלי	p a s t o ʁ a l i
פסיפלורה	p a s i f l o ʁ a
פסיפלורות	p a s i f l o ʁ o t
פסיפס	p s e f a s
פסנתר	p s a n t e ʁ
פעם	p a a m
פעמון	p a a m o n
פענח	p i a n e a χ
פער	p a a r
פצע	p e t͡s a
פצעון	p i t͡s o n
פצצה	p t͡s a t͡s a
פקודה	p k u d a
פקיד	p a k i d
פקיסטן	p a k i s t a n
פק״ל	p a k a l
פרא	p e ʁ e
פראייר	f ʁ a j e ʁ
פרגוואי	p a ʁ a ɡ w a j
פרגון	f i ʁ ɡ u n
פרגן	f i ʁ ɡ e n
פרדיגמה	p a ʁ a d i ɡ m a
פרדס	p a r d e s
פרה	p a ʁ a
פרו	p e ʁ u
פרוה	p a ʁ v a
פרוטקציה	p ʁ o t e k t͡s j a
פרור	p a ʁ u ʁ
פרותי	p a ʁ v a t i
פרחים	p ə r aː ħ iː m
פרי	p ə r i
פרידה	p ʁ e d a
פריט	p ʁ i t
פרכיל	p a ʁ k i l
פרנסה	p a ʁ n a s a
פרסה	p a r s a
פרסי	p a ʁ s i
פרסית	p a ʁ s i t
פרעה	p a r ʕ o
פרעוש	p a ʁ ʔ o ʃ
פרצוף	p a r sˤ u f
פשט	p a ʃ a t
פשטות	p a ʃ t u t
פשטידה	p a ʃ t i d a
פשיזם	f a ʃ i z e m
פשלה	f a ʃ l a
פשע	p e ʃ a
פשר	p e ʃ a r
פשתה	p i ʃ t a
פשתן	p i ʃ t a n
פשתני	p i ʃ t a n i
פת	p a t
פתגם	p i t ɡ a m
פתוח	p a t u a χ
פתן	p e t e n
פתרון	p i t a ʁ o n
פתרוס	p a θ r oː s
צאל	sˤ ă ʔ e l
צאלון	sˤ ɛ ʔ ɛ l o n
צאן	sˤ o n
צאצא	t͡s e e t͡s a
צב	t͡s a v
צבא	sˤ aː b aː ʔ
צבאות	sˤ a v ɔː ʔ oː o θ
צבאי	sˤ a b a ʔ iː
צבי	sˤ e b i
צבע	t͡s e v a
צבעוני	t͡s i v o n i
צד	t͡s a d
צדיק	sˤ a d d i q
צדע	sˤ æː ð æ ʕ
צדק	s e d e k
צדקה	sˤ ă ð ɔ q ɔ
צהוב	t͡s a h o v
צהריים	t͡s a a ʁ a j i m
צואה	t͡s o a
צוואר	t͡s a v a ʁ
צווארון	t͡s a v a ʁ o n
צומת	t͡s o m e t
צופר	t͡s o f a ʁ
צוק	t͡s u k
צור	t͡s u ʁ
צחוק	s e h o ɢ
צחנה	sˤ a ħ n aː
צחצח	t͡s i χ t͡s e a χ
צחק	s a χ a k
צחקק	t͡s i χ k e k
צי	t͡s i
ציאן	t͡s i a n
ציבור	sˤ i b b u ʀ
ציד	t͡s a i d
ציווה	t͡s i v a
ציון	t͡s i j o n
צייד	t͡s a j a d
צייר	t͡s a j a ʁ
צילם	t͡s i l e m
צימוקים	s i m u k i m
צינגלה	t͡s i n ɡ a l e
ציפה	t͡s i f a
ציפור	t͡s i p o ʁ
ציפורה	t͡s i p o ʁ a
ציפורן	t͡s i p o ʁ e n
ציצית	t͡s i t͡s i t
צירוף	t͡s e ʁ u f
צירף	t͡s e ʁ e f
צל	sˤ e l
צלב	t͡s a l a v
צלה	t͡s a l a
צלוליט	t͡s e l u l i t
צלחת	t͡s a l a χ a t
צלם	t͡s e l e m
צלע	t͡s e l a
צלקת	t͡s a l e k e t
צם	s ɒ m
צמח	s ɛ m a ħ
צמיג	t͡s a m i ɡ
צמר	t͡s e m e ʁ
צנובר	t͡s n o b a ʁ
צנום	t s a n u m
צנון	t s n o n
צנח	t͡s a n a χ
צנים	t s n i m
צניעות	sˤ ă n i ʕ u θ
צעיף	t͡s a i f
צעק	t͡s a a k
צער	t͡s a a ʁ
צפה	t͡s a f a
צפון	sˤ aː p oː n
צפוף	t͡s a f u f
צפורה	t͡s i p o ʁ a
צפן	t͡s a f a n
צפצפה	t͡s a f t͡s a f a
צפרדע	t͡s f a ʁ d e a
צפת	sˤ ə ɸ a θ
צר	t͡s a ʁ
צרח	t͡s a ʁ a χ
צרי	sˤ ɔ̆ r iː
צריום	t͡s e r j u m
צריך	s a r i x
צרכן	t͡s a ʁ χ a n
צרעה	t͡s i ʁ a
צרעת	t͡s a ʁ a a t
צרפת	sˤ a r f a t
צרפתית	t͡s a ʁ f a t i t
צ׳וצ׳ה	t͡ʃ u t͡ʃ a
צ׳חלה	t͡ʃ a χ l a
צ׳חלות	t͡ʃ a χ l o t
צ׳חלת	t͡ʃ a χ l a t
צ׳ילה	t͡ʃ i l e
צ׳ק	t͡ʃ e k
קבוט	k a v u t
קבוצה	k v u t͡s a
קבלה	k a b a l a
קבר	k a v a ʁ
קדום	k a d u m
קדח	k a d a χ
קדם	q i d d eː m
קדמי	k i d m i
קדמיום	k a d m i j u m
קדקוד	k o d k o d
קדר	k e d a ʁ
קדשה	k e d e ʃ a
קדשנו	k a d ʃ e n u
קה	k a
קהילה	k e h i l a
קהיר	k a h i ʁ
קהל	k a h a l
קו	k a v
קובה	k u b a
קוד	k o d
קודש	k o d e ʃ
קווה־קווה	k w a k w a
קול	k o j l
קולומביה	k o l o m b j a
קולונל	k o l o n e l
קולונלים	k o l o n e l i m
קולורדו	k o l o ʁ a d o
קולנוע	k o l n o a
קולני	k o l a n i
קום	k u m
קומבינה	k o m b i n a
קומוניזם	k o m u n i z e m
קומוס	k o m o s
קומזיץ	k u m z i t͡s
קומי	k o m e
קומיס	k o m e s
קוממיות	k o m e m i j u t
קונסוליה	k o n s u l j a
קוסובו	k o s o v o
קוף	k o f
קופאי	k u p a j
קוץ	k o t͡s
קוקטייל	k o k t e l
קור	k o j r
קוראן	k u ʁ a n
קוריוז	k u ʁ j o z
קורנס	k u ʁ n a s
קושש	k o ʃ e ʃ
קח	k a χ
קטון	k a t o n
קטטה	k t a t a
קטל	k a t a l
קטלאנית	k a t a l a n i t
קטמון	k a t a m o n
קטן	k a t a n
קטנטן	k t a n t a n
קיבה	k e j v a
קיבוץ	q i b b u sˤ
קיווי	k i v i
קיטר	k i t e ʁ
קיים	k a j a m
קין	k a j i n
קינא	k i n e
קינמון	k i n a m o n
קיץ	k a j i t s
קיצוץ	k i t͡s u t͡s
קיצץ	k i t͡s e t͡s
קיקיון	k i k a j o n
קיריבטי	k i ʁ i b a t i
קישקע	k i ʃ k e
קל	k a l
קלה	k a l a
קלט	k a l a t
קליד	k l i d
קליל	k a l i l
קליפורניה	k a l i f o ʁ n j a
קלל	k a l a l
קלמנטינה	k l e m e n t i n a
קלמנטינות	k l e m e n t i n o t
קם	k a m
קמבריה	k a m b ʁ i j a
קמח	k e m a χ
קמין	k a m i n
קמיצה	k m i t͡s a
קמצן	k a m t͡s a n
קמ״ש	k a m a ʃ
קן	k e j n
קנגורו	k e n ɡ u ʁ u
קנדה	k a n a d a
קנה	k a n a
קנום	k a n o m
קניון	k a n j o n
קנייה	k n i j a
קעקע	k a a k a
קערה	k e a ʁ a
קפא	k a f a
קפוא	k a f u
קפץ	k a f a t͡s
קפריסין	k a f ʁ i s i n
קץ	k e t͡s
קצה	k a t͡s e
קצוץ	k a t͡s u t͡s
קציר	k a t͡s i ʁ
קצף	k a t͡s a f
קצץ	k a t͡s a t͡s
קצר	k a t͡s a ʁ
קר	k a r
קרא	k a r a
קרבן	k o ʁ b a n
קרה	k a r a
קרוב	k a ʁ o v
קרח	k e ʁ a χ
קריא	k a ʁ i
קריזה	k r i z a
קרינה	k ʁ i n a
קריר	k a ʁ i ʁ
קרמבולה	k a ʁ a m b o l a
קרמבולות	k a ʁ a m b o l o t
קרע	k a r a ŋ
קרקע	k a ʁ k a
קש	k a ʃ
קשה	k a ʃ e
קשישא	k ʃ i ʃ ɑ
קשישה	k ʃ i ʃ a
קשקשת	k a s k e s e t
קשר	k a ʃ a ʁ
קשת	k a ʃ a t
ראה	r ɔ ʔ ɔ
ראם	ʁ e e m
ראש	r o ʃ
ראשון	ʁ i ʃ o n
ראשית	ʁ e ʃ i t
רב	r a b
רבץ	ʁ a v a t͡s
רבקה	r i b q a
רגל	r a ʁ a l
רגם	r a ɡ a m
רגע	ʁ e ɡ a
רגש	ʁ e ɡ e ʃ
רגשי	ʁ i ɡ ʃ i
רדה	ʁ a d a
רוב	ʀ o v
רודזיה	ʁ o d e z j a
רודיום	r o d j u m
רווק	ʁ a v a k
רווקה	ʁ a v a k a
רוח	r u a ħ
רוחב	r o j χ a v
רומח	ʁ o m a χ
רומניה	ʁ o m a n j a
רומנית	ʁ o m a n i t
רוע	r o a
רוצות	ʁ o t s o t
רוצים	ʁ o t s i m
רוק	r a w w aː q
רוקה	r a w w aː q aː
רושם	r e j ʃ ɛ m
רחב	ʁ a χ a v
רחבעם	r ă ħ a v ʕ ɔː m
רחוב	r ə ħ oː v
רחוק	r aː ħ oː q
רחל	r aː ħ i l
רחץ	ʁ a χ a t͡s
רטוב	ʁ a t o v
ריאה	ʁ e a
ריב	ʁ i v
ריבה	ʁ i b a
ריבונות	ʁ i b o n u t
ריח	ʁ e a χ
ריכל	ʁ i χ e l
רימון	ʁ i m o n
ריפוד	r i p u d
ריק	ʁ e k
ריקע	r i k e a
ריקשה	ʁ i k ʃ a
רישות	ʁ i ʃ u t
רך	ʁ a χ
רכב	r e χ e v
רכוש	ʁ e χ u ʃ
רכזת	ʁ a k e z e t
רכש	r ɛ χ ɛ ʃ
רמונים	ʁ i m o n i m
רמזור	ʁ a m z o ʁ
רננה	r e n a n a
רננות	r e n a n o t
רננת	r i n e n a t
רסיס	ʁ e s i s
רע	r a ŋ
רעב	ʁ a a v
רעה	r a a
רעיון	ʁ a a j o n
רעל	ʁ a a l
רעש	r a a ʃ
רפא	ʁ a f a
רפאל	ʁ a f a e l
רפיח	ʁ a f i a χ
רפת	ʁ e f e t
רץ	ʁ a t͡s
רצה	r ɔː s̴ ɔː
רצח	ʁ a t͡s a χ
רציף	ʁ e t͡s i f
רציתי	ʁ a t s i t i
רצף	ʁ e t͡s e f
רצפט	ʁ e t͡s e p t
רק	r a q
רקה	ʁ a k a
רקיע	r a k i a
רקמת	ʁ a k e m e t
רקע	r a k a
רשם	r a ʃ a m
רשת	ʁ e ʃ e t
רתח	ʁ a t a χ
ר״מ	r a m
ש־	ʃ e
שאב	ʃ a a v
שאול	ʃ a u l
שאל	ʃ a a l
שאלה	ʃ e e l a
שאלון	ʃ e e j l o n
שאפה	ʃ a a f a
שבוע	ʃ a v u a
שבועה	ʃ v u a
שבור	ʃ a v u ʁ
שבט	ʃ e v a t
שביט	ʃ a v i t
שביל	ʃ v i l
שבלול	ʃ a b l u l
שבע	ʃ a b ʕ
שבעה	ʃ i b ŋ a
שבת	ʃ a b a t
שגיאה	ʃ ɡ i a
שגל	ʃ a ɡ a l
שד	ʃ a d
שדה	s a d e
שדר	ʃ a d a ʁ
שדרן	ʃ a d ʁ a n
שהר	s a a r
שוב	ʃ u v
שובל	ʃ o v a l
שווא	ʃ v a
שוודיה	ʃ v e d j a
שווה	ʃ a v e
שוחד	ʃ o χ a d
שוחה	ʃ u χ a
שוטף	ʃ o j t e j f
שוטר	ʃ o t e ʁ
שולחן	ʃ u l ħ aː n
שומן	ʃ u m a n
שומני	ʃ u m a n i
שומר	ʃ o j m e j r
שונא	s o n e
שוני	ʃ o n i
שועל	ʃ u a l
שוף	ʃ u f
שופכה	ʃ o f χ a
שופכן	ʃ o f χ a n
שוק	ʃ u k
שוקולד	ʃ o k o l a d
שור	ʃ o ʁ
שורש	ʃ o ʁ e ʃ
שושן	ʃ o ʃ a n
שזף	ʃ a z a f
שחיה	s χ i j a
שחיטה	ʃ ă ħ i tˤ ɔ
שחל	ʃ a ħ a l
שחמט	ʃ a χ m a t
שחק	s a ħ a k
שחר	ʃ a ħ a r
שט	ʃ a t
שטוח	ʃ a t u a χ
שטח	ʃ a t a χ
שטיח	ʃ a t i a χ
שטן	s a t a n
שטף	ʃ e t e f
שיבה	s e v a
שיבולת	ʃ i b o l e t
שידור	ʃ i d u ʁ
שיווק	ʃ i v e k
שיח	s i a χ
שיחה	s i χ a
שיחי׳	ʃ e j i χ j e
שיטה	ʃ i t a
שייר	ʃ e j a r
שיכנע	ʃ i χ n e a
שילם	ʃ i l e m
שימש	ʃ i m e ʃ
שינה	ʃ e n a
שיקר	ʃ i k e ʁ
שיר	ʃ i r
שירות	ʃ e ʁ u t
שישה	ʃ i ʃ a
שית	ʃ i t
שיתק	ʃ i t e k
שכב	ʃ a χ a v
שכבה	ʃ i χ v a
שכונה	ʃ χ u n a
שכח	ʃ a χ a χ
שכחן	ʃ a χ e χ a n
שכינה	ʃ χ i n a
שכיר	s a χ i ʁ
שכל	s e χ a l
שכלול	ʃ i χ l u l
שכם	ʃ χ e m
שלג	ʃ e l e ɡ
שלולית	ʃ l u l i t
שלום	ʃ a l o m
שלוף	ʃ a l u f
שלוש	ʃ a l o ʃ
שלושה	ʃ a l oː ʃ aː
שלטון	ʃ i l t o n
שלטוני	ʃ i l t o n i
שלילי	ʃ l i l i
שלך	ʃ a l a χ
שלמה	ʃ a l oː m oː
שלמנאסר	ʃ a l m a n e s e ʁ
שלף	ʃ a l a f
שלשום	ʃ i l ʃ o m
שם	ʃ e m
שמאל	s e m o l
שמואל	ʃ e m u e l
שמונה	ʃ a m oː n aː
שמים	ʃ a m a j i m
שמימי	ʃ m e j m i
שמכר	ʃ i m k e j r
שמלה	s i m l a
שמן	ʃ a m a n
שמנת	ʃ a m e n e t
שמע	ʃ a m a
שמעון	ʃ i m o n
שמעי	ʃ i m i
שמש	ʃ a m ʃ
שמשון	ʃ i m ʃ o n
שן	ʃ e j n
שנא	s a n e
שנאה	s i n a
שנה	ʃ a n a
שניים	ʃ e n a j i m
שניצל	ʃ n i t͡s e l
שנן	ʃ a n a n
שנער	ʃ i n a r
שנקל	ʃ n e k e l
שנ״צ	ʃ n a t͡s
שעה	ʃ a a
שעונית	ʃ a ʔ o n i t
שעורה	s e o ʁ a
שעטנז	ʃ a t n e z
שערה	s a ʔ a ʁ a
שפה	s a f a
שפחה	ʃ i f h ɒ
שפיץ	ʃ p i t͡s
שפיצי	ʃ p i t͡s i
שפם	s a f a m
שפריץ	ʃ p ʁ i t͡s
שפשף	ʃ i f ʃ e f
שפתיים	s f a t a j i m
שק	s a k
שקים	s a k i m
שקיעה	ʃ k i a
שקל	ʃ a k a l
שקלים	ʃ k a l i m
שקלל	ʃ i k l e l
שקר	ʃ e k e r
שקרן	ʃ a k ʁ a n
שקשוקה	ʃ a k ʃ u k a
שרב	ʃ a ʁ a v
שרבי	ʃ r a v i
שרוליק	s ʁ u l i k
שרונה	ʃ a ʁ o n a
שרי	s a ʁ a j
שריר	ʃ a ʁ i ʁ
שרך	ʃ a ʁ a χ
שרמוטה	ʃ a ʁ m u t a
שרף	s a ʁ a f
שש	ʃ a ʃ
ששך	ʃ e ʃ a χ
שת	ʃ a t
שתה	ʃ a t a
שתחי׳	ʃ e t i χ j e
שתיים	ʃ i t t a j m
שתל	ʃ a t a l
שתן	ʃ e t e n
ש״ח	ʃ a χ
ש״ץ	ʃ a t s
תא	t a
תאום	t e o m
תאומים	t e o m i m
תאונה	t e u n a
תאריך	t a a ʁ i χ
תבהלה	t a v h e l a
תבלין	t a v l i n
תבנית	t a v n i t
תבע	t a v a
תגבר	t i ɡ b e ʁ
תגליף	t a ɡ l i f
תדמור	t a d m o ʁ
תה	t e
תהלה	t e h i l a
תודה	t o d a
תודעה	t o d a a
תוהו	t o h u
תוכאים	t u k a ʔ i m
תוכי	t u k i
תוכניתן	t o χ n i t a n
תולדה	t o l a d a
תולעת	t o l a a t
תום	t o j m
תועבה	t o e v a
תועה	t o e
תוצאה	t o t͡s a a
תור	t o ʁ
תורה	t o j r ɔ
תוריום	t o r j u m
תורני	t o ʁ a n i
תות	t u t
תזוזה	t z u z a
תזמן	t i z m e n
תחבורה	t a χ b u ʁ a
תחש	t a ħ a ʃ
תחת	t a x a s
תיאור	t e u ʁ
תיירות	t a j a ʁ u t
תיירותי	t a j a ʁ u t i
תינוק	t i n o k
תיקו	t e k u
תיקונצ׳יק	t i k u n t͡ʃ i k
תירוץ	t e ʁ u t͡s
תירוש	t i ʁ o ʃ
תירץ	t e ʁ e t͡s
תיש	t a i ʃ
תכונה	t χ u n a
תכנית	t o χ n i t
תכנן	t i χ n e n
תכף	t e χ e f
תל	t e l
תלאה	t l a a
תלבושת	t i l b o ʃ e t
תלוי	t a l u i
תלותי	t l u t i
תלם	t e l e m
תלמוד	t a l m u d
תלמי	t a l m a j
תלמיד	t a l m i d
תלתל	t a l t a l
תמה	t e m a
תמונה	t m u n a
תמנון	t a m n u n
תמסח	t i m s a χ
תמר	t a m a ʁ
תמרור	t a m ʁ u ʁ
תנאי	t n a j
תנוין	t a n w i n
תנועה	t n u a
תנור	t a n u ʁ
תניא	t a n j a
תעה	t o e
תעופה	t e u f a
תערוכה	t a a r u χ a
תפארת	t i f e ʁ e t
תפוז	t a p u z
תפוח	t a p u a χ
תפוצה	t f u t͡s a
תפילה	t f i l a
תפירה	t f i ʁ a
תפקיד	t a f k i d
תפר	t a f a r
תפריט	t a f ʁ i t
תצליל	t a t͡s l i l
תצפית	t a t͡s p i t
תקוע	t a k u a
תקופה	t e k u f a
תקין	t a k i n
תקנה	t a k a n a
תקרה	t i k ʁ a
תקרית	t a k ʁ i t
תרגל	t i ʁ ɡ e l
תרדמה	t a ʁ d e m a
תרומה	t ʁ u m a
תרועה	t a r u ʕ ɔ
תרועות	t a r u ʕ œ θ
תרופה	t ʁ u f a
תרמיל	t a ʁ m i l
תרנגול	t a ʁ n e ɡ o l
תרנגולת	t a ʁ n e ɡ o l e t
תרפיה	t e ʁ a p j a
תרשיש	t a ʁ ʃ i ʃ
תשבץ	t a ʃ b e t͡s
תשדיר	t a ʃ d i ʁ
תשואה	t e s u a
תשובה	t ʃ u v a
תשומה	t s u m a
תשורה	t e ʃ u ʁ a
תשלום	t a ʃ l u m
תשע	t e j ʃ a
תשעה	t i ʃ a
