aachen	aː χ ə n
heimatfürst	h a eː m a t f ʏ ʁ s t
heimatgemeinde	h a eː m a t g eː m a eː n d ə
heimathafen	h a eː m a t a f ə n
heimatkultur	h a eː m a t k ʊ l t uː ɐ
heimatkunde	h a eː m a t k ʊ n d ə
heimatland	h a eː m a t l a n t
heimatlands	h a eː m a t l a n t s
heimatlich	h a eː m a t l ɪ ç
heimatliche	h a eː m a t l ɪ ç ə
heimatlichem	h a eː m a t l ɪ ç ə m
heimatlichen	h a eː m a t l ɪ ç ə n
heimatlicher	h a eː m a t l ɪ ç ɐ
heimatliches	h a eː m a t l ɪ ç ə s
heimatlizenz	h a eː m a t l iː t s eː n t s
heimatlizenzurkunde	h a eː m a t l iː t s ɛ n t s ʊ ʁ k ʊ n d ə
heimatlos	h aɪ̯ m a t l oː s
heimatlose	h a eː m a t l oː z eː
heimatlosem	h a eː m a t l oː s ə m
heimatloser	h a eː m a t l oː s ɐ
heimatländer	h a eː m a t l ɛ n d ɐ
heimatmuseum	h a eː m a t m uː z ɔ ɔʏ̯ m
heimatort	h a eː m a t ɔ ʁ t
heimatorte	h a eː m a t ɔ ʁ t ə
heimatortes	h a eː m a t ɔ ʁ t ə s
heimatplatz	h a eː m a t p l a t s
heimatprovinz	h a eː m a t p ʁ oː v ɪ n t s
heimatschnulzen	h a eː m a t͡ʃ n ʊ l t s ə n
heimatsprache	h a eː m a t s p ʁ a x ə
heimatstaat	h a eː m a t s t aː t
heimatstadt	h a eː m a t s t a t
heimattreffen	h a eː m a t t ʁ ɛ f f ə n
heimattreu	h a eː m a t t ʁ ɔ ɔʏ̯
heimattreue	h a eː m a t t ʁ ɔ ɔʏ̯ ə
heimattreuem	h a eː m a t t ʁ ɔ ɔʏ̯ ə m
heimattreuen	h a eː m a t t ʁ ɔ ɔʏ̯ ə n
heimattreuer	h a eː m a t t ʁ ɔ ɔʏ̯ ɐ
heimattreues	h a eː m a t t ʁ ɔ ɔʏ̯ ə s
heimaturlaub	h a eː m a t ʊ ʁ l a oː p
heimatwerk	h a eː m a t v ɛ ʁ k
heimatwährung	h a eː m a t v ɛ ʁ ʊ ŋ
heimaufsicht	h a eː m a oː f z ɪ ç t
heimbegleite	h a eː m b ɛ g l ə iː t ə
heimbegleiten	h a eː m b ə g l ə iː t ə n
heimbegleitend	h a eː m b ɛ g l a eː t ɛ n t
heimbegleitende	h a eː m b ɛ g l a eː t ɛ n d ə
heimbegleitendem	h a eː m b ɛ g l a eː t ɛ n d ə m
heimbegleitenden	h a eː m b ɛ g l a eː t ɛ n d ə n
heimbegleitender	h a eː m b ɛ g l a eː t ɛ n d ɐ
heimbegleitendes	h a eː m b ɛ g l a eː t ɛ n d ə s
heimbegleitest	h a eː m b ɛ g l a eː t ɛ s t
heimbegleitet	h a eː m b ɛ g l ə iː t ə t
heimbegleitete	h a eː m b ɛ g l ə iː t ə t ə
heimbegleitetem	h a eː m b ɛ g l ə iː t ə t ə m
heimbegleiteten	h a eː m b ɛ g l ə iː t ə t ə n
heimbegleiteter	h a eː m b ɛ g l ə iː t ə t ɐ
heimbegleitetes	h a eː m b ɛ g l ə iː t ə t ə s
heimbegleitetest	h a eː m b ɛ g l a eː t eː t ɛ s t
heimbegleitetet	h a eː m b ɛ g l ə iː t ə t ə t
heimbrachte	h a eː m b ʁ a x t ə
heimbrachten	h a eː m b ʁ a x t ə n
heimbrachtest	h a eː m b ʁ a x t ɛ s t
heimbrachtet	h a eː m b ʁ a x t ə t
heimbringe	h a eː m b ʁ ɪ ŋ ə
heimbringen	h a eː m b ʁ ɪ ŋ ə n
heimbringend	h a eː m b ʁ ɪ ŋ ɛ n t
heimbringende	h a eː m b ʁ ɪ ŋ ɛ n d ə
heimbringendem	h a eː m b ʁ ɪ ŋ ɛ n d ə m
heimbringenden	h a eː m b ʁ ɪ ŋ ɛ n d ə n
heimbringender	h a eː m b ʁ ɪ ŋ ɛ n d ɐ
heimbringendes	h a eː m b ʁ ɪ ŋ ɛ n d ə s
heimbringst	h a eː m b ʁ ɪ ŋ s t
heimbringt	h a eː m b ʁ ɪ ŋ t
heimchen	h a eː m ç ə n
heimchens	h a eː m ç ɛ n s
heimcomputer	h a eː m k ɔ m p uː t ɐ
heime	h a eː m ə
heimelig	h a eː m eː l ɪ ç
heimelige	h a eː m eː l ɪ g ə
heimeligem	h a eː m eː l ɪ g ə m
heimeligen	h a eː m ə l ɪ g ə n
heimeliger	h a eː m eː l ɪ g ɐ
heimeligere	h a eː m eː l ɪ g ɐ ə
heimeligerem	h a eː m eː l ɪ g ɐ ə m
heimeligeren	h a eː m eː l ɪ g ɐ ə n
heimeligerer	h a eː m eː l ɪ g ɐ ɐ
heimeligeres	h a eː m eː l ɪ g ɐ ə s
heimeliges	h a eː m eː l ɪ g ə s
heimeligste	h a eː m eː l ɪ g s t ə
heimeligstem	h a eː m eː l ɪ g s t ə m
heimeligsten	h a eː m eː l ɪ g s t ə n
heimeligster	h a eː m eː l ɪ g s t ɐ
heimeligstes	h a eː m eː l ɪ g s t ə s
heimen	h a eː m ə n
heimerziehung	h a eː m ɛ ʁ t s iː ʊ ŋ
heimes	h a eː m ə s
heimfahre	h a eː m f a ʁ ə
heimfahren	h a eː m f a ʁ ə n
heimfahrend	h a eː m f a ʁ ɛ n t
heimfahrende	h a eː m f a ʁ ɛ n d ə
heimfahrendem	h a eː m f a ʁ ɛ n d ə m
heimfahrenden	h a eː m f a ʁ ɛ n d ə n
heimfahrender	h a eː m f a ʁ ɛ n d ɐ
heimfahrendes	h a eː m f a ʁ ɛ n d ə s
heimfahrt	h a eː m f a ʁ t
heimfahrten	h a eː m f a ʁ t ə n
heimgang	h a eː m g a ŋ
heimgange	h a eː m g a ŋ ə
heimgegangen	h a eː m g eː g a ŋ ə n
heimgegangene	h a eː m g eː g a ŋ ə n ə
heimgegangenem	h a eː m g eː g a ŋ ə n ə m
heimgegangenen	h a eː m g eː g a ŋ ə n ə n
heimgegangener	h a eː m g eː g a ŋ ə n ɐ
heimgegangenes	h a eː m g eː g a ŋ ə n ə s
heimgehe	h a eː m g eː ə
heimgehen	h a eː m g ə h ə n
heimgehend	h a eː m g eː ɛ n t
heimgehende	h a eː m g eː ɛ n d ə
heimgehendem	h a eː m g eː ɛ n d ə m
heimgehenden	h a eː m g eː ɛ n d ə n
heimgehender	h a eː m g eː ɛ n d ɐ
heimgehendes	h a eː m g eː ɛ n d ə s
heimgehst	h a eː m g eː s t
heimgeht	h a eː m g eː t
heimgekehrt	h a eː m g eː k eː ʁ t
heimgekehrte	h a eː m g eː k eː ʁ t ə
heimgekehrtem	h a eː m g eː k eː ʁ t ə m
heimgekehrten	h a eː m g eː k eː ʁ t ə n
heimgekehrter	h a eː m g eː k eː ʁ t ɐ
heimgekehrtes	h a eː m g eː k eː ʁ t ə s
heimgekommen	h a eː m g eː k ɔ m m ə n
heimgekommene	h a eː m g eː k ɔ m m ə n ə
heimgekommenem	h a eː m g eː k ɔ m m ə n ə m
heimgekommenen	h a eː m g eː k ɔ m m ə n ə n
heimgekommener	h a eː m g eː k ɔ m m ə n ɐ
heimgekommenes	h a eː m g eː k ɔ m m ə n ə s
heimgeleuchtet	h a eː m g eː l ɔ ɔʏ̯ ç t ə t
heimgeleuchtete	h a eː m g eː l ɔ ɔʏ̯ ç t ə t ə
heimgeleuchtetem	h a eː m g eː l ɔ ɔʏ̯ ç t ə t ə m
heimgeleuchteten	h a eː m g eː l ɔ ɔʏ̯ ç t ə t ə n
heimgeleuchteter	h a eː m g eː l ɔ ɔʏ̯ ç t ə t ɐ
heimgeleuchtetes	h a eː m g eː l ɔ ɔʏ̯ ç t ə t ə s
heimgesucht	h a eː m g eː z ʊ x t
heimgesuchte	h a eː m g eː z ʊ x t ə
heimgesuchtem	h a eː m g eː z ʊ x t ə m
heimgesuchten	h a eː m g eː z ʊ x t ə n
heimgesuchter	h a eː m g eː z ʊ x t ɐ
heimgesuchtes	h a eː m g eː z ʊ x t ə s
heimgezahlt	h a eː m g eː t s a l t
heimgezahlte	h a eː m g eː t s a l t ə
heimgezahltem	h a eː m g eː t s a l t ə m
heimgezahlten	h a eː m g eː t s a l t ə n
heimgezahlter	h a eː m g eː t s a l t ɐ
heimgezahltes	h a eː m g eː t s a l t ə s
heiminsassen	h a eː m ɪ n z a s z ə n
heimisch	h a eː m ɪ ʃ
heimische	h a eː m ɪ ʃ ə
heimischem	h a eː m ɪ ʃ ə m
heimischen	h a eː m ɪ ʃ ə n
heimischer	h a eː m ɪ ʃ ɐ
heimisches	h a eː m ɪ ʃ ə s
heimkam	h a eː m k a m
heimkamen	h a eː m k a m ə n
heimkamst	h a eː m k a m s t
heimkamt	h a eː m k a m t
heimkehre	h a eː m k eː ʁ ə
heimkehren	h a eː m k eː ʁ ə n
heimkehrend	h a eː m k eː ʁ ɛ n t
heimkehrende	h a eː m k eː ʁ ɛ n d ə
heimkehrendem	h a eː m k eː ʁ ɛ n d ə m
heimkehrenden	h a eː m k eː ʁ ɛ n d ə n
heimkehrender	h a eː m k eː ʁ ɛ n d ɐ
heimkehrendes	h a eː m k eː ʁ ɛ n d ə s
heimkehrer	h a eː m k eː ʁ ɐ
heimkehrst	h a eː m k eː ʁ s t
heimkehrt	h a eː m k eː ʁ t
heimkehrte	h a eː m k eː ʁ t ə
heimkehrten	h a eː m k eː ʁ t ə n
heimkehrtest	h a eː m k eː ʁ t ɛ s t
heimkehrtet	h a eː m k eː ʁ t ə t
heimkomme	h a eː m k ɔ m m ə
heimkommen	h aɪ̯ m k ɔ m ə n
heimkommend	h a eː m k ɔ m m ɛ n t
heimkommende	h a eː m k ɔ m m ɛ n d ə
heimkommendem	h a eː m k ɔ m m ɛ n d ə m
heimkommenden	h a eː m k ɔ m m ɛ n d ə n
heimkommender	h a eː m k ɔ m m ɛ n d ɐ
heimkommendes	h a eː m k ɔ m m ɛ n d ə s
heimkommst	h a eː m k ɔ m m s t
heimkommt	h a eː m k ɔ m m t
heimleiter	h a eː m l ə iː t ɐ
heimleiterin	h a eː m l ə iː t ɐ ɪ n
heimleiterinnen	h a eː m l a eː t eː ʁ ɪ n n ə n
heimleitern	h a eː m l a eː t ɛ ʁ n
heimleiters	h a eː m l a eː t ɛ ʁ s
heimleuchte	h a eː m l ɔ ɔʏ̯ ç t ə
heimleuchten	h a eː m l ɔ ɔʏ̯ ç t ə n
heimleuchtend	h a eː m l ɔ ɔʏ̯ ç t ɛ n t
heimleuchtende	h a eː m l ɔ ɔʏ̯ ç t ɛ n d ə
heimleuchtendem	h a eː m l ɔ ɔʏ̯ ç t ɛ n d ə m
heimleuchtenden	h a eː m l ɔ ɔʏ̯ ç t ɛ n d ə n
heimleuchtender	h a eː m l ɔ ɔʏ̯ ç t ɛ n d ɐ
heimleuchtendes	h a eː m l ɔ ɔʏ̯ ç t ɛ n d ə s
heimleuchtest	h a eː m l ɔ ɔʏ̯ ç t ɛ s t
heimleuchtet	h a eː m l ɔ ɔʏ̯ ç t ə t
heimleuchtete	h a eː m l ɔ ɔʏ̯ ç t ə t ə
heimleuchteten	h a eː m l ɔ ɔʏ̯ ç t ə t ə n
heimleuchtetest	h a eː m l ɔ ɔʏ̯ ç t ə t ɛ s t
heimleuchtetet	h a eː m l ɔ ɔʏ̯ ç t ə t ə t
heimlich	h aɪ̯ m l ɪ ç
heimliche	h a eː m l ɪ ç ə
heimlichem	h a eː m l ɪ ç ə m
heimlichen	h a eː m l ɪ ç ə n
heimlicher	h a eː m l ɪ ç ɐ
heimlichere	h a eː m l ɪ ç ɐ ə
heimlicherem	h a eː m l ɪ ç ɐ ə m
heimlicheren	h a eː m l ɪ ç ɐ ə n
heimlicherer	h a eː m l ɪ ç ɐ ɐ
heimlicheres	h a eː m l ɪ ç ɐ ə s
heimliches	h a eː m l ɪ ç ə s
heimlichkeit	h a eː m l ɪ ç k ə iː t
heimlichkeiten	h a eː m l ɪ ç k ə iː t ə n
heimlichste	h a eː m l ɪ ç s t ə
heimlichstem	h a eː m l ɪ ç s t ə m
heimlichsten	h a eː m l ɪ ç s t ə n
heimlichster	h a eː m l ɪ ç s t ɐ
heimlichstes	h a eː m l ɪ ç s t ə s
heimlichtuerei	h a eː m l ɪ ç t uː ɐ a eː
heimreise	h a eː m ʁ a eː z ə
heimreisen	h a eː m ʁ a eː z ə n
heimrudergeräte	h a eː m ʁ uː d ɛ ʁ g eː ʁ ɛ t ə
heims	h a eː m s
heimschule	h a eː m ʃ uː l ə
heimse	h a eː m z ə
heimsen	h a eː m z ə n
heimsest	h a eː m z ɛ s t
heimsieg	h a eː m z iː k
heimspiel	h a eː m s p iː l
heimspielen	h a eː m s p iː l ə n
heimst	h a eː m s t
heimste	h a eː m s t ə
heimsten	h a eː m s t ə n
heimstest	h a eː m s t ɛ s t
heimstet	h a eː m s t ə t
heimstätte	h a eː m s t ɛ t ə
heimstätten	h a eː m s t ɛ t ə n
heimsuche	h a eː m z ʊ x ə
heimsuchen	h a eː m z ʊ x ə n
heimsuchend	h a eː m z ʊ x ɛ n t
heimsuchende	h a eː m z ʊ x ɛ n d ə
heimsuchendem	h a eː m z ʊ x ɛ n d ə m
heimsuchenden	h a eː m z ʊ x ɛ n d ə n
heimsuchender	h a eː m z ʊ x ɛ n d ɐ
heimsuchendes	h a eː m z ʊ x ɛ n d ə s
heimsuchst	h a eː m z ʊ x s t
heimsucht	h a eː m z ʊ x t
heimsuchte	h a eː m z ʊ x t ə
heimsuchten	h a eː m z ʊ x t ə n
heimsuchtest	h a eː m z ʊ x t ɛ s t
heimsuchtet	h a eː m z ʊ x t ə t
heimsuchung	h a eː m z ʊ x ʊ ŋ
heimtücke	h a eː m t ʏ k ə
heimtückisch	h a eː m t ʏ k ɪ ʃ
heimtückische	h a eː m t ʏ k ɪ ʃ ə
heimtückischem	h a eː m t ʏ k ɪ ʃ ə m
heimtückischen	h a eː m t ʏ k ɪ ʃ ə n
heimtückischer	h a eː m t ʏ k ɪ ʃ ɐ
heimtückischere	h a eː m t ʏ k ɪ ʃ ɐ ə
heimtückischerem	h a eː m t ʏ k ɪ ʃ ɐ ə m
heimtückischeren	h a eː m t ʏ k ɪ ʃ ɐ ə n
heimtückischerer	h a eː m t ʏ k ɪ ʃ ɐ ɐ
heimtückischeres	h a eː m t ʏ k ɪ ʃ ɐ ə s
heimtückisches	h a eː m t ʏ k ɪ ʃ ə s
heimtückischste	h a eː m t ʏ k ɪ ʃ s t ə
heimtückischstem	h a eː m t ʏ k ɪ ʃ s t ə m
heimtückischsten	h a eː m t ʏ k ɪ ʃ s t ə n
heimtückischster	h a eː m t ʏ k ɪ ʃ s t ɐ
heimtückischstes	h a eː m t ʏ k ɪ ʃ s t ə s
heimvater	h a eː m v a t ɐ
heimverwaltung	h a eː m v ɛ ʁ v a l t ʊ ŋ
heimweg	h a eː m v eː k
heimwege	h a eː m v eː g ə
heimwegen	h a eː m v eː g ə n
heimwegs	h a eː m v ɛ k s
heimweh	h a eː m v eː
heimwehkrank	h a eː m v eː k ʁ a ŋ k
heimwehkranke	h a eː m v eː k ʁ a ŋ k ə
heimwehkrankem	h a eː m v eː k ʁ a ŋ k ə m
heimwehkranken	h a eː m v eː k ʁ a ŋ k ə n
heimwehkranker	h a eː m v eː k ʁ a ŋ k ɐ
heimwehkrankes	h a eː m v eː k ʁ a ŋ k ə s
heimwehs	h a eː m v eː s
heimzahle	h a eː m t s a l ə
heimzahlen	h a eː m t s a l ə n
heimzahlend	h a eː m t s a l ɛ n t
heimzahlende	h a eː m t s a l ʔ ɛ n d eː
heimzahlendem	h a eː m t s a l ɛ n d ə m
heimzahlenden	h a eː m t s a l ʔ ɛ n d ə n
heimzahlender	h a eː m t s a l ɛ n d ɐ
heimzahlendes	h a eː m t s a l ʔ ɛ n d ə s
heimzahlst	h a eː m t s a l s t
heimzahlt	h a eː m t s a l t
heimzahlte	h a eː m t s a l t ə
heimzahlten	h a eː m t s a l t ə n
heimzahltest	h a eː m t s a l t ɛ s t
heimzahltet	h a eː m t s a l t ə t
heimzuführen	h a eː m t s uː f yː ʁ ə n
heimzuführend	h a eː m t s uː f yː ʁ ɛ n t
heimzuführende	h a eː m t s uː f yː ʁ ɛ n d ə
heimzuführendem	h a eː m t s uː f yː ʁ ɛ n d ə m
heimzuführenden	h a eː m t s uː f yː ʁ ɛ n d ə n
heimzuführender	h a eː m t s uː f yː ʁ ɛ n d ɐ
heimzuführendes	h a eː m t s uː f yː ʁ ɛ n d ə s
heimzukehren	h a eː m t s uː k eː ʁ ə n
heimzukommen	h a eː m t s uː k ɔ m m ə n
heimzureisen	h a eː m t s uː ʁ a eː z ə n
heimzutragen	h a eː m t s uː t ʁ aː g ə n
heimzutragend	h a eː m t s ʊ t ʁ a g ɛ n t
heimzutragende	h a eː m t s ʊ t ʁ a g ɛ n d ə
heimzutragendem	h a eː m t s ʊ t ʁ a g ɛ n d ə m
heimzutragenden	h a eː m t s ʊ t ʁ a g ɛ n d ə n
heimzutragender	h a eː m t s ʊ t ʁ a g ɛ n d ɐ
heimzutragendes	h a eː m t s ʊ t ʁ a g ɛ n d ə s
heimzuzahlen	h a eː m t s uː t s a l ə n
heimzuzahlend	h a eː m t s uː t s a l ɛ n t
heimzuzahlende	h a eː m t s uː t s a l ɛ n d ə
heimzuzahlendem	h a eː m t s uː t s a l ɛ n d ə m
heimzuzahlenden	h a eː m t s uː t s a l ɛ n d ə n
heimzuzahlender	h a eː m t s uː t s a l ɛ n d ɐ
heimzuzahlendes	h a eː m t s uː t s a l ɛ n d ə s
heine	h ə ɪ n ə
heines	h ə ɪ n ə s
heino	h a eː n oː
heinos	h a eː n oː s
heinrich	h a eː n ʁ ɪ ç
heinrichs	h a eː n ʁ ɪ k s
heinz	h a eː n t s
heinzelmännchen	h a eː n t s ɛ l m ɛ n n ç ə n
heinzelmännchens	h a eː n t s ɛ l m ɛ n n ç ɛ n s
heirat	h a eː ʁ a t
heirate	h a eː ʁ a t ə
heiraten	h aɪ̯ ʁ aː t ə n
heiratend	h a eː ʁ a t ɛ n t
heiratende	h a eː ʁ a t ʔ ɛ n d eː
heiratendem	h a eː ʁ a t ɛ n d ə m
heiratenden	h a eː ʁ a t ʔ ɛ n d ə n
heiratender	h a eː ʁ a t ɛ n d ɐ
heiratendes	h a eː ʁ a t ʔ ɛ n d ə s
heiratest	h a eː ʁ a t ɛ s t
heiratet	h a eː ʁ a t ə t
heiratete	h a eː ʁ a t ə t ə
heirateten	h a eː ʁ a t ə t ə n
heiratetest	h a eː ʁ a t eː t ɛ s t
heiratetet	h a eː ʁ a t ə t ə t
heiratsantrag	h a eː ʁ a t z a n t ʁ a k
heiratsantrages	h a eː ʁ a t z a n t ʁ a g ə s
heiratsanträge	h a eː ʁ a t z a n t ʁ ɛ g ə
heiratsanträgen	h a eː ʁ a t z a n t ʁ ɛ g ə n
heiratsanzeige	h a eː ʁ a t z a n t s ə ɪ g ə
heiratsfähigkeit	h a eː ʁ a t s f ɛ ɪ k k ə iː t
heiratsinstitut	h a eː ʁ a t z ɪ n s t iː t uː t
heiratsinstitute	h a eː ʁ a t z ɪ n s t iː t uː t ə
heiratskandidat	h a eː ʁ a t s k a n d iː d a t
heiratskandidaten	h a eː ʁ a t s k a n d iː d a t ə n
heiratsmarkt	h a eː ʁ a t s m a ʁ k t
heiratsmarktes	h a eː ʁ a t s m a ʁ k t ə s
heiratsmarkts	h a eː ʁ a t s m a ʁ k t s
heiratspläne	h a eː ʁ a t s p l ɛ n ə
heiratsschwindler	h a eː ʁ a t s s t s v ɪ n d l ɐ
heiratsschwindlern	h a eː ʁ a t s s t s v ɪ n d l ɛ ʁ n
heiratsschwindlers	h a eː ʁ a t s s t s v ɪ n d l ɛ ʁ s
heiratsurkunde	h a eː ʁ a t z ʊ ʁ k ʊ n d ə
heiratsverbot	h a eː ʁ a t s v ɛ ʁ b oː t
heiratsvermittler	h a eː ʁ a t s v ɛ ʁ m ɪ t t l ɐ
heiratsvermittlerin	h a eː ʁ a t s v ɛ ʁ m ɪ t t l ɐ ɪ n
heiratsvermittlerinnen	h a eː ʁ a t s v ɛ ʁ m ɪ t t l eː ʁ ɪ n n ə n
heiratsvermittlern	h a eː ʁ a t s v ɛ ʁ m ɪ t t l ɛ ʁ n
heiratsvermittlers	h a eː ʁ a t s v ɛ ʁ m ɪ t t l ɛ ʁ s
heiratsversprechen	h a eː ʁ a t s v ɛ ʁ s p ʁ ɛ ç ə n
heiratsversprechens	h a eː ʁ a t s v ɛ ʁ s p ʁ ɛ ç ɛ n s
heisenberg	h a eː z ɛ n b ɛ ʁ k
heisenbergs	h a eː z ɛ n b ɛ ʁ k s
heiser	h a eː z ɐ
heisere	h a eː z ɐ ə
heiserem	h a eː z ɐ ə m
heiseren	h a eː z ɐ ə n
heiserer	h a eː z ɐ ɐ
heiseres	h a eː z ɐ ə s
heiserkeit	h a eː z ɛ ʁ k ə iː t
heiter	h aɪ̯ t ɐ
heitere	h ə iː t ɐ ə
heiterem	h ə iː t ɐ ə m
heiteren	h ə iː t ɐ ə n
heiterer	h ə iː t ɐ ɐ
heiterere	h ə iː t ɐ ɐ ə
heitererem	h ə iː t ɐ ɐ ə m
heitereren	h ə iː t ɐ ɐ ə n
heitererer	h ə iː t ɐ ɐ ɐ
heitereres	h ə iː t ɐ ɐ ə s
heiteres	h ə iː t ɐ ə s
heiterhell	h a eː t ɛ ʁ ɛ l l
heiterhelle	h a eː t ɛ ʁ ɛ l l ə
heiterhellem	h a eː t ɛ ʁ ɛ l l ə m
heiterhellen	h a eː t ɛ ʁ ɛ l l ə n
heiterheller	h a eː t ɛ ʁ ɛ l l ɐ
heiterhelles	h a eː t ɛ ʁ ɛ l l ə s
heiterkeit	h a eː t ɛ ʁ k ə iː t
heiterste	h a eː t ɛ ʁ s t ə
heiterstem	h a eː t ɛ ʁ s t ə m
heitersten	h a eː t ɛ ʁ s t ə n
heiterster	h a eː t ɛ ʁ s t ɐ
heiterstes	h a eː t ɛ ʁ s t ə s
heizanlagen	h a eː t s a n l a g ə n
heizbar	h aɪ̯ t s b aː ɐ
heizbare	h a eː t s b a ʁ ə
heizbarem	h a eː t s b a ʁ ə m
heizbaren	h a eː t s b a ʁ ə n
heizbarer	h a eː t s b a ʁ ɐ
heizbares	h a eː t s b a ʁ ə s
heize	h a eː t s ə
heizen	h aɪ̯ t s n
heizend	h a eː t s ɛ n t
heizende	h a eː t s ɛ n d ə
heizendem	h a eː t s ɛ n d ə m
heizenden	h a eː t s ɛ n d ə n
heizender	h a eː t s ɛ n d ɐ
heizendes	h a eː t s ɛ n d ə s
heizer	h a eː t s ɐ
heizern	h a eː t s ɛ ʁ n
heizest	h a eː t s ɛ s t
heizfläche	h a eː t s f l ɛ ç ə
heizkessel	h a eː t s k ɛ s z eː l
heizkesseln	h a eː t s k ɛ s z ɛ l n
heizkissen	h a eː t s k ɪ s z ə n
heizkissens	h a eː t s k ɪ s z ɛ n s
heizkörper	h a eː t s k œ ʁ p ɐ
heizkörpern	h a eː t s k œ ʁ p ɛ ʁ n
heizlüfter	h a eː t s l ʏ f t ɐ
heizmaterial	h a eː t s m a t eː ʁ iː a l
heizmaterialien	h a eː t s m a t eː ʁ iː a l iː ə n
heizmethoden	h a eː t s m ɛ t oː d ə n
heizplatte	h a eː t s p l a t ə
heizrohr	h a eː t s ʁ oː ʁ
heizrohre	h a eː t s ʁ oː ʁ ə
heizrohren	h a eː t s ʁ oː ʁ ə n
heizrohres	h a eː t s ʁ oː ʁ ə s
heizrohrs	h a eː t s ʁ oː ʁ s
heizt	h a eː t s t
heizte	h a eː t s t ə
heiztechnik	h a eː t s t ɛ ç n iː k
heizten	h a eː t s t ə n
heiztest	h a eː t s t ɛ s t
heiztet	h a eː t s t ə t
heizung	h a eː t s ʊ ŋ
heizungen	h a eː t s ʊ ŋ ə n
heizungsanlage	h a eː t s ʊ ŋ z a n l a g ə
heizungsanlagen	h a eː t s ʊ ŋ z a n l a g ə n
heizungsbauer	h a eː t s ʊ ŋ s b a oː ɐ
heizungsbaumeister	h a eː t s ʊ ŋ s b a oː m ə ɪ s t ɐ
heizungsingenieur	h a eː t s ʊ ŋ z ɪ ŋ ə n iː j ə uː ɐ
heizungskeller	h a eː t s ʊ ŋ s k ɛ l l ɐ
heizungskörper	h a eː t s ʊ ŋ s k œ ʁ p ɐ
heizungsmonteur	h a eː t s ʊ ŋ s m ɔ n t ə uː ɐ
heizwert	h a eː t s v ɛ ʁ t
heizzwecke	h a eː t s v ɛ k ə
heizöl	h a eː t s ɔʏ̯ l
heizölkartell	h a eː t s œ l k a ʁ t ɛ l l
heizölmarkt	h a eː t s œ l m a ʁ k t
heizölmarktes	h a eː t s œ l m a ʁ k t ə s
heizölmarkts	h a eː t s œ l m a ʁ k t s
heizölmärkte	h a eː t s œ l m ɛ ʁ k t ə
heizölmärkten	h a eː t s œ l m ɛ ʁ k t ə n
heizöls	h a eː t s œ l s
heizölverbraucher	h a eː t s œ l v ɛ ʁ b ʁ a oː x ɐ
heizölverkauf	h a eː t s œ l v ɛ ʁ k a oː f
heizölverkaufs	h a eː t s œ l v ɛ ʁ k a oː f s
heizölverkäufe	h a eː t s œ l v ɛ ʁ k ɔ ɔʏ̯ f ə
heizölverkäufen	h a eː t s œ l v ɛ ʁ k ɔ ɔʏ̯ f ə n
hektar	h ɛ k t aː ɐ
hektarertrag	h ɛ k t a ʁ ɛ ʁ t ʁ a k
hektarertrages	h ɛ k t a ʁ ɛ ʁ t ʁ a g ə s
hektarertrags	h ɛ k t a ʁ ɛ ʁ t ʁ a k s
hektarerträge	h ɛ k t a ʁ ɛ ʁ t ʁ ɛ g ə
hektarerträgen	h ɛ k t a ʁ ɛ ʁ t ʁ ɛ g ə n
hektars	h ɛ k t a ʁ s
hektik	h ɛ k t iː k
hektisch	h ɛ k t ɪ ʃ
hektische	h ɛ k t ɪ ʃ ə
hektischem	h ɛ k t ɪ ʃ ə m
hektischen	h ɛ k t ɪ ʃ ə n
hektischer	h ɛ k t ɪ ʃ ɐ
hektischere	h ɛ k t ɪ ʃ ɐ ə
hektischerem	h ɛ k t ɪ ʃ ɐ ə m
hektischeren	h ɛ k t ɪ ʃ ɐ ə n
hektischerer	h ɛ k t ɪ ʃ ɐ ɐ
hektischeres	h ɛ k t ɪ ʃ ɐ ə s
hektisches	h ɛ k t ɪ ʃ ə s
hektischste	h ɛ k t ɪ ʃ s t ə
hektischstem	h ɛ k t ɪ ʃ s t ə m
hektischsten	h ɛ k t ɪ ʃ s t ə n
hektischster	h ɛ k t ɪ ʃ s t ɐ
hektischstes	h ɛ k t ɪ ʃ s t ə s
held	h ɛ l t
helden	h ɛ l d ə n
heldenepos	h ɛ l d eː n eː p oː s
heldengedicht	h ɛ l d ɛ ŋ eː d ɪ ç t
heldengedichte	h ɛ l d ɛ ŋ eː d ɪ ç t ə
heldengedichten	h ɛ l d ɛ ŋ eː d ɪ ç t ə n
heldengedichtes	h ɛ l d ɛ ŋ eː d ɪ ç t ə s
heldengedichts	h ɛ l d ɛ ŋ eː d ɪ ç t s
heldengestalten	h ɛ l d ɛ ŋ ɛ s t a l t ə n
heldenhaft	h ɛ l d ə n h a f t
heldenhafte	h ɛ l d ə n h a f t ə
heldenhaftem	h ɛ l d ə n h a f t ə m
heldenhaften	h ɛ l d ə n h a f t ə n
heldenhafter	h ɛ l d ə n h a f t ɐ
heldenhaftere	h ɛ l d ə n h a f t ɐ ə
heldenhafterem	h ɛ l d ə n h a f t ɐ ə m
heldenhafteren	h ɛ l d ə n h a f t ɐ ə n
heldenhafterer	h ɛ l d ə n h a f t ɐ ɐ
heldenhafteres	h ɛ l d ə n h a f t ɐ ə s
heldenhaftes	h ɛ l d ə n h a f t ə s
