'n	m
märzrevolution	m ɛ ʁ t͡s ʁ e v o l u t͡s i̯ oː n
mätzchen	m ɛ t͡s ç ə n
mäuschen	m ɔ ʏ̯ s ç ə n
mäuse	m ɔ i̯ z ə
mäusedorn	m ɔ ʏ̯ z ə d ɔ ɐ̯ n
mäuseloch	m ɔ ʏ̯ z ə l ɔ x
mäuserich	m ɔ ɪ̯ z ə ʁ ɪ ç
mäusespeck	m ɔ ʏ̯ z ə ʃ p ɛ k
mäzen	m ɛ t͡s eː n
mäßigung	m eː s ɪ ɡ ʊ ŋ
möbel	m øː b ə l
möbelbauer	m øː b l̩ b a ʊ̯ ɐ
möbelstück	m øː b l̩ ʃ t ʏ k
möchtegern	m œ ç t ə ɡ ɛ ʁ n
möckmühl	m œ k m yː l
möglichkeit	m øː k l ɪ ç k a ɪ̯ t
möglichkeiten	m øː k l ɪ ç k a ɪ̯ t ə n
möglichkeitsform	m øː k l ɪ ç k a ɪ̯ t͡s f ɔ ʁ m
möglichkeitsformen	m øː k l ɪ ç k a ɪ̯ t͡s f ɔ ʁ m ə n
möhlten	m øː l t n̩
möhre	m øː ʁ ə
möhrensaft	m øː ʁ ə n z a f t
mölde	m œ l d ə
möller	m œ l ɐ
mönch	m œ n ç
mönchengladbach	m œ n ç ə n ɡ l a t b a x
mönchengladbachs	m œ n ç ə n ɡ l a t b a x s
mönchssittich	m œ n ç s z ɪ t ɪ ç
mönchweiler	m œ n ç v a ɪ̯ l ɐ
mönchweilers	m œ n ç v a ɪ̯ l ɐ s
möpse	m œ p s ə
möpsen	m œ p s n̩
mörder	m œ ʁ d ɐ
mörderin	m œ ʁ d ə ʁ ɪ n
mörsel	m œ ʁ z l̩
mörser	m œ r z ə r
mörserkeule	m œ ʁ z ɐ k ɔ ɪ̯ l ə
mörserkeulen	m œ ʁ z ɐ k ɔ ɪ̯ l ə n
mörtel	m œ r t ə l
möse	m øː z ə
möwchen	m øː f ç ə n
möwe	m øː v ə
mücke	m ʏ k ə
mückenschwarm	m ʏ k n̩ ʃ v a ʁ m
mückenstich	m ʏ k n̩ ʃ t ɪ ç
müdigkeit	m yː d ɪ ç k a ɪ̯ t
mühe	m yː ə
mühlacker	m yː l ʔ a k ɐ
mühldorf	m yː l d ɔ ʁ f
mühldorfs	m yː l d ɔ ʁ f s
mühle	m yː l ə
mühlenrade	m yː l ə n ʁ aː d ə
mühlenrades	m yː l ə n ʁ aː d ə s
mühlhausen	m yː l h a ʊ̯ z n̩
mühlstein	m yː l ʃ t a ɪ̯ n
mühsal	m yː z aː l
mülhausen	m yː l h a ʊ̯ z n̩
mülhausener	m yː l h a ʊ̯ z n̩ ɐ
mülhauseners	m yː l h a ʊ̯ z n̩ ɐ s
mülheim	m yː l h a ɪ̯ m
mülheimer	m yː l h a ɪ̯ m ɐ
mülheimers	m yː l h a ɪ̯ m ɐ s
mülheims	m yː l h a ɪ̯ m s
müll	m ʏ l
müllabladeplätze	m ʏ l ʔ a p l aː d ə p l ɛ t s ə
müllbehälter	m ʏ l b ə h ɛ l t ɐ
müllbeutel	m ʏ l b ɔ ʏ̯ t ə l
müllcontainer	m ʏ l k ɔ n t eː n ɐ
mülleimer	m ʏ l ʔ a ɪ̯ m ɐ
müller	m ʏ l ɐ
müllerbursche	m ʏ l ɐ b ʊ ʁ ʃ ə
müllerchen	m ʏ l ɐ ç ə n
müllerin	m ʏ l ɐ ʁ ɪ n
müllerlein	m ʏ l ɐ l a ɪ̯ n
müllfrau	m ʏ l f ʁ a ʊ̯
müllhalde	m ʏ l h a l d ə
müllhaufen	m ʏ l h a ʊ̯ f n̩
müllkorb	a p f a l k ɔ ʁ p
müllmann	m ʏ l m a n
müllrose	m y l ʁ oː z ə
müllsack	m ʏ l z a k
müllsackes	m ʏ l z a k ə s
müllsacks	m ʏ l z a k s
müllsäcke	m ʏ l z ɛ k ə
mülltüte	m ʏ l t yː t ə
müllwagen	m ʏ l v aː ɡ ə n
müllwerker	m ʏ l v ɛ ʁ k ɐ
müllwerkerin	m ʏ l v ɛ ʁ k ə ʁ ɪ n
müllwerkerinnen	m ʏ l v ɛ ʁ k ə ʁ ɪ n ə n
müllwerkers	m ʏ l v ɛ ʁ k ɐ s
münchen	m ʏ n ç ə n
münchener	m ʏ n ç ə n ɐ
münchenerin	m ʏ n ç ə n ɐ ʁ ɪ n
münchhausen	m ʏ n ç h a ʊ̯ z ə n
münchnerin	m ʏ n ç n ə ʁ ɪ n
münchnerinnen	m ʏ n ç n ə ʁ ɪ n ə n
münchweiler	m ʏ n ç v a ɪ̯ l ɐ
münchweilers	m ʏ n ç v a ɪ̯ l ɐ s
mündel	m ʏ n d l̩
münder	m ʏ n d ɐ
mündungsgeschwindigkeit	m ʏ n d ʊ ŋ s ɡ ə ʃ v ɪ n d ɪ ç k a ɪ̯ t
münnerstadt	m ʏ n ɐ ʃ t a t
münsingen	m ʏ n z ɪ ŋ ə n
münsingens	m ʏ n z ɪ ŋ ə n s
münster	m ʏ n s t ɐ
münsteraner	m ʏ n s t ə r aː n ə r
münsteraners	m ʏ n s t ə r aː n ə r s
münsterland	m ʏ n s t ɐ l a n t
münstermaifeld	m ʏ n s t ɐ m a ɪ̯ f ɛ l t
münsters	m ʏ n s t ɐ s
münzeinwurf	m ʏ n t͜s a ɪ̯ n v ʊ ɐ̯ f
münzen	m ʏ n t͡s n̩
münzenberg	m ʏ n t͡s n̩ b ɛ ʁ k
münzensammler	m ʏ n t͡s n̩ z a m l ɐ
münzensammlerin	m ʏ n t͡s n̩ z a m l ə ʁ ɪ n
münzensammlerinnen	m ʏ n t͡s n̩ z a m l ə ʁ ɪ n ə n
münzensammlers	m ʏ n t͡s n̩ z a m l ɐ s
münzensammlung	m ʏ n t͡s n̩ z a m l ʊ ŋ
münzgeld	m ʏ n t s ɡ ɛ l t
münzlehre	m ʏ n t͡s l eː ʁ ə
münzprägeanstalt	m ʏ n t͡s p ʁ ɛː ɡ ə a n ʃ t a l t
münzprägung	m ʏ n t͜s p ʁ ɛː ɡ ʊ ŋ
münzsammler	m ʏ n t͡s z a m l ɐ
münzsammlerin	m ʏ n t͡s z a m l ə ʁ ɪ n
münzsammlerinnen	m ʏ n t͡s z a m l ə ʁ ɪ n ə n
münzsammlung	m ʏ n t͜s z a m l ʊ ŋ
münzschlitz	m ʏ n t͜s ʃ l ɪ t͡s
münzstätte	m ʏ n t͡s ʃ t ɛ t ə
mürbeteig	m ʏ ʁ b ə t a ɪ k
mürbeteigpastete	m ʏ ʁ b ə t a ɪ k p a s t eː t ə
mürbeteigpasteten	m ʏ ʁ b ə t a ɪ k p a s t eː t ə n
mürbteig	m ʏ ʁ p t a ɪ k
müsli	m yː s l i
müslifresser	m yː s l i f ʁ ɛ s ɐ
müsliriegel	m yː s l i ʁ iː ɡ l̩
mütter	m ʏ t ɐ
mütterlichkeit	m ʏ t ɐ l ɪ ç k a ɪ̯ t
müttern	m ʏ t ɐ n
mütterrente	m ʏ t ɐ r ɛ n t ə
mützchen	m ʏ t͡s ç ə n
mütze	m ʏ t͡s ə
mützen	m ʏ t͡s n̩
müßiggang	m yː s ɪ ç ɡ a ŋ
n	ʔ ɛ n
nasa	n aː z a
nato	n aː t o
nc	ɛ n t s eː
ngo	ɛ n d͡ʒ i oː
nrw	ɛ n ɐ v eː
nsdap	ɛ n ɛ s d eː a p eː
nva	ɛ n f a ʊ̯ aː
nawi	n a v i
nabatäer	n a b a t ɛː ɐ
nabe	n aː b ə
nabel	n aː b ə l
nabeln	n aː b ə l n
nabels	n aː b ə l s
nabelschnur	n aː b ə l ʃ n uː ɐ̯
nachahmer	n aː x ʔ aː m ɐ
nacharbeit	n aː x ʔ a ʁ b a ɪ̯ t
nachauflage	n a x a ʊ̯ f l aː ɡ ə
nachbar	n a x b aː r
nachbarhaus	n a x b aː ɐ̯ h a ʊ̯ s
nachbarjunge	n a x b aː ɐ̯ j ʊ ŋ ə
nachbarland	n a x b aː ɐ̯ l a n t
nachbarn	n a χ b aː ɐ̯ n
nachbarschaft	n a x b a ʃ a f t
nachbeben	n aː χ b eː b n̩
nachbesprechung	n aː x b ə ʃ p ʁ ɛ ç ʊ ŋ
nachbrenner	n aː x b ʁ ɛ n ɐ
nachbörse	n aː χ b œ ʁ z ə
nachdenken	n aː x d ɛ ŋ k ŋ̩
nachdruck	n aː χ d ʁ ʊ k
nachdurst	n aː x d ʊ ʁ s t
nacheile	n aː x a ɪ̯ l ə
nachen	n a x ə n
nacherzählung	n aː x ʔ ɛ ɐ̯ t͡s ɛː l ʊ ŋ
nachfahre	n aː χ f aː ʁ ə
nachfeld	n aː x f ɛ l t
nachfolge	n aː x f ɔ l ɡ ə
nachfolgemodell	n aː x f ɔ l ɡ ə m o d ɛ l
nachfolger	n aː x f ɔ l ɡ ɐ
nachfolgerin	n aː χ f ɔ l ɡ ə ʁ ɪ n
nachfolgermodell	n aː x f ɔ l ɡ ɐ m o d ɛ l
nachfolgetreffen	n aː x f ɔ l ɡ ə t ʁ ɛ f n̩
nachfolgetreffens	n aː x f ɔ l ɡ ə t ʁ ɛ f n̩ s
nachfrageüberhang	n aː x f ʁ aː ɡ ə ʔ yː b ɐ h a ŋ
nachgeben	n aː x ɡ eː b ə n
nachgeschmack	n aː x ɡ ə ʃ m a k
nachgiebigkeit	n aː x ɡ iː b ɪ ç k a ɪ̯ t
nachhall	n aː x h a l
nachhaltigkeit	n aː χ h a l t ɪ ç k a ɪ̯ t
nachhausewege	n aː x h a ʊ̯ z ə v eː ɡ ə
nachhausewegen	n aː x h a ʊ̯ z ə v eː ɡ n̩
nachhauseweges	n aː x h a ʊ̯ z ə v eː ɡ ə s
nachhausewegs	n aː x h a ʊ̯ z ə v eː k s
nachholung	n aː χ h oː l ʊ ŋ
nachhut	n aː χ h uː t
nachkommastelle	n aː χ k ɔ m a ʃ t ɛ l ə
nachkommastellen	n aː χ k ɔ m a ʃ t ɛ l ə n
nachkomme	n aː χ k ɔ m ə
nachkriegszeit	n aː x k ʁ iː k s t s a ɪ̯ t
nachkömmling	n aː χ k œ m l ɪ ŋ
nachlassempfänger	n ɑː x l a s ɛ m p͡f ɛ ŋ ɐ
nachlassempfängerin	n ɑː x l a s ɛ m p͡f ɛ ŋ ə ʁ ɪ n
nachlassempfängerinnen	n ɑː x l a s ɛ m p͡f ɛ ŋ ə ʁ ɪ n ə n
nachlassempfängers	n ɑː x l a s ɛ m p͡f ɛ ŋ ɐ s
nachleben	n aː x l eː b ə n
nachmessen	n aː x m ɛ s ə n
nachmittag	n a m ɪ t a x
nachmittage	n aː χ m ɪ t aː ɡ ə
nachnahme	n aː x n aː m ə
nachname	n aː x n aː m ə
nacho	n a t͡ʃ o
nachprüfung	n aː χ p ʁ yː f ʊ ŋ
nachrang	n aː x ʁ a ŋ
nachrangigkeit	n aː x ʁ a ŋ ɪ ç k a ɪ t
nachrede	n aː x ʁ eː d ə
nachricht	n aː x r ɪ ç t
nachrichten	n aː x ʁ ɪ ç t ə n
nachrichtenagentur	n aː χ ʁ ɪ ç t ə n a ɡ ɛ n t uː ɐ
nachrichtenkorrespondent	n aː x ʁ ɪ ç t ə n k ɔ ʁ ɛ s p ɔ n d ɛ n t
nachrichtenkorrespondenten	n aː x ʁ ɪ ç t ə n k ɔ ʁ ɛ s p ɔ n d ɛ n t ə n
nachrichtenkorrespondentin	n aː x ʁ ɪ ç t ə n k ɔ ʁ ɛ s p ɔ n d ɛ n t ɪ n
nachrichtenkorrespondentinnen	n aː x ʁ ɪ ç t n̩ k ɔ ʁ ɛ s p ɔ n d ɛ n t ɪ n ə n
nachrichtensprecher	n aː χ ʁ ɪ ç t ə n ʃ p ʁ ɛ ç ɐ
nachrichter	n aː χ r ɪ ç t ə r
nachruf	n aː x ʁ uː f
nachruhm	n aː x ʁ uː m
nachsatz	n aː x z a t͡s
nachschlagen	n aː x ʃ l aː ɡ ə n
nachschlichten	n aː x ʃ l ɪ ç t n̩
nachschub	n aː χ ʃ uː p
nachsicht	n a χ z ɪ ç t
nachsilbe	n aː χ z ɪ l b ə
nachspeise	n aː x ʃ p a ɪ̯ z ə
nachspiel	n aː x ʃ p iː l
nachspielzeit	n aː x ʃ p i l t s a ɪ̯ t
nachstellung	n aː x ʃ t ɛ l ʊ ŋ
nacht	n a x t
nachtaffe	n a χ t ʔ a f ə
nachtaffen	n a χ t ʔ a f n̩
nachtblindheit	n a x t b l ɪ n t h a ɪ̯ t
nachtclub	n a x t k l ʊ p
nachtdienst	n a χ t d iː n s t
nachteil	n aː x t a i̯ l
nachtessen	n a χ t ɛ s n̩
nachtfalter	n a x t f a l t ɐ
nachtgeschirr	n a x t ɡ ə ʃ ɪ r
nachtgespenst	n a x t ɡ ə ʃ p ɛ n s t
nachthaube	n a x t h a ʊ̯ b ə
nachthemd	n a χ t h ɛ m t
nachthimmel	n a x t h ɪ m l̩
nachtigall	n a x t i ɡ a l
nachtigallen	n a x t i ɡ a l ə n
nachtkasten	n a χ t k a s t n̩
nachtlager	n a x t l aː ɡ ɐ
nachtlicht	n a x t l ɪ ç t
nachtluft	n a x t l ʊ f t
nachtmahr	n a x t m aː ɐ̯
nachtmensch	n a x t m ɛ n ʃ
nachtmütze	n a x t m ʏ t s ə
nachtrag	n aː χ t ʁ aː k
nachtragshaushalt	n aː x t ʁ aː k s h a ʊ̯ s h a l t
nachtreiher	n a x t ʁ a ɪ̯ ɐ
nachtruhe	n a x t ʁ uː ə
nachtschatten	n a χ t ʃ a t ə n
nachtschwärmer	n a x t ʃ v ɛ r m ə r
nachtshopping	n a x t ʃ ɔ p ɪ ŋ
nachtspaziergang	n a x t ʃ p a t͡s iː ɐ̯ ɡ a ŋ
nachtspeicherheizung	n a χ t ʃ p a ɪ̯ ç ə ʁ h a ɪ̯ t s ʊ ŋ
nachttisch	n a χ t ɪ ʃ
nachttopf	n a χ t ɔ p f
nachtwächter	n a x t v ɛ ç t ɐ
nachtzeit	n a x t t͡s a ɪ̯ t
nachwahl	n aː x v aː l
nachwahlen	n aː x v aː l ə n
nachweis	n aː χ v a ɪ̯ s
nachwelt	n aː χ v ɛ l t
nachwirkung	n aː x v ɪ ʁ k ʊ ŋ
nachwort	n aː x v ɔ ʁ t
nachwuchs	n aː x v uː k s
nachzipf	n aː χ t͡s ɪ p f
nachzügler	n aː x t͡s yː k l ɐ
nachzüglerin	n aː x t͡s yː k l ə ʁ ɪ n
nachäffer	n aː x ɛ f ɐ
nachäfferin	n aː x ɛ f ə ʁ ɪ n
nachäffung	n aː χ ʔ ɛ f ʊ ŋ
nackedei	n a k ə d a ɪ̯
nacken	n a k ə n
nackens	n a k ə n s
nackenschlag	n a k ə n ʃ l aː k
nacktaufnahme	n a k t a ʊ̯ f n aː m ə
nacktbaden	n a k t b aː d n̩
nacktheit	n a k t h a ɪ̯ t
nacktschnecke	n a k t ʃ n ɛ k ə
nadel	n aː d ə l
nadelbaum	n aː d l̩ b a ʊ̯ m
nadelblatt	n aː d ə l b l a t
nadelblättchen	n aː d ə l b l ɛ t ç ə n
nadelblättchens	n aː d ə l b l ɛ t ç ə n s
nadelgehölz	n aː d ə l ɡ ə h œ l t͡s
nadelgehölzen	n aː d l̩ ɡ ə h œ l t͡s n̩
nadelholz	n aː d l̩ h ɔ l t͜s
nadelkissen	n aː d l̩ k ɪ s n̩
nadelspitze	n aː d ə l ʃ p ɪ t s ə
nadelspitzen	n aː d ə l ʃ p ɪ t s ə n
nadelstiche	n aː d l̩ ʃ t ɪ ç ə
nadelstiches	n aː d l̩ ʃ t ɪ ç ə s
nadelstichs	n aː d l̩ ʃ t ɪ ç s
nadelwald	n aː d l̩ v a l t
nadelöhr	n aː d l̩ ʔ øː ɐ̯
nadeschda	n a d j ɛ ʃ d a
nadia	n a d i a
nadine	n a d iː n
nadja	n a d j a
nafri	n a f ʁ i
nafris	n a f ʁ i s
nagel	n aː ɡ l̩
nagelbürstchen	n aː ɡ l̩ b ʏ ʁ s t ç ə n
nagelhaut	n aː ɡ l̩ h a ʊ̯ t
nagelkeilexzision	n aː ɡ l̩ k a ɪ̯ l ɛ k s t͡s i z i̯ oː n
nagellack	n aː ɡ ə l l a k
nagellackentferner	n aː ɡ ə l a k ɛ n t f ɛ r n ə r
nageln	n aː ɡ l̩ n
nagelprobe	n aː ɡ l̩ p ʁ oː b ə
nagen	n aː ɡ ə n
nagetier	n aː ɡ ə t iː r
nahaufnahme	n aː a ʊ̯ f n aː m ə
nahe	n aː ə
naherholungsgebiet	n aː ʔ ɛ ɐ̯ h oː l ʊ ŋ s ɡ ə b iː t
nahkampfsocke	n aː k a m p͡f z ɔ k ə
nahme	n aː m ə
nahrungsaufnahme	n aː ʁ ʊ ŋ s ʔ a ʊ̯ f n aː m ə
nahrungsergänzungsmittel	n aː ʁ ʊ ŋ s ʔ ɛ ɐ̯ ɡ ɛ n t͡s ʊ ŋ s m ɪ t l̩
nahrungskette	n aː ʁ ʊ ŋ s k ɛ t ə
nahrungsmangel	n aː ʁ ʊ ŋ s m a ŋ l̩
nahrungsmittel	n aː ʁ ʊ ŋ s m ɪ t l̩
nahrungsquelle	n aː ʁ ʊ ŋ s k v ɛ l ə
naht	n aː t
nahversorger	n aː f ɛ ɐ̯ z ɔ r ɡ ɐ
naivität	n a i v i t ɛː t
naivling	n a iː f l ɪ ŋ
namaste	n a m a s t eː
name	n aː m ə
namen	n aː m ə n
namensartikel	n aː m ə n s a ʁ t iː k l̩
namensgebung	n aː m ə n s ɡ eː b ʊ ŋ
namensschild	n aː m ə n s ʃ ɪ l t
namenstag	n aː m ə n s t aː k
namensträger	n aː m ə n s t ʁ ɛː ɡ ɐ
namensursprung	n aː m ɛ n s uː ɐ̯ ʃ p ʁ ʊ ŋ
namensvetter	n aː m ə n s f ɛ t ɐ
namenszusatz	n aː m ə n s t͡s uː z a t͡s
namibia	n a m iː b i a
namibier	n a m iː b i ɐ
namibierin	n a m iː b i ɐ ʁ ɪ n
nanzig	n a n t͡s ɪ ç
napf	n a p f
napfkuchen	n a p f k uː x ə n
napfschnecken	n a p f ʃ n ɛ k ə n
napoleon	n a p oː l e ɔ n
narbe	n a r b ə
narben	n a r b ə n
narde	n a ʁ d ə
narr	n a r
narrativ	n a ʁ a t iː f
narrengold	n a ʁ ə n ɡ ɔ l t
narwal	n a r v a l
narziss	n a ʁ t͡s ɪ s
narzisse	n a ʁ t͡s ɪ s ə
narzissmus	n a ʁ t͡s ɪ s m ʊ s
narzisst	n a ʁ t͡s ɪ s t
nasal	n a z aː l
nasallaut	n a z aː l l a ʊ̯ t
nasalvokal	n a z aː l v o k aː l
nase	n aː z ə
nasen	n aː z n
nasenaffe	n aː z n̩ ʔ a f ə
nasenbeinbruch	n aː z n̩ b a ɪ̯ n b ʁ ʊ x
nasenbär	n aː z n̩ b ɛː ɐ̯
nasenkuss	n aː z n k ʊ s
nasenkusses	n aː z n k ʊ s ə s
nasenküsse	n aː z n k ʏ s ə
nasenlaut	n aː z n̩ l a ʊ̯ t
nasenloch	n aː z ə n l ɔ χ
nasenring	n aː z n̩ ʁ ɪ ŋ
nasenschleimhaut	n aː z n̩ ʃ l a ɪ̯ m h a ʊ̯ t
nasenspitze	n aː z n̩ ʃ p ɪ t͡s ə
naseweis	n aː z ə v a ɪ̯ s
nashorn	n aː s h ɔ ʁ n
nashornkäfer	n aː s h ɔ ʁ n k ɛː f ɐ
nasiräer	n a z i ʁ eː ə ʁ
nasiräertum	n a z ɪ ʁ eː ɐ t uː m
natalie	n a t a l i
nati	n a t͡s i
nation	n a t͡s i̯ oː n
nationalfeiertag	n a t͡s i̯ o n aː l f a ɪ̯ ɐ t aː k
nationalfeiertage	n a t͡s i̯ o n aː l f a ɪ̯ ɐ t aː ɡ ə
nationalfeiertages	n a t͡s i̯ o n aː l f a ɪ̯ ɐ t aː ɡ ə s
nationalfeiertags	n a t͡s i̯ o n aː l f a ɪ̯ ɐ t aː k s
nationalflagge	n a t s i̯ o n aː l f l a ɡ ə
nationalismen	n a t͡s i̯ o n a l ɪ s m ə n
nationalismus	n a t s i̯ o n a l ɪ s m ʊ s
nationalität	n a t s i̯ o n a l i t ɛː t
nationalitäten	n a t s i̯ o n a l i t ɛː t n̩
nationalliteratur	n a t͡s i̯ o n aː l l ɪ t ə ʁ a t uː ɐ̯
nationalpark	n a t͡s i̯ o n aː l p a r k
nationalsozialismus	n a t s i̯ o n aː l z o t s i̯ a l ɪ s m ʊ s
nationalsozialist	n a t s i̯ o n aː l z o t s i̯ a l ɪ s t
nationalsozialisten	n a t s i̯ o n aː l z o t s i̯ a l ɪ s t n̩
nationalsprache	n a t͡s i̯ o n aː l ʃ p ʁ aː x ə
nationalstaat	n a t͡s i̯ o n aː l ʃ t aː t
nationalstolz	n a t s i̯ o n aː l ʃ t ɔ l t͡s
nationalversammlung	n a t s i̯ o n aː l f ɛ ɐ̯ z a m l ʊ ŋ
nationen	n a t s i̯ oː n ə n
natrium	n aː t ʁ i̯ ʊ m
natriumdampflicht	n a t ʁ i̯ ʊ m d a m p͡f l ɪ ç t
natron	n aː t ʁ ɔ n
natter	n a t ɐ
naturdenkmal	n a t uː ɐ̯ d ɛ ŋ k m aː l
naturen	n a t uː ʁ ə n
naturfreund	n a t uː ɐ̯ f ʁ ɔ ɪ̯ n t
naturgewalt	n a t uː ɐ̯ ɡ ə v a l t
naturkatastrophe	n a tʰ uː ɐ̯ k a t a s t ʁ oː f ə
natursekt	n a t uː r z e k t
naturtalent	n a t uː r t a l ɛ n t
naturtalentes	n a t uː ɐ̯ t a l ɛ n t ə s
naturwissenschaft	n a tʰ uː ɐ̯ v ɪ s n̩ ʃ a f t
nauheim	n a ʊ̯ h a ɪ̯ m
nauheims	n a ʊ̯ h a ɪ̯ m s
naumburg	n a ʊ̯ m b ʊ r k
naumburgs	n a ʊ̯ m b ʊ r k s
nauru	n a uː ʁ u
navi	n a v i
nazareth	n aː t s a ʁ ɛ t
nazaräer	n a t s ə ʁ eː ə ʁ
nazi	n aː t s i
nazis	n aː t s iː s
nazoräer	n a t s o ʁ eː ə ʁ
neapel	n e aː p ə l
neapolitaner	n eː a p o l i t aː n ɐ
nebel	n eː b ə l
nebelhorn	n eː b ə l h ɔ r n
nebelkrähe	n eː b l̩ k ʁ ɛː ə
nebelparder	n eː b l̩ p a ʁ d ɐ
nebelschwaden	n eː b l̩ ʃ v aː d n̩
nebelung	n eː b ə l ʊ ŋ
nebenbedeutung	n eː b ə n b ə d ɔ ɪ̯ t ʊ ŋ
nebenbedeutungen	n eː b ə n b ə d ɔ ɪ̯ t ʊ ŋ ə n
nebenfluss	n eː b n̩ f l ʊ s
nebengebäude	n eː b ə n ɡ ə b ɔ ʏ̯ d ə
nebenhoden	n eː b n̩ h oː d n̩
nebenkläger	n eː b ə n k l ɛː ɡ ɐ
nebenklägerin	n eː b ə n k l ɛː ɡ ə ʁ ɪ n
nebenklägerinnen	n eː b ə n k l ɛː ɡ ə ʁ ɪ n ə n
nebenklägers	n eː b ə n k l ɛː ɡ ɐ s
nebenlinie	n eː b ə n l iː n i̯ ə
nebenmann	n eː b ə n m a n
nebenniere	n eː b n̩ n iː ʁ ə
nebenprodukt	n eː b n̩ p ʁ o d ʊ k t
nebenpunkt	n eː b n̩ p ʊ ŋ k t
nebenrolle	n eː b n̩ ʁ ɔ l ə
nebensache	n eː b n̩ z a x ə
nebenschaltung	n eː b n̩ ʃ a l t ʊ ŋ
nebenschauplatz	n eː b m̩ ʃ a ʊ̯ p l a t͡s
nebenstraße	n eː b ə n ʃ t ʁ aː s ə
nebenthema	n eː b n̩ t eː m a
nebenweg	n eː b n̩ v eː k
nebenwohnsitz	n eː b ə n v oː n z ɪ t͡s
nebenwort	n eː b m̩ v ɔ ʁ t
necessaire	n e s ɛ s ɛː r
neckar	n ɛ k a ʁ
neckarsulm	n e k a r z ʊ l m
neckarsulms	n e k a r z ʊ l m s
neckarwestheim	n ɛ k a ʁ v ɛ s t h a ɪ̯ m
neffe	n ɛ f ə
negativität	n e ɡ a t i v i t ɛː t
negativitätsverzerrung	n e ɡ a t i v i t ɛː t͡s f ɛ ɐ̯ t͡s ɛ ʁ ʊ ŋ
neger	n eː ɡ ɐ
negerant	n ɛ ɡ ɐ ʁ a n t
negerchen	n eː ɡ ɐ ç ə n
negerchens	n eː ɡ ɐ ç ə n s
negerin	n eː ɡ ə ʁ ɪ n
negerlein	n eː ɡ ɐ l a ɪ̯ n
negerleins	n eː ɡ ɐ l a ɪ̯ n s
negligé	n e ɡ l i ʒ eː
nehiba	n ɛ h ɪ b a
nehmer	n eː m ɐ
nehrung	n eː ʁ ʊ ŋ
nehyba	n ɛ h ɪ b a
neid	n a ɪ̯ t
neige	n a ɪ̯ ɡ ə
neigung	n a ɪ̯ ɡ ʊ ŋ
neinsager	n a ɪ̯ n z aː ɡ ɐ
neiße	n a ɪ̯ s ə
nekrolog	n e k ʁ o l oː k
nektar	n ɛ k t aː ɐ̯
nektarine	n ɛ k t a r iː n ə
nele	n eː l ə
nelkenstrauß	n ɛ l k ə n ʃ t r a ʊ̯ s
nelkenwurz	n ɛ l k n̩ v ʊ ʁ t͡s
nemesis	n eː m e z ɪ s
nenner	n ɛ n ɐ
nennform	n ɛ n f ɔ ʁ m
nennung	n ɛ n ʊ ŋ
nennwert	n ɛ n v eː r t
neofaschismus	n e o f a ʃ ɪ s m ʊ s
neogen	n e o ɡ eː n
neoklassik	n e o k l a s ɪ k
neoliberalismus	n e o l i b e ʁ a l ɪ s m ʊ s
neolithikum	n eː o l iː t i k ʊ m
neon	n eː ɔ n
neonatologe	n eː o n aː t o l oː ɡ ə
neonatologin	n eː o n aː t o l oː ɡ ɪ n
neongrün	n eː ɔ n ɡ ʁ yː n
neophyt	n eː o f yː t
neoplasie	n e o p l a z iː
neopronomen	n eː o p ʁ o n oː m ə n
neopronomens	n eː o p ʁ o n oː m ə n s
neopronomina	n eː o p ʁ o n oː m i n a
neoproterozoikum	m e z o p ʁ o t e ʁ o t s oː i k ʊ m
neorenaissance	n eː o ʁ ə n ɛ s ɑ̃ː s
neovagina	n e o v a ɡ iː n a
neovaginae	n e o v a ɡ iː n ɛː
neovaginen	n e o v a ɡ iː n ə n
nepal	n eː p a l
nepp	n ɛ p
neptun	n ɛ p t uː n
nerd	n ɜː d
nerv	n ɛ r f
nervengas	n ɛ ʁ f n̩ ɡ aː s
nervengase	n ɛ ʁ f n̩ ɡ aː z ə
nervengasen	n ɛ ʁ f n̩ ɡ aː z n̩
nervengases	n ɛ ʁ f n̩ ɡ aː z ə s
nervenklinik	n ɛ ʁ v ə n k l iː n ɪ k
nervenkostüm	n ɛ ʁ f n̩ k ɔ s t yː m
nervennahrung	n ɛ ʁ f n̩ n aː ʁ ʊ ŋ
nervenstärke	n ɛ ʁ f ə n ʃ t ɛ ʁ k ə
nervensäge	n ɛ ʁ f n̩ z ɛː ɡ ə
nerverl	n ɛ ɐ̯ f ɐ l
nervosität	n ɛ ʁ v o z i t ɛː t
nerzjacken	n ɛ ʁ t͡s j a k ə n
nessel	n ɛ s l̩
nest	n ɛ s t
nester	n ɛ s t ɐ
nestflüchter	n ɛ s t f l ʏ ç t ɐ
nesthocker	n ɛ s t h ɔ k ɐ
nesthäkchen	n ɛ s t h ɛː k ç ə n
netanjahu	n e t a n j aː h u
netphen	n ɛ t f ə n
netsch	n e t ʃ
nettogehalt	n ɛ t oː ɡ ə h a l t
nettogewinn	n ɛ t o ɡ ə v ɪ n
nettorendite	n ɛ t o ʁ ɛ n d iː t ə
nettospanne	n ɛ t o ʃ p a n ə
networking	n ɛ t w œ ʁ k ɪ ŋ
netz	n ɛ t͡s
netzaktivist	n ɛ t͡s ʔ a k t i v ɪ s t
netzmagen	n ɛ t͡s m aː ɡ n̩
