'n	m
interzellular	ɪ n t ɐ t͡s ɛ l u l aː ɐ̯
interzellulär	ɪ n t ɐ t͡s ɛ l u l ɛː ɐ̯
intestinal	ɪ n t ɛ s t i n aː l
intrakrustal	ɪ n t ʁ a k ʁ ʊ s t aː l
intrakulturell	ɪ n t ʁ a k ʊ l t u ʁ ɛ l
intransigent	ɪ n t ʁ a n z i ɡ ɛ n t
intransigenz	ɪ n t ʁ a n z i ɡ ɛ n t͡s
intransitiv	ɪ n t ʁ a n z i t iː f
intraossär	ɪ n t ʁ a ʔ ɔ s ɛː ɐ̯
intrauterin	ɪ n t ʁ a ʔ u t e ʁ iː n
intrigant	ɪ n t ʁ i ɡ a n t
intrigieren	ɪ n t ʁ i ɡ iː ʁ ə n
intrinsisch	ɪ n t ʁ ɪ n z ɪ ʃ
introjektion	ɪ n t ʁ o j ɛ k t s i̯ oː n
introspektion	ɪ n t ʁ o s p ɛ k t͡s i̯ oː n
introspektiv	ɪ n t ʁ o s p ɛ k t iː f
intrusion	ɪ n t ʁ u z i̯ oː n
intrusionen	ɪ n t ʁ u z i̯ oː n ə n
intuition	ʔ ɪ n t u i t s i̯ oː n
intus	ɪ n t ʊ s
invalide	ɪ n v a l iː d ə
invalidität	ɪ n v a l i d i t ɛː t
invasion	ɪ n v a z i̯ oː n
invasionen	ɪ n v a z i̯ oː n ə n
inventarisation	ɪ n v ɛ n t a ʁ i z a t͡s i̯ oː n
inversion	i n v ɛ r z j o n
invertiert	ɪ n v ɛ ʁ t iː ɐ̯ t
investieren	ɪ n v ɛ s t iː ʁ ə n
investigativ	ɪ n v ɛ s t i ɡ a t iː f
investigativjournalismus	ɪ n v ɛ s t i ɡ a t iː f ʒ ʊ ɐ̯ n a l ɪ s m ʊ s
investition	ʔ ɪ n v ɛ s t i t s i̯ oː n
investitionen	ʔ ɪ n v ɛ s t i t s i̯ oː n ə n
investitionsrunde	ɪ n v ɛ s t ɪ t͡s j oː n s ʁ ʊ n d ə
investiv	ɪ n v ɛ s t iː f
investment	ɪ n v ɛ s t m ə n t
investmentaktiengesellschaft	ɪ n v ɛ s t m ə n t ʔ a k t͡s i̯ ə n ɡ ə z ɛ l ʃ a f t
investor	ɪ n v ɛ s t o ɐ
involutionen	ɪ n v o l u t͡s i̯ oː n ə n
involvieren	ɪ n v ɔ l v iː ʁ ə n
inwendig	ɪ n v ɛ n d ɪ k
inwiefern	ɪ n v iː f ɛ ʁ n
inwohner	ɪ n v oː n ɐ
inzest	ɪ n t͡s ɛ s t
inzestuös	ɪ n t s ɛ s t u øː s
inzident	ɪ n t s i d ɛ n t
inzidenz	ɪ n t͡s i d ɛ n t͡s
inzucht	ɪ n t͡s ʊ x t
inzwischen	ɪ n t͡s v ɪ ʃ n̩
inzüchtig	ɪ n t͡s ʏ ç t ɪ k
iod	i̯ oː t
iodhaltig	i̯ oː t h a l t ɪ ç
iodid	j oː d iː t
iodidhaltig	j oː d iː t h a l t ɪ ç
ion	i oː n
ionen	i oː n ə n
ionotrop	i̯ o n o t ʁ oː p
iphone	a ɪ̯ f oː n
ipsativ	ɪ p s a t iː f
irade	i r aː d ə
irak	i ʁ aː k
iraker	i ʁ aː k ɐ
irakerin	i ʁ aː k ɐ ʁ ɪ n
irakisch	i ʁ aː k ɪ ʃ
iran	i ʁ aː n
iranistik	i ʁ a n ɪ s t ɪ k
irden	ɪ ʁ d ə n
irdengut	ɪ ʁ d ə n ɡ uː t
irdengutes	ɪ ʁ d ə n ɡ uː t ə s
irdenguts	ɪ ʁ d ə n ɡ uː t s
irdisch	ɪ r d ɪ ʃ
irene	i ʁ eː n ə
irgendein	ɪ r ɡ ə n t a ɪ̯ n
irgendetwas	ɪ ʁ ɡ n̩ t ʔ ɛ t v a s
irgendjemand	ɪ ʁ ɡ n̩ t j eː m a n t
irgendwann	ɪ ɐ̯ n t v a n
irgendwas	ɪ ʁ ɡ n̩ t v a s
irgendwelche	ɪ ɐ̯ n t v ɛ l ç ə
irgendwie	ɪ ɐ̯ n t v i
irgendwo	ɪ ɐ̯ n t v oː
irgendwoher	ɪ ʁ ɡ ə n d v oː h eː ɐ̯
irgendwohin	ɪ ʁ ɡ ə n d v oː h ɪ n
iris	iː ʁ ɪ s
irisieren	iː ʁ ɪ z iː ʁ ə n
irland	ɪ r l a n t
irländer	ɪ ʁ l ɛ n d ɐ
irländisch	ɪ ʁ l ɛ n d ɪ ʃ
iro	ʔ iː ʁ o
irokese	ʔ i ʁ o k eː z ə
irokesen	i ʁ o k eː z n̩
irokesenschnitt	ʔ i ʁ o k eː z n̩ ʃ n ɪ t
irokesenschnitte	ʔ i ʁ o k eː z n̩ ʃ n ɪ t ə
irokesisch	i ʁ o k eː z ɪ ʃ
ironie	i ʁ o n iː
irrational	ɪ ʁ a t͡s i̯ o n aː l
irre	ʔ ɪ ʁ ə
irredentismus	ɪ ʁ e d ɛ n t ɪ s m ʊ s
irregehen	ɪ ʁ ə ɡ eː ə n
irregulär	ɪ ʁ e ɡ u l eː ɐ̯
irreligiös	ɪ ʁ e l i ɡ j øː s
irremachen	ɪ ʁ ə m a x n̩
irren	ɪ ʁ ə n
irrenanstalt	ɪ ʁ ə n ʔ a n ʃ t a l t
irrenarzt	ɪ ʁ ə n ʔ aː ɐ̯ t͡s t
irrenhaus	ɪ ʁ ə n h a ʊ̯ s
irrer	ʔ ɪ ʁ ɐ
irrglaube	ɪ ʁ ɡ l a ʊ̯ b ə
irrig	ɪ ʁ ɪ k
irritieren	ɪ r i t iː r ə n
irrlicht	ɪ ʁ l ɪ ç t
irrlichtern	ɪ ʁ l ɪ ç t ɐ n
irrlichternd	ɪ ʁ l ɪ ç t ɐ n t
irrsal	ɪ ʁ z aː l
irrsinn	ɪ ʁ z ɪ n
irrsinnigkeit	ɪ ʁ z ɪ n ɪ ç k a ɪ̯ t
irrtum	ɪ ʁ t ʊ m
irrtümer	ɪ ʁ t yː m ɐ
irrtümlich	ɪ ʁ t yː m l ɪ ç
irrtümlicherweise	ɪ ʁ t yː m l ɪ ç ɐ v a ɪ̯ z ə
irrung	ɪ ʁ ʊ ŋ
irrweg	ɪ ʁ v eː k
isaak	iː z a a k
isabella	ʔ i z a b ɛ l a
isabelle	i z a b ɛ l
ische	ɪ ʃ ə
ischias	ɪ ʃ i̯ a s
ischämie	ɪ s ç ɛ m iː
ischämisch	ɪ s ç eː m ɪ ʃ
isegrim	iː z ə ɡ ʁ ɪ m
isenthalp	iː z ɛ n t a l p
isentrop	iː z ɛ n t ʁ oː p
iserlohn	iː z ə r l oː n
islam	ɪ s l aː m
islamische	ɪ s l a m ɪ ʃ ə
islamisierung	ɪ s l a m i z iː ʁ ʊ ŋ
islamologen	ɪ s l aː m o l oː ɡ n̩
islamwissenschaft	ɪ s l aː m v ɪ s ə n ʃ a f t
isländer	iː s l ɛ n d ɐ
ismus	ɪ s m ʊ s
isobar	ʔ iː z o b aː ɐ̯
isobare	i z o b aː ʁ ə
isodiametrisch	i z o d i a m eː t ʁ ɪ ʃ
isodom	i z o d oː m
isoglosse	i z o ɡ l ɔ s ə
isokinetisch	i z o k i n eː t ɪ ʃ
isolationistisch	i z o l a t͡s i̯ o n ɪ s t ɪ ʃ
isolieren	i z o l iː ʁ ə n
isomerase	i z o m eː ɐ̯ ʁ aː z ə
isomerasen	i z o m eː ɐ̯ ʁ aː z ə n
isotherme	i z o t ɛ ʁ m ə
isotonisch	i z o t oː n ɪ ʃ
isotop	i z o t oː p
israeli	iː s ʁ a eː l i
israelin	iː s ʁ a eː l ɪ n
israelit	iː s ʁ a e l iː t
israelitisch	iː s ʁ a e l iː t ɪ ʃ
isses	ɪ s ə s
isso	ɪ s oː
ist	ɪ s
istanbul	ɪ s t a m b uː l
isthmus	ɪ s t m ʊ s
ists	ɪ s t s
itaker	iː t a k ɐ
italianistik	i t a l i a n ɪ s t ɪ k
italien	i t aː l i̯ ə n
italiener	i t a l i̯ eː n ɐ
italienisch	i t a l i̯ eː n ɪ ʃ
italiens	i t aː l i̯ ə n s
italiker	i t aː l ɪ k ɐ
italisch	i t aː l ɪ ʃ
italowestern	i t aː l o v ɛ s t ɐ n
iterativ	i t e ʁ a t iː f
ithyphallisch	i t y f a l ɪ ʃ
itzehoe	ɪ t͡s ə h oː
itzig	ɪ t s ɪ ç
itzo	ɪ t͡s o
ivorisch	i v oː ʁ ɪ ʃ
j	j eː
jabot	ʒ a b oː
jach	j a x
jackett	ʒ a k ɛ t
jackpot	d͡ʒ ɛ k p ɔ t
jackpots	d͡ʒ ɛ k p ɔ t s
jacqueline	ʒ a k l iː n
jacuzzi	d͡ʒ a k uː z i
jade	j aː d ə
jadegrün	j aː d ə ɡ ʁ yː n
jagd	j a x t
jagdbar	j aː k t b aː r
jagdberechtigt	j aː k t b ə ʁ ɛ ç t ɪ ç t
jagdbesessen	j aː k t b ə z ɛ s n̩
jagdbeute	j aː k t b ɔ ɪ̯ t ə
jagden	j a x d ə n
jagdflugzeug	j aː k t f l uː k t͡s ɔ ɪ̯ k
jagdgerecht	j aː k t ɡ ə ʁ ɛ ç t
jagdgrund	j aː k t ɡ ʁ ʊ n t
jagdhorn	j aː k t h ɔ ʁ n
jagdhund	j aː k t h ʊ n t
jagdlich	j aː k t l ɪ ç
jagdmesser	j aː k t m ɛ s ɐ
jagdrechtlich	j aː k t ʁ ɛ ç t l ɪ ç
jagdschlösschen	j aː k t ʃ l œ s ç ə n
jagdschlösser	j aː k t ʃ l œ s ɐ
jagdwild	j a x t v ɪ l t
jagen	j aː ɡ ə n
jagt	j aː k t
jagten	j aː k t ə n
jaguar	j aː ɡ u̯ aː r
jahr	j aː r
jahrende	j aː ʁ ə n d ə
jahresamt	j aː ʁ ə s a m t
jahresbedarf	j aː ʁ ə s b ə d a ʁ f
jahreseinkommen	j aː ʁ ə s a ɪ̯ n k ɔ m ə n
jahresende	j aː ʁ ə s ɛ n d ə
jahresendflügelfigur	j aː ʁ ə s ʔ ɛ n t f l yː ɡ ə l f i ɡ uː ɐ̯
jahreshälfte	j aː ʁ ə s h ɛ l f t ə
jahreskarte	j aː ʁ ə s k a ʁ t ə
jahrespacht	j aː ʁ ə s p a x t
jahrespachten	j aː ʁ ə s p a x t n̩
jahressonderzahlung	j aː ʁ ə s z ɔ n d ɐ t s aː l ʊ ŋ
jahresumsatz	j aː ʁ ə s ʔ ʊ m z a t͡s
jahresverdienst	j aː ʁ ə s f ɛ ʁ d iː n s t
jahresversammlung	j aː ʁ ə s f ɛ ɐ̯ z a m l ʊ ŋ
jahreswechsel	j aː ʁ ə s v ɛ k s l̩
jahreszeit	j aː ʁ ə s t͡s a ɪ̯ t
jahreszeiten	j aː ʀ ə s t s a ɪ̯ t ə n
jahresüberschuss	j aː ʁ ə s yː b ɐ ʃ ʊ s
jahrgang	j aː ɐ̯ ɡ a ŋ
jahrhundert	j aː ɐ̯ h ʊ n d ɐ t
jahrhunderte	j aː ɐ̯ h ʊ n d ɐ t ə
jahrhundertelang	j aː ɐ̯ h ʊ n d ɐ t ə l a ŋ
jahrhundertende	j aː ɐ̯ h ʊ n d ɐ t ɛ n d ə
jahrhundertflut	j aː ɐ̯ h ʊ n d ɐ t f l uː t
jahrhunderthochwasser	j aː r h ʊ n d ə r t h oː x v a s ə r
jahrhundertmitte	j aː ɐ̯ h ʊ n d ɐ t m ɪ t ə
jahrhundertwende	j aː ɐ̯ h ʊ n d ɐ t v ɛ n d ə
jahrtausende	j aː ɐ̯ t a ʊ̯ z n̩ d ə
jahrtausendelang	j aː ʁ t a ʊ̯ z ə n d ə l a ŋ
jahrzehnt	j a t s eː n t
jahrzehnte	j aː ɐ̯ t͡s eː n t ə
jahrzehntelang	j aː ɐ̯ t s eː n t ə l a ŋ
jahwe	j aː v e
jakob	j aː k ɔ p
jakobsleiter	j aː k ɔ p s l a ɪ̯ t ɐ
jakobsmuschel	j aː k ɔ p s m ʊ ʃ l̩
jakobus	j a k oː b ʊ s
jalousie	ʒ a l u z iː
jamaika	d ʒ a m a ɪ̯ k a
jambisch	j a m b ɪ ʃ
jammer	d ʒ ɛ m ɐ
jammerlappen	j a m ɐ l a p n̩
jammerschade	j a m ɐ ʃ aː d ə
jammertal	j a m ɐ t aː l
jankowitsch	j a ŋ k o v i t͡ʃ
januar	j a n u aː r
janusköpfig	j aː n ʊ s k œ p f ɪ ç
japaner	j a p aː n ɐ
japanisch	j a p aː n ɪ ʃ
japanische	j a p aː n ɪ ʃ ə
japanischen	j a p aː n ɪ ʃ n̩
japanischs	j a p aː n ɪ ʃ s
japanologie	j a p a n o l o ɡ iː
jappen	j a p ə n
japse	j a p s ə
japsen	j a p s ə n
jar	j aː ɐ̯
jargon	ʃ a r ɡ oː n
jarmulke	j aː ɐ̯ m ʊ l k ə
jasager	j aː z aː ɡ ɐ
jasmin	j a s m iː n
jasminblüte	j a s m iː n b l yː t ə
jaspis	j a s p ɪ s
jauche	j a ʊ̯ x ə
jauchegrube	j a ʊ̯ x ə ɡ ʁ uː b ə
jauchzen	j a ʊ̯ x t͡s ə n
jaukerl	j a ʊ̯ k ɐ l
jaulen	j a ʊ̯ l ə n
jaunde	j a ʊ n d ə
jause	j ɑ ɔ̯ s ɛ
jausenbrot	j a ʊ̯ s ɛ n b ʁ oː t
jausengegner	j a ʊ z n̩ ɡ eː ɡ n ɐ
jausnen	j a ʊ̯ s n ɛ n
java	j aː v aː
javelwasser	ʒ a v ɛ l v a s ɐ
jawohl	j a v oː l
jazz	d͡ʒ ɛ s
jazzig	d͡ʒ ɛ s ɪ k
jazzoid	d͡ʒ ɛ s o iː t
jeans	d ʒ iː n s
jeansfarben	d͡ʒ iː n s f a ʁ b ə n
jeanshose	d͡ʒ iː n s h oː z ə
jeck	j ɛ k
jecke	j ɛ k ə
jeckisch	j ɛ k ɪ ʃ
jedem	j eː b m̩
jeden	j eː d n̩
jedermann	j eː d ɐ m a n
jederzeit	j eː d ɐ t͡s a ɪ̯ t
jedi	j eː d i
jeher	j eː h eː ɐ̯
jein	j a ɪ̯ n
jekaterinburg	j e k a t ə ʁ iː n b ʊ ʁ k
jelena	j e l eː n a
jelinek	j ɛ l ɪ n ɛ k
jelängerjelieber	j eː l ɛ ŋ ɐ j eː l iː b ɐ
jelängerjeliebers	j eː l ɛ ŋ ɐ j eː l iː b ɐ s
jemenit	j e m e n iː t
jemenitin	j e m e n iː t ɪ n
jemenitisch	j e m e n iː t ɪ ʃ
jenesien	j e n eː s i̯ ə n
jenisch	j eː n ɪ ʃ
jenissei	j e n i s eː i
jennifer	d͡ʒ ɛ n ɪ f ɐ
jenseitig	j eː n z a ɪ̯ t ɪ ç
jenseits	j eː n z a ɪ̯ t s
jerewan	j ɛ ʁ ɛ v aː n
jerichorose	j eː ʁ ɪ ç o ʁ oː z ə
jerusalem	j e ʁ uː z a l ɛ m
jesaja	j e z aː j a
jesu	j eː z u
jesuit	j e z u iː t
jesuitenorden	j e z u iː t ə n ɔ ʁ d ə n
jesuitisch	j e z u iː t ɪ ʃ
jet	d ʒ ɛ t
jett	d ʒ ɛ t
jetze	j ɛ t s ə
jetzig	j ɛ t s ɪ k
jetzt	j ɛ t s
jetztmensch	j ɛ t s m ɛ n ʃ
jever	j eː f ɐ
jeweilig	j eː v a ɪ̯ l ɪ k
jeweils	j eː v a ɪ̯ l s
jez	j ɛ t s
jiddischistisch	j ɪ d ɪ ʃ ɪ s t ɪ ʃ
jiddistik	j ɪ d ɪ s t ɪ k
jieper	j iː p ɐ
jihadistisch	d͡ʒ i h a d ɪ s t ɪ ʃ
jo	j oː
joa	j oː a
joachim	j o a x iː m
joachims	j o ʔ a x ɪ m s
jobanwärter	d͡ʒ ɔ p ʔ a n v ɛ ʁ t ɐ
jobanwärterin	d͡ʒ ɔ p ʔ a n v ɛ ʁ t ə ʁ ɪ n
jobanwärterinnen	d͡ʒ ɔ p ʔ a n v ɛ ʁ t ə ʁ ɪ n ə n
jobanwärtern	d͡ʒ ɔ p ʔ a n v ɛ ʁ t ɐ n
jobanwärters	d͡ʒ ɔ p ʔ a n v ɛ ʁ t ɐ s
jobaussicht	d͡ʒ ɔ p a ʊ̯ s z ɪ ç t
jobb	d ʒ ɔ p
jobben	d ʒ ɔ b m̩
jobber	d͡ʒ ɔ b ɐ
jobbet	d ʒ ɔ b ə t
jobcenter	d͡ʒ ɔ p s ɛ n t ɐ
jochbrücke	j ɔ x b ʁ ʏ k ə
jochbrücken	j ɔ x b ʁ ʏ k ə n
jochlaute	j ɔ x l a ʊ̯ t ə
jockel	j ɔ k l̩
jockey	d͡ʒ ɔ k e
jodhaltig	j oː t h a l t ɪ k
jodhpur	d ʒ ɔ d p uː ɐ̯
jodid	j oː d iː t
jodidhaltig	j oː d iː t h a l t ɪ ç
jodieren	j o d iː r ə n
joggen	d͡ʒ ɔ ɡ ə n
joghurt	j oː k ʊ ʁ t
joghurtbecher	j oː ɡ ʊ ʁ t b ɛ ç ɐ
johann	j oː h a n
johanna	j o h a n a
johannes	j o h a n ə s
johannesevangelium	j o h a n ə s ʔ e v a ŋ ɡ eː l i̯ ʊ m
johannisbeere	j o h a n ɪ s b eː r ə
johannisbrotkernmehl	j oː h a n ɪ s b ʁ oː t k ɛ ʁ n m eː l
johanniskraut	j o h a n ɪ s k ʁ a ʊ̯ t
johlen	j oː l ə n
joint	d ʒ ɔ ɪ̯ n t
joke	d͡ʒ o u̯ k
joker	d ʒ oː k ə r
jokus	j oː k ʊ s
jona	j oː n a
jonas	j oː n a s
jonglage	ʒ ɔ ŋ l aː ʒ ə
jongleurin	ʒ ɔ ŋ l øː ʁ ɪ n
jonglieren	ʒ ɔ ŋ l iː r ə n
joppe	j ɔ p ə
joppen	j ɔ p n̩
jordan	j ɔ ʁ d aː n
jordanien	j ɔ ʁ d aː n i ə n
jordanier	j ɔ ʁ d aː n i ɐ
jordanierin	j ɔ ʁ d aː n i ɐ ʁ ɪ n
josefskraut	j oː z ə f s k r a ʊ̯ t
jot	j ɔ t
jotas	j oː t a s
jotieren	j o t iː r ə n
joule	d͡ʒ uː l
journaille	ʒ ʊ r n a l j ə
journal	ʒ ʊ r n aː l
journalist	ʃ ɔ ʁ n a l ɪ s t
jovial	j o v i aː l
jubelperser	j uː b ə l p ɛ r z ə r
jubelperserin	j uː b l̩ p ɛ ʁ z ə ʁ ɪ n
jubiläum	j u b i l eː ʊ m
jubiläums	j u b i l ɛː ʊ m s
juchten	j ʊ x t ə n
juchzen	j ʊ x t͡s ə n
juckpulver	j ʊ k p ʊ l v ɐ
judaist	j u d a ɪ s t
judaistik	j u d a ɪ s t ɪ k
judaistisch	j u d a ɪ s t ɪ ʃ
judaskuss	j uː d a s k ʊ s
judaslohn	j uː d a s l oː n
jude	j uː d ə
judenchristlich	j uː d n̩ k ʁ ɪ s t l ɪ ç
judendeutsch	j uː d n̩ d ɔ ɪ̯ t͡ʃ
judenfeindlich	j uː d n̩ f a ɪ̯ n t l ɪ ç
judenfrage	j uː d ə n f ʁ aː ɡ ə
judengasse	j uː d ə n ɡ a s ə
judengenosse	j uː d n̩ ɡ ə n ɔ s ə
judenhass	j uː d ə n h a s
judenhaus	j uː d n̩ h a ʊ̯ s
judenknecht	j uː d ə n k n ɛ ç t
judenleim	j uː d n̩ l a ɪ̯ m
judenteutsch	j uː d n̩ t ɔ ʏ̯ t͡ʃ
judentum	j uː d n̩ t uː m
judentums	j uː d n̩ t uː m s
judentümer	j uː d n̩ t yː m ɐ
judikative	j u d i k a t iː v ə
judith	j uː d ɪ t
judiziös	j u d i t͡s i̯ øː s
judo	d͡ʒ uː d o
jugend	j uː ɡ ə n t
jugendamt	j uː ɡ n̩ t ʔ a m t
jugendarbeitslosigkeit	j uː ɡ ə n t a ʁ b a ɪ̯ t s l oː z ɪ ç k a ɪ̯ t
jugendfreund	j uː ɡ n̩ t f ʁ ɔ ɪ̯ n t
jugendgästehaus	j uː ɡ n̩ t ɡ ɛ s t ə h a ʊ̯ s
jugendlich	j uː ɡ ə n t l ɪ ç
jugendliche	j uː ɡ ə n t l ɪ ç ə
jugendlicher	j uː ŋ k l ɪ ç ɐ
jugendsprache	j uː ɡ n̩ t ʃ p ʁ aː x ə
jugendsprachen	j uː ɡ n̩ t ʃ p ʁ aː x ə n
jugendsprachlich	j uː ɡ n̩ t ʃ p ʁ aː χ l ɪ ç
jugendstil	j uː ɡ ŋ̩ t s t iː l
jugendsünde	j uː ɡ n̩ t z ʏ n d ə
jugendzeit	j uː ɡ n̩ t t͡s a ɪ̯ t
jugoslawien	j u ɡ o s l aː v i̯ ə n
jugoslawisch	j u ɡ o s l aː v ɪ ʃ
juhu	j u h uː
jule	j uː l ə
julei	j u l a ɪ̯
julfest	j uː l f ɛ s t
juli	j uː l i
julia	j uː l i̯ a
juliane	j u l i̯ aː n ə
julianisch	j u l i̯ aː n i ʃ
julius	j uː l i̯ ʊ s
julklapp	j uː l k l a p
julmond	j uː l m oː n t
jumbojet	d ʒ a m b o d ʒ ɛ t
jumpsuit	d͡ʒ a m p s j uː t
jungbrunnen	j ʊ ŋ b ʁ ʊ n ə n
junget	j ʊ ŋ ə t
jungfernhäutchen	j ʊ ŋ f ɐ n h ɔ ʏ̯ t ç ə n
jungfernkranz	j ʊ ŋ f ə r n k r a n s
jungfrau	j ʊ ŋ f ʁ a ʊ̯
jungfrauen	j ʊ ŋ f ʁ a ʊ̯ ə n
jungfrauengeburt	j ʊ ŋ f ʁ a ʊ̯ ə n ɡ ə b ʊ ʁ t
jungfrauschaft	j ʊ ŋ f ʁ a ʊ̯ ʃ a f t
jungfräulich	j ʊ ŋ f ʁ ɔ ɪ̯ l ɪ ç
jungfräulichkeit	j ʊ ŋ f ʁ ɔ ɪ̯ l ɪ ç k a ɪ̯ t
junggeselle	j ʊ ŋ ɡ ə z ɛ l ə
junggesellin	j ʊ ŋ ɡ ə z ɛ l ɪ n
junggesellinnenabschied	j ʊ ŋ ɡ ə z ɛ l ɪ n ɘ n a p ʃ iː t
junggrammatiker	j ʊ ŋ ɡ ʁ a m a t ɪ k ɐ
jungmann	j ʊ ŋ m a n
jungs	j ʊ ŋ s
jungspund	j ʊ ŋ ʃ p ʊ n t
jungsteinzeitlich	j ʊ ŋ ʃ t a ɪ̯ n t s a ɪ̯ t l ɪ ç
jungtürkisch	j ʊ ŋ t ʏ ʁ k ɪ ʃ
jungunternehmen	j ʊ ŋ ʔ ʊ n t ɐ n eː m ə n
jungvolk	j ʊ ŋ f ɔ l k
jungzwiebel	j ʊ ŋ t͡s v iː b l̩
juni	j uː n i
juniorin	j u n i̯ oː ʁ ɪ n
junkfood	d͡ʒ a ŋ k f uː d
junkie	d ʒ a ŋ k i
junktim	j ʊ ŋ k t ɪ m
junktion	j ʊ ŋ k t͡s i̯ oː n
junktor	j ʊ ŋ k t oː ɐ̯
juno	j u n oː
junta	h ʊ n t a
jupe	ʒ yː p
jupiter	j uː p i t ɐ
jupitergroß	j uː p i t ɐ ɡ ʁ oː s
jupp	j ʊ p
jurist	j u ʁ ɪ s t
juristerei	j u ʁ ɪ s t ə ʁ a ɪ̯
juristin	j u ʁ ɪ s t ɪ n
juristisch	j u ʁ ɪ s t ɪ ʃ
jury	ʒ y ʁ iː
jus	j uː s
jussiv	j u s iː f
justizausschuss	j ʊ s t iː t s ʔ a ʊ̯ s ʃ ʊ s
justizausschuß	j ʊ s t iː t s ʔ a ʊ̯ s ʃ ʊ s
justiziabel	j u s t i t͡s i̯ aː b l̩
justizposse	j ʊ s t iː t s p ɔ s ə
justus	j ʊ s t ʊ s
jut	j uː t
jute	j uː t ə
juten	j uː t ə n
jutetasche	j uː t ə t a ʃ ə
jutetaschen	j uː t ə t a ʃ n̩
juwel	j u v eː l
juwelier	j u v eː l iː ɐ̯
jux	j ʊ k s
juxtarenal	j ʊ k s t a ʁ e n aː l
jwd	j ɔ t v e d eː
jäger	j eː ɡ ɐ
jägerei	j ɛː ɡ ə ʁ a ɪ̯
jägergrün	j ɛː ɡ ɐ ɡ ʁ yː n
jägerin	j eː ɡ ə ʁ ɪ n
jägerinnen	j ɛː ɡ ə ʁ ɪ n ə n
jägerlatein	j ɛː ɡ ɐ l a t a ɪ̯ n
jägerlateins	j ɛː ɡ ɐ l a t a ɪ̯ n s
jägermeister	j ɛː ɡ ɐ m a ɪ̯ s t ɐ
jägers	j ɛː ɡ ɐ s
jägerschnitzel	j ɛː ɡ ɐ ʃ n ɪ t s l̩
jägerschnitzels	j ɛː ɡ ɐ ʃ n ɪ t s l̩ s
jägersprache	j ɛː ɡ ɐ ʃ p ʁ aː x ə
jägersprachlich	j ɛː ɡ ɐ ʃ p ʁ aː χ ə
jäh	j eː
jählings	j ɛː l ɪ ŋ s
jährchen	j ɛː ɐ̯ ç ə n
jähren	j eː ʁ ə n
jährig	j eː ʁ ɪ ç
jährlich	j ɛː ɐ̯ l ɪ ç
jähzornig	j eː t͡s ɔ ʁ n ɪ ç
jämmerlichkeit	j ɛ m ɐ l ɪ ç k a ɪ̯ t
jänner	j ɛ nː ɐ
jäten	j eː t ə n
jüdeln	j yː d l̩ n
jülich	j yː l ɪ ç
jülicher	j yː l ɪ ç ɐ
jülichers	j yː l ɪ ç ɐ s
jülichs	j yː l ɪ ç s
jüngerin	j ʏ ŋ ə ʁ ɪ n
jüngsten	j ʏ ŋ s t n̩
jürg	j ʏ ʁ k
jürgen	j ʏ r ɡ ə n
jüte	j yː t ə
jütin	j yː t ɪ n
jütland	j yː t l a n t
k	k aː
kaaba	k a ʔ a b aː
kabarett	k a b a ʁ ɛ t
kabarettist	k a b a ʁ ɛ t ɪ s t
kabbalistisch	k a b a l ɪ s t ɪ ʃ
kabbelei	k a b ə l a ɪ̯
kabbeln	k a b l̩ n
kabeljau	k aː b ə l j a ʊ̯
kabellos	k aː b ə l oː s
kabis	k aː b ɪ s
kabotage	k a b ɔ t aː ʒ ə
kabuff	k a b ʊ f
kabuki	k a b uː k i
kabul	k a b uː l
kabylei	k a b y l a ɪ̯
kacheln	k a x l̩ n
kachelofen	k a x l̩ ʔ oː f ɱ̩
kack	k a k
kackbraun	k a k b ʁ a ʊ̯ n
kacke	k a k ə
kacken	k a k ə n
kacker	k a k ɐ
kaddisch	k a d iː ʃ
kaderschabek	k aː d ɐ ʃ aː b ɛ k
kadett	k a d ɛ t
kadi	k aː d i
kaduk	k a d uː k
kaffe	k a f ə
kaffee	k a f e
kaffeebecher	k a f e b ɛ ç ɐ
kaffeebraun	k a f e b ʁ a ʊ̯ n
kaffeeersatz	k a f e ʔ ɛ ɐ̯ z a t͡s
kaffeefahrt	k a f e f aː ɐ̯ t
kaffeefilter	k a f e f ɪ l t ɐ
kaffeegrund	k a f e ɡ ʁ ʊ n t
kaffeehaus	k a f eː h a ʊ̯ s
kaffeekasse	k a f e k a s ə
kaffeekränzchen	k a f eː k ʁ ɛ n t s ç ə n
kaffeemaschine	k a f e m a ʃ iː n ə
kaffeepad	k a f e p ɛ t
kaffeepause	k a f e p a ʊ̯ z ə
kaffeesahne	k a f e z aː n ə
kaffeesatz	k a f e z a t͡s
kaffeesud	k a f eː s uː t
kaffeetafel	k a f e t aː f l̩
kaffeetafeln	k a f e t aː f ə l n
kaffein	k a f e iː n
kaffes	k a f ə s
kafkaesk	k a f k a ɛ s k
kahl	k aː l
kahlkopf	k aː l k ɔ p f
kahlköpfig	k aː l k œ p͡f ɪ ç
kahlköpfigkeit	k aː l k œ p͡f ɪ ç k a ɪ̯ t
kahm	k aː m
kahne	k aː n ə
kai	k a ɪ̯
kain	k a ɪ̯ n
kairiner	k a ɪ̯ ʁ iː n ɐ
kairo	k a ɪ̯ ʁ o
kairoer	k a ɪ̯ ʁ o ɐ
kairoerin	k a ɪ̯ ʁ o ə ʁ ɪ n
