'ch	χ
eilir	e i̯ l ɪ r
eillio	e i̯ ɬ j ɔ
eilradd	e i̯ l r a ð
eilrif	e i̯ l r iː v
eilunaddolgar	e i̯ l ɪ n a ð ɔ l ɡ a r
ein	e i̯ n
einion	e i̯ n j ɔ n
einsteiniwm	a i̯ n s d a i̯ n j ʊ m
eir	e i̯ r
eira	e i̯ r a
eirch	e i̯ r χ
eirchion	e i̯ r χ j ɔ n
eiriadurwr	e i̯ r j a d iː r ʊ r
eiriadurwyr	e i̯ r j a d ɪ r w ɪ r
eirian	e i̯ r j a n
eirin	e i̯ r ɪ n
eirina	e i̯ r iː n a
eirinen	e i̯ r iː n ɛ n
eirio	e i̯ r j ɔ
eiriol	e i̯ r j ɔ l
eirlaw	e i̯ r l a u̯
eirlithriad	e i r l ɪ θ r a d
eirlys	e i̯ r l ɪ s
eirlysiau	e i̯ r l ə s j a i̯
eirth	e i̯ r θ
eirwen	e i̯ r w ɛ n
eirwyn	e i̯ r w ɪ n
eiry	e i̯ r i
eisiau	e i̯ s j a i̯
eisoes	e i̯ s ɔ i̯ s
eistedd	e i̯ s d ɛ ð
eisteddfod	e i̯ s d ɛ ð v ɔ d
eisteddfodau	e i̯ s d ɛ ð v oː d a i̯
eisteddfodwr	e i̯ s d ɛ ð v oː d ʊ r
eisteddfodwyr	e i̯ s d ɛ ð v oː d ʊ i̯ r
eisteddfota	e i̯ s d ɛ ð v ɔ t a
eisteddle	e i̯ s d ɛ ð l ɛ
eith	e i̯ θ
eithaf	e i̯ θ a
eithr	e i̯ θ r
eithrio	e i̯ θ r j ɔ
el	ɛ l
elai	eː l a i̯
elain	eː l a i̯ n
elc	ɛ l k
elciaid	ɛ l k j a i̯ d
eldrydd	ɛ l d r ə ð
elech	eː l ɛ χ
electromagneteg	ɛ l ɛ k t r ɔ m a ɡ n ɛ t ɛ ɡ
electromagnetig	ɛ l ɛ k t r ɔ m a ɡ n ɛ t ɪ ɡ
electronig	ɛ l ɛ k t r oː n ɪ ɡ
electrwm	ɛ l ɛ k t r ʊ m
eled	eː l ɛ d
elem	eː l ɛ m
elen	eː l ɛ n
eleni	l eː n i
elent	eː l ɛ n t
elenydd	ɛ l eː n ɪ ð
eler	eː l ɛ r
eleri	ɛ l eː r i
elet	eː l ɛ t
elfed	ɛ l v ɛ d
elfen	ɛ l v ɛ n
elfennol	ɛ l v ɛ n ɔ l
elfennu	ɛ l v ɛ n i
elgan	ɛ l ɡ a n
eli	eː l i
elid	eː l ɪ d
eliffant	ɛ l ɪ f a n t
elin	eː l ɪ n
elir	eː l ɪ r
elit	eː l ɪ t
ell	ɛ ɬ
ella	ɛ ɬ a
elli	ɛ ɬ i
elltrewyn	ɛ ɬ t r e u̯ ɪ n
elltydd	ɛ ɬ d ɪ ð
ellyll	ɛ ɬ ɪ ɬ
ellyn	ɛ ɬ ɪ n
elo	eː l ɔ
eloch	eː l ɔ χ
elom	eː l ɔ m
elont	eː l ɔ n t
elor	eː l ɔ r
elorau	ɛ l oː r a i̯
elsai	ɛ l s a i̯
elsech	ɛ l s ɛ χ
elsem	ɛ l s ɛ m
elsent	ɛ l s ɛ n t
elsid	ɛ l s ɪ d
elsit	ɛ l s ɪ t
elswn	ɛ l s ʊ n
elusen	ɛ l ɪ s ɛ n
elw	eː l u
elwa	ɛ l w a
elwlen	ɛ l uː l ɛ n
elwn	eː l ʊ n
elwyf	eː l ʊ i̯ v
elych	eː l ɪ χ
elyn	eː l ɪ n
elynion	ɛ l ə n j ɔ n
em	ɛ m
emau	ɛ m a i̯
emiw	ɛ m ɪ u̯
emrallt	ɛ m r a ɬ d
emrys	ɛ m r ɪ s
emyn	ɛ m ɪ n
emynau	ɛ m ə n a i̯
emyr	ɛ m ɪ r
enaid	ɛ n a i̯ d
enbyd	ɛ n b ɪ d
encil	ɛ ŋ k ɪ l
eneth	eː n ɛ θ
enfawr	ɛ n v a u̯ r
enfyn	ɛ n v ɪ n
enfys	ɛ n v ɪ s
eng	ɛ ŋ
enghraifft	ɛ ŋ r ɛ f d
engyl	ɛ ŋ ɪ l
eni	eː n i
enid	ɛ n ɪ d
enillais	ɛ n ɪ ɬ a i̯ s
enillaist	ɛ n ɪ ɬ a i̯ s d
enillion	ɛ n ɪ ɬ j ɔ n
enillir	ɛ n ɪ ɬ ɪ r
enilloch	ɛ n ɪ ɬ ɔ χ
enillodd	ɛ n ɪ ɬ ɔ ð
enillon	ɛ n ɪ ɬ ɔ n
enillwch	ɛ n ɪ ɬ ʊ χ
enillwr	ɛ n ɪ ɬ ʊ r
enillwyr	ɛ n ɪ ɬ w ɪ r
enillydd	ɛ n ɪ ɬ ɪ ð
enjoio	ɛ n d͡ʒ ɔ i̯ ɔ
enllyn	ɛ n ɬ ɪ n
ennill	ɛ n ɪ ɬ
ennyd	ɛ n ɪ d
enrhifo	ɛ n r̥ iː v ɔ
entrych	ɛ n t r ɪ χ
entrychion	ɛ n t r ə χ j ɔ n
enw	eː n u
enwad	ɛ n w a d
enwebu	ɛ n w eː b i
enwocach	ɛ n w ɔ k a χ
enwocaf	ɛ n w ɔ k a
enwog	ɛ n w ɔ ɡ
enwogion	ɛ n w ɔ ɡ j ɔ n
enwol	ɛ n w ɔ l
eog	eː ɔ ɡ
eogiaid	ɛ ɔ ɡ j a i̯ d
eos	eː ɔ s
eosiaid	ɛ ɔ s j a i̯ d
epidemig	ɛ p ɪ d ɛ m ɪ ɡ
epidemigau	ɛ p ɪ d ɛ m iː ɡ a i̯
epidermis	ɛ p ɪ d ɛ r m ɪ s
epil	ɛ p ɪ l
epilgar	ɛ p ɪ l ɡ a r
epilio	ɛ p ɪ l j ɔ
epiliog	ɛ p ɪ l j ɔ ɡ
epilog	ɛ p iː l ɔ ɡ
er	ɛ r
eraill	eː r a i̯ ɬ
erbiwm	ɛ r b j ʊ m
erblith	ɛ r b l ɪ θ
erbyn	ɛ r b ɪ n
erch	ɛ r χ
erchi	ɛ r χ i
erchwyn	ɛ r χ w ɪ n
erchyll	ɛ r χ ɪ ɬ
erchyllter	ɛ r χ ə ɬ d ɛ r
erchylltod	ɛ r χ ə ɬ d ɔ d
erchylltra	ɛ r χ ə ɬ d r a
erddi	ɛ r ð i
erfin	ɛ r v ɪ n
erfyn	ɛ r v ɪ n
erfyniad	ɛ r v ə n j a d
ergyd	ɛ r ɡ ɪ d
erioed	r j oː d
eris	eː r ɪ s
erlid	ɛ r l ɪ d
erlyn	ɛ r l ɪ n
eroplen	ɛ r o p l ɛ n
ers	ɛ r s
erthygl	ɛ r θ ɪ ɡ l
erthyl	ɛ r θ ɪ l
erthyliad	ɛ r θ ə l j a d
erthylu	ɛ r θ ə l ɪ
erthylus	ɛ r θ ə l ɪ s
erw	eː r u
erwau	ɛ r w a i̯
erwr	eː r ʊ r
eryr	eː r ɪ r
eryraidd	ɛ r ə r a i̯ ð
eryri	ɛ r ə r i
erys	eː r ɪ s
es	eː s
esblygiad	ɛ s b l ə ɡ j a d
esboniadwy	ɛ s b ɔ n j a d ʊ i̯
eseciel	ɛ s ɛ k j ɛ l
eseia	ɛ s e i̯ a
esgaladur	ɛ s ɡ a l a d ɪ r
esgeulus	ɛ s ɡ e i̯ l ɪ s
esgeuluso	ɛ s ɡ e i̯ l iː s ɔ
esgid	ɛ s ɡ ɪ d
esgidiau	s ɡ ɪ d j ɛ
esgob	ɛ s ɡ ɔ b
esgobaeth	ɛ s ɡ oː b a i̯ θ
esgobion	ɛ s ɡ ɔ b j ɔ n
esgor	ɛ s ɡ ɔ r
esgori	ɛ s ɡ oː r i
esgoriad	ɛ s ɡ oː r j a d
esgud	ɛ s ɡ ɪ d
esgus	ɛ s ɡ ɪ s
esgusoda	ɛ s k ɪ s oː d a
esgusodol	ɛ s ɡ ɪ s oː d ɔ l
esgusodwch	ɛ s k ɪ s oː d ʊ χ
esgyll	ɛ s ɡ ɪ ɬ
esgyn	ɛ s ɡ ɪ n
esgynlawr	ɛ s ɡ ə n l a u̯ r
esgyrn	ɛ s ɡ ɪ r n
esmwyth	ɛ s m ʊ i̯ θ
esmwythydd	ɛ s m ʊ i̯ θ ɪ n
esmwytháu	ɛ s m ʊ i̯ θ a i̯
esra	ɛ s r a
est	eː s d
esteriad	ɛ s d ɛ r j a d
esteru	ɛ s d eː r ɨ
esther	ɛ s θ ɛ r
estonaidd	ɛ s d ɔ n a i̯ ð
estoniaidd	ɛ s d ɔ n j a i̯ ð
estron	ɛ s d r ɔ n
estrys	ɛ s d r ɪ s
estyn	ɛ s d ɪ n
estynwlad	ɛ s d ə n w l a d
ethan	ɛ θ a n
ether	eː θ ɛ r
etholadwy	ɛ θ ɔ l a d u
etholedig	ɛ θ ɔ l eː d ɪ ɡ
etholedigaeth	ɛ θ ɔ l ɛ d ɪ ɡ a i̯ θ
etholedigion	ɛ θ ɔ l ɛ d ɪ ɡ j ɔ n
etholiad	ɛ θ ɔ l j a d
etholiadau	ɛ θ ɔ l j a d a i̯
etholiadol	ɛ θ ɔ l j a d ɔ l
ethrefig	ɛ θ r eː v ɪ ɡ
etifedd	ɛ t iː v ɛ ð
etifeddes	ɛ t ɪ v eː ð ɛ s
etifeddol	ɛ t ɪ v eː ð ɔ l
etifeddu	ɛ t ɪ v eː ð i
eto	ɛ t ɔ
etyl	ɛ t ɪ l
eu	e i̯
euog	e i̯ ɔ ɡ
euradain	e i̯ r a d a i̯ n
eurafal	e i̯ r a v a l
eurben	e i̯ r b ɛ n
eurddrain	e i̯ r ð r a i̯ n
eurgylch	e i̯ r ɡ ɪ l χ
euro	e i̯ r ɔ
euron	e i̯ r ɔ n
eurwen	e i̯ r w ɛ n
eurwyn	e i̯ r w ɪ n
euryn	e i̯ r ɪ n
euthum	e i̯ θ ɪ m
ewcaryot	ɛ u̯ k a r j ɔ t
ewcaryotig	e u̯ k a r i ɔ t ɪ ɡ
ewch	ɛ u̯ χ
ewig	eː w ɪ ɡ
ewin	ɛ u̯ ɪ n
ewinfedd	ɛ u̯ ɪ n v ɛ ð
ewinrhew	ɛ u̯ ɪ n r̥ ɛ u̯
ewinrhewi	ɛ u̯ ɪ n r̥ ɛ u̯ i
ewro	ɛ u̯ r ɔ
ewrop	ɛ u̯ r ɔ p
ewropa	ɛ u̯ r ɔ p a
ewropaidd	ɛ u̯ r ɔ p a i̯ ð
ewropead	ɛ u̯ r ɔ p eː a d
ewropeaidd	ɛ u̯ r ɔ p eː a i̯ ð
ewropiwm	ɛ u̯ r ɔ p j ʊ m
ewyllys	ɛ u̯ ə ɬ ɪ s
ewyn	ɛ u̯ ɪ n
ewythr	ɛ u̯ ɪ r θ
f	ɛ v
fa's	v aː s
fab	v aː b
facebook	f eː s b ʊ k
fach	v aː χ
fachgen	v a χ ɡ ɛ n
fachgenyn	v a χ ɡ ɛ n ɪ n
fadagasgar	v a d a ɡ a s ɡ a r
fadfall	v a d v a ɬ
faedd	v a i̯ ð
faeddod	v e i̯ ð ɔ d
faen	v a i̯ n
faet	v a i̯ t
fag	v a ɡ
fagl	v a ɡ a l
fai	v a i̯
faint	v a i̯ n t
fair	v a i̯ r
faith	v a i̯ θ
falle	v a ɬ ɛ
falu	v a l i
falwoden	v a l w oː d ɛ n
falwr	v a l ʊ r
falwyr	v a l w ɪ r
fam	v a m
fambŵ	v a m b uː
fampir	v a m p ɪ r
fan	v a n
fanadiwm	v a n a d j ʊ m
faneg	v a n ɛ ɡ
fanwl	v a n ʊ l
fara	v a r a
farchnad	v a r χ n a d
farchogion	v a r χ ɔ ɡ j ɔ n
fardd	v a r ð
farfog	v a r v ɔ ɡ
farn	v a r n
farnau	v a r n a i̯
farnwr	v a r n ʊ r
farus	v a r ɪ s
fas	v aː s
fasai	v a s a i̯
fasen	s ɛ n
fasged	v a s ɡ ɛ d
fast	v a s d
faswn	v a s ʊ n
fasŵn	v a s uː n
fath	v aː θ
fatha	v a θ a
fathemateg	v a θ ɛ m a t ɛ ɡ
fawn	v a u̯ n
fawr	v a u̯ r
fawrth	v a u̯ r θ
fe	v eː
fechan	v eː χ a n
fechgyn	v ɛ χ ɡ ɪ n
fecsico	v ɛ k s ɪ k ɔ
fedd	v eː ð
feddal	v eː ð a l
feddwl	v eː ð ʊ l
feddygol	v ɛ ð ə ɡ ɔ l
feddylgar	v ɛ ð ə l ɡ a r
fedi	v eː d i
fedra	v ɛ d r a
fegan	v eː ɡ a n
fehefin	v ɛ h eː v ɪ n
feibion	v ə i̯ b j ɔ n
feidr	v e i̯ d r
feidrau	v e i̯ d r a i̯
feinwen	v e i̯ n w ɛ n
feirws	v e i̯ r ʊ s
feirysau	v e i̯ r ə s a i̯
feis	v e i̯ s
feithrin	v e i̯ θ r ɪ n
fel	v ɛ l
felarws	v ɛ l a r ʊ s
felfed	v ɛ l v ɛ d
felffast	v ɛ l f a s d
felly	v ɛ ɬ i
felyn	v eː l ɪ n
fen	v ɛ n
feneswela	v ɛ n ɛ s w eː l a
fenga	v ɛ ŋ ɡ a
fengach	v ɛ ŋ ɡ a χ
fenig	v eː n ɪ ɡ
fenthyg	v ɛ n θ ɪ ɡ
fenyn	v eː n ɪ n
fenyw	v eː n ɪ u̯
fenywaidd	v ɛ n ə u̯ a i̯ ð
fenywod	b ɛ n ɪ u̯ ɔ d
fer	v ɛ r
ferch	v ɛ r χ
ferdis	v ɛ r d ɪ s
ferf	v ɛ r v
ferfau	v ɛ r v a i̯
ferfenw	v ɛ r v eː n u
fersiwn	v ɛ r ʃ ʊ n
ferwi	v ɛ r w i
fesigl	v ɛ s ɪ ɡ l
fest	v ɛ s t
fesul	v ɛ s ɪ l
fesur	v ɛ s ɪ r
fether	v ɛ θ ɛ r
fetrig	v ɛ t r ɪ ɡ
fewn	v ɛ u̯ n
fewnblyg	v ɛ u̯ n b l ɪ ɡ
fewnol	v ɛ u̯ n ɔ l
ff	ɛ f
ffa	f aː
ffacbys	f a k b ɪ s
ffael	f a i̯ l
ffaeledig	f e i̯ l eː d ɪ ɡ
ffaelu	f e i̯ l i
ffafriol	f a v r j ɔ l
ffagl	f a ɡ a l
ffagod	f a ɡ ɔ d
ffair	f a i̯ r
ffaith	f a i̯ θ
ffald	f a l d
ffaldwellt	f a l d w ɛ ɬ d
ffalsio	f a l s j ɔ
ffarm	f a r m
ffasiwn	f a ʃ ʊ n
ffatri	f a t r i
ffau	f a i̯
ffawd	f a u̯ d
ffawt	f a u̯ t
ffawydd	f a u̯ ɪ ð
ffawydden	f a u̯ ə ð ɛ n
ffedog	f eː d ɔ ɡ
ffeil	f e i̯ l
ffeindiaf	f e i̯ n d a
ffeindio	f e i̯ n d j ɔ
ffenast	f eː n a s d
ffenest	f eː n ɛ s t
ffenestr	f eː n ɛ s t
ffenestri	f ɛ n ɛ s t r i
ffens	f ɛ n s
ffensiau	f ɛ n s j a i̯
ffensio	f ɛ n s j ɔ
ffensys	f ɛ n s ɪ z
fferi	f ɛ r i
fferins	f eː r ɪ n s
fferm	f ɛ r m
ffermio	f ɛ r m j ɔ
ffermiwm	f ɛ r m j ʊ m
ffermwr	f ɛ r m ʊ r
ffermydd	f ɛ r m ɪ ð
fferrig	f ɛ r ɪ ɡ
fferrus	f ɛ r ɪ s
fferyllfa	f ɛ r ə ɬ v a
fferyllol	f ɛ r ə ɬ ɔ l
ffesant	f ɛ z a n t
ffeuen	f e i̯ ɛ n
ffi	f iː
ffidil	f ɪ d ɪ l
ffigys	f iː ɡ ɪ s
ffigysbren	f ɪ ɡ ə s b r ɛ n
ffiji	f iː d͡ʒ i
ffili	f iː l i
ffilm	f ɪ l m
ffilmiau	f ɪ l m j a i̯
ffin	f iː n
ffindir	f ɪ n d ɪ r
ffiniol	f ɪ n j ɔ l
ffioedd	f iː ɔ i̯ ð
ffiolredyn	f i ɔ l r eː d ɪ n
ffion	f i ɔ n
ffionau	f i oː n a i̯
ffiseg	f ɪ z ɛ ɡ
ffisig	f ɪ s ɪ ɡ
ffisioleg	f ɪ s j ɔ l ɛ ɡ
ffit	f ɪ t
ffiws	f ɪ u̯ s
ffiwsen	f ɪ u̯ s ɛ n
ffiwsiau	f ɪ u̯ s j a i̯
ffiwsys	f ɪ u̯ s ɪ s
fflach	f l aː χ
fflag	f l aː ɡ
fflagelwm	f l a ɡ ɛ l ʊ m
fflamgwr	f l a m ɡ ʊ r
fflangell	f l a ŋ ɛ ɬ
fflapjac	f l a p d ʒ a k
fflasg	f l a s ɡ
fflat	f l a t
fflerofiwm	f l ɛ r ɔ v j ʊ m
fflint	ə f l ɪ n t
fflipfflop	f l ɪ p f l ɔ p
fflipfflops	f l ɪ p f l ɔ p s
ffliw	f l ɪ u̯
ffliwt	f l ɪ u̯ t
fflwcs	f l ʊ k s
fflwcsyn	f l ʊ k s ɪ n
fflworid	f l uː ɔ r ɪ d
fflworin	f l uː ɔ r ɪ n
fflycs	f l ə k s
fflyd	f l iː d
fflŵr	f l uː r
ffo	f oː
ffodus	f oː d ɪ s
ffog	f oː ɡ
ffoi	f ɔ i̯
ffolen	f oː l ɛ n
ffoli	f oː l i
ffolineb	f ɔ l iː n ɛ b
ffolyn	f oː l ɪ n
ffon	f ɔ n
ffonau	f oː n a i̯
ffonia	f ɔ n j a
ffoniaf	f ɔ n j a
ffoniais	f ɔ n j a i̯ s
ffoniaist	f ɔ n j a i̯ s d
ffonian	f oː n j a n
ffoniff	f oː n ɪ f
ffonio	f ɔ n j ɔ
ffonioch	f ɔ n j ɔ χ
ffoniodd	f ɔ n j ɔ ð
ffonion	f ɔ n j ɔ n
ffoniwch	f ɔ n j ʊ χ
ffoniwn	f ɔ n j ʊ n
ffonoleg	f ɔ n oː l ɛ ɡ
fforc	f ɔ r k
fforch	f ɔ r χ
fforchog	f ɔ r χ ɔ ɡ
ffordd	f ɔ r
fforddio	f ɔ r ð j ɔ
fforest	f oː r ɛ s t
fforiad	f ɔ r j a d
fforio	f ɔ r j ɔ
fformiwla	f ɔ r m ɪ u̯ l a
ffortiwn	f ɔ r t ɪ u̯ n
ffortun	f ɔ r t ɪ n
ffos	f oː s
ffosffad	f ɔ s f a d
ffosfforws	f ɔ s f ɔ r ʊ s
ffosil	f ɔ s ɪ l
ffotograff	f ɔ t ɔ ɡ r a f
ffotograffaidd	f ɔ t ɔ ɡ r a f a i̯ ð
ffotograffau	f ɔ t ɔ ɡ r a f a i̯
ffotograffiaeth	f ɔ t ɔ ɡ r a f j a i̯ θ
ffotograffiau	f ɔ t ɔ ɡ r a f j a i̯
ffotograffig	f ɔ t ɔ ɡ r a f ɪ ɡ
ffotograffwr	f ɔ t ɔ ɡ r a f ʊ r
ffotograffwyr	f ɔ t ɔ ɡ r a f w ɪ r
ffotograffydd	f ɔ t ɔ ɡ r a f ɪ ð
ffotograffyddion	f ɔ t ɔ ɡ r a f ə ð j ɔ n
ffowla	f o u̯ l a
ffowlio	f o u̯ l j ɔ
ffowlyn	f o u̯ l ɪ n
ffracsiwn	f r a k ʃ ʊ n
ffrae	f r a i̯
ffraeau	f r e i̯ a i̯
ffraegar	f r e i̯ ɡ a r
ffraeo	f r e i̯ ɔ
ffraeon	f r e i̯ ɔ n
ffraeth	f r a i̯ θ
ffrainc	f r a i̯ ŋ k
fframio	f r a m j ɔ
fframwaith	f r a m w a i̯ θ
ffrances	f r a ŋ k ɛ s
ffranciwm	f r a ŋ k j ʊ m
ffrancwr	f r a ŋ k ʊ r
ffrancwyr	f r a ŋ k w ɪ r
ffransis	f r a n s ɪ s
ffrengig	f r ɛ ŋ ɪ ɡ
ffres	f r ɛ ʃ
ffrewyll	f r ɛ u̯ ɪ ɬ
ffrind	f r ɪ n d
ffrindiau	f r i n d j a i̯
ffrio	f r iː ɔ
ffrithiant	f r ɪ θ j a n t
ffrithiol	f r ɪ θ j r ɔ l
ffrithiolyn	f r ɪ θ j oː l ɪ n
ffroen	f r ɔ i̯ n
ffroeni	f r ɔ i̯ n i
ffroenochi	f r ɔ i̯ n oː χ i
ffroenuchel	f r ɔ i̯ n ɪ χ ɛ l
ffroenucheledd	f r ɔ i̯ n ɪ χ eː l ɛ ð
ffromlys	f r ɔ m l ɪ s
ffrwch	f r uː χ
ffrwchnedd	f r ʊ χ n ɛ ð
ffrwchnedden	f r ʊ χ n eː ɛ n
ffrwd	f r uː d
ffrwgwd	f r uː ɡ ʊ d
ffrwydrad	f r ʊ i̯ d r a d
ffrwydro	f r ʊ i̯ d r ɔ
ffrwydrol	f r ʊ i̯ d r ɔ l
ffrwydrolyn	f r ʊ i̯ d r oː l ɪ n
ffrwydryn	f r ʊ i̯ d r ɪ n
ffrwyno	f r ʊ i̯ n ɔ
ffrwyth	f r ʊ i̯ θ
ffrwythfrân	f r ʊ i̯ θ v r aː n
ffrwythydd	f r ʊ i̯ θ ɪ ð
ffrydio	f r ə d j ɔ
ffrydlif	f r ə d l ɪ v
ffrygydau	f r ə ɡ ə d a
ffrâm	f r aː m
ffug	f iː ɡ
ffugenw	f ɪ ɡ eː n u
ffugenwau	f ɪ ɡ ɛ n w a i̯
ffuglen	f ɪ ɡ l ɛ n
ffunen	f iː n ɛ n
ffurf	f ɪ r v
ffurfaidd	f ɪ r v a i̯ ð
ffurfdroad	f ɨ̞ r v d r o a d
ffurfiannol	f ɪ r v j a n ɔ l
ffurfio	f ɪ r v j ɔ
ffurfiol	f ɪ r v j ɔ l
ffurflen	f ɪ r v l ɛ n
ffurfwisg	f ɪ r v w ɪ s ɡ
ffwciaf	f ʊ k j a v
ffwcio	f ʊ k j ɔ
ffwng	f ʊ ŋ
ffwr	f ʊ r
ffwrcho	f ʊ r χ ɔ
ffwrdd	f ʊ r ð
ffwrn	f ʊ r n
ffwrnais	f ʊ r n a i̯ s
ffy	f iː
ffycin	f ə k ɪ n
ffydd	f iː ð
ffyddlon	f ə ð l ɔ n
ffyn	f ɪ n
ffyniannol	f ə n j a n ɔ l
ffyniannus	f ə n j a n ɪ s
ffyniant	f ə n j a n t
ffynidwydd	f ə n iː d ʊ i̯ ð
ffynnon	f ə n ɔ n
ffynnu	f ə n i
ffyrc	f ɪ r k
ffyrdd	f ɪ r ð
ffyrf	f ɪ r v
ffyrling	f ə r l ɪ ŋ
ffyrnau	f ə r n a i̯
ffyrnig	f ə r n ɪ ɡ
ffyrrau	f ə r a i̯
ffäen	f aː ɛ n
ffêr	f eː r
ffôi	f oː i̯
ffôl	f oː l
ffôn	f oː n
ffŵl	f ʊː l
fhwtan	v ʊ t aː n
fi	v iː
ficer	v ɪ k ɛ r
fienna	v ɪ ɛ n a
fietnam	v j ɛ t n a m
fietnamaidd	v j ɛ t n a m a i̯ ð
fietnameg	v j ɛ t n a m ɛ ɡ
fietnamiad	v j ɛ t n a m j a d
figwrn	v iː ɡ ʊ r n
figwyn	v ɪ ɡ w ɪ n
fil	v iː l
filoedd	v ɪ l ɔ i̯ ð
finegr	v ɪ n ɛ ɡ r
finnau	v ɪ n a i̯
fioled	v i ɔ l ɛ d
firws	v iː r ʊ s
flaen	v l a i̯ n
flagur	v l a ɡ ɪ r
flaidd	v l a i̯ ð
flas	v l aː s
flasu	v l a s i
flasus	v l a s ɪ s
fleiddiaid	v l e i̯ ð j a i̯ d
fleiddiau	v l e i̯ ð j a i̯
flew	v l ɛ u̯
flewyn	v l ɛ u̯ ɪ n
flin	v l iː n
flinedig	v l ɪ n ɛ d ɪ ɡ
flodau	v l oː d a i̯
flodyn	v l oː d ɪ n
flog	v l ɔ ɡ
flows	v l o u̯ z
flwydd	v l ʊ i̯ ð
flwyddi	v l ʊ i̯ ð i
flwyddyn	v l ʊ i̯ ð ɪ n
flynedd	v l ə n ɛ ð
flynyddoedd	v l ə n ə ð ɔ i̯ ð
fo	v oː
foch	v oː χ
fochlwyd	v ɔ χ l ʊ i̯ d
fochyn	v oː χ ɪ n
focsio	v ɔ k s j ɔ
fod	v oː d
fodca	v ɔ d k a
fodd	v oː ð
fodlon	v ɔ d l ɔ n
fodryb	v ɔ d r ɪ b
fodur	v oː d ɪ r
foed	v ɔ i̯ d
foel	v ɔ i̯ l
foes	v ɔ i̯ s
fol	v ɔ l
fola	v ɔ l a
folcano	v ɔ l k a n ɔ
foldofa	v ɔ l d oː v a
foli	v ɔ l i
folifia	v ɔ l ɪ v j a
folt	v ɔ l t
foltedd	v ɔ l t ɛ ð
ford	v ɔ r d
fordydd	v ɔ r d ɪ ð
fore	v oː r ɛ
forgi	v ɔ r ɡ i
forio	v ɔ r j ɔ
foroco	v ɔ r ɔ k ɔ
foron	v oː r ɔ n
fory	v oː r i
foth	v oː θ
fothau	v ɔ θ a i̯
fowt	v o u̯ t
fowtio	v o u̯ t j ɔ
frag	v r aː ɡ
frain	v r a i̯ n
fraith	v r a i̯ θ
frathu	v r a θ i
frawd	v r a u̯ d
frechdan	v r ɛ χ d a n
frecwast	v r ɛ k w a s t
frenhines	v r ɛ n h iː n ɛ s
frenin	v r eː n ɪ n
frest	v r ɛ s d
freuddwyd	v r e i̯ ð ʊ i̯ d
freuddwydio	v r e i̯ ð ʊ i̯ d j ɔ
freuddwydion	v r e i̯ ð ʊ i̯ d j ɔ n
fri	v r iː
fricyll	v r ɪ k ɪ ɬ
fricyllen	v r ɪ k ə ɬ ɛ n
frith	v r iː θ
fro	v r oː
froc	v r ɔ k
froch	v r oː χ
fron	v r ɔ n
fronlas	v r ɔ n l a s
fronnau	v r ɔ n a i̯
frwd	v r uː d
frwnt	v r ʊ n t
frwsiais	v r ʊ ʃ a i̯ s
frwsiaist	v r ʊ ʃ a i̯ s d
frwsio	v r ʊ ʃ ɔ
frwsioch	v r ʊ ʃ ɔ χ
frwsiodd	v r ʊ ʃ ɔ ð
frwsion	v r ʊ ʃ ɔ n
frwydro	v r ʊ i̯ d r ɔ
frwynen	v r ʊ i̯ n ɛ n
fryn	v r ɪ n
fryniau	v r ə n j a i̯
fryoffyt	v r iː ɔ f ɪ t
frys	v r iː s
frân	v r aː n
fu	v iː
fuan	v i a n
fudr	v iː d ɪ r
fur	v iː r
fuwch	v ɪ u̯ χ
fwg	v uː ɡ
fwlfa	v ʊ l v a
fwlgaria	v ʊ l ɡ a r j a
fwltur	v ʊ l t ɪ r
fwnci	v ʊ ŋ k i
fwnwgl	v ʊ n ʊ ɡ l
fwrdd	v ʊ r ð
fwrllwch	v ʊ r l ʊ χ
fwthyn	v ʊ θ ɪ n
fwy	v ʊ i̯
fwya	v ʊ i̯ a
fwyaf	v ʊ i̯ a
fwyd	v ʊ i̯ d
fwydo	v ʊ i̯ d ɔ
fwyn	v ʊ i̯ n
fwynhau	v ʊ i̯ n h a i̯
fwytais	v u i̯ t a i̯ s
fwytaist	v u i̯ t a i̯ s d
fwytoch	v ɪ t ɔ χ
fwytodd	v ɪ t ɔ ð
fwyton	v ɪ t ɔ n
fy	v ə
fychan	f ə χ a n
fydd	v iː ð
fydda	v ə ð a
fyddan	v ə ð a n
fyddi	v ə ð i
fyddwch	v ə ð ʊ χ
fyddwn	v ə ð ʊ n
fyfyriwr	v ə v ə r j ʊ r
fygydog	v ə ɡ ə d ɔ ɡ
fynd	v ɪ n d
fyned	v ə n ɛ d
fynegi	v ə n ɛ ɡ i
fynwent	v ə n w ɛ n t
fynwes	v ə n w ɛ s
fyny	v ə n i
fynydd	v ə n i
fynyddoedd	v ə n ə ð ɔ i̯ ð
fyr	v ɪ r
fyrdd	v ɪ r ð
fys	v iː s
fysedd	v ə s ɛ ð
fyw	v ɪ u̯
fywyd	v o u̯ ɪ d
fàs	v a s
fêl	v eː l
fêr	v eː r
fôn	v oː n
fôr	v oː r
fûm	v iː m
fẁg	v ʊ ɡ
g	ɛ ɡ
ga	ɡ aː
gacen	ɡ a k ɛ n
gach	ɡ aː χ
gacha	ɡ a χ a
gachai	ɡ a χ a i̯
gachais	ɡ a χ a i̯ s
gachen	ɡ a χ ɛ n
