aba	a b a
kucka	k u t͡s k a
kudernáč	k u ɟ e r n aː t͡ʃ
kudla	k u d l a
kudu	k u d u
kudľa	k u d ʎ a
kufrík	k u v r iː k
kukan	k u k a n
kukola	k u k ɔ l a
kukulienka	k u k u l i̯ ɛ ŋ k a
kukurica	k u k u r i t͡s a
kukučka	k u k u t͡ʃ k a
kule	k u ʎ e
kuli	k u l i
kulich	k u ʎ i x
kulič	k u ʎ i t͡ʃ
kulla	k u lː a
kultivovaný	k u l t i v ɔ v a n iː
kulturistika	k u l t u r i s t i k a
kulí	k u ʎ iː
kulík	k u ʎ iː k
kumyčtina	k u m i t͡ʃ c i n a
kumšt	k u m ʃ t
kuna	k u n a
kunca	k u n t͡s a
kunce	k u n t͡s e
kunda	k u n d a
kundek	k u n d e k
kundu	k u n d u
kunec	k u ɲ e t͡s
kuniek	k u ɲ ɪ̯ e k
kunka	k u n k a
kunke	k u n k e
kunku	k u n k u
kunky	k u n k i
kunt	k u n t
kunu	k u n u
kuní	k u ɲ iː
kuník	k u ɲ iː k
kupca	k u p t͡s a
kupci	k u p t͡s i
kupec	k u p e t͡s
kupecký	k u p e t͡s k iː
kupka	k u p k a
kupola	k u p ɔ l a
kupoval	k u p ɔ v a l
kupovala	k u p ɔ v a l a
kupovali	k u p ɔ v a ʎ i
kupovanie	k u p ɔ v a ɲ ɪ̯ e
kupovaný	k u p ɔ v a n iː
kupovať	k u p ɔ v a c
kupuj	k u p u j
kupuje	k u p u j e
kupujem	k u p u j e m
kupujeme	k u p u j e m e
kupujete	k u p u j e c e
kupuješ	k u p u j e ʃ
kupujte	k u p u j c e
kupujú	k u p u j uː
kupujúci	k u p u j uː t͡s i
kupujúcich	k u p u j uː t͡s i x
kupčia	k u p t͡ʃ ɪ̯ a
kupčiť	k u p t͡ʃ i c
kura	k u r a
kurdistan	k u r d i s t a n
kurej	k u r e j
kurejko	k u r e j k ɔ
kurence	k u r ɛ n t͡s ɛ
kurtiš	k u r c i ʃ
kuru	k u r u
kuruc	k u r u t͡s
kurva	k u r v a
kurzor	k u r z ɔ r
kurča	k u r t͡ʃ a
kus	k u s
kusa	k u s a
kusový	k u s ɔ v iː
kusý	k u s iː
kutáč	k u t aː t͡ʃ
kuvajt	k u v a j t
kuvikať	k u v i k a c
kučera	k u t͡ʃ e r a
kučeravejší	k u t͡ʃ e r a v e j ʃ iː
kučeravý	k u t͡ʃ e r a v iː
kučma	k u t͡ʃ m a
kuľa	k u ʎ a
kuľami	k u ʎ a m i
kuľou	k u ʎ ɔ v
kuľu	k u ʎ u
kuša	k u ʃ a
kušmírek	k u ʃ m iː r e k
kušnier	k u ʃ ɲ ɪ̯ e r
kuťka	k u c k a
kužma	k u ʒ m a
kvadrienále	k v a d r i e n aː l e
kvadriénium	k v a d r i eː n i u m
kvadruparéza	k v a d r u p a r eː z a
kvadruplégia	k v a d r u p l eː ɡ i a
kvaka	k v a k a
kvalifikácia	k v a l i f i k aː t͡s i a
kvapeľ	k v a p e ʎ
kvapka	k v a p k a
kvapôčka	k v a p u̯ ɔ t͡ʃ k a
kvarc	k v a r t͡s
kvarda	k v a r d a
kvark	k v a r k
kvas	k v a s
kvase	k v a s e
kvasnica	k v a s ɲ i t͡s a
kvasnice	k v a s ɲ i t͡s e
kvasom	k v a s ɔ m
kvasu	k v a s u
kvaternión	k v a t e r n i ɔː n
kvet	k v e t
kvete	k v e c e
kvetina	k v e c i n a
kvetinárstiev	k v e c i n aː r s c ɪ̯ e v
kvetinárstva	k v e c i n aː r s t v a
kvetinárstvo	k v e c i n aː r s t v ɔ
kvetináč	k v e c i n aː t͡ʃ
kvetoslav	k v e t ɔ s l a v
kvetoslava	k v e t ɔ s l a v a
kvetový	k v e t ɔ v iː
kvetu	k v e t u
kvety	k v e t i
kvietok	k v ɪ̯ e t ɔ k
kvisling	k v i s l i n k
kvislinga	k v i s ʎ i n ɡ a
kvislingovia	k v i s l i n ɡ ɔ v ɪ̯ a
kvotácia	k v ɔ t aː t͡s i a
kvíčala	k v iː t͡ʃ a l a
kvôli	k v u̯ ɔ ʎ i
kyjanica	k i j a ɲ i t͡s a
kyjev	k i j ɛ u̯
kyklady	k i k l a d i
kynizmus	k i n i z m u s
kyselina	k i s e ʎ i n a
kyseľ	k i s e ʎ
kysličník	k i s l i t͡ʃ ɲ iː k
kyslík	k i s l iː k
kyslíka	k i s ʎ iː k a
kyslíkom	k i s ʎ iː k ɔ m
kyslý	k i s l iː
kysuca	k i s u t͡s a
kysuckonovomestský	k i s u t͡s k ɔ n ɔ v ɔ m e s k iː
kysuckonovomešťan	k i s u t͡s k ɔ n ɔ v ɔ m e ʃ c a n
kysuckonovomešťanka	k i s u t͡s k ɔ n ɔ v ɔ m e ʃ c a n k a
kábel	k aː b e l
káblový	k aː b l ɔ v iː
kábul	k aː b u l
kádi	k aː ɟ i
káfir	k aː f i r
káhira	k aː ɦ i r a
kálmán	k aː l m aː n
kántor	k aː n t ɔ r
káthmandu	k aː d ɦ m a n d u
káva	k aː v a
kávou	k aː v ɔ v
kávovar	k aː v ɔ v a r
kávu	k aː v u
kázanie	k aː z a ɲ ɪ̯ e
kázať	k aː z a c
kázeň	k aː z e ɲ
káča	k aː t͡ʃ a
káčatko	k aː t͡ʃ a t k ɔ
káčer	k aː t͡ʃ e r
káš	k aː ʃ
kíl	k iː ɫ
kód	k ɔː t
kóde	k ɔː ɟ e
kódom	k ɔː d ɔ m
kódu	k ɔː d u
kója	k ɔː j a
kókai	k ɔː k a i
kólia	k ɔː l i a
kóma	k ɔː m a
kórea	k ɔː r e a
kórejčina	k ɔː r e j t͡ʃ i n a
kóša	k ɔː ʃ a
kôf	k u̯ ɔ f
kôlňa	k u̯ ɔ l ɲ a
kôp	k u̯ ɔ p
kôpka	k u̯ ɔ p k a
kôpke	k u̯ ɔ p k e
kôpok	k u̯ ɔ p ɔ k
kôpor	k u̯ ɔ p ɔ r
kôr	k u̯ ɔ r
kôra	k u̯ ɔ r a
kôrach	k u̯ ɔ r a x
kôram	k u̯ ɔ r a m
kôrami	k u̯ ɔ r a m i
kôre	k u̯ ɔ r e
kôrka	k u̯ ɔ r k a
kôrou	k u̯ ɔ r ɔ v
kôrovec	k u̯ ɔ r ɔ v ɛ t͡s
kôrový	k u̯ ɔ r ɔ v iː
kôstka	k u̯ ɔ s t k a
kôstkovina	k u̯ ɔ s t k ɔ v i n a
kôstkoviny	k u̯ ɔ s t k ɔ v i n i
kôz	k u̯ ɔ s
kôň	k u̯ ɔ ɲ
kôš	k u̯ ɔ ʃ
kúdeľ	k uː ɟ e ʎ
kúdeľa	k uː ɟ e ʎ a
kúkoľ	k uː k ɔ ʎ
kúpa	k uː p a
kúpené	k uː p e n eː
kúpený	k uː p e n iː
kúpeľ	k uː p e ʎ
kúpeľníčka	k uː p e ʎ ɲ iː t͡ʃ k a
kúpeľníčkou	k uː p e ʎ ɲ iː t͡ʃ k ɔ v
kúpeľníčky	k uː p e ʎ ɲ iː t͡ʃ k i
kúpeľníčok	k uː p e ʎ ɲ iː t͡ʃ ɔ k
kúpiac	k uː p ɪ̯ a t͡s
kúpiť	k uː p i c
kúr	k uː r
kúra	k uː r a
kútny	k uː t n i
kúty	k uː t i
kúľ	k uː ʎ
kýchať	k iː x a c
kýchnuť	k iː x n u c
kýl	k iː l
kýlový	k iː l ɔ v iː
kýlu	k iː l u
kým	k iː m
kýpeť	k iː p e c
kĺb	k l̩ː p
kľamka	k ʎ a m k a
kľavo	k ʎ a v ɔ
kľavá	k ʎ a v aː
kľavé	k ʎ a v eː
kľaví	k ʎ a v iː
kľavú	k ʎ a v uː
kľavý	k ʎ a v iː
kľuka	k ʎ u k a
kľučka	k ʎ u t͡ʃ k a
kľučkami	k ʎ u t͡ʃ k a m i
kľučkou	k ʎ u t͡ʃ k ɔ v
kľučkám	k ʎ u t͡ʃ k aː m
kľúč	k ʎ uː t͡ʃ
kľúčik	k ʎ uː t͡ʃ i k
kľúčový	k ʎ uː t͡ʃ ɔ v iː
kňaz	k ɲ a s
kňaza	k ɲ a z a
kňazeje	k ɲ a z e j e
kňazi	k ɲ a z i
kňazského	k ɲ a s k eː ɦ ɔ
kňazský	k ɲ a s k iː
kňazíci	k ɲ a z iː t͡s i
kňazík	k ɲ a z iː k
kňazíka	k ɲ a z iː k a
kňažná	k ɲ a ʒ n aː
kŕdeľ	k r̩ː ɟ e ʎ
kŕkať	k r̩ː k a c
kŕm	k r̩ː m
kŕmidiel	k r̩ː m i ɟ ɪ̯ e l
kŕmidla	k r̩ː m i d l a
kŕmidlo	k r̩ː m i d l ɔ
kŕmidlá	k r̩ː m i d l aː
kŕmiť	k r̩ː m i c
kŕč	k r̩ː t͡ʃ
kŕča	k r̩ː t͡ʃ a
kŕčový	k r̩ː t͡ʃ ɔ v iː
l	l̩
labant	l a b a n t
labaš	l a b a ʃ
labaško	l a b a ʃ k ɔ
labe	l a b e
laboratórium	l a b ɔ r a t ɔː r i u m
laborec	l a b ɔ r e t͡s
labuda	l a b u d a
labus	l a b u s
labuti	l a b u c i
labutí	ɫ a b u c iː
labuť	l a b u c
laca	l a t͡s a
lacho	l a x ɔ
lacko	l a t͡s k ɔ
lackovič	l a t͡s k ɔ v i t͡ʃ
laco	l a t͡s ɔ
ladislav	l a ɟ i s l a v
ladislava	l a ɟ i s l a v a
lajblík	l a j b ʎ iː k
lajmon	l a j m ɔ n
lajno	l a j n ɔ
lajčiak	l a j t͡ʃ ɪ̯ a k
lajčák	l a j t͡ʃ aː k
lakatos	l a k a t ɔ ʃ
lakeť	l a k e c
lakota	l a k ɔ t a
lakovňa	l a k ɔ v ɲ a
lakte	l a k c e
lakti	l a k c i
lakšárskonovovešťan	l a k ʃ aː r s k ɔ n ɔ v ɔ v e ʃ c a n
lakšárskonovovešťanka	l a k ʃ aː r s k ɔ n ɔ v ɔ v e ʃ c a n k a
lakťa	l a k c a
lakťami	l a k c a m i
lakťoch	l a k c ɔ x
lakťom	l a k c ɔ m
lakťov	l a k c ɔ v
lakťu	l a k c u
lalik	l a ʎ i k
laliková	l a ʎ i k ɔ v aː
lalinský	l a ʎ i n s k iː
lalot	l a l ɔ t
lalotu	l a l ɔ t u
lama	l a m a
lampa	l a m p a
lampou	l a m p ɔ v
lampový	l a m p ɔ v iː
lampu	l a m p u
lampy	l a m p i
lampôčka	l a m p u̯ ɔ t͡ʃ k a
lampôčok	l a m p u̯ ɔ t͡ʃ ɔ k
lamí	ɫ a m iː
landa	l a n d a
landgróf	l a n d ɡ r ɔː f
landgrófa	l a n d ɡ r ɔː f a
landgrófsky	l a n d ɡ r ɔː f s k i
langoš	l a n ɡ ɔ ʃ
langoša	l a n ɡ ɔ ʃ a
langue	l aː n k
lanka	l a n k a
lano	ɫ a n ɔ
lanský	l a n s k iː
lantán	ɫ a n t aː n
lanýž	l a n iː ʃ
lančarič	l a n t͡ʃ a r i t͡ʃ
laos	l a ɔ s
lapaj	l a p a j
lapajka	l a p a j k a
lapihuska	l a p i ɦ u s k a
lapka	l a p k a
lapončina	l a p ɔ n t͡ʃ i n a
lapšanský	l a p ʃ a n s k iː
lastovica	l a s t ɔ v i t͡s a
lastovička	l a s t ɔ v i t͡ʃ k a
lastovičí	l a s t ɔ v i t͡ʃ iː
lastovíča	l a s t ɔ v iː t͡ʃ a
lastúrnik	l a s t uː r ɲ i k
lastúrničiar	l a s t uː r ɲ i t͡ʃ ɪ̯ a r
latrína	l a t r iː n a
laura	ɫ a u̯ r a
laučík	l a u t͡ʃ iː k
lavica	l a v i t͡s a
lavice	l a v i t͡s e
lavici	l a v i t͡s i
lavicu	l a v i t͡s u
lavička	l a v i t͡ʃ k a
lavíc	l a v iː t͡s
lavína	l a v iː n a
lawrencium	ɫ a u̯ r ɛ n t͡s ɪ j ʊ m
layout	l e j a u t
laz	l a s
laze	l a z e
lazmi	l a z m i
lazoch	l a z ɔ x
lazom	l a z ɔ m
lazor	l a z ɔ r
lazov	l a z ɔ v
lazu	l a z u
lazy	l a z i
lazík	l a z iː k
lačný	l a t͡ʃ n iː
laň	l a ɲ
laš	l a ʃ
laška	l a ʃ k a
lašsko	l a ʃ s k ɔ
lea	ʎ e a
lebka	ʎ e p k a
lebo	l ɛ b ɔ
lechický	l ɛ x i t͡s k iː
ledecká	ʎ e ɟ e t͡s k aː
ledecký	ʎ e ɟ e t͡s k iː
legalizovať	ʎ e ɡ a ʎ i z ɔ v a c
legalizácia	l e ɡ a l i z aː t͡s i a
legemza	ʎ e ɡ e m z a
legislatúra	ʎ e ɡ i s l a t uː r a
legálny	ʎ e ɡ aː l n i
legény	ʎ e ɡ eː n i
lehota	ʎ e ɦ ɔ t a
lei	l ɛ i
leitner	ʎ e i t ɲ e r
lekcia	l e k t͡s i a
lekno	ʎ e k n ɔ
lekorica	ʎ e k ɔ r i t͡s a
lekár	ʎ e k aː r
lekárka	ʎ e k aː r k a
lekárnik	ʎ e k aː r ɲ i k
lekársky	ʎ e k aː r s k i
lelek	ʎ e ʎ e k
lelko	ʎ e l k ɔ
lemeš	ʎ e m e ʃ
lemeša	ʎ e m e ʃ a
len	l e n
leng	ʎ e n k
lengať	ʎ e n ɡ a c
lengvarský	ʎ e n ɡ v a r s k iː
lengyel	l e n ɟ e l
leninizmus	ʎ e ɲ i n i z m u s
lenivý	ʎ e ɲ i v iː
lenka	ʎ e n k a
lenže	l ɛ n ʒ ɛ
leo	ʎ e ɔ
leonard	l ɛ ɔ n a r d
leopold	l ɛ ɔ p ɔ l d
leou	l ɛ ɔ u̯
lepidlo	ʎ e p i d l ɔ
lepiť	ʎ e p i c
lepkom	ʎ e p k ɔ m
lepkou	ʎ e p k ɔ v
lepká	ʎ e p k aː
lepké	ʎ e p k eː
lepkí	ʎ e p k iː
lepkú	ʎ e p k uː
lepký	ʎ e p k iː
leptón	l e p t ɔː n
lepšejší	l e p ʃ e j ʃ iː
lepší	ʎ e p ʃ iː
lepšík	ʎ e p ʃ iː k
les	ʎ e s
lesana	ʎ e s a n a
lesbický	l ɛ z b i t͡s k iː
lesbička	l e z b i t͡ʃ k a
leskovjanský	ʎ e s k ɔ v j a n s k iː
lesník	ʎ e s ɲ iː k
lesný	ʎ e s n iː
lesotho	l e s ɔ t ɔ
lesť	ʎ e s c
letanovský	ʎ e t a n ɔ v s k iː
letieť	ʎ e c ɪ̯ e c
letisko	ʎ e c i s k ɔ
letište	ʎ e c i ʃ c e
letišti	ʎ e c i ʃ c i
letištia	ʎ e c i ʃ c ɪ̯ a
letištiach	ʎ e c i ʃ c ɪ̯ a x
letištiam	ʎ e c i ʃ c ɪ̯ a m
letišťa	ʎ e c i ʃ c a
letišťami	ʎ e c i ʃ c a m i
letišťom	ʎ e c i ʃ c ɔ m
letišťu	ʎ e c i ʃ c u
letko	ʎ e t k ɔ
letný	ʎ e t n iː
leto	ʎ e t ɔ
letopočet	ʎ e t ɔ p ɔ t͡ʃ e t
letovisko	ʎ e t ɔ v i s k ɔ
leták	ʎ e t aː k
letíšť	ʎ e c iː ʃ c
leu	l ɛ u
lev	ʎ e v
levej	ʎ e v e j
leveller	l e v e l e r
levia	ʎ e v ɪ̯ a
levica	ʎ e v i t͡s a
levice	ʎ e v i t͡s e
levický	ʎ e v i t͡s k iː
levie	ʎ e v ɪ̯ e
levitikus	l ɛ v i t i k u s
levom	ʎ e v ɔ m
levoslav	l ɛ v ɔ s ɫ a u̯
levou	ʎ e v ɔ v
leví	ʎ e v iː
levích	ʎ e v iː x
levím	ʎ e v iː m
levíča	ʎ e v iː t͡ʃ a
levčík	ʎ e v t͡ʃ iː k
lexikálny	l ɛ k s i k aː l n i
lexikón	l e k s i k ɔː n
ley	l ɛ i
lezo	ʎ e z ɔ
lečo	l ɛ t͡ʃ ɔ
leňo	ʎ e ɲ ɔ
leška	ʎ e ʃ k a
leško	ʎ e ʃ k ɔ
leťme	ʎ e c m e
ležadiel	ʎ e ʒ a ɟ ɪ̯ e l
ležadla	ʎ e ʒ a d l a
ležadlo	ʎ e ʒ a d l ɔ
ležadlový	ʎ e ʒ a d l ɔ v iː
ležák	ʎ e ʒ aː k
liahnisk	ʎ ɪ̯ a ɦ ɲ i s k
liahniska	ʎ ɪ̯ a ɦ ɲ i s k a
liahnisko	ʎ ɪ̯ a ɦ ɲ i s k ɔ
liahniská	ʎ ɪ̯ a ɦ ɲ i s k aː
liana	l i a n a
liba	ʎ i b a
libanon	ʎ i b a n ɔ n
liberalizmu	l i b e r a l i z m u
libido	ʎ i b i d ɔ
libretista	l i b r e t i s t a
libretistka	ʎ i b r e c i s t k a
libreville	l i b r e v i l
libuša	ʎ i b u ʃ a
libéria	l i b eː r i a
lichtenštajnsko	ʎ i x c e n ʃ t a j n s k ɔ
lichva	ʎ i x v a
lichý	ʎ i x iː
liena	ʎ ɪ̯ e n a
liene	ʎ ɪ̯ e ɲ e
lienka	ʎ ɪ̯ e n k a
lienke	ʎ ɪ̯ e n k e
lieno	ʎ ɪ̯ e n ɔ
lienu	ʎ ɪ̯ e n u
liení	ʎ ɪ̯ e ɲ iː
lieska	ʎ ɪ̯ e s k a
lieskový	ʎ ɪ̯ e s k ɔ v iː
lieta	ʎ ɪ̯ e t a
lietadlo	l i̯ ɛ t a d ɫ ɔ
lietajú	ʎ ɪ̯ e t a j uː
lietajúc	ʎ ɪ̯ e t a j uː t͡s
lietal	ʎ ɪ̯ e t a l
lietala	ʎ ɪ̯ e t a l a
lietali	ʎ ɪ̯ e t a ʎ i
lietam	ʎ ɪ̯ e t a m
lietame	ʎ ɪ̯ e t a m e
lietanie	ʎ ɪ̯ e t a ɲ ɪ̯ e
lietate	ʎ ɪ̯ e t a c e
lietaš	ʎ ɪ̯ e t a ʃ
lietať	ʎ ɪ̯ e t a c
lievik	ʎ ɪ̯ e v i k
lieň	ʎ ɪ̯ e ɲ
lieňa	ʎ ɪ̯ e ɲ a
lieňom	ʎ ɪ̯ e ɲ ɔ m
lift	l i f t
ligotať	ʎ i ɡ ɔ t a c
ligurček	ʎ i ɡ u r t͡ʃ e k
liknavý	l i k n a v iː
lima	ʎ i m a
limetkový	ʎ i m e t k ɔ v iː
limuzína	ʎ i m u z iː n a
linda	ʎ i n d a
linoleum	ʎ i n ɔ ʎ e u m
lipa	ʎ i p a
lipiansky	ʎ i p ɪ̯ a n s k i
lipiek	ʎ i p ɪ̯ e k
lipka	ʎ i p k a
lipke	ʎ i p k e
lipkom	ʎ i p k ɔ m
lipkou	ʎ i p k ɔ v
lipku	ʎ i p k u
lipky	ʎ i p k i
lipká	ʎ i p k aː
lipké	ʎ i p k eː
lipkí	ʎ i p k iː
lipkú	ʎ i p k uː
lipký	ʎ i p k iː
lipovec	ʎ i p ɔ v e t͡s
lipovina	ʎ i p ɔ v i n a
lipový	ʎ i p ɔ v iː
lipsko	ʎ i p s k ɔ
lipták	ʎ i p t aː k
lipčák	ʎ i p t͡ʃ aː k
lipšic	ʎ i p ʃ i t͡s
lisabon	ʎ i s a b ɔ n
lisoň	ʎ i s ɔ ɲ
list	ʎ i s t
lista	l i s t a
listami	l i s t a m i
liste	l i s c ɛ
listoch	l i s t ɔ x
listom	l i s t ɔ m
listov	l i s t ɔ u̯
listu	l i s t u
litava	l i t a v a
litavec	ʎ i t a v e t͡s
liter	l i t e r
literatúra	l i t e r a t uː r a
litovčan	ʎ i t ɔ v t͡ʃ a n
litovčanka	ʎ i t ɔ v t͡ʃ a n k a
litovčina	ʎ i t ɔ v t͡ʃ i n a
litrový	ʎ i t r ɔ v iː
litva	ʎ i t v a
liva	l i v a
livermórium	l i v ɛ r m ɔ r ɪ j ʊ m
livrej	ʎ i v r e j
livrejach	ʎ i v r e j a x
livrejam	ʎ i v r e j a m
livrejami	ʎ i v r e j a m i
livreje	ʎ i v r e j e
livreji	ʎ i v r e j i
livrejou	ʎ i v r e j ɔ v
livrejový	ʎ i v r e j ɔ v iː
livrejí	ʎ i v r e j iː
ličák	ʎ i t͡ʃ aː k
lišiackejší	ʎ i ʃ ɪ̯ a t͡s k e j ʃ iː
lišiacky	ʎ i ʃ ɪ̯ a t͡s k i
liška	ʎ i ʃ k a
lobotka	l ɔ b ɔ t k a
lodž	ɫ ɔ d͡ʒ
logik	l ɔ ɡ i k
logika	ɫ ɔ ɡ i k a
logonymum	l ɔ ɡ ɔ n i m u m
lohyňa	l ɔ ɦ i ɲ a
loj	l ɔ j
loja	l ɔ j a
lojalita	l ɔ j a ʎ i t a
lojálnejší	l ɔ j aː l ɲ e j ʃ iː
lojálnosť	l ɔ j aː l n ɔ s c
lojálny	l ɔ j aː l n i
lokatív	l ɔ k a t iː v
lokomotíva	l ɔ k ɔ m ɔ t iː v a
lokša	l ɔ k ʃ a
lona	l ɔ n a
lonami	l ɔ n a m i
londýn	l ɔ n d iː n
lone	l ɔ ɲ e
lono	l ɔ n ɔ
lonom	l ɔ n ɔ m
lonu	l ɔ n u
loná	l ɔ n aː
lonách	l ɔ n aː x
lonám	l ɔ n aː m
lopanič	l ɔ p a ɲ i t͡ʃ
lopata	l ɔ p a t a
lopašovský	l ɔ p a ʃ ɔ v s k iː
lopta	l ɔ p t a
lopty	l ɔ p t i
lopušný	l ɔ p u ʃ n iː
lorenc	l ɔ r e n t͡s
losos	l ɔ s ɔ s
lososový	l ɔ s ɔ s ɔ v iː
lososí	l ɔ s ɔ s iː
lotyšsko	l ɔ t i ʃ s k ɔ
lotyšský	l ɔ t i ʃ s k iː
lotyština	l ɔ t i ʃ c i n a
louisiana	l u i z i aː n a
lov	l ɔ v
lovich	l ɔ v i x
loviška	l ɔ v i ʃ k a
loviť	ɫ ɔ v i c
lovný	l ɔ v n iː
lovás	l ɔ v aː s
lovásik	l ɔ v aː s i k
lovíšek	l ɔ v iː ʃ e k
loď	ɫ ɔ c
loška	l ɔ ʃ k a
lož	l ɔ ʃ
ložisko	l ɔ ʒ i s k ɔ
luanda	l u a n d a
lucia	l u t͡s i a
lucký	l u t͡s k iː
luhal	l u ɦ a l
luhala	l u ɦ a l a
luhali	l u ɦ a ʎ i
luhať	l u ɦ a c
luhový	l u ɦ ɔ v iː
luhár	l u ɦ aː r
lujza	l u j z a
luk	ɫ u k
lukas	l u k a s
lukačovič	l u k a t͡ʃ ɔ v i t͡ʃ
lukeš	l u k e ʃ
lukmi	l u k m i
lukoch	l u k ɔ x
lukom	l u k ɔ m
lukostrelca	l u k ɔ s t r e l t͡s a
lukostrelec	l u k ɔ s t r e ʎ e t͡s
lukov	l u k ɔ v
lukový	l u k ɔ v iː
lukratívny	l u k r a t iː v n i
luku	l u k u
luky	l u k i
lukáč	l u k aː t͡ʃ
lukáš	ɫ u k aː ʃ
lumnitzer	l u m ɲ i d͡zː e r
lumpenproletár	l u m p e n p r ɔ l e t aː r
luna	l u n a
lunami	l u n a m i
lune	l u ɲ e
lunou	l u n ɔ v
lunter	l u n c e r
lunu	l u n u
luny	l u n i
lunách	l u n aː x
lunám	l u n aː m
lupina	l u p i n a
lupták	l u p t aː k
lusaka	l u s a k a
luterán	l u t e r aː n
luteránstvo	l u t e r aː n s t v ɔ
lutka	l u t k a
lutécium	ɫ u t ɛː t͡s ɪ j ʊ m
luxembursko	l u k s e m b u r s k ɔ
luxemburčina	l u k s e m b u r t͡ʃ i n a
lučba	l u d͡ʒ b a
lučenec	l u t͡ʃ e ɲ e t͡s
luňák	l u ɲ aː k
lušňák	l u ʃ ɲ aː k
luže	l u ʒ e
lužem	l u ʒ e m
lužeme	l u ʒ e m e
lužete	l u ʒ e c e
lužeš	l u ʒ e ʃ
lužica	l u ʒ i t͡s a
lužný	l u ʒ n iː
lužú	l u ʒ uː
lyko	l i k ɔ
lysiek	l i s ɪ̯ e k
lysina	l i s i n a
lysinka	l i s i n k a
lyska	l i s k a
lyskou	l i s k ɔ v
lysku	l i s k u
lysky	l i s k i
lyso	l i s ɔ
lysík	l i s iː k
lysý	l i s iː
lyža	l i ʒ a
lyže	l i ʒ e
lyžiar	l i ʒ ɪ̯ a r
lyžiarka	l i ʒ ɪ̯ a r k a
lyžiarstvo	l i ʒ ɪ̯ a r s t v ɔ
lyžica	l i ʒ i t͡s a
lábaj	l aː b a j
láhaur	l aː ɦ a u r
láma	l aː m a
lámal	l aː m a l
lámala	l aː m a l a
lámať	l aː m a c
láme	l aː m e
lámka	l aː m k a
lámkový	l aː m k ɔ v iː
lámp	l aː m p
lámu	l aː m u
láska	l aː s k a
láskavejší	l aː s k a v e j ʃ iː
láskavý	l aː s k a v iː
látka	l aː t k a
láva	l aː v a
lávka	l aː v k a
lávový	l aː v ɔ v iː
lázok	l aː z ɔ k
lážoplážo	l aː ʒ ɔ p l aː ʒ ɔ
légia	l eː ɡ i a
lénam	l eː n a m
léne	l eː ɲ e
léno	l eː n ɔ
lénom	l eː n ɔ m
lévai	l eː v a i
lézia	l eː z i a
lézie	l eː z i e
lézií	l eː z i iː
líce	ʎ iː t͡s e
líder	l iː d e r
líderský	ʎ iː ɟ e r s k iː
lídra	l iː d r a
lídrami	l iː d r a m i
lídri	l iː d r i
lídroch	l iː d r ɔ x
lídrom	l iː d r ɔ m
lídrov	l iː d r ɔ u̯
lídrovi	l iː d r ɔ v i
líp	ʎ iː p
lístok	ʎ iː s t ɔ k
lítium	l iː t i u m
lívia	l iː v i a
líška	ʎ iː ʃ k a
líškach	ʎ iː ʃ k a x
líškam	ʎ iː ʃ k a m
líškami	ʎ iː ʃ k a m i
líškou	ʎ iː ʃ k ɔ v
líšku	ʎ iː ʃ k u
líšky	ʎ iː ʃ k i
líšok	ʎ iː ʃ ɔ k
líštička	ʎ iː ʃ c i t͡ʃ k a
lóve	ɫ ɔː v ɛ
lôn	l u̯ ɔ n
lôpt	l u̯ ɔ p t
lôžko	l u̯ o ʃ k ɔ
lôžkový	l u̯ ɔ ʃ k ɔ v iː
lúk	l uː k
lúka	l uː k a
lúkach	l uː k a x
lúkam	l uː k a m
lúkami	l uː k a m i
lúke	l uː k e
lúkou	l uː k ɔ v
lúku	l uː k u
lúky	l uː k i
lún	l uː n
lúpež	l uː p e ʃ
lúč	l uː t͡ʃ
lúča	l uː t͡ʃ a
lúče	l uː t͡ʃ e
lúči	l uː t͡ʃ i
lúčka	l uː t͡ʃ k a
lúčny	l uː t͡ʃ n i
lúču	l uː t͡ʃ u
lýdia	l iː d i a
lýra	l iː r a
lýtko	l iː t k ɔ
lýtkový	l iː t k ɔ v iː
lží	l̩ ʒ iː
m	m
ma	m a
macedónsko	m a t͡s e d ɔː n s k ɔ
macedónčina	m a t͡s e d ɔː n t͡ʃ i n a
macejech	m a t͡s e j e x
macejka	m a t͡s e j k a
macek	m a t͡s e k
mach	m a x
machaj	m a x a j
machala	m a x a l a
machata	m a x a t a
machiavelizmus	m a k i a v ɛ l i z m u s
machiavellizmus	m a k i a v ɛ l i z m u s
machom	m a x ɔ m
machov	m a x ɔ v
machovič	m a x ɔ v i t͡ʃ
machová	m a x ɔ v aː
machový	m a x ɔ v iː
machu	m a x u
machuľa	m a x u ʎ a
machuľka	m a x u ʎ k a
machyniak	m a x i ɲ ɪ̯ a k
macháč	m a x aː t͡ʃ
macháček	m a x aː t͡ʃ e k
machút	m a x uː t
macko	m a t͡s k ɔ
mackových	m a t͡s k ɔ v iː x
mackovýchová	m a t͡s k ɔ v iː x ɔ v aː
maco	m a t͡s ɔ
macík	m a t͡s iː k
macúch	m a t͡s uː x
madagaskar	m a d a ɡ a s k a r
madam	m a d a m
madrid	m a d r i t
madzin	m a d͡z i n
maga	m a ɡ a
magdaléna	m a ɡ d a l eː n a
magdolen	m a ɡ d ɔ ʎ e n
magnet	m a ɡ n e t
magnetický	m a ɡ n ɛ t i t͡s k iː
magnetizmus	m a ɡ n e t i z m u s
