'tain	t ɛ̃
jalousait	ʒ a l u z ɛ
jalousant	ʒ a l u z ɑ̃
jalousas	ʒ a l u z a
jalousasse	ʒ a l u z a s
jalousassent	ʒ a l u z a s
jalousasses	ʒ a l u z a s
jalousassiez	ʒ a l u z a s j e
jalousassions	ʒ a l u z a s j ɔ̃
jalousement	ʒ a l u z m ɑ̃
jalousent	ʒ a l u z
jalousera	ʒ a l u z ʁ a
jalouserai	ʒ a l u z ʁ e
jalouseraient	ʒ a l u z ʁ ɛ
jalouserais	ʒ a l u z ʁ ɛ
jalouserait	ʒ a l u z ʁ ɛ
jalouseras	ʒ a l u z ʁ a
jalouserez	ʒ a l u z ʁ e
jalouseriez	ʒ a l u z ə ʁ j e
jalouserions	ʒ a l u z ə ʁ j ɔ̃
jalouserons	ʒ a l u z ʁ ɔ̃
jalouseront	ʒ a l u z ʁ ɔ̃
jalousez	ʒ a l u z e
jalousiez	ʒ a l u z j e
jalousions	ʒ a l u z j ɔ̃
jalousons	ʒ a l u z ɔ̃
jalousâmes	ʒ a l u z a m
jalousât	ʒ a l u z a
jalousâtes	ʒ a l u z a t
jalousèrent	ʒ a l u z ɛ ʁ
jalousé	ʒ a l u z e
jamais	ʒ a m e
jamaïcain	ʒ a m a i k ɛ̃
jamaïcaine	ʒ a m a i k ɛ n
jambage	ʒ ɑ̃ b a ʒ
jambette	ʒ ɑ̃ b ɛ t
jambière	ʒ ɑ̃ b j ɛ ʁ
jamblichéen	ʒ ɑ̃ b l i k e ɛ̃
jamboree	ʒ a m b ɔ ʁ i
jammer	d ʒ a m e
jamésie	ʒ a m e z i
janacékien	j a n a t ʃ e k j ɛ̃
janequin	ʒ a n k ɛ̃
janicule	ʒ a n i k y l
janine	ʒ a n i n
janissaire	ʒ a n i s ɛ ʁ
janissariat	ʒ a n i s a ʁ j a
jankélévitch	ʒ ɑ̃ k e l e v i t ʃ
jans	ʒ ɑ̃
janviers	ʒ ɑ̃ v j e
jaouad	ʒ a w a d
japanimation	ʒ a p a n i m a s j ɔ̃
japanophone	ʒ a p a n ɔ f ɔ n
japhet	ʒ a f ɛ
japhug	d ʒ a p u k
japon	ʒ a p õ
japoniser	ʒ a p ɔ n i z e
japonisme	ʒ a p ɔ n i s m
jappements	ʒ a p m ɑ̃
japper	ʒ a p e
jaque	ʒ a k
jaraï	ʒ a ʁ a i
jardiner	ʒ a ʁ d i n e
jardinerie	ʒ a ʁ d i n ʁ i
jargonnante	ʒ a ʁ ɡ ɔ n ɑ̃ t
jarnidieu	ʒ a ʁ n i d j ø
jarnigoine	ʒ a ʁ n i ɡ w a n
jarosse	ʒ a ʁ ɔ s
jarre	ʒ a ʁ
jarretelle	ʒ a ʁ t ɛ l
jas	ʒ a
jasant	ʒ a z ɑ̃
jaseran	ʒ a z ʁ ɑ̃
jaserie	ʒ a z ʁ i
jaseron	ʒ a z ʁ ɔ̃
jaseront	ʒ a z ʁ ɔ̃
jaseur	ʒ a z œː ʁ
jasione	ʒ a z j ɔ n
jason	d ʒ ɛ z ɔ n
jaspique	ʒ a s p i k
jaspure	ʒ a s p y ʁ
jaspé	ʒ a s p e
jattes	ʒ a t
jaugeage	ʒ o ʒ a ʒ
jauger	ʒ o ʒ e
jaugeur	ʒ o ʒ œ ʁ
jaugeuse	ʒ o ʒ ø z
jaumière	ʒ o m j ɛ ʁ
jauni	ʒ o n i
jaunira	ʒ o n i ʁ a
jaunirai	ʒ o n i ʁ e
jauniraient	ʒ o n i ʁ ɛ
jaunirais	ʒ o n i ʁ ɛ
jaunirait	ʒ o n i ʁ ɛ
jauniras	ʒ o n i ʁ a
jaunirent	ʒ o n i ʁ
jaunirez	ʒ o n i ʁ e
jauniriez	ʒ o n i ʁ j e
jaunirions	ʒ o n i ʁ j ɔ̃
jaunirons	ʒ o n i ʁ ɔ̃
jauniront	ʒ o n i ʁ ɔ̃
jaunissaient	ʒ o n i s ɛ
jaunissais	ʒ o n i s ɛ
jaunissant	ʒ o n i s ɑ̃
jaunisse	ʒ o n i s
jaunissent	ʒ o n i s
jaunisses	ʒ o n i s
jaunissez	ʒ o n i s e
jaunissiez	ʒ o n i s j e
jaunissions	ʒ o n i s j ɔ̃
jaunissons	ʒ o n i s ɔ̃
jaunit	ʒ o n i
jaunîmes	ʒ o n i m
jaunît	ʒ o n i
jaunîtes	ʒ o n i t
jaurès	ʒ ɔ ʁ ɛ s
javanaise	ʒ a v a n ɛ z
javanaises	ʒ a v a n ɛ z
javeline	ʒ a v l i n
javelle	ʒ a v ɛ l
javellisation	ʒ a v e l i z a s j ɔ̃
javelliser	ʒ a v e l i z e
jazza	d ʒ a z a
jazzai	d ʒ a z e
jazzaient	d ʒ a z ɛ
jazzais	d ʒ a z ɛ
jazzait	d ʒ a z ɛ
jazzant	d ʒ a z ɑ̃
jazzas	d ʒ a z a
jazzasse	d ʒ a z a s
jazzassent	d ʒ a z a s
jazzasses	d ʒ a z a s
jazzassiez	d ʒ a z a s j e
jazzassions	d ʒ a z a s j ɔ̃
jazze	d ʒ a z
jazzent	d ʒ a z
jazzer	d ʒ a z e
jazzera	d ʒ a z ʁ a
jazzerai	d ʒ a z ʁ e
jazzeraient	d ʒ a z ʁ ɛ
jazzerais	d ʒ a z ʁ ɛ
jazzerait	d ʒ a z ʁ ɛ
jazzeras	d ʒ a z ʁ a
jazzerez	d ʒ a z ʁ e
jazzeriez	d ʒ a z ə ʁ j e
jazzerions	d ʒ a z ə ʁ j ɔ̃
jazzerons	d ʒ a z ʁ ɔ̃
jazzeront	d ʒ a z ʁ ɔ̃
jazzes	d ʒ a z
jazzez	d ʒ a z e
jazziez	d ʒ a z j e
jazzifier	d ʒ a z i f j e
jazzions	d ʒ a z j ɔ̃
jazzman	d ʒ a z m a n
jazzons	d ʒ a z ɔ̃
jazzâmes	d ʒ a z a m
jazzât	d ʒ a z a
jazzâtes	d ʒ a z a t
jazzèrent	d ʒ a z ɛ ʁ
jazzé	d ʒ a z e
jaïn	ʒ a i n
jaïnisme	ʒ a i n i s m
jdid	d ʒ d i d
je	ʃ
jean	ʒ ã
jeanine	ʒ a n i n
jeannois	ʒ a n w a
jeannoise	ʒ a n w a z
jeanpierre	ʒ ə ɑ̃ p j ɛ ʁ
jedi	d ʒ e d a j
jediisme	d ʒ e d a j i s m
jef	j ɛ f
jehan	ʒ ə ɑ̃
jennifer	ʒ e n i f ɛ ʁ
jerez	k s e ʁ ɛ s
jerk	d ʒ ɛ ʁ k
jerker	d ʒ ɛ ʁ k e
jerrican	ʒ e ʁ i k a n
jerricane	ʒ e ʁ i k a n
jersiais	ʒ ɛ ʁ z j ɛ
jet	d ʒ ɛ t
jetables	ʒ ə t a b l
jeter	ʃ t e
jetlagué	d ʒ ɛ t l a ɡ e
jeuner	ʒ ø n e
jeunet	ʒ œ n ɛ
jeunets	ʒ œ n ɛ
jeunette	ʒ œ n ɛ t
jeunettes	ʒ œ n ɛ t
jeunisme	ʒ œ n i s m
jeuniste	ʒ œ n i s t
jeûneuse	ʒ ø n ø z
ji	ʒ i
jiangsu	d ʒ j ɑ̃ ŋ s u
jihad	d ʒ i a d
jihadiste	ʒ i a d i s t
jingle	d ʒ i ŋ ɡ l
jinisme	ʒ i n i s m
jipi	ʒ i p i
jitomir	ʒ i t ɔ m i ʁ
jo	ʒ i o
joailler	ʒ ɔ a j e
joaillier	ʒ w a j e
joaillière	ʒ ɔ a j ɛ ʁ
joaillère	ʒ ɔ a j ɛ ʁ
jobard	ʒ ɔ b a ʁ
jocelyn	ʒ ɔ s l ɛ̃
jochgoun	ʒ ɔ ʃ ɡ u n
jocond	ʒ ɔ k ɔ̃
jodler	j ɔ d l e
jodoigne	ʒ ɔ d w a ɲ
joggeuse	d ʒ ɔ ɡ ø z
joggings	d ʒ ɔ ɡ i ŋ
johannique	ʒ ɔ a n i k
john	ʒ ɔ̃
joignable	ʒ w a ɲ a b l
jointoyer	ʒ w ɛ̃ t w a j e
joke	d ʒ o k
joker	d ʒ o k œ ʁ
joliesse	ʒ ɔ l i ɛ s
jonas	ʒ ɔ n a
jonchaie	ʒ ɔ̃ ʃ ɛ
jones	ʒ ɔ n
jongler	ʒ ɑ̃ ɡ l e
jordan	d ʒ ɔ ʁ d a n
jordanie	ʒ ɔ ʁ d a n i
jordaniser	ʒ ɔ ʁ d a n i z e
jordanès	ʒ ɔ ʁ d a n ɛ s
josselin	ʒ ɔ s l ɛ̃
josseline	ʒ ɔ s l i n
josué	ʒ o z ɥ e
josée	ʒ o z e
jota	x ɔ t a
joual	ʒ w a l
jouan	ʒ w ɑ̃
jouasse	ʒ u a s
jouasses	ʒ w a s
joubarbe	ʒ u b a ʁ b
jouer	ʒ u e
joueur	ʒ u œ ʁ
joueuse	ʒ u ø z
jouez	ʒ u e
jougla	ʒ u ɡ l a
jouissant	ʒ w i s ɑ̃
jouisseur	ʒ w i s œ ʁ
jouissif	ʒ w i s i f
joule	ʒ u l
jouly	ʒ u l i
jouons	ʒ u ɔ̃
journalismes	ʒ u ʁ n a l i s m
journalistiquement	ʒ u ʁ n a l i s t i k m ɑ̃
journalièrement	ʒ u ʁ n a l j ɛ ʁ m ɑ̃
journalope	ʒ u ʁ n a l ɔ p
jousseaume	ʒ u s o m
jouta	ʒ u t a
joutai	ʒ u t e
joutaient	ʒ u t ɛ
joutais	ʒ u t ɛ
joutait	ʒ u t ɛ
joutant	ʒ u t ɑ̃
joutas	ʒ u t a
joutasse	ʒ u t a s
joutassent	ʒ u t a s
joutasses	ʒ u t a s
joutassiez	ʒ u t a s j e
joutassions	ʒ u t a s j ɔ̃
joute	ʒ u t
joutent	ʒ u t
jouter	ʒ u t e
joutera	ʒ u t ʁ a
jouterai	ʒ u t ʁ e
jouteraient	ʒ u t ʁ ɛ
jouterais	ʒ u t ʁ ɛ
jouterait	ʒ u t ʁ ɛ
jouteras	ʒ u t ʁ a
jouterez	ʒ u t ʁ e
jouteriez	ʒ u t ə ʁ j e
jouterions	ʒ u t ə ʁ j ɔ̃
jouterons	ʒ u t ʁ ɔ̃
jouteront	ʒ u t ʁ ɔ̃
joutez	ʒ u t e
joutiez	ʒ u t j e
joutions	ʒ u t j ɔ̃
joutons	ʒ u t ɔ̃
joutâmes	ʒ u t a m
joutât	ʒ u t a
joutâtes	ʒ u t a t
joutèrent	ʒ u t ɛ ʁ
jouté	ʒ u t e
jouvenceau	ʒ u v ɑ̃ s o
jouvencelle	ʒ u v ɑ̃ s ɛ l
jouvences	ʒ u v ɑ̃ s
jouxta	ʒ u k s t a
jouxtai	ʒ u k s t e
jouxtaient	ʒ u k s t ɛ
jouxtais	ʒ u k s t ɛ
jouxtant	ʒ u k s t ɑ̃
jouxtas	ʒ u k s t a
jouxtasse	ʒ u k s t a s
jouxtassent	ʒ u k s t a s
jouxtasses	ʒ u k s t a s
jouxtassiez	ʒ u k s t a s j e
jouxtassions	ʒ u k s t a s j ɔ̃
jouxtent	ʒ u k s t
jouxter	ʒ u k s t e
jouxtera	ʒ u k s t ə ʁ a
jouxterai	ʒ u k s t ə ʁ e
jouxteraient	ʒ u k s t ə ʁ ɛ
jouxterais	ʒ u k s t ə ʁ ɛ
jouxterait	ʒ u k s t ə ʁ ɛ
jouxteras	ʒ u k s t ə ʁ a
jouxterez	ʒ u k s t ə ʁ e
jouxteriez	ʒ u k s t ə ʁ j e
jouxterions	ʒ u k s t ə ʁ j ɔ̃
jouxterons	ʒ u k s t ə ʁ ɔ̃
jouxteront	ʒ u k s t ə ʁ ɔ̃
jouxtes	ʒ u k s t
jouxtez	ʒ u k s t e
jouxtiez	ʒ u k s t j e
jouxtions	ʒ u k s t j ɔ̃
jouxtons	ʒ u k s t ɔ̃
jouxtâmes	ʒ u k s t a m
jouxtât	ʒ u k s t a
jouxtâtes	ʒ u k s t a t
jouxtèrent	ʒ u k s t ɛ ʁ
jouxté	ʒ u k s t e
jouy	ʒ w i j
joué	ʒ u e
jouée	ʒ u e
joviale	ʒ o v j a l
jovialement	ʒ ɔ v j a l m ɑ̃
joviales	ʒ o v j a l
joviaux	ʒ o v j o
jovien	ʒ ɔ v j ɛ̃
joycien	d ʒ ɔ j s j ɛ̃
joyeuseté	ʒ w a j ø z t e
joël	ʒ ɔ ɛ l
joëlle	ʒ ɔ ɛ l
jri	ʒ i e ʁ i
jsp	ʒ s e p a
jt	ʒ i t e
jubarte	ʒ y b a ʁ t
jubilant	ʒ y b i l ɑ̃
jubiler	ʒ y b i l e
jubé	ʒ y b e
jucha	ʒ y ʃ a
juchai	ʒ y ʃ e
juchaient	ʒ y ʃ ɛ
juchais	ʒ y ʃ ɛ
juchait	ʒ y ʃ ɛ
juchant	ʒ y ʃ ɑ̃
juchas	ʒ y ʃ a
juchasse	ʒ y ʃ a s
juchassent	ʒ y ʃ a s
juchasses	ʒ y ʃ a s
juchassiez	ʒ y ʃ a s j e
juchassions	ʒ y ʃ a s j ɔ̃
juche	ʒ y ʃ
juchent	ʒ y ʃ
jucher	ʒ y ʃ e
juchera	ʒ y ʃ ʁ a
jucherai	ʒ y ʃ ʁ e
jucheraient	ʒ y ʃ ʁ ɛ
jucherais	ʒ y ʃ ʁ ɛ
jucherait	ʒ y ʃ ʁ ɛ
jucheras	ʒ y ʃ ʁ a
jucherez	ʒ y ʃ ʁ e
jucheriez	ʒ y ʃ ə ʁ j e
jucherions	ʒ y ʃ ə ʁ j ɔ̃
jucherons	ʒ y ʃ ʁ ɔ̃
jucheront	ʒ y ʃ ʁ ɔ̃
juches	ʒ y ʃ
juchez	ʒ y ʃ e
juchiez	ʒ y ʃ j e
juchions	ʒ y ʃ j ɔ̃
juchons	ʒ y ʃ ɔ̃
juchâmes	ʒ y ʃ a m
juchât	ʒ y ʃ a
juchâtes	ʒ y ʃ a t
juchèrent	ʒ y ʃ ɛ ʁ
juché	d ʒ u t ʃ e
juchéen	d ʒ u t ʃ e ɛ̃
juda	ʒ y d a
judaïque	ʒ y d a i k
judaïser	ʒ y d a i z e
judaïsme	ʒ y d a i s m
judaïsmes	ʒ y d a i s m
jude	ʒ y d
judiciariser	ʒ y d i s j a ʁ i z e
judicielle	ʒ y d i s j ɛ l
judo	ʒ u d o
judéenne	ʒ y d e ɛ n
jugeote	ʒ y ʒ ɔ t
jugeur	ʒ y ʒ œ ʁ
jugeurs	ʒ y ʒ œ ʁ
jugeuse	ʒ y ʒ ø z
jugeuses	ʒ y ʒ ø z
juguet	ʒ y ɡ ɛ
jugulaire	ʒ y ɡ y l ɛ ʁ
juillet	ʒ y l j ɛ t
juillets	ʒ ɥ i j ɛ
juillettiste	ʒ ɥ i j e t i s t
juin	ʒ w ɛ̃
juins	ʒ ɥ ɛ̃
jujube	ʒ y ʒ y b
jujubier	ʒ y ʒ y b j e
juliane	ʒ y l j a n
julianne	ʒ y l j a n
jumeler	ʒ y m l e
jumping	d ʒ œ̃ p i ŋ
juneau	ʒ y n o
jungle	ʒ œ̃ ɡ l
junte	ʒ œ̃ t
juntes	ʒ œ̃ t
jupette	ʒ y p ɛ t
jupin	ʒ y p ɛ̃
jurande	ʒ y ʁ ɑ̃ d
juras	ʒ y ʁ a
jurasse	ʒ y ʁ a s
jurassent	ʒ y ʁ a s
jurasses	ʒ y ʁ a s
jurassiez	ʒ y ʁ a s j e
jurassions	ʒ y ʁ a s j ɔ̃
jurat	ʒ y ʁ a
jurent	ʒ y ʁ
jurera	ʒ y ʁ ə ʁ a
jureraient	ʒ y ʁ ə ʁ ɛ
jureras	ʒ y ʁ ə ʁ a
jurerez	ʒ y ʁ ə ʁ e
jureriez	ʒ y ʁ ə ʁ j e
jurerions	ʒ y ʁ ə ʁ j ɔ̃
jureront	ʒ y ʁ ə ʁ ɔ̃
juridiction	ʒ y ʁ i d i k s j ɔ̃
juridisme	ʒ y ʁ i d i s m
juriez	ʒ y ʁ j e
jurions	ʒ y ʁ j ɔ̃
jurisprudentielle	ʒ y ʁ i s p ʁ y d ɑ̃ s j ɛ l
jurâmes	ʒ y ʁ a m
jurât	ʒ y ʁ a
jurâtes	ʒ y ʁ a t
jurèrent	ʒ y ʁ ɛ ʁ
jusqu'	ʒ y s k ‿
jusqu'alors	ʒ y s k ‿ a l ɔ ʁ
jusqu'au	ʒ y s k ‿ o
jusqu'aujourd'hui	ʒ y s k ‿ o ʒ u ʁ d ɥ i
jusqu'aux	ʒ y s k ‿ o
jusqu'en	ʒ y s k ‿ ɑ̃
jusqu'ici	ʒ y s k ‿ i s i
jusqu'où	ʒ y s k ‿ u
jusqu'à	ʒ y s k ‿ a
jusques	ʒ y s k
jusquiame	ʒ y s k j a m
jussif	ʒ y s i f
jussion	ʒ y s j ɔ̃
jussive	ʒ y s i v
just	ʒ y s t
justau	ʒ y s t o
justaucorps	ʒ y s t o k ɔ ʁ
justifiablement	ʒ y s t i f j a b l ə m ɑ̃
justificatrice	ʒ y s t i f i k a t ʁ i s
justinianéen	ʒ y s t i n j a n e ɛ̃
jute	ʒ y t
juter	ʒ y t e
juteux	ʒ y t ø
jutland	ʒ y t l ɑ̃ d
juveigneur	ʒ y v e ɲ œ ʁ
juvénat	ʒ y v e n a
juvénilités	ʒ y v e n i l i t e
juxtalinéaire	ʒ y k s t a l i n e ɛ ʁ
juxtaposer	ʒ y k s t a p o z e
jytomyr	ʒ i t ɔ m i ʁ
jà	ʒ a
jägersuppe	ʒ a ʒ ɛ ʁ s y p
jèsus	ʒ e z y
jéjunal	ʒ e ʒ y n a l
jéjunum	ʒ e ʒ y n ɔ m
jénine	ʒ e n i n
jériboire	ʒ e ʁ i b w a ʁ
jéricho	ʒ e ʁ i k o
jérémiade	ʒ e ʁ e m j a d
jérémie	ʒ e ʁ e m i
jésuitiquement	ʒ e z ɥ i t i k m ɑ̃
jésuitisme	ʒ e z ɥ i t i s m
kaboul	k a b u l
kaboulien	k a b u l j ɛ̃
kabuki	k a b u k i
kabukicho	k a b u k i t ʃ o
kacha	k a ʃ a
kadhafiste	k a d a f i s t
kadogo	k a d ɔ ɡ ɔ
kafta	k a f t a
kahina	k a h i n a
kahnawake	k a n a w a k e
kainri	k ɛ̃ ʁ i
kairouan	k e ʁ w ɑ̃
kairouanais	k e ʁ w a n ɛ
kaiserlick	k a j z ɛ ʁ l i k
kaki	k a k i
kakémono	k a k e m ɔ n o
kalachnikov	k a l a ʃ n i k ɔ v
kalifa	k a l i f a
kalifat	k a l i f a
kalioujny	k a l j u ʒ n i
kaliémie	k a l j e m i
kalouga	k a l u ɡ a
kamichi	k a m i ʃ i
kamikaze	k a m i k a z
kamouraska	k a m u ʁ a s k a
kampuchéa	k ɑ̃ p u ʃ e a
kamychlov	k a m i ʃ l ɔ v
kanake	k a n a k
kanaky	k a n a k i
kandelaft	k ɑ̃ d l a f
kandjar	k ɑ̃ d ʒ a ʁ
kangiqsualujjuaq	k ɑ̃ ʒ i k s ɥ a l y d ʒ ɥ a k
kanji	k a n ʒ i
kannada	k a n a d a
kannara	k a n a ʁ a
kansas	k a n z ə s
kansk	k ɑ̃ s k
kantisme	k ɑ̃ t i s m
kaohsiung	k a w ʃ j u ŋ
kaolinisa	k a ɔ l i n i z a
kaolinisai	k a ɔ l i n i z e
kaolinisaient	k a ɔ l i n i z ɛ
kaolinisais	k a ɔ l i n i z ɛ
kaolinisait	k a ɔ l i n i z ɛ
kaolinisant	k a ɔ l i n i z ɑ̃
kaolinisas	k a ɔ l i n i z a
kaolinisasse	k a ɔ l i n i z a s
kaolinisassent	k a ɔ l i n i z a s
kaolinisasses	k a ɔ l i n i z a s
kaolinisassiez	k a ɔ l i n i z a s j e
kaolinisassions	k a ɔ l i n i z a s j ɔ̃
kaolinise	k a ɔ l i n i z
kaolinisent	k a ɔ l i n i z
kaolinisera	k a ɔ l i n i z ʁ a
kaoliniserai	k a ɔ l i n i z ʁ e
kaoliniseraient	k a ɔ l i n i z ʁ ɛ
kaoliniserais	k a ɔ l i n i z ʁ ɛ
kaoliniserait	k a ɔ l i n i z ʁ ɛ
kaoliniseras	k a ɔ l i n i z ʁ a
kaoliniserez	k a ɔ l i n i z ʁ e
kaoliniseriez	k a ɔ l i n i z ə ʁ j e
kaoliniserions	k a ɔ l i n i z ə ʁ j ɔ̃
kaoliniserons	k a ɔ l i n i z ʁ ɔ̃
kaoliniseront	k a ɔ l i n i z ʁ ɔ̃
kaolinises	k a ɔ l i n i z
kaolinisez	k a ɔ l i n i z e
kaolinisiez	k a ɔ l i n i z j e
kaolinisions	k a ɔ l i n i z j ɔ̃
kaolinisons	k a ɔ l i n i z ɔ̃
kaolinisâmes	k a ɔ l i n i z a m
kaolinisât	k a ɔ l i n i z a
kaolinisâtes	k a ɔ l i n i z a t
kaolinisèrent	k a ɔ l i n i z ɛ ʁ
kaolinisé	k a ɔ l i n i z e
kaon	k a ɔ̃
kaouther	k a u t ɛ ʁ
kapo	k a p o
kapokier	k a p ɔ k j e
kaputt	k a p y t
karakoulov	k a ʁ a k u l ɔ v
karaoké	k a ʁ a ɔ k e
karas	k a ʁ a s
karatéer	k a ʁ a t e e
karcher	k a ʁ ʃ ɛ ʁ
karchériser	k a ʁ ʃ e ʁ i z e
karina	k a ʁ i n a
karoshi	k a ʁ ɔ ʃ i
karst	k a ʁ s t
karstologie	k a ʁ s t ɔ l ɔ ʒ i
karsts	k a ʁ s t
karyne	k a ʁ i n
kasbarian	k a s b a ʁ j ɑ̃
kascher	k a ʃ ɛ ʁ
kashmiri	k a ʃ m i ʁ i
kasra	k a s ʁ a
kasserine	k a s ʁ i n
kasumi	k a s u m i
katakana	k a t a k a n a
katana	k a t a n a
katar	k a t a ʁ
katell	k a t ɛ l
kativik	k a t i v i k
katmandou	k a t m ɑ̃ d u
katsinam	k a t s i n a m
katsinas	k a t s i n a
kavani	k a v a n i
kawa	k a w a
kawar	k a w a ʁ
kawi	k a w i
kawéni	k a w e n i
kayaka	k a j a k a
kayakai	k a j a k e
kayakaient	k a j a k ɛ
kayakais	k a j a k ɛ
kayakait	k a j a k ɛ
kayakant	k a j a k ɑ̃
kayakas	k a j a k a
kayakasse	k a j a k a s
kayakassent	k a j a k a s
kayakasses	k a j a k a s
kayakassiez	k a j a k a s j e
kayakassions	k a j a k a s j ɔ̃
kayake	k a j a k
kayakent	k a j a k
kayaker	k a j a k e
kayakera	k a j a k ʁ a
kayakerai	k a j a k ʁ e
kayakeraient	k a j a k ʁ ɛ
kayakerais	k a j a k ʁ ɛ
kayakerait	k a j a k ʁ ɛ
kayakeras	k a j a k ʁ a
kayakerez	k a j a k ʁ e
kayakeriez	k a j a k ə ʁ j e
kayakerions	k a j a k ə ʁ j ɔ̃
kayakerons	k a j a k ʁ ɔ̃
kayakeront	k a j a k ʁ ɔ̃
kayakes	k a j a k
kayakeur	k a j a k œ ʁ
kayakeuse	k a j a k ø z
kayakez	k a j a k e
kayakiez	k a j a k j e
kayakions	k a j a k j ɔ̃
kayakiste	k a j a k i s t
kayakons	k a j a k ɔ̃
kayaks	k a j a k
kayakâmes	k a j a k a m
kayakât	k a j a k a
kayakâtes	k a j a k a t
kayakèrent	k a j a k ɛ ʁ
kayaké	k a j a k e
kayllor	k a j ɔ ʁ
kayor	k a j ɔ ʁ
kazabazua	k a z a b a z y a
kazakh	k a z a k
kazakhstan	k a z a k s t ɑ̃
kazatchok	k a z a t ʃ ɔ k
kazuko	k a z u k o
kaïnite	k a i n i t
kebaowek	k e b a o w ɛ k
kebla	k ə b l a
keelung	k i l u ŋ
keepsake	k i p s ɛ j k
keffieh	k e f j e
keiko	k e i k o
kelp	k ɛ l p
kelsénien	k ɛ l s e n j ɛ̃
kelvin	k ɛ l v ɛ̃
kenya	k e n j a
kenyane	k e n j a n
kenzo	k ɛ n z o
keram	k e ʁ a m
keramati	k ə ʁ a m a t i
kerfourn	k ɛ ʁ f u ʁ n
kessaci	k e s a s i
keum	k œ m
keupon	k œ p ɔ̃
keupone	k œ p ɔ n
keus	k œ s
keusteu	k œ s t ø
keut	k œ t
keutru	k œ t ʁ y
kevlar	k e v l a ʁ
keynésianisme	k e n e z j a n i s m
keynésianiste	k e n e z j a n i s t
keynésien	k e n e z j ɛ̃
kgb	k a ʒ e b e
khaki	k a k i
khalass	x a l a s
khammès	k a m ɛ s
khamsa	k a m s a
khanat	k a n a
kharidjisme	k a ʁ i d ʒ i s m
khassonké	k a s ɔ̃ k e
khat	k a t
khawef	x ä w æː f
khey	k ɛ j
kheyette	k e j ɛ t
khi	k i
khmelnytskyï	k m ɛ l n i t s k j i
khmer	k m ɛ ʁ
kho	x o
khopesh	k o p ɛ ʃ
khoya	k ɔ j a
khrouchtchevka	k ʁ u ʃ t ʃ ɛ v k a
khrouchtchoba	k ʁ u ʃ t ʃ ɔ b a
khrouchtchévien	k ʁ u ʃ t ʃ e v j ɛ̃
khépesh	k e p ɛ ʃ
khôl	k o l
kiamika	k i a m i k a
kibboutz	k i b u t s
kibick	k i b i k
kibioctet	k i b j ɔ k t ɛ
kichta	k i ʃ t a
kickboxeur	k i k b ɔ k s œ ʁ
kickboxeuse	k i k b ɔ k s ø z
kicker	k i k e
kid	k i d
kidnappage	k i d n a p a ʒ
kidnappages	k i d n a p a ʒ
kidnapper	k i d n a p e
kidnappeur	k i d n a p œ ʁ
kidnapping	k i d n a p i ŋ
kiekefretter	k i k ə f ʁ e t e
kielbasa	k j ɛ l b a s a
kiev	k j ɛ f
kif	k i f
kifa	k i f a
kifai	k i f e
kifaient	k i f ɛ
kifais	k i f ɛ
kifait	k i f ɛ
kifant	k i f ɑ̃
kifas	k i f a
kifasse	k i f a s
kifassent	k i f a s
kifasses	k i f a s
kifassiez	k i f a s j e
kifassions	k i f a s j ɔ̃
kife	k i f
kifent	k i f
kifer	k i f e
kifera	k i f ʁ a
kiferai	k i f ʁ e
kiferaient	k i f ʁ ɛ
kiferais	k i f ʁ ɛ
kiferait	k i f ʁ ɛ
kiferas	k i f ʁ a
kiferez	k i f ʁ e
kiferiez	k i f ə ʁ j e
kiferions	k i f ə ʁ j ɔ̃
kiferons	k i f ʁ ɔ̃
kiferont	k i f ʁ ɔ̃
kifes	k i f
kifez	k i f e
kiffant	k i f ɑ̃
kifiez	k i f j e
kifions	k i f j ɔ̃
kifons	k i f ɔ̃
kifâmes	k i f a m
kifât	k i f a
kifâtes	k i f a t
kifèrent	k i f ɛ ʁ
kifé	k i f e
kigalien	k i ɡ a l j ɛ̃
kigalois	k i ɡ a l w a
kikoïne	k i k ɔ i n
kikuko	k i k u k o
kikuyu	k i k u j u
kilo	k i l o
kiloampère	k i l ɔ ɑ̃ p ɛ ʁ
kilocandela	k i l ɔ k ɑ̃ d e l a
kilocycle	k i l ɔ s i k l
kilogramme	k i l ɔ ɡ ʁ a m
kilokatal	k i l ɔ k a t a l
kilomètre	k i l ɔ m a ɛ̯ t ʁ
kilométrage	k i l ɔ m e t ʁ a ʒ
kilométrique	k i l ɔ m e t ʁ i k
kilométriquement	k i l ɔ m e t ʁ i k m ɑ̃
kilooctet	k i l o ɔ k t ɛ
kiloseconde	k i l ɔ s ɡ ɔ̃ d
kilostéradian	k i l ɔ s t e ʁ a d j ɑ̃
kilowatt	k i l ɔ w a t
kilowattheure	k i l ɔ w a t œ ʁ
kimchi	k i m t ʃ i
kinew	k i n ɛ w
kinkajou	k ɛ̃ k a ʒ u
kinmen	k i n m ɛ n
kinois	k i n w a
kinshasa	k i n ʃ a s a
kinésiologie	k i n e z j ɔ l ɔ ʒ i
kipawa	k i p a w a
kippa	k i p a
kirghiz	k i ʁ ɡ i z
kirghizistan	k i ʁ ɡ i z i s t ɑ̃
kirghizophone	k i ʁ ɡ i z ɔ f ɔ n
kirghizstan	k i ʁ ɡ i s t ɑ̃
kiribati	k i ʁ i b a t i
kisdé	k i z d e
kissel	k i s ɛ l
kitch	k i t ʃ
