'tain	t ɛ̃
faibliront	f e b l i ʁ ɔ̃
faiblis	f e b l i
faiblissaient	f e b l i s ɛ
faiblissais	f e b l i s ɛ
faiblissait	f e b l i s ɛ
faiblissant	f e b l i s ɑ̃
faiblissante	f e b l i s ɑ̃ t
faiblisse	f e b l i s
faiblissent	f e b l i s
faiblisses	f e b l i s
faiblissez	f e b l i s e
faiblissiez	f e b l i s j e
faiblissions	f e b l i s j ɔ̃
faiblissons	f e b l i s ɔ̃
faiblit	f e b l i
faiblîmes	f e b l i m
faiblît	f e b l i
faiblîtes	f e b l i t
faille	f a j
faillibilisme	f a j i b i l i s m
faillibilité	f a j i b i l i t e
faillible	f a j i b l
faillir	f a j i ʁ
faillira	f a j i ʁ a
faillirai	f a j i ʁ e
failliraient	f a j i ʁ ɛ
faillirais	f a j i ʁ ɛ
faillirait	f a j i ʁ ɛ
failliras	f a j i ʁ a
faillirent	f a j i ʁ
faillirez	f a j i ʁ e
failliriez	f a j i ʁ j e
faillirions	f a j i ʁ j ɔ̃
faillirons	f a j i ʁ ɔ̃
failliront	f a j i ʁ ɔ̃
faillis	f a j i
faillissaient	f a j i s ɛ
faillissais	f a j i s ɛ
faillissait	f a j i s ɛ
faillissant	f a j i s ɑ̃
faillisse	f a j i s
faillissent	f a j i s
faillisses	f a j i s
faillissez	f a j i s e
faillissiez	f a j i s j e
faillissions	f a j i s j ɔ̃
faillissons	f a j i s ɔ̃
faillit	f a j i
faillite	f a j i t
faillîmes	f a j i m
faillît	f a j i
faillîtes	f a j i t
faim	f ɛ̃
faims	f ɛ̃
faine	f ɛ n
fainéant	f e n e ɑ̃
fainéanter	f e n e ɑ̃ t e
fainéantise	f e n e ɑ̃ t i z
faire	f ɛ ʁ
fais	f ɛ
faisabilité	f ə z a b i l i t e
faisabilités	f ə z a b i l i t e
faisable	f ə z a b l
faisables	f ə z a b l
faisaient	f ə z ɛ
faisais	f ə z ɛ
faisait	f ə z ɛ
faisan	f ə z ɑ̃
faisandé	f ə z ɑ̃ d e
faisane	f ə z a n
faisant	f ə z ɑ̃
faisceau	f e s o
faisceaux	f e s o
faiseur	f ə z œ ʁ
faiseurs	f ə z œ ʁ
faiseuse	f ə z ø z
faiseuses	f ə z ø z
faisez	f ə z e
faisiez	f ə z j e
faisions	f ə z j ɔ̃
faisons	f ə z ɔ̃
fait	f ɛ
faite	f ɛ t
faites	f ɛ t
faitier	f e t j e
faitière	f e t j ɛ ʁ
faitout	f e t u
faix	f ɛ
fak	f a k
faker	f e k e
fakir	f a k i ʁ
fakirs	f a k i ʁ
falafel	f a l a f ɛ l
falaise	f a l ɛ z
falaises	f a l ɛ z
falanouk	f a l a n u k
falaque	f a l a k
falbala	f a l b a l a
falcata	f a l k a t a
faldistoire	f a l d i s t w a ʁ
falisque	f a l i s k
fallacieusement	f a l a s j ø z m ɑ̃
fallacieux	f a l a s j ø
fallait	f a l ɛ
falloir	f a l w a ʁ
fallu	f a l y
fallut	f a l y
falot	f a l o
falote	f a l ɔ t
falsifiabilité	f a l s i f j a b i l i t e
falsifiable	f a l s i f j a b l
falsifiables	f a l s i f j a b l
falsification	f a l s i f i k a s j ɔ̃
falsifier	f a l s i f j e
faluche	f a l y ʃ
fameux	f a m ø
familial	f a m i l j a l
familiale	f a m i l j a l
familialement	f a m i l j a l m ɑ̃
familialiste	f a m i l j a l i s t
familiariser	f a m i l j a ʁ i z e
familiarité	f a m i l j a ʁ i t e
familier	f a m i l j e
familiers	f a m i l j e
familière	f a m i l j ɛ ʁ
familières	f a m i l j ɛ ʁ
famille	f a m i j
famine	f a m i n
famélique	f a m e l i k
fan	f a n
fanal	f a n a l
fanatique	f a n a t i k
fanatiquement	f a n a t i k m ɑ̃
fanatiser	f a n a t i z e
fanaux	f a n o
fandango	f a n d a ɲ ɡ o
fandangue	f ɑ̃ d ɑ̃ ɡ
fane	f a n
faner	f a n e
fanfare	f ɑ̃ f a ʁ
fanfaron	f ɑ̃ f a ʁ ɔ̃
fanfaronnade	f ɑ̃ f a ʁ ɔ n a d
fanfaronner	f ɑ̃ f a ʁ ɔ n e
fanfiction	f a n f i k s j ɔ̃
fanfrelucher	f ɑ̃ f ʁ ə l y ʃ e
fange	f ɑ̃ ʒ
fangeux	f ɑ̃ ʒ ø
fanion	f a n j ɔ̃
fanon	f a n ɔ̃
fanorona	f a n ɔ ʁ ɔ n a
fantaisie	f ɑ̃ t e z i
fantaisiste	f ɑ̃ t e z i s t
fantasia	f ɑ̃ t a z j a
fantasie	f ɑ̃ t a z i
fantasier	f ɑ̃ t a z j e
fantasies	f ɑ̃ t a z i
fantasié	f ɑ̃ t a z j e
fantasmagorie	f ɑ̃ t a s m a ɡ ɔ ʁ i
fantasmagorique	f ɑ̃ t a s m a ɡ ɔ ʁ i k
fantasmagoriquement	f ɑ̃ t a s m a ɡ ɔ ʁ i k m ɑ̃
fantasmatique	f ɑ̃ t a s m a t i k
fantasme	f ɑ̃ t a s m
fantasmer	f ɑ̃ t a s m e
fantasmes	f ɑ̃ t a s m
fantasmât	f ɑ̃ t a s m a
fantasque	f ɑ̃ t a s k
fantassin	f ɑ̃ t a s ɛ̃
fantastique	f ɑ̃ t a s t i k
fantastiquement	f ɑ̃ t a s t i k m ɑ̃
fantastiques	f ɑ̃ t a s t i k
fantasy	f ɑ̃ t e z i
fantoche	f ɑ̃ t ɔ ʃ
fantochement	f ɑ̃ t ɔ ʃ m ɑ̃
fantomal	f ɑ̃ t o m a l
fantomatique	f ɑ̃ t o m a t i k
fantôme	f ɑ̃ t o m
fantômes	f ɑ̃ t o m
fantômisation	f ɑ̃ t o m i z a s j ɔ̃
fané	f a n e
faon	f ɑ̃
faonner	f a n e
faons	f ɑ̃
faque	f a k
faquin	f a k ɛ̃
faquir	f a k i ʁ
far	f a ʁ
farad	f a ʁ a d
faramineux	f a ʁ a m i n ø
farandole	f a ʁ ɑ̃ d ɔ l
faraud	f a ʁ o
farce	f a ʁ s
farceur	f a ʁ s œ ʁ
farceuse	f a ʁ s ø z
farcineuse	f a ʁ s i n ø z
farcir	f a ʁ s i ʁ
fard	f a ʁ
farde	f a ʁ d
fardeau	f a ʁ d o
fardeaux	f a ʁ d o
farder	f a ʁ d e
fardé	f a ʁ d e
fare	f a ʁ
farfadet	f a ʁ f a d ɛ
farfelu	f a ʁ f ə l y
farfouiller	f a ʁ f u j e
farigoule	f a ʁ i ɡ u l
farinacée	f a ʁ i n a s e
farine	f a ʁ i n
fariner	f a ʁ i n e
farineux	f a ʁ i n ø
farinier	f a ʁ i n j e
farm	f a ʁ m
farmer	f a ʁ m e
farniente	f a ʁ n j ɑ̃ t
farouche	f a ʁ u ʃ
fart	f a ʁ
farta	f a ʁ t a
fartas	f a ʁ t a
fartes	f a ʁ t
faré	f a ʁ e
fasce	f a s
fascial	f a s j a l
fascina	f a s i n a
fascinai	f a s i n e
fascinaient	f a s i n ɛ
fascinais	f a s i n ɛ
fascinait	f a s i n ɛ
fascinant	f a s i n ɑ̃
fascinante	f a s i n ɑ̃ t
fascinantes	f a s i n ɑ̃ t
fascinants	f a s i n ɑ̃
fascinas	f a s i n a
fascinasse	f a s i n a s
fascinassent	f a s i n a s
fascinasses	f a s i n a s
fascinassiez	f a s i n a s j e
fascinassions	f a s i n a s j ɔ̃
fascination	f a s i n a s j ɔ̃
fascine	f a s i n
fascinent	f a s i n
fasciner	f a s i n e
fascinera	f a s i n ʁ a
fascinerai	f a s i n ʁ e
fascineraient	f a s i n ʁ ɛ
fascinerais	f a s i n ʁ ɛ
fascinerait	f a s i n ʁ ɛ
fascineras	f a s i n ʁ a
fascinerez	f a s i n ʁ e
fascineriez	f a s i n ə ʁ j e
fascinerions	f a s i n ə ʁ j ɔ̃
fascinerons	f a s i n ʁ ɔ̃
fascineront	f a s i n ʁ ɔ̃
fascines	f a s i n
fascinez	f a s i n e
fasciniez	f a s i n j e
fascinions	f a s i n j ɔ̃
fascinons	f a s i n ɔ̃
fascinâmes	f a s i n a m
fascinât	f a s i n a
fascinâtes	f a s i n a t
fascinèrent	f a s i n ɛ ʁ
fasciné	f a s i n e
fascinée	f a s i n e
fascinées	f a s i n e
fascinés	f a s i n e
fascisation	f a ʃ i z a s j ɔ̃
fascisme	f a s i s m
fasciste	f a ʃ i s t
fascistement	f a ʃ i s t ə m ɑ̃
fascistissime	f a ʃ i s t i s i m
fascistoïde	f a s i s t ɔ i d
fascié	f a s j e
faseiller	f a z e j e
faseyer	f a z e j e
fashionable	f a ʃ ɔ n a b l
fasse	f a s
fassent	f a s
fasses	f a s
fassiez	f a s j e
fassions	f a s j ɔ̃
faste	f a s t
fastidieuse	f a s t i d j ø z
fastidieusement	f a s t i d j ø z m ɑ̃
fastidieuses	f a s t i d j ø z
fastidieux	f a s t i d j ø
fastoche	f a s t ɔ ʃ
fastueusement	f a s t ɥ ø z m ɑ̃
fastueux	f a s t ɥ ø
faséier	f a z e j e
faséyer	f a z e j e
fat	f a
fatal	f a t a l
fatale	f a t a l
fatalement	f a t a l m ɑ̃
fatales	f a t a l
fatalisme	f a t a l i s m
fataliste	f a t a l i s t
fatalité	f a t a l i t e
fatha	f a t a
fatidique	f a t i d i k
fatidiques	f a t i d i k
fatigable	f a t i ɡ a b l
fatigant	f a t i ɡ ɑ̃
fatiguant	f a t i ɡ ɑ̃
fatiguante	f a t i ɡ ɑ̃ t
fatigue	f a t i ɡ
fatiguer	f a t i ɡ e
fatigues	f a t i ɡ
fatigué	f a t i ɡ e
fatiguée	f a t i ɡ e
fatras	f a t ʁ a
fattouch	f a t u ʃ
fatuité	f a t ɥ i t e
fatwa	f a t w a
faubert	f o b ɛ ʁ
fauberts	f o b ɛ ʁ
faubourg	f o b u ʁ
faubourien	f o b u ʁ j ɛ̃
fauchaison	f o ʃ e z ɔ̃
fauche	f o ʃ
faucher	f o ʃ e
faucheur	f o ʃ œ ʁ
faucheux	f o ʃ ø
fauchon	f o ʃ ɔ̃
fauché	f o ʃ e
faucille	f o s i j
faucon	f o k ɔ̃
fauconnerie	f o k ɔ n ʁ i
fauconneries	f o k ɔ n ʁ i
faudra	f o d ʁ a
faudrait	f o d ʁ ɛ
faufiler	f o f i l e
faujasie	f o ʒ a z i
faujasite	f o ʒ a z i t
faulknérien	f o l k n e ʁ j ɛ̃
fauloir	f o l w a ʁ
faumar	f o m a ʁ
faune	f o n
faunesse	f o n ɛ s
faunistiquement	f o n i s t i k m ɑ̃
fausse	f o s
faussement	f o s m ɑ̃
fausser	f o s e
fausset	f o s ɛ
fausseté	f o s t e
faut	f o
faute	f o t
fauter	f o t e
fauteuil	f o t œ j
fauteur	f o t œ ʁ
fautif	f o t i f
fautifs	f o t i f
fautive	f o t i v
fautivement	f o t i v m ɑ̃
fautives	f o t i v
fautrice	f o t ʁ i s
fauve	f o v
fauvement	f o v m ɑ̃
fauvette	f o v ɛ t
fauxmage	f o m a ʒ
faveur	f a v œ ʁ
favorable	f a v ɔ ʁ a b l
favorablement	f a v ɔ ʁ a b l ə m ɑ̃
favori	f a v ɔ ʁ i
favoriser	f a v ɔ ʁ i z e
favorite	f a v ɔ ʁ i t
favoritisme	f a v ɔ ʁ i t i s m
favouille	f a v u j
favus	f a v y s
fax	f a k s
faxer	f a k s e
fayard	f a j a ʁ
fayence	f a j ɑ̃ s
fayences	f e j ɑ̃ s
fayot	f a j o
fayoter	f a j ɔ t e
fayotter	f e j ɔ t e
fazenda	f a z ɛ n d a
façade	f a s a d
façades	f a s a d
façon	f a s ɔ̃
façonnable	f a s ɔ n a b l
façonner	f a s ɔ n e
façonnier	f a s ɔ n j e
faîne	f ɛ n
faîtage	f e t a ʒ
faîte	f ɛ t
faîteau	f e t o
faîtes	f ɛ t
faîtier	f e t j e
faîtière	f e t j ɛ ʁ
faïence	f a j ɑ̃ s
faïences	f a j ɑ̃ s
feedback	f i d b a k
feeling	f i l i ŋ
feignant	f e ɲ ɑ̃
feignasse	f e ɲ a s
feigne	f ɛ ɲ
feignent	f ɛ ɲ
feignez	f e ɲ e
feignons	f e ɲ ɔ̃
feijoada	f ɛ j ʒ o a d a
feindre	f ɛ̃ d ʁ
feins	f ɛ̃
feint	f ɛ̃
feinte	f ɛ̃ t
feinter	f ɛ̃ t e
feintise	f ɛ̃ t i z
feldiègre	f ɛ l d j ɛ ɡ ʁ
fellagha	f e l a ɡ a
fellateur	f e l a t œ ʁ
fellateurs	f e l a t œ ʁ
fellation	f e l a s j ɔ̃
fellatrice	f e l a t ʁ i s
felouque	f ə l u k
fem	f ɛ m
femboy	f ɛ m b ɔ j
femdom	f ɛ m d ɔ m
femelle	f i m ɛ l
femme	f a m
femmelette	f a m l ɛ t
femmes	f a m
femtoampère	f ɛ m t ɔ ɑ̃ p ɛ ʁ
femtocandela	f ɛ m t ɔ k ɑ̃ d e l a
femtocandéla	f ɛ m t ɔ k ɑ̃ d e l a
femtohm	f ɛ m t o m
femtokatal	f ɛ m t ɔ k a t a l
femtomètre	f ɛ m t ɔ m ɛ t ʁ
femtoseconde	f ɛ m t ɔ s ə ɡ ɔ̃ d
femtostéradian	f ɛ m t ɔ s t e ʁ a d j ɑ̃
fenaison	f ə n e z ɔ̃
fenasse	f ə n a s
fendant	f ɑ̃ d ɑ̃
fendard	f ɑ̃ d a ʁ
fendiller	f ɑ̃ d i j e
fendoir	f ɑ̃ d w a ʁ
fendre	f ɑ̃ d ʁ
fenil	f ə n i
fennec	f e n ɛ k
fennique	f e n i k
fenouil	f ə n u j
fenouils	f ə n u j
fentanyl	f ɑ̃ t a n i l
fente	f ɑ̃ t
fenugrec	f ə n y ɡ ʁ ɛ k
fenêtrage	f ə n e t ʁ a ʒ
fenêtre	f n ɛ t ʁ
fenêtres	f ə n ɛ t ʁ
fer	f ɛ ʁ
fera	f ə ʁ a
ferai	f ə ʁ e
feraient	f ə ʁ ɛ
ferais	f ə ʁ ɛ
ferait	f ə ʁ ɛ
feras	f ə ʁ a
ferblanterie	f ɛ ʁ b l ɑ̃ t ʁ i
ferblantier	f ɛ ʁ b l ɑ̃ t j e
ferblantière	f ɛ ʁ b l ɑ̃ t j ɛ ʁ
ferez	f ə ʁ e
feriez	f ə ʁ j e
ferions	f ə ʁ j ɔ̃
ferlais	f ɛ ʁ l ɛ
ferler	f ɛ ʁ l e
fermail	f ɛ ʁ m a j
fermant	f ɛ ʁ m ɑ̃
ferme	f ɛ ʁ m
fermement	f ɛ ʁ m ə m ɑ̃
fermenta	f ɛ ʁ m ɑ̃ t a
fermentai	f ɛ ʁ m ɑ̃ t ɛ
fermentais	f ɛ ʁ m ɑ̃ t ɛ
fermentas	f ɛ ʁ m ɑ̃ t a
fermentasse	f ɛ ʁ m ɑ̃ t a s
fermentasses	f ɛ ʁ m ɑ̃ t a s
fermentatif	f ɛ ʁ m ɑ̃ t a t i f
fermentation	f ɛ ʁ m ɑ̃ t a s j ɔ̃
fermente	f ɛ ʁ m ɑ̃ t
fermenter	f ɛ ʁ m ɑ̃ t e
fermentes	f ɛ ʁ m ɑ̃ t
fermentez	f ɛ ʁ m ɑ̃ t e
fermenté	f ɛ ʁ m ɑ̃ t e
fermentée	f ɛ ʁ m ɑ̃ t e
fermentées	f ɛ ʁ m ɑ̃ t e
fermentés	f ɛ ʁ m ɑ̃ t e
fermer	f ɛ ʁ m e
fermeture	f ɛ ʁ m ə t y ʁ
fermeté	f ɛ ʁ m ə t e
fermier	f ɛ ʁ m j e
fermion	f ɛ ʁ m j ɔ̃
fermium	f ɛ ʁ m j ɔ m
fermé	f ɛ ʁ m e
fermée	f ɛ ʁ m e
ferons	f ə ʁ ɔ̃
feront	f ə ʁ ɔ̃
ferraillant	f e ʁ a j ɑ̃
ferraille	f e ʁ a j
ferrailler	f e ʁ a j e
ferrailleur	f e ʁ a j œ ʁ
ferrailleuse	f e ʁ a j ø z
ferrais	f e ʁ ɛ
ferrane	f e ʁ a n
ferrat	f e ʁ a
ferrer	f e ʁ e
ferret	f e ʁ ɛ
ferrier	f e ʁ j e
ferriprive	f e ʁ i p ʁ i v
ferrique	f e ʁ i k
ferrochrome	f e ʁ o k ʁ ɔ m
ferromagnétisme	f e ʁ ɔ m a ɲ e t i s m
ferroviaire	f e ʁ ɔ v j ɛ ʁ
ferrovipathe	f e ʁ ɔ v i p a t
ferrugineux	f e ʁ y ʒ i n ø
ferry	f e ʁ i
fertile	f ɛ ʁ t i l
fertilement	f ɛ ʁ t i l m ɑ̃
fertilisa	f ɛ ʁ t i l i z a
fertilisai	f ɛ ʁ t i l i z e
fertilisaient	f ɛ ʁ t i l i z ɛ
fertilisais	f ɛ ʁ t i l i z ɛ
fertilisait	f ɛ ʁ t i l i z ɛ
fertilisant	f ɛ ʁ t i l i z ɑ̃
fertilisas	f ɛ ʁ t i l i z a
fertilisasse	f ɛ ʁ t i l i z a s
fertilisassent	f ɛ ʁ t i l i z a s
fertilisasses	f ɛ ʁ t i l i z a s
fertilisassiez	f ɛ ʁ t i l i z a s j e
fertilisassions	f ɛ ʁ t i l i z a s j ɔ̃
fertilisation	f ɛ ʁ t i l i z a s j ɔ̃
fertilise	f ɛ ʁ t i l i z
fertilisent	f ɛ ʁ t i l i z
fertiliser	f ɛ ʁ t i l i z e
fertilisera	f ɛ ʁ t i l i z ʁ a
fertiliserai	f ɛ ʁ t i l i z ʁ e
fertiliseraient	f ɛ ʁ t i l i z ʁ ɛ
fertiliserais	f ɛ ʁ t i l i z ʁ ɛ
fertiliserait	f ɛ ʁ t i l i z ʁ ɛ
fertiliseras	f ɛ ʁ t i l i z ʁ a
fertiliserez	f ɛ ʁ t i l i z ʁ e
fertiliseriez	f ɛ ʁ t i l i z ə ʁ j e
fertiliserions	f ɛ ʁ t i l i z ə ʁ j ɔ̃
fertiliserons	f ɛ ʁ t i l i z ʁ ɔ̃
fertiliseront	f ɛ ʁ t i l i z ʁ ɔ̃
fertilises	f ɛ ʁ t i l i z
fertilisez	f ɛ ʁ t i l i z e
fertilisiez	f ɛ ʁ t i l i z j e
fertilisions	f ɛ ʁ t i l i z j ɔ̃
fertilisons	f ɛ ʁ t i l i z ɔ̃
fertilisâmes	f ɛ ʁ t i l i z a m
fertilisât	f ɛ ʁ t i l i z a
fertilisâtes	f ɛ ʁ t i l i z a t
fertilisèrent	f ɛ ʁ t i l i z ɛ ʁ
fertilisé	f ɛ ʁ t i l i z e
fertilité	f ɛ ʁ t i l i t e
fervemment	f ɛ ʁ v a m ɑ̃
fervent	f ɛ ʁ v ɑ̃
fervente	f ɛ ʁ v ɑ̃ t
ferventes	f ɛ ʁ v ɑ̃ t
fervents	f ɛ ʁ v ɑ̃
ferveur	f ɛ ʁ v œ ʁ
fesse	f ɛ s
fesser	f e s e
fessier	f e s j e
fessu	f e s y
fessé	f e s e
fessée	f e s e
festin	f ɛ s t ɛ̃
festinas	f ɛ s t i n a
festinez	f ɛ s t i n e
festival	f ɛ s t i v a l
festivalier	f ɛ s t i v a l j e
feston	f ɛ s t ɔ̃
festoyant	f ɛ s t w a j ɑ̃
festoyer	f ɛ s t w a j e
feu	f ø
feudataire	f œ d a t ɛ ʁ
feuh	f ø
feuillage	f œ j a ʒ
feuillages	f œ j a ʒ
feuillaison	f œ j e z ɔ̃
feuillante	f œ j ɑ̃ t
feuille	f œ j
feuilles	f œ j
feuillet	f œ j ɛ
feuilletage	f œ j t a ʒ
feuilleter	f œ j t e
feuilleteur	f œ j t œ ʁ
feuilleteuse	f œ j t ø z
feuilletine	f œ j t i n
feuilleton	f œ j t ɔ̃
feuilletoniste	f œ j t ɔ n i s t
feuilletons	f œ j t ɔ̃
feuillette	f œ j ɛ t
feuillu	f œ j y
feuillure	f œ j y ʁ
feuillée	f œ j e
feuj	f œ ʒ
feuje	f œ ʒ
feujes	f œ ʒ
feujs	f œ ʒ
feulement	f œ l m ɑ̃
feumeu	f œ m ø
feurre	f œ ʁ
feutre	f ø t ʁ
feutrer	f ø t ʁ e
feutrine	f ø t ʁ i n
feutré	f ø t ʁ e
feux	f ø
fez	f ɛ z
fi	f i
fiabiliser	f j a b i l i z e
fiable	f j a b l
fiacre	f j a k ʁ
fiak	f j a k
fiance	f j ɑ̃ s
fiancer	f i j ɑ̃ s e
fiancé	f i j ɑ̃ s e
fiancée	f i j ɑ̃ s e
fiant	f j ɑ̃
fiançaille	f i j ɑ̃ s a j
fiançailles	f i j ɑ̃ s a j
fiasco	f j a s k o
fiasque	f j a s k
fibranne	f i b ʁ a n
fibre	f i b ʁ
fibroblaste	f i b ʁ ɔ b l a s t
fibrome	f i b ʁ ɔ m
fibule	f i b y l
ficelage	f i s l a ʒ
ficeler	f i s l e
ficelle	f i s ɛ l
ficelles	f i s ɛ l
ficelé	f i s l e
ficha	f i ʃ a
fiche	f i ʃ
ficher	f i ʃ e
fichier	f i ʃ j e
fichiers	f i ʃ j e
fichtre	f i ʃ t ʁ
fichu	f i ʃ y
fictif	f i k t i f
fiction	f i k s j ɔ̃
fictionaliser	f i k s j ɔ n a l i z e
fictionnelle	f i k s j ɔ n ɛ l
fictionnellement	f i k s j ɔ n ɛ l m ɑ̃
fictivement	f i k t i v m ɑ̃
fidjien	f i d ʒ j ɛ̃
fiduciaire	f i d y s j ɛ ʁ
fiduciant	f i d y s j ɑ̃
fiducie	f i d y s i
fidèle	f i d ɛ l
fidèlement	f i d ɛ l m ɑ̃
fidèles	f i d ɛ l
fidéicommis	f i d e i k ɔ m i
fidéisme	f i d e i s m
fidéiste	f i d e i s t
fidélisation	f i d e l i z a s j ɔ̃
fidéliser	f i d e l i z e
fidélité	f i d e l i t e
fief	f j ɛ f
fieffé	f j e f e
fiefs	f j ɛ f
fiel	f j ɛ l
fielleusement	f j e l ø z m ɑ̃
fiente	f j ɑ̃ t
fienter	f j ɑ̃ t e
fier	f i e
fierté	f j ɛ ʁ t e
fieu	f j ø
fieux	f j ø
fif	f i f
fifille	f i f i j
fifre	f i f ʁ
figaro	f i ɡ a ʁ o
fige	f i ʒ
figea	f i ʒ a
figeai	f i ʒ e
figeaient	f i ʒ ɛ
figeais	f i ʒ ɛ
figeait	f i ʒ ɛ
figeant	f i ʒ ɑ̃
figeas	f i ʒ a
figeasse	f i ʒ a s
figeassent	f i ʒ a s
figeasses	f i ʒ a s
figeassiez	f i ʒ a s j e
figeassions	f i ʒ a s j ɔ̃
figement	f i ʒ m ɑ̃
figements	f i ʒ m ɑ̃
figent	f i ʒ
figeons	f i ʒ ɔ̃
figer	f i ʒ e
figera	f i ʒ ʁ a
figerai	f i ʒ ʁ e
figeraient	f i ʒ ʁ ɛ
figerais	f i ʒ ʁ ɛ
figerait	f i ʒ ʁ ɛ
figeras	f i ʒ ʁ a
figerez	f i ʒ ʁ e
figeriez	f i ʒ ə ʁ j e
figerions	f i ʒ ə ʁ j ɔ̃
figerons	f i ʒ ʁ ɔ̃
figeront	f i ʒ ʁ ɔ̃
figes	f i ʒ
figez	f i ʒ e
figeâmes	f i ʒ a m
figeât	f i ʒ a
figeâtes	f i ʒ a t
figiez	f i ʒ j e
figions	f i ʒ j ɔ̃
fignoler	f i ɲ ɔ l e
figue	f i ɡ
figuerie	f i ɡ ə ʁ i
figuier	f i ɡ j e
figura	f i ɡ y ʁ a
figurant	f i ɡ y ʁ ɑ̃
figurante	f i ɡ y ʁ ɑ̃ t
figuratif	f i ɡ y ʁ a t i f
figurative	f i ɡ y ʁ a t i v
figurativement	f i ɡ y ʁ a t i v m ɑ̃
figuratives	f i ɡ y ʁ a t i v
figure	f i ɡ y ʁ
figurer	f i ɡ y ʁ e
figures	f i ɡ y ʁ
figurine	f i ɡ y ʁ i n
figuré	f i ɡ y ʁ e
figèrent	f i ʒ ɛ ʁ
figé	f i ʒ e
fil	f i l
fila	f i l a
filai	f i l e
filaient	f i l ɛ
filais	f i l ɛ
filait	f i l ɛ
filamenteux	f i l a m ɑ̃ t ø
filant	f i l ɑ̃
filanzane	f i l ɑ̃ z a n
filas	f i l a
filasse	f i l a s
filassent	f i l a s
filasses	f i l a s
filassiez	f i l a s j e
filassions	f i l a s j ɔ̃
filateur	f i l a t œ ʁ
filature	f i l a t y ʁ
fildefériste	f i l d ə f e ʁ i s t
file	f i l
filent	f i l
filer	f i l e
filera	f i l ʁ a
filerai	f i l ʁ e
fileraient	f i l ʁ ɛ
filerais	f i l ʁ ɛ
filerait	f i l ʁ ɛ
fileras	f i l ʁ a
filerez	f i l ʁ e
fileriez	f i l ə ʁ j e
filerions	f i l ə ʁ j ɔ̃
filerons	f i l ʁ ɔ̃
fileront	f i l ʁ ɔ̃
files	f i l
filet	f i l ɛ
fileter	f i l t e
filez	f i l e
filial	f i l j a l
filiale	f i l j a l
filialisation	f i l j a l i z a s j ɔ̃
filialiser	f i l j a l i z e
filiez	f i l j e
filiforme	f i l i f ɔ ʁ m
filigrane	f i l i ɡ ʁ a n
filigraner	f i l i ɡ ʁ a n e
filions	f i l j ɔ̃
filière	f i l j ɛ ʁ
fille	f i j
filles	f i j
fillette	f i j ɛ t
filleul	f i j œ l
filleule	f i j œ l
fillâtre	f i j a t ʁ
fillâtres	f i j a t ʁ
film	f i l m
filma	f i l m a
filmable	f i l m a b l
filmage	f i l m a ʒ
filmai	f i l m e
filmaient	f i l m ɛ
filmais	f i l m ɛ
filmait	f i l m ɛ
filmant	f i l m ɑ̃
filmas	f i l m a
filmasse	f i l m a s
filmassent	f i l m a s
filmasses	f i l m a s
filmassiez	f i l m a s j e
filmassions	f i l m a s j ɔ̃
filme	f i l m
filment	f i l m
filmer	f i l m e
filmera	f i l m ə ʁ a
filmerai	f i l m ə ʁ e
filmeraient	f i l m ə ʁ ɛ
filmerais	f i l m ə ʁ ɛ
filmerait	f i l m ə ʁ ɛ
filmeras	f i l m ə ʁ a
filmerez	f i l m ə ʁ e
filmeriez	f i l m ə ʁ j e
filmerions	f i l m ə ʁ j ɔ̃
filmerons	f i l m ə ʁ ɔ̃
filmeront	f i l m ə ʁ ɔ̃
filmes	f i l m
filmez	f i l m e
filmiez	f i l m j e
filmions	f i l m j ɔ̃
filmons	f i l m ɔ̃
filmothèque	f i l m ɔ t ɛ k
filmothèques	f i l m ɔ t ɛ k
films	f i l m
filmâmes	f i l m a m
filmât	f i l m a
filmâtes	f i l m a t
filmèrent	f i l m ɛ ʁ
filmé	f i l m e
filoir	f i l w a ʁ
filon	f i l ɔ̃
filou	f i l u
fils	f i
filsdeup	f i s d œ p
filsâtre	f i s a t ʁ
filsâtres	f i l s a t ʁ
filtrage	f i l t ʁ a ʒ
filtrante	f i l t ʁ ɑ̃ t
filtrantes	f i l t ʁ ɑ̃ t
filtras	f i l t ʁ a
filtrat	f i l t ʁ a
filtration	f i l t ʁ a s j ɔ̃
filtrats	f i l t ʁ a
filtre	f i l t ʁ
filtrer	f i l t ʁ e
filtrez	f i l t ʁ e
filâmes	f i l a m
filât	f i l a
filâtes	f i l a t
filèrent	f i l ɛ ʁ
filé	f i l e
fin	f ɛ̃
final	f i n a l
finale	f i n a l
finalement	f i n a l m ɑ̃
finales	f i n a l
finaliste	f i n a l i s t
finalité	f i n a l i t e
finals	f i n a l
finance	f i n ɑ̃ s
financement	f i n ɑ̃ s m ɑ̃
financer	f i n ɑ̃ s e
finances	f i n ɑ̃ s
financier	f i n ɑ̃ s j e
financière	f i n ɑ̃ s j ɛ ʁ
financièrement	f i n ɑ̃ s j ɛ ʁ m ɑ̃
financé	f i n ɑ̃ s e
finasse	f i n a s
finasser	f i n a s e
finasses	f i n a s
finasseuse	f i n a s ø z
finasseuses	f i n a s ø z
finaux	f i n o
fine	f i n
finement	f i n m ɑ̃
fines	f i n
finesse	f i n ɛ s
finette	f i n ɛ t
fini	f i n i
finie	f i n i
finies	f i n i
finir	f i n i ʁ
finira	f i n i ʁ a
finirai	f i n i ʁ e
