a	ɐ
mandacaru	m ɐ̃ d ɐ k ɐ ɾ u
mandacarus	m ɐ̃ d ɐ k ɐ ɾ u s
mandachuva	m ɐ̃ d ɐ ʃ u v ɐ
mandada	m ɐ̃ d ɐ d ɐ
mandadas	m ɐ̃ d ɐ d ɐ s
mandado	m ɐ̃ d ɐ d u
mandados	m ɐ̃ d ɐ d u s
mandaguari	m ɐ̃ d ɐ ɡ w ɐ ɾ i
mandala	m ɐ̃ d ɐ l ɐ
mandalun	m ɐ̃ d ɐ l ũ
mandam	m ɐ̃ d ɐ̃w̃
mandamento	m ɐ̃ d ɐ m ẽ t u
mandamentos	m ɐ̃ d ɐ m ẽ t u s
mandamos	m ɐ̃ d ɐ̃ m u s
mandando	m ɐ̃ d ɐ̃ d u
mandante	m ɐ̃ d ɐ̃ t ʃ i
mandantes	m ɐ̃ d ɐ̃ t ʃ i s
mandaqui	m ɐ̃ d ɐ k j
mandar	m ɐ̃ d ɐ ɹ
mandara	m ɐ̃ d ɐ ɾ ɐ
mandaram	m ɐ̃ d ɐ ɾ ɐ̃w̃
mandarem	m ɐ̃ d ɐ ɾ ẽj̃
mandaria	m ɐ̃ d ɐ ɾ i ɐ
mandarim	m ɐ̃ d ɐ ɾ ĩ
mandarina	m ɐ̃ d ɐ ɾ i n ɐ
mandarino	m ɐ̃ d ɐ ɾ ĩ n u
mandarins	m ɐ̃ d ɐ ɾ ĩ s
mandará	m ɐ̃ d ɐ ɾ ɐ
mandasse	m ɐ̃ d ɐ s i
mandatar	m ɐ̃ d ɐ t ɐ
mandato	m ɐ̃ d ɐ t u
mandatos	m ɐ̃ d ɐ t u s
mandatário	m ɐ̃ d ɐ t ɐ ɾ i u
mandatários	m ɐ̃ d ɐ t ɐ ɾ i u s
mandatório	m ɐ̃ d ɐ t o ɾ i o
mandava	m ɐ̃ d ɐ v ɐ
mandavam	m ɐ̃ d ɐ v ɐ̃w̃
mande	m ɐ̃ d ʒ i
mandei	m ɐ̃ d ej
mandela	m ɐ̃ d ɛ l ɐ
mandelli	m ɐ̃ d ew l i
mandem	m ɐ̃ d ẽj̃
mandeu	m ɐ̃ d e w
mandia	m ɐ̃ d ʒ i ɐ
mandibular	m ɐ̃ d i b u l ɐ ɹ
mandic	m ɐ̃ d ʒ i k
mandinga	m ɐ̃ d ʒ ĩ ɡ ɐ
mandingar	m ɐ̃ d ĩ ɡ ɐ
mandingueiro	m ɐ̃ d ĩ ɡ e ɾ ɾ o
mandioca	m ɐ̃ d ʒ i o k ɐ
mandiocal	m ɐ̃ d i o k ɐ w
mandiyú	m ɐ̃ d ʒ i j u
mando	m ɐ̃ d u
mandola	m ɐ̃ d o l ɐ
mandonismo	m ɐ̃ d o n i z m u
mandorla	m ɐ̃ d o ɹ l ɐ
mandou	m ɐ̃ d ow
mandril	m ɐ̃ d ɾ i w
mandrião	m ɐ̃ d ɾ i ɐ̃ ɐ̃w̃
mandrágora	m ɐ̃ d ɾ ɐ ɡ o ɾ ɐ
mandubi	m ɐ̃ d u b i
manduco	m ɐ̃ d u k o
manduri	m ɐ̃ d u ɾ i
mandá	m ɐ̃ d ɐ
mandão	m ɐ̃ d ɐ̃ ɐ̃w̃
mandíbula	m ɐ̃ d i b u l ɐ
manear	m ɐ n e ɐ
maneco	m ɐ n e k u
maneira	m ɐ n ej ɾ ɐ
maneirar	m ɐ n e ɾ ɾ ɐ
maneiras	m ɐ n ej ɾ ɐ s
maneirismo	m ɐ n ej ɾ i z m u
maneirismos	m ɐ n ej ɾ i z m u s
maneirista	m ɐ n ej ɾ i s t ɐ
maneiro	m ɐ n e ɾ ɾ o
maneja	m ɐ n e ʒ ɐ
manejamos	m ɐ n e ʒ ɐ m o s
manejar	m ɐ n e ʒ ɐ ɹ
manejei	m ɐ n e ʒ e ɾ
manejo	m ɐ n e ʒ u
manejou	m ɐ n e ʒ o
manejámos	m ɐ n e ʒ ɐ m o s
manejáramos	m ɐ n e ʒ ɐ ɾ ɐ m o s
manejável	m ɐ n e ʒ ɐ v e w
manequim	m ɐ n e k ĩ
manequinho	m ɐ n e k ĩ ɲ u
manequins	m ɐ n e k ĩ s
manes	m ɐ n e s
manet	m ɐ̃ n e t ʃ
maneta	m ɐ n e t ɐ
manete	m ɐ n e t e
manette	m ɐ n e t ʃ t ʃ i
manetti	m ɐ n e t ʃ t ʃ i
manezinho	m ɐ n e z i ɲ o
manezês	m ɐ n e z e ɾ s
manfred	m ɐ̃ f ɾ e d ʒ
manfredini	m ɐ̃ f ɾ e d ʒ ĩ n i
manga	m ɐ̃ ɡ ɐ
mangaba	m ɐ̃ ɡ ɐ b ɐ
mangabeira	m ɐ̃ ɡ ɐ b ej ɾ ɐ
mangabeiras	m ɐ̃ ɡ ɐ b ej ɾ ɐ s
mangais	m ɐ̃ ɡ ɐ ɾ s
mangal	m ɐ̃ ɡ ɐ w
mangalarga	m ɐ̃ ɡ ɐ l ɐ ʁ ɡ ɐ
mangalho	m ɐ̃ ɡ ɐ ʎ o
manganela	m ɐ̃ ɡ ɐ n e l ɐ
mangangaba	m ɐ̃ ɡ ɐ̃ ɡ ɐ b ɐ
mangangá	m ɐ̃ ɡ ɐ̃ ɡ ɐ
manganinho	m ɐ̃ ɡ ɐ n ĩ ɲ u
manganés	m ɐ̃ ɡ ɐ n e ɾ s
manganésio	m ɐ̃ ɡ ɐ n e z i o
manganês	m ɐ̃ ɡ ɐ n e s
mangar	m ɐ̃ ɡ ɐ ɹ
mangaratiba	m ɐ̃ ɡ ɐ ɾ ɐ t ʃ i b ɐ
mangas	m ɐ̃ ɡ ɐ s
mangels	m ɐ̃ ʒ ew s
mango	m ɐ̃ ɡ o
mangope	m ɐ̃ ɡ o p i
mangostão	m ɐ̃ ɡ o s t ɐ̃ ɐ̃w̃
mangosuthu	m ɐ̃ ɡ o z u t u
mangra	m ɐ̃ ɡ ɾ ɐ
mangrar	m ɐ̃ ɡ ɾ ɐ
mangual	m ɐ̃ ɡ w ɐ w
mangualde	m ɐ̃ ɡ w ɐ w d e
mangualdense	m ɐ̃ ɡ w ɐ w d ẽ s e
mangue	m ɐ̃ ɡ i
mangueboys	m ɐ̃ ɡ e b o i s
mangueira	m ɐ̃ ɡ ej ɾ ɐ
mangueirada	m ɐ̃ ɡ e ɾ ɾ ɐ d ɐ
mangueiral	m ɐ̃ ɡ e ɾ ɾ ɐ w
mangueiras	m ɐ̃ ɡ ej ɾ ɐ s
mangueirense	m ɐ̃ ɡ ej ɾ ẽ s i
mangueirenses	m ɐ̃ ɡ ej ɾ ẽ s i s
mangueirão	m ɐ̃ ɡ ej ɾ ɐ̃w̃
mangues	m ɐ̃ ɡ i s
manguezais	m ɐ̃ ɡ e z ɐj s
manguezal	m ɐ̃ ɡ e z ɐ w
manguinhos	m ɐ̃ ɡ ĩ ɲ u s
manguito	m ɐ̃ ɡ i t o
mangusto	m ɐ̃ ɡ u s t o
manguço	m ɐ̃ ɡ u s o
mangá	m ɐ̃ ɡ ɐ
manha	m ɐ̃ ɲ ɐ
manhas	m ɐ̃ ɲ ɐ s
manhattan	m ɐ ɲ ɐ t ʃ t ɐ̃
manhoso	m ɐ ɲ o z o
manhua	m ɐ̃ u ɐ
manhuço	m ɐ ɲ u s o
manhwa	m ɐ̃ u ɐ
manhã	m ɐ ɲ ɐ̃
manhãs	m ɐ ɲ ɐ̃j̃ s
manhãzinha	m ɐ ɲ ɐ̃ z i ɲ ɐ
manhê	m ɐ ɲ e
mania	m ɐ n i ɐ
maniado	m ɐ n i ɐ d o
manias	m ɐ n i ɐ s
manicura	m ɐ n i k u ɾ ɐ
manicure	m ɐ n i k u ɾ i
manicuro	m ɐ n i k u ɾ o
manicômio	m ɐ n i k o m i u
manicômios	m ɐ n i k o m i u s
manif	m ɐ n i f
manife	m ɐ n i f e
manifesta	m ɐ n i f e s t ɐ
manifestada	m ɐ n i f e s t ɐ d ɐ
manifestadas	m ɐ n i f e s t ɐ d ɐ s
manifestado	m ɐ n i f e s t ɐ d u
manifestam	m ɐ n i f e s t ɐ̃w̃
manifestamente	m ɐ n i f e s t ɐ m ẽ t ʃ i
manifestando	m ɐ n i f e s t ɐ̃ d u
manifestante	m ɐ n i f e s t ɐ̃ t ʃ i
manifestantes	m ɐ n i f e s t ɐ̃ t ʃ i s
manifestar	m ɐ n i f e s t ɐ ɹ
manifestaram	m ɐ n i f e s t ɐ ɾ ɐ̃w̃
manifestarem	m ɐ n i f e s t ɐ ɾ ẽj̃
manifestaria	m ɐ n i f e s t ɐ ɾ i ɐ
manifestará	m ɐ n i f e s t ɐ ɾ ɐ
manifestasse	m ɐ n i f e s t ɐ s i
manifestaste	m ɐ n i f e s t ɐ s t e
manifestava	m ɐ n i f e s t ɐ v ɐ
manifestavam	m ɐ n i f e s t ɐ v ɐ̃w̃
manifestação	m ɐ n i f e s t ɐ s ɐ̃w̃
manifestações	m ɐ n i f e s t ɐ s õj̃ s
manifeste	m ɐ n i f e s t ʃ i
manifestem	m ɐ n i f e s t ẽj̃
manifesto	m ɐ n i f e s t u
manifestos	m ɐ n i f e s t u s
manifestou	m ɐ n i f e s t ow
manila	m ɐ n i l ɐ
manilha	m ɐ n i ʎ ɐ
manilhar	m ɐ n i ʎ ɐ
maninha	m ɐ n i ɲ ɐ
maninhar	m ɐ n i ɲ ɐ
maninhas	m ɐ n i ɲ ɐ s
maninho	m ɐ n ĩ ɲ u
maninhos	m ɐ n i ɲ o s
maninhádego	m ɐ n i ɲ ɐ d e ɡ o
maninhádegos	m ɐ n i ɲ ɐ d e ɡ o s
manino	m ɐ n ĩ n u
manipanso	m ɐ n i p ɐ̃ s o
manipanço	m ɐ n i p ɐ̃ s o
manipula	m ɐ n i p u l ɐ
manipulada	m ɐ n i p u l ɐ d ɐ
manipuladas	m ɐ n i p u l ɐ d ɐ s
manipulado	m ɐ n i p u l ɐ d u
manipulador	m ɐ n i p u l ɐ d o ɹ
manipuladora	m ɐ n i p u l ɐ d o ɾ ɐ
manipuladores	m ɐ n i p u l ɐ d o ɾ i s
manipulados	m ɐ n i p u l ɐ d u s
manipulam	m ɐ n i p u l ɐ̃w̃
manipulando	m ɐ n i p u l ɐ̃ d u
manipular	m ɐ n i p u l ɐ ɹ
manipulativo	m ɐ n i p u l ɐ t i v o
manipulação	m ɐ n i p u l ɐ s ɐ̃w̃
manipulações	m ɐ n i p u l ɐ s õj̃ s
manipulou	m ɐ n i p u l ow
manipulável	m ɐ n i p u l ɐ v e w
manipur	m ɐ n i p u ɹ
maniqueísmo	m ɐ n i k e i z m u
maniqueísta	m ɐ n i k e i s t ɐ
manitu	m ɐ n i t u
manivela	m ɐ n i v ɛ l ɐ
maniçoba	m ɐ n i s o b ɐ
manja	m ɐ̃ ʒ ɐ
manjaco	m ɐ̃ ʒ ɐ k o
manjado	m ɐ̃ ʒ ɐ d o
manjados	m ɐ̃ ʒ ɐ d u s
manjar	m ɐ̃ ʒ ɐ ɹ
manjará	m ɐ̃ ʒ ɐ ɾ ɐ
manjedoira	m ɐ̃ ʒ e d o ɾ ɾ ɐ
manjedoura	m ɐ̃ ʒ e d o w ɾ ɐ
manjerico	m ɐ̃ ʒ e ɾ i k o
manjericão	m ɐ̃ ʒ e ɾ i k ɐ̃w̃
manjerona	m ɐ̃ ʒ e ɾ o n ɐ
manjo	m ɐ̃ ʒ o
manjuba	m ɐ̃ ʒ u b ɐ
manlio	m ɐ̃ l i u
mann	m ɐ̃ n
mannesmann	m ɐ̃ n e z m ɐ̃ n
mannheim	m ɐ̃ ɲ e ĩ
manning	m ɐ̃ n ĩ ɡ
manny	m ɐ̃ n i
mano	m ɐ̃ n u
manobra	m ɐ n o b ɾ ɐ
manobrando	m ɐ n o b ɾ ɐ̃ d u
manobrar	m ɐ n o b ɾ ɐ ɹ
manobras	m ɐ n o b ɾ ɐ s
manobrista	m ɐ n o b ɾ i s t ɐ
manobristas	m ɐ n o b ɾ i s t ɐ s
manoel	m ɐ n o ɛw
manoela	m ɐ n o ɛ l ɐ
manolas	m ɐ n o l ɐ s
manolo	m ɐ n o l u
manometria	m ɐ n o m e t ɾ i ɐ
manométrica	m ɐ n o m e t ɾ i k ɐ
manométricas	m ɐ n o m e t ɾ i k ɐ s
manométrico	m ɐ n o m e t ɾ i k o
manométricos	m ɐ n o m e t ɾ i k o s
manon	m ɐ n õ
manopla	m ɐ n o p l ɐ
manor	m ɐ n o ɹ
manpower	m ɐ̃ p ow e ɹ
mans	m ɐ̃ s
mansa	m ɐ̃ s ɐ
mansarda	m ɐ̃ s ɐ ɹ d ɐ
mansell	m ɐ̃ s ew w
mansfield	m ɐ̃ s f i ew d ʒ
mansidão	m ɐ̃ s i d ɐ̃ ɐ̃w̃
mansinho	m ɐ̃ s ĩ ɲ u
manso	m ɐ̃ s u
mansour	m ɐ̃ s ow ɹ
mansueto	m ɐ̃ s u e t u
mansuetude	m ɐ̃ s u e t u d e
mansur	m ɐ̃ s u ɹ
mansão	m ɐ̃ s ɐ̃w̃
mansões	m ɐ̃ s õj̃ s
manta	m ɐ̃ t ɐ
mantas	m ɐ̃ t ɐ s
mantega	m ɐ̃ t e ɡ ɐ
manteiga	m ɐ̃ t ej ɡ ɐ
manteigas	m ɐ̃ t e ɾ ɡ ɐ s
manteiguense	m ɐ̃ t e ɾ ɡ ẽ s e
mantem	m ɐ̃ t ẽj̃
mantemos	m ɐ̃ t ẽ m u s
mantendes	m ɐ̃ t ẽ d e s
mantendo	m ɐ̃ t ẽ d u
mantenedor	m ɐ̃ t e n e d o ɹ
mantenedora	m ɐ̃ t e n e d o ɾ ɐ
mantenedores	m ɐ̃ t e n e d o ɾ i s
mantenha	m ɐ̃ t ẽ ɲ ɐ
mantenham	m ɐ̃ t ẽ ɲ ɐ̃w̃
mantenho	m ɐ̃ t ẽ ɲ u
manter	m ɐ̃ t e ɹ
manterem	m ɐ̃ t e ɾ ẽj̃
manteria	m ɐ̃ t e ɾ i ɐ
manteriam	m ɐ̃ t e ɾ i ɐ̃w̃
manterá	m ɐ̃ t e ɾ ɐ
manterão	m ɐ̃ t e ɾ ɐ̃w̃
manteve	m ɐ̃ t e v i
mantida	m ɐ̃ t ʃ i d ɐ
mantidas	m ɐ̃ t ʃ i d ɐ s
mantido	m ɐ̃ t ʃ i d u
mantidos	m ɐ̃ t ʃ i d u s
mantimento	m ɐ̃ t ʃ ĩ m ẽ t u
mantimentos	m ɐ̃ t ʃ ĩ m ẽ t u s
mantinha	m ɐ̃ t ʃ ĩ ɲ ɐ
mantinham	m ɐ̃ t ʃ ĩ ɲ ɐ̃w̃
mantiqueira	m ɐ̃ t ʃ i k ej ɾ ɐ
mantissa	m ɐ̃ t i s ɐ
mantive	m ɐ̃ t ʃ i v i
mantivemos	m ɐ̃ t ʃ i v ẽ m u s
mantiver	m ɐ̃ t ʃ i v e ɹ
mantiveram	m ɐ̃ t ʃ i v e ɾ ɐ̃w̃
mantiverem	m ɐ̃ t ʃ i v e ɾ ẽj̃
mantivermos	m ɐ̃ t ʃ i v e ʁ m u s
mantivesse	m ɐ̃ t ʃ i v e s i
mantivessem	m ɐ̃ t ʃ i v e s ẽj̃
manto	m ɐ̃ t u
mantos	m ɐ̃ t u s
mantovani	m ɐ̃ t o v ɐ n i
mantra	m ɐ̃ t ɾ ɐ
mantém	m ɐ̃ t ẽj̃
manténs	m ɐ̃ t ẽ s s
mantê	m ɐ̃ t e
mantêm	m ɐ̃ t ẽj̃
mantícora	m ɐ̃ t i k o ɾ ɐ
mantídeo	m ɐ̃ t i d e o
mantô	m ɐ̃ t o
mantôs	m ɐ̃ t o s
manu	m ɐ n u
manuais	m ɐ n u ɐj s
manual	m ɐ n u ɐw
manualmente	m ɐ n u ɐw m ẽ t ʃ i
manucher	m ɐ n u ʃ e ɹ
manuel	m ɐ n u ɛw
manuela	m ɐ n u ɛ l ɐ
manuelino	m ɐ n u e l i n o
manufatura	m ɐ n u f ɐ t u ɾ ɐ
manufaturados	m ɐ n u f ɐ t u ɾ ɐ d u s
manufaturar	m ɐ n u f ɐ t u ɾ ɐ ɹ
manufaturas	m ɐ n u f ɐ t u ɾ ɐ s
manumissão	m ɐ n u m i s ɐ̃ ɐ̃w̃
manusca	m ɐ n u s k ɐ
manuscrita	m ɐ n u s k ɾ i t ɐ
manuscritas	m ɐ n u s k ɾ i t ɐ s
manuscrito	m ɐ n u s k ɾ i t u
manuscritos	m ɐ n u s k ɾ i t u s
manuseamento	m ɐ n u z e ɐ m ẽ t o
manusear	m ɐ n u z e ɐ ɹ
manuseio	m ɐ n u z ej u
manuseável	m ɐ n u z e ɐ v e w
manutenir	m ɐ n u t e n i
manutenção	m ɐ n u t ẽ s ɐ̃w̃
manx	m ɐ̃ k s
many	m ɐ̃ i
manzanera	m ɐ̃ z ɐ n e ɾ ɐ
manzini	m ɐ̃ z ĩ n i
manzorra	m ɐ̃ z o ʁ ɐ
maná	m ɐ n ɐ
manágua	m ɐ n ɐ ɡ w ɐ
mançanilha	m ɐ̃ s ɐ n i ʎ ɐ
mançanilheira	m ɐ̃ s ɐ n i ʎ e ɾ ɾ ɐ
mané	m ɐ n ɛ
manês	m ɐ n e ɾ s
maníaco	m ɐ n i ɐ k u
maníacos	m ɐ n i ɐ k u s
manômetro	m ɐ n o m e t ɾ o
mao	m ɐw
maometano	m ɐ o m e t ɐ n o
maomé	m ɐw m ɛ
maori	m ɐ o ɾ i
maoísmo	m ɐ o i z m u
maoísta	m ɐ o i s t ɐ
maoístas	m ɐ o i s t ɐ s
map	m ɐ p
mapa	m ɐ p ɐ
mapas	m ɐ p ɐ s
mapeada	m ɐ p e ɐ d ɐ
mapeamento	m ɐ p e ɐ m ẽ t u
mapear	m ɐ p e ɐ ɹ
mapeia	m ɐ p ej ɐ
mapeou	m ɐ p e ow
mapinguari	m ɐ p ĩ ɡ w ɐ ɾ i
maple	m ɐ p l i
mapoteca	m ɐ p o t e k ɐ
mappin	m ɐ p p ĩ
mapplethorpe	m ɐ p p l e t o ɹ p i
maps	m ɐ p s
maputo	m ɐ p u t o
mapuçá	m ɐ p u s ɐ
maqueta	m ɐ k e t ɐ
maquete	m ɐ k e t ʃ i
maquetes	m ɐ k e t ʃ i s
maqui	m ɐ k i
maquia	m ɐ k i ɐ
maquiada	m ɐ k j ɐ d ɐ
maquiadas	m ɐ k j ɐ d ɐ s
maquiado	m ɐ k j ɐ d u
maquiador	m ɐ k j ɐ d o ɹ
maquiadora	m ɐ k j ɐ d o ɾ ɐ
maquiadores	m ɐ k j ɐ d o ɾ i s
maquiagem	m ɐ k j ɐ ʒ ẽj̃
maquiagens	m ɐ k j ɐ ʒ ẽ s
maquiar	m ɐ k j ɐ ɹ
maquiavel	m ɐ k j ɐ v ɛw
maquiavelismo	m ɐ k j ɐ v e l i z m u
maquiavélica	m ɐ k j ɐ v ɛ l i k ɐ
maquiavélico	m ɐ k j ɐ v ɛ l i k u
maquilador	m ɐ k i l ɐ d o ɹ
maquiladora	m ɐ k i l ɐ d o ɾ ɐ
maquilagem	m ɐ k j l ɐ ʒ ẽj̃
maquilhagem	m ɐ k i ʎ ɐ ʒ ẽ s
maquilhar	m ɐ k i ʎ ɐ
maquinabilidade	m ɐ k i n ɐ b i l i d ɐ d e
maquinal	m ɐ k i n ɐ w
maquinalmente	m ɐ k i n ɐ w m ẽ t e
maquinar	m ɐ k i n ɐ
maquinaria	m ɐ k ĩ n ɐ ɾ i ɐ
maquinação	m ɐ k i n ɐ s ɐ̃ ɐ̃w̃
maquinações	m ɐ k ĩ n ɐ s õj̃ s
maquininha	m ɐ k ĩ n ĩ ɲ ɐ
maquininhas	m ɐ k ĩ n ĩ ɲ ɐ s
maquinismo	m ɐ k i n i z m o
maquinista	m ɐ k ĩ n i s t ɐ
maquinistas	m ɐ k i n i s t ɐ s
maquinário	m ɐ k ĩ n ɐ ɾ i u
maquinários	m ɐ k ĩ n ɐ ɾ i u s
maquis	m ɐ k i s
maquita	m ɐ k i t ɐ
mar	m ɐ ɹ
mara	m ɐ ɾ ɐ
marabu	m ɐ ɾ ɐ b u
marabunta	m ɐ ɾ ɐ b ũ t ɐ
marabuto	m ɐ ɾ ɐ b u t o
marabá	m ɐ ɾ ɐ b ɐ
maraca	m ɐ ɾ ɐ k ɐ
maracaibo	m ɐ ɾ ɐ k ɐj b u
maracanaço	m ɐ ɾ ɐ k ɐ n ɐ s o
maracangalha	m ɐ ɾ ɐ k ɐ̃ ɡ ɐ ʎ ɐ
maracaná	m ɐ ɾ ɐ k ɐ n ɐ
maracanã	m ɐ ɾ ɐ k ɐ n ɐ̃
maracanãzinho	m ɐ ɾ ɐ k ɐ n ɐ̃ z ĩ ɲ u
maracatim	m ɐ ɾ ɐ k ɐ t ĩ
maracatins	m ɐ ɾ ɐ k ɐ t ʃ ĩ s
maracatu	m ɐ ɾ ɐ k ɐ t u
maracatus	m ɐ ɾ ɐ k ɐ t uj s
marachão	m ɐ ɾ ɐ ʃ ɐ̃ ɐ̃w̃
maracotão	m ɐ ɾ ɐ k o t ɐ̃ ɐ̃w̃
maracujazeiro	m ɐ ɾ ɐ k u ʒ ɐ z e ɾ ɾ o
maracujá	m ɐ ɾ ɐ k u ʒ ɐ
maracutaia	m ɐ ɾ ɐ k u t ɐj ɐ
maracutaias	m ɐ ɾ ɐ k u t ɐj ɐ s
maracy	m ɐ ɾ ɐ k i
maracá	m ɐ ɾ ɐ k ɐ
maradei	m ɐ ɾ ɐ d ej
marado	m ɐ ɾ ɐ d o
maradona	m ɐ ɾ ɐ d õ n ɐ
marafa	m ɐ ɾ ɐ f ɐ
marafar	m ɐ ɾ ɐ f ɐ
marafona	m ɐ ɾ ɐ f o n ɐ
maragateada	m ɐ ɾ ɐ ɡ ɐ t e ɐ d ɐ
maragateadas	m ɐ ɾ ɐ ɡ ɐ t e ɐ d ɐ s
maragateado	m ɐ ɾ ɐ ɡ ɐ t e ɐ d o
maragateados	m ɐ ɾ ɐ ɡ ɐ t e ɐ d o s
maragateai	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ
maragateais	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ s
maragateamos	m ɐ ɾ ɐ ɡ ɐ t e ɐ m o s
maragateando	m ɐ ɾ ɐ ɡ ɐ t e ɐ̃ d o
maragatear	m ɐ ɾ ɐ ɡ ɐ t e ɐ
maragateara	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ ɐ
maragatearam	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ ɐ̃ ɐ̃w̃
maragatearas	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ ɐ s
maragateardes	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɹ d i s
maragatearei	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ e ɾ
maragateareis	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ e ɾ s
maragatearem	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ ẽ s
maragatearemos	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ e m o s
maragateares	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ e s
maragatearia	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ i ɐ
maragateariam	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ i ɐ̃ ɐ̃w̃
maragatearias	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ i ɐ s
maragatearmos	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɹ m u s
maragateará	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ ɐ
maragatearás	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ ɐ ɾ s
maragatearão	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ ɐ̃ ɐ̃w̃
maragatearíamos	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ i ɐ m o s
maragatearíeis	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ i e ɾ s
maragateasse	m ɐ ɾ ɐ ɡ ɐ t e ɐ s e
maragateassem	m ɐ ɾ ɐ ɡ ɐ t e ɐ s ẽ s
maragateasses	m ɐ ɾ ɐ ɡ ɐ t e ɐ s e s
maragateaste	m ɐ ɾ ɐ ɡ ɐ t e ɐ s t e
maragateastes	m ɐ ɾ ɐ ɡ ɐ t e ɐ s t e s
maragateava	m ɐ ɾ ɐ ɡ ɐ t e ɐ v ɐ
maragateavam	m ɐ ɾ ɐ ɡ ɐ t e ɐ v ɐ̃ ɐ̃w̃
maragateavas	m ɐ ɾ ɐ ɡ ɐ t e ɐ v ɐ s
maragateei	m ɐ ɾ ɐ ɡ ɐ t e e ɾ
maragateeis	m ɐ ɾ ɐ ɡ ɐ t e e ɾ s
maragateemos	m ɐ ɾ ɐ ɡ ɐ t e e m o s
maragateia	m ɐ ɾ ɐ ɡ ɐ t e ɾ ɐ
maragateiam	m ɐ ɾ ɐ ɡ ɐ t e ɾ ɐ̃ ɐ̃w̃
maragateias	m ɐ ɾ ɐ ɡ ɐ t e ɾ ɐ s
maragateie	m ɐ ɾ ɐ ɡ ɐ t e ɾ e
maragateiem	m ɐ ɾ ɐ ɡ ɐ t e ɾ ẽ s
maragateies	m ɐ ɾ ɐ ɡ ɐ t e ɾ e s
maragateio	m ɐ ɾ ɐ ɡ ɐ t e ɾ o
maragateou	m ɐ ɾ ɐ ɡ ɐ t e o
maragateáramos	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ ɐ m o s
maragateáreis	m ɐ ɾ ɐ ɡ ɐ t e ɐ ɾ e ɾ s
maragateásseis	m ɐ ɾ ɐ ɡ ɐ t e ɐ s e ɾ s
maragateássemos	m ɐ ɾ ɐ ɡ ɐ t e ɐ s e m o s
maragateávamos	m ɐ ɾ ɐ ɡ ɐ t e ɐ v ɐ m o s
maragateáveis	m ɐ ɾ ɐ ɡ ɐ t e ɐ v e ɾ s
maragato	m ɐ ɾ ɐ ɡ ɐ t o
maraini	m ɐ ɾ ɐ ĩ n i
marais	m ɐ ɾ ɐj s
marajoara	m ɐ ɾ ɐ ʒ o ɐ ɾ ɐ
marajá	m ɐ ɾ ɐ ʒ ɐ
marajás	m ɐ ɾ ɐ ʒ ɐ s
marajó	m ɐ ɾ ɐ ʒ ɔ
maralhal	m ɐ ɾ ɐ ʎ ɐ w
marambaia	m ɐ ɾ ɐ̃ b ɐ ɾ ɐ
maranduba	m ɐ ɾ ɐ̃ d u b ɐ
maranello	m ɐ ɾ ɐ n ɛw l u
maranha	m ɐ ɾ ɐ ɲ ɐ
maranhense	m ɐ ɾ ɐ ɲ ẽ s i
maranhenses	m ɐ ɾ ɐ ɲ ẽ s i s
maranhão	m ɐ ɾ ɐ ɲ ɐ̃w̃
marani	m ɐ ɾ ɐ n i
marar	m ɐ ɾ ɐ
marasmo	m ɐ ɾ ɐ z m u
marasquino	m ɐ ɾ ɐ s k i n o
marata	m ɐ ɾ ɐ t ɐ
marathon	m ɐ ɾ ɐ t õ
maratona	m ɐ ɾ ɐ t õ n ɐ
maratonar	m ɐ ɾ ɐ t o n ɐ
maratonas	m ɐ ɾ ɐ t õ n ɐ s
maratonista	m ɐ ɾ ɐ t o n i s t ɐ
maravalha	m ɐ ɾ ɐ v ɐ ʎ ɐ
maravalhas	m ɐ ɾ ɐ v ɐ ʎ ɐ s
maravilha	m ɐ ɾ ɐ v i ʎ ɐ
maravilhado	m ɐ ɾ ɐ v i ʎ ɐ d u
maravilhados	m ɐ ɾ ɐ v i ʎ ɐ d u s
maravilhar	m ɐ ɾ ɐ v i ʎ ɐ
maravilhas	m ɐ ɾ ɐ v i ʎ ɐ s
maravilhosa	m ɐ ɾ ɐ v i ʎ ɔ z ɐ
