muy	m u ʝ
hábleme	a b l e m e
iberica	i b e ɾ i k a
iia	i ʝ a
imac	i m a k
inai	i n ai
incaa	i n k a a
interiorizado	i n t e ɾ ʝ o ɾ i θ a d o
irl	i ɾ l
iruña	i ɾ u ɲ a
ismos	i s m o s
iturriaga	i t u r ʝ a g a
izarra	i θ a r a
izcalli	i θ k a ʎ i
jac	x a k
jakarta	x a k a ɾ t a
jesper	x e s p e ɾ
jodí	x o d i
joventut	x o b e n t u t
jover	x o b e ɾ
judah	x u d a
juna	x u n a
kepa	k e p a
kleenex	k l e e n e k s
kor	k o ɾ
kristian	k ɾ i s t ʝ a n
kundalini	k u n d a l i n i
kutcher	k u t͡ʃ e ɾ
kyoko	k ʝ o k o
labordeta	l a b o ɾ d e t a
langue	l a n g e
lass	l a s
lavagna	l a b a g n a
laz	l a θ
llibre	ʎ i b ɾ e
lom	l o m
lomito	l o m i t o
longer	l o n x e ɾ
longoria	l o n g o ɾ ʝ a
lucrarse	l u k ɾ a ɾ s e
luxe	l u k s e
madona	m a d o n a
maguncia	m a g u n θ ʝ a
malísimos	m a l i s i m o s
mandalas	m a n d a l a s
marquis	m a ɾ k i s
martyn	m a ɾ t i n
marí	m a ɾ i
mattel	m a t t e l
meetup	m e e t u p
milka	m i l k a
mixer	m i k s e ɾ
mixteco	m i k s t e k o
moana	m o a n a
mobi	m o b i
monitoreado	m o n i t o ɾ e a d o
montúfar	m o n t u f a ɾ
moviendose	m o b ʝ e n d o s e
movio	m o b ʝ o
moz	m o θ
msa	m s a
mtc	m t k
multidisciplinaria	m u l t i d i s θ i p l i n a ɾ ʝ a
multifacético	m u l t i f a θ e t i k o
mújica	m u x i k a
nailon	n ai l o n
namco	n a m k o
natu	n a t u
nerja	n e ɾ x a
nigger	n i g x e ɾ
noes	n o e s
noor	n o o ɾ
nouvelles	n ou b e ʎ e s
nuesto	n we s t o
oara	o a ɾ a
obsesivamente	o b s e s i b a m e n t e
ocr	o k ɾ
oirla	oi ɾ l a
olympus	o l i m p u s
opacado	o p a k a d o
opacar	o p a k a ɾ
oppa	o p p a
oreos	o ɾ e o s
pagán	p a g a n
paltas	p a l t a s
panita	p a n i t a
paracelso	p a ɾ a θ e l s o
parkway	p a ɾ k wa ʝ
passa	p a s a
pathfinder	p a t f i n d e ɾ
paton	p a t o n
pedanía	p e d a n i a
pegate	p e g a t e
pekin	p e k i n
pelle	p e ʎ e
pensaria	p e n s a ɾ ʝ a
pequeñitas	p e k e ɲ i t a s
pfa	p f a
pge	p x e
picapiedra	p i k a p ʝ e d ɾ a
pizzerías	p i θ θ e ɾ i a s
plants	p l a n t s
plasticos	p l a s t i k o s
populismos	p o p u l i s m o s
portuguese	p o ɾ t u g e s e
primark	p ɾ i m a ɾ k
primary	p ɾ i m a ɾ i
privilege	p ɾ i b i l e x e
pron	p ɾ o n
province	p ɾ o b i n θ e
pryor	p ɾ ʝ o ɾ
pértiga	p e ɾ t i g a
quadros	k wa d ɾ o s
quiñónez	k i ɲ o n e θ
qye	k ʝ e
rallyes	r a ʎ ʝ e s
rapidas	r a p i d a s
recamara	r e k a m a ɾ a
remarla	r e m a ɾ l a
repudiable	r e p u d ʝ a b l e
revo	r e b o
rez	r e θ
riñonera	r i ɲ o n e ɾ a
romanones	r o m a n o n e s
románticamente	r o m a n t i k a m e n t e
rubinstein	r u b i n s t ei n
saeed	s a e e d
saez	s a e θ
sais	s ai s
sampaio	s a m p a ʝ o
samy	s a m ʝ
savio	s a b ʝ o
scarface	s k a ɾ f a θ e
serrato	s e r a t o
servet	s e ɾ b e t
sete	s e t e
severiano	s e b e ɾ ʝ a n o
shangri	s a n g ɾ i
shops	s o p s
silverman	s i l b e ɾ m a n
sinai	s i n ai
soberanistas	s o b e ɾ a n i s t a s
stores	s t o ɾ e s
suburban	s u b u ɾ b a n
suramericanas	s u ɾ a m e ɾ i k a n a s
sx	e s k s
syed	s ʝ e d
tarifazos	t a ɾ i f a θ o s
tavera	t a b e ɾ a
taz	t a θ
tecnicatura	t e k n i k a t u ɾ a
tedh	t e d
teeth	t e e t
tencent	t e n θ e n t
tentativamente	t e n t a t i b a m e n t e
thackeray	t a k e ɾ a ʝ
thu	t u
totoro	t o t o ɾ o
transaccion	t ɾ a n s a k θ ʝ o n
trasparente	t ɾ a s p a ɾ e n t e
tribeca	t ɾ i b e k a
trim	t ɾ i m
tripadvisor	t ɾ i p a d b i s o ɾ
trophy	t ɾ o f i
uae	wa e
uaem	wa e m
unmsm	u m m s m
uvm	u b m
uzi	u θ i
valeri	b a l e ɾ i
vallenar	b a ʎ e n a ɾ
vallenilla	b a ʎ e n i ʎ a
valéry	b a l e ɾ i
vegan	b e g a n
vendi	b e n d i
verdade	b e ɾ d a d e
vert	b e ɾ t
villazón	b i ʎ a θ o n
villeneuve	b i ʎ e n eu b e
vitrales	b i t ɾ a l e s
vivencial	b i b e n θ ʝ a l
volt	b o l t
vortex	b o ɾ t e k s
wamba	wa m b a
weibo	wei b o
westfalia	we s t f a l ʝ a
whip	wi p
wikis	wi k i s
wrestlemania	wɾ e s t l e m a n ʝ a
yair	ʝ ai ɾ
yanki	ʝ a n k i
zapatitos	θ a p a t i t o s
zuazo	θ wa θ o
águeda	a g e d a
évora	e b o ɾ a
abasolo	a b a s o l o
abellán	a b e ʎ a n
acci	a k θ i
acl	a k l
acra	a k ɾ a
aeroflot	a e ɾ o f l o t
aerolineas	a e ɾ o l i n e a s
agradesco	a g ɾ a d e s k o
agricolas	a g ɾ i k o l a s
agripa	a g ɾ i p a
agron	a g ɾ o n
aileen	ai l e e n
akron	a k ɾ o n
allamand	a ʎ a m a n d
alteridad	a l t e ɾ i d a d
alzira	a l θ i ɾ a
amadís	a m a d i s
amarillismo	a m a ɾ i ʎ i s m o
amorebieta	a m o ɾ e b ʝ e t a
ampurias	a m p u ɾ ʝ a s
anfield	a m f ʝ e l d
angarita	a n g a ɾ i t a
annunzio	a n n u n θ ʝ o
anticoagulantes	a n t i k o a g u l a n t e s
arauz	a ɾ au θ
atico	a t i k o
atlacomulco	a t l a k o m u l k o
aub	au b
axelrod	a k s e l r o d
añito	a ɲ i t o
badillo	b a d i ʎ o
bahiense	b a ʝ e n s e
bana	b a n a
barbate	b a ɾ b a t e
bardot	b a ɾ d o t
bazooka	b a θ o o k a
berliner	b e ɾ l i n e ɾ
bernhard	b e ɾ n a ɾ d
bielorrusos	b ʝ e l o r u s o s
bint	b i n t
blackwood	b l a k wo d
bluray	b l u ɾ a ʝ
bod	b o d
bog	b o g
bojan	b o x a n
bolshoi	b o l s oi
bondage	b o n d a x e
boop	b o o p
bosón	b o s o n
boza	b o θ a
breeze	b ɾ e e θ e
bésala	b e s a l a
caitlyn	k ai t l i n
campomanes	k a m p o m a n e s
caraotas	k a ɾ a o t a s
cardamomo	k a ɾ d a m o m o
carli	k a ɾ l i
cartita	k a ɾ t i t a
catarí	k a t a ɾ i
caterpillar	k a t e ɾ p i ʎ a ɾ
cañitas	k a ɲ i t a s
cello	θ e ʎ o
certain	θ e ɾ t ai n
chapin	t͡ʃ a p i n
charlot	t͡ʃ a ɾ l o t
chil	t͡ʃ i l
chimaltenango	t͡ʃ i m a l t e n a n g o
chinandega	t͡ʃ i n a n d e g a
chupala	t͡ʃ u p a l a
ciutadans	θ ʝ u t a d a n s
cochinada	k o t͡ʃ i n a d a
coen	k o e n
colera	k o l e ɾ a
coliseum	k o l i s eu m
comeback	k o m e b a k
companies	k o m p a n ʝ e s
congestionamiento	k o n x e s t ʝ o n a m ʝ e n t o
congresso	k o n g ɾ e s o
constructivista	k o n s t ɾ u k t i b i s t a
consultá	k o n s u l t a
contraespionaje	k o n t ɾ a e s p ʝ o n a x e
copyleft	k o p i l e f t
costanza	k o s t a n θ a
criminalmente	k ɾ i m i n a l m e n t e
crit	k ɾ i t
cuidao	k wi d a o
curly	k u ɾ l i
cuídalo	k wi d a l o
cómprame	k o m p ɾ a m e
dayana	d a ʝ a n a
descárgate	d e s k a ɾ g a t e
desvio	d e s b ʝ o
dez	d e θ
dgi	d x i
digitel	d i x i t e l
dijó	d i x o
diners	d i n e ɾ s
diviertete	d i b ʝ e ɾ t e t e
domin	d o m i n
doping	d o p i n g
doral	d o ɾ a l
dorm	d o ɾ m
echeverria	e t͡ʃ e b e r ʝ a
edif	e d i f
ekaterina	e k a t e ɾ i n a
empezás	e m p e θ a s
empodera	e m p o d e ɾ a
empre	e m p ɾ e
erazo	e ɾ a θ o
erico	e ɾ i k o
escuchás	e s k u t͡ʃ a s
excursion	e k s k u ɾ s ʝ o n
exsenador	e k s s e n a d o ɾ
fazio	f a θ ʝ o
fef	f e f
fela	f e l a
fergie	f e ɾ x ʝ e
fergus	f e ɾ g u s
flojito	f l o x i t o
fons	f o n s
frigo	f ɾ i g o
funcionalismo	f u n θ ʝ o n a l i s m o
garche	g a ɾ t͡ʃ e
garmin	g a ɾ m i n
garret	g a r e t
garrigues	g a r i g e s
geist	x ei s t
genus	x e n u s
ghanés	g a n e s
gianluca	x ʝ a n l u k a
gines	x i n e s
gravilla	g ɾ a b i ʎ a
guey	g e ʝ
gujarat	g u x a ɾ a t
gut	g u t
hak	a k
halliday	a ʎ i d a ʝ
haruki	a ɾ u k i
hashem	a s e m
havel	a b e l
hein	ei n
helicopteros	e l i k o p t e ɾ o s
helix	e l i k s
hermitage	e ɾ m i t a x e
higienico	i x ʝ e n i k o
hilal	i l a l
hipermercado	i p e ɾ m e ɾ k a d o
histamina	i s t a m i n a
hj	x
hokage	o k a x e
hosts	o s t s
huanca	wa n k a
humacao	u m a k a o
hunting	u n t i n g
ict	i k t
ifigenia	i f i x e n ʝ a
igf	i g f
imaginás	i m a x i n a s
imaz	i m a θ
impensado	i m p e n s a d o
inaudible	i n au d i b l e
incursionó	i n k u ɾ s ʝ o n o
inia	i n ʝ a
inoue	i n o we
inquisitorial	i n k i s i t o ɾ ʝ a l
intercontinentales	i n t e ɾ k o n t i n e n t a l e s
itaú	i t au
ive	i b e
jaden	x a d e n
jaipur	x ai p u ɾ
jajaaj	x a x a a x
jbl	x b l
jojojo	x o x o x o
jumper	x u m p e ɾ
jános	x a n o s
keegan	k e e g a n
keyes	k e ʝ e s
killian	k i ʎ ʝ a n
kirguís	k i ɾ g i s
koke	k o k e
kundera	k u n d e ɾ a
kwang	k wa n g
lae	l a e
laferrere	l a f e r e ɾ e
laminación	l a m i n a θ ʝ o n
lanzagranadas	l a n θ a g ɾ a n a d a s
lari	l a ɾ i
lawyer	l au ʝ e ɾ
legazpi	l e g a θ p i
leif	l ei f
lesionarse	l e s ʝ o n a ɾ s e
leu	l eu
linealidad	l i n e a l i d a d
linton	l i n t o n
lipton	l i p t o n
loko	l o k o
longueira	l o n g ei ɾ a
lra	l ɾ a
macuspana	m a k u s p a n a
malagón	m a l a g o n
maquiladora	m a k i l a d o ɾ a
marchand	m a ɾ t͡ʃ a n d
margall	m a ɾ g a ʎ
masao	m a s a o
masturbacion	m a s t u ɾ b a θ ʝ o n
matata	m a t a t a
matriarca	m a t ɾ ʝ a ɾ k a
mdma	m d m a
mediapunta	m e d ʝ a p u n t a
melamina	m e l a m i n a
mellon	m e ʎ o n
metegol	m e t e g o l
mez	m e θ
mifflin	m i f f l i n
mireille	m i ɾ ei ʎ e
molt	m o l t
molto	m o l t o
momentito	m o m e n t i t o
morgado	m o ɾ g a d o
motilidad	m o t i l i d a d
muguruza	m u g u ɾ u θ a
myles	m i l e s
nadezhda	n a d e θ d a
nahua	n a wa
narita	n a ɾ i t a
navigator	n a b i g a t o ɾ
neg	n e g
negative	n e g a t i b e
neocolonialismo	n e o k o l o n ʝ a l i s m o
neurotransmisor	n eu ɾ o t ɾ a n s m i s o ɾ
niantic	n ʝ a n t i k
ningúna	n i n g u n a
nir	n i ɾ
nosferatu	n o s f e ɾ a t u
nuke	n u k e
nurse	n u ɾ s e
nyu	ɲ ʝ u
oceanic	o θ e a n i k
octanos	o k t a n o s
ocúpate	o k u p a t e
ogden	o g d e n
olían	o l i a n
oncológicos	o n k o l o x i k o s
orga	o ɾ g a
pacas	p a k a s
paquetito	p a k e t i t o
parquímetros	p a ɾ k i m e t ɾ o s
parrot	p a r o t
passe	p a s e
patchwork	p a t͡ʃ wo ɾ k
pequeñísimo	p e k e ɲ i s i m o
permitio	p e ɾ m i t ʝ o
peronchos	p e ɾ o ɲ t͡ʃ o s
pesitos	p e s i t o s
peñarroya	p e ɲ a r o ʝ a
phu	f u
pippa	p i p p a
piérdete	p ʝ e ɾ d e t e
platini	p l a t i n i
playita	p l a ʝ i t a
pocito	p o θ i t o
poltergeist	p o l t e ɾ x ei s t
pongase	p o n g a s e
poniendose	p o n ʝ e n d o s e
popol	p o p o l
potosino	p o t o s i n o
powder	p ow d e ɾ
prefrontal	p ɾ e f ɾ o n t a l
presen	p ɾ e s e n
princeps	p ɾ i n θ e p s
principles	p ɾ i n θ i p l e s
priora	p ɾ ʝ o ɾ a
procedimental	p ɾ o θ e d i m e n t a l
promoverse	p ɾ o m o b e ɾ s e
proyeccion	p ɾ o ʝ e k θ ʝ o n
prro	p r o
pua	p wa
puden	p u d e n
pueyo	p we ʝ o
quint	k i n t
quirón	k i ɾ o n
quiéreme	k ʝ e ɾ e m e
racialmente	r a θ ʝ a l m e n t e
rallye	r a ʎ ʝ e
rebosantes	r e b o s a n t e s
recent	r e θ e n t
recoje	r e k o x e
reforestar	r e f o ɾ e s t a ɾ
remus	r e m u s
restriccion	r e s t ɾ i k θ ʝ o n
rhea	r e a
rhonda	r o n d a
rocafort	r o k a f o ɾ t
rocker	r o k e ɾ
rodri	r o d ɾ i
rollers	r o ʎ e ɾ s
romulo	r o m u l o
rosalinda	r o s a l i n d a
rosh	r o s
ruggero	r u g x e ɾ o
ruskin	r u s k i n
rwanda	r wa n d a
saadi	s a a d i
sadomasoquismo	s a d o m a s o k i s m o
saitama	s ai t a m a
sambo	s a m b o
samuels	s a m we l s
sanchis	s a ɲ t͡ʃ i s
santamarina	s a n t a m a ɾ i n a
santoyo	s a n t o ʝ o
saná	s a n a
sanín	s a n i n
sapporo	s a p p o ɾ o
sarpado	s a ɾ p a d o
saturn	s a t u ɾ n
selassie	s e l a s ʝ e
senderista	s e n d e ɾ i s t a
sendic	s e n d i k
seoul	s e ou l
serdán	s e ɾ d a n
shinobi	s i n o b i
shirin	s i ɾ i n
smiths	e s m i t s
sobrecalentamiento	s o b ɾ e k a l e n t a m ʝ e n t o
softbol	s o f t b o l
soir	s oi ɾ
soldadito	s o l d a d i t o
sontag	s o n t a g
stendhal	s t e n d a l
stud	s t u d
suki	s u k i
sónico	s o n i k o
tagalo	t a g a l o
tah	t a
tecnólogos	t e k n o l o g o s
teletransportación	t e l e t ɾ a n s p o ɾ t a θ ʝ o n
temístocles	t e m i s t o k l e s
teobaldo	t e o b a l d o
terencio	t e ɾ e n θ ʝ o
toboganes	t o b o g a n e s
tokugawa	t o k u g a wa
tolentino	t o l e n t i n o
tolstoy	t o l s t o ʝ
travestismo	t ɾ a b e s t i s m o
trazabilidad	t ɾ a θ a b i l i d a d
trollear	t ɾ o ʎ e a ɾ
trotski	t ɾ o t s k i
trotskistas	t ɾ o t s k i s t a s
ultraman	u l t ɾ a m a n
unis	u n i s
urbino	u ɾ b i n o
uribismo	u ɾ i b i s m o
valiant	b a l ʝ a n t
vallisoletano	b a ʎ i s o l e t a n o
vasconia	b a s k o n ʝ a
venezia	b e n e θ ʝ a
vespasiano	b e s p a s ʝ a n o
violatorio	b ʝ o l a t o ɾ ʝ o
vlog	b l o g
voix	b oi k s
vértiz	b e ɾ t i θ
waltz	wa l t θ
wap	wa p
ware	wa ɾ e
watchtower	wa t͡ʃ t o we ɾ
whitechapel	wi t e t͡ʃ a p e l
willa	wi ʎ a
windsurf	wi n d s u ɾ f
windy	wi n d i
witherspoon	wi t e ɾ s p o o n
yah	ʝ a
yami	ʝ a m i
yuka	ʝ u k a
zaid	θ ai d
zalamea	θ a l a m e a
abp	a b p
acarigua	a k a ɾ i g wa
addams	a d d a m s
adecos	a d e k o s
agendado	a x e n d a d o
alcor	a l k o ɾ
alen	a l e n
ameo	a m e o
amit	a m i t
ananda	a n a n d a
ansiolíticos	a n s ʝ o l i t i k o s
anticongelante	a n t i k o n x e l a n t e
antitabaco	a n t i t a b a k o
antivacunas	a n t i b a k u n a s
antivirales	a n t i b i ɾ a l e s
antoinette	a n t oi n e t t e
appa	a p p a
arcadi	a ɾ k a d i
arcila	a ɾ θ i l a
ariadne	a ɾ ʝ a d n e
arial	a ɾ ʝ a l
arlene	a ɾ l e n e
asintomáticos	a s i n t o m a t i k o s
asturies	a s t u ɾ ʝ e s
aucas	au k a s
autonomos	au t o n o m o s
aviñón	a b i ɲ o n
azad	a θ a d
baigorria	b ai g o r ʝ a
bamboo	b a m b o o
bard	b a ɾ d
bataille	b a t ai ʎ e
bco	b k o
bench	b e ɲ t͡ʃ
berríos	b e r i o s
bessie	b e s ʝ e
bfa	b f a
bonne	b o n n e
bourdieu	b ou ɾ d ʝ eu
buero	b we ɾ o
byrd	b i ɾ d
byte	b i t e
cag	k a g
cagazo	k a g a θ o
campín	k a m p i n
candace	k a n d a θ e
candi	k a n d i
castlevania	k a s t l e b a n ʝ a
chaqueña	t͡ʃ a k e ɲ a
cheo	t͡ʃ e o
chocotorta	t͡ʃ o k o t o ɾ t a
choripanes	t͡ʃ o ɾ i p a n e s
choripán	t͡ʃ o ɾ i p a n
civile	θ i b i l e
clientelar	k l ʝ e n t e l a ɾ
clientelares	k l ʝ e n t e l a ɾ e s
climent	k l i m e n t
clitoris	k l i t o ɾ i s
coc	k o k
coclé	k o k l e
coj	k o x
colectivización	k o l e k t i b i θ a θ ʝ o n
colonel	k o l o n e l
coney	k o n e ʝ
conocé	k o n o θ e
consolidated	k o n s o l i d a t e d
contract	k o n t ɾ a k t
contro	k o n t ɾ o
cpm	k e p e m
crohn	k ɾ o n
croto	k ɾ o t o
culmen	k u l m e n
dandoles	d a n d o l e s
daw	d au
dawes	d a we s
dere	d e ɾ e
desarrollismo	d e s a r o ʎ i s m o
desarrollista	d e s a r o ʎ i s t a
desclasificados	d e s k l a s i f i k a d o s
desconsoladamente	d e s k o n s o l a d a m e n t e
desfibriladores	d e s f i b ɾ i l a d o ɾ e s
diaspora	d ʝ a s p o ɾ a
dirian	d i ɾ ʝ a n
disfrutable	d i s f ɾ u t a b l e
dito	d i t o
doa	d o a
domestic	d o m e s t i k
donatella	d o n a t e ʎ a
dondé	d o n d e
donosti	d o n o s t i
duki	d u k i
durruti	d u r u t i
echavarría	e t͡ʃ a b a r i a
eguren	e g u ɾ e n
elaboracion	e l a b o ɾ a θ ʝ o n
eleciones	e l e θ ʝ o n e s
eliminacion	e l i m i n a θ ʝ o n
eloisa	e l oi s a
elío	e l i o
embarazarse	e m b a ɾ a θ a ɾ s e
ento	e n t o
escrivá	e s k ɾ i b a
estalinistas	e s t a l i n i s t a s
eton	e t o n
evi	e b i
excellence	e k s θ e ʎ e n θ e
extracelular	e k s t ɾ a θ e l u l a ɾ
extrano	e k s t ɾ a n o
fabia	f a b ʝ a
families	f a m i l ʝ e s
federalización	f e d e ɾ a l i θ a θ ʝ o n
finder	f i n d e ɾ
flats	f l a t s
flavonoides	f l a b o n oi d e s
folch	f o l t͡ʃ
folha	f o l a
fraccion	f ɾ a k θ ʝ o n
fries	f ɾ ʝ e s
ftc	f t k
fulvio	f u l b ʝ o
gamecube	g a m e k u b e
ganacias	g a n a θ ʝ a s
gaula	g au l a
gauthier	g au t ʝ e ɾ
gordi	g o ɾ d i
grandi	g ɾ a n d i
granville	g ɾ a m b i ʎ e
grazie	g ɾ a θ ʝ e
greatest	g ɾ e a t e s t
grin	g ɾ i n
guar	g wa ɾ
guarderia	g wa ɾ d e ɾ ʝ a
habemus	a b e m u s
hablais	a b l ai s
hamada	a m a d a
harvest	a ɾ b e s t
hast	a s t
hayais	a ʝ ai s
healthy	e a l t i
heche	e t͡ʃ e
hereford	e ɾ e f o ɾ d
hidalguense	i d a l g e n s e
hideo	i d e o
hiriart	i ɾ ʝ a ɾ t
hispanoparlantes	i s p a n o p a ɾ l a n t e s
hollister	o ʎ i s t e ɾ
huala	wa l a
hutton	u t t o n
hutíes	u t i e s
ics	i k s
idiopática	i d ʝ o p a t i k a
iglú	i g l u
ime	i m e
inasistencia	i n a s i s t e n θ ʝ a
incheon	i ɲ t͡ʃ e o n
incognita	i n k o g n i t a
indigenous	i n d i x e n ou s
interdependientes	i n t e ɾ d e p e n d ʝ e n t e s
interdicto	i n t e ɾ d i k t o
interesantísima	i n t e ɾ e s a n t i s i m a
interstellar	i n t e ɾ s t e ʎ a ɾ
invasivas	i m b a s i b a s
ireneo	i ɾ e n e o
irlandes	i ɾ l a n d e s
ivanka	i b a n k a
ivar	i b a ɾ
iztacalco	i θ t a k a l k o
jed	x e d
jobim	x o b i m
judaismo	x u d ai s m o
jug	x u g
justi	x u s t i
kaki	k a k i
kansai	k a n s ai
kati	k a t i
kevlar	k e b l a ɾ
killed	k i ʎ e d
kiri	k i ɾ i
kof	k o f
kono	k o n o
kubo	k u b o
laird	l ai ɾ d
langlois	l a n g l oi s
lauri	l au ɾ i
lenz	l e n θ
leur	l eu ɾ
liborio	l i b o ɾ ʝ o
llach	ʎ a t͡ʃ
llegás	ʎ e g a s
llevalo	ʎ e b a l o
logistics	l o x i s t i k s
loh	l o
longa	l o n g a
loquitos	l o k i t o s
loureiro	l ou ɾ ei ɾ o
mainz	m ai n θ
maio	m a ʝ o
manal	m a n a l
manipulacion	m a n i p u l a θ ʝ o n
mateus	m a t eu s
mathis	m a t i s
mattos	m a t t o s
matus	m a t u s
mcallister	m k a ʎ i s t e ɾ
mda	m d a
menemismo	m e n e m i s m o
mesitas	m e s i t a s
methods	m e t o d s
migration	m i g ɾ a t ʝ o n
minister	m i n i s t e ɾ
mirna	m i ɾ n a
mobutu	m o b u t u
mohan	m o a n
mojitos	m o x i t o s
moray	m o ɾ a ʝ
muchachitos	m u t͡ʃ a t͡ʃ i t o s
multipropósito	m u l t i p ɾ o p o s i t o
muti	m u t i
márgen	m a ɾ x e n
nablus	n a b l u s
nagel	n a x e l
napier	n a p ʝ e ɾ
narcea	n a ɾ θ e a
narcoestado	n a ɾ k o e s t a d o
nessa	n e s a
ngo	n g o
nimes	n i m e s
nobis	n o b i s
nuclea	n u k l e a
oem	o e m
oia	o ʝ a
ontiveros	o n t i b e ɾ o s
orly	o ɾ l i
ossorio	o s o ɾ ʝ o
ote	o t e
otón	o t o n
outdoor	ou t d o o ɾ
pacificamente	p a θ i f i k a m e n t e
paganini	p a g a n i n i
paid	p ai d
palavecino	p a l a b e θ i n o
parrado	p a r a d o
parrillero	p a r i ʎ e ɾ o
pasapalabra	p a s a p a l a b ɾ a
perijá	p e ɾ i x a
persson	p e ɾ s o n
pesima	p e s i m a
pichot	p i t͡ʃ o t
piquer	p i k e ɾ
plastica	p l a s t i k a
poi	p oi
ponis	p o n i s
procesadoras	p ɾ o θ e s a d o ɾ a s
provo	p ɾ o b o
pruébala	p ɾ we b a l a
psicotrópicas	p s i k o t ɾ o p i k a s
publisher	p u b l i s e ɾ
quadra	k wa d ɾ a
quatre	k wa t ɾ e
queridísima	k e ɾ i d i s i m a
quesadilla	k e s a d i ʎ a
rajiv	r a x i b
randa	r a n d a
recargable	r e k a ɾ g a b l e
reel	r e e l
reeve	r e e b e
reinvertir	r ei m b e ɾ t i ɾ
resetear	r e s e t e a ɾ
respondia	r e s p o n d ʝ a
revivirlo	r e b i b i ɾ l o
roads	r o a d s
rode	r o d e
rojinegro	r o x i n e g ɾ o
rosalba	r o s a l b a
rumble	r u m b l e
salirle	s a l i ɾ l e
salterio	s a l t e ɾ ʝ o
saltitos	s a l t i t o s
sambil	s a m b i l
santibáñez	s a n t i b a ɲ e θ
sauvage	s au b a x e
saves	s a b e s
savino	s a b i n o
scotia	s k o t ʝ a
scrooge	s k ɾ o o x e
sebastien	s e b a s t ʝ e n
sefardíes	s e f a ɾ d i e s
selected	s e l e k t e d
semidesnuda	s e m i d e s n u d a
septima	s e p t i m a
servers	s e ɾ b e ɾ s
several	s e b e ɾ a l
sexis	s e k s i s
shevchenko	s e b t͡ʃ e n k o
shimano	s i m a n o
spartacus	s p a ɾ t a k u s
spell	s p e ʎ
spinner	s p i n n e ɾ
ssr	e s e s e ɾ
subcampeona	s u b k a m p e o n a
subcampeones	s u b k a m p e o n e s
subsector	s u b s e k t o ɾ
sulla	s u ʎ a
sulu	s u l u
sumale	s u m a l e
sunderland	s u n d e ɾ l a n d
sunita	s u n i t a
supermán	s u p e ɾ m a n
supremacista	s u p ɾ e m a θ i s t a
tabriz	t a b ɾ i θ
tambié	t a m b ʝ e
tatooine	t a t o oi n e
tdi	t d i
tematica	t e m a t i k a
templeton	t e m p l e t o n
tesina	t e s i n a
tini	t i n i
tipificados	t i p i f i k a d o s
tis	t i s
tlatlaya	t l a t l a ʝ a
tongue	t o n g e
tourist	t ou ɾ i s t
tractatus	t ɾ a k t a t u s
tranquis	t ɾ a n k i s
translator	t ɾ a n s l a t o ɾ
trencito	t ɾ e n θ i t o
triqui	t ɾ i k i
tros	t ɾ o s
tuesta	t we s t a
tulo	t u l o
tuluá	t u l wa
tutto	t u t t o
ume	u m e
univers	u n i b e ɾ s
utm	u t m
vene	b e n e
verbum	b e ɾ b u m
vibe	b i b e
vicariato	b i k a ɾ ʝ a t o
victoire	b i k t oi ɾ e
viktoria	b i k t o ɾ ʝ a
villages	b i ʎ a x e s
vilnius	b i l n ʝ u s
vivito	b i b i t o
vocalistas	b o k a l i s t a s
volgogrado	b o l g o g ɾ a d o
véanlo	b e a n l o
wagon	wa g o n
wasa	wa s a
waverly	wa b e ɾ l i
weller	we ʎ e ɾ
yel	ʝ e l
yip	ʝ i p
yno	i n o
yoma	ʝ o m a
yuyos	ʝ u ʝ o s
zabludovsky	θ a b l u d o b s k i
zaza	θ a θ a
zeke	θ e k e
zumpango	θ u m p a n g o
échenle	e t͡ʃ e n l e
ñoqui	ɲ o k i
aap	a a p
abdelaziz	a b d e l a θ i θ
abercrombie	a b e ɾ k ɾ o m b ʝ e
abram	a b ɾ a m
absolute	a b s o l u t e
achiote	a t͡ʃ ʝ o t e
adolorida	a d o l o ɾ i d a
ages	a x e s
agrupacion	a g ɾ u p a θ ʝ o n
aislación	ai s l a θ ʝ o n
alarcon	a l a ɾ k o n
albertina	a l b e ɾ t i n a
albion	a l b ʝ o n
aleixandre	a l ei k s a n d ɾ e
alfons	a l f o n s
almuñécar	a l m u ɲ e k a ɾ
alumni	a l u m n i
ambient	a m b ʝ e n t
ammán	a m m a n
anchorage	a ɲ t͡ʃ o ɾ a x e
anecdotas	a n e k d o t a s
anochece	a n o t͡ʃ e θ e
antero	a n t e ɾ o
appleton	a p p l e t o n
aprendé	a p ɾ e n d e
arguyendo	a ɾ g u ʝ e n d o
arlette	a ɾ l e t t e
arnal	a ɾ n a l
autoescuela	au t o e s k we l a
avalos	a b a l o s
ayesha	a ʝ e s a
aíslan	ai s l a n
backstreet	b a k s t ɾ e e t
baka	b a k a
balotelli	b a l o t e ʎ i
bandoneón	b a n d o n e o n
bannon	b a n n o n
barbies	b a ɾ b ʝ e s
baro	b a ɾ o
barracuda	b a r a k u d a
barth	b a ɾ t
benefit	b e n e f i t
berenguela	b e ɾ e n g e l a
bertín	b e ɾ t i n
besame	b e s a m e
bethlehem	b e t l e e m
bienaventurada	b ʝ e n a b e n t u ɾ a d a
biodegradable	b ʝ o d e g ɾ a d a b l e
boludean	b o l u d e a n
bondy	b o n d i
bosquejos	b o s k e x o s
bossio	b o s ʝ o
brainiac	b ɾ ai n ʝ a k
