حتى	ħ a t aː
سورابايا	s uː r aː b aː j aː
سوشي	s uː ʃ i j j
سيتعرض	s a j t a ʕ r a dˤ
سيختار	s iː x t aː r
سيدتى	s a j d a t aː
سيزول	s a j z uː l
شابيرو	ʃ aː b iː r uː
شاقا	ʃ aː q aː
شفشاون	ʃ a f ʃ aː w a n
شما	ʃ a m aː
شندي	ʃ a n d i j j
شوارب	ʃ a w aː r i b
صائما	sˤ aː ʔ i m aː
صحب	sˤ a ħ a b a
صلحا	sˤ a l a ħ aː
صهاريج	sˤ a h aː r iː d͡ʒ
ضعنا	dˤ a ʕ n aː
طرود	tˤ a r uː d
طواريء	tˤ a w aː r iː ʔ
طوع	tˤ a w ʕ
طويت	tˤ a w iː t
عملهن	ʕ a m l a h a n
عوازل	ʕ a w aː z i l
غائم	ɣ aː ʔ i m
غلطه	ɣ a l tˤ a h
غنوا	ɣ a n a w aː
فأنى	f a ʔ n aː
فارا	f aː r aː
فاعليه	f aː ʕ a l iː h
فجعله	f a d͡ʒ ʕ a l a h
فرانشيسكا	f a r aː n ʃ iː s k aː
فقيد	f a q iː d
فكلمة	f a k l a m a
فلات	f a l aː t
فلاد	f a l aː d
فولاذية	f uː l aː ð i j j a
فيكو	f iː k uː
قديش	q a d iː ʃ
قراها	q a r aː h aː
قريتين	q a r iː t iː n
قلن	q a l a n a
قولى	q a w l aː
كاربنتر	k aː r b a n t a r
كازانوفا	k aː z aː n uː f aː
كسروان	k a s r a w aː n
كشرط	k a ʃ r a tˤ
كفاءات	k a f aː ʔ aː t
كلان	k a l aː n
كليلة	k a l iː l a
كوبان	k uː b aː n
كيدي	k iː d i j j
لأعداد	l a ʔ a ʕ d aː d
لأنى	l a ʔ n aː
لااا	l aː aː
لاحت	l aː ħ i t
لاعبات	l aː ʕ i b aː t
لالتهاب	l aː l t i h aː b
لاهو	l aː h uː
لتصليح	l a t a sˤ l iː ħ
لتنبيه	l a t a n b iː h
لثماني	l i θ m aː n i j j
لحجاج	l a ħ d͡ʒ aː d͡ʒ
لشريك	l a ʃ r iː k
لطائف	l a tˤ aː ʔ i f
لعنهم	l a ʕ n a h a m
لعينة	l a ʕ iː n a
لفلان	l a f l aː n
لقدرتها	l a q d a r t e h aː
للأخذ	l a l ʔ a x a ð a
للاعتراض	l a l aː ʕ t i r aː dˤ
للانتقاد	l a l aː n t i q aː d
للتوصيل	l a l t uː sˤ iː l
للدكتورة	l a l d a k t uː r a
للعروس	l a l ʕ a r uː s
للعمر	l a l ʕ a m a r
للكربون	l a l k a r b uː n
للنبيذ	l a l a n b iː ð
لمدرب	l a m d a r a b
لمضايقات	l a m dˤ aː j a q aː t
لمنزلك	l a m a n z a l a k
لولد	l a w l a d
لونين	l uː n iː n
ليزي	l a j z i j j
ليطلق	l a j tˤ a l a q
ليقيم	l a j q iː m
ليندن	l a j n d a n
مامادو	m aː m aː d uː
متدينين	m u t a d iː n iː n
متوازية	m u t a w aː z i j j a
متوالية	m u t a w aː l i j j a
مجهولي	m a d͡ʒ h uː l i j j
محافظه	m u ħ aː f a ðˤ a h
محتوم	m a ħ t uː m
مدا	m a d aː
مرتضي	m a r t a dˤ i j j
مرضاهم	m a r dˤ aː h i m
مزهرية	m a z h a r i j j a
مسمومة	m a s m uː m a
مصروفات	m a sˤ r uː f aː t
معالمه	m u ʕ aː l a m a h
معصومة	m a ʕ sˤ uː m a
مكروهة	m a k r uː h a
مكسبا	m a k s a b a n
مكيدة	m a k iː d a
ملعونة	m a l ʕ uː n a
ملكتنا	m u l a k t a n aː
منتجه	m u n t a d͡ʒ a h
مواجه	m a w aː d͡ʒ i h
موريتانيون	m uː r iː t aː n j uː n
نائمه	n aː ʔ i m a h
ناسيا	n aː s i j aː
ندي	n a d i j j
نست	n a s t
نعتاد	n a ʕ t aː d
نفقده	n a f a q d a h
نقابي	n a q aː b i j j
نهبت	n a h a b t
نولي	n a w l i j j
هارموني	h aː r m uː n i j j
هبوطا	h a b uː tˤ aː
هيونغ	h a j uː n a ɣ
وأئمة	w a ʔ i m a
وأبدى	w a ʔ b a d aː
وأبيك	w a ʔ b iː k
وأصبحنا	w a ʔ sˤ a b a ħ n aː
وإنتهى	w a ʔ i n t a h aː
واجهنا	w aː d͡ʒ i h n aː
واستكمال	w aː s t i k m aː l
واعتقالات	w aː ʕ t i q aː l aː t
والأبنية	w aː l ʔ a b a n i j j a
والأزهار	w aː l ʔ a z h aː r
والإقليمي	w a l ʔ i q l iː m i j j
والاتفاقيات	w aː l aː t i f aː q i j j aː t
والجغرافية	w a l d͡ʒ i ɣ r aː f i j j a
والطيبة	w aː l tˤ iː b a
واليك	w aː l iː k
واندا	w aː n d aː
وبادر	w a b aː d i r
وبتاريخ	w a b t aː r iː x
وبحرا	w a b ħ a r aː
وتجارية	w a t d͡ʒ aː r i j j a
وترسيخ	w a t a r s iː x
وتصير	w a t sˤ iː r
وتعالج	w a t ʕ aː l a d͡ʒ
وتغليف	w a t ɣ a l iː f
وتقطيع	w a t a q tˤ iː ʕ
وتكلمت	w a t k a l a m t
وتنافس	w a t n aː f i s
وثانية	w a θ aː n i j j a
وجروح	w a d͡ʒ r uː ħ
وجهده	w a d͡ʒ h a d a h
وخادم	w a x aː d i m
وخليج	w a x l iː d͡ʒ
وخميس	w a x m iː s
ودامت	w a d aː m i t
ودل	w a d a l a
ودنيا	w a d a n j aː
ورخص	w a r x a sˤ a
ورقته	w a r q a t a h
وستصبح	w u s t a sˤ b a ħ
وسرت	w a s r a t
وصحي	w a sˤ ħ i j j
وطيور	w a tˤ j uː r
وعائشة	w a ʕ aː ʔ i ʃ a
وعربات	w a ʕ r a b aː t
وفتاوى	w a f t aː w aː
وفلفل	w a f l a f a l
وفورا	w a f uː r aː
ومحبي	w a m ħ a b i j j
ونصبح	w a n sˤ a b a ħ
وننتهي	w a n a n t a h i j j
ونورا	w a n uː r aː
ويحول	w a j ħ uː l
ويشربون	w iː ʃ a r b uː n
ويلكوكس	w iː l k uː k s
يبتغي	j a b t a ɣ i j j
يبغض	j a b ɣ a dˤ a
يتأرجح	j a t ʔ a r d͡ʒ a ħ
يتنحى	j a t a n ħ aː
يتوقون	j a t uː q uː n
يجعلونك	j a d͡ʒ ʕ a l uː n k
يحلون	j a ħ l uː n
يضحون	j a dˤ ħ uː n
يطمحون	j a tˤ m a ħ uː n
يعرفوه	j a ʕ r a f uː h
يعقبه	j a ʕ q a b a h
يغشى	j a ɣ ʃ aː
يغمى	j a ɣ m aː
يغنيها	j a ɣ n iː h aː
يقتربون	j a q t a r b uː n
يمحى	j a m ħ aː
ينقذه	j a n q a ð a h
يوريكا	j uː r iː k aː
bang	b a n ɡ
frame	f r a m e
hair	h a i r
ibm	i b m
im	i m
legend	l e ɡ e n d
marie	m a r i e
met	m e t
rich	r i t͡ʃ
sir	s i r
soft	s o f t
virus	v i r u s
wars	w a r s
window	w i n d o w
أثمر	ʔ a θ m a r a
أخذك	ʔ a x ð a k a
أخوين	ʔ a x w iː n
أدواره	ʔ a d w aː r i h
أسحب	ʔ a s ħ a b a
أشهى	ʔ a ʃ h aː
أعقل	ʔ a ʕ q a l a
أعلنه	ʔ a ʕ l a n h
أغمق	ʔ a ɣ m a q a
أقليات	ʔ a q l i j j aː t
أكوستا	ʔ a k uː s t aː
أهوال	ʔ a h w aː l
إجرائها	ʔ i d͡ʒ r aː ʔ i h aː
إستثنائية	ʔ i s t i θ n aː ʔ i j j a
إستنادا	ʔ i s t a n aː d aː
إنتقاد	ʔ i n t i q aː d
إنسى	ʔ i n s aː
إنفينيتي	ʔ i n f iː n iː t i j j
إيبار	ʔ iː b aː r
إيمانها	ʔ iː m aː n h aː
احتسب	i ħ t a s a b a
احتوائه	i ħ t i w aː ʔ i h
احتياجاتك	i ħ t i j aː d͡ʒ aː t i k
اختراقات	i x t i r aː q aː t
اختصاصها	i x t i sˤ aː sˤ h aː
اختيارا	i x t i j aː r aː
اراضيها	i r aː dˤ iː h aː
اسبوعي	i s b uː ʕ i j j
استاذه	i s t aː ð a h a
استراحات	i s t i r aː ħ aː t
استيعابها	i s t iː ʕ aː b h aː
اشغال	i ʃ ɣ aː l a
اطارات	i tˤ tˤ aː r aː t
اعفاء	i ʕ f aː ʔ
الأحقاد	a l ʔ a ħ q aː d
الأروقة	a l ʔ a r uː q a
الأصلى	a l ʔ a sˤ l aː
الإجتماعات	a l ʔ i d͡ʒ t i m aː ʕ aː t
الإجلاء	a l ʔ i d͡ʒ l aː ʔ
الإحتياجات	a l ʔ i ħ t i j aː d͡ʒ aː t
الإسلامى	a l ʔ i s l aː m aː
الإمتحانات	a l ʔ i m t i ħ aː n aː t
الاسعافات	a l i s ʕ aː f aː t
البابونج	a l b aː b uː n a d͡ʒ
البجلي	a l b a d͡ʒ a l i j j
البروتونات	a l b a r uː t uː n aː t
البروفة	a l b a r uː f a
البريه	a l b a r iː h
البسام	a l b i s aː m
البطحاء	a l b i tˤ ħ aː ʔ
البقوليات	a l b a q uː l i j j aː t
البلعوم	a l b a l ʕ uː m
البندورة	a l b a n d uː r a
البوكمال	a l b uː k m aː l
التحنيط	a t t a ħ n iː tˤ
التلاشي	a t t i l aː ʃ i j j
الثني	a θ θ a n i j j
الجدارة	a l d͡ʒ i d aː r a
الجزع	a l d͡ʒ a z a ʕ a
الجواهري	a l d͡ʒ a w aː h i r i j j
الحرباء	a l ħ i r b aː ʔ
الحقب	a l ħ a q a b a
الخانات	a l x aː n aː t
الدائنين	a d d aː ʔ i n iː n
الداعر	a d d aː ʕ i r
الدلع	a d d a l a ʕ a
الدينامية	a d d iː n aː m i j j a
الرشاقة	a r r i ʃ aː q a
الروليت	a r r uː l iː t
الزوراء	a z z uː r aː ʔ
السوربون	a s s uː r b uː n
السوفيتى	a s s uː f iː t aː
السيلان	a s s iː l aː n
الشهي	a ʃ ʃ a h i j j
الشوطين	a ʃ ʃ uː tˤ iː n
الصالونات	a sˤ sˤ aː l uː n aː t
الصناع	a sˤ sˤ a n aː ʕ
الصورتين	a sˤ sˤ uː r t iː n
الصورية	a sˤ sˤ uː r i j j a
الطريفي	a tˤ tˤ a r iː f i j j
الطريقتين	a tˤ tˤ a r iː q t iː n
العطرة	a l ʕ a tˤ r a
الغى	a l ɣ aː
الفوضي	a l f a w dˤ i j j
الفياجرا	a l f i j aː d͡ʒ r aː
القابع	a l q aː b i ʕ
القاصي	a l q aː sˤ i j j
القوت	a l q uː t
الكاسيت	a l k aː s iː t
اللاهوتية	a l l aː h uː t i j j a
اللهي	a lˤ lˤ aː h i j j
المئتين	a l m i ʔ t iː n
المتنافسون	a l m u t a n aː f s uː n
المحرجة	a l m a ħ r a d͡ʒ a
المحروسة	a l m a ħ r uː s a
المريخي	a l m a r iː x i j j
المزني	a l m a z a n i j j
المعده	a l m a ʕ d a h
المعسول	a l m a ʕ s uː l
المقفع	a l m a q f a ʕ
المهداوي	a l m a h d aː w i j j
النقانق	a n n i q aː n i q
الهاجس	a l h aː d͡ʒ i s
الولائم	a l w a l aː ʔ i m
الياقات	a l j aː q aː t
انهيارات	i n h i j aː r aː t
ايما	iː m aː
باتيل	b aː t iː l
بافل	b aː f i l
باكا	b aː k aː
بالبرامج	b i l b i r aː m i d͡ʒ
بالزيارة	b i z z i j aː r a
بالعذاب	b i l ʕ i ð aː b
بالعلامة	b i l ʕ i l aː m a
بامان	b aː m aː n
بانو	b aː n uː
بتقارير	b i t q aː r iː r
بجنود	b a d͡ʒ n uː d
بحروق	b a ħ r uː q
بدموع	b a d m uː ʕ
براينت	b a r aː j a n t
بطريقتهم	b a tˤ r iː q t a h a m
بطلاب	b a tˤ l aː b
بطولتي	b a tˤ uː l t i j j
بظلم	b a ðˤ l a m
بمتعة	b a m t a ʕ a
بولارد	b uː l aː r i d
بياناتي	b i j aː n aː t i j j
بيدفورد	b iː d f uː r d
تئن	t a ʔ i n n a
تبيح	t a b iː ħ
تتلى	t a t a l l aː
تجسيدا	t a d͡ʒ s iː d aː
تحملي	t a ħ m a l i j j
تخدش	t a x a d d a ʃ a
تخزينه	t a x z iː n a h
تخصصية	t a x sˤ a sˤ i j j a
تدخلك	t a d a x l a k a
تدريسها	t a d r iː s h aː
تدوس	t a d a w w a s a
تراكتور	t a r aː k t uː r
تردني	t a r d a n i j j
تسألين	t a s ʔ a l iː n
تستحقين	t a s t a ħ q iː n
تصبحين	t a sˤ b a ħ iː n
تطبيقي	t a tˤ b iː q i j j
تقضيه	t a q dˤ iː h
تقليده	t a q l iː d a h
تكرهين	t a k r a h iː n
تكونان	t a k uː n aː n
تكونو	t a k uː n uː
تلاشي	t a l aː ʃ i j j
تناثرت	t a n aː θ a r a t a
تناسبه	t a n aː s a b a h a
تنشق	t a n a ʃ ʃ a q a
تنغير	t a n ɣ iː r
جارته	d͡ʒ aː r t a h a
جدالا	d͡ʒ a d aː l a n
جدعون	d͡ʒ a d ʕ uː n
جميعه	d͡ʒ a m iː ʕ a h
جنتي	d͡ʒ a n t i j j
جنديان	d͡ʒ a n d i j aː n
جوادا	d͡ʒ a w aː d aː
جوين	d͡ʒ a w iː n
حسین	ħ a s iː n
حقب	ħ a q a b a
حقلا	ħ a q l a n
حمال	ħ a m aː l
حوطة	ħ a w tˤ a
حيين	ħ a j iː n
خراطيم	x a r aː tˤ iː m
خمن	x a m a n a
رأيناها	r a ʔ iː n aː h aː
رجس	r a d͡ʒ a s a
رحيمة	r a ħ iː m a
رحيمي	r a ħ iː m i j j
رساما	r a s aː m aː
رومانوف	r uː m aː n uː f
رياضى	r i j aː dˤ aː
زارة	z aː r a
زرعوا	z a r ʕ a w aː
ستلحق	s a t a l ħ a q a
سجنهم	s a d͡ʒ n a h a m
سردية	s a r d i j j a
سرورا	s a r uː r aː
سمارة	s a m aː r a
سوانا	s a w aː n aː
سودان	s a w d aː n
سوناتا	s uː n aː t aː
سيفقد	s a j f a q a d
شربها	ʃ a r b a h aː
شرهم	ʃ a r h a m
شقيقات	ʃ a q iː q aː t
شهوانية	ʃ a h w aː n i j j a
شيميل	ʃ a j m iː l
صاحبا	sˤ aː ħ i b aː
صفهم	sˤ a f h a m
صوتى	sˤ a w t aː
ضمد	dˤ a m a d a
طريقتان	tˤ a r iː q t aː n
طفلهم	tˤ a f l a h a m
طيفا	tˤ a j f a n
عارا	ʕ aː r aː
عبورها	ʕ a b uː r h aː
عجزنا	ʕ a d͡ʒ z a n aː
عربون	ʕ a r b uː n
عسكرة	ʕ a s k a r a
عظمته	ʕ a ðˤ m a t a h
علاش	ʕ a l aː ʃ
علك	ʕ a l a k a
عميدة	ʕ a m iː d a
عنت	ʕ a n t
غادرنا	ɣ aː d i r n aː
غرضها	ɣ a r dˤ a h aː
غريغور	ɣ a r iː ɣ uː r
غليظة	ɣ a l iː ðˤ a
غناه	ɣ a n aː h
غوثام	ɣ a w θ aː m
غوستافو	ɣ uː s t aː f uː
فذاك	f a ð aː k
فراره	f a r aː r a h
فمجرد	f a m d͡ʒ a r a d
فيديريكا	f iː d iː r iː k aː
فيكى	f iː k aː
قر	q a r r
قرونا	q a r uː n aː
قريشي	q a r iː ʃ i j j
كأمة	k a ʔ m a
كاتالينا	k aː t aː l iː n aː
كارليل	k aː r l iː l
كازا	k aː z aː
كاكاو	k aː k aː w
كالو	k aː l uː
كاليب	k aː l iː b
كايرو	k aː j r uː
كبائر	k a b aː ʔ i r
كردة	k a r d a
كرسام	k a r s aː m
كرستيانو	k a r i s t i j aː n uː
كفرد	k a f r a d
كوستاس	k uː s t aː s
كيبيك	k iː b iː k
لإتحاد	l i ʔ i t ħ aː d
لحلم	l a ħ l a m
لزوار	l a z w aː r
لسير	l a s iː r
لعلامة	l a ʕ l aː m a
لقلق	l a q l a q
لكائن	l a k aː ʔ i n
لكبير	l a k b iː r
لكنكم	l a k a n k a m
للاخ	l a l aː x
للحسين	l a l a ħ s iː n
للساحل	l i l s aː ħ i l
للسمع	l a l s a m a ʕ
للسمنة	l a l s a m a n a
للسن	l a l s a n
للضعف	l a l dˤ a ʕ a f
للفلاحين	l i l f i l aː ħ iː n
للكبد	l a l k a b a d
للمركبة	l a l m a r k a b a
لمبات	l a m b aː t
لمذهب	l a m ð a h a b
لمسته	l a m a s t a h
لملف	l a m l a f
ليسأل	l a j s a ʔ a l
ليعرض	l a j ʕ a r a dˤ
ماجة	m aː d͡ʒ a
مادتين	m aː d t iː n
مارفيل	m aː r f iː l
ماضيهم	m aː dˤ iː h i m
مايتعلق	m aː j t a ʕ l a q
متفرد	m u t a f a r r i d
متمرس	m u t a m a r r i s
متمنية	m u t a m a n i j j a
محزنة	m a ħ z a n a
محيت	m a ħ iː t
مخالفه	m u x aː l a f a h
مدمنة	m a d m a n a
مدهشا	m a d h a ʃ a n
مديحة	m a d iː ħ a
مراسلين	m a r aː s a l iː n
مرتبطان	m u r t i b tˤ aː n
مرتي	m a r t i j j
مردخاي	m a r d a x aː j
مرهقا	m a r h a q a n
مزري	m a z a r i j j
مشروطة	m a ʃ r uː tˤ a
مشير	m a ʃ iː r
مطالبتهم	m u tˤ aː l a b t a h a m
مطيعا	m a tˤ iː ʕ a n
مغذي	m a ɣ ð i j j
مكلارين	m a k l aː r iː n
ملثمين	m a l θ a m iː n
ممتنه	m u m t a n a h
منصبي	m a n sˤ a b i j j
موضه	m a w dˤ a h
موضي	m a w dˤ i j j
ميلادهم	m iː l aː d a h a m
نايتس	n aː j t i s
نصلح	n a sˤ l a ħ
نعجز	n a ʕ d͡ʒ a z a
نهال	n a h aː l
نورك	n a w r a k
هانج	h aː n a d͡ʒ a
هور	h a w r
هيفا	h a j f aː
هيمنت	h a j m a n t
واختارت	w aː x t aː r i t
واكيد	w aː k iː d
والأديب	w aː l ʔ a d iː b
والأهواء	w aː l ʔ a h w aː ʔ
والإكوادور	w a l ʔ i k w aː d uː r
والارتفاع	w aː l aː r t i f aː ʕ
واليابس	w aː l i j aː b i s
وتأييد	w a t ʔ a j iː d
وتراقب	w a t r aː q i b
وتسديد	w a t s a d iː d
وتضيق	w a t dˤ iː q
وتفرغ	w a t f a r a ɣ
وتقابل	w a t q aː b i l
وتوقيت	w a t uː q iː t
وتوني	w a t uː n i j j
وجرأة	w a d͡ʒ r a ʔ a
وجنون	w a d͡ʒ n uː n
وجوههن	w a d͡ʒ uː h a h a n
وحجمها	w a ħ d͡ʒ a m h aː
وحكمه	w a ħ k a m a h
وخداع	w a x d aː ʕ
وخطأ	w a x tˤ a ʔ a
ودائم	w a d aː ʔ i m
وداني	w a d aː n i j j
ودودين	w a d uː d iː n
ورقابة	w a r q aː b a
وزهير	w a z h iː r
وسخرية	w a s x a r i j j a
وسياساته	w a s j aː s aː t eː
وشاب	w a ʃ aː b
وشاشة	w a ʃ ʃ aː ʃ a
وعلمنا	w a ʕ l a m n aː
وغادروا	w a ɣ aː d a r a w aː
وقتال	w a q t aː l
وقليلة	w a q l iː l a
ومتميزة	w a m t a m iː z a
ومصاريف	w a m sˤ aː r iː f
ومطبخ	w a m tˤ a b a x
ومنحها	w a m a n ħ a h aː
ونبيل	w a n b iː l
ونجاة	w a n d͡ʒ aː h
ونعطي	w a n ʕ a tˤ i j j
وورق	w a w r a q
وويل	w a w iː l
ويدرك	w a j d a r a k
يؤتي	j u ʔ t i j j
يتخلف	j a t x a l l a f
يتكاثر	j a t k aː θ i r
يتكيف	j a t k iː f
يتلاعبون	j a t l aː ʕ a b uː n
يحك	j a ħ a k a
يرخص	j a r x a sˤ a
يردها	j a r d a h aː
يرض	j a r a dˤ a
يروجون	j a r uː d͡ʒ uː n
يستقلون	j a s t a q l uː n
يشركون	j a ʃ a r k uː n
يشعرنا	j a ʃ ʕ a r n aː
يشكلوا	j a ʃ k a l a w aː
يشوش	j a ʃ uː ʃ
يصحبه	j a sˤ ħ a b a h
يعطونا	j a ʕ tˤ uː n aː
يعينك	j a ʕ iː n a k
يف	j a f f
يفتقدك	j a f t a q d a k
يلتئم	j a l t a ʔ i m
يمارسان	j a m aː r s aː n
يمسها	j a m s a h aː
ينحاز	j a n ħ aː z
يهتدي	j a h t a d i j j
يهديه	j a h d iː h
يور	j a w r
ahmad	a h m a d
armenian	a r m e n i a n
ball	b a l l
bar	b a r
fine	f i n e
kim	k i m
min	m i n
ninja	n i n d͡ʒ a
pop	p o p
remote	r e m o t e
sep	s e p
status	s t a t u s
universal	u n i v e r s a l
أبعاده	ʔ a b ʕ aː d a h
أتجاوز	ʔ a t d͡ʒ aː w a z a
أحصاها	ʔ a ħ sˤ aː h aː
أداؤها	ʔ a d aː ʔ u h aː
أدخلنا	ʔ a d x a l n aː
أرباحك	ʔ a r b aː ħ i k
أرسلهم	ʔ a r s a l h a m
أرشيفية	ʔ a r ʃ iː f i j j a
أسمائه	ʔ a s m aː ʔ i h
أشده	ʔ a ʃ d a h a
أطفئ	ʔ a tˤ f i ʔ
أغانى	ʔ a ɣ aː n aː
أغتيل	ʔ a ɣ t iː l
أفسده	ʔ a f s a d a h
أقدار	ʔ a q d aː r
أقربائه	ʔ a q r a b aː ʔ i h
ألتفت	ʔ a l t a f t
أهداه	ʔ a h d aː h
إثيوبية	ʔ i θ j uː b i j j a
إسما	ʔ i s m aː
إضرام	ʔ i dˤ r aː m
إعطاءه	ʔ i ʕ tˤ aː ʔ a h
إنتباه	ʔ i n t i b aː h
إنطلق	ʔ i n tˤ a l a q
إيزيس	ʔ iː z iː s
ابرياء	i b r i j aː ʔ
اجبار	i d͡ʒ b aː r a
احجار	i ħ d͡ʒ aː r a
احذري	i ħ ð a r i j j
اختراعه	i x t i r aː ʕ a h
اختصارات	i x t i sˤ aː r aː t
ارضها	i r dˤ a h aː
ازهار	i z h aː r a
استخراجها	i s t i x r aː d͡ʒ h aː
استضافه	i s t a dˤ aː f a h a
استغلالا	i s t i ɣ l aː l aː
اضبط	i dˤ b a tˤ tˤ a
اعاقة	i ʕ aː q a
اعجبتك	i ʕ d͡ʒ a b t a k a
افكاري	i f k aː r i j j
الأجوف	a l ʔ a d͡ʒ uː f
الأغانى	a l ʔ a ɣ aː n aː
الأقساط	a l ʔ a q s aː tˤ
الإبتدائي	a l ʔ i b t i d aː ʔ i j j
الإنتخابي	a l ʔ i n t x aː b i j j
الإنتصارات	a l ʔ i n t i sˤ aː r aː t
الارضيه	a l aː r dˤ iː h
الاضاءة	a l aː dˤ aː ʔ a
الامارة	a l aː m aː r a
الامدادات	a l i m d aː d aː t
الانكار	a l aː n k aː r
البارزاني	a l b aː r z aː n i j j
البتروكيماويات	a l b i t r uː k iː m aː w i j j aː t
البردي	a l b a r d i j j
البوليستر	a l b uː l iː s t a r
البيرق	a l b iː r a q
التشارك	a t t i ʃ aː r i k
الجراء	a l d͡ʒ i r aː ʔ
الجزري	a l d͡ʒ a z a r i j j
الحافي	a l ħ aː f i j j
الحاملين	a l ħ aː m a l iː n
الحمدالله	a l ħ a m d aː lˤ lˤ aː
الخريج	a l x a r iː d͡ʒ
الخلطة	a l x a l tˤ a
الخنق	a l x a n a q a
الدفة	a d d a f a
الدهاء	a d d i h aː ʔ
الديكورات	a d d iː k uː r aː t
الراديكالي	a r r aː d iː k aː l i j j
الرجعي	a r r a d͡ʒ a ʕ i j j
الرستاق	a r r i s t aː q
الرشاشة	a r r i ʃ aː ʃ a
الرضي	a r r a dˤ i j j
الرقية	a r r a q i j j a
الريماوي	a r r iː m aː w i j j
الزفير	a z z a f iː r
الزهار	a z z i h aː r
الزيد	a z z iː d
السائرين	a s s aː ʔ i r iː n
السادية	a s s aː d i j j a
السنجاب	a s s i n d͡ʒ aː b
السياب	a s s i j aː b
الشاكرين	a ʃ ʃ aː k r iː n
الصائبة	a sˤ sˤ aː ʔ i b a
الضروريات	a dˤ dˤ a r uː r i j j aː t
الطيارون	a tˤ tˤ i j aː r uː n
العراقيات	a l ʕ i r aː q i j j aː t
العطري	a l ʕ a tˤ r i j j
العلميه	a l ʕ a l a m iː h
الغرامي	a l ɣ a r aː m i j j
الفاء	a l f aː ʔ
الفرنك	a l f a r a n k
القشدة	a l q a ʃ d a
القطعان	a l q i tˤ ʕ aː n
القنوت	a l q a n uː t
اللونية	a l l uː n i j j a
المبدعون	a l m a b d a ʕ uː n
المحجبة	a l m a ħ d͡ʒ a b a
المحض	a l m a ħ a dˤ a
المخالب	a l m u x aː l i b
المربوطة	a l m a r b uː tˤ a
المزح	a l m a z a ħ a
المزورين	a l m a z uː r iː n
المسلوق	a l m a s l uː q
المشجعة	a l m a ʃ d͡ʒ a ʕ a
المعلب	a l m a ʕ l a b
المقطورة	a l m a q tˤ uː r a
المنثور	a l m a n θ uː r
المنصورية	a l m a n sˤ uː r i j j a
المنظومات	a l m a n ðˤ uː m aː t
الموجودون	a l m uː d͡ʒ uː d uː n
الميركاتو	a l m iː r k aː t uː
النميري	a n n a m iː r i j j
الوجيز	a l w a d͡ʒ iː z
الورطة	a l w a r tˤ a
الورى	a l w a r aː
الويندوز	a l w iː n d uː z
امامكم	i m aː m k a m a
اناقة	i n aː q a
انشأ	i n ʃ a ʔ a
انطوان	i n tˤ i w aː n
بأمير	b a ʔ m iː r
بارزاني	b aː r z aː n i j j
باركنسون	b aː r k a n s uː n
باقتراب	b aː q t i r aː b
بالأرواح	b i l ʔ a r w aː ħ
بالافراج	b i l aː f r aː d͡ʒ
بالتنقيب	b i t t a n q iː b
بالحالات	b i l ħ aː l aː t
بالسيادة	b i s s i j aː d a
بالمشكلة	b i l m i ʃ k i l a
بالوادي	b i l w aː d i j j
بالود	b aː l uː d
بانا	b aː n aː
بايو	b aː j uː
ببسالة	b i b s aː l a
بجناح	b a d͡ʒ n aː ħ
بجيشه	b a d͡ʒ iː ʃ a h
بحذافيرها	b a ħ ð aː f iː r h aː
بخالص	b a x aː l i sˤ
برودكاست	b r uː d k aː s t
بكثره	b a k θ a r a h
بلانيت	b a l aː n iː t
بمدير	b a m d iː r
بهبوط	b a h b uː tˤ
بوعود	b uː ʕ uː d
بيانكا	b i j aː n k aː
تائها	t aː ʔ i h aː
تابو	t aː b uː
تارو	t aː r uː
تبلل	t a b a l l a l a
تتسلق	t a t a s l a q a
تتنبأ	t a t a n b a ʔ a
تحتاجون	t a ħ t aː d͡ʒ uː n
تحفه	t a ħ a f f a h a
تخذلك	t a x a ð l a k a
تخصه	t a x a sˤ sˤ a h a
تخونه	t a x a w n a h a
ترجل	t a r d͡ʒ a l a
تسليمهم	t a s l iː m a h a m
تشر	t a ʃ a r r a
تشقق	t a ʃ a q q a q a
تشيل	t a ʃ a j j a l a
تضاءل	t a dˤ aː ʔ a l a
تطوق	t a tˤ a w w a q a
تعانيه	t a ʕ aː n iː h
تعض	t a ʕ a dˤ dˤ a
تعليقي	t a ʕ l iː q i j j
تكبح	t a k a b b a ħ a
تمردت	t a m a r d a t a
تملكين	t a m a l k iː n
تنتظرها	t a n t a ðˤ r a h aː
توظيفهم	t a w ðˤ iː f a h a m
توليدو	t a w l iː d uː
ثمانيه	θ a m aː n iː h
جامي	d͡ʒ aː m i j j
جعلتم	d͡ʒ a ʕ l a t a m
جعلوها	d͡ʒ a ʕ l uː h aː
جيرار	d͡ʒ iː r aː r
حذائه	ħ a ð aː ʔ i h
حفاضات	ħ a f aː dˤ aː t
حلقته	ħ a l a q t a h
حمورابي	ħ a m uː r aː b i j j
حناني	ħ a n aː n i j j
خاضعين	x aː dˤ ʕ iː n
خدمتي	x a d a m t i j j
خطيا	x a tˤ j aː
خمسينيات	x a m s iː n i j j aː t
درعه	d a r ʕ a h a
رؤياك	r u ʔ j aː k
راجيا	r aː d͡ʒ i j aː
راضى	r aː dˤ aː
رميها	r a m iː h aː
روبينز	r uː b iː n z
روسكو	r uː s k uː
زوجتى	z a w d͡ʒ a t aː
ساتو	s aː t uː
سبين	s a b iː n
سخن	s a x a n a
