km	k a ɛ m
physiothérapeute	f i z j ɔ t e ʁ a p ø t
piatti	p j a t i
picabia	p i k a b j a
pimenté	p i m ɑ̃ t e
plébiscitent	p l e b i s i t
poet	p ɔ ɛ
pointa	p w ɛ̃ t a
polytechniciens	p ɔ l i t ɛ k n i s j ɛ̃
polythéistes	p ɔ l i t e i s t
pouffer	p u f e
preferent	p ʁ ə f ɛ ʁ
prices	p ʁ i s
primées	p ʁ i m e
prospectif	p ʁ ɔ s p ɛ k t i f
prostré	p ʁ ɔ s t ʁ e
pubiens	p y b j ɛ̃
pucelles	p y s ɛ l
pul	p y l
périhélie	p e ʁ i e l i
qasim	k a z ɛ̃
qwerty	k w ɛ ʁ t i
rabâche	ʁ a b a ʃ
radicalisent	ʁ a d i k a l i z
rakitic	ʁ a k i t i k
rania	ʁ a n j a
raréfie	ʁ a ʁ e f i
ratait	ʁ a t ɛ
ravitailleur	ʁ a v i t a j œ ʁ
recrutez	ʁ ə k ʁ y t e
recréant	ʁ ə k ʁ e ɑ̃
regionale	ʁ ə ʒ j ɔ n a l
reigns	ʁ ɛ ɲ
reverront	ʁ ə v ɛ ʁ ɔ̃
reynald	ʁ ɛ n a l d
ricaine	ʁ i k ɛ n
rochas	ʁ ɔ ʃ a
roitelet	ʁ w a t l ɛ
romao	ʁ ɔ m a o
rooster	ʁ u s t e
ror	ʁ ɔ ʁ
rosewood	ʁ o z w u d
rtx	ɛ ʁ t e k s
réaffirmation	ʁ e a f i ʁ m a s j ɔ̃
récupérateurs	ʁ e k y p e ʁ a t œ ʁ
réflexif	ʁ e f l ɛ k s i f
régularisations	ʁ e ɡ y l a ʁ i z a s j ɔ̃
régulatrice	ʁ e ɡ y l a t ʁ i s
réinterpréter	ʁ e ɛ̃ t ɛ ʁ p ʁ e t e
rémunératrice	ʁ e m y n e ʁ a t ʁ i s
résolve	ʁ e z ɔ l v
réédite	ʁ e e d i t
sacrificiel	s a k ʁ i f i s j ɛ l
sagrada	s a ɡ ʁ a d a
salina	s a l i n a
samuels	s a m ɥ ɛ l
sargon	s a ʁ ɡ ɔ̃
sauer	s o e
sauvegardée	s o v ɡ a ʁ d e
scania	s k a n j a
schulze	ʃ y l z
scientificité	s j ɑ̃ t i f i s i t e
selby	s ɛ l b i
selig	s ə l i ɡ
shao	ʃ a o
shaqiri	ʃ a k i ʁ i
shayne	ʃ ɛ n
siagne	s j a ɲ
sibérienne	s i b e ʁ j ɛ n
signalera	s i ɲ a l ə ʁ a
silicate	s i l i k a t
silvana	s i l v a n a
simcity	s ɛ̃ s i t i
sirote	s i ʁ ɔ t
siécle	s j e k l
smd	ɛ s ɛ m d e
soci	s ɔ s i
sookie	s u k i
sourir	s u ʁ i ʁ
sournoises	s u ʁ n w a z
spongieux	s p ɔ̃ ʒ j ø
stabilisant	s t a b i l i z ɑ̃
sten	s t ɛ n
stoney	s t ɔ n ɛ
stooges	s t u ʒ
strom	s t ʁ ɔ m
sundae	s œ̃ d e
supercar	s y p ɛ ʁ k a ʁ
superpuissances	s y p ɛ ʁ p ɥ i s ɑ̃ s
supervisés	s y p ɛ ʁ v i z e
synaptique	s i n a p t i k
sécateur	s e k a t œ ʁ
ségovie	s e ɡ ɔ v i
séralini	s e ʁ a l i n i
tarnac	t a ʁ n a k
tartelette	t a ʁ t ə l ɛ t
tempi	t ɑ̃ p i
templates	t ɑ̃ p l a t
territory	t ɛ ʁ i t ɔ ʁ i
testerai	t ɛ s t ə ʁ e
testiculaire	t ɛ s t i k y l ɛ ʁ
thaddeus	t a d ø
thaïe	t a j
thee	t i
thermomix	t ɛ ʁ m ɔ m i k s
tobi	t ɔ b i
tota	t ɔ t a
toufik	t u f i k
toupin	t u p ɛ̃
transcendé	t ʁ ɑ̃ s ɑ̃ d e
transformeront	t ʁ ɑ̃ s f ɔ ʁ m ə ʁ ɔ̃
trine	t ʁ i n
tripe	t ʁ i p
tripp	t ʁ i p
tuilerie	t ɥ i l ʁ i
télégraphiques	t e l e ɡ ʁ a f i k
unien	y n j ɛ̃
vaca	v a k a
vahid	v a i d
vascularisation	v a s k y l a ʁ i z a s j ɔ̃
vassalité	v a s a l i t e
verus	v ə ʁ y
viaud	v j o
vidocq	v i d ɔ k
vigilantes	v i ʒ i l ɑ̃ t
vinson	v ɛ̃ s ɔ̃
violerait	v j ɔ l ə ʁ ɛ
visionnant	v i z j ɔ n ɑ̃
vocables	v ɔ k a b l
voyagera	v w a j a ʒ ə ʁ a
wakanda	w a k ɑ̃ d a
whitby	w i t b i
willa	w i l a
wouter	w u t e
yah	j a
yaka	j a k a
yanga	j ɑ̃ ɡ a
yara	j a ʁ a
yg	i ɡ
zeke	z ɛ k
zita	z i t a
échouage	e ʃ w a ʒ
économisent	e k ɔ n ɔ m i z
électoralisme	e l ɛ k t ɔ ʁ a l i s m
électrolytique	e l ɛ k t ʁ ɔ l i t i k
énergétiquement	e n ɛ ʁ ʒ e t i k m ɑ̃
épire	e p i ʁ
éprouvettes	e p ʁ u v ɛ t
étrurie	e t ʁ y ʁ i
évincée	e v ɛ̃ s e
abjurer	a b ʒ y ʁ e
accouplent	a k u p l
acrimed	a k ʁ i m ɛ d
actors	a k t ɔ ʁ
adalbert	a d a l b ɛ ʁ
addictifs	a d i k t i f
adha	a d a
affidés	a f i d e
afflelou	a f l ə l u
ahly	a l i
ajustable	a ʒ y s t a b l
ajustez	a ʒ y s t e
aler	a l e
algonquins	a l ɡ ɔ̃ k ɛ̃
alluviales	a l y v j a l
aln	a l n
alopécie	a l ɔ p e s i
alphas	a l f a
amines	a m i n
amiot	a m j o
amoral	a m ɔ ʁ a l
améliora	a m e l j ɔ ʁ a
américanisme	a m e ʁ i k a n i s m
anatoly	a n a t ɔ l i
anesthésistes	a n ɛ s t e z i s t
antonetti	ɑ̃ t ɔ n ɛ t i
anversoise	ɑ̃ v ɛ ʁ s w a z
anxiolytique	ɑ̃ k s j ɔ l i t i k
applicatif	a p l i k a t i f
arabophones	a ʁ a b ɔ f ɔ n
arba	a ʁ b a
arjel	a ʁ ʒ ɛ l
asif	a z i f
aspa	a s p a
assermentation	a s ɛ ʁ m ɑ̃ t a s j ɔ̃
astucieusement	a s t y s j ø z m ɑ̃
athérosclérose	a t e ʁ ɔ s k l e ʁ o z
ation	a s j ɔ̃
atmos	a t m o
aussie	o s i
auster	o s t e
aza	a z a
aziza	a z i z a
bafouées	b a f w e
bangs	b ɑ̃
baratheon	b a ʁ a t ɔ̃
barley	b a ʁ l ɛ
bary	b a ʁ i
barzani	b a ʁ z a n i
belang	b ə l ɑ̃
beloeil	b ə l u j
belong	b ə l ɔ̃
beluga	b ə l y ɡ a
berenson	b ɛ ʁ ɑ̃ s ɔ̃
bigots	b i ɡ o
bind	b ɛ̃
binks	b ɛ̃ k
bluffe	b l y f
bomberman	b ɔ̃ b ɛ ʁ m ɑ̃
bourbaki	b u ʁ b a k i
bourdeau	b u ʁ d o
bovidés	b ɔ v i d e
braddock	b ʁ a d ɔ k
brandie	b ʁ ɑ̃ d i
braud	b ʁ o
brentano	b ʁ ɑ̃ t a n o
brigadiers	b ʁ i ɡ a d j e
brolin	b ʁ ɔ l ɛ̃
brossez	b ʁ ɔ s e
brunswickois	b ʁ œ̃ s w i k w a
bréal	b ʁ e a l
bullard	b y l a ʁ
bust	b y s t
bénabar	b e n a b a ʁ
calot	k a l o
camouflés	k a m u f l e
canins	k a n ɛ̃
carbonne	k a ʁ b ɔ n
castillans	k a s t i j ɑ̃
cathay	k a t ɛ
cathodiques	k a t ɔ d i k
catoire	k a t w a ʁ
ceinturé	s ɛ̃ t y ʁ e
cerutti	s ə ʁ y t i
chapron	ʃ a p ʁ ɔ̃
chauvins	ʃ o v ɛ̃
chipset	ʃ i p s ɛ
cistercien	s i s t ɛ ʁ s j ɛ̃
claquette	k l a k ɛ t
cligné	k l i ɲ e
cnuced	k n y s ɛ d
coiffeuses	k w a f ø z
coings	k w ɛ̃
collie	k ɔ l i
colombani	k ɔ l ɔ̃ b a n i
commercialisant	k ɔ m ɛ ʁ s j a l i z ɑ̃
compliquant	k ɔ̃ p l i k ɑ̃
conceptrice	k ɔ̃ s ɛ p t ʁ i s
conjoncturels	k ɔ̃ ʒ ɔ̃ k t y ʁ ɛ l
contactées	k ɔ̃ t a k t e
coordonnant	k ɔ ɔ ʁ d ɔ n ɑ̃
coulissant	k u l i s ɑ̃
coussinet	k u s i n ɛ
cpm	s e p e ɛ m
cristallisée	k ʁ i s t a l i z e
croulant	k ʁ u l ɑ̃
croyantes	k ʁ w a j ɑ̃ t
cypher	s i f e
câblés	k a b l e
céderait	s e d ə ʁ ɛ
daisuke	d ɛ z y k
darlington	d a ʁ l ɛ̃ t ɔ̃
dcc	d e s e s e
defaite	d ə f ɛ t
deirdre	d ɛ ʁ d ʁ
deluca	d ə l y k a
dest	d ɛ
deutscher	d ø t ʃ e
diakité	d j a k i t e
discriminé	d i s k ʁ i m i n e
distribuera	d i s t ʁ i b y ʁ a
dixmude	d i k s m y d
doin	d w ɛ̃
dopée	d ɔ p e
doubleurs	d u b l œ ʁ
drainent	d ʁ ɛ n
drives	d ʁ i v
droguent	d ʁ ɔ ɡ
décoincer	d e k w ɛ̃ s e
défriché	d e f ʁ i ʃ e
dégénératives	d e ʒ e n e ʁ a t i v
démaquillage	d e m a k i j a ʒ
démontent	d e m ɔ̃ t
dénigrant	d e n i ɡ ʁ ɑ̃
dénomme	d e n ɔ m
dépravée	d e p ʁ a v e
désinscrire	d e z ɛ̃ s k ʁ i ʁ
dévaluations	d e v a l ɥ a s j ɔ̃
eating	i t i ŋ
ecrase	ɛ k ʁ a z
efféminés	e f e m i n e
embellissent	ɑ̃ b e l i s
embrasure	ɑ̃ b ʁ a z y ʁ
empruntera	ɑ̃ p ʁ œ̃ t ə ʁ a
encausse	ɑ̃ k o s
encéphalique	ɑ̃ s e f a l i k
endeuillée	ɑ̃ d œ j e
enfuyant	ɑ̃ f ɥ i j ɑ̃
enjoliveurs	ɑ̃ ʒ ɔ l i v œ ʁ
enki	ɑ̃ k i
enracinées	ɑ̃ ʁ a s i n e
entrainerait	ɑ̃ t ʁ ɛ n ə ʁ ɛ
entrepreneure	ɑ̃ t ʁ ə p ʁ ə n œ ʁ
equipage	ɛ k i p a ʒ
ergothérapie	ɛ ʁ ɡ ɔ t e ʁ a p i
escurial	ɛ s k y ʁ j a l
esma	ɛ s m a
estaque	ɛ s t a k
etendue	ə t ɑ̃ d y
etui	ə t ɥ i
evora	ə v ɔ ʁ a
exigus	ɛ ɡ z i ɡ y
existentialiste	ɛ ɡ z i s t ɑ̃ s j a l i s t
expendables	ɛ k s p ɑ̃ d a b l
explosées	ɛ k s p l o z e
expéditeurs	ɛ k s p e d i t œ ʁ
exulte	ɛ ɡ z y l t
fahd	f a d
fails	f a j
fanbase	f ɑ̃ b a z
fanfaronner	f ɑ̃ f a ʁ ɔ n e
fattah	f a t a
faunes	f o n
fennecs	f ɛ n ɛ k
ferrante	f ɛ ʁ ɑ̃ t
feuillants	f œ j ɑ̃
fidelité	f i d l i t e
figo	f i ɡ o
flahaut	f l a o
florette	f l ɔ ʁ ɛ t
floris	f l ɔ ʁ i
fonces	f ɔ̃ s
fondera	f ɔ̃ d ə ʁ a
fongicide	f ɔ̃ ʒ i s i d
fpt	ɛ f p e t e
frameworks	f ʁ a m w ɔ ʁ k
fritsch	f ʁ i t ʃ
furia	f y ʁ j a
furry	f y ʁ i
félines	f e l i n
galina	ɡ a l i n a
galois	ɡ a l w a
gantz	ɡ ɑ̃ t s
gatt	ɡ a t
gavarnie	ɡ a v a ʁ n i
geass	ʒ a s
ghoulam	ɡ u l a m
gianluca	ʒ j ɑ̃ l y k a
giresse	ʒ i ʁ ɛ s
glanées	ɡ l a n e
gle	ɡ l ə
gos	ɡ o
grail	ɡ ʁ a j
griff	ɡ ʁ i f
groggy	ɡ ʁ ɔ ɡ i
grossophobie	ɡ ʁ ɔ s ɔ f ɔ b i
gtr	ʒ e t e ɛ ʁ
gâteries	ɡ a t ʁ i
géométries	ʒ e ɔ m e t ʁ i
géophysiques	ʒ e ɔ f i z i k
hales	a l
halliburton	a l i b y ʁ t ɔ̃
happenings	a p n i ŋ
harman	a ʁ m ɑ̃
hatcher	a t ʃ e
havres	a v ʁ
hecht	ɛ k t
henrion	ɑ̃ ʁ j ɔ̃
histologique	i s t ɔ l ɔ ʒ i k
hondurien	ɔ̃ d y ʁ j ɛ̃
honorera	ɔ n ɔ ʁ ə ʁ a
hoodie	u d i
horvath	ɔ ʁ v a t
hoss	ɔ s
hula	y l a
hydratée	i d ʁ a t e
hésitons	e z i t ɔ̃
hétérodoxe	e t e ʁ ɔ d ɔ k s
idéalise	i d e a l i z
ilana	i l a n a
ilo	i l o
inaugurera	i n o ɡ y ʁ ə ʁ a
indemnisées	ɛ̃ d ɛ m n i z e
individuation	ɛ̃ d i v i d ɥ a s j ɔ̃
infirmé	ɛ̃ f i ʁ m e
innes	i n
insanités	ɛ̃ s a n i t e
insistera	ɛ̃ s i s t ə ʁ a
interdépendants	ɛ̃ t ɛ ʁ d e p ɑ̃ d ɑ̃
interparlementaire	ɛ̃ t ɛ ʁ p a ʁ l ə m ɑ̃ t ɛ ʁ
interstellaires	ɛ̃ t ɛ ʁ s t e l ɛ ʁ
invétérés	ɛ̃ v e t e ʁ e
ironiser	i ʁ ɔ n i z e
isaak	i z a a k
iseut	i z ø
iver	i v e
iyad	i j a d
jahrbuch	ʒ a ʁ b y ʃ
jalabert	ʒ a l a b ɛ ʁ
jaws	ʒ a w
jazzman	ʒ a z m ɑ̃
jenni	ʒ ɛ n i
jeon	ʒ ɔ̃
jijel	ʒ i ʒ ɛ l
joelle	ʒ ɔ ɛ l
joi	ʒ w a
jolin	ʒ ɔ l ɛ̃
junko	ʒ œ̃ k o
kadir	k a d i ʁ
kante	k ɑ̃ t
khaldoun	k a l d u n
kicks	k i k
kirkouk	k i ʁ k u k
kocher	k ɔ ʃ e
kommandantur	k ɔ m ɑ̃ d ɑ̃ t y ʁ
labarthe	l a b a ʁ t
lacasse	l a k a s
landers	l ɑ̃ d e
landy	l ɑ̃ d i
langston	l ɑ̃ ɡ s t ɔ̃
leaves	l i v
lecce	l ɛ k s
leisure	l ɛ z y ʁ
lidar	l i d a ʁ
liddell	l i d ɛ l
limiteur	l i m i t œ ʁ
linnéenne	l i n e ɛ n
linotte	l i n ɔ t
lme	ɛ l m
lonesome	l ɔ n s ɔ m
légifère	l e ʒ i f ɛ ʁ
léonid	l e ɔ n i d
mab	m a b
madec	m a d ɛ k
maeve	m ɛ v
malabo	m a l a b o
malgres	m a l ɡ ʁ
malvy	m a l v i
manara	m a n a ʁ a
mancunien	m ɑ̃ k y n j ɛ̃
marciac	m a ʁ s j a k
mariel	m a ʁ j ɛ l
matant	m a t ɑ̃
matar	m a t a ʁ
matent	m a t
matilde	m a t i l d
maven	m a v ɛ n
meine	m ɛ n
mercantiles	m ɛ ʁ k ɑ̃ t i l
merçi	m ɛ ʁ s i
messina	m e s i n a
meunerie	m œ n ʁ i
microclimat	m i k ʁ ɔ k l i m a
millards	m i l a ʁ
mitraillé	m i t ʁ a j e
modéle	m ɔ d e l
mollard	m ɔ l a ʁ
montet	m ɔ̃ t ɛ
montrachet	m ɔ̃ t ʁ a ʃ ɛ
mopti	m ɔ p t i
mortain	m ɔ ʁ t ɛ̃
mpf	ɛ m p e ɛ f
mulholland	m y l ɔ l ɑ̃
multicanal	m y l t i k a n a l
multilatéralisme	m y l t i l a t e ʁ a l i s m
mycènes	m i s ɛ n
méo	m e o
nabeul	n a b œ l
nascimento	n a s i m ɑ̃ t o
nauseam	n o z a m
naya	n a j a
nement	n ə m ɑ̃
nimp	n ɛ̃ p
objecteurs	ɔ b ʒ ɛ k t œ ʁ
obvious	ɔ b v j u
odi	ɔ d i
olympisme	ɔ l ɛ̃ p i s m
omnes	ɔ m n
opuscules	ɔ p y s k y l
organistes	ɔ ʁ ɡ a n i s t
oripeaux	ɔ ʁ i p o
ormuz	ɔ ʁ m y z
osmotique	ɔ s m ɔ t i k
otrante	ɔ t ʁ ɑ̃ t
ouste	u s t
overdoses	ɔ v ɛ ʁ d o z
paillon	p a j ɔ̃
palpe	p a l p
paradoxales	p a ʁ a d ɔ k s a l
parques	p a ʁ k
pascual	p a s k ɥ a l
pauvert	p o v ɛ ʁ
pcm	p e s e ɛ m
pdr	p e d e ɛ ʁ
pell	p ɛ l
penta	p ɑ̃ t a
perfectionnisme	p ɛ ʁ f ɛ k s j ɔ n i s m
pernot	p ɛ ʁ n o
persuadées	p ɛ ʁ s ɥ a d e
petition	p ə t i s j ɔ̃
phrygie	f ʁ i ʒ i
phylogénétique	f i l ɔ ʒ e n e t i k
pierret	p j ɛ ʁ ɛ
pinnacle	p i n a k l
piquemal	p i k m a l
platre	p l a t ʁ
pleurnicheries	p l œ ʁ n i ʃ ʁ i
podolski	p ɔ d ɔ l s k i
pointaient	p w ɛ̃ t ɛ
poles	p ɔ l
ponctions	p ɔ̃ k s j ɔ̃
portet	p ɔ ʁ t ɛ
prabang	p ʁ a b ɑ̃
primal	p ʁ i m a l
primature	p ʁ i m a t y ʁ
prolapsus	p ʁ ɔ l a p s y
prolo	p ʁ ɔ l o
provide	p ʁ ɔ v i d
provigo	p ʁ ɔ v i ɡ o
prétendantes	p ʁ e t ɑ̃ d ɑ̃ t
purdue	p y ʁ d y
pyramid	p i ʁ a m i d
pélage	p e l a ʒ
péricarde	p e ʁ i k a ʁ d
quantifié	k ɑ̃ t i f j e
quinlan	k ɛ̃ l ɑ̃
quoy	k w a
rajiv	ʁ a ʒ i v
ramis	ʁ a m i
ramollit	ʁ a m ɔ l i
ramzi	ʁ a m z i
raon	ʁ a ɔ̃
rapin	ʁ a p ɛ̃
ratier	ʁ a t j e
reconquise	ʁ ə k ɔ̃ k i z
rectifiée	ʁ ɛ k t i f j e
remaniées	ʁ ə m a n j e
rencards	ʁ ɑ̃ k a ʁ
renflouement	ʁ ɑ̃ f l u m ɑ̃
repentez	ʁ ə p ɑ̃ t e
replique	ʁ ə p l i k
rivoire	ʁ i v w a ʁ
roa	ʁ o a
roannais	ʁ ɔ a n ɛ
robine	ʁ ɔ b i n
romanée	ʁ ɔ m a n e
rookies	ʁ u k i
rosamund	ʁ o z a m œ̃
rothko	ʁ ɔ t k o
réapparue	ʁ e a p a ʁ y
rée	ʁ e
régulées	ʁ e ɡ y l e
réitération	ʁ e i t e ʁ a s j ɔ̃
répandra	ʁ e p ɑ̃ d ʁ a
résolvez	ʁ e z ɔ l v e
rééditée	ʁ e e d i t e
réédités	ʁ e e d i t e
saku	s a k y
salaisons	s a l ɛ z ɔ̃
salamanca	s a l a m ɑ̃ k a
salou	s a l u
saloum	s a l u m
salter	s a l t e
sangaré	s ɑ̃ ɡ a ʁ e
santés	s ɑ̃ t e
satyres	s a t i ʁ
sautille	s o t i j
sayid	s ɛ j i d
schématiser	ʃ e m a t i z e
scientisme	s j ɑ̃ t i s m
scones	s k ɔ n
scrooge	s k ʁ u ʒ
scénarisation	s e n a ʁ i z a s j ɔ̃
scénic	s e n i k
seem	s i m
sempiternel	s ɑ̃ p i t ɛ ʁ n ɛ l
serbo	s ɛ ʁ b o
sexo	s ɛ k s o
shakespearien	ʃ e k s p i ʁ j ɛ̃
shania	ʃ a n j a
shemale	ʃ ə m a l
shinigami	ʃ i n i ɡ a m i
shériff	ʃ e ʁ i f
sigmar	s i ɡ m a ʁ
signaient	s i ɲ ɛ
simcoe	s ɛ̃ k o
simeoni	s i m ɔ n i
similar	s i m i l a ʁ
slm	ɛ s ɛ l ɛ m
sociologiquement	s ɔ s j ɔ l ɔ ʒ i k m ɑ̃
solliciteur	s ɔ l i s i t œ ʁ
soluté	s ɔ l y t e
somment	s ɔ m
soubeyran	s u b ɛ ʁ ɑ̃
sourcier	s u ʁ s j e
specs	s p ɛ k
spell	s p ɛ l
spinosa	s p i n o z a
spéléologues	s p e l e ɔ l ɔ ɡ
steaua	s t o a
stingray	s t ɛ̃ ɡ ʁ ɛ
stockages	s t ɔ k a ʒ
subdivisée	s y b d i v i z e
subsistera	s y b s i s t ə ʁ a
subséquent	s y b s e k
suge	s y ʒ
suggérez	s y ɡ ʒ e ʁ e
sujétion	s y ʒ e s j ɔ̃
supercalculateur	s y p ɛ ʁ k a l k y l a t œ ʁ
supportrice	s y p ɔ ʁ t ʁ i s
susmentionné	s y s m ɑ̃ s j ɔ n e
swartz	s w a ʁ t s
synapse	s i n a p s
systématisation	s i s t e m a t i z a s j ɔ̃
szabo	s z a b o
sée	s e
séléka	s e l e k a
sémantiquement	s e m ɑ̃ t i k m ɑ̃
tachées	t a ʃ e
tadashi	t a d a ʃ i
taki	t a k i
tali	t a l i
tats	t a
tawhid	t a w i d
taxonomie	t a k s ɔ n ɔ m i
teachers	t i ʃ e
tempete	t ɑ̃ p ə t
temporalités	t ɑ̃ p ɔ ʁ a l i t e
tessiture	t e s i t y ʁ
thunberg	t œ̃ b ɛ ʁ ɡ
tired	t i ʁ ɛ d
toda	t ɔ d a
tombantes	t ɔ̃ b ɑ̃ t
toulousaines	t u l u z ɛ n
trackmania	t ʁ a k m a n j a
transplanté	t ʁ ɑ̃ s p l ɑ̃ t e
trigano	t ʁ i ɡ a n o
triplet	t ʁ i p l ɛ
trisha	t ʁ i ʃ a
trouvère	t ʁ u v ɛ ʁ
tucci	t y k s i
tulip	t y l i p
tutorial	t y t ɔ ʁ j a l
twisted	t w i s t ɛ d
téléroman	t e l e ʁ ɔ m ɑ̃
unilingue	y n i l ɛ̃ ɡ
vande	v ɑ̃ d
varoufakis	v a ʁ u f a k i
verbier	v ɛ ʁ b j e
versatilité	v ɛ ʁ s a t i l i t e
vertue	v ɛ ʁ t y
vigneau	v i ɲ o
vigouroux	v i ɡ u ʁ u
vik	v i k
viktoria	v i k t ɔ ʁ j a
vincente	v ɛ̃ s ɑ̃ t
visionne	v i z j ɔ n
vivrière	v i v ʁ i j ɛ ʁ
votive	v ɔ t i v
vy	v i
waldemar	w a l d m a ʁ
waza	w a z a
wolsey	w ɔ l s ɛ
workout	w ɔ ʁ k u
yacouba	j a k u b a
ylang	i l ɑ̃
zoltan	z ɔ l t ɑ̃
économisés	e k ɔ n ɔ m i z e
électrifié	e l ɛ k t ʁ i f j e
électromagnétisme	e l ɛ k t ʁ ɔ m a ɲ e t i s m
épandre	e p ɑ̃ d ʁ
épidémiques	e p i d e m i k
épisodiques	e p i z ɔ d i k
abm	a b e ɛ m
acclamés	a k l a m e
accompagnes	a k ɔ̃ p a ɲ
accorderont	a k ɔ ʁ d ə ʁ ɔ̃
acheminent	a ʃ m i n
adapt	a d a p t
adjugeant	a d ʒ y ʒ ɑ̃
affleurent	a f l œ ʁ
agassi	a ɡ a s i
agissement	a ʒ i s m ɑ̃
agrocarburants	a ɡ ʁ ɔ k a ʁ b y ʁ ɑ̃
ahhhhh	a a ʃ
alam	a l a m
amada	a m a d a
amassent	a m a s
amibes	a m i b
amortit	a m ɔ ʁ t i
amélioreront	a m e l j ɔ ʁ ə ʁ ɔ̃
annot	a n o
ansari	ɑ̃ s a ʁ i
anspach	ɑ̃ s p a ʃ
antar	ɑ̃ t a ʁ
anthoine	ɑ̃ t w a n
antiviraux	ɑ̃ t i v i ʁ o
aquilée	a k i l e
arabella	a ʁ a b ɛ l a
arash	a ʁ a ʃ
ariens	a ʁ j ɛ̃
arrested	a ʁ ɛ s t ɛ d
arrêteras	a ʁ ɛ t ə ʁ a
assistais	a s i s t ɛ
atar	a t a ʁ
ataxie	a t a k s i
aubé	o b e
augsburg	o ɡ s b œ ʁ
avignonnais	a v i ɲ ɔ n ɛ
avoriaz	a v ɔ ʁ j a
backdoor	b a k d u ʁ
bails	b a j
baltringue	b a l t ʁ ɛ̃ ɡ
barka	b a ʁ k a
barthou	b a ʁ t u
basa	b a z a
bassora	b a s ɔ ʁ a
baudis	b o d i
belkin	b ɛ l k ɛ̃
berkane	b ɛ ʁ k a n
bertignac	b ɛ ʁ t i ɲ a k
beryl	b ɛ ʁ i l
bev	b ɛ v
bier	b j e
biomédicales	b j ɔ m e d i k a l
biotopes	b j ɔ t ɔ p
bipartisme	b i p a ʁ t i s m
bissextile	b i s ɛ k s t i l
bithynie	b i t i n i
blackface	b l a k f a s
borja	b ɔ ʁ ʒ a
bouchage	b u ʃ a ʒ
boucicaut	b u s i k o
bouffonnerie	b u f ɔ n ʁ i
boulazac	b u l a z a k
bouture	b u t y ʁ
branca	b ʁ ɑ̃ k a
braxton	b ʁ a k s t ɔ̃
britanno	b ʁ i t a n o
bronco	b ʁ ɔ̃ k o
budweiser	b y d w a j z e
bures	b y ʁ
byung	b j u ŋ
cacas	k a k a
cadreur	k a d ʁ œ ʁ
calamine	k a l a m i n
calédonienne	k a l e d ɔ n j ɛ n
canonnière	k a n ɔ n j ɛ ʁ
capitalise	k a p i t a l i z
casserait	k a s ə ʁ ɛ
cateau	k a t o
cdl	s e d e ɛ l
ceres	s ɛ ʁ
ceri	s ə ʁ i
cevipof	s ə v i p ɔ f
chahuté	ʃ a y t e
chantonne	ʃ ɑ̃ t ɔ n
charbonnières	ʃ a ʁ b ɔ n j ɛ ʁ
charcuter	ʃ a ʁ k y t e
chaumette	ʃ o m ɛ t
chevauchées	ʃ ə v o ʃ e
chon	ʃ ɔ̃
chuan	ʃ ɥ ɑ̃
ciblait	s i b l ɛ
civilisatrice	s i v i l i z a t ʁ i s
cleef	k l i f
cloîtrée	k l w a t ʁ e
codifiées	k ɔ d i f j e
coliseum	k ɔ l i z œ m
collera	k ɔ l ə ʁ a
colonisations	k ɔ l ɔ n i z a s j ɔ̃
colossus	k ɔ l ɔ s y
comfortable	k ɔ̃ f ɔ ʁ t a b l
comue	k ɔ m y
concentrationnaire	k ɔ̃ s ɑ̃ t ʁ a s j ɔ n ɛ ʁ
conceptualiser	k ɔ̃ s ɛ p t ɥ a l i z e
concomitamment	k ɔ̃ k ɔ m i t a m ɑ̃
concomitant	k ɔ̃ k ɔ m i t ɑ̃
confortant	k ɔ̃ f ɔ ʁ t ɑ̃
connivences	k ɔ n i v ɑ̃ s
continueras	k ɔ̃ t i n y ʁ a
contracts	k ɔ̃ t ʁ a k t
contrebalancé	k ɔ̃ t ʁ ə b a l ɑ̃ s e
convoitées	k ɔ̃ v w a t e
convoyage	k ɔ̃ v w a j a ʒ
coppet	k ɔ p ɛ
coproductions	k ɔ p ʁ ɔ d y k s j ɔ̃
corchia	k ɔ ʁ ʃ j a
cordiaux	k ɔ ʁ d j o
corrigan	k ɔ ʁ i ɡ ɑ̃
cosima	k o z i m a
cosson	k ɔ s ɔ̃
costs	k ɔ s t
coumba	k u m b a
couteuse	k u t ø z
criteo	k ʁ i t e o
croquante	k ʁ ɔ k ɑ̃ t
créerons	k ʁ e ʁ ɔ̃
customiser	k y s t ɔ m i z e
customisé	k y s t ɔ m i z e
cyberdéfense	s i b ɛ ʁ d e f ɑ̃ s
cypress	s i p ʁ ɛ s
céréalier	s e ʁ e a l j e
dari	d a ʁ i
darras	d a ʁ a
debattre	d ə b a t ʁ
decca	d ɛ k a
dechavanne	d ɛ ʃ a v a n
deepak	d i p a k
definitions	d ə f i n i s j ɔ̃
democratique	d ə m ɔ k ʁ a t i k
demonter	d ə m ɔ̃ t e
depense	d ə p ɑ̃ s
deplacement	d ə p l a s m ɑ̃
depose	d ə p o z
derche	d ɛ ʁ ʃ
desplechin	d ɛ s p l ɛ ʃ ɛ̃
determine	d ə t ɛ ʁ m i n
deuce	d ø s
deuxiéme	d ø z j e m
devancière	d ə v ɑ̃ s j ɛ ʁ
devo	d ə v o
digérés	d i ʒ e ʁ e
dildo	d i l d o
dioxine	d j ɔ k s i n
