اس	ə s
بنادے	b ə n ɑː d̪ eː
بیٹن	b eː ʈ ə n
تبصروں	t̪ ə b s ə ɾ õː
تضادات	t̪ ə z ɑː d̪ ɑː t̪
تعارفی	t̪ ɑː ɾ ɪ f iː
درباریوں	d̪ ə ɾ b ɑː ɾ ɪ j õː
رہائشگاہ	ɾ ə ɦ ɑː ɪ ʃ ɡ ɑː ɦ
رہاہوں	ɾ ə ɦ ɑː ɦ õː
سانگ	s ɑː ŋ ɡ
سفارشی	s ə f ɑː ɾ ɪ ʃ iː
سمر	s ə m ə ɾ
سوکھے	s oː kʰ eː
سٹڈی	s ə ʈ ɖ iː
ظل	z ə l
عتبہ	ə t̪ b ɑ
فنکارانہ	f ə ŋ k ɑː ɾ ɑː n ɑ
فکس	f ə k s
قتیل	q ə t̪ iː l
قرطاس	q ə ɾ t̪ ɑː s
لابن	l ɑː b ə n
ماؤ	m ɑː uː
مائنس	m ɑː ɪ n s
مادھو	m ɑː d̪ʱ oː
مالامال	m ɑː l ɑː m ɑː l
محصول	m ə ɦ s uː l
مغالطہ	m ʊ ɣ ɑː l ɪ t̪ ɑ
ملائے	m ə l ɑː eː
منقولہ	m ə n q uː l ɑ
وہا	ʋ ə ɦ ɑː
پارسا	p ɑː ɾ s ɑː
پلٹنے	p ə l ə ʈ n eː
پڑھوں	p ə ɽʱ õː
پھرا	pʰ ə ɾ ɑː
پیالے	p j ɑː l eː
پیرائے	p ɛː ɾ ɑː eː
چڑھتا	t͡ʃ ə ɽʱ t̪ ɑː
ڈالوں	ɖ ɑː l õː
ڈھالنے	ɖʱ ɑː l n eː
ڈیپ	ɖ eː p
کاسترو	k ɑː s t̪ ə ɾ oː
کاٹیں	k ɑː ʈ ẽː
کرلئے	k ə ɾ l ə j eː
کلاسز	k ə l ɑː s ɪ z
کلکٹر	k ə l k ə ʈ ə ɾ
کلیجہ	k ə l iː d͡ʒ ɑ
کولم	k oː l ə m
کیتھرین	k ɛː t̪ʰ ɾ iː n
گالم	ɡ ɑː l ɪ m
گوش	ɡ oː ʃ
گھسے	ɡʱ ə s eː
ہاف	ɦ ɑː f
ہتھ	ɦ ə t̪ʰ
ہلالی	ɦ ə l ɑː l iː
ہنگاموں	ɦ ə ŋ ɡ ɑː m õː
ہوت	ɦ uː t̪
ہوچکاہے	ɦ oː t͡ʃ k ɑː ɦ eː
یکسوئی	j ə k s uː iː
true	t̪ ɾ uː
ابوذر	ə b uː z ə ɾ
استثنا	ɪ s t̪ ɪ s n ɑː
اسٹرائیک	ɪ s ʈ ɾ ɑː iː k
البدل	ə l b ə d̪ ə l
الجھنوں	ə l d͡ʒʱ ə n õː
الحسینی	ə l ɦ ə s iː n iː
اموال	ə m ʋ ɑː l
انبیائے	ə m b ɪ j ɑː eː
بخدا	b ə x d̪ ɑː
بلوا	b ə l ʋ ɑː
بہانوں	b ə ɦ ɑː n õː
بیروزگار	b ɛː ɾ oː z ɡ ɑː ɾ
تواریخ	t̪ ə ʋ ɑː ɾ iː x
جاہلوں	d͡ʒ ɑː ɦ ɪ l õː
جریدہ	d͡ʒ ə ɾ iː d̪ ɑ
جھجک	d͡ʒʱ ə d͡ʒ ə k
خلدون	x ə l d̪ uː n
دائروں	d̪ ɑː ɪ ɾ õː
داغے	d̪ ɑː ɣ eː
راما	ɾ ɑː m ɑː
راکھی	ɾ ɑː kʰ iː
روائی	ɾ ə ʋ ɑː iː
رون	ɾ uː n
زادی	z ɑː d̪ iː
زنک	z ə ŋ k
سلسلوں	s ə l s ə l õː
سوراج	s uː ɾ ɑː d͡ʒ
شکایتیں	ʃ ɪ k ɑː j ə t̪ ẽː
صدقات	s ə d̪ q ɑː t̪
طغیانی	t̪ ə ɣ j ɑː n iː
طلبگار	t̪ ə l ə b ɡ ɑː ɾ
علي	ə l iː
عیاش	ɪ j ɑː ʃ
فارمولے	f ɑː ɾ m uː l eː
قبور	q ə b uː ɾ
لاحاصل	l ɑː ɦ ɑː s ɪ l
لاڈلے	l ɑː ɖ l eː
مالکوں	m ɑː l ɪ k õː
مظبوط	m ə z b uː t̪
مقبرے	m ə q b ə ɾ eː
ناگہانی	n ɑː ɡ ɦ ɑː n iː
نزاع	n ə z ɑː
نمائی	n ə m ɑː iː
نیپالی	n iː p ɑː l iː
وارثی	ʋ ɑː ɾ ɪ s iː
وغارت	ʋ ə ɣ ɑː ɾ ə t̪
ٹرپل	ʈ ə ɾ p ə l
پاپولر	p ɑː p uː l ə ɾ
پنچ	p ə n t͡ʃ
پٹیاں	p ə ʈ ɪ j ɑ̃ː
پپو	p ə p oː
پکڑیں	p ə k ɽ ẽː
پہچانتا	p ə ɦ t͡ʃ ɑː n t̪ ɑː
چارٹرڈ	t͡ʃ ɑː ɾ ʈ ə ɾ ɖ
چنوں	t͡ʃ ə n õː
کردگی	k ə ɾ d̪ ə ɡ iː
کرےگا	k ə ɾ eː ɡ ɑː
کف	k ə f
کلمے	k ə l m eː
کمپیوٹرز	k ə m p j oː ʈ ə ɾ z
کوختم	k oː x t̪ ə m
کڑھائی	k ə ɽʱ ɑː iː
کھڑکیوں	kʰ ə ɽ k ɪ j õː
کہرام	k ə ɦ ɾ ɑː m
گزٹ	ɡ ʊ z ə ʈ
گوئٹے	ɡ oː ɪ ʈ eː
یش	j ə ʃ
آرچ	ɑː ɾ t͡ʃ
اداء	ɪ d̪ ɑː
استادوں	ɪ s t̪ ɑː d̪ õː
استمال	ɪ s t̪ ɪ m ɑː l
الامام	ɪ l ɑː m ɑː m
الرجی	ə l ɾ ə d͡ʒ iː
الرزاق	ɪ l ɾ ɪ z ɑː q
الکبیر	ə l k ə b iː ɾ
الہدی	ə l ɦ ə d̪ iː
اندھیر	ə n d̪ʱ iː ɾ
ایرک	iː ɾ ə k
باباجی	b ɑː b ɑː d͡ʒ iː
باجماعت	b ɑː d͡ʒ m ɑː ə t̪
باش	b ɑː ʃ
برادرم	b ə ɾ ɑː d̪ ə ɾ ə m
برجستہ	b ə ɾ d͡ʒ ɪ s t̪ ɑ
بندھ	b ə n d̪ʱ
بیچارہ	b eː t͡ʃ ɑː ɾ ɑ
تیراکی	t̪ ɛː ɾ ɑː k iː
جامعیت	d͡ʒ ɑː m ɪ j ə t̪
جھلی	d͡ʒʱ ə l iː
جیتیں	d͡ʒ ɛː t̪ ẽː
حدیثوں	ɦ ə d̪ iː s õː
خزیمہ	x ə z iː m ɑ
رافع	ɾ ɑː f eː
رانوں	ɾ ɑː n õː
رانچی	ɾ ɑ̃ː t͡ʃ iː
سرزنش	s ə ɾ z ə n ʃ
سماء	s ə m ɑː
سماوی	s ə m ɑː ʋ iː
سنوار	s ə n ʋ ɑː ɾ
سونم	s uː n ə m
طوطا	t̪ uː t̪ ɑː
طیار	t̪ ə j j ɑː ɾ
عنبر	ə m b ə ɾ
غلبے	ɣ ə l b eː
فئیر	f ə iː ɾ
فائبر	f ɑː ɪ b ə ɾ
قطاروں	q ə t̪ ɑː ɾ õː
لئی	l ə iː
لشکروں	l ə ʃ k ə ɾ õː
لگو	l ə ɡ oː
مالیگاؤں	m ɑː l iː ɡ ɑː õː
ماورا	m ɑː ʋ ɾ ɑː
ماہوار	m ɑː ɦ ʋ ɑː ɾ
مرغوب	m ə ɾ ɣ uː b
مشیل	m ə ʃ iː l
مغلوں	m ə ɣ l õː
مچاتے	m ə t͡ʃ ɑː t̪ eː
نئیں	n ə ẽː
ناتواں	n ɑː t̪ ʋ ɑ̃ː
نارنگ	n ɑː ɾ ə ŋ ɡ
نزلہ	n ə z l ɑ
وحدیث	ʋ ə ɦ d̪ iː s
ولسن	ʋ ə l s ə n
پئے	p ə eː
پارکر	p ɑː ɾ k ə ɾ
پسماندگان	p ə s m ɑː n d̪ ə ɡ ɑː n
پنوں	p ə n õː
پوچھتی	p oː t͡ʃʰ ə t̪ iː
پٹیالہ	p ə ʈ j ɑː l ɑ
چانس	t͡ʃ ɑ̃ː s
چوراہوں	t͡ʃ uː ɾ ɑː ɦ õː
چوکھٹ	t͡ʃ oː kʰ ə ʈ
کاشمیری	k ɑː ʃ m iː ɾ iː
کرپائے	k ə ɾ p ɑː eː
کند	k ə n d̪
گاڈ	ɡ ɑː ɖ
گنڈا	ɡ ə n ɖ ɑː
گوشوں	ɡ oː ʃ õː
گھری	ɡʱ ə ɾ iː
ہاتھا	ɦ ɑː t̪ʰ ɑː
ہارا	ɦ ɑː ɾ ɑː
اجتماعیت	ɪ d͡ʒ t̪ ɪ m ɑː ɪ j ə t̪
اعتقادی	ɪ t̪ ɪ q ɑː d̪ iː
انجکشن	ə n d͡ʒ ə k ʃ ə n
باختہ	b ɑː x t̪ ɑ
بحرانی	b ə ɦ ɾ ɑː n iː
بدحالی	b ə d̪ ɦ ɑː l iː
برنی	b ə ɾ n iː
بطریق	b ə t̪ ɾ iː q
بلھے	b ə lʱ eː
بندروں	b ə n d̪ ə ɾ õː
بندرگاہوں	b ə n d̪ ə ɾ ɡ ɑː ɦ õː
بندھا	b ə n d̪ʱ ɑː
بوبی	b uː b iː
بھوری	bʱ uː ɾ iː
بھگتی	bʱ ə ɡ t̪ iː
تیروں	t̪ ɛː ɾ õː
ثمود	s ə m uː d̪
جاء	d͡ʒ ɑː
جوکچھ	d͡ʒ uː k t͡ʃʰ
حواشی	ɦ ə ʋ ɑː ʃ iː
حیاء	ɦ ə j ɑː
خریدو	x ə ɾ iː d̪ oː
خطاطی	x ə t̪ ɑː t̪ iː
درباروں	d̪ ə ɾ b ɑː ɾ õː
دھبہ	d̪ʱ ə b b ɑ
راوت	ɾ ɑː ʋ ə t̪
رمی	ɾ ə m iː
رنجش	ɾ ə n d͡ʒ ɪ ʃ
سادے	s ɑː d̪ eː
سفیدی	s ə f iː d̪ iː
سونگھ	s uː ŋ ɡʱ
سٹینڈ	s ə ʈ iː n ɖ
شگر	ʃ ə ɡ ə ɾ
شیام	ʃ ɪ j ɑː m
صبیحہ	s ə b iː ɦ ɑ
ظرافت	z ə ɾ ɑː f ə t̪
غازیخان	ɣ ɑː z iː x ɑː n
فرامین	f ə ɾ ɑː m iː n
قائدانہ	q ɑː ɪ d̪ ɑː n ɑ
لالا	l ɑː l ɑː
لالچی	l ɑː l t͡ʃ iː
مارٹر	m ɑː ɾ ʈ ə ɾ
مباہلہ	m ʊ b ɑː ɦ ɪ l ɑ
مسح	m ə s ɦ
مصارف	m ʊ s ɑː ɾ ɪ f
مصرعوں	m ə s ɾ õː
مماثل	m ʊ m ɑː s ɪ l
منتج	m ʊ n t̪ ə d͡ʒ
مکرر	m ə k ɾ ə ɾ
میتھیو	m ɛː t̪ʰ ɪ j oː
مینی	m iː n iː
ناگن	n ɑː ɡ ə n
نیکٹا	n eː k ʈ ɑː
ویرانی	ʋ ɛː ɾ ɑː n iː
ویلتھ	ʋ ɛː l ə t̪ʰ
ٹم	ʈ ə m
پلایا	p ə l ɑː j ɑː
پڑھئے	p ə ɽʱ eː
پکچر	p ə k t͡ʃ ə ɾ
پیزا	p ɛː z ɑː
چٹھی	t͡ʃ ə ʈʰ iː
کائی	k ɑː iː
کوٹلہ	k oː ʈ l ɑ
کوپن	k oː p ə n
کھوڑو	kʰ oː ɽ oː
کےعلاوہ	k eː l ɑː ʋ ɑ
گورکھ	ɡ oː ɾ kʰ
ہوجائیگا	ɦ oː d͡ʒ ɑː iː ɡ ɑː
یوزر	j oː z ə ɾ
express	ɛ k s p ɾ ɛ s
help	h ɛ l p
se	s ə
see	s eː
آئیگی	ɑː iː ɡ iː
آبادیاں	ɑː b ɑː d̪ ɪ j ɑ̃ː
آجر	ɑː d͡ʒ ə ɾ
آدی	ɑː d̪ iː
آپریٹرز	ɑː p ɾ eː ʈ ə ɾ z
آہٹ	ɑː ɦ ə ʈ
آیاہے	ɑː j ɑː ɦ eː
إذا	ɪ z ɑː
احسانات	ɪ ɦ s ɑː n ɑː t̪
اربن	ə ɾ b ə n
استحصالی	ɪ s t̪ ɪ ɦ s ɑː l iː
اطہار	ɪ t̪ ɦ ɑː ɾ
اعلم	ə ʔ l ə m
الذین	ə l z iː n
القابات	ɪ l q ɑː b ɑː t̪
اچھالنے	ə t͡ʃʰ ɑː l n eː
ایجنسیز	iː d͡ʒ ə n s iː z
اینی	iː n iː
ایڈی	eː ɖ iː
بختی	b ə x t̪ iː
برتی	b ə ɾ t̪ iː
برداشتہ	b ə ɾ d̪ ɑː ʃ t̪ ɑ
برش	b ə ɾ ʃ
بلاواسطہ	b ə l ɑː ʋ ɑː s t̪ ɑ
بلیوں	b ə l ɪ j õː
بنالیں	b ə n ɑː l ẽː
بویا	b uː j ɑː
بٹھائے	b ə ʈʰ ɑː eː
بچالیا	b ə t͡ʃ ɑː l ɪ j ɑː
بھو	bʱ uː
بھولو	bʱ uː l oː
بیروزگاری	b ɛː ɾ oː z ɡ ɑː ɾ iː
تحاشہ	t̪ ə ɦ ɑː ʃ ɑ
تھااور	t̪ʰ ɑː ʋ ə ɾ
تھکتے	t̪ʰ ə k t̪ eː
ثقافتوں	s ə q ɑː f ə t̪ õː
ثور	s uː ɾ
جواس	d͡ʒ ə ʋ ɑː s
جویریہ	d͡ʒ ə ʋ iː ɾ ɪ j ɑ
جھاگ	d͡ʒʱ ɑː ɡ
جھرمٹ	d͡ʒʱ ə ɾ m ə ʈ
حدوں	ɦ ə d̪ õː
حقانیہ	ɦ ə q ɑː n ɪ j ɑ
خفت	x ə f t̪
دبائے	d̪ ə b ɑː eː
دراڑ	d̪ ə ɾ ɑː ɽ
دوبالا	d̪ oː b ɑː l ɑː
دوگنی	d̪ oː ɡ n iː
رندوں	ɾ ə n d̪ õː
روبینہ	ɾ oː b iː n ɑ
رہبری	ɾ ə ɦ b ə ɾ iː
رینا	ɾ ɛː n ɑː
ساؤنڈ	s ɑː ʊ n ɖ
سائلین	s ɑː ɪ l iː n
سبط	s ə b t̪
سبوتاژ	s ə b uː t̪ ɑː ʒ
سرسری	s ə ɾ s ə ɾ iː
سرینا	s ə ɾ iː n ɑː
سلب	s ə l b
سپیس	s ə p iː s
شرطیں	ʃ ə ɾ t̪ ẽː
شمر	ʃ ə m ə ɾ
شہہ	ʃ ə ɦ
عادتیں	ɑː d̪ ə t̪ ẽː
عاقب	ɑː q ɪ b
عاقبت	ɑː q ɪ b ə t̪
عبدل	ə b d̪ ə l
عظيم	ə z iː m
فائلوں	f ɑː ɪ l õː
فیلڈنگ	f ɛː l ɖ ə ŋ ɡ
قبرستانوں	q ə b ɾ ɪ s t̪ ɑː n õː
كرنے	k ə ɾ n eː
لاؤنج	l ɑː ʊ n d͡ʒ
لاشاری	l ɑː ʃ ɑː ɾ iː
لاقانونیت	l ɑː q ɑː n uː n ɪ j ə t̪
لعاب	l ɑː b
لنڈا	l ə n ɖ ɑː
لوکا	l oː k ɑː
ليا	l ɪ j ɑː
ليکن	l eː k ə n
لٹیرے	l ə ʈ iː ɾ eː
لکھنو	l ə kʰ n oː
لگژری	l ə ɡ ʒ ə ɾ iː
متحمل	m ʊ t̪ ə ɦ m ə l
مجلسوں	m ə d͡ʒ l ə s õː
مرئی	m ə ɾ ə iː
مسابقتی	m ʊ s ɑː b ɪ q ə t̪ iː
مشت	m ə ʃ t̪
مصادر	m ʊ s ɑː d̪ ə ɾ
مصلحتوں	m ʊ s l ə ɦ ə t̪ õː
معا	m ʊ ɑː
مغوی	m ə ɣ ʋ iː
مناصب	m ʊ n ɑː s ɪ b
منتیں	m ə n ə t̪ ẽː
منگ	m ə ŋ ɡ
موسلادھار	m oː s l ɑː d̪ʱ ɑː ɾ
موشن	m oː ʃ ə n
مہرے	m ə ɦ ɾ eː
میقات	m iː q ɑː t̪
نبرد	n ə b ɾ ə d̪
نصیبی	n ə s iː b iː
نفسانی	n ə f s ɑː n iː
نفوذ	n ə f uː z
نگینہ	n ə ɡ iː n ɑ
وحدہ	ʋ ə ɦ d̪ ɑ
وگ	ʋ ə ɡ
وہب	ʋ ə ɦ ə b
ویمنز	ʋ ɛː m ə n z
ٹرپ	ʈ ə ɾ p
ٹینڈر	ʈ ɛː n ɖ ə ɾ
ٹیڑھی	ʈ eː ɽʱ iː
پئیں	p ə ẽː
پالو	p ɑː l oː
پام	p ɑː m
پتیاں	p ə t̪ ɪ j ɑ̃ː
پسے	p ə s eː
پنکھے	p ə ŋ kʰ eː
پوتن	p oː t̪ ə n
پکڑو	p ə k ɽ oː
پگھلا	p ə ɡʱ l ɑː
پہیے	p ə ɦ j eː
پیوٹن	p j oː ʈ ə n
پیٹنٹ	p eː ʈ ə n ʈ
چارپائی	t͡ʃ ɑː ɾ p ɑː iː
چنی	t͡ʃ ə n iː
چون	t͡ʃ uː n
چونکا	t͡ʃ uː n k ɑː
چڑ	t͡ʃ ə ɽ
چڑھائے	t͡ʃ ə ɽʱ ɑː eː
چکیں	t͡ʃ ə k ẽː
چھوڑوں	t͡ʃʰ oː ɽ õː
چھیڑا	t͡ʃʰ eː ɽ ɑː
ڈرین	ɖ ə ɾ iː n
ڈیانا	ɖ ɪ j ɑː n ɑː
ڈیبیو	ɖ eː b ɪ j oː
ڈیٹس	ɖ eː ʈ ə s
کاخاتمہ	k ɑː x ɑː t̪ m ɑ
کالاباغ	k ɑː l ɑː b ɑː ɣ
کاہنوں	k ɑː ɦ ə n õː
کرتےہوئے	k ə ɾ t̪ eː ɦ oː eː
کلے	k ə l eː
کنٹریکٹ	k ə n ʈ ɾ eː k ə ʈ
کھوکھلے	kʰ oː kʰ l eː
کہلا	k ə ɦ l ɑː
کہنہ	k ə ɦ n ɑ
گھبراتے	ɡʱ ə b ɾ ɑː t̪ eː
ہئے	ɦ ə eː
ہتھے	ɦ ə t̪ʰ eː
ke	k eː
آرائیاں	ɑː ɾ ɑː ɪ j ɑ̃ː
آشرم	ɑː ʃ ɾ ə m
آموز	ɑː m uː z
اباد	ɪ b ɑː d̪
اتارتے	ɪ t̪ ɑː ɾ ə t̪ eː
اجاڑ	ə d͡ʒ ɑː ɽ
استقبالیہ	ɪ s t̪ ɪ q b ɑː l ɪ j ɑ
افسردگی	ə f s ə ɾ d̪ ə ɡ iː
اچھالا	ə t͡ʃʰ ɑː l ɑː
ایضا	iː z ɑː
باراک	b ɑː ɾ ɑː k
بازگشت	b ɑː z ɡ ɪ ʃ t̪
باسٹھ	b ɑː s ʈʰ
بالشویک	b ɑː l ʃ ʋ eː k
بخارا	b ə x ɑː ɾ ɑː
بدرجہ	b ə d̪ ɾ ə d͡ʒ ɑ
بگڑی	b ə ɡ ɽ iː
بھولنے	bʱ uː l n eː
بیالیس	b ə j ɑː l iː s
ترکیبی	t̪ ə ɾ k iː b iː
تطہیر	t̪ ə t̪ ɦ iː ɾ
تعریفوں	t̪ ə ɾ iː f õː
تمیمی	t̪ ə m iː m iː
تند	t̪ ə n d̪
تھریسا	t̪ʰ ə ɾ iː s ɑː
جھاڑی	d͡ʒʱ ɑː ɽ iː
دانائی	d̪ ɑː n ɑː iː
دروس	d̪ ə ɾ uː s
دوراں	d̪ uː ɾ ɑ̃ː
دھا	d̪ʱ ɑː
دھاری	d̪ʱ ɑː ɾ iː
دھکڑ	d̪ʱ ə k ə ɽ
دھکیلا	d̪ʱ ə k iː l ɑː
ذوالجلال	z ə ʋ ɑː l d͡ʒ ɪ l ɑː l
راستی	ɾ ɑː s t̪ iː
راٹھور	ɾ ɑː ʈʰ uː ɾ
رولنگ	ɾ oː l ə ŋ ɡ
ریان	ɾ ɪ j ɑː n
سانگھڑ	s ɑː ŋ ɡʱ ə ɽ
سرقہ	s ə ɾ q ɑ
سطور	s ə t̪ uː ɾ
سعیدہ	s ə iː d̪ ɑ
سڑ	s ə ɽ
شبے	ʃ ə b b eː
شریفوں	ʃ ə ɾ iː f õː
فارمیسی	f ɑː ɾ m iː s iː
فریبی	f ə ɾ iː b iː
قازقستان	q ɑː z q ɪ s t̪ ɑː n
قاف	q ɑː f
قانونا	q ɑː n uː n ɑː
قدسی	q ə d̪ s iː
لبرلز	l ə b ɾ ə l z
للکار	l ə l k ɑː ɾ
لکھاریوں	l ɪ kʰ ɑː ɾ ɪ j õː
لیاجائے	l ɪ j ɑː d͡ʒ ɑː eː
مجلسی	m ə d͡ʒ l ə s iː
مدون	m ə d̪ uː n
مرحلوں	m ə ɾ ɦ ə l õː
مریدین	m ə ɾ iː d̪ iː n
مطہرہ	m ə t̪ ɦ ə ɾ ɑ
موٹو	m oː ʈ oː
میلنگ	m eː l ə ŋ ɡ
نبھائیں	n ə bʱ ɑː ẽː
نجران	n ə d͡ʒ ɾ ɑː n
نطفہ	n ə t̪ f ɑ
نمازجنازہ	n ə m ɑː z ɪ d͡ʒ n ɑː z ɑ
نمرود	n ə m ɾ uː d̪
وصل	ʋ ə s ə l
ٹوڈے	ʈ oː ɖ eː
پارکس	p ɑː ɾ k ɪ s
پالتے	p ɑː l t̪ eː
پزیرائی	p ə z iː ɾ ɑː iː
پنجا	p ə n d͡ʒ ɑː
پڑیگا	p ə ɽ eː ɡ ɑː
پکارو	p ə k ɑː ɾ oː
پکایا	p ə k ɑː j ɑː
پھندا	pʰ ə n d̪ ɑː
چمکانے	t͡ʃ ə m k ɑː n eː
ڈرائی	ɖ ə ɾ ɑː iː
کاربند	k ɑː ɾ b ə n d̪
کاروائیوں	k ɑː ɾ ʋ ɑː ɪ j õː
کارگر	k ɑː ɾ ɡ ə ɾ
کرار	k ə ɾ ɑː ɾ
کرواتی	k ə ɾ ʋ ɑː t̪ iː
کلائنٹ	k ə l ɑː ɪ n ʈ
کلاسیکل	k ə l ɑː s iː k ə l
کلیئرنس	k ə l ɛː ɪ ɾ ə n s
کوریڈور	k oː ɾ eː ɖ oː ɾ
کوزہ	k oː z ɑ
کوش	k oː ʃ
کھاکر	kʰ ɑː k ə ɾ
کھرا	kʰ ə ɾ ɑː
کھیپ	kʰ eː p
گزرگاہ	ɡ ʊ z ə ɾ ɡ ɑː ɦ
stories	s t̪ oː ɾ iː s
und	ʊ n d̪
آرائیوں	ɑː ɾ ɑː ɪ j õː
آرز	ɑː ɾ z
اسٹنٹ	ə s ʈ ə n ʈ
انچیف	ə n t͡ʃ iː f
بحرینی	b ə ɦ ɾ iː n iː
برتا	b ə ɾ t̪ ɑː
برسنے	b ə ɾ ə s n eː
بلاکس	b ə l ɑː k ɪ s
بندیوں	b ə n d̪ ɪ j õː
بورس	b uː ɾ ə s
بھیجو	bʱ eː d͡ʒ oː
ترکش	t̪ ə ɾ k ɪ ʃ
جاگیرداری	d͡ʒ ɑː ɡ iː ɾ d̪ ɑː ɾ iː
جزیروں	d͡ʒ ə z iː ɾ õː
جنین	d͡ʒ ə n iː n
جوڑتے	d͡ʒ uː ɽ t̪ eː
خصائص	x ə s ɑː ɪ s
دراڑیں	d̪ ə ɾ ɑː ɽ ẽː
رفاہی	ɾ ə f ɑː ɦ iː
روہت	ɾ oː ɦ ə t̪
ریشے	ɾ eː ʃ eː
زریعہ	z ə ɾ iː ɑ
سجود	s ə d͡ʒ uː d̪
سرمائی	s ə ɾ m ɑː iː
شمعون	ʃ ə m uː n
عبارات	ɪ b ɑː ɾ ɑː t̪
عش	ə ʃ
عشاق	ɪ ʃ ɑː q
عفان	ə f ɑː n
فاصلوں	f ɑː s ɪ l õː
فرقان	f ə ɾ q ɑː n
فشار	f ɪ ʃ ɑː ɾ
قبا	q ə b ɑː
لیکچرار	l eː k t͡ʃ ə ɾ ɑː ɾ
مرثیے	m ə ɾ s ɪ j eː
مفتیان	m ʊ f t̪ ɪ j ɑː n
منجملہ	m ə n d͡ʒ ə m l ɑ
منیجنگ	m ə n iː d͡ʒ ə ŋ ɡ
مکران	m ə k ɾ ɑː n
مکیش	m ə k iː ʃ
میکے	m eː k eː
ناساز	n ɑː s ɑː z
ٹھاکرے	ʈʰ ɑː k ɾ eː
ٹیٹو	ʈ eː ʈ oː
پلڑے	p ə l ɽ eː
پنجے	p ə n d͡ʒ eː
چارجر	t͡ʃ ɑː ɾ d͡ʒ ə ɾ
چبوترے	t͡ʃ ə b uː t̪ ɾ eː
کبار	k ə b ɑː ɾ
کڑوی	k ə ɽ ʋ iː
کہلایا	k ə ɦ l ɑː j ɑː
گرانقدر	ɡ ə ɾ ɑː n q ə d̪ ə ɾ
یکایک	j ə k ɑː j ə k
آئمہ	ɑː ɪ m ɑ
آزمائشی	ɑː z m ɑː ɪ ʃ iː
آمادگی	ɑː m ɑː d̪ ə ɡ iː
آمیزے	ɑː m eː z eː
آپے	ɑː p eː
ارجمند	ə ɾ d͡ʒ ə m ə n d̪
اسٹوڈنٹ	ə s ʈ oː ɖ ə n ʈ
اسٹیو	ə s ʈ ɪ j oː
اصطلاحی	ɪ s t̪ ɪ l ɑː ɦ iː
الذی	ə l z iː
العقیدہ	ə l ə q iː d̪ ɑ
اگل	ə ɡ ə l
بود	b uː d̪
بورڈنگ	b uː ɾ ɖ ə ŋ ɡ
بھٹکے	bʱ ə ʈ k eː
بہل	b ə ɦ ə l
بیتاب	b ɛː t̪ ɑː b
بیلی	b eː l iː
تام	t̪ ɑː m
ترجیحی	t̪ ə ɾ d͡ʒ iː ɦ iː
تزویراتی	t̪ ə z ʋ iː ɾ ɑː t̪ iː
تقریری	t̪ ə q ɾ iː ɾ iː
جانچنے	d͡ʒ ɑ̃ː t͡ʃ n eː
جدل	d͡ʒ ə d̪ ə l
جوابا	d͡ʒ ə ʋ ɑː b ɑː
جگن	d͡ʒ ə ɡ ə n
حسام	ɦ ə s ɑː m
حنین	ɦ ə n iː n
خیرا	x ɛː ɾ ɑː
دربدر	d̪ ə ɾ b ə d̪ ə ɾ
دوریاں	d̪ uː ɾ ɪ j ɑ̃ː
دوہرے	d̪ oː ɦ ɾ eː
دہلا	d̪ ə ɦ l ɑː
دیگ	d̪ eː ɡ
راشدی	ɾ ɑː ʃ d̪ iː
راکیش	ɾ ɑː k eː ʃ
رحمانہ	ɾ ə ɦ m ɑː n ɑ
رپورٹرز	ɾ ə p uː ɾ ʈ ə ɾ z
سائیکلنگ	s ɑː iː k l ə ŋ ɡ
سبکی	s ə b k iː
سبھاش	s ə bʱ ɑː ʃ
سجن	s ə d͡ʒ ə n
سدرہ	s ə d̪ ɾ ɑ
سلطانی	s ə l t̪ ɑː n iː
سنز	s ə n z
سولہویں	s uː l ɦ ə ʋ ẽː
ششم	ʃ ə ʃ m
شل	ʃ ə l
شٹل	ʃ ə ʈ ə l
صحتیاب	s ə ɦ t̪ ɪ j ɑː b
صدوق	s ə d̪ uː q
صوبیدار	s uː b iː d̪ ɑː ɾ
عدیم	ə d̪ iː m
غازیوں	ɣ ɑː z ɪ j õː
فائزہ	f ɑː ɪ z ɑ
فرط	f ə ɾ t̪
فریزر	f ə ɾ iː z ə ɾ
فلڈ	f ə l ɖ
فلیش	f ə l iː ʃ
قارون	q ɑː ɾ uː n
لارا	l ɑː ɾ ɑː
للکارا	l ə l k ɑː ɾ ɑː
لمن	l ə m ə n
لواری	l ə ʋ ɑː ɾ iː
لٹکی	l ə ʈ k iː
مادھوری	m ɑː d̪ʱ uː ɾ iː
مستفیض	m ʊ s t̪ ə f iː z
مسلے	m ə s l eː
ممدوح	m ə m d̪ uː ɦ
منابع	m ʊ n ɑː b eː
مینوں	m iː n õː
ناطق	n ɑː t̪ ɪ q
نیابت	n ɪ j ɑː b ə t̪
نیں	n ẽː
وائرلیس	ʋ ɑː ɪ ɾ l iː s
ورچوئل	ʋ ə ɾ t͡ʃ uː ɪ l
وسیلے	ʋ ə s iː l eː
ٹرکوں	ʈ ə ɾ k õː
ٹھاک	ʈʰ ɑː k
ٹے	ʈ eː
پرحملہ	p ə ɾ ɦ ə m l ɑ
پرزے	p ə ɾ z eː
پھندے	pʰ ə n d̪ eː
چسپاں	t͡ʃ ə s p ɑ̃ː
