de	d e
resping	r e s p i n ɡ
reuniunii	r e u n i u n i j
rezumă	r e z u m ə
rhodes	r h o d e s
ri	r i
ricardo	r i k a r d o
riguros	r i ɡ u r o s
ritmuri	r i t m u rʲ
rodrigo	r o d r i ɡ o
răspundeți	r ə s p u n d e t͡sʲ
salina	s a l i n a
sambata	s a m b a t a
sang	s a n ɡ
sculat	s k u l a t
sculpturi	s k u l p t u rʲ
selectiv	s e l e k t i v
semene	s e m e n e
simțurile	s i m t͡s u r i l e
skin	s k i n
solicit	s o l i t͡ʃ i t
soluțiilor	s o l u t͡s i i l o r
soluționarea	s o l u t͡s i o n a r e̯ a
spargă	s p a r ɡ ə
spontană	s p o n t a n ə
sprijinită	s p r i ʒ i n i t ə
strălucire	s t r ə l u t͡ʃ i r e
studiourile	s t u d i o u r i l e
stâlpii	s t ɨ l p i j
stăpânii	s t ə p ɨ n i j
sârbă	s ɨ r b ə
săvârșite	s ə v ɨ r ʃ i t e
teen	t e e n
temelii	t e m e l i j
testează	t e s t e̯ a z ə
tinta	t i n t a
tismăneanu	t i s m ə n e̯ a n u
transferată	t r a n s f e r a t ə
transformând	t r a n s f o r m ɨ n d
transformându	t r a n s f o r m ɨ n d u
tratare	t r a t a r e
tratatele	t r a t a t e l e
trăgea	t r ə d͡ʒ a
uluitor	u l u i t o r
umplute	u m p l u t e
unanim	u n a n i m
unificarea	u n i f i k a r e̯ a
uniforma	u n i f o r m a
urși	u r ʃʲ
uzate	u z a t e
varga	v a r ɡ a
vasculare	v a s k u l a r e
villa	v i l l a
vizibilitate	v i z i b i l i t a t e
voteze	v o t e z e
vreuna	v r e u n a
vânează	v ɨ n e̯ a z ə
împlinesc	ɨ m p l i n e s k
înaintată	ɨ n a i n t a t ə
înflorit	ɨ n f l o r i t
îngropate	ɨ n ɡ r o p a t e
îngropată	ɨ n ɡ r o p a t ə
înmulțirea	ɨ n m u l t͡s i r e̯ a
întâmplările	ɨ n t ɨ m p l ə r i l e
ȋn	i n
țesutului	t͡s e s u t u l u j
actrițe	a k t r i t͡s e
agendă	a d͡ʒ e n d ə
agențiile	a d͡ʒ e n t͡s i i l e
alegători	a l e ɡ ə t o rʲ
alexe	a l e k s e
alison	a l i s o n
alma	a l m a
amintea	a m i n t e̯ a
amos	a m o s
anexarea	a n e k s a r e̯ a
antarctica	a n t a r k t i k a
antipa	a n t i p a
antologia	a n t o l o d͡ʒ i a
apartamentului	a p a r t a m e n t u l u j
apartenență	a p a r t e n e n t͡s ə
ardealul	a r d e̯ a l u
astrid	a s t r i d
asum	a s u m
atârnă	a t ɨ r n ə
balcanice	b a l k a n i t͡ʃ e
bazine	b a z i n e
bec	b e k
bert	b e r t
blocare	b l o k a r e
books	b u k s
broască	b r o̯ a s k ə
bug	b u ɡ
bulgarii	b u l ɡ a r i j
bus	b u s
buza	b u z a
bântuie	b ɨ n t u j e
camionul	k a m i o n u
carul	k a r u
castron	k a s t r o n
cent	t͡ʃ e n t
chapman	k a p m a n
chiajna	k j a ʒ n a
cinematografic	t͡ʃ i n e m a t o ɡ r a f i k
cititorului	t͡ʃ i t i t o r u l u j
clasici	k l a s i t͡ʃʲ
clopotul	k l o p o t u
coastei	k o̯ a s t e j
coastele	k o̯ a s t e l e
coco	k o k o
coleman	k o l e m a n
conectată	k o n e k t a t ə
conferinta	k o n f e r i n t a
considerente	k o n s i d e r e n t e
contine	k o n t i n e
corporale	k o r p o r a l e
crescuți	k r e s k u t͡sʲ
cruzime	k r u z i m e
cut	k u t
cyril	t͡ʃ i r i l
cântărește	k ɨ n t ə r e ʃ t e
călugărul	k ə l u ɡ ə r u
damasc	d a m a s k
demisioneze	d e m i s i o n e z e
demiterea	d e m i t e r e̯ a
demografice	d e m o ɡ r a f i t͡ʃ e
despartă	d e s p a r t ə
despărți	d e s p ə r t͡sʲ
desăvârșit	d e s ə v ɨ r ʃ i t
devastatoare	d e v a s t a t o̯ a r e
dexter	d e k s t e r
dezavantaje	d e z a v a n t a ʒ e
diagnosticat	d i a ɡ n o s t i k a t
dictatură	d i k t a t u r ə
dimensiunilor	d i m e n s i u n i l o r
discutam	d i s k u t a m
dobândește	d o b ɨ n d e ʃ t e
dovedind	d o v e d i n d
duck	d u k
emit	e m i t
enzo	e n z o
evaluată	e v a l u a t ə
examenele	e ɡ z a m e n e l e
executării	e ɡ z e k u t ə r i j
exercitată	e ɡ z e r t͡ʃ i t a t ə
explora	e k s p l o r a
fermecat	f e r m e k a t
filipine	f i l i p i n e
fiule	f j u l e
florina	f l o r i n a
forțați	f o r t͡s a t͡sʲ
forțează	f o r t͡s e̯ a z ə
fotografice	f o t o ɡ r a f i t͡ʃ e
fotograful	f o t o ɡ r a f u
fragilă	f r a d͡ʒ i l ə
frances	f r a n t͡ʃ e s
fumatul	f u m a t u
gabrielle	ɡ a b r i e l l e
germanilor	d͡ʒ e r m a n i l o r
gomez	ɡ o m e z
grași	ɡ r a ʃʲ
great	ɡ r e̯ a t
grozavă	ɡ r o z a v ə
gusta	ɡ u s t a
hades	h a d e s
heart	h e̯ a r t
hercules	h e r k u l e s
hotarul	h o t a r u
identificați	i d e n t i f i k a t͡sʲ
ierarhie	j e r a r h i e
imn	i m n
imperială	i m p e r i a l ə
impunătoare	i m p u n ə t o̯ a r e
incomod	i n k o m o d
infecțiile	i n f e k t͡s i i l e
influențele	i n f l u e n t͡s e l e
infractor	i n f r a k t o r
injecție	i n ʒ e k t͡s i e
insectele	i n s e k t e l e
intelligence	i n t e l l i d͡ʒ e n t͡ʃ e
introducerii	i n t r o d u t͡ʃ e r i j
izbucnirea	i z b u k n i r e̯ a
johann	ʒ o h a n
kirby	k i r b i
logistică	l o d͡ʒ i s t i k ə
luchian	l u k i a n
lucrătorii	l u k r ə t o r i j
manifestarea	m a n i f e s t a r e̯ a
manipulat	m a n i p u l a t
maritimă	m a r i t i m ə
maturitatea	m a t u r i t a t e̯ a
mda	m d a
mecanica	m e k a n i k a
mediterană	m e d i t e r a n ə
memorialul	m e m o r i a l u
meredith	m e r e d i t
mexicani	m e k s i k a nʲ
minunile	m i n u n i l e
miracole	m i r a k o l e
mitropolitană	m i t r o p o l i t a n ə
miturile	m i t u r i l e
modei	m o d e j
moga	m o ɡ a
mucenici	m u t͡ʃ e n i t͡ʃʲ
mulțumească	m u l t͡s u m e̯ a s k ə
museum	m u s e u m
mîna	m ɨ n a
nature	n a t u r e
naziste	n a z i s t e
nașul	n a ʃ u
nominalizare	n o m i n a l i z a r e
obiceiurilor	o b i t͡ʃ e j u r i l o r
obiectivă	o b j e k t i v ə
obișnuiește	o b i ʃ n u j e ʃ t e
occidentului	o k t͡ʃ i d e n t u l u j
ocupare	o k u p a r e
operativ	o p e r a t i v
operațională	o p e r a t͡s i o n a l ə
orban	o r b a n
otopeni	o t o p e nʲ
oțet	o t͡s e t
paralela	p a r a l e l a
parisului	p a r i s u l u j
pedepsește	p e d e p s e ʃ t e
porniți	p o r n i t͡sʲ
porumbei	p o r u m b e j
porțelan	p o r t͡s e l a n
primordial	p r i m o r d i a l
priveam	p r i v e̯ a m
privilegiu	p r i v i l e d͡ʒ i w
protectoare	p r o t e k t o̯ a r e
proteinele	p r o t e i n e l e
pătură	p ə t u r ə
păzească	p ə z e̯ a s k ə
rca	r k a
receptor	r e t͡ʃ e p t o r
reich	r e j k
reparație	r e p a r a t͡s i e
reportaje	r e p o r t a ʒ e
rezervată	r e z e r v a t ə
rezidențiale	r e z i d e n t͡s i a l e
rețete	r e t͡s e t e
rinichii	r i n i k i j
romanesc	r o m a n e s k
rosen	r o s e n
rotește	r o t e ʃ t e
râzi	r ɨ zʲ
răsplata	r ə s p l a t a
sabin	s a b i n
satisfacerea	s a t i s f a t͡ʃ e r e̯ a
scutece	s k u t e t͡ʃ e
scădea	s k ə d e̯ a
scăpați	s k ə p a t͡sʲ
sincere	s i n t͡ʃ e r e
sitului	s i t u l u j
socoteala	s o k o t e̯ a l a
spaniola	s p a n i o l a
spartacus	s p a r t a k u s
sturza	s t u r z a
stăpânit	s t ə p ɨ n i t
subordine	s u b o r d i n e
sulina	s u l i n a
sumar	s u m a r
superficială	s u p e r f i t͡ʃ i a l ə
superiori	s u p e r i o rʲ
săruri	s ə r u rʲ
talpa	t a l p a
tavanul	t a v a n u
teatral	t e̯ a t r a l
teatrele	t e̯ a t r e l e
tezei	t e z e j
think	t i n k
topor	t o p o r
triburi	t r i b u rʲ
tropicale	t r o p i k a l e
tupeu	t u p e w
umbrelor	u m b r e l o r
umflat	u m f l a t
uniri	u n i rʲ
urbanism	u r b a n i s m
urmatoare	u r m a t o̯ a r e
urmatoarele	u r m a t o̯ a r e l e
urmărite	u r m ə r i t e
ursului	u r s u l u j
vagin	v a d͡ʒ i n
verifici	v e r i f i t͡ʃʲ
viată	v j a t ə
vierme	v j e r m e
vioara	v i o̯ a r a
voievodul	v o j e v o d u
voinea	v o j n e̯ a
văzându	v ə z ɨ n d u
webster	w e b s t e r
wilhelm	w i l h e l m
wisconsin	w i s k o n s i n
îmbrăcămintea	ɨ m b r ə k ə m i n t e̯ a
împrăștie	ɨ m p r ə ʃ t i e
începerii	ɨ n t͡ʃ e p e r i j
încetul	ɨ n t͡ʃ e t u
înconjurați	ɨ n k o n ʒ u r a t͡sʲ
îngrijorarea	ɨ n ɡ r i ʒ o r a r e̯ a
înscriu	ɨ n s k r i w
însemnele	ɨ n s e m n e l e
întrunire	ɨ n t r u n i r e
întârzia	ɨ n t ɨ r z i a
șterg	ʃ t e r ɡ
țeavă	t͡s e̯ a v ə
țesuturile	t͡s e s u t u r i l e
țesuturilor	t͡s e s u t u r i l o r
țigările	t͡s i ɡ ə r i l e
țurcanu	t͡s u r k a n u
adițional	a d i t͡s i o n a l
adolf	a d o l f
agricultori	a ɡ r i k u l t o rʲ
alec	a l e k
ambițios	a m b i t͡s i o s
angus	a n ɡ u s
anotimpuri	a n o t i m p u rʲ
antibiotic	a n t i b i o t i k
anunțate	a n u n t͡s a t e
aparentă	a p a r e n t ə
apuce	a p u t͡ʃ e
apăreau	a p ə r e̯ a w
arealul	a r e̯ a l u
astia	a s t i a
avarii	a v a r i j
avânt	a v ɨ n t
barton	b a r t o n
based	b a s e d
batalion	b a t a l i o n
benson	b e n s o n
biografie	b i o ɡ r a f i e
blu	b l u
bluză	b l u z ə
bombardat	b o m b a r d a t
brock	b r o k
buchanan	b u k a n a n
bucuroasă	b u k u r o̯ a s ə
bufet	b u f e t
bugetare	b u d͡ʒ e t a r e
băț	b ə t͡s
caracterizate	k a r a k t e r i z a t e
casino	k a s i n o
castro	k a s t r o
cazan	k a z a n
cazino	k a z i n o
ceata	t͡ʃ e̯ a t a
cedo	t͡ʃ e d o
cercei	t͡ʃ e r t͡ʃ e j
ceremoniei	t͡ʃ e r e m o n i e j
cerută	t͡ʃ e r u t ə
chad	k a d
chestiile	k e s t i i l e
clipuri	k l i p u rʲ
clopot	k l o p o t
colt	k o l t
combina	k o m b i n a
comportat	k o m p o r t a t
concretă	k o n k r e t ə
confederația	k o n f e d e r a t͡s i a
confesiune	k o n f e s i u n e
consiliile	k o n s i l i i l e
copila	k o p i l a
cromwell	k r o m w e l
csa	k s a
csaba	k s a b a
cugir	k u d͡ʒ i r
curețe	k u r e t͡s e
câinelui	k ɨ j n e l u j
cârma	k ɨ r m a
daniil	d a n i i l
dead	d e̯ a d
demolarea	d e m o l a r e̯ a
deportați	d e p o r t a t͡sʲ
derulat	d e r u l a t
descoperiți	d e s k o p e r i t͡sʲ
dicționare	d i k t͡s i o n a r e
dimensiunii	d i m e n s i u n i j
dinților	d i n t͡s i l o r
diplomați	d i p l o m a t͡sʲ
dispozitivului	d i s p o z i t i v u l u j
distreze	d i s t r e z e
dărâmat	d ə r ɨ m a t
economico	e k o n o m i k o
eforie	e f o r i e
eliminând	e l i m i n ɨ n d
epurare	e p u r a r e
evadeze	e v a d e z e
exclusă	e k s k l u s ə
executivă	e ɡ z e k u t i v ə
exploziei	e k s p l o z i e j
explozive	e k s p l o z i v e
exportul	e k s p o r t u
ferestrelor	f e r e s t r e l o r
fig	f i ɡ
fiinta	f i i n t a
fiori	f j o rʲ
fișierelor	f i ʃ i e r e l o r
fluier	f l u j e r
formulare	f o r m u l a r e
francesca	f r a n t͡ʃ e s k a
friedrich	f r i e d r i k
frumuseții	f r u m u s e t͡s i j
fuller	f u l e r
garantează	ɡ a r a n t e̯ a z ə
gaseasca	ɡ a s e̯ a s k a
geamuri	d͡ʒ e̯ a m u rʲ
gelozie	d͡ʒ e l o z i e
gesturi	d͡ʒ e s t u rʲ
gimnazială	d͡ʒ i m n a z i a l ə
grosu	ɡ r o s u
grădinițe	ɡ r ə d i n i t͡s e
hancock	h a n k o k
homosexuale	h o m o s e k s u a l e
iacov	j a k o v
iaurt	j a u r t
ideologică	i d e o l o d͡ʒ i k ə
ieșirile	j e ʃ i r i l e
imediate	i m e d i a t e
implementate	i m p l e m e n t a t e
infecției	i n f e k t͡s i e j
information	i n f o r m a t i o n
insistent	i n s i s t e n t
instruiți	i n s t r u i t͡sʲ
interesanta	i n t e r e s a n t a
interpretării	i n t e r p r e t ə r i j
invocând	i n v o k ɨ n d
iod	j o d
ips	i p s
islamice	i s l a m i t͡ʃ e
knox	k n o k s
lazar	l a z a r
lc	l k
legislatura	l e d͡ʒ i s l a t u r a
liam	l i a m
libertăților	l i b e r t ə t͡s i l o r
liturgice	l i t u r d͡ʒ i t͡ʃ e
livia	l i v i a
luminozitate	l u m i n o z i t a t e
luptătorii	l u p t ə t o r i j
mallory	m a l o r i
manșă	m a n ʃ ə
masinii	m a s i n i j
maximus	m a k s i m u s
membrelor	m e m b r e l o r
mesager	m e s a d͡ʒ e r
metraj	m e t r a ʒ
modelat	m o d e l a t
mortii	m o r t i j
motivat	m o t i v a t
murise	m u r i s e
myers	m j e r s
mâner	m ɨ n e r
mântuitorului	m ɨ n t u i t o r u l u j
măsline	m ə s l i n e
necesarul	n e t͡ʃ e s a r u
neregulă	n e r e ɡ u l ə
neînțelegeri	n e ɨ n t͡s e l e d͡ʒ e rʲ
niciunde	n i t͡ʃʲ u n d e
norocoasă	n o r o k o̯ a s ə
norton	n o r t o n
numeros	n u m e r o s
nutritive	n u t r i t i v e
oaș	o̯ a ʃ
oboseală	o b o s e̯ a l ə
onora	o n o r a
oprite	o p r i t e
ordonă	o r d o n ə
otel	o t e l
otrăvit	o t r ə v i t
parcurile	p a r k u r i l e
parteneriatul	p a r t e n e r i a t u
pelerini	p e l e r i nʲ
peninsulei	p e n i n s u l e j
performanței	p e r f o r m a n t͡s e j
pericolului	p e r i k o l u l u j
petreceți	p e t r e t͡ʃ e t͡sʲ
pitoresc	p i t o r e s k
placi	p l a t͡ʃʲ
planetele	p l a n e t e l e
pldm	p e l d e m
pleaca	p l e̯ a k a
plămânii	p l ə m ɨ n i j
pompei	p o m p e j
poștei	p o ʃ t e j
pregatiti	p r e ɡ a t i tʲ
prematur	p r e m a t u r
premium	p r e m i u m
prevină	p r e v i n ə
prințesei	p r i n t͡s e s e j
procurorii	p r o k u r o r i j
propulsie	p r o p u l s i e
prozator	p r o z a t o r
pulmonare	p u l m o n a r e
puneau	p u n e̯ a w
pânzele	p ɨ n z e l e
pătrund	p ə t r u n d
race	r a t͡ʃ e
raion	r a j o n
reconstituirea	r e k o n s t i t u i r e̯ a
recrutarea	r e k r u t a r e̯ a
recunoaste	r e k u n o̯ a s t e
referendumului	r e f e r e n d u m u l u j
reg	r e ɡ
renaștere	r e n a ʃ t e r e
repetiție	r e p e t i t͡s i e
respectate	r e s p e k t a t e
respectiva	r e s p e k t i v a
returul	r e t u r u
rezervate	r e z e r v a t e
rigid	r i d͡ʒ i d
rusa	r u s a
rănilor	r ə n i l o r
salvării	s a l v ə r i j
sant	s a n t
scandaluri	s k a n d a l u rʲ
schimburile	s k i m b u r i l e
scolii	s k o l i j
servici	s e r v i t͡ʃʲ
sevilla	s e v i l l a
sfaturile	s f a t u r i l e
sighet	s i ɡ e t
sobor	s o b o r
soliști	s o l i ʃ tʲ
son	s o n
sondaje	s o n d a ʒ e
stirile	s t i r i l e
stoian	s t o j a n
succesele	s u k t͡ʃ e s e l e
succesiv	s u k t͡ʃ e s i v
sugestia	s u d͡ʒ e s t i a
sugestii	s u d͡ʒ e s t i j
supremația	s u p r e m a t͡s i a
supăra	s u p ə r a
talentați	t a l e n t a t͡sʲ
tarzan	t a r z a n
temea	t e m e̯ a
terminate	t e r m i n a t e
topește	t o p e ʃ t e
tractoare	t r a k t o̯ a r e
transformării	t r a n s f o r m ə r i j
tratăm	t r a t ə m
trent	t r e n t
trădător	t r ə d ə t o r
tumori	t u m o rʲ
urinare	u r i n a r e
urmareste	u r m a r e s t e
urmez	u r m e z
uzuale	u z u a l e
vatră	v a t r ə
vindea	v i n d e̯ a
virale	v i r a l e
virgulă	v i r ɡ u l ə
văzusem	v ə z u s e m
zburător	z b u r ə t o r
împrăștiate	ɨ m p r ə ʃ t i a t e
închinată	ɨ n k i n a t ə
încărcarea	ɨ n k ə r k a r e̯ a
îndatoririle	ɨ n d a t o r i r i l e
îndepărteze	ɨ n d e p ə r t e z e
îndrăgostită	ɨ n d r ə ɡ o s t i t ə
înfrunte	ɨ n f r u n t e
întărită	ɨ n t ə r i t ə
șaguna	ʃ a ɡ u n a
șomaj	ʃ o m a ʒ
academician	a k a d e m i t͡ʃ i a n
accidentare	a k t͡ʃ i d e n t a r e
adapteze	a d a p t e z e
adopție	a d o p t͡s i e
afine	a f i n e
afișate	a f i ʃ a t e
aldea	a l d e̯ a
allison	a l l i s o n
americanul	a m e r i k a n u
analizăm	a n a l i z ə m
andreas	a n d r e̯ a s
ardeleni	a r d e l e nʲ
arestări	a r e s t ə rʲ
argilă	a r d͡ʒ i l ə
arhimandrit	a r h i m a n d r i t
arteriale	a r t e r i a l e
ascundeți	a s k u n d e t͡sʲ
aspră	a s p r ə
atestată	a t e s t a t ə
atmosferei	a t m o s f e r e j
avansează	a v a n s e̯ a z ə
avute	a v u t e
bacalaureatul	b a k a l a w r e̯ a t u
bancher	b a n k e r
banul	b a n u
batut	b a t u t
bilă	b i l ə
boys	b o j s
bucate	b u k a t e
bucati	b u k a tʲ
calculatoarele	k a l k u l a t o̯ a r e l e
carp	k a r p
casca	k a s k a
castele	k a s t e l e
causa	k a w s a
ceața	t͡ʃ e̯ a t͡s a
chimicale	k i m i k a l e
circuitului	t͡ʃ i r k u i t u l u j
clerului	k l e r u l u j
coaja	k o̯ a ʒ a
colonii	k o l o n i j
comportamentale	k o m p o r t a m e n t a l e
conecta	k o n e k t a
conf	k o n f
configurație	k o n f i ɡ u r a t͡s i e
consolideze	k o n s o l i d e z e
constance	k o n s t a n t͡ʃ e
consultat	k o n s u l t a t
contractele	k o n t r a k t e l e
corecție	k o r e k t͡s i e
coreene	k o r e e n e
corupți	k o r u p t͡sʲ
cosmică	k o s m i k ə
creatura	k r e a t u r a
creați	k r e a t͡sʲ
croitoru	k r o j t o r u
crucial	k r u t͡ʃ i a l
csi	k s i
cultivată	k u l t i v a t ə
cuprindă	k u p r i n d ə
călătoriilor	k ə l ə t o r i i l o r
dealer	d e̯ a l e r
decan	d e k a n
defensivă	d e f e n s i v ə
departajare	d e p a r t a ʒ a r e
depozitate	d e p o z i t a t e
depășite	d e p ə ʃ i t e
deteriorarea	d e t e r i o r a r e̯ a
devastator	d e v a s t a t o r
dietei	d i e t e j
dinescu	d i n e s k u
diplomație	d i p l o m a t͡s i e
discuțiilor	d i s k u t͡s i i l o r
distanței	d i s t a n t͡s e j
dizolvă	d i z o l v ə
doctrine	d o k t r i n e
dominant	d o m i n a n t
dragnea	d r a ɡ n e̯ a
dream	d r e̯ a m
dreams	d r e̯ a m s
eduardo	e d u a r d o
educațională	e d u k a t͡s i o n a l ə
eficienței	e f i t͡ʃ i e n t͡s e j
electromagnetice	e l e k t r o m a ɡ n e t i t͡ʃ e
emigrat	e m i ɡ r a t
episcopilor	e p i s k o p i l o r
ethan	e t h a n
excursia	e k s k u r s i a
exploatate	e k s p l o̯ a t a t e
exporturile	e k s p o r t u r i l e
expresiei	e k s p r e s i e j
ezitat	e z i t a t
facand	f a k a n d
ferit	f e r i t
fermecătoare	f e r m e k ə t o̯ a r e
firmelor	f i r m e l o r
fitness	f i t n e s
foloseasca	f o l o s e̯ a s k a
formați	f o r m a t͡sʲ
frământă	f r ə m ɨ n t ə
fân	f ɨ n
galeriei	ɡ a l e r i e j
gandhi	ɡ a n d i
gardianul	ɡ a r d i a n u
garros	ɡ a r o s
gemenii	d͡ʒ e m e n i j
genelor	d͡ʒ e n e l o r
grei	ɡ r e j
grigoraș	ɡ r i ɡ o r a ʃ
grilă	ɡ r i l ə
găgăuzia	ɡ ə ɡ ə u z i a
găzduite	ɡ ə z d u i t e
harlan	h a r l a n
hartie	h a r t i e
heidi	h e j dʲ
hey	h e j
hotărârile	h o t ə r ɨ r i l e
hotărâți	h o t ə r ɨ t͡sʲ
hrănească	h r ə n e̯ a s k ə
hu	h u
imobil	i m o b i l
implicării	i m p l i k ə r i j
influente	i n f l u e n t e
influențate	i n f l u e n t͡s a t e
infractorii	i n f r a k t o r i j
inspecție	i n s p e k t͡s i e
intereseze	i n t e r e s e z e
intrau	i n t r a w
ira	i r a
ironie	i r o n i e
java	ʒ a v a
judetul	ʒ u d e t u
laba	l a b a
lemnoase	l e m n o̯ a s e
licențe	l i t͡ʃ e n t͡s e
liiceanu	l i i t͡ʃ e̯ a n u
limitrofe	l i m i t r o f e
luminat	l u m i n a t
mackenzie	m a k e n z i e
martinez	m a r t i n e z
mentorul	m e n t o r u
menții	m e n t͡s i j
menținută	m e n t͡s i n u t ə
miile	m i i l e
minoritățile	m i n o r i t ə t͡s i l e
miraculos	m i r a k u l o s
mirele	m i r e l e
miscarea	m i s k a r e̯ a
moldo	m o l d o
moldoveanu	m o l d o v e̯ a n u
morar	m o r a r
morse	m o r s e
moses	m o s e s
municipiilor	m u n i t͡ʃ i p i i l o r
musulmanii	m u s u l m a n i j
nationala	n a t i o n a l a
nemți	n e m t͡sʲ
notorietate	n o t o r i e t a t e
noțiune	n o t͡s i u n e
nunți	n u n t͡sʲ
oarbă	o̯ a r b ə
observați	o b s e r v a t͡sʲ
orarul	o r a r u
orizonturi	o r i z o n t u rʲ
osce	o s t͡ʃ e
padure	p a d u r e
panta	p a n t a
patronajul	p a t r o n a ʒ u
patului	p a t u l u j
periferice	p e r i f e r i t͡ʃ e
petale	p e t a l e
petele	p e t e l e
plecării	p l e k ə r i j
politistii	p o l i t i s t i j
porcul	p o r k u
predici	p r e d i t͡ʃʲ
preferați	p r e f e r a t͡sʲ
pregătiri	p r e ɡ ə t i rʲ
premergătoare	p r e m e r ɡ ə t o̯ a r e
preparată	p r e p a r a t ə
presat	p r e s a t
presiunile	p r e s i u n i l e
preventiv	p r e v e n t i v
previn	p r e v i n
prezentator	p r e z e n t a t o r
printesa	p r i n t e s a
procedează	p r o t͡ʃ e d e̯ a z ə
producțiile	p r o d u k t͡s i i l e
protejăm	p r o t e ʒ ə m
protejării	p r o t e ʒ ə r i j
pân	p ɨ n
păcătuit	p ə k ə t u i t
părăsirea	p ə r ə s i r e̯ a
raportată	r a p o r t a t ə
recunoașterii	r e k u n o̯ a ʃ t e r i j
recunoscători	r e k u n o s k ə t o rʲ
redeschis	r e d e s k i s
repartizat	r e p a r t i z a t
repetarea	r e p e t a r e̯ a
responsabilitățile	r e s p o n s a b i l i t ə t͡s i l e
restabili	r e s t a b i lʲ
reyes	r e j e s
riscurilor	r i s k u r i l o r
rudy	r u d i
rutele	r u t e l e
saddam	s a d d a m
salutat	s a l u t a t
salvatore	s a l v a t o r e
satisfacție	s a t i s f a k t͡s i e
semifinala	s e m i f i n a l a
semnelor	s e m n e l o r
semnării	s e m n ə r i j
seriile	s e r i i l e
sesiunile	s e s i u n i l e
specificate	s p e t͡ʃ i f i k a t e
spectatorii	s p e k t a t o r i j
sprijinite	s p r i ʒ i n i t e
spânzurat	s p ɨ n z u r a t
spălarea	s p ə l a r e̯ a
standardului	s t a n d a r d u l u j
stere	s t e r e
straja	s t r a ʒ a
suferințele	s u f e r i n t͡s e l e
sumele	s u m e l e
superficiale	s u p e r f i t͡ʃ i a l e
suplimentul	s u p l i m e n t u
sărută	s ə r u t ə
taiat	t a j a t
taiwan	t a j w a n
tam	t a m
tell	t e l
tennessee	t e n n e s e e
tentă	t e n t ə
terminalul	t e r m i n a l u
tiparului	t i p a r u l u j
tit	t i t
toaleta	t o̯ a l e t a
toby	t o b i
toiul	t o j u
torturat	t o r t u r a t
tovarășul	t o v a r ə ʃ u
transfere	t r a n s f e r e
ucigașul	u t͡ʃ i ɡ a ʃ u
urziceni	u r z i t͡ʃ e nʲ
valahia	v a l a h i a
vandut	v a n d u t
vizitatorilor	v i z i t a t o r i l o r
vocabularul	v o k a b u l a r u
vopseaua	v o p s e̯ a w a
vorbită	v o r b i t ə
vrăjitoarea	v r ə ʒ i t o̯ a r e̯ a
vrăjitorul	v r ə ʒ i t o r u
văi	v ə i
zane	z a n e
zgârie	z ɡ ɨ r i e
ziceau	z i t͡ʃ e̯ a w
zoltan	z o l t a n
zoo	z o o
zu	z u
îmbrățișează	ɨ m b r ə t͡s i ʃ e̯ a z ə
împărtăși	ɨ m p ə r t ə ʃʲ
închipuie	ɨ n k i p u j e
încărcați	ɨ n k ə r k a t͡sʲ
înființeze	ɨ n f i i n t͡s e z e
întocmirea	ɨ n t o k m i r e̯ a
întrebându	ɨ n t r e b ɨ n d u
întărească	ɨ n t ə r e̯ a s k ə
științifico	ʃ t i i n t͡s i f i k o
ținuți	t͡s i n u t͡sʲ
accentuează	a k t͡ʃ e n t u e̯ a z ə
actualitatea	a k t u a l i t a t e̯ a
admirația	a d m i r a t͡s i a
afghanistan	a f ɡ a n i s t a n
aflarea	a f l a r e̯ a
alergând	a l e r ɡ ɨ n d
amplasamentul	a m p l a s a m e n t u
anomalii	a n o m a l i j
anuleze	a n u l e z e
apasa	a p a s a
apetitul	a p e t i t u
arhiereu	a r h i e r e w
ascunși	a s k u n ʃʲ
atașată	a t a ʃ a t ə
averii	a v e r i j
baptiste	b a p t i s t e
bones	b o n e s
botul	b o t u
brățară	b r ə t͡s a r ə
bătuți	b ə t u t͡sʲ
cafe	k a f e
cafenele	k a f e n e l e
calitativ	k a l i t a t i v
cedarea	t͡ʃ e d a r e̯ a
cehoslovacia	t͡ʃ e h o s l o v a t͡ʃ i a
celebrarea	t͡ʃ e l e b r a r e̯ a
celebrată	t͡ʃ e l e b r a t ə
celebrează	t͡ʃ e l e b r e̯ a z ə
centralizat	t͡ʃ e n t r a l i z a t
cetățeniei	t͡ʃ e t ə t͡s e n i e j
chiloți	k i l o t͡sʲ
chipuri	k i p u rʲ
combustibili	k o m b u s t i b i lʲ
comercializat	k o m e r t͡ʃ i a l i z a t
completate	k o m p l e t a t e
comporte	k o m p o r t e
concurează	k o n k u r e̯ a z ə
conferințele	k o n f e r i n t͡s e l e
conținute	k o n t͡s i n u t e
crane	k r a n e
crestere	k r e s t e r e
curajoasă	k u r a ʒ o̯ a s ə
curățați	k u r ə t͡s a t͡sʲ
cvasi	k v a sʲ
câmpii	k ɨ m p i j
cărămizi	k ə r ə m i zʲ
della	d e l l a
denise	d e n i s e
deranjeze	d e r a n ʒ e z e
descarcă	d e s k a r k ə
deschizând	d e s k i z ɨ n d
descoperind	d e s k o p e r i n d
directorii	d i r e k t o r i j
discutați	d i s k u t a t͡sʲ
disperate	d i s p e r a t e
distribuitor	d i s t r i b u i t o r
documentului	d o k u m e n t u l u j
dorite	d o r i t e
dăruiește	d ə r u j e ʃ t e
ecologie	e k o l o d͡ʒ i e
egoist	e ɡ o i s t
