the	t e
evangeline	e v ɐ̃ ʒ e l i n e
examinadas	e z a m i n a d a s
examinam	e z a m i n ɐ̃ w̃
exerceram	e z e ɻ s e ɾ ɐ̃ w̃
faltaria	f a w t a ɾ i a
farmacológicos	f a ɻ m a k o l ɔ ʒ i k u s
favorecidas	f a v o ɾ e s i d a s
fernandão	f e ɻ n ɐ̃ d ɐ̃ w̃
fiscaliza	f i s k a l i z a
folgada	f o w ɡ a d a
folklore	f o w k l ɔ ɾ e
forcei	f o ɻ s e j
forks	f ɔ ɻ k i s
formuladores	f o ɻ m u l a d o ɾ i s
fundidos	f ũ d͡ʒ i d o s
ganhaste	ɡ ɐ ɲ a s t e
gardiner	ɡ a ɻ d͡ʒ i n e
garmin	ɡ a ɻ m ĩ
genocidas	ʒ e n o s i d a s
georgianas	ʒ e o ɻ ʒ i ɐ̃ n ɐ s
ghosts	ɡ ɔ s t͡ʃ i s
goran	ɡ o ɾ ɐ̃
gostassem	ɡ o s t a s ẽ j̃
gostes	ɡ ɔ s t e s
grisalhos	ɡ ɾ i z a ʎ o s
harden	a ɻ d ẽ j̃
hickey	i k e j
hijos	i ʒ o s
hines	i n e s
homólogos	o m ɔ l o ɡ o s
hor	o ɻ
hostes	ɔ s t e s
humaniza	u m a n i z a
hà	a
ichi	i ʃ i
iemenitas	j e m e n i t a s
iminentes	i m i n ẽ t e s
importem	ĩ p ɔ ɻ t ẽ j̃
inconformismo	ĩ k õ f o ɻ m i z m u
incuráveis	ĩ k u ɾ a v e j s
infiltrações	ĩ f i w t ɾ a s õ j̃ s
inseri	ĩ s e ɾ i
interceptaram	ĩ t e ɻ s e p i t a ɾ ɐ̃ w̃
intimas	ĩ t͡ʃ i m a s
investimos	ĩ v e s t͡ʃ i m o s
irados	i ɾ a d o s
iri	i ɾ i
irreparáveis	i ʁ e p a ɾ a v e j s
isle	i z l e
itaporanga	i t a p o ɾ ɐ̃ ɡ a
iônica	j o n i k a
jakarta	ʒ a k a ɻ t ɐ
kasim	k a z ĩ
katyn	k a t͡ʃ ĩ
keira	k e j ɾ a
kite	k i t e
kojima	k o ʒ i m a
kon	k õ
kono	k o n o
kutcher	k u t͡ʃ e
lavagens	l a v a ʒ ẽ j̃ s
lembrarei	l ẽ b ɾ a ɾ e j
lembraria	l ẽ b ɾ a ɾ i a
lenhadores	l e ɲ a d o ɾ e s
limpá	l ĩ p a
loan	l o ɐ̃
longitudinais	l õ ʒ i t u d͡ʒ i n a j s
lucco	l u k o
luisão	l u j z ɐ̃ w̃
luizão	l u j z ɐ̃ w̃
léia	l ɛ j a
madeireiras	m a d e j ɾ e j ɾ a s
magoando	m a ɡ o ɐ̃ d o
malick	m a l i k e
mandi	m ɐ̃ d͡ʒ i
mantras	m ɐ̃ t ɾ a s
maracana	m a ɾ a k ɐ n a
marcavam	m a ɻ k a v ɐ̃ w̃
mariko	m a ɾ i k o
marlos	m a ɻ l u s
marseille	m a ɻ s e j l i
martinha	m a ɻ t͡ʃ ĩ ɲ ɐ
mastros	m a s t ɾ o s
maçanetas	m a s a n e t a s
mela	m ɛ l a
melhorava	m e ʎ o ɾ a v a
mercadão	m e ɻ k a d ɐ̃ w̃
modulo	m o d u l o
mojave	m o ʒ a v e
moldadas	m o w d a d a s
moldagem	m o w d a ʒ ẽ j̃
monika	m o n i k a
montantes	m õ t ɐ̃ t e s
morenos	m o ɾ e n o s
morrissey	m o ʁ i s e j
mortinho	m o ɻ t͡ʃ ĩ ɲ u
mossad	m o s a d͡ʒ
naver	n a v e
nea	n e a
neco	n ɛ k o
negaria	n e ɡ a ɾ i a
neutrinos	n e w t ɾ i n o s
neuza	n e w z a
noemi	n o e m i
nublados	n u b l a d o s
ocupamos	o k u p ɐ m o s
ocupasse	o k u p a s e
oferecerá	o f e ɾ e s e ɾ a
osce	ɔ s e
oscilam	o s i l ɐ̃ w̃
paisagística	p a j z a ʒ i s t͡ʃ i k a
partiam	p a ɻ t͡ʃ i ɐ̃ w̃
partições	p a ɻ t͡ʃ i s õ j̃ s
parvas	p a ɻ v ɐ s
pautado	p a w t a d o
pavuna	p a v u n a
peidou	p e j d o
pem	p ẽ j̃
performando	p e ɻ f o ɻ m ɐ̃ d u
perpetuam	p e ɻ p e t u ɐ̃ w̃
petrus	p e t ɾ u j s
phones	f o n e s
piers	p i ɛ ɻ s
pir	p i
plexo	p l ɛ k s o
pombinhos	p õ b i ɲ o s
pontuando	p õ t u ɐ̃ d o
poque	p ɔ k e
possessiva	p o s e s i v a
possi	p o s i
postulado	p o s t u l a d o
pradarias	p ɾ a d a ɾ i a s
prateadas	p ɾ a t e a d a s
preciosidades	p ɾ e s i o z i d a d e s
prefixos	p ɾ e f i k s o s
prensas	p ɾ ẽ s a s
prestasse	p ɾ e s t a s e
prestativa	p ɾ e s t a t͡ʃ i v a
prevalente	p ɾ e v a l ẽ t e
procedendo	p ɾ o s e d ẽ d o
promoter	p ɾ o m o t e
proprietárias	p ɾ o p ɾ i e t a ɾ i a s
prosseguia	p ɾ o s e ɡ i a
pulsações	p u w s a s õ j̃ s
puna	p u n a
qa	k a
quico	k i k o
radioativas	ʁ a d͡ʒ i o a t͡ʃ i v a s
rasteja	ʁ a s t e ʒ a
ratchet	ʁ a t͡ʃ e
ratinha	ʁ a t͡ʃ i ɲ a
reabilitado	ʁ e a b i l i t a d o
recomeçaram	ʁ e k o m e s a ɾ ɐ̃ w̃
reconhecerá	ʁ e k o ɲ e s e ɾ a
redtube	ʁ e d͡ʒ i t u b e
reeditar	ʁ e e d͡ʒ i t a
reencontram	ʁ e ĩ k õ t ɾ ɐ̃ w̃
reencontrou	ʁ e ĩ k õ t ɾ o
reformadas	ʁ e f o ɻ m a d ɐ s
reformulada	ʁ e f o ɻ m u l a d ɐ
refugiando	ʁ e f u ʒ i ɐ̃ d o
reiniciando	ʁ e j n i s i ɐ̃ d o
removam	ʁ e m ɔ v ɐ̃ w̃
repetirá	ʁ e p e t͡ʃ i ɾ a
respetivas	ʁ e s p e t͡ʃ i v a s
reversíveis	ʁ e v e ɻ s i v e j s
rina	ʁ i n a
rodelas	ʁ o d ɛ l a s
rolado	ʁ o l a d o
romenos	ʁ o m e n o s
romi	ʁ o m i
rueda	ʁ u e d a
saborosos	s a b o ɾ o z o s
sacramental	s a k ɾ a m ẽ t a w
salzburgo	s a w z b u ɻ ɡ u
saraus	s a ɾ a w s
satisfatórias	s a t͡ʃ i s f a t ɔ ɾ i a s
segues	s ɛ ɡ e s
semeando	s e m e ɐ̃ d o
sharingan	ʃ a ɾ ĩ ɡ ɐ̃
shia	ʃ i a
shih	ʃ i
silenciando	s i l ẽ s i ɐ̃ d o
simi	s i m i
sindrome	s ĩ d ɾ o m e
singularmente	s ĩ ɡ u l a ɻ m ẽ t͡ʃ i
sintática	s ĩ t a t͡ʃ i k a
socorrista	s o k o ʁ i s t a
sonserina	s õ s e ɾ i n a
spirito	i s p i ɾ i t o
stratton	i s t ɾ a t õ
sulu	s u l u
sutilezas	s u t͡ʃ i l e z a s
tamoios	t a m o j o s
tangas	t ɐ̃ ɡ a s
taxis	t a k s i s
telemar	t e l e m a
tent	t ẽ t͡ʃ
thayer	t a j e
thomé	t o m ɛ
trajando	t ɾ a ʒ ɐ̃ d o
transgressores	t ɾ ɐ̃ z ɡ ɾ e s o ɾ e s
travamento	t ɾ a v a m ẽ t o
traíram	t ɾ a i ɾ ɐ̃ w̃
ténue	t ɛ n u e
umbria	ũ b ɾ i a
uprising	u p ɾ i z ĩ
uru	u ɾ u
vaginais	v a ʒ i n a j s
valorizava	v a l o ɾ i z a v a
velma	v ɛ w m a
venganza	v ẽ ɡ ɐ̃ z a
viciantes	v i s i ɐ̃ t e s
vitório	v i t ɔ ɾ i o
vivre	v i v ɾ e
vocé	v o s ɛ
vyacheslav	v i a ʃ e z l a v
xander	ʃ ɐ̃ d e
árctico	a ɻ k i t͡ʃ i k u
ósseos	ɔ s e o s
abdo	a b d o
abusados	a b u z a d o s
aceitariam	a s e j t a ɾ i ɐ̃ w̃
acinzentado	a s ĩ z ẽ t a d o
acordeon	a k o ɻ d e õ
acr	a k e ɻ
acumulo	a k u m u l o
adelson	a d e w s õ
adiamentos	a d͡ʒ i a m ẽ t o s
afogá	a f o ɡ a
afundamento	a f ũ d a m ẽ t o
agravaram	a ɡ ɾ a v a ɾ ɐ̃ w̃
alcoa	a w k o a
alertava	a l e ɻ t a v ɐ
alysson	a l i s õ
amputada	ɐ̃ p u t a d a
analógicas	a n a l ɔ ʒ i k a s
ansi	ɐ̃ s i
antenados	ɐ̃ t e n a d o s
apartidário	a p a ɻ t͡ʃ i d a ɾ i u
aprisionou	a p ɾ i z i o n o
apêndices	a p ẽ d͡ʒ i s e s
arlen	a ɻ l ẽ j̃
arn	a ɻ n
arraiá	a ʁ a j a
arrastadas	a ʁ a s t a d a s
arrastões	a ʁ a s t õ j̃ s
arremessou	a ʁ e m e s o
arrependidos	a ʁ e p ẽ d͡ʒ i d o s
aspirado	a s p i ɾ a d o
assinará	a s i n a ɾ a
assombrosa	a s õ b ɾ ɔ z a
atestando	a t e s t ɐ̃ d o
ausentou	a w z ẽ t o
autoimunes	a w t o j m u n e s
autónomos	a w t ɔ n o m o s
balançam	b a l ɐ̃ s ɐ̃ w̃
baniram	b a n i ɾ ɐ̃ w̃
barret	b a ʁ e
basico	b a z i k o
basilares	b a z i l a ɾ e s
bila	b i l a
blogagem	b l o ɡ a ʒ ẽ j̃
boomer	b u m e
bric	b ɾ i k
brilhos	b ɾ i ʎ o s
brotou	b ɾ o t o
cabrini	k a b ɾ i n i
cagam	k a ɡ ɐ̃ w̃
canadian	k a n a d͡ʒ i ɐ̃
carpinteiros	k a ɻ p ĩ t e j ɾ u s
cartada	k a ɻ t a d ɐ
cataguases	k a t a ɡ w a z e s
catelyn	k a t e l ĩ
cavalheirismo	k a v a ʎ e j ɾ i z m o
cavou	k a v o
censurou	s ẽ s u ɾ o
charger	ʃ a ɻ ʒ e
chloé	ʃ l o ɛ
cin	s ĩ
citá	s i t a
clu	k l u
colecta	k o l ɛ k t a
comparamos	k õ p a ɾ ɐ m o s
compassos	k õ p a s o s
compelido	k õ p e l i d o
compreenderem	k õ p ɾ e ẽ d e ɾ ẽ j̃
confiarei	k õ f i a ɾ e j
conotações	k o n o t a s õ j̃ s
conserve	k õ s ɛ ɻ v i
contrariada	k õ t ɾ a ɾ i a d a
copiaram	k o p i a ɾ ɐ̃ w̃
correlatos	k o ʁ e l a t o s
corriere	k o ʁ i ɛ ɾ e
cortex	k o ɻ t ɛ k s
cosby	k o z b i
cosette	k o z ɛ t e
crick	k ɾ i k e
criminaliza	k ɾ i m i n a l i z a
curvou	k u ɻ v o
cuthbert	k u t͡ʃ b ɛ ɻ
cômicos	k o m i k o s
côrtes	k o ɻ t͡ʃ i s
decapitados	d e k a p i t a d o s
declarava	d e k l a ɾ a v a
decore	d e k ɔ ɾ e
defenderá	d e f ẽ d e ɾ a
delineando	d e l i n e ɐ̃ d o
derramada	d e ʁ a m a d a
derrepente	d e ʁ e p ẽ t e
desabando	d e z a b ɐ̃ d o
desanimados	d e z a n i m a d o s
desarrumada	d e z a ʁ u m a d a
desfeitos	d e s f e j t o s
desmatadas	d e z m a t a d a s
dhaka	d a k a
discours	d͡ʒ i s k o w ɻ s
disputava	d͡ʒ i s p u t a v a
disseminados	d͡ʒ i s e m i n a d o s
dissolvidos	d͡ʒ i s o w v i d o s
ditada	d͡ʒ i t a d a
driscoll	d ɾ i s k ɔ w
dízimos	d͡ʒ i z i m o s
dúbia	d u b i a
eas	e a s
eduard	e d u a ɻ d͡ʒ i
elgin	e w ʒ ĩ
eliete	e l i ɛ t e
embassy	ĩ b a s i
encantei	ĩ k ɐ̃ t e j
encarei	ĩ k a ɾ e j
enver	ĩ v e
envolvê	ĩ v o w v e
enxertos	ĩ ʃ ɛ ɻ t u s
escavadeiras	e s k a v a d e j ɾ a s
escove	e s k ɔ v e
escutada	e s k u t a d a
espancando	e s p ɐ̃ k ɐ̃ d o
espantou	e s p ɐ̃ t o
esperarei	e s p e ɾ a ɾ e j
esquartejado	e s k w a ɻ t e ʒ a d u
essence	e s ẽ s e
estrofes	e s t ɾ ɔ f e s
esvaziando	e z v a z i ɐ̃ d o
euzébio	e w z ɛ b i o
evidenciada	e v i d ẽ s i a d a
evitamos	e v i t ɐ m o s
evoluímos	e v o l u i m o s
exaustivas	e z a w s t͡ʃ i v a s
exotic	e z ɔ t͡ʃ i k
ezequias	e z e k i a s
facetime	f a s e t͡ʃ i m e
falecendo	f a l e s ẽ d o
fiec	f i ɛ k
filhotinho	f i ʎ o t͡ʃ i ɲ o
finesse	f i n ɛ s e
fira	f i ɾ a
flare	f l a ɾ e
foss	f ɔ j s
franky	f ɾ ɐ̃ k i
fritando	f ɾ i t ɐ̃ d o
fruticultura	f ɾ u t͡ʃ i k u w t u ɾ a
gaal	ɡ a a w
gallardo	ɡ a l a ɻ d u
gastrointestinais	ɡ a s t ɾ o ĩ t e s t͡ʃ i n a j s
gavassi	ɡ a v a s i
gennaro	ʒ e n a ɾ o
georgie	ʒ e o ɻ ʒ i
gillis	ʒ i l i s
gimme	ʒ ĩ m e
giordano	ʒ i o ɻ d ɐ̃ n u
gis	ʒ i s
glorifica	ɡ l o ɾ i f i k a
goleadas	ɡ o l e a d a s
gostares	ɡ o s t a ɾ e s
governativa	ɡ o v e ɻ n a t͡ʃ i v ɐ
governativas	ɡ o v e ɻ n a t͡ʃ i v ɐ s
guan	ɡ w ɐ̃
góticas	ɡ ɔ t͡ʃ i k a s
harmonizado	a ɻ m o n i z a d u
havan	a v ɐ̃
haze	a z e
histories	i s t o ɾ i e s
hobart	o b a ɻ t͡ʃ
hologramas	o l o ɡ ɾ ɐ m a s
hom	õ
homoafetiva	o m o a f e t͡ʃ i v a
huber	u b e
idols	i d ɔ w s
ilesa	i l e z a
incha	ĩ ʃ a
infos	ĩ f o s
injetor	ĩ ʒ e t o ɻ
inorgânicos	i n o ɻ ɡ ɐ̃ n i k u s
insolúveis	ĩ s o l u v e j s
interagiu	ĩ t e ɾ a ʒ i w
interajam	ĩ t e ɾ a ʒ ɐ̃ w̃
isak	i z a k e
itaqui	i t a k i
jabor	ʒ a b o ɻ
jangadas	ʒ ɐ̃ ɡ a d a s
jimin	ʒ i m ĩ
justica	ʒ u s t͡ʃ i k a
karaté	k a ɾ a t ɛ
katrin	k a t ɾ ĩ
lager	l a ʒ e
laverne	l a v ɛ ɻ n i
leif	l e j f
longínqua	l õ ʒ ĩ k w a
louvada	l o v a d a
luger	l u ʒ e
mackie	m a k i
mairiporã	m a j ɾ i p o ɾ ɐ̃
maisie	m a j z i
maj	m a ʒ
malkovich	m a w k o v i ʃ
manon	m a n õ
marry	m a ʁ i
marti	m a ɻ t͡ʃ i
marv	m a ɻ v i
matanza	m a t ɐ̃ z a
mates	m a t e s
medrano	m e d ɾ ɐ n o
merci	m e ɻ s i
messejana	m e s e ʒ ɐ n a
mismo	m i z m o
moldando	m o w d ɐ̃ d o
moma	m o m a
montezuma	m õ t e z u m a
morda	m ɔ ɻ d ɐ
mordomos	m o ɻ d õ m u s
mostrassem	m o s t ɾ a s ẽ j̃
mpd	ɛ m p e d e
mucuri	m u k u ɾ i
multifuncional	m u w t͡ʃ i f ũ s i o n a w
multiusos	m u w t͡ʃ i w z o s
nae	n a j
namor	n a m o ɻ
nasi	n a z i
naufrágios	n a w f ɾ a ʒ i o s
naus	n a w s
navegamos	n a v e ɡ ɐ m o s
nec	n ɛ k
neoclássico	n ɛ o k l a s i k o
nigga	n i ɡ a
nitratos	n i t ɾ a t o s
normandos	n o ɻ m ɐ̃ d u s
normativos	n o ɻ m a t͡ʃ i v u s
noticioso	n o t͡ʃ i s i o z o
nunc	n ũ k e
ocupem	o k u p ẽ j̃
oferecê	o f e ɾ e s e
othon	o t õ
overseas	o v e ɻ s e ɐ s
partisse	p a ɻ t͡ʃ i s i
partridge	p a ɻ t ɾ i d͡ʒ i
pecuaristas	p e k u a ɾ i s t a s
pequei	p e k e j
percorria	p e ɻ k o ʁ i ɐ
perenes	p e ɾ e n e s
perninhas	p e ɻ n ĩ ɲ ɐ s
peruíbe	p e ɾ u i b e
pingentes	p ĩ ʒ ẽ t e s
planeadas	p l a n e a d a s
plateias	p l a t ɛ j a s
porcelanas	p o ɻ s e l ɐ̃ n ɐ s
presumidamente	p ɾ e z u m i d a m ẽ t e
profetizou	p ɾ o f e t͡ʃ i z o
proibe	p ɾ ɔ j b e
pse	p i s e
quadradinhos	k w a d ɾ a d͡ʒ i ɲ o s
queixava	k e j ʃ a v a
rais	ʁ a j s
randolfe	ʁ ɐ̃ d ɔ w f e
reajo	ʁ e a ʒ o
reajustes	ʁ e a ʒ u s t e s
realçado	ʁ e a w s a d o
rebatedor	ʁ e b a t e d o ɻ
recantos	ʁ e k ɐ̃ t o s
recomeçando	ʁ e k o m e s ɐ̃ d o
redefinição	ʁ e d e f i n i s ɐ̃ w̃
refaz	ʁ e f a j s
refaça	ʁ e f a s a
refugiadas	ʁ e f u ʒ i a d a s
regada	ʁ e ɡ a d a
registrei	ʁ e ʒ i s t ɾ e j
regularizado	ʁ e ɡ u l a ɾ i z a d o
relative	ʁ e l a t͡ʃ i v e
relatores	ʁ e l a t o ɾ e s
remoendo	ʁ e m o ẽ d o
renomadas	ʁ e n o m a d a s
resfriados	ʁ e s f ɾ i a d o s
resgataram	ʁ e z ɡ a t a ɾ ɐ̃ w̃
respingos	ʁ e s p ĩ ɡ o s
retirava	ʁ e t͡ʃ i ɾ a v a
riquíssima	ʁ i k i s i m a
roadie	ʁ o a d͡ʒ i
rogéria	ʁ o ʒ ɛ ɾ i a
rolaram	ʁ o l a ɾ ɐ̃ w̃
rosetta	ʁ o z ɛ t a
roterdã	ʁ o t e ɻ d ɐ̃
rotulagem	ʁ o t u l a ʒ ẽ j̃
saborosas	s a b o ɾ ɔ z a s
sabões	s a b õ j̃ s
sacadas	s a k a d a s
samuca	s a m u k a
sapateiros	s a p a t e j ɾ o s
sedutores	s e d u t o ɾ e s
seguiriam	s e ɡ i ɾ i ɐ̃ w̃
seguraram	s e ɡ u ɾ a ɾ ɐ̃ w̃
sentí	s ẽ t͡ʃ i
separem	s e p a ɾ ẽ j̃
servas	s ɛ ɻ v ɐ s
sif	s i f
silhuetas	s i ʎ u e t a s
simpatiza	s ĩ p a t͡ʃ i z a
socorristas	s o k o ʁ i s t a s
soltá	s o w t a
sonoma	s o n o m a
spree	i s p ɾ e e
subjetivas	s u b i ʒ e t͡ʃ i v a s
sucupira	s u k u p i ɾ a
suntuosa	s ũ t u ɔ z a
supervia	s u p e ɻ v i ɐ
suplicando	s u p l i k ɐ̃ d o
suspeitavam	s u s p e j t a v ɐ̃ w̃
tailandesas	t a j l ɐ̃ d e z a s
terminarão	t e ɻ m i n a ɾ ɐ̃ w̃
théophile	t ɛ o f i l e
tibia	t͡ʃ i b i a
tinoco	t͡ʃ i n ɔ k o
tontas	t õ t a s
traia	t ɾ a j a
trainees	t ɾ a j n e e s
transfobia	t ɾ ɐ̃ s f o b i a
transformadora	t ɾ ɐ̃ s f o ɻ m a d o ɾ ɐ
trançado	t ɾ ɐ̃ s a d o
trier	t ɾ i e
trop	t ɾ ɔ p
túnicas	t u n i k a s
ucp	u k e p e
udinese	u d͡ʒ i n ɛ z e
umbro	ũ b ɾ o
ums	ũ j̃ s
unitários	u n i t a ɾ i o s
usda	u z d a
vagens	v a ʒ ẽ j̃ s
vertigens	v e ɻ t͡ʃ i ʒ ẽ j̃ s
vetados	v e t a d o s
vlogs	v l ɔ ɡ i s
volumosos	v o l u m o z o s
wenceslau	w ẽ s e z l a w
wilker	w i w k e ɻ
xuan	ʃ u ɐ̃
óticas	ɔ t͡ʃ i k a s
absolveu	a b i s o w v e w
acaricia	a k a ɾ i s i a
acertarem	a s e ɻ t a ɾ ẽ j̃
adenauer	a d e n a w e
adentra	a d ẽ t ɾ a
adequá	a d e k w a
ades	a d e s
adiaram	a d͡ʒ i a ɾ ɐ̃ w̃
admiramos	a d͡ʒ i m i ɾ ɐ m o s
admitidas	a d͡ʒ i m i t͡ʃ i d a s
afixados	a f i k s a d o s
agradado	a ɡ ɾ a d a d o
albinos	a w b i n o s
alfaiataria	a w f a j a t a ɾ i a
alimentícias	a l i m ẽ t͡ʃ i s i a s
alongando	a l õ ɡ ɐ̃ d o
alçado	a w s a d o
ambíguos	ɐ̃ b i ɡ w o s
ampliações	ɐ̃ p l i a s õ j̃ s
apagamento	a p a ɡ a m ẽ t o
apedrejado	a p e d ɾ e ʒ a d o
aplico	a p l i k o
aprimorados	a p ɾ i m o ɾ a d o s
aprovasse	a p ɾ o v a s e
aprová	a p ɾ o v a
arbor	a ɻ b o ɻ
arcas	a ɻ k ɐ s
armagedom	a ɻ m a ʒ e d õ
asseguraram	a s e ɡ u ɾ a ɾ ɐ̃ w̃
assentando	a s ẽ t ɐ̃ d o
assistencialismo	a s i s t ẽ s i a l i z m o
aster	a s t e
aum	a ũ
ayla	a j l a
baderneiros	b a d e ɻ n e j ɾ u s
bandai	b ɐ̃ d a j
bartholomew	b a ɻ t o l o m e w
bastarda	b a s t a ɻ d ɐ
beirut	b e j ɾ u t͡ʃ
beliches	b e l i ʃ e s
bengo	b ẽ ɡ o
berto	b ɛ ɻ t u
bertone	b e ɻ t õ n i
bioquímicas	b i o k i m i k a s
bipolares	b i p o l a ɾ e s
bjinhos	b i ʒ i ɲ o s
bonequinhos	b o n e k i ɲ o s
bonitinhas	b o n i t͡ʃ i ɲ a s
brasileirinhas	b ɾ a z i l e j ɾ i ɲ a s
brilhoso	b ɾ i ʎ o z o
brodie	b ɾ o d͡ʒ i
bruninho	b ɾ u n i ɲ o
bundchen	b ũ d͡ʒ ẽ j̃
bárbaras	b a ɻ b a ɾ ɐ s
cajon	k a ʒ õ
canabrava	k a n a b ɾ a v a
cancel	k ɐ̃ s ɛ w
capitanias	k a p i t a n i a s
carnuda	k a ɻ n u d ɐ
chupe	ʃ u p e
cil	s i w
circunstanciais	s i ɻ k ũ s t ɐ̃ s i a j s
claudinha	k l a w d͡ʒ i ɲ a
codes	k ɔ d e s
colhi	k o ʎ i
comandará	k o m ɐ̃ d a ɾ a
cometam	k o m e t ɐ̃ w̃
condá	k õ d a
confession	k õ f e s i õ
confundo	k õ f ũ d o
conservacionistas	k õ s e ɻ v a s i o n i s t ɐ s
contemplativa	k õ t ẽ p l a t͡ʃ i v a
copiam	k o p i ɐ̃ w̃
corroendo	k o ʁ o ẽ d o
cortázar	k o ɻ t a z a
culpes	k u w p e s
cupertino	k u p e ɻ t͡ʃ ĩ n u
cómoda	k ɔ m o d a
dallagnol	d a l a ɡ i n ɔ w
dandy	d ɐ̃ d͡ʒ i
dart	d a ɻ t͡ʃ
declarasse	d e k l a ɾ a s e
deduziu	d e d u z i w
demiti	d e m i t͡ʃ i
demorasse	d e m o ɾ a s e
denial	d e n i a w
dentadas	d ẽ t a d a s
deontologia	d e õ t o l o ʒ i a
depressivas	d e p ɾ e s i v a s
derivações	d e ɾ i v a s õ j̃ s
desative	d e z a t͡ʃ i v e
descente	d e s ẽ t e
deserções	d e z e ɻ s õ j̃ s
desgrudar	d e z ɡ ɾ u d a
desleixada	d e z l e j ʃ a d a
desmontou	d e z m õ t o
destrui	d e s t ɾ u j
desvendado	d e z v ẽ d a d o
desviei	d e z v i e j
didáticas	d͡ʒ i d a t͡ʃ i k a s
diferenciá	d͡ʒ i f e ɾ ẽ s i a
discordaram	d͡ʒ i s k o ɻ d a ɾ ɐ̃ w̃
distanciou	d͡ʒ i s t ɐ̃ s i o
ditam	d͡ʒ i t ɐ̃ w̃
ditava	d͡ʒ i t a v a
divisórias	d͡ʒ i v i z ɔ ɾ i a s
divulgadores	d͡ʒ i v u w ɡ a d o ɾ e s
dizzy	d͡ʒ i z i
dominick	d o m i n i k e
dooley	d u l e j
duomo	d u o m o
embaraçosas	ĩ b a ɾ a s ɔ z a s
embriagados	ĩ b ɾ i a ɡ a d o s
emmet	ĩ m e t͡ʃ
empurrei	ĩ p u ʁ e j
encanadores	ĩ k a n a d o ɾ e s
enfeitado	ĩ f e j t a d o
estipulou	e s t͡ʃ i p u l o
etnicidade	e t͡ʃ i n i s i d a d e
evolutivas	e v o l u t͡ʃ i v a s
excedendo	e s e d ẽ d o
exerceria	e z e ɻ s e ɾ i ɐ
exercidos	e z e ɻ s i d u s
exportada	e s p o ɻ t a d ɐ
expressem	e s p ɾ ɛ s ẽ j̃
fardados	f a ɻ d a d u s
fasano	f a z ɐ n o
felis	f e l i s
figado	f i ɡ a d o
fofinhas	f o f i ɲ a s
forros	f o ʁ o s
fortificada	f o ɻ t͡ʃ i f i k a d ɐ
forçava	f o ɻ s a v ɐ
frasier	f ɾ a z i e
frisos	f ɾ i z o s
frédéric	f ɾ ɛ d ɛ ɾ i k
fuckin	f u k ĩ
fudida	f u d͡ʒ i d a
fuego	f u ɛ ɡ o
fundindo	f ũ d͡ʒ ĩ d o
funes	f u n e s
furquim	f u ɻ k ĩ
gaeta	ɡ a ɛ t a
gainesville	ɡ a j n e z v i l e
galileo	ɡ a l i l e o
genros	ʒ ẽ ʁ o s
gigas	ʒ i ɡ a s
ginecologistas	ʒ i n e k o l o ʒ i s t a s
glicerina	ɡ l i s e ɾ i n a
gobierno	ɡ o b i ɛ ɻ n u
golpeando	ɡ o w p e ɐ̃ d o
gontijo	ɡ õ t͡ʃ i ʒ o
gotículas	ɡ o t͡ʃ i k u l a s
grael	ɡ ɾ a ɛ w
gratas	ɡ ɾ a t a s
greca	ɡ ɾ ɛ k a
harrow	a ʁ o
hau	a w
hawai	a w a j
het	ɛ t͡ʃ
honorato	o n o ɾ a t o
hoyos	o j o s
huh	u
ibi	i b i
iga	i ɡ a
iheartradio	i e a ɻ t ɾ a d͡ʒ i u
imaginações	i m a ʒ i n a s õ j̃ s
imaturas	i m a t u ɾ a s
impura	ĩ p u ɾ a
imundas	i m ũ d a s
inclinadas	ĩ k l i n a d a s
incomodaram	ĩ k o m o d a ɾ ɐ̃ w̃
indigo	ĩ d͡ʒ i ɡ o
indulgências	ĩ d u w ʒ ẽ s i a s
inegáveis	i n e ɡ a v e j s
iniciem	i n i s i ẽ j̃
injetando	ĩ ʒ e t ɐ̃ d o
inspiro	ĩ s p i ɾ o
instalarem	ĩ s t a l a ɾ ẽ j̃
instigado	ĩ s t͡ʃ i ɡ a d o
instituindo	ĩ s t͡ʃ i t u ĩ d o
intensão	ĩ t ẽ s ɐ̃ w̃
introdutória	ĩ t ɾ o d u t ɔ ɾ i a
intrometendo	ĩ t ɾ o m e t ẽ d o
iorquinos	j o ɻ k ĩ n u s
irati	i ɾ a t͡ʃ i
isi	i z i
jaguaré	ʒ a ɡ w a ɾ ɛ
jeitão	ʒ e j t ɐ̃ w̃
judi	ʒ u d͡ʒ i
juizados	ʒ u j z a d o s
kaori	k a o ɾ i
kasper	k a s p e
kinda	k ĩ d a
kol	k ɔ w
kree	k ɾ e e
kwai	k w a j
lamentava	l a m ẽ t a v a
lençois	l ẽ s o j s
lerei	l e ɾ e j
lesionados	l e z i o n a d o s
libertas	l i b ɛ ɻ t ɐ s
libertárias	l i b e ɻ t a ɾ i ɐ s
limitaram	l i m i t a ɾ ɐ̃ w̃
litorâneas	l i t o ɾ ɐ n e a s
lusófonas	l u z ɔ f o n a s
macmillan	m a k i m i l ɐ̃
madiba	m a d͡ʒ i b a
maeve	m a ɛ v e
maluquices	m a l u k i s e s
marginalizada	m a ɻ ʒ i n a l i z a d ɐ
marita	m a ɾ i t a
marli	m a ɻ l i
maroni	m a ɾ o n i
masha	m a ʃ a
massacrou	m a s a k ɾ o
mathews	m a t e w s
