να	n a
εγκατάλειψησ	e ŋ ɡ a t a l i p s i s
εγκαταλειφθεί	e ŋ ɡ a t a l i f θ i
εικονεσ	i k o n e s
ειλικρινέσ	i l i k ɾ i n e s
εκδοση	e k ð o s i
εκκαθαρίσεισ	e k a θ a ɾ i s i s
εκφοβισμόσ	e k f o v i z m o s
εμμηνόπαυση	e m i n o p a f s i
ενδιαφέρθηκε	e n ð i̯ a f e ɾ θ i c e
ενισχύσεων	e n i s ç i s e o n
εντοπιστούν	e n d o p i s t u n
ενωμένεσ	e n o m e n e s
εξάπλωσησ	e k s a p l o s i s
εξαφάνισε	e k s a f a n i s e
εξυπηρετούσε	e k s i p i ɾ e t u s e
εξωτική	e k s o t i c i
επαναληπτικέσ	e p a n a l i p t i c e s
επαφη	e p a f i
επετεύχθη	e p e t e f x θ i
επιδεινώνεται	e p i ð i n o n e t e
επιδιώξεισ	e p i ð i o k s i s
επιθετικοί	e p i θ e t i c i
επισκοπήσ	e p i s k o p i s
επιστάτησ	e p i s t a t i s
επιστροφη	e p i s t ɾ o f i
επώνυμό	e p o n i m o
εργολάβουσ	e ɾ ɣ o l a v u s
ερχόμενοσ	e r x o m e n o s
ετοιμάζεσαι	e t i m a z e s e
εφαρμόσουμε	e f a ɾ m o s u m e
εφεξήσ	e f e k s i s
εφηβείασ	e f i v i a s
ζέρβα	z e ɾ v a
ηθελαν	i θ e l a n
ημικρανία	i m i k ɾ a n i a
ησυχίασ	i s i ç i a s
θέρμη	θ e ɾ m i
θανατου	θ a n a t u
θεάματα	θ e a m a t a
ιδιόκτητο	i ð i o k t i t o
ιδιότητά	i ð i o t i t a
ιερα	i e ɾ a
ιθαγενών	i θ a ʝ e n o n
ιορδάνησ	i o ɾ ð a n i s
ιουλιου	i u ʎ u
κάθι	k a θ i
κάθονταν	k a θ o n d a n
καθαρίστριεσ	k a θ a ɾ i s t ɾ i e s
καθαρών	k a θ a ɾ o n
καθεδρικόσ	k a θ e ð ɾ i k o s
καθισμάτων	k a θ i z m a t o n
κακόβουλο	k a k o v u l o
κανονεσ	k a n o n e s
καπνίζετε	k a p n i z e t e
κατέβαινε	k a t e v e n e
καταστρέψεισ	k a t a s t ɾ e p s i s
καταφέρνουμε	k a t a f e ɾ n u m e
καταχωρηθεί	k a t a x o ɾ i θ i
κατολισθήσεισ	k a t o l i s θ i s i s
κεα	c e a
κεράκια	c e ɾ a c a
κινέζα	c i n e z a
κοντρόλ	k o n d ɾ o l
κορδελιό	k o ɾ ð e ʎ o
κορεάτεσ	k o ɾ e a t e s
κοτ	k o t
κουίνσ	k u i n s
κριτικών	k ɾ i t i k o n
κυβ	c i v
κυβερνούσαν	c i v e ɾ n u s a n
κυκλικά	c i k l i k a
κυκλοσ	c i k l o s
κυκλωμάτων	c i k l o m a t o n
κυνηγού	c i n i ɣ u
κυρίουσ	c i ɾ i u s
κυττάρου	c i t a ɾ u
κωδικών	k o ð i k o n
κόντεψα	k o n d e p s a
κώλοι	k o l i
λάτρευαν	l a t ɾ e v a n
λάτρευε	l a t ɾ e v e
λήμνοσ	l i m n o s
λαγού	l a ɣ u
λείψεισ	l i p s i s
λεγεται	l e ʝ e t e
λεμονιού	l e m o ɲ u
λουριά	l u ɾ ʝ a
λούθερ	l u θ e ɾ
μάριον	m a ɾ i o n
μέλημα	m e l i m a
μένοσ	m e n o s
μαγειρέψεισ	m a ʝ i ɾ e p s i s
μακριέσ	m a k ɾ i e s
μαρτυρίου	m a ɾ t i ɾ i u
μαχητικού	m a ç i t i k u
μεγα	m e ɣ a
μειωμένησ	m i o m e n i s
μελετήσουν	m e l e t i s u n
μελλοντικήσ	m e l o n d i c i s
μεσολάβηση	m e s o l a v i s i
μεταφράσει	m e t a f ɾ a s i
μητρώα	m i t ɾ o a
μικροπράγματα	m i k ɾ o p ɾ a ɣ m a t a
μιλησουμε	m i l i s u m e
μορίσ	m o ɾ i s
μοτοσικλέτασ	m o t o s i k l e t a s
μπατίστα	b a t i s t a
μπαχαρικών	b a x a ɾ i k o n
μπογιέσ	b o ʝ e s
μυοκαρδίου	m i o k a ɾ ð i u
νήσουσ	n i s u s
νεοφύτου	n e o f i t u
νευρικά	n e v ɾ i k a
νομοθετικέσ	n o m o θ e t i c e s
νοτιοδυτική	n o t i o ð i t i c i
ντρέπονται	d ɾ e p o n d e
νυχτερινέσ	n i x t e ɾ i n e s
νόλαν	n o l a n
ξαναγύρισε	k s a n a ʝ i ɾ i s e
ξεκαρδιστικό	k s e k a ɾ ð i s t i k o
οίκημα	i c i m a
οίκτο	i k t o
οικογενειακόσ	i k o ʝ e n i a k o s
ομορφότερα	o m o ɾ f o t e ɾ a
ορειβάτεσ	o ɾ i v a t e s
ορουσ	o ɾ u s
πάγια	p a ʝ a
πάλευε	p a l e v e
πάραυτα	p a ɾ a f t a
παλαίμαχοσ	p a l e m a x o s
παπαγιάννησ	p a p a ʝ a n i s
παράνομουσ	p a ɾ a n o m u s
παρέλαβαν	p a ɾ e l a v a n
παραγωγη	p a ɾ a ɣ o ʝ i
παραιτήθηκαν	p a ɾ e t i θ i k a n
παρακολουθήσεισ	p a ɾ a k o l u θ i s i s
παραμένουμε	p a ɾ a m e n u m e
παραμείνετε	p a ɾ a m i n e t e
παραμείνουμε	p a ɾ a m i n u m e
παρατήρησαν	p a ɾ a t i ɾ i s a n
παρθεί	p a ɾ θ i
πασάσ	p a s a s
πατούσεσ	p a t u s e s
παυλόπουλο	p a v l o p u l o
πεκίνου	p e c i n u
πεπραγμένα	p e p ɾ a ɣ m e n a
περιεκτικότητασ	p e ɾ i e k t i k o t i t a s
περιφερεια	p e ɾ i f e ɾ i a
πετυχαίνουν	p e t i ç e n u n
πλημμυρών	p l i m i ɾ o n
πολεμου	p o l e m u
πολεοδομικό	p o l e o ð o m i k o
πολύτιμουσ	p o l i t i m u s
ποταμι	p o t a m i
προστατευόμενη	p ɾ o s t a t e v o m e n i
πρωτεύοντα	p ɾ o t e v o n d a
ραδιενεργό	ɾ a ð i e n e ɾ ɣ o
ρεμπέτικο	ɾ e m b e t i k o
ριζοσπαστικό	ɾ i z o s p a s t i k o
σάλτσεσ	s a l t͡s e s
σάντι	s a n d i
σασί	s a s i
σημεια	s i m i a
σιγουρη	s i ɣ u ɾ i
σιδηροδρομικού	s i ð i ɾ o ð ɾ o m i k u
σιταριού	s i t a ɾ ʝ u
σκοινιά	s c i ɲ a
σκοτεινήσ	s k o t i n i s
σκόπιμο	s k o p i m o
σκύρο	s c i ɾ o
σοσιαλιστικού	s o s i a l i s t i k u
σπίρτα	s p i ɾ t a
σπανόσ	s p a n o s
σπασμούσ	s p a z m u s
σποράδων	s p o ɾ a ð o n
σταθερών	s t a θ e ɾ o n
σταφύλι	s t a f i l i
στεγάζονται	s t e ɣ a z o n d e
στεγνώνει	s t e ɣ n o n i
στερεό	s t e ɾ e o
στοματική	s t o m a t i c i
στριπ	s t ɾ i p
στριτ	s t ɾ i t
στρογγυλά	s t ɾ o ŋ ɟ i l a
συγκρούεται	s i ŋ ɡ r u e t e
συλλαμβάνουν	s i l a ɱ v a n u n
συμβολίζουν	s i ɱ v o l i z u n
συμμοριών	s i m o ɾ ʝ o n
συμπίεσησ	s i m b i e s i s
συμπαίκτη	s i m b e k t i
συνεργαζόταν	s i n e ɾ ɣ a z o t a n
συνηθίζουν	s i n i θ i z u n
συνθέσει	s i n θ e s i
συνθηκεσ	s i n θ i c e s
συνταγματικά	s i n d a ɣ m a t i k a
συντεχνίεσ	s i n d e x n i e s
σχεδίασαν	s ç e ð i a s a n
σχεσεισ	s ç e s i s
σχισμή	s ç i z m i
σόφι	s o f i
σύφιλη	s i f i l i
τεχνητέσ	t e x n i t e s
τζιλ	d͡z i l
τηγανητά	t i ɣ a n i t a
τιμώρησε	t i m o ɾ i s e
τούτα	t u t a
τραβήξτε	t ɾ a v i k s t e
τραυμάτων	t ɾ a v m a t o n
τυφλών	t i f l o n
υπεραξία	i p e ɾ a k s i a
υπερθέρμανση	i p e ɾ θ e ɾ m a n s i
υπηρετήσουν	i p i ɾ e t i s u n
υπνηλία	i p n i l i a
υποψήφιεσ	i p o p s i f i e s
υπόλοιποσ	i p o l i p o s
φέρετρα	f e ɾ e t ɾ a
φοβηθείσ	f o v i θ i s
φούστεσ	f u s t e s
φροντίζω	f ɾ o n d i z o
χάραξε	x a ɾ a k s e
χειμώνεσ	ç i m o n e s
χειροτονία	ç i ɾ o t o n i a
χιλιετίασ	ç i ʎ e t i a s
χιονοπτώσεισ	ç o n o p t o s i s
χτυπηθεί	x t i p i θ i
χόουπ	x o u p
ψευδο	p s e v ð o
ψεύτικοσ	p s e f t i k o s
ψυχάρη	p s i x a ɾ i
ψύχραιμοσ	p s i x ɾ e m o s
άναψαν	a n a p s a n
άνδροσ	a n ð ɾ o s
έμπειρη	e m b i ɾ i
έμπειρο	e m b i ɾ o
ένατο	e n a t o
ένδυση	e n ð i s i
έντονουσ	e n d o n u s
έξυπνων	e k s i p n o n
αίσιο	e s i o
αγνοήσει	a ɣ n o i s i
αγνοούμενοσ	a ɣ n o u m e n o s
αγνοούμενουσ	a ɣ n o u m e n u s
αγορια	a ɣ o ɾ ʝ a
αθωότητασ	a θ o o t i t a s
αιγυπτιακή	e ʝ i p t i a c i
αιώνιασ	e o ɲ a s
ακουγεται	a k u ʝ e t e
ακραίοσ	a k ɾ e o s
ακυρώσεισ	a c i ɾ o s i s
αλέξιοσ	a l e k s i o s
ανέβασα	a n e v a s a
ανέβουμε	a n e v u m e
ανήλικων	a n i l i k o n
αναγγελία	a n a ŋ ɟ e l i a
αναγκάσουν	a n a ŋ ɡ a s u n
αναγνωρίζετε	a n a ɣ n o ɾ i z e t e
αναγνωρίσω	a n a ɣ n o ɾ i s o
αναζητούσαν	a n a z i t u s a n
ανακοινώνονται	a n a c i n o n o n d e
ανακούφισησ	a n a k u f i s i s
αναλύσουμε	a n a l i s u m e
ανατολικών	a n a t o l i k o n
ανατρέψουν	a n a t ɾ e p s u n
αναφερθούν	a n a f e ɾ θ u n
ανθίσει	a n θ i s i
ανταγωνιστή	a n d a ɣ o n i s t i
ανταγωνιστεί	a n d a ɣ o n i s t i
αντιγράφων	a n d i ɣ r a f o n
αντικειμενικό	a n d i c i m e n i k o
αντιστέκονται	a n d i s t e k o n d e
ανώμαλε	a n o m a l e
απάνθρωπο	a p a n θ ɾ o p o
απήγαγαν	a p i ɣ a ɣ a n
απαγάγουν	a p a ɣ a ɣ u n
απαγορευεται	a p a ɣ o ɾ e v e t e
αποκαλυπτικά	a p o k a l i p t i k a
απομάκρυνσησ	a p o m a k ɾ i n s i s
απορροφούν	a p o ɾ o f u n
αποστόλουσ	a p o s t o l u s
αποχαιρέτησε	a p o ç e ɾ e t i s e
απόφραξη	a p o f ɾ a k s i
αραβικέσ	a ɾ a v i c e s
αραβικών	a ɾ a v i k o n
αρθεί	a ɾ θ i
ασυνήθιστεσ	a s i n i θ i s t e s
αυστριακό	a f s t ɾ i a k o
αυτοκινητόδρομοσ	a f t o c i n i t o ð ɾ o m o s
αφέντησ	a f e n d i s
αφοι	a f i
βάνα	v a n a
βαθμολογική	v a θ m o l o ʝ i c i
βαλεντίνο	v a l e n d i n o
βαλκανικήσ	v a l k a n i c i s
βαλκανικό	v a l k a n i k o
βαράει	v a ɾ a i
βασιζόταν	v a s i z o t a n
βασιλάκησ	v a s i l a c i s
βατόμουρα	v a t o m u ɾ a
βεργίνα	v e ɾ ʝ i n a
βολικά	v o l i k a
βουλιάζει	v u ʎ a z i
βούλγαροσ	v u l ɣ a ɾ o s
βούρκο	v u ɾ k o
βρίζουν	v ɾ i z u n
βρώμα	v ɾ o m a
γάμμα	ɣ a m a
γαμω	ɣ a m o
γενετήσ	ʝ e n e t i s
γεννήσεων	ʝ e n i s e o n
γκονζάλεσ	ɡ o n z a l e s
γλυκερία	ɣ l i c e ɾ i a
γλυκια	ɣ l i c a
γουντ	ɣ u n d
γούστου	ɣ u s t u
γραβάτεσ	ɣ ɾ a v a t e s
γύρη	ʝ i ɾ i
δαπ	ð a p
δεκαριά	ð e k a ɾ ʝ a
δεκτοί	ð e k t i
δεσμεύει	ð e z m e v i
δεσμεύτηκε	ð e z m e f t i c e
δημοσίουσ	ð i m o s i u s
δημοσιευμένο	ð i m o s i e v m e n o
διαδηλώνουν	ð i̯ a ð i l o n u n
διαδραματίζει	ð i̯ a ð ɾ a m a t i z i
διατέθηκαν	ð i̯ a t e θ i k a n
διεξοδικά	ð i e k s o ð i k a
διευρύνει	ð i e v ɾ i n i
δικαιούχων	ð i c e u x o n
δικοσ	ð i k o s
διπλο	ð i p l o
διόπτρα	ð i o p t ɾ a
δραγούμη	ð ɾ a ɣ u m i
δυσαρεστημένοσ	ð i s a ɾ e s t i m e n o s
δυσκοιλιότητα	ð i s c i ʎ o t i t a
δυστυχισμένοσ	ð i s t i ç i z m e n o s
εγγυηθεί	e ŋ ɟ i i θ i
εγκλημα	e ŋ ɡ l i m a
εκπαιδευτέσ	e k p e ð e f t e s
εκπνοή	e k p n o i
εκπροσώπησησ	e k p ɾ o s o p i s i s
εκτυλίσσεται	e k t i l i s e t e
εκφράστηκε	e k f ɾ a s t i c e
ενσωματωμένα	e n s o m a t o m e n a
ενώνεται	e n o n e t e
ενώσουν	e n o s u n
εξέδωσαν	e k s e ð o s a n
εξαιρείται	e k s e ɾ i t e
εξακολουθούσε	e k s a k o l u θ u s e
εξαπολύει	e k s a p o l i i
εξερεύνησησ	e k s e ɾ e v n i s i s
εξεύρεση	e k s e v ɾ e s i
εορτάζεται	e o ɾ t a z e t e
επέστρεφαν	e p e s t ɾ e f a n
επίσημουσ	e p i s i m u s
επαναλάβουμε	e p a n a l a v u m e
επηρεάστηκε	e p i ɾ e a s t i c e
επιδρά	e p i ð ɾ a
επιθεωρήσεισ	e p i θ e o ɾ i s i s
επιθυμούμε	e p i θ i m u m e
επιθυμούσαν	e p i θ i m u s a n
επιμόρφωσησ	e p i m o ɾ f o s i s
επόπτησ	e p o p t i s
εργολάβο	e ɾ ɣ o l a v o
ερμηνεύοντασ	e ɾ m i n e v o n d a s
ευαγγελάτοσ	e v a ŋ ɟ e l a t o s
ευγενών	e v ʝ e n o n
ευγνωμοσύνησ	e v ɣ n o m o s i n i s
ευθύμιοσ	e f θ i m i o s
ηθικούσ	i θ i k u s
ηλεκτροσόκ	i l e k t ɾ o s o k
ηπατική	i p a t i c i
ηφαιστείου	i f e s t i u
θεραπευτικό	θ e ɾ a p e f t i k o
θηβαίοσ	θ i v e o s
θριάμβου	θ ɾ i a ɱ v u
ιδιοι	i ð i i
ιερούσ	i e ɾ u s
ιππείσ	i p i s
ιπτάμενοσ	i p t a m e n o s
ισπανό	i s p a n o
ισχύσει	i s ç i s i
ιτ	i t
κάβο	k a v o
καθολικών	k a θ o l i k o n
κακομαθημένο	k a k o m a θ i m e n o
καλέσεισ	k a l e s i s
καμίνησ	k a m i n i s
κανονικούσ	k a n o n i k u s
καρόλου	k a ɾ o l u
κατάργησε	k a t a ɾ ʝ i s e
κατέβουν	k a t e v u n
κατήργησε	k a t i ɾ ʝ i s e
καταδικάζουν	k a t a ð i k a z u n
καταζητείται	k a t a z i t i t e
καταλυτική	k a t a l i t i c i
καταπολέμησησ	k a t a p o l e m i s i s
κατασκευάσουν	k a t a s c e v a s u n
κατηγορούσε	k a t i ɣ o ɾ u s e
καυγάδεσ	k a v ɣ a ð e s
κεθεα	c e θ e a
κινδυνεύουμε	c i n ð i n e v u m e
κινδυνοσ	c i n ð i n o s
κλασσικήσ	k l a s i c i s
κλειτορίδα	k l i t o ɾ i ð a
κληρώσεισ	k l i ɾ o s i s
κλιφ	k l i f
κοιτασμάτων	c i t a z m a t o n
κορ	k o ɾ
κουίκ	k u i k
κουνουπιών	k u n u p ç o n
κουτιού	k u t ç u
κρίκουσ	k ɾ i k u s
κσ	k s
κόμβου	k o ɱ v u
λαφαζάνησ	l a f a z a n i s
λεπτόσ	l e p t o s
λιτλ	l i t l
λογιστικού	l o ʝ i s t i k u
λογοκρισίασ	l o ɣ o k ɾ i s i a s
λόχου	l o x u
μάγειρα	m a ʝ i ɾ a
μαγνήτη	m a ɣ n i t i
μαζεμένα	m a z e m e n a
μαθηματικού	m a θ i m a t i k u
μαθησιακέσ	m a θ i s i a c e s
μασχάλεσ	m a s x a l e s
μαχαιριά	m a ç e ɾ ʝ a
μενει	m e n i
μετακόμισαν	m e t a k o m i s a n
μεταναστεύουν	m e t a n a s t e v u n
μετατράπηκαν	m e t a t ɾ a p i k a n
μεταφορείσ	m e t a f o ɾ i s
μεταχειρισμένο	m e t a ç i ɾ i z m e n o
μετείχαν	m e t i x a n
μετεγκατάσταση	m e t e ŋ ɡ a t a s t a s i
μεχμέτ	m e x m e t
μιση	m i s i
μπαρούτι	b a ɾ u t i
μπλέκει	b l e c i
μποτ	b o t
μπρελόκ	b ɾ e l o k
μόνουσ	m o n u s
νέκταρ	n e k t a ɾ
νεκροψία	n e k ɾ o p s i a
νεώτερη	n e o t e ɾ i
νοημα	n o i m a
νοσοκόμεσ	n o s o k o m e s
ντίσκο	d i s k o
νταβίντ	d a v i n d
ντομ	d o m
ντοστογιέφσκι	d o s t o ʝ e f s c i
ντυθείτε	d i θ i t e
ξυλείασ	k s i l i a s
ονομάσω	o n o m a s o
οπα	o p a
οργανωμένων	o ɾ ɣ a n o m e n o n
ορισμούσ	o ɾ i z m u s
πάθατε	p a θ a t e
πέτρινη	p e t ɾ i n i
παιανία	p e a n i a
παλμών	p a l m o n
πανηγυρικά	p a n i ʝ i ɾ i k a
παράθεση	p a ɾ a θ e s i
παρασκευέσ	p a ɾ a s c e v e s
παρατηρήσεων	p a ɾ a t i ɾ i s e o n
παρενέβη	p a ɾ e n e v i
παρκινγκ	p a ɾ c i ŋ ɡ
πατήσετε	p a t i s e t e
πεζόσ	p e z o s
πεπ	p e p
περιοριστούν	p e ɾ i o ɾ i s t u n
πεσει	p e s i
πετρίδησ	p e t ɾ i ð i s
πετυχημένοσ	p e t i ç i m e n o s
πιθανήσ	p i θ a n i s
πλακών	p l a k o n
πληγωμένοσ	p l i ɣ o m e n o s
πραξεισ	p ɾ a k s i s
προαναφέρθηκε	p ɾ o a n a f e ɾ θ i c e
προδίδουν	p ɾ o ð i ð u n
προσαρμοσμένη	p ɾ o s a ɾ m o z m e n i
προσαρμοσμένο	p ɾ o s a ɾ m o z m e n o
προσβαση	p ɾ o z v a s i
προσγειώνεται	p ɾ o z ʝ i o n e t e
πόρτερ	p o ɾ t e ɾ
ραχήλ	ɾ a ç i l
ριζοσπάστησ	ɾ i z o s p a s t i s
ροντρίγκεζ	ɾ o n d ɾ i ŋ ɟ e z
σέρμαν	s e ɾ m a n
σεξουαλικών	s e k s u a l i k o n
σημαδεύει	s i m a ð e v i
σιδηροδρόμου	s i ð i ɾ o ð ɾ o m u
σκίζει	s c i z i
σκεπάζει	s c e p a z i
σκυτάλη	s c i t a l i
στέμματοσ	s t e m a t o s
στήριζαν	s t i ɾ i z a n
στήσιμο	s t i s i m o
σταθάκη	s t a θ a c i
στεφανίδη	s t e f a n i ð i
στηθοσ	s t i θ o s
στράφηκαν	s t ɾ a f i k a n
συζητήθηκαν	s i z i t i θ i k a n
συζητήσω	s i z i t i s o
συμβατότητα	s i ɱ v a t o t i t a
συμπληρώσω	s i m b l i ɾ o s o
συνδέοντασ	s i n ð e o n d a s
συνδικάτου	s i n ð i k a t u
συνεχισε	s i n e ç i s e
σφιχτό	s f i x t o
σώζουν	s o z u n
τέφρα	t e f ɾ a
τήρησε	t i ɾ i s e
τίθενται	t i θ e n d e
ταρ	t a ɾ
τελείται	t e l i t e
τζίροσ	d͡z i ɾ o s
τηλεχειριστήριο	t i l e ç i ɾ i s t i ɾ i o
τιμήσουμε	t i m i s u m e
τοσκάνη	t o s k a n i
τρίχασ	t ɾ i x a s
τραγουδάκι	t ɾ a ɣ u ð a c i
τραγουδια	t ɾ a ɣ u ð ʝ a
τραυματισμένο	t ɾ a v m a t i z m e n o
τρελαίνονται	t ɾ e l e n o n d e
τροχαίων	t ɾ o ç e o n
τυλιγμένο	t i l i ɣ m e n o
υπαξιωματικών	i p a k s i o m a t i k o n
υπερβολικόσ	i p e ɾ v o l i k o s
υπηρεσιακή	i p i ɾ e s i a c i
υποδέχτηκαν	i p o ð e x t i k a n
φέλιξ	f e l i k s
φέρεστε	f e ɾ e s t e
φθόνο	f θ o n o
φιλικού	f i l i k u
φιλοξενήσουν	f i l o k s e n i s u n
φιλοσόφουσ	f i l o s o f u s
φιλόσοφο	f i l o s o f o
φιτζέραλντ	f i d͡z e ɾ a l d
φονικέσ	f o n i c e s
φορέσουμε	f o ɾ e s u m e
φούλαμ	f u l a m
φυλακίστηκε	f i l a c i s t i c e
φυση	f i s i
φωνάξεισ	f o n a k s i s
φόντα	f o n d a
φόραγε	f o ɾ a ʝ e
φύγανε	f i ɣ a n e
χάριτοσ	x a ɾ i t o s
χαζέσ	x a z e s
χαλαρώσεισ	x a l a ɾ o s i s
χαρακτήρισαν	x a ɾ a k t i ɾ i s a n
χορηγίασ	x o ɾ i ʝ i a s
χρειαζομαστε	x ɾ i a z o m a s t e
χωρία	x o ɾ i a
ψήφισα	p s i f i s a
ψηφίσετε	p s i f i s e t e
όχημά	o ç i m a
άψογο	a p s o ɣ o
άψυχο	a p s i x o
έκριναν	e k ɾ i n a n
έλειπα	e l i p a
έμβρυα	e ɱ v ɾ i a
ένοπλοσ	e n o p l o s
έντιμη	e n d i m i
έπαψαν	e p a p s a n
αίολοσ	e o l o s
αγάπησαν	a ɣ a p i s a n
αγαπήσαμε	a ɣ a p i s a m e
αγγελικήσ	a ŋ ɟ e l i c i s
αθώεσ	a θ o e s
αιχμαλώτων	e x m a l o t o n
ακαμψία	a k a m p s i a
αλίκησ	a l i c i s
ανάπλασησ	a n a p l a s i s
ανέχονται	a n e x o n d e
αναγνωρίσετε	a n a ɣ n o ɾ i s e t e
αναδεικνύουν	a n a ð i k n i u n
ανακάλεσε	a n a k a l e s e
ανακαλεί	a n a k a l i
ανακρίσεισ	a n a k ɾ i s i s
αναπνευστήρα	a n a p n e f s t i ɾ a
αναστάσιο	a n a s t a s i o
αναταραχέσ	a n a t a ɾ a ç e s
αναψυχή	a n a p s i ç i
ανεβείτε	a n e v i t e
ανεκτικότητα	a n e k t i k o t i t a
ανεπαρκείσ	a n e p a ɾ c i s
ανιχνεύσει	a n i x n e f s i
ανοικτόσ	a n i k t o s
αντζελίνα	a n d͡z e l i n a
αξιοκρατία	a k s i o k ɾ a t i a
απατά	a p a t a
αποκλείονται	a p o k l i o n d e
αποκοπή	a p o k o p i
αποκριάσ	a p o k ɾ i a s
αποκτάσ	a p o k t a s
απομονωμένοσ	a p o m o n o m e n o s
αποτυπωμάτων	a p o t i p o m a t o n
αποφθέγματα	a p o f θ e ɣ m a t a
αράχνησ	a ɾ a x n i s
αρθούροσ	a ɾ θ u ɾ o s
αρτηρίασ	a ɾ t i ɾ i a s
ασκούσε	a s k u s e
ασχολία	a s x o l i a
αυξήστε	a f k s i s t e
αυστηρήσ	a f s t i ɾ i s
αφίξεων	a f i k s e o n
αφησεισ	a f i s i s
αύξησαν	a f k s i s a n
βίαιησ	v i e i s
βαλβέρδε	v a l v e ɾ ð e
βαρόνοσ	v a ɾ o n o s
βιοποικιλότητα	v i o p i c i l o t i t a
βο	v o
βουλευτική	v u l e f t i c i
βρούν	v ɾ u n
γέλασα	ʝ e l a s a
γδ	ɣ ð
γενομένησ	ʝ e n o m e n i s
γεράσει	ʝ e ɾ a s i
γιούσ	ʝ u s
γκαν	ɡ a n
γκολντ	ɡ o l d
γκόμενά	ɡ o m e n a
γλουτούσ	ɣ l u t u s
γλυφαδα	ɣ l i f a ð a
γλωσσικέσ	ɣ l o s i c e s
γνωρίζονται	ɣ n o ɾ i z o n d e
γουάν	ɣ u a n
γουόρντ	ɣ u o ɾ d
γυρνάνε	ʝ i ɾ n a n e
γόμα	ɣ o m a
γόνατά	ɣ o n a t a
δέχονταν	ð e x o n d a n
δεσμού	ð e z m u
διαιρείται	ð i e ɾ i t e
διακινητέσ	ð i̯ a c i n i t e s
διαφημιστικέσ	ð i̯ a f i m i s t i c e s
διαφορεσ	ð i̯ a f o ɾ e s
διαφορετικα	ð i̯ a f o ɾ e t i k a
δικαστικοί	ð i k a s t i c i
δομικό	ð o m i k o
δομικών	ð o m i k o n
δραχμήσ	ð ɾ a x m i s
δωδεκανήσων	ð o ð e k a n i s o n
δωσεισ	ð o s i s
εγγυημένη	e ŋ ɟ i i m e n i
εγκαθίσταται	e ŋ ɡ a θ i s t a t e
εδέσματα	e ð e z m a t a
ειδικο	i ð i k o
εικαστικέσ	i k a s t i c e s
εισαγόμενα	i s a ɣ o m e n a
εκτέθηκε	e k t e θ i c e
εκτιμούσε	e k t i m u s e
εκτυπωτέσ	e k t i p o t e s
εκτυπώσεισ	e k t i p o s i s
ελαιώνεσ	e l e o n e s
ελεγχόμενεσ	e l e ŋ x o m e n e s
εμπιστευόμαστε	e m b i s t e v o m a s t e
ενασχόλησή	e n a s x o l i s i
εξέχουσα	e k s e x u s a
εξακολουθείσ	e k s a k o l u θ i s
εξασθενεί	e k s a s θ e n i
εξελιξη	e k s e l i k s i
εξωσωματική	e k s o s o m a t i c i
επίτιμο	e p i t i m o
επιλεγμένη	e p i l e ɣ m e n i
ερμηνευτέσ	e ɾ m i n e f t e s
εσπερινό	e s p e ɾ i n o
εφηύρε	e f i v ɾ e
εφοπλιστών	e f o p l i s t o n
ηγεμόνα	i ʝ e m o n a
ηλεκτρισμόσ	i l e k t ɾ i z m o s
ηπατίτιδασ	i p a t i t i ð a s
ηρεμήσεισ	i ɾ e m i s i s
θεατρικόσ	θ e a t ɾ i k o s
θεόν	θ e o n
θυμώσει	θ i m o s i
ικανοποίησησ	i k a n o p i i s i s
ινδικά	i n ð i k a
ιπποτών	i p o t o n
ιπτάμενη	i p t a m e n i
κίνησε	c i n i s e
κίτρινοσ	c i t ɾ i n o s
καθαριστεί	k a θ a ɾ i s t i
καιρών	c e ɾ o n
καμήλεσ	k a m i l e s
καμπούλ	k a m b u l
κατάγονται	k a t a ɣ o n d e
καταθέσουν	k a t a θ e s u n
κατσίκεσ	k a t͡s i c e s
κιντ	c i n d
κλειστεί	k l i s t i
κλειστο	k l i s t o
κολάζ	k o l a z
κολλήσουν	k o l i s u n
κουβαλάμε	k u v a l a m e
κρέπεσ	k ɾ e p e s
κρατήσεων	k ɾ a t i s e o n
κριτικό	k ɾ i t i k o
κρουαζιερόπλοιο	k ɾ u a z i e ɾ o p l i o
κυριαρχούσε	c i ɾ i a ɾ x u s e
κόκκινησ	k o c i n i s
κόκκινουσ	k o c i n u s
κόλλησαν	k o l i s a n
λειπει	l i p i
λεξεισ	l e k s i s
λεπέν	l e p e n
λιγοτερο	l i ɣ o t e ɾ o
λογιστικό	l o ʝ i s t i k o
λοχία	l o ç i a
μαγαζάκι	m a ɣ a z a c i
μαγειρέματοσ	m a ʝ i ɾ e m a t o s
μακαρίτη	m a k a ɾ i t i
μανιταριών	m a n i t a ɾ ʝ o n
μεταβατικό	m e t a v a t i k o
μιχαηλ	m i x a i l
μοιράζουν	m i ɾ a z u n
μοναχού	m o n a x u
μονομερή	m o n o m e ɾ i
μουνιά	m u ɲ a
μπουθ	b u θ
μπροστινά	b ɾ o s t i n a
νάπα	n a p a
νίκα	n i k a
νίκασ	n i k a s
νίκι	n i c i
ναζαρέτ	n a z a ɾ e t
ναζισμό	n a z i z m o
νεκροταφεία	n e k ɾ o t a f i a
νεκταρίου	n e k t a ɾ i u
νικίτα	n i c i t a
νικολά	n i k o l a
νικολέτα	n i k o l e t a
