af	a f
kraftigste	k r a f t i s t ə
krænkende	k r ɛ n k ə n ə
kvickly	k v e k l yː
kølige	k ø l i ə
linker	l e n k ə r
lykkeligere	l ø k ə l i ɡ eː r ə
mager	m aː ɣ ə r
manipulere	m a n i p u l eː r ə
mekanisme	m e k a n i s m ə
mitt	m e t
nordvestlige	n ɔ r v ɛ s t l i ə
nøj	n ø j
nøjagtighed	n ø j a ɡ t i h e ðˀ
ofrede	ɔ f r eː ð ə
omvende	ɔ m v ɛ n ə
optisk	ɔ p t i s k
ordforråd	o r f ɔ r ɔ d
organiserer	ɔ r ɡ a n i s eː r ə r
overskydende	ɔ v ə r s k yː d ə n ə
paprika	p a p r i k a
photoshop	f o t o s h ɔ p
pie	p iː ə
pilen	p iː l ə n
pragtfulde	p r a k t f u l ə
prison	p r i s oː n
progressive	p r o ɡ r ɛ s iː v ə
rejsekort	r a j s ə k ɔ r t
rigelig	r iː ə l i
rullede	r u l ə ð ə
rumble	r o m b l ə
sammensatte	s a m ə n s a t ə
sataner	s a t aː n ə r
sentimental	s ɛ n t i m ə n t aː l
skikke	s k e k ə
skitser	s k i t s ə r
skru	s k r uːˀ
skyndte	s k ø n t ə
slide	s l iː ð ə
smutte	s m u t ə
solide	s o l iː ð ə
sportschef	s p ɔ r t s j ɛː f
stempel	s t ɛ m p ə l
stick	s t e k
stirrede	s t e r ə ð ə
styrter	s t y r t ə r
sænkes	s ɛ n k ə s
toscana	t o s k aː n a
trængende	t r ɛ n ɡ ə n ə
tænketank	t ɛ n k ə t a n k
undertrykke	o n ə r t r ø k ə
vang	v a n ɡ
varig	v aː r i
varsler	v a r s l ə r
velgørende	v ɛ l ɡ øː r ə n ə
villaer	v i l aː ə r
wat	v a t
wish	v i s j
yamaha	j a m a h a
afprøvet	a f p r øː v ə ð
afsides	a f s iː d ə s
angivelse	a n ɡ iː v ə l s ə
anlægges	a n l ɛ ɡ ə s
assad	a s a d
astra	a s t r a
barney	b a r n i
blære	b l ɛː r ə
blæs	b l ɛː s
bundlinjen	b o n l e n j ə n
carport	k a r p ɔ r t
concept	k ɔ n s ɛ p t
dakota	d a k o t a
davids	d a v i s
debatindlæg	d e b a t e n l ɛ ɡ
dell	d ɛ lˀ
dominic	d o m i n i k
duften	d o f t ə n
dåben	d ɔː b ə n
dælen	d ɛː l ə n
enklere	ɛ n k l eː r ə
fiorentina	f i o r ə n t iː n a
flower	f l ɔ w ə r
fodbolden	f o d b ɔ l ə n
forbuddet	f ɔ r b u d ə t
forbød	f ɔ r b øː d
forhør	f ɔ r h øːˀ r
forsyner	f ɔ r s yː n ə r
fortsættes	f ɔ r t s ɛ t ə s
forvist	f ɔ r v e s t
frans	f r a n s
franskmand	f r a n s k m a n d
fængslede	f ɛ n ɡ s l eː ð ə
førend	f øː r ə n
gb	ɡ eː b eː
greene	ɡ r eː n ə
hajer	h a j ə r
hawk	h a w k
helligånden	h ɛ l i ɡ ɔ n ə n
henderson	h ɛ n ə r s oː n
herredet	h ɛ r ə ð ə ð
hinsides	h e n s iː d ə s
hjemkomst	j ɛ m k ɔ m s t
hyggede	h y ɡ ə ð ə
indtægterne	e n t ɛ ɡ t ə r n ə
indviklet	e n v e k l ə ð
investeres	e n v ɛ s t eː r ə s
iskoldt	i s k ɔ l t
janus	j a n u s
kajen	k a j ə n
kano	k a n o
kapitalen	k a p i t aː l ə n
kastes	k a s t ə s
kirkes	k i r k ə s
kniber	k n iː b ə r
koncern	k ɔ n s ɛ r n
kuld	k u lˀ
lokalitet	l o k a l i t eː t
lucia	l u s j a
marv	m a r v
mildest	m i l ə s t
mirror	m i r oː r
monkey	m ɔ n k i
myrer	m yː r ə r
nabolandene	n a b o l a n ə n ə
nirvana	n i r v aː n a
opklare	ɔ p k l aː r ə
optøjer	ɔ p t ø j ə r
organisatorisk	ɔ r ɡ a n i s a t oː r i s k
overlader	ɔ v ə r l aː d ə r
patrulje	p a t r u l j ə
pinde	p e n ə
prima	p r iː m a
rica	r i k a
rigets	r iː ə ð s
sangerinde	s a n ɡ ə r e n ə
skindet	s k e n ə ð
skip	s k i p
spillene	s p e l ə n ə
spins	s p e n s
sviner	s v iː n ə r
sylvia	s y l v i æ
systemets	s y s t ə m ɛ t s
tampa	t a m p a
ter	t ɛ r
thorbjørn	t ɔ r b j œ r n
tilflugt	t e l f l o k t
titan	t i t aː n
trættende	t r ɛ t ə n ə
udskiftes	u d s k e f t ə s
udtales	u d t aː l ə s
underskriver	o n ə r s k r iː v ə r
varet	v aː r ə ð
vellykkede	v ɛ l ø k ə ð ə
ventetiden	v ɛ n t ə t iː d ə n
voldemort	v ɔ l ə m ɔ r t
yale	j aː l ə
åndedræt	ɔ n ə d r ɛ t
årer	ɔː r ə r
afholdelse	a f h ɔ l ə l s ə
afspiller	a f s p e l ə r
alarmen	a l a r m ə n
assistere	a s i s t eː r ə
aurora	a v r oː r a
barrett	b a r ɛ t
behårede	b e h ɔː r ə ð ə
bekræftes	b e k r ɛ f t ə s
bjørnen	b j œ r n ə n
blotte	b l ɔ t ə
brors	b r ɔ r s
brus	b r uː s
caféen	k a f eː ə n
carlsen	k a r l s ə n
diaz	d i aː s
direction	d i r ɛ k s j oː n
direktiv	d i r ɛ k t iː v
eksklusiv	ɛ k s k l u s iː v
engagere	ɛ n ɡ a ɡ eː r ə
entusiasme	ɛ n t u s j a s m ə
forstander	f ɔ r s t a n ə r
forsvinden	f ɔ r s v e n ə n
forsætte	f ɔ r s ɛ t ə
frigives	f r i ɡ iː v ə s
fryseren	f r y s eː r ə n
fundamentale	f ɔ n d a m ə n t aː l ə
fur	f uːˀ r
fælledparken	f ɛ l ə d p a r k ə n
førnævnte	f œ r n ɛ v n t ə
førsteklasses	f œ r s t ə k l a s ə s
glitter	ɡ l e t ə r
graffiti	ɡ r a f i t iː
gribende	ɡ r iː b ə n ə
hertugen	h ɛ r t uː ə n
hjerner	j ɛ r n ə r
host	h ɔ s t
indtrængende	e n t r ɛ n ɡ ə n ə
instans	e n s t a n s
kandidatur	k a n d i d a t uː r
kneb	k n eː b
kolonien	k o l o n i ə n
kommandant	k ɔ m a n d a n t
kran	k r aː n
kunstens	k o n s t ɛ n s
location	l o k a ɕ oˀ n
læ	l ɛː
lægemiddel	l ɛː ɣ ə m i d ə l
milo	m iː l o
mom	m ɔ m
målmanden	m ɔ l m a n ə n
natural	n a t u r aː l
opbrugt	ɔ b r o k t
overgivelse	ɔ v ə r ɡ iː v ə l s ə
partners	p a r t n ə r s
rangers	r a n ɡ ə r s
raser	r aː s ə r
regulerer	r ɛ ɡ u l eː r ə r
rotte	r ɔ t ə
rotten	r ɔ t ə n
rørene	r øː r ə n ə
serge	s ɛ r ɣ ə
sister	s e s t ə r
skraber	s k r aː b ə r
slank	s l a n k
snævre	s n ɛ v r ə
spirer	s p iː r ə r
sprinter	s p r e n t ə r
sprit	s p r i t
svine	s v iː n ə
sæk	s ɛ k
sønnens	s œ n ə n s
tam	t a m
theodore	t e o d oː r ə
tilfredsstillelse	t e l f r e s s t e l ə l s ə
tillægger	t e l ɛ ɡ ə r
tilsluttede	t e l s l u t ə ð ə
tilsættes	t e l s ɛ t ə s
trolde	t r ɔ l ə
tropisk	t r oː p i s k
ulfborg	u l f b ɔ r v
usynligt	u s yː n l i t
venners	v ɛ n ə r s
visit	v i s i t
wa	v a
weiss	v a j s
åge	ɔː ɣ ə
affyre	a f yː r ə
aflægger	a f l ɛ ɡ ə r
aloe	a l oː ə
anføres	a n f øː r ə s
arbejdsgivere	a r b a j d s ɡ iː v ə r ə
ash	a s j
aye	a j ə
balle	b a l ə
bassin	b a s iː n
begreberne	b e ɡ r eː b ə r n ə
bekvemt	b e k v ɛ m t
bizarre	b i s a r ə
boble	b oː b l ə
brenda	b r ɛ n d a
busserne	b u s ə r n ə
card	k a r d
carson	k a r s oː n
censor	s ɛ n s ɔ r
circle	s i r k l ə
congo	k ɔ n ɡ o
corporation	k ɔ r p o r a ɕ oˀ n
coveret	k ɔ v ə r ɛ t
dat	d a t
diplom	d i p l ɔ m
direktører	d i r ɛ k t øː r ə r
donation	d o n a ɕ oˀ n
enkeltpersoner	ɛ n k ə l t p ɛ r s oː n ə r
enter	ɛ n t ə r
federe	f eː d ə r ə
fedest	f eː ð ə s t
folkeslag	f ɔ l k ə s l aː ɣ
forhandlere	f ɔ r h a n l eː r ə
forårs	f ɔ r ɔ r s
frankie	f r a n k i ə
frøene	f r øː ə n ə
gangene	ɡ a n ɡ ə n ə
gennemslagskraft	ɡ ɛ n ə m s l aː ɣ s k r a f t
glødende	ɡ l øː ð ə n ə
grete	ɡ r eː t ə
greven	ɡ r eː v ə n
hyppigst	h y p i s t
hætte	h ɛ t ə
hørende	h øː r ə n ə
indkalde	e n k a l ə
indkørslen	e n k ø r s l ə n
intime	e n t iː m ə
ivrigt	i v r e k t
kapsel	k a p s ə l
kato	k a t o
keld	k ɛ lˀ
kiosk	k i ɔ s k
kirurgiske	k i r u r ɡ i s k ə
klienten	k l i ɛ n t ə n
knyttede	k n ø t ə ð ə
koble	k oː b l ə
kravlede	k r a v l eː ð ə
landsmøde	l a n s m øː ð ə
levi	l e v iː
læberne	l ɛː b ə r n ə
læk	l ɛ k
lækket	l ɛ k ə ð
marlene	m a r l eː n ə
mate	m aː t ə
menig	m eː n i
merry	m ɛ r i
niki	n i k i
oneplus	oː n ə p l uː s
opereres	ɔ p ə r eː r ə s
opfattelser	ɔ p f a t ə l s ə r
oplært	ɔ p l ɛ r t
oste	ɔ s t ə
overlegne	ɔ v ə r l a j n ə
pennen	p ɛ n ə n
picasso	p i k a s o
pippi	p i p i
plat	p l a t
puds	p u s
puslespil	p u s l ə s p iː l
påbegynder	p ɔː b ə ɡ ø n ə r
ragnar	r a v n a r
remy	r e m yː
ripper	r e p ə r
skytter	s k ø t ə r
skønnes	s k œ n ə s
sluger	s l uː ə r
slør	s l øːˀ r
sommertid	s ɔ m ə r t i ðˀ
speak	s p iː k
spekulere	s p e k u l eː r ə
spiral	s p i r aː l
spole	s p oː l ə
sportsdirektør	s p ɔ r t s d i r ɛ k t øː r
statistikker	s t a t i s t e k ə r
suv	s uːˀ v
sydvestlige	s y ð v ɛ s t l i ə
sydøstlige	s y d ø s t l i ə
sømænd	s ø m ɛ n d
takter	t a k t ə r
technology	t ɛ k n o l o ɡ yː
transformation	t r a n s f ɔ r m a ɕ oˀ n
truck	t r o k
tys	t yː s
ualmindelig	u a l m e n ə l i
uddele	u d ə l ə
uss	u s
vader	v aː d ə r
vallensbæk	v a l ə n s b ɛ k
vatikanet	v a t i k a n eː t
vibrationer	v i b r a ɕ oˀ n ə r
væbnede	v ɛː b n ə ð ə
walsh	v a l s j
weber	v eː b ə r
whiskey	v i s k i
yvonne	y v ɔ n ə
administrere	a d m i n i s t r eː r ə
afrikas	a f r i k aː s
aggressivt	a ɡ r ɛ s i v t
alfabetisk	a l f a b eː t i s k
alicia	a l i s j a
altsammen	a l t s a m ə n
arbejdsindsats	a r b a j d s e n s a t s
baba	b aː b a
bagi	b aː ɡ i
bamser	b a m s ə r
bom	b ɔ m
born	b ɔ r n
bryggen	b r ø ɡ ə n
brændes	b r ɛ n ə s
citatet	s i t a t eː t
clayton	k l æ j t ɔ n
code	k oː d ə
divisionen	d i v i s j oː n ə n
druk	d r o k
dræbes	d r ɛː b ə s
dufte	d o f t ə
entré	ɛ n t r eː
erhvervsdrivende	ɛ r v ɛ r v s d r iː v ə n ə
fiktive	f e k t iː v ə
forladte	f ɔ r l a t ə
forsinke	f ɔ r s e n k ə
forvirrede	f ɔ r v i r ə ð ə
førstnævnte	f œ r s t n ɛ v n t ə
garagen	ɡ a r aː ɣ ə n
gorilla	ɡ o r i l a
göteborg	ɡ øː t ə b ɔ r ɡ
hadsten	h a s t ə n
hertha	h ɛ r t h a
huggede	h o ɡ ə ð ə
hæld	h ɛ lˀ
indstillede	e n s t e l ə ð ə
installatør	e n s t a l a t øː r
kabinet	k a b i n eː t
kalle	k a l ə
karat	k a r aː t
kia	k iː æ
knox	k n ɔ k s
kommunist	k ɔ m u n i s t
kostbare	k ɔ s t b aː r ə
kraftfulde	k r a f t f u l ə
krumme	k r o m ə
labyrint	l a b y r e n t
lammet	l a m ə ð
lejebolig	l a j ə b oː l i
lens	l ɛ n s
ligene	l iː ə n ə
limousine	l i m u s iː n ə
loke	l oː k ə
lænker	l ɛ n k ə r
mango	m a n ɡ o
marienlyst	m a r i ə n l ø s t
massa	m a s a
meddelelsen	m ɛ ð ə l ɛ l s ə n
mekanismer	m e k a n i s m ə r
metaller	m e t a l ə r
modvind	m o ð v e n d
mægtigste	m ɛ ɡ t i s t ə
nigel	n iː ə l
nisser	n i s ə r
nærer	n ɛː r ə r
opfyldte	ɔ p f y l t ə
overborgmester	ɔ v ə r b ɔ r m ɛ s t ə r
overtages	ɔ v ə r t aː ɣ ə s
paradoks	p a r a d ɔ k s
pigens	p iː ə n s
portefølje	p ɔ r t ə f ø l j ə
privacy	p r i v a s iː
psykopater	s y k o p aː t ə r
påvise	p ɔ v iː s ə
quentin	k w ɛ n t iː n
registreres	r ɛ ɡ i s t r eː r ə s
remis	r e m iː s
replikker	r e p l e k ə r
rifbjerg	r i f b j ɛ r ɣ
salonen	s a l oː n ə n
sammensværgelse	s a m ə n s v ɛ r ɣ ə l s ə
skallen	s k a l ə n
skibby	s k i b i
skytten	s k ø t ə n
smertefuldt	s m ɛ r t ə f u l t
spejderne	s p a j d ə r n ə
spidskandidat	s p i d s k a n d i d aː t
staver	s t aː v ə r
styreform	s t yː r ə f ɔ r m
supreme	s u p r eː m ə
syndebuk	s ø n ə b o k
sælgende	s ɛ l j ə n ə
talentfuld	t a l ɛ n t f u l d
templer	t ɛ m p l ə r
tex	t ɛ k s
transaktioner	t r a n s a k s j oː n ə r
trænes	t r ɛː n ə s
tænkelige	t ɛ n k ə l i ə
udlån	u d l ɔː n
utilstrækkelig	u t i l s t r ɛ k ə l i
vuggestuen	v o ɡ ə s t uː ə n
wan	v a n
ya	j a
ynder	ø n ə r
ældgamle	ɛ l ɡ a m l ə
aflyste	a f l ø s t ə
alvin	a l v iː n
anskaffe	a n s k a f ə
anså	a n s ɔ
arbejdspladserne	a r b a j d s p l a s ə r n ə
att	a t
bestikkelse	b e s t e k ə l s ə
billetten	b i l ɛ t ə n
borup	b o r u p
bunken	b o n k ə n
casey	k a s i
cathrine	k a t r iː n ə
cha	s j a
chief	s j iː f
compilation	k ɔ m p i l a ɕ oˀ n
cubanske	k u b aː n s k ə
dab	d aː b
diplomatiske	d i p l o m aː t i s k ə
domstole	d ɔ m s t oː l ə
duck	d o k
dynamics	d y n a m i k s
egedal	eː ɡ ə d aː l
egyptiske	e ɡ y p t i s k ə
enzymer	ɛ n s yː m ə r
fax	f a k s
flores	f l oː r ə s
follow	f ɔ l ɔ w
foreslåede	f ɔ r ə s l ɔː ə ð ə
formation	f ɔ r m a ɕ oˀ n
fraser	f r aː s ə r
gerningsmænd	ɡ ɛ r n e n ɡ s m ɛ n d
granny	ɡ r a n i
græskar	ɡ r ɛ s k a r
hjemmehørende	j ɛ m ə h øː r ə n ə
homoseksualitet	h o m o s ɛ k s u a l i t eː t
hoster	h ɔ s t ə r
hælene	h ɛː l ə n ə
industriens	e n d u s t r i ɛ n s
invitationer	e n v i t a ɕ oˀ n ə r
jaa	j aː
jessie	j ɛ s i ə
khader	k aː d ə r
klappede	k l a p ə ð ə
koen	k oː ə n
koncernens	k ɔ n s ɛ r n ɛ n s
konstaterede	k ɔ n s t a t eː r ə ð ə
kølig	k øː l i
linse	l e n s ə
lovene	l ɔ v ə n ə
massakre	m a s a k r ə
matador	m a t a d oː r
mina	m iː n a
mira	m iː r a
mislykkes	m i s l ø k ə s
mouse	m uː s ə
målestok	m ɔː l ə s t ɔ k
opdagelser	ɔ p d aː ɣ ə l s ə r
optrådt	ɔ p t r ɔ t
oversættes	ɔ v ə r s ɛ t ə s
pale	p aː l ə
parallel	p a r a l ɛ l
pingvin	p e n ɡ v iː n
pragtfuld	p r a k t f u l d
professional	p r o f ɛ s j o n aː l
reaktionen	r e a k s j oː n ə n
rettens	r ɛ t ə n s
rie	r iː ə
rouge	r uː ə
runden	r o n ə n
samarbejdede	s a m a r b a j d ə ð ə
samledes	s a m l eː ð ə s
sektorer	s ɛ k t oː r ə r
sensation	s ɛ n s a ɕ oˀ n
shadow	ɕ a d ɔ w
skrammel	s k r a m ə l
skriftligt	s k r e f t l i t
skue	s k uː ə
soldaten	s ɔ l d aː t ə n
somaliske	s o m aː l i s k ə
somre	s ɔ m r ə
sprogbrug	s p r ɔ v b r uːˀ
styrt	s t y r t
stærkest	s t ɛ r k ə s t
sundheds	s o n h e s
syngende	s ø n ɡ ə n ə
tandpleje	t a n p l a j ə
tastatur	t a s t a t uː r
velskrevet	v ɛ l s k r eː v ə ð
vinker	v e n k ə r
værne	v ɛ r n ə
whitney	v i t n i
yacht	j a x t
ypperste	ø p ə r s t ə
act	a k t
affærer	a f ɛː r ə r
afvikle	a f v e k l ə
albue	a l b uː ə
ambassaden	a m b a s aː d ə n
angels	a n ɡ ə l s
arken	a r k ə n
artist	a r t i s t
asken	a s k ə n
bagge	b a ɡ ə
barriere	b a r i eː r ə
befrielse	b e f r iː ə l s ə
beholdere	b e h ɔ l d eː r ə
beror	b e r oː r
bert	b ɛ r t
besvarede	b e s v aː r ə ð ə
besværlige	b e s v ɛ r l i ə
billetterne	b i l ɛ t ə r n ə
bindes	b e n ə s
blidt	b l i t
boldklubs	b ɔ l k l u b s
bone	b oː n ə
bronx	b r ɔ n k s
bys	b yː s
byt	b y t
bænke	b ɛ n k ə
cecil	s e s iː l
diskrete	d i s k r eː t ə
done	d oː n ə
dåser	d ɔː s ə r
elbil	ɛ l b iː l
etablerer	e t a b l eː r ə r
fastsætte	f a s t s ɛ t ə
festivaler	f ɛ s t i v aː l ə r
filosofien	f i l o s o f iː ə n
finansieres	f i n a n s j eː r ə s
flader	f l aː d ə r
flov	f l ɔ v
flådens	f l ɔː ð ə n s
forekomsten	f ɔ r ə k ɔ m s t ə n
forgænger	f ɔ r ɡ ɛ n ɡ ə r
fremført	f r ɛ m f œ r t
fut	f u t
føden	f øː ð ə n
genererer	ɡ e n ə r eː r ə r
gengive	ɡ ɛ n ɡ iː v ə
givent	ɡ i v ɛ n t
grafer	ɡ r aː f ə r
gæs	ɡ ɛː s
hammel	h a m ə l
helmer	h ɛ l m ə r
henvendelse	h ɛ n v ɛ n ə l s ə
hjemlandet	j ɛ m l a n ə ð
hjernens	j ɛ r n ə n s
hjerneskade	j ɛ r n ə s k aː d ə
holiday	h o l i d æ j
hook	h oː k
horse	h ɔ r s ə
humoristiske	h u m o r i s t i s k ə
husmor	h u s m oː r
højrefløj	h ø j r ə f l ø j
højskolen	h ø j s k oː l ə n
isabelle	i s a b ɛ l ə
johann	j o h a n
jubel	j uː b ə l
kablet	k a b l ɛ t
kamilla	k a m i l a
kk	k a k a
klimaanlæg	k l i m aː n l ɛ ɡ
klinger	k l e n ɡ ə r
konkluderer	k ɔ n k l u d eː r ə r
kortlægge	k ɔ r t l ɛ ɡ ə
lagret	l a ɣ r ɛ t
lejesoldater	l a j ə s ɔ l d aː t ə r
listet	l e s t ə ð
logistik	l o ɡ i s t i k
lægemiddelstyrelsen	l ɛː ɣ ə m i d ə l s t yː r ə l s ə n
malere	m a l eː r ə
mappen	m a p ə n
mass	m a s
medhjælper	m e ð j ɛ l p ə r
moser	m oː s ə r
ng	ɛ n ɡ
noa	n oː a
nøglerne	n ø j l ə r n ə
obligatoriske	ɔ b l i ɡ a t oː r i s k ə
olier	o l j ə r
ovenover	ɔ v ə n ɔ v ə r
overflader	ɔ v ə r f l aː d ə r
pair	p ɛ r
pensionen	p a n s j oː n ə n
plasma	p l a s m a
police	p o l iː s ə
pollen	p ɔ l ə n
praktikplads	p r a k t e k p l a s
påståede	p ɔ s t ɔː ə ð ə
rem	r ɛ mˀ
rift	r e f t
rækkehuse	r ɛ k ə h uː s ə
rødekro	r øː ð ə k r oː
røst	r ø s t
salto	s a l t o
sandsynlige	s a n s yː n l i ə
sangere	s a n ɡ eː r ə
saul	s a vˀ l
skoen	s k oː ə n
skolestart	s k oː l ə s t a r t
skrige	s k r iː ə
sokkel	s ɔ k ə l
spektakulære	s p ɛ k t a k u l ɛː r ə
spyt	s p y t
startes	s t a r t ə s
stu	s t uːˀ
stumper	s t o m p ə r
svampen	s v a m p ə n
svovl	s v ɔ vˀ l
sygehusene	s yː ə h uː s ə n ə
sært	s ɛ r t
talere	t a l eː r ə
tolkes	t ɔ l k ə s
tree	t r eː ə
trodser	t r ɔ s ə r
udslæt	u d s l ɛ t
veksler	v ɛ k s l ə r
våbnene	v ɔː b n ə n ə
værtshus	v ɛ r t s h uː s
øverstbefalende	øː v ə r s t b e f aː l ə n ə
adler	a d l ə r
afbrydes	a f b r yː ð ə s
afholdte	a f h ɔ l t ə
aktionen	a k s j oː n ə n
alperne	a l p ə r n ə
arc	a r k
archer	a r s j ə r
argumenterer	a r ɡ u m ɛ n t eː r ə r
atlanten	a t l a n t ə n
attraktive	a t r a k t iː v ə
barber	b a r b ə r
baser	b aː s ə r
beherske	b e h ɛ r s k ə
berry	b ɛ r i
bonden	b o n ə n
brønden	b r œ n ə n
buen	b uː ə n
bule	b uː l ə
byggeplads	b y ɡ ə p l a s
challenger	s j a l ɛ n ɡ ə r
connecticut	k ɔ n ɛ k t i k u t
coronavirus	k o r o n a v iː r u s
dansende	d a n s ə n ə
diskotek	d i s k o t ɛ k
diæt	d i ɛ t
domæner	d o m ɛː n ə r
feminist	f e m i n i s t
flor	f l oːˀ r
folkedrab	f ɔ l k ə d r aː b
frekvensen	f r ɛ k v ɛ n s ə n
fremhævede	f r ɛ m h ɛː v ə ð ə
friskoler	f r e s k oː l ə r
fyres	f yː r ə s
følsomt	f ø l s ɔ m t
gamer	ɡ aː m ə r
gardner	ɡ a r d n ə r
gnaven	ɡ n aː v ə n
graf	ɡ r aː f
herrerne	h ɛ r ə r n ə
himmelsk	h e m ə l s k
hjælpsom	j ɛ l p s ɔ m
hofte	h ɔ f t ə
humanitære	h u m a n i t ɛː r ə
ih	iː
imponerer	e m p o n eː r ə r
indebar	e n ə b a r
indvandrer	e n v a n d r ə r
indvendige	e n v ɛ n d i ə
inficerede	e n f i s eː r ə ð ə
kampsport	k a m p s p ɔ r t
kanonen	k a n oː n ə n
kapaciteten	k a p a s i t eː t ə n
klods	k l ɔ s
kolonier	k o l o n iː ə r
komma	k ɔ m a
kristine	k r i s t iː n ə
kærlige	k ɛ r l i ə
landsbyerne	l a n s b yː ə r n ə
langtfra	l a n ɡ t f r a
larver	l a r v ə r
lid	l i ð
limited	l i m i t eː d
lindre	l e n d r ə
linser	l e n s ə r
luge	l uː ə
maleren	m a l eː r ə n
manøvre	m a n ø v r ə
merchandise	m ɛ r s j a n d iː s ə
mid	m i ð
moralen	m o r aː l ə n
naturtyper	n a t u r t yː p ə r
nybegynder	n yː b ə ɡ ø n ə r
nylige	n yː l i ə
olga	ɔ l ɡ a
operatør	ɔ p ə r a t øː r
opløse	ɔ p l øː s ə
opspore	ɔ p s p oː r ə
opstandelse	ɔ p s t a n ə l s ə
oversættelsen	ɔ v ə r s ɛ t ə l s ə n
paolo	p a o l o
paraply	p a r a p l yː
parkens	p a r k ə n s
patroner	p a t r oː n ə r
petit	p e t i t
piges	p iː ə s
plakaten	p l a k aː t ə n
plaster	p l a s t ə r
prægtige	p r ɛ ɡ t i ə
rate	r aː t ə
reply	r e p l yː
robotten	r o b ɔ t ə n
rådyr	r ɔ d yː r
sjællandske	s j ɛ l a n s k ə
skede	s k eː ð ə
skelner	s k ɛ l n ə r
skænderier	s k ɛ n ə r iː ə r
stammede	s t a m ə ð ə
starbucks	s t a r b o k s
staterne	s t a t ə r n ə
steiner	s t a j n ə r
stormer	s t ɔ r m ə r
streame	s t r eː m ə
taknemmelige	t a k n ɛ m ə l i ə
telte	t ɛ l t ə
tidslinje	t i d s l e n j ə
tilhørt	t e l h ø r t
tilpassede	t e l p a s ə ð ə
towers	t ɔ w ə r s
tuberkulose	t uː b ə r k u l oː s ə
tvivlsomme	t v i v l s ɔ m ə
tørke	t œ r k ə
ukorrekt	u k ɔ r ɛ k t
ungarske	ɔ n ɡ a r s k ə
vandrette	v a n d r ɛ t ə
vandværk	v a n v ɛ r k
vanskeligere	v a n s k ə l i ɡ eː r ə
vaskes	v a s k ə s
vasketøj	v a s k ə t ø j
vindes	v e n ə s
våbenhvilen	v ɔː b ə n v iː l ə n
aggression	a ɡ r ɛ s j oː n
arbejderklassen	a r b a j d ə r k l a s ə n
begrænses	b e ɡ r ɛ n s ə s
besidde	b e s i d ə
bevægelige	b e v ɛː ɡ ə l i ə
blide	b l iː ð ə
blomstrede	b l ɔ m s t r eː ð ə
blødere	b l øː d ə r ə
bones	b oː n ə s
bullshit	b u l s h i t
bunder	b o n ə r
cecilia	s e s i l j a
christie	k r e s t j ə
clive	k l iː v ə
cockpittet	k ɔ k p e t ə t
definerede	d e f i n eː r ə ð ə
digteren	d e k t eː r ə n
edison	e d i s oː n
eksplosioner	ɛ k s p l o s j oː n ə r
englen	ɛ n ɡ l ə n
erhvervede	ɛ r v ɛ r v ə ð ə
forekom	f ɔ r ə k ɔ m
forfremmelse	f ɔ r f r ɛ m ə l s ə
frispark	f r e s p a r k
gladere	ɡ l a d eː r ə
grotten	ɡ r ɔ t ə n
hamar	h a m a r
helikopteren	h e l i k ɔ p t eː r ə n
herskende	h ɛ r s k ɛ n ə
hoften	h ɔ f t ə n
hustruer	h u s t r uː ə r
hæle	h ɛː l ə
indbydelse	e n b yː d ə l s ə
indspille	e n s p e l ə
jerome	j ɛ r oː m ə
jurister	j u r i s t ə r
killer	k i l ə r
kilometers	k i l o m eː t ə r s
klasses	k l a s ə s
knock	k n ɔ k
kreta	k r e t a
kuglerne	k uː l ə r n ə
kurver	k o r v ə r
kvæstet	k v ɛ s t ə ð
kæmpestort	k ɛ m p ə s t ɔ r t
lamar	l a m a r
lugtede	l o k t ə ð ə
løgstør	l ø j s t øː r
mekka	m ɛ k a
meldes	m ɛ l ə s
milk	m e l k
mink	m e n k
muffin	m u f iː n
mundtlige	m o n t l i ə
myers	m yː ə r s
nazister	n a s i s t ə r
nålen	n ɔː l ə n
okt	ɔ k t
opslaget	ɔ p s l aː ɣ ə ð
orkestret	ɔ r k ə s t r ɛ t
overse	ɔ v ə r s ə
paller	p a l ə r
pamela	p a m eː l a
pikke	p e k ə
pligten	p l e k t ə n
pragt	p r a k t
professoren	p r o f ɛ s oː r ə n
prutter	p r u t ə r
regiment	r ɛ ɡ i m ɛ n t
regulær	r ɛ ɡ u l ɛː r
rens	r ɛ n s
rhodes	r h oː ð ə s
rytteren	r ø t ə r ə n
råstoffer	r ɔ s t ɔ f ə r
samarbejdspartnere	s a m a r b a j d s p a r t n eː r ə
sik	s e k
skaldyr	s k a l d yː r
skare	s k aː r ə
skinny	s k i n i
skiven	s k iː v ə n
skolelærer	s k oː l ə l ɛː r ə r
snuppe	s n o p ə
solidarisk	s o l i d aː r i s k
sparre	s p a r ə
spædbørn	s p ɛ d b œ r n
steelers	s t eː l ə r s
suget	s uː ə ð
sørme	s œ r m ə
tara	t a r a
tavler	t a v l ə r
tegl	t a jˀ l
terminalen	t ɛ r m i n aː l ə n
tillægges	t e l ɛ ɡ ə s
tilpasser	t e l p a s ə r
tours	t uː r s
tredobbelt	t r e d ɔ b ə l t
trådløse	t r ɔ d l øː s ə
tydeligere	t yː d ə l i ɡ eː r ə
uduelig	u d uː ə l i
uegnet	u a j n ə ð
vinkede	v e n k ə ð ə
vogel	v ɔː ɣ ə l
