ovat	o ʋ ɑ t
omakotitaloa	o m ɑ k o t i t ɑ l o ɑ
omistaan	o m i s t ɑː n
onnellisessa	o nː e lː i s e sː ɑ
onnistuikin	o nː i s t u i̯ k i n
oopperasta	oː pː e r ɑ s t ɑ
operaattorien	o p e r ɑː tː o r i e n
opetteluun	o p e tː e l uː n
oppiaineen	o pː i ɑ i̯ n eː n
oral	o r ɑ l
oravien	o r ɑ ʋ i e̯ n
oriental	o r i e n t ɑ l
oululaiset	o u̯ l u l ɑ i̯ s e t
paikallisliikenteen	p ɑ i̯ k ɑ lː i s l iː k e n t eː n
painimaan	p ɑ i̯ n i m ɑː n
pakistanista	p ɑ k i s t ɑ n i s t ɑ
palauttamiseen	p ɑ l ɑ u tː ɑ m i s eː n
palestiinalaisia	p ɑ l e s t iː n ɑ l ɑ i̯ s i ɑ
paljastaneet	p ɑ l j ɑ s t ɑ n eː t
paljastuivat	p ɑ l j ɑ s t u i̯ ʋ ɑ t
palkkaamiseen	p ɑ l kː ɑː m i s eː n
pandemian	p ɑ n d e m i ɑ n
pankkitilille	p ɑ ŋ kː i t i l i lː eˣ
parannukset	p ɑ r ɑ nː u k s e t
parantuu	p ɑ r ɑ n t uː
parhaissa	p ɑ r h ɑ i̯ sː ɑ
partasen	p ɑ r t ɑ s e n
paskamaista	p ɑ s k ɑ m ɑ i̯ s t ɑˣ
pelaamassaan	p e l ɑː m ɑ sː ɑː n
pelkonsa	p e l k o n s ɑ
pelkässä	p e l k æ sː æ
pendolino	p e n d o l i n o
persoonasta	p e r s oː n ɑ s t ɑ
peset	p e s e t
petojen	p e t o j e n
piimää	p iː m æː
pikkujuttuja	p i kː u j u tː u j ɑ
pikkusiskon	p i kː u s i s k o n
pilkkahintaan	p i l kː ɑ h i n t ɑː n
pillereiden	p i lː eˣ r e i̯ d e n
pistoolia	p i s t oː l i ɑ
pitkäsen	p i t k æ s e n
pituussuunnassa	p i t uː s s uː nː ɑ sː ɑ
poikennut	p o i̯ k e nː u t
pontikkaa	p o n t i kː ɑːˣ
portlandissa	p o r t l ɑ n d i sː ɑ
porttiin	p o r tː iː n
problems	p r o b l e m s
prostituoidun	p r o s t i t u o i̯ d u n
prostituoidut	p r o s t i t u o i̯ d u t
puhdistamon	p u h d i s t ɑ m o n
pulloissa	p u lː o i̯ sː ɑ
pulssin	p u l sː i n
punavuoren	p u n ɑ ʋ u o̯ r e n
puolien	p u o̯ l i e n
purkuun	p u r k uː n
puutarhat	p uː t ɑ r h ɑ t
pylvään	p y l ʋ æː n
pyrkimään	p y r k i m æː n
pysäköinnistä	p y s æ k ø i̯ nː i s t æˣ
pätemään	p æ t eˣ m æː n
pääjohtajaksi	p æː j o h t ɑ j ɑ k s i
pääkirjaston	p æː k i r j ɑ s t o n
päällikölle	p æː lː i k ø lː eˣ
päämäärät	p æː m æː r æ t
pääomasta	p æː o m ɑ s t ɑ
pöytäkirjat	p ø y̯ t æ k i r j ɑ t
qui	k i
raiteiltaan	r ɑ i̯ t e i̯ l t ɑː n
rajaamaan	r ɑ j ɑː m ɑː n
rajoittaisi	r ɑ j o i̯ tː ɑ i̯ s i
rangaistuksensa	r ɑ ŋː ɑ i̯ s t u k s e n s ɑ
rankkarin	r ɑ ŋ kː ɑ r i n
ranteeseen	r ɑ n t eː s eː n
rapuja	r ɑ p u j ɑ
rare	r ɑ r eˣ
ratsian	r ɑ t s i ɑ n
rehtorit	r e h t o r i t
rekvisiittaa	r e k ʋ i s iː tː ɑːˣ
ricen	r i s e n
rikkoen	r i kː o e n
rikun	r i k u n
ringissä	r i ŋː i sː æ
roast	r o ɑ s t
romanialaiset	r o m ɑ n i ɑ l ɑ i̯ s e t
romeon	r o m e o n
ruokakaupasta	r u o̯ k ɑ k ɑ u̯ p ɑ s t ɑ
rutherford	r u t h e r f o r d
ruton	r u t o n
ryhdistäydy	r y h d i s t æ y̯ d y
ryyppäämään	r yː pː æː m æː n
räppääjä	r æ pː æː j æ
saad	s ɑː d
saaliinsa	s ɑː l iː n s ɑ
saasteet	s ɑː s t eː t
saatavuudesta	s ɑː t ɑ ʋ uː d e s t ɑ
saavuttaessa	s ɑː ʋ u tː ɑ e sː ɑ
saikkua	s ɑ i̯ kː u ɑˣ
salaamaan	s ɑ l ɑː m ɑː n
salattuja	s ɑ l ɑ tː u j ɑ
salkoon	s ɑ l k oː n
samaisella	s ɑ m ɑ i̯ s e lː ɑˣ
samanlaisiin	s ɑ m ɑ n l ɑ i̯ s iː n
sanomani	s ɑ n o m ɑ n i
santander	s ɑ n t ɑ n d e r
satin	s ɑ t i n
satunnaisten	s ɑ t u nː ɑ i̯ s t e n
sebastianin	s e b ɑ s t i ɑ n i n
sekoittamaan	s e k o i̯ tː ɑ m ɑː n
selaan	s e l ɑː n
selkänojan	s e l k æ n o j ɑ n
selvään	s e l ʋ æː n
senaattorin	s e n ɑː tː o r i n
serbit	s e r b i t
serkkuja	s e r kː u j ɑ
serkut	s e r k u t
siitäpä	s iː t æ p æ
siivottiin	s iː ʋ o tː iː n
sillekin	s i lː e k i n
silmälläpitäen	s i l m æ lː æ p i t æ e n
silppua	s i l pː u ɑˣ
singaporeen	s i ŋː ɑ p o r eː n
sipuleita	s i p u l e i̯ t ɑ
sisarta	s i s ɑ r t ɑ
sisältämien	s i s æ l t æ m i e̯ n
sisäpiiriin	s i s æ p iː r iː n
sitkeitä	s i t k e i̯ t æˣ
sitonut	s i t o n u t
skandinaviassa	s k ɑ n d i n ɑ ʋ i ɑ sː ɑ
skannaa	s k ɑ nː ɑːˣ
solon	s o l o n
sormuksia	s o r m u k s i ɑ
soroksen	s o r o k s e n
sotkamossa	s o t k ɑ m o sː ɑ
spektrin	s p e k t r i n
staran	s t ɑ r ɑ n
steinmeier	s t e i̯ n m e i̯ e r
strategioita	s t r ɑ t e ɡ i o i̯ t ɑ
stratovarius	s t r ɑ t o ʋ ɑ r i u s
studia	s t u d i ɑ
suhdanteet	s u h d ɑ n t eː t
suhmurointia	s u h m u r o i̯ n t i ɑ
suites	s u i̯ t e s
sukulaisiaan	s u k u l ɑ i̯ s i ɑː n
suoriutumaan	s u o̯ r i u̯ t u m ɑː n
suupohjan	s uː p o h j ɑ n
sveitsiä	s ʋ e i̯ t s i æˣ
swe	s w eː
synkempi	s y ŋ k e m p i
sähköposteihin	s æ h k ø p o s t e i̯ h i n
säilyvän	s æ i̯ l y ʋ æ n
säkylässä	s æ k y l æ sː æ
taistellen	t ɑ i̯ s t e lː e n
tale	t ɑ l eˣ
tapahtumille	t ɑ p ɑ h t u m i lː eˣ
tapahtuvista	t ɑ p ɑ h t u ʋ i s t ɑ
tarkasteltava	t ɑ r k ɑ s t e l t ɑ ʋ ɑ
tarkoitetuissa	t ɑ r k o i̯ t eˣ t u i̯ sː ɑ
tassut	t ɑ sː u t
tavanomaisten	t ɑ ʋ ɑ n o m ɑ i̯ s t e n
tavaratalossa	t ɑ ʋ ɑ r ɑ t ɑ l o sː ɑ
tehtäväsi	t e h t æ ʋ æ s i
tekijältä	t e k i j æ l t æ
tekikö	t e k i k ø
teoksissaan	t e o k s i sː ɑː n
terroristeille	t e rː o r i s t e i̯ lː eˣ
terveysalalla	t e r ʋ e y s ɑ l ɑ lː ɑ
terveyskeskukset	t e r ʋ e y s k e s k u k s e t
terveysongelmat	t e r ʋ e y s o ŋː e l m ɑ t
tietoiseksi	t i e̯ t o i̯ s e k s i
tieverkon	t i e̯ ʋ e r k o n
tilasivat	t i l ɑ s i ʋ ɑ t
tilinsä	t i l i n s æ
tips	t i p s
toijalan	t o i̯ j ɑ l ɑ n
toimisiko	t o i̯ m i s i k o
toimitamme	t o i̯ m i t ɑ mː eˣ
toimivuuteen	t o i̯ m i ʋ uː t eː n
toiveikkaana	t o i̯ ʋ e i̯ kː ɑː n ɑ
traagisen	t r ɑː ɡ i s e n
tradition	t r ɑ d i t i o n
tuhansissa	t u h ɑ n s i sː ɑ
tuhlaamaan	t u h l ɑː m ɑː n
tuijottavat	t u i̯ j o tː ɑ ʋ ɑ t
tukevansa	t u k eˣ ʋ ɑ n s ɑ
tunnetuimman	t u nː eˣ t u i̯ mː ɑ n
tuottamisessa	t u o̯ tː ɑ m i s e sː ɑ
tuova	t u o̯ ʋ ɑ
turvaavat	t u r ʋ ɑː ʋ ɑ t
turvallisten	t u r ʋ ɑ lː i s t e n
turvapaikanhakijoihin	t u r ʋ ɑ p ɑ i̯ k ɑ n h ɑ k i j o i̯ h i n
tuttavan	t u tː ɑ ʋ ɑ n
tuulten	t uː l t e n
tyttöystäväsi	t y tː ø y s t æ ʋ æ s i
työnhakuun	t y ø̯ n h ɑ k uː n
työntekijältä	t y ø̯ n t e k i j æ l t æ
työntekijöidensä	t y ø̯ n t e k i j ø i̯ d e n s æ
työntämällä	t y ø̯ n t æ m æ lː æ
työpaikkani	t y ø̯ p ɑ i̯ kː ɑ n i
työpanoksen	t y ø̯ p ɑ n o k s e n
työttömyysprosentti	t y ø̯ tː ø m yː s p r o s e n tː i
täytteeksi	t æ y̯ tː eː k s i
tönäisi	t ø n æ i̯ s i
törmäämään	t ø r m æː m æː n
ub	u b
uinut	u i̯ n u t
upeilla	u p e i̯ lː ɑˣ
uskottelee	u s k o tː e l eː
uteliaisuutta	u t e l i ɑ i̯ s uː tː ɑ
uudistuvat	uː d i s t u ʋ ɑ t
uumenissa	uː m e n i sː ɑ
vaativaan	ʋ ɑː t i ʋ ɑː n
vahvimmillaan	ʋ ɑ h ʋ i mː i lː ɑː n
vahvistaisi	ʋ ɑ h ʋ i s t ɑ i̯ s i
vainoaa	ʋ ɑ i̯ n o ɑː
vaipuu	ʋ ɑ i̯ p uː
valitsemat	ʋ ɑ l i t s e m ɑ t
vallitsevaan	ʋ ɑ lː i t s e ʋ ɑː n
valmentama	ʋ ɑ l m e n t ɑ m ɑ
valmisteta	ʋ ɑ l m i s t e t ɑˣ
valoilla	ʋ ɑ l o i̯ lː ɑˣ
valtaistuimen	ʋ ɑ l t ɑ i̯ s t u i̯ m e n
valtionpalkinnon	ʋ ɑ l t i o n p ɑ l k i nː o n
vance	ʋ ɑ n s
vangeiksi	ʋ ɑ ŋː e i̯ k s i
vanhenemisen	ʋ ɑ n h e n e m i s e n
vannovat	ʋ ɑ nː o ʋ ɑ t
vapo	ʋ ɑ p o
varansa	ʋ ɑ r ɑ n s ɑ
varastoissa	ʋ ɑ r ɑ s t o i̯ sː ɑ
varovaisempi	ʋ ɑ r o ʋ ɑ i̯ s e m p i
vastustajiaan	ʋ ɑ s t u s t ɑ j i ɑː n
vegan	ʋ e ɡ ɑ n
veimme	ʋ e i̯ mː eˣ
veljelle	ʋ e l j e lː eˣ
venynyt	ʋ e n y n y t
veret	ʋ e r e t
verkkopankin	ʋ e r kː o p ɑ ŋ k i n
verotonta	ʋ e r o t o n t ɑ
verrannut	ʋ e rː ɑ nː u t
vesitornin	ʋ e s i t o r n i n
viemää	ʋ i e̯ m æː
vienna	ʋ i e̯ nː ɑ
vierumäellä	ʋ i e̯ r u m æ e lː æˣ
viihtyneet	ʋ iː h t y n eː t
vilkaisemaan	ʋ i l k ɑ i̯ s e m ɑː n
vilkaisemassa	ʋ i l k ɑ i̯ s eˣ m ɑ sː ɑ
virkavaltaa	ʋ i r k ɑ ʋ ɑ l t ɑːˣ
voe	ʋ o eˣ
voimalaitosten	ʋ o i̯ m ɑ l ɑ i̯ t o s t e n
voisikaan	ʋ o i̯ s i k ɑː n
vuotensa	ʋ u o̯ t e n s ɑ
väitettyä	ʋ æ i̯ t e tː y æˣ
värilliset	ʋ æ r i lː i s e t
värvättiin	ʋ æ r ʋ æ tː iː n
wiik	w iː k
willin	w i lː i n
xvi	k s ʋ i
yhdistelmät	y h d i s t e l m æ t
yhteishaussa	y h t e i̯ s h ɑ u̯ sː ɑ
yhteiskuvan	y h t e i̯ s k u ʋ ɑ n
yhtyeet	y h t y eː t
yksinkertaisista	y k s i n k e r t ɑ i̯ s i s t ɑ
yksittäistapauksia	y k s i tː æ i̯ s t ɑ p ɑ u̯ k s i ɑ
yksityiskohdan	y k s i t y i̯ s k o h d ɑ n
yleissopimuksen	y l e i̯ s s o p i m u k s e n
ylivoimaiseksi	y l i ʋ o i̯ m ɑ i̯ s e k s i
ymmärränkö	y mː æ rː æ ŋ k ø
ympäröivien	y m p æ r ø i̯ ʋ i e n
yoko	j o k o
yskää	y s k æːˣ
ystäviltä	y s t æ ʋ i l t æ
yökerhoon	y ø̯ k e r h oː n
zidane	t s i d ɑ n eˣ
ärähti	æ r æ h t i
ääriin	æː r iː n
aiheelliseksi	ɑ i̯ h eː lː i s e k s i
aisoihin	ɑ i̯ s o i̯ h i n
ajaessani	ɑ j ɑ e sː ɑ n i
ajatuksiasi	ɑ j ɑ t u k s i ɑ s i
aktiiviseksi	ɑ k t iː ʋ i s e k s i
akvaarion	ɑ k ʋ ɑː r i o n
alaisensa	ɑ l ɑ i̯ s e n s ɑ
alamäkiä	ɑ l ɑ m æ k i æ
alana	ɑ l ɑ n ɑ
alentamista	ɑ l e n t ɑ m i s t ɑ
alkoholinkäytön	ɑ l k o h o l i n k æ y̯ t ø n
allikkoon	ɑ lː i kː oː n
alttiimpia	ɑ l tː iː m p i ɑ
alttiina	ɑ l tː iː n ɑ
angie	ɑ ŋː i eˣ
ansaitsemansa	ɑ n s ɑ i̯ t s e m ɑ n s ɑ
antanu	ɑ n t ɑ n u
antonov	ɑ n t o n o ʋ
apartheidin	ɑ p ɑ r t h e i̯ d i n
apoel	ɑ p o e l
arabimaiden	ɑ r ɑ b i m ɑ i̯ d e n
armotonta	ɑ r m o t o n t ɑ
arvaatko	ɑ r ʋ ɑː t k o
arvona	ɑ r ʋ o n ɑ
arvostelleet	ɑ r ʋ o s t e lː eː t
asemakaavassa	ɑ s e m ɑ k ɑː ʋ ɑ sː ɑ
asepalvelukseen	ɑ s eˣ p ɑ l ʋ e l u k s eː n
asiahan	ɑ s i ɑ h ɑ n
asiakkaani	ɑ s i ɑ kː ɑː n i
asialta	ɑ s i ɑ l t ɑ
asiatonta	ɑ s i ɑ t o n t ɑ
asuinaluetta	ɑ s u i̯ n ɑ l u e tː ɑ
auditoriossa	ɑ u̯ d i t o r i o sː ɑ
austria	ɑ u̯ s t r i ɑ
autoosi	ɑ u̯ t oː s i
avant	ɑ ʋ ɑ n t
barcelonaa	b ɑ r s e l o n ɑː
bergström	b e r ɡ s t r ø m
boksissa	b o k s i sː ɑ
boots	b oː t s
brutaalia	b r u t ɑː l i ɑ
brynäs	b r y n æ s
cactus	k ɑ k t u s
carina	k ɑ r i n ɑ
carpenter	k ɑ r p e n t e r
ching	t ʃ i ŋ
christoph	k r i s t o f
christophe	k r i s t o f eˣ
daly	d ɑ l y
dinosaurusten	d i n o s ɑ u̯ r u s t e n
division	d i ʋ i s i o n
dorian	d o r i ɑ n
dramaattisen	d r ɑ m ɑː tː i s e n
dublinissa	d u b l i n i sː ɑ
duncanin	d u ŋ k ɑ n i n
edistääkseen	e d i s t æː k s eː n
edunvalvonnan	e d u n ʋ ɑ l ʋ o nː ɑ n
edustamassa	e d u s t ɑ m ɑ sː ɑ
edustavien	e d u s t ɑ ʋ i e̯ n
elementeistä	e l e m e n t e i̯ s t æˣ
elintilaa	e l i n t i l ɑː
elm	e l m
elävään	e l æ ʋ æː n
emanuel	e m ɑ n u e l
ennenkö	e nː e ŋ k ø
environment	e n ʋ i r o n m e n t
environmental	e n ʋ i r o n m e n t ɑ l
erikoisempaa	e r i k o i̯ s e m p ɑː
erikoisessa	e r i k o i̯ s e sː ɑ
erit	e r i t
eroteltu	e r o t e l t u
erämaahan	e r æ m ɑː h ɑ n
esiintymällä	e s iː n t y m æ lː æ
esiintyvää	e s iː n t y ʋ æː
estettävä	e s t e tː æ ʋ æ
etanolia	e t ɑ n o l i ɑ
etnisiin	e t n i s iː n
etsimisessä	e t s i m i s e sː æ
faktatietoa	f ɑ k t ɑ t i e̯ t o ɑˣ
feministisen	f e m i n i s t i s e n
fink	f i ŋ k
flint	f l i n t
gluteenittomia	ɡ l u t eː n i tː o m i ɑ
goal	ɡ o ɑ l
haaran	h ɑː r ɑ n
haisemaan	h ɑ i̯ s e m ɑː n
haistamaan	h ɑ i̯ s t ɑ m ɑː n
hajonneen	h ɑ j o nː eː n
hakijalla	h ɑ k i j ɑ lː ɑ
hakijoille	h ɑ k i j o i̯ lː eˣ
hallinneet	h ɑ lː i nː eː t
hallintotieteiden	h ɑ lː i n t o t i e̯ t e i̯ d e n
hanin	h ɑ n i n
harrastajille	h ɑ rː ɑ s t ɑ j i lː eˣ
harrisonin	h ɑ rː i s o n i n
helppohan	h e l pː o h ɑ n
hengailee	h e ŋː ɑ i̯ l eː
henkilöstöpalvelut	h e ŋ k i l ø s t ø p ɑ l ʋ e l u t
henryk	h e n r y k
herald	h e r ɑ l d
herkulliselta	h e r k u lː i s e l t ɑ
hevoseen	h e ʋ o s eː n
hienostunutta	h i e̯ n o s t u n u tː ɑ
hiihtäjän	h iː h t æ j æ n
hirvittävät	h i r ʋ i tː æ ʋ æ t
hoh	h o h
hoitokodissa	h o i̯ t o k o d i sː ɑ
holder	h o l d e r
hollantilaisia	h o lː ɑ n t i l ɑ i̯ s i ɑ
hulluuteen	h u lː uː t eː n
huononi	h u o̯ n o n i
huvit	h u ʋ i t
hyödyntävä	h y ø̯ d y n t æ ʋ æ
hyökätty	h y ø̯ k æ tː y
hägglund	h æ ɡ l u n d
hälytyskellojen	h æ l y t y s k e lː o j e n
hämmentyneenä	h æ mː e n t y n eː n æ
identiteettiin	i d e n t i t eː tː iː n
ideologiaan	i d e o l o ɡ i ɑː n
ihmiskauppaa	i h m i s k ɑ u̯ pː ɑːˣ
illoin	i lː o i̯ n
ilmailualan	i l m ɑ i̯ l u ɑ l ɑ n
irakilaisia	i r ɑ k i l ɑ i̯ s i ɑ
irrotettiin	i rː o t e tː iː n
isl	i s l
islamilaisten	i s l ɑ m i l ɑ i̯ s t e n
isääni	i s æː n i
ivana	i ʋ ɑ n ɑ
jakakaa	j ɑ k ɑ k ɑː
jasonin	j ɑ s o n i n
jatkamiseen	j ɑ t k ɑ m i s eː n
jatkoerässä	j ɑ t k o e r æ sː æ
jatkosarjan	j ɑ t k o s ɑ r j ɑ n
jauhojärven	j ɑ u̯ h o j æ r ʋ e n
jennie	j e nː i eˣ
jodia	j o d i ɑ
johansen	j o h ɑ n s e n
johtuneet	j o h t u n eː t
joitten	j o i̯ tː e n
jok	j o k
julkaisin	j u l k ɑ i̯ s i n
jännittävin	j æ nː i tː æ ʋ i n
jännät	j æ nː æ t
jättäkö	j æ tː æ k ø
kaaduin	k ɑː d u i̯ n
kaakkurin	k ɑː kː u r i n
kaakon	k ɑː k o n
kaakossa	k ɑː k o sː ɑ
kaan	k ɑː n
kadonneista	k ɑ d o nː e i̯ s t ɑˣ
kahdensadan	k ɑ h d e n s ɑ d ɑ n
kahviloista	k ɑ h ʋ i l o i̯ s t ɑˣ
kaivattiin	k ɑ i̯ ʋ ɑ tː iː n
kalliolta	k ɑ lː i o l t ɑ
kaltaisella	k ɑ l t ɑ i̯ s e lː ɑˣ
kaltaistasi	k ɑ l t ɑ i̯ s t ɑ s i
kamoja	k ɑ m o j ɑ
kampanjansa	k ɑ m p ɑ n j ɑ n s ɑ
kannattajiin	k ɑ nː ɑ tː ɑ j iː n
kannattamatonta	k ɑ nː ɑ tː ɑ m ɑ t o n t ɑ
kansasissa	k ɑ n s ɑ s i sː ɑ
karkean	k ɑ r k e ɑ n
kasaantuu	k ɑ s ɑː n t uː
kasvosi	k ɑ s ʋ o s i
katkeraa	k ɑ t k e r ɑː
kauankohan	k ɑ u̯ ɑ n k o h ɑ n
kauhavalla	k ɑ u̯ h ɑ ʋ ɑ lː ɑ
kaupungeille	k ɑ u̯ p u ŋː e i̯ lː eˣ
kaupunkisuunnittelun	k ɑ u̯ p u ŋ k i s uː nː i tː e l u n
kehästä	k e h æ s t æˣ
keisarillisen	k e i̯ s ɑ r i lː i s e n
keltaiseksi	k e l t ɑ i̯ s e k s i
ker	k e r
kerkesi	k e r k e s i
kerrointa	k e rː o i̯ n t ɑ
keskuskomitean	k e s k u s k o m i t e ɑ n
keskuspankkien	k e s k u s p ɑ ŋ kː i e n
kettusen	k e tː u s e n
kiinnittivät	k iː nː i tː i ʋ æ t
kiinnostavana	k iː nː o s t ɑ ʋ ɑ n ɑ
kiistassa	k iː s t ɑ sː ɑ
kilpailijalle	k i l p ɑ i̯ l i j ɑ lː eˣ
kiltin	k i l t i n
kipujen	k i p u j e n
koettanut	k o e tː ɑ n u t
kohtaloaan	k o h t ɑ l o ɑː n
kohtalokasta	k o h t ɑ l o k ɑ s t ɑ
koiralta	k o i̯ r ɑ l t ɑ
kokoaikaista	k o k o ɑ i̯ k ɑ i̯ s t ɑˣ
kokoillan	k o k o i̯ lː ɑ n
kolmos	k o l m o s
kolumbus	k o l u m b u s
kompromissia	k o m p r o m i sː i ɑ
kookkaat	k oː kː ɑː t
koomikon	k oː m i k o n
kopioin	k o p i o i̯ n
koristeeksi	k o r i s t eː k s i
korkokenkiä	k o r k o k e ŋ k i æ
koroista	k o r o i̯ s t ɑˣ
korvaamatonta	k o r ʋ ɑː m ɑ t o n t ɑ
korvansa	k o r ʋ ɑ n s ɑ
kos	k o s
kovalevyn	k o ʋ ɑ l e ʋ y n
kreetan	k r eː t ɑ n
kristityksi	k r i s t i t y k s i
kronos	k r o n o s
kropassa	k r o p ɑ sː ɑ
kruunuun	k r uː n uː n
kulkeutui	k u l k e u̯ t u i̯
kuluttajalla	k u l u tː ɑ j ɑ lː ɑ
kumar	k u m ɑ r
kuolemalta	k u o̯ l eˣ m ɑ l t ɑ
kutsunnat	k u t s u nː ɑ t
kutsuttaisiin	k u t s u tː ɑ i̯ s iː n
kuulisi	k uː l i s i
kuuluvalle	k uː l u ʋ ɑ lː eˣ
kuvaajien	k u ʋ ɑː j i e n
kuvailevat	k u ʋ ɑ i̯ l e ʋ ɑ t
kuvauspaikka	k u ʋ ɑ u s p ɑ i̯ kː ɑ
kylmyyden	k y l m yː d e n
kynsissä	k y n s i sː æ
kyntensä	k y n t e n s æ
kysymyksiisi	k y s y m y k s iː s i
kädessäni	k æ d e sː æ n i
kännykässä	k æ nː y k æ sː æ
käsikirjoituksia	k æ s i k i r j o i̯ t u k s i ɑ
käsineet	k æ s i n eː t
käsipallon	k æ s i p ɑ lː o n
kävijöiden	k æ ʋ i j ø i̯ d e n
käyttäessään	k æ y̯ tː æ e sː æː n
käyviä	k æ y̯ ʋ i æˣ
käärmettä	k æː r m e tː æ
laajentavat	l ɑː j e n t ɑ ʋ ɑ t
laatikoihin	l ɑː t i k o i̯ h i n
lahjoittivat	l ɑ h j o i̯ tː i ʋ ɑ t
lakanoiden	l ɑ k ɑ n o i̯ d e n
lakkasin	l ɑ kː ɑ s i n
lanen	l ɑ n e n
lapsenlapsensa	l ɑ p s e n l ɑ p s e n s ɑ
lapsissa	l ɑ p s i sː ɑ
lapsuuteen	l ɑ p s uː t eː n
laskettaisiin	l ɑ s k e tː ɑ i̯ s iː n
laukaistu	l ɑ u̯ k ɑ i̯ s t u
laukkujen	l ɑ u̯ kː u j e n
laulavan	l ɑ u̯ l ɑ ʋ ɑ n
lausuntokierrokselle	l ɑ u̯ s u n t o k i e̯ rː o k s e lː eˣ
leikkaamiseen	l e i̯ kː ɑː m i s eː n
leikkauksiin	l e i̯ kː ɑ u k s iː n
leipiin	l e i̯ p iː n
lentämiseen	l e n t æ m i s eː n
levyksi	l e ʋ y k s i
liberalismia	l i b e r ɑ l i s m i ɑ
lihaksen	l i h ɑ k s e n
liitettyä	l iː t e tː y æˣ
liitoksen	l iː t o k s e n
lisiä	l i s i æˣ
lisäkuluja	l i s æ k u l u j ɑ
lisäosia	l i s æ o s i ɑ
lisääntyisi	l i s æː n t y i̯ s i
loganin	l o ɡ ɑ n i n
loputtava	l o p u tː ɑ ʋ ɑ
loukkauksena	l o u̯ kː ɑ u k s e n ɑ
lumilautailun	l u m i l ɑ u̯ t ɑ i̯ l u n
luullakseni	l uː lː ɑ k s e n i
lyhyissä	l y h y i̯ sː æ
lähiön	l æ h i ø n
lähtevien	l æ h t eˣ ʋ i e̯ n
läjän	l æ j æ n
lämmittävät	l æ mː i tː æ ʋ æ t
mahaa	m ɑ h ɑː
mainonnasta	m ɑ i̯ n o nː ɑ s t ɑ
makso	m ɑ k s o
manfred	m ɑ n f r e d
maratonia	m ɑ r ɑ t o n i ɑ
marius	m ɑ r i u s
matalilla	m ɑ t ɑ l i lː ɑ
mbit	m b i t
mcdavid	m ə k d ɑ ʋ i d
mcdonald	m ə k d o n ɑ l d
medvedev	m e d ʋ e d e ʋ
mellakan	m e lː ɑ k ɑ n
menojaan	m e n o j ɑː n
metalliset	m e t ɑ lː i s e t
mietoja	m i e̯ t o j ɑ
miettimässä	m i e̯ tː i m æ sː æ
mikrofonit	m i k r o f o n i t
miljoonille	m i l j oː n i lː eˣ
minuuttien	m i n uː tː i e n
missäköhän	m i sː æ k ø h æ n
mitassa	m i t ɑ sː ɑ
mohammad	m o h ɑ mː ɑ d
montanan	m o n t ɑ n ɑ n
mustalaiset	m u s t ɑ l ɑ i̯ s e t
muunlaista	m uː n l ɑ i̯ s t ɑˣ
myllyyn	m y lː yː n
mäet	m æ e t
määräaikaista	m æː r æ ɑ i̯ k ɑ i̯ s t ɑˣ
nakutti	n ɑ k u tː i
nano	n ɑ n o
nartut	n ɑ r t u t
nashin	n ɑ ʃ i n
native	n ɑ t i ʋ eˣ
nenänsä	n e n æ n s æ
neuvottiin	n e u̯ ʋ o tː iː n
nielsenin	n i e̯ l s e n i n
niksejä	n i k s e j æ
nimetyt	n i m e t y t
niskaasi	n i s k ɑː s i
nordnetin	n o r d n e t i n
noustuaan	n o u̯ s t u ɑː n
nälässä	n æ l æ sː æ
odottaakin	o d o tː ɑː k i n
odottaisin	o d o tː ɑ i̯ s i n
olemmehan	o l e mː e h ɑ n
omistamaa	o m i s t ɑ m ɑː
ongelmakohtia	o ŋː e l m ɑ k o h t i ɑ
onnelliseen	o nː e lː i s eː n
oppiin	o pː iː n
oppilaaksi	o pː i l ɑː k s i
osaamisella	o s ɑː m i s e lː ɑˣ
osakkaan	o s ɑ kː ɑː n
osanottajat	o s ɑ n o tː ɑ j ɑ t
osavaltioista	o s ɑ ʋ ɑ l t i o i̯ s t ɑ
osoitettava	o s o i̯ t e tː ɑ ʋ ɑ
ostaessaan	o s t ɑ e sː ɑː n
ostettuja	o s t e tː u j ɑ
osuin	o s u i̯ n
otteesta	o tː eː s t ɑˣ
oviin	o ʋ iː n
pac	p ɑ k
pahentunut	p ɑ h e n t u n u t
paikoilta	p ɑ i̯ k o i̯ l t ɑ
painalluksella	p ɑ i̯ n ɑ lː u k s e lː ɑˣ
painotettiin	p ɑ i̯ n o t e tː iː n
paitojen	p ɑ i̯ t o j e n
pakenen	p ɑ k e n e n
pakkasi	p ɑ kː ɑ s i
pakotelistalla	p ɑ k o t e l i s t ɑ lː ɑ
pakottaisi	p ɑ k o tː ɑ i̯ s i
palapelin	p ɑ l ɑ p e l i n
paljastaisi	p ɑ l j ɑ s t ɑ i̯ s i
paljastuksia	p ɑ l j ɑ s t u k s i ɑ
pallojen	p ɑ lː o j e n
palveluntarjoajat	p ɑ l ʋ e l u n t ɑ r j o ɑ j ɑ t
paraisten	p ɑ r ɑ i̯ s t e n
paransivat	p ɑ r ɑ n s i ʋ ɑ t
parempina	p ɑ r e m p i n ɑ
parilta	p ɑ r i l t ɑ
pariskuntia	p ɑ r i s k u n t i ɑ
parsakaalia	p ɑ r s ɑ k ɑː l i ɑ
patriot	p ɑ t r i o t
