bil	b íː l
docela	d ɔ t͡s éː l a
dodajte	d ɔ d áː j t ɛ
dokazih	d ɔ k àː z i x
določala	d ɔ l ɔ t͡ʃ áː l a
duševna	d u ʃ éː ʋ n a
elitno	ɛ l íː t n ɔ
filadelfiji	f i l a d ɛ̀ː l f i j i
filipa	f i l ìː p a
filipinih	f i l i p ìː n i x
fizioloških	f i z i ɔ l óː ʃ k i x
fotografska	f ɔ t ɔ ɡ r áː f s k a
gibati	ɡ ìː b a t i
gladini	ɡ l a d ìː n i
gospodarjenje	ɡ ɔ s p ɔ d áː r j ɛ n j ɛ
grozljive	ɡ r ɔ z l j ìː ʋ ɛ
grozote	ɡ r ɔ z óː t ɛ
gustav	ɡ ùː s t a ʋ
hansen	x áː n s ə n
hasan	x a s áː n
henryju	x ɛ n r íː j u
hidroelektrarn	x i d r ɔ ɛ l ɛ k t r áː r n
hladilno	x l a d íː l n ɔ
hladnejše	x l àː d n ɛ j ʃ ɛ
hoda	x óː d a
horton	x ɔ r t óː n
imunsko	i m úː n s k ɔ
individualnega	i n d i ʋ i d u áː l n ɛ ɡ a
informacijah	i n f ɔ r m a t͡s íː j a x
intelektualna	i n t ɛ l ɛ k t u áː l n a
intenzivnih	i n t ɛ n z íː ʋ n i x
interaktivna	i n t ɛ r a k t íː ʋ n a
internetno	i n t ɛ r n éː t n ɔ
inženiringa	i n ʒ ɛ n i r íː n ɡ a
iranski	i r áː n s k i
irwin	i r ʋ íː n
italijanskimi	i t a l i j áː n s k i m i
izhodne	i z x óː d n ɛ
izprazni	i s p r áː z n i
izraelskih	i z r a èː l s k i x
jaguar	j àː ɡ u a r
jesensko	j ɛ s éː n s k ɔ
karibih	k a r ìː b i x
katarino	k a t a r ìː n ɔ
klicala	k l i t͡s áː l a
klimatsko	k l i m áː t s k ɔ
knjižničarji	k n j i ʒ n i t͡ʃ áː r j i
kolektivni	k ɔ l ɛ k t íː ʋ n i
kolumbiji	k ɔ l ùː m b i j i
konci	k óː n t͡s i
konjiček	k ɔ n j ìː t͡ʃ ə k
konzola	k ɔ n z óː l a
kopičenja	k ɔ p ìː t͡ʃ ɛ n j a
korporacij	k ɔ r p ɔ r àː t͡s i j
kotne	k óː t n ɛ
kozarček	k ɔ z áː r t͡ʃ ə k
košarico	k ɔ ʃ a r ìː t͡s ɔ
krade	k r àː d ɛ
kravo	k r àː ʋ ɔ
kristjana	k r i s t j áː n a
kronološko	k r ɔ n ɔ l óː ʃ k ɔ
laurent	l a u r éː n t
lazar	l àː z a r
legendarna	l ɛ ɡ ɛ n d áː r n a
legendarno	l ɛ ɡ ɛ n d áː r n ɔ
legla	l èː ɡ l a
lekarna	l ɛ k áː r n a
letak	l ɛ t àː k
limuzine	l i m u z ìː n ɛ
ljubeče	l j u b èː t͡ʃ ɛ
logičnega	l ɔ ɡ ìː t͡ʃ n ɛ ɡ a
maksimalni	m a k s i m áː l n i
marini	m a r ìː n i
meglice	m ɛ ɡ l ìː t͡s ɛ
mehurček	m ɛ x ùː r t͡ʃ ə k
merkurja	m ɛ r k úː r j a
metropolis	m ɛ t r ɔ p ɔ l íː s
mineralno	m i n ɛ r áː l n ɔ
missouri	m i s s ɔ ùː r i
mladostnikov	m l a d ɔ s t n ìː k ɔ ʋ
mohorič	m ɔ x ɔ r ìː t͡ʃ
mutacija	m u t àː t͡s i j a
najgloblje	n á j ɡ l óː b l j ɛ
nalepke	n a l éː p k ɛ
namestnica	n a m éː s t n i t͡s a
nan	n áː n
napaden	n a p áː d ə n
napajajo	n a p a j áː j ɔ
naročnika	n a r óː t͡ʃ n i k a
naselitev	n a s ɛ l ìː t ə ʋ
navadili	n a ʋ a d ìː l i
nemca	n èː m t͡s a
nemoči	n ɛ m òː t͡ʃ i
nepredstavljivo	n ɛ p r ɛ t s t a ʋ l j ìː ʋ ɔ
novinarski	n ɔ ʋ i n áː r s k i
obnavljajo	ɔ b n a ʋ l j áː j ɔ
obratovati	ɔ b r a t ɔ ʋ àː t i
obtožnico	ɔ p t óː ʒ n i t͡s ɔ
odbijač	ɔ d b i j àː t͡ʃ
odlagajo	ɔ d l a ɡ áː j ɔ
odobri	ɔ d òː b r i
odvaja	ɔ d ʋ áː j a
odzvati	ɔ d z ʋ àː t i
ohlapno	ɔ x l áː p n ɔ
ohranjala	ɔ x r a n j áː l a
okupatorjem	ɔ k u p a t ɔ̀ː r j ɛ m
oltarjem	ɔ l t áː r j ɛ m
opazujte	ɔ p a z úː j t ɛ
opel	òː p ə ʋ
optimizacija	ɔ p t i m i z àː t͡s i j a
orto	ɔ̀ː r t ɔ
oskrbnik	ɔ s k ə̀ r b n i k
osvajati	ɔ s ʋ àː j a t i
ovo	ɔ̀ː ʋ ɔ
oživela	ɔ ʒ i ʋ éː l a
pacific	p a t͡s ìː f i t͡s
palace	p a l àː t͡s ɛ
palme	p áː l m ɛ
paraplegikov	p a r a p l ɛ ɡ ìː k ɔ ʋ
pardon	p a r d óː n
patenta	p a t éː n t a
petami	p ɛ t àː m i
pipo	p ìː p ɔ
plavalci	p l a ʋ áː l t͡s i
plačilom	p l a t͡ʃ ìː l ɔ m
plemiči	p l ɛ m ìː t͡ʃ i
podani	p ɔ d àː n i
podedovali	p ɔ d ɛ d ɔ ʋ àː l i
pokalnih	p ɔ k áː l n i x
poklicnim	p ɔ k l ìː t͡s n i m
poletela	p ɔ l ɛ t éː l a
pomola	p ɔ m óː l a
ponudnikov	p ɔ n ùː d n i k ɔ ʋ
portrete	p ɔ r t r èː t ɛ
poskusijo	p ɔ s k ùː s i j ɔ
poslanih	p ɔ s l àː n i x
poslastica	p ɔ s l áː s t i t͡s a
potresi	p ɔ t r èː s i
poštenosti	p ɔ ʃ t ɛ n óː s t i
prašnih	p r áː ʃ n i x
preblizu	p r ɛ b l ìː z u
predmestja	p r ɛ d m éː s t j a
prejetih	p r ɛ j èː t i x
prekinejo	p r ɛ k i n ɛ́ː j ɔ
prekoračil	p r ɛ k ɔ r a t͡ʃ íː l
premagan	p r ɛ m a ɡ áː n
prenesene	p r ɛ n ɛ s éː n ɛ
prepuščena	p r ɛ p ùː ʃ t͡ʃ ɛ n a
prestala	p r ɛ s t áː l a
preveriš	p r ɛ ʋ ɛ r ìː ʃ
prečkajo	p r ɛ t͡ʃ k áː j ɔ
prečudovito	p r ɛ t͡ʃ u d ɔ ʋ ìː t ɔ
primerjala	p r i m ɛ r j áː l a
prinašal	p r i n a ʃ áː l
pripadnikom	p r i p áː d n i k ɔ m
priročniki	p r i r óː t͡ʃ n i k i
prisilni	p r i s íː l n i
privabil	p r i ʋ a b íː l
prizora	p r i z óː r a
publike	p ùː b l i k ɛ
put	p úː t
radarja	r a d áː r j a
ravnim	r àː ʋ n i m
razdelite	r a z d ɛ l ìː t ɛ
razkošne	r a s k óː ʃ n ɛ
razločno	r a z l óː t͡ʃ n ɔ
raznoliki	r a z n ɔ l ìː k i
razvrščanju	r a z ʋ ə́ r ʃ t͡ʃ a n j u
realistične	r ɛ a l ìː s t i t͡ʃ n ɛ
relativne	r ɛ l a t íː ʋ n ɛ
repertoarja	r ɛ p ɛ r t ɔ áː r j a
republikanci	r ɛ p u b l i k áː n t͡s i
revolucionarnih	r ɛ ʋ ɔ l u t͡s i ɔ n áː r n i x
rezerva	r ɛ z éː r ʋ a
ribnika	r ìː b n i k a
ribniku	r ìː b n i k u
rojenega	r ɔ j ɛ n éː ɡ a
rudarsko	r u d áː r s k ɔ
samimi	s a m ìː m i
samoti	s a m òː t i
sari	s àː r i
satelite	s a t ɛ l ìː t ɛ
savannah	s a ʋ áː n n a x
severovzhodne	s ɛ ʋ ɛ r ɔ ʋ z x óː d n ɛ
severozahodno	s ɛ ʋ ɛ r ɔ z a x óː d n ɔ
shaun	s x áː u n
sivih	s ìː ʋ i x
skladiščenja	s k l a d ìː ʃ t͡ʃ ɛ n j a
skodelici	s k ɔ d ɛ l ìː t͡s i
skrajša	s k r áː j ʃ a
sledeh	s l èː d ə x
sloje	s l ɔ̀ː j ɛ
sloju	s l ɔ̀ː j u
služenju	s l ùː ʒ ɛ n j u
sofiji	s ɔ f íː j i
sorazmerna	s ɔ r a z m éː r n a
spravljajo	s p r a ʋ l j áː j ɔ
sprehodila	s p r ɛ x ɔ d ìː l a
spreminjamo	s p r ɛ m i n j àː m ɔ
spremljajte	s p r ɛ m l j áː j t ɛ
spremljanja	s p r ɛ m l j áː n j a
spremljevalne	s p r ɛ m l j ɛ ʋ áː l n ɛ
stalnica	s t áː l n i t͡s a
stekleničko	s t ɛ k l ɛ n ìː t͡ʃ k ɔ
stoletno	s t ɔ l éː t n ɔ
strašljivo	s t r a ʃ l j ìː ʋ ɔ
strašne	s t r áː ʃ n ɛ
sušnih	s ùː ʃ n i x
svetovala	s ʋ ɛ t ɔ ʋ áː l a
talenti	t a l èː n t i
tan	t áː n
tančico	t áː n t͡ʃ i t͡s ɔ
terenskih	t ɛ r èː n s k i x
travnika	t r áː ʋ n i k a
tribun	t r i b úː n
trži	t ə́ r ʒ i
tujka	t úː j k a
turneja	t ùː r n ɛ j a
ujetnika	u j éː t n i k a
uličnih	u l ìː t͡ʃ n i x
umom	u m óː m
upoštevaj	u p ɔ ʃ t ɛ ʋ áː j
uradi	u r àː d i
uresničilo	u r ɛ s n i t͡ʃ ìː l ɔ
vedoč	ʋ ɛ d óː t͡ʃ
veličastnih	ʋ ɛ l i t͡ʃ áː s t n i x
vertikalne	ʋ ɛ r t i k áː l n ɛ
veterinarske	ʋ ɛ t ɛ r i n áː r s k ɛ
videt	ʋ ìː d ɛ t
vidljivosti	ʋ i d l j ìː ʋ ɔ s t i
viki	ʋ ìː k i
virginije	ʋ i r ɡ ìː n i j ɛ
vkrcal	ʋ k ə̀ r t͡s a l
vleko	ʋ l èː k ɔ
vrednih	ʋ r èː d n i x
vremenska	ʋ r ɛ m éː n s k a
vstane	ʋ s t àː n ɛ
wilsona	ʋ i l s óː n a
zabaviščni	z a b a ʋ ìː ʃ t͡ʃ n i
zadku	z áː t k u
zadovolji	z a d ɔ ʋ óː l j i
zagovarjala	z a ɡ ɔ ʋ a r j áː l a
zasedejo	z a s ɛ d ɛ́ː j ɔ
zastrašujoče	z a s t r a ʃ u j óː t͡ʃ ɛ
zaupnosti	z a u p n óː s t i
zavezal	z a ʋ ɛ z áː l
zavita	z a ʋ ìː t a
zaznamovan	z a z n a m ɔ ʋ áː n
zaznavo	z a z n áː ʋ ɔ
zaželena	z a ʒ ɛ l éː n a
zbornico	z b ɔ̀ː r n i t͡s ɔ
združba	z d r úː ʒ b a
zg	z ɡ
zlobna	z l óː b n a
znanstvenim	z n a n s t ʋ ɛ n ìː m
zum	z ùː m
častne	t͡ʃ áː s t n ɛ
šifre	ʃ ìː f r ɛ
šoku	ʃ óː k u
špekulacije	ʃ p ɛ k u l àː t͡s i j ɛ
štartno	ʃ t áː r t n ɔ
številčnost	ʃ t ɛ ʋ íː l t͡ʃ n ɔ s t
živinoreja	ʒ i ʋ i n ɔ r ɛ́ː j a
absorpcije	a p s ɔ r p t͡s íː j ɛ
aktivirati	a k t i ʋ ìː r a t i
albanije	a l b àː n i j ɛ
alec	àː l ə t͡s
alvarez	a l ʋ àː r ɛ s
angus	a n ɡ úː s
argentine	a r ɡ ɛ n t ìː n ɛ
armand	a r m áː n t
avtomobilsko	áː ʋ t ɔ m ɔ b íː l s k ɔ
bakterijskih	b a k t ɛ r íː j s k i x
barcelono	b a r t͡s ɛ l óː n ɔ
bobnov	b ɔ̀ː b n ɔ ʋ
boka	b óː k a
božička	b ɔ ʒ ìː t͡ʃ k a
constantine	t͡s ɔ n s t a n t ìː n ɛ
dediča	d ɛ d ìː t͡ʃ a
dobrota	d ɔ b r óː t a
dokončne	d ɔ k óː n t͡ʃ n ɛ
dolgovi	d ɔ ʋ ɡ ɔ́ː ʋ i
domino	d ɔ m ìː n ɔ
dopisnik	d ɔ p íː s n i k
dosegala	d ɔ s ɛ ɡ áː l a
dot	d óː t
doživiš	d ɔ ʒ ìː ʋ i ʃ
eksperimentov	ɛ k s p ɛ r i m éː n t ɔ ʋ
eksplodira	ɛ k s p l ɔ d ìː r a
enakopravno	ɛ n a k ɔ p r áː ʋ n ɔ
energijska	ɛ n ɛ r ɡ íː j s k a
esteban	ɛ s t ɛ b áː n
eterično	ɛ t ɛ r ìː t͡ʃ n ɔ
financiral	f i n a n t͡s i r áː l
fini	f ìː n i
gavin	ɡ a ʋ íː n
glasil	ɡ l a s íː l
globalizacije	ɡ l ɔ b a l i z àː t͡s i j ɛ
gnojilo	ɡ n ɔ j ìː l ɔ
godbo	ɡ óː d b ɔ
goloba	ɡ ɔ l óː b a
gostoljubje	ɡ ɔ s t ɔ l j ùː b j ɛ
gostujoča	ɡ ɔ s t u j óː t͡ʃ a
holden	x ɔ̀ː ʋ d ə n
igralno	i ɡ r áː l n ɔ
itunes	i t ùː n ə s
izbruhom	i z b r ùː x ɔ m
izolirana	i z ɔ l i r áː n a
izpiti	i s p ìː t i
izuma	i z ùː m a
izvorni	i z ʋ óː r n i
jajčnikov	j áː j t͡ʃ n i k ɔ ʋ
johan	j óː x a n
joške	j óː ʃ k ɛ
jutru	j ùː t r u
kapuco	k a p ùː t͡s ɔ
kardinala	k a r d i n áː l a
katastrof	k a t a s t r óː f
kljuko	k l j ùː k ɔ
knjižničarka	k n j i ʒ n i t͡ʃ áː r k a
kolesarsko	k ɔ l ɛ s áː r s k ɔ
kolka	k ɔ̀ː ʋ k a
komorne	k ɔ m óː r n ɛ
komunicira	k ɔ m u n i t͡s ìː r a
koncentracijskih	k ɔ n t͡s ɛ n t r a t͡s íː j s k i x
konjske	k óː n s k ɛ
konkurenčen	k ɔ n k u r èː n t͡ʃ ə n
konstrukt	k ɔ n s t r úː k t
kontrolirati	k ɔ n t r ɔ l ìː r a t i
kopanju	k ɔ p áː n j u
kovača	k ɔ ʋ àː t͡ʃ a
kozarci	k ɔ z áː r t͡s i
križe	k r ìː ʒ ɛ
krožnika	k r óː ʒ n i k a
kuhanja	k ùː x a n j a
kurilno	k u r íː l n ɔ
kvazi	k ʋ àː z i
letov	l èː t ɔ ʋ
likom	l ìː k ɔ m
lotite	l ɔ t ìː t ɛ
lože	l óː ʒ ɛ
madrida	m a d r ìː d a
maje	m áː j ɛ
majšperk	m áː j ʃ p ɛ r k
mani	m àː n i
mare	m àː r ɛ
marijin	m a r i j íː n
mazilo	m a z ìː l ɔ
maščobo	m a ʃ t͡ʃ óː b ɔ
mediteransko	m ɛ d i t ɛ r áː n s k ɔ
meg	m éː k
mehanska	m ɛ x áː n s k a
menjal	m ɛ n j áː l
meščanski	m ɛ ʃ t͡ʃ áː n s k i
mlinov	m l ìː n ɔ ʋ
modulov	m ɔ d ùː l ɔ ʋ
mojstru	m óː j s t r u
mošeje	m ɔ ʃ ɛ́ː j ɛ
muke	m ùː k ɛ
mumija	m ùː m i j a
mučenju	m ùː t͡ʃ ɛ n j u
nacionalnimi	n a t͡s i ɔ n áː l n i m i
najame	n áː j a m ɛ
napadalni	n a p a d áː l n i
nasilna	n a s íː l n a
navigacija	n a ʋ i ɡ àː t͡s i j a
načelno	n a t͡ʃ éː l n ɔ
ned	n éː t
negi	n èː ɡ i
neskončnega	n ɛ s k óː n t͡ʃ n ɛ ɡ a
neugodne	n ɛ u ɡ óː d n ɛ
neumni	n ɛ ùː m n i
nila	n ìː l a
nizom	n ìː z ɔ m
ničla	n ìː t͡ʃ l a
nosilnih	n ɔ s íː l n i x
nožnice	n óː ʒ n i t͡s ɛ
obdelani	ɔ b d ɛ l àː n i
obešanje	ɔ b ɛ ʃ áː n j ɛ
obroki	ɔ b r óː k i
obrtni	ɔ b ə́ r t n i
obupan	ɔ b u p áː n
odkrivajo	ɔ t k r i ʋ áː j ɔ
odlomki	ɔ d l óː m k i
odrom	ɔ d r óː m
ogledate	ɔ ɡ l ɛ d àː t ɛ
ohranjali	ɔ x r a n j àː l i
omejenim	ɔ m ɛ j ɛ n ìː m
omenjenim	ɔ m ɛ n j ɛ n ìː m
opazovalcev	ɔ p a z ɔ ʋ áː l t͡s ɛ ʋ
osamosvojitvene	ɔ s a m ɔ s ʋ ɔ j ìː t ʋ ɛ n ɛ
osnovana	ɔ s n ɔ ʋ áː n a
osvojitvi	ɔ s ʋ ɔ j ìː t ʋ i
oteklina	ɔ t ɛ k l ìː n a
ovac	ɔ̀ː ʋ a t͡s
palicami	p a l i t͡s àː m i
paraziti	p a r a z ìː t i
partnerka	p a r t n éː r k a
pegasus	p ɛ ɡ a s úː s
pekarna	p ɛ k áː r n a
plemenite	p l ɛ m ɛ n ìː t ɛ
plenic	p l èː n i t͡s
plezalni	p l ɛ z áː l n i
plodu	p l ɔ̀ː d u
podelitvijo	p ɔ d ɛ l ìː t ʋ i j ɔ
podmornic	p ɔ d m óː r n i t͡s
podrobni	p ɔ d r óː b n i
pogumnih	p ɔ ɡ ùː m n i x
pojavih	p ɔ j àː ʋ i x
pojavljala	p ɔ j a ʋ l j áː l a
poklican	p ɔ k l i t͡s áː n
polnjenja	p ɔ́ː ʋ n j ɛ n j a
polovično	p ɔ l ɔ ʋ ìː t͡ʃ n ɔ
pomislimo	p ɔ m i s l ìː m ɔ
ponovnim	p ɔ n ɔ́ː ʋ n i m
poročnega	p ɔ r óː t͡ʃ n ɛ ɡ a
posočju	p ɔ s óː t͡ʃ j u
pospremila	p ɔ s p r ɛ m ìː l a
postavk	p ɔ s t áː ʋ k
postojanke	p ɔ s t ɔ j áː n k ɛ
posvetim	p ɔ s ʋ èː t i m
potrdimo	p ɔ t ə r d ìː m ɔ
potrjujem	p ɔ t ə r j ùː j ə m
potrošnika	p ɔ t r óː ʃ n i k a
površno	p ɔ ʋ ə́ r ʃ n ɔ
povzročati	p ɔ ʋ z r ɔ t͡ʃ àː t i
povzročena	p ɔ ʋ z r ɔ t͡ʃ éː n a
povzročene	p ɔ ʋ z r ɔ t͡ʃ éː n ɛ
poševno	p ɔ ʃ éː ʋ n ɔ
požarno	p ɔ ʒ áː r n ɔ
poželi	p ɔ ʒ èː l i
pravnim	p r àː ʋ n i m
praški	p r áː ʃ k i
prebavila	p r ɛ b a ʋ ìː l a
predhodnice	p r ɛ d x óː d n i t͡s ɛ
prehranske	p r ɛ x r áː n s k ɛ
prekrasna	p r ɛ k r áː s n a
premagale	p r ɛ m a ɡ áː l ɛ
prenehajte	p r ɛ n ɛ x áː j t ɛ
prenesena	p r ɛ n ɛ s éː n a
preobrazbi	p r ɛ ɔ b r áː z b i
preplavili	p r ɛ p l a ʋ ìː l i
preplet	p r ɛ p l éː t
preprog	p r ɛ p r óː k
prepuščen	p r ɛ p ùː ʃ t͡ʃ ə n
prevede	p r ɛ ʋ èː d ɛ
prezreti	p r ɛ z r èː t i
prigode	p r i ɡ óː d ɛ
prihajate	p r i x áː j a t ɛ
prijateljicami	p r i j a t ɛ l j ìː t͡s a m i
priporočal	p r i p ɔ r ɔ t͡ʃ áː l
prisilne	p r i s íː l n ɛ
pristanejo	p r i s t a n ɛ́ː j ɔ
pritožba	p r i t óː ʒ b a
pritožuje	p r i t ɔ ʒ úː j ɛ
privlačni	p r i ʋ l àː t͡ʃ n i
pričakovanih	p r i t͡ʃ a k ɔ ʋ àː n i x
pričevanju	p r i t͡ʃ ɛ ʋ áː n j u
prodajalka	p r ɔ d a j áː l k a
prodajalne	p r ɔ d a j áː l n ɛ
prodajan	p r ɔ d áː j a n
prodajni	p r ɔ d áː j n i
prodan	p r ɔ d áː n
proučevanju	p r ɔ u t͡ʃ ɛ ʋ áː n j u
psihiatrično	p s i x i a t r ìː t͡ʃ n ɔ
psihologa	p s i x ɔ l óː ɡ a
puder	p ùː d ə r
pure	p ùː r ɛ
ranljivih	r a n l j ìː ʋ i x
ranljivost	r a n l j ìː ʋ ɔ s t
razbila	r a z b ìː l a
raziskala	r a z i s k áː l a
razlagali	r a z l a ɡ àː l i
razočarala	r a z ɔ t͡ʃ a r áː l a
razpisana	r a s p i s áː n a
razumljiv	r a z u m l j ìː ʋ
rezidenco	r ɛ z i d éː n t͡s ɔ
robe	r òː b ɛ
rode	r òː d ɛ
romarska	r ɔ m áː r s k a
ru	r úː
samozavestna	s a m ɔ z a ʋ éː s t n a
seminarju	s ɛ m i n áː r j u
senatorji	s ɛ n a t óː r j i
severovzhodnem	s ɛ ʋ ɛ r ɔ ʋ z x óː d n ə m
sklopko	s k l óː p k ɔ
sladkarij	s l a t k àː r i j
slatini	s l a t ìː n i
slikovnih	s l i k ɔ́ː ʋ n i x
slovanska	s l ɔ ʋ áː n s k a
slovenke	s l ɔ ʋ éː n k ɛ
slovnico	s l ɔ́ː ʋ n i t͡s ɔ
slutiti	s l ùː t i t i
socvetja	s ɔ t͡s ʋ éː t j a
soft	s óː f t
solastnik	s ɔ l áː s t n i k
sondo	s óː n d ɔ
sorodni	s ɔ r óː d n i
spoved	s p ɔ ʋ éː t
spoštovana	s p ɔ ʃ t ɔ ʋ áː n a
srečevali	s r ɛ t͡ʃ ɛ ʋ àː l i
stefana	s t ɛ f áː n a
stereo	s t ɛ r éː ɔ
stolnica	s t ɔ̀ː ʋ n i t͡s a
stopijo	s t ɔ p íː j ɔ
strategiji	s t r a t èː ɡ i j i
strogega	s t r ɔ ɡ éː ɡ a
strojnih	s t r ɔ̀ː j n i x
strupov	s t r ùː p ɔ ʋ
stvarnika	s t ʋ áː r n i k a
sub	s úː p
tarč	t áː r t͡ʃ
tekmovalnih	t ɛ k m ɔ ʋ áː l n i x
tematska	t ɛ m áː t s k a
teolog	t ɛ ɔ l óː k
teoretsko	t ɛ ɔ r éː t s k ɔ
terjala	t ɛ r j áː l a
težavi	t ɛ ʒ àː ʋ i
točnih	t óː t͡ʃ n i x
tresenje	t r ɛ s éː n j ɛ
trojici	t r ɔ j ìː t͡s i
turbine	t u r b ìː n ɛ
udarna	u d áː r n a
udobna	u d óː b n a
ukazala	u k a z áː l a
umešča	u m éː ʃ t͡ʃ a
umira	u m ìː r a
univerzami	u n i ʋ ɛ r z àː m i
upirajo	u p i r áː j ɔ
uresničevanju	u r ɛ s n i t͡ʃ ɛ ʋ áː n j u
učinkovitejši	u t͡ʃ i n k ɔ ʋ ìː t ɛ j ʃ i
vate	ʋ àː t ɛ
vedenj	ʋ èː d ə n
veleposlaništvu	ʋ ɛ l ɛ p ɔ s l a n ìː ʃ t ʋ u
veličastne	ʋ ɛ l i t͡ʃ áː s t n ɛ
vermont	ʋ ɛ r m óː n t
vibracij	ʋ i b r àː t͡s i j
vipavska	ʋ i p áː ʋ s k a
voranca	ʋ ɔ r áː n t͡s a
vozniške	ʋ ɔ z n ìː ʃ k ɛ
vozniškega	ʋ ɔ z n ìː ʃ k ɛ ɡ a
vstopna	ʋ s t óː p n a
vulkana	ʋ u l k áː n a
vzele	ʋ z èː l ɛ
vzgojena	ʋ z ɡ ɔ j éː n a
zadostna	z a d óː s t n a
zadovoljila	z a d ɔ ʋ ɔ l j ìː l a
zakladi	z a k l àː d i
zakonita	z a k ɔ n ìː t a
zapisuje	z a p i s ùː j ɛ
zaročila	z a r ɔ t͡ʃ ìː l a
zaslišal	z a s l i ʃ áː l
zavarovalnico	z a ʋ a r ɔ ʋ áː l n i t͡s ɔ
zavist	z a ʋ íː s t
zavora	z a ʋ óː r a
zdele	z d èː l ɛ
zemljiškega	z ɛ m l j ìː ʃ k ɛ ɡ a
zgleduje	z ɡ l ɛ d ùː j ɛ
zgradilo	z ɡ r a d ìː l ɔ
zloženke	z l ɔ ʒ éː n k ɛ
zlu	z l úː
zornega	z ɔ r n éː ɡ a
češkoslovaške	t͡ʃ ɛ ʃ k ɔ s l ɔ ʋ áː ʃ k ɛ
čokoladno	t͡ʃ ɔ k ɔ l áː d n ɔ
čuječnosti	t͡ʃ u j èː t͡ʃ n ɔ s t i
šarm	ʃ áː r m
šerif	ʃ ɛ r íː f
šumi	ʃ ùː m i
žarka	ʒ áː r k a
živahne	ʒ i ʋ áː x n ɛ
administrativna	a d m i n i s t r a t íː ʋ n a
alkoholizem	a l k ɔ x ɔ l ìː z ə m
ambasadorji	a m b a s a d óː r j i
arheolog	a r x ɛ ɔ l óː k
ari	àː r i
barbie	b àː r b i ɛ
baročnih	b a r óː t͡ʃ n i x
baseballa	b a s ɛ b áː l a
besedišče	b ɛ s ɛ d ìː ʃ t͡ʃ ɛ
betonske	b ɛ t óː n s k ɛ
bikini	b i k ìː n i
bing	b íː n k
blagajnik	b l a ɡ áː j n i k
bobna	b óː b n a
bodalo	b ɔ d àː l ɔ
bombami	b ɔ m b àː m i
bralni	b r áː l n i
brskalnika	b ə r s k áː l n i k a
cal	t͡s áː l
carin	t͡s a r íː n
carja	t͡s áː r j a
cesarske	t͡s ɛ s áː r s k ɛ
cf	t͡s ə́ f
citati	t͡s i t àː t i
danega	d a n éː ɡ a
debeljak	d ɛ b ɛ l j àː k
definirajo	d ɛ f i n i r áː j ɔ
delujoč	d ɛ l u j óː t͡ʃ
demonov	d ɛ m óː n ɔ ʋ
det	d éː t
direktorju	d i r ɛ k t óː r j u
diviziji	d i ʋ ìː z i j i
dočakala	d ɔ t͡ʃ a k áː l a
dravske	d r áː ʋ s k ɛ
dražljajev	d r a ʒ l j áː j ə ʋ
drzen	d ə́ r z ə n
eksperimenta	ɛ k s p ɛ r i m éː n t a
emona	ɛ m óː n a
ferdinanda	f ɛ r d i n áː n d a
furlaniji	f u r l àː n i j i
geometrije	ɡ ɛ ɔ m èː t r i j ɛ
giba	ɡ ìː b a
gill	ɡ íː l
glasna	ɡ l áː s n a
gotski	ɡ óː t s k i
graben	ɡ r àː b ə n
grobi	ɡ r òː b i
hercegovino	x ɛ r t͡s ɛ ɡ ɔ ʋ ìː n ɔ
herojev	x ɛ r ɔ̀ː j ə ʋ
himne	x ìː m n ɛ
hitrostni	x i t r óː s t n i
holokavst	x ɔ l ɔ k áː ʋ s t
horizont	x ɔ r i z óː n t
idiot	i d i óː t
ignorira	i ɡ n ɔ r ìː r a
igralki	i ɡ r áː l k i
inn	íː n
inovativnost	i n ɔ ʋ a t íː ʋ n ɔ s t
intelektualnih	i n t ɛ l ɛ k t u áː l n i x
iskanih	i s k àː n i x
izobraževalnem	i z ɔ b r a ʒ ɛ ʋ áː l n ə m
izogib	i z ɔ ɡ íː p
izročilom	i z r ɔ t͡ʃ ìː l ɔ m
izsiljevanja	i s s i l j ɛ ʋ áː n j a
izsiljevanje	i s s i l j ɛ ʋ áː n j ɛ
izvajalo	i z ʋ a j àː l ɔ
izčrpana	i s t͡ʃ ə r p áː n a
jadralni	j a d r áː l n i
jezikoslovja	j ɛ z i k ɔ s l ɔ́ː ʋ j a
jezno	j èː z n ɔ
jodie	j òː d i ɛ
kapelico	k a p ɛ l ìː t͡s ɔ
kitajskim	k i t áː j s k i m
klasifikacija	k l a s i f i k àː t͡s i j a
koloradu	k ɔ l ɔ r áː d u
koordinacije	k ɔ ɔ r d i n àː t͡s i j ɛ
korčula	k ɔ r t͡ʃ ùː l a
kosmiče	k ɔ s m ìː t͡ʃ ɛ
kosmičev	k ɔ s m ìː t͡ʃ ə ʋ
kovačiča	k ɔ ʋ àː t͡ʃ i t͡ʃ a
krivulja	k r i ʋ úː l j a
kupovala	k u p ɔ ʋ áː l a
lescah	l èː s t͡s a x
lewisa	l ɛ ʋ ìː s a
liberalci	l i b ɛ r áː l t͡s i
lima	l ìː m a
lis	l íː s
lisic	l ìː s i t͡s
luče	l ùː t͡ʃ ɛ
magija	m àː ɡ i j a
mango	m áː n ɡ ɔ
mart	m áː r t
masaže	m a s áː ʒ ɛ
masivne	m a s íː ʋ n ɛ
medvodah	m ɛ d ʋ óː d a x
mehurčkov	m ɛ x ùː r t͡ʃ k ɔ ʋ
misijon	m i s i j óː n
