seg	s æ ɪ̯
gipsen	j ɪ p s n̩
gjellene	j ɛ lː ə n ə
gjennomtrekk	j ɛ nː ɔ m t r ɛ k
gjødsling	j œ d s l ɪ ŋ
gullfaks	ɡ ʉ l f a k s
haben	h ɑː b n̩
hallusinogener	h a l ʉ s ɪ n uː ɡ ə n ə r
hamlin	h a m l iː n
hansine	h a n s iː n ə
heden	h eː d n̩
helsefare	h ɛ l s ə f ɑː r ə
hindringene	h ɪ n d r ɪ ŋ ə n ə
hodebry	h uː d ə b r yː
hurtiglading	h ʉ ʈ ɪ ɡ l ɑː d ɪ ŋ
husdyrene	h ʉː s d yː r ə n ə
igjæn	iː j æ n
innførselen	ɪ nː f œ ʂ ə l n̩
inngifte	ɪ n j ɪ f t ə
institut	ɪ n s t ɪ t ʉː t
intuitive	ɪ n t ʉ ɪ t iː ʋ ə
iscenesette	ɪ s ɛ n ə s ɛ tː ə
isolde	iː s ɔ l d ə
jans	j a n s
jeb	j eː b
jentegjengen	j ɛ n t ə j ɛ ŋ n̩
jernbanene	j æː ɳ b ɑː n ə n ə
jodel	j uː d ə l
joo	j uː
jærbanen	j æː r b ɑː n n̩
kamptrening	k a m p t r eː n ɪ ŋ
kantiner	k a n t iː n ə r
kas	k ɑː s
katrin	k a t r iː n
kenton	k ɛ n t uː n
kjerneområdet	ç æː ɳ ə u m r oː d ə
kjærlighetsaffære	ç æː ɭ ɪ h eː t s a f æː r ə
klebrige	k l eː b r ɪ ə
knops	k n ɔ p s
kranglingen	k r ɑ ŋ l ɪ ŋ n̩
kranium	k r ɑː n ɪ ʉ m
kretsmester	k r ɛ t s m ɛ s t ə r
kronerulling	k r uː n ə r ʉ lː ɪ ŋ
kunstgressbanen	k ʉ n s t ɡ r ɛ s b ɑː n n̩
kurbad	k ʉ r b ɑː
kveldskurs	k ʋ ɛ l s k ʉ ʂ
lavtliggende	l ɑ ʋ t l ɪ ɡː ə n d ə
luktene	l ʉ k t ə n ə
lunsjtid	l ʉ n ʃ t iː
magikeren	m ɑː ɡ ɪ k ə r n̩
makabre	m ɑ k ɑː b r ə
mandariner	m a n d a r iː n ə r
manta	m a n t a
mariner	m ɑ r iː n ə r
melodisk	m ə l uː d ɪ s k
menighetshus	m eː n ɪ h eː t s h ʉː s
meninga	m eː n ɪ ŋ a
messingen	m ɛ sː ɪ ŋ n̩
mexicogolfen	m ɛ k s ɪ k ʊ ɡ ɔ l f n̩
mikaela	m i k a eː l a
minnefond	m ɪ nː ə f ʊ n
minneord	m ɪ nː ə uː r
mjøen	m j øː n̩
modifiseres	m uː d ɪ f ɪ s eː r ə s
msi	m s iː
nablus	n ɑː b l ʉː s
nasams	n a s a m s
nbf	ɛ n b eː ɛ f
nicks	n ɪ k s
nostra	n ɔ s t r a
nylund	n yː l ʉ n
oppsynet	ɔ p s yː n ə
opstad	u p s t aː
pampene	p a m p ə n ə
parkanlegg	p a r k a n l e ɡ
parodier	p a r uː d ɪ ə r
peaches	p iː t͡ʃ ə s
permer	p æ r m ə r
pissa	p ɪ sː a
pon	p uː n
portør	p u ʈ øː r
potsdam	p u t s d a m
protoner	p r ʊ t uː n ə r
pryde	p r yː d ə
pvp	p eː ʋ ə p eː
py	p yː
realister	r ɛ a l ɪ s t ə r
retningslinje	r ɛ t n ɪ ŋ s l ɪ n j ə
rettede	r ɛ tː ə d ə
rustningen	r ʉ s t n ɪ ŋ n̩
saboterte	s a b ʊ t eː ʁ t ə
sekret	s ɛ k r ə
selvgående	s ɛ l ɡ oː ə n d ə
senen	s eː n n̩
sentraliseringen	s ɛ n t r a l ɪ s eː r ɪ ŋ n̩
sibirske	s ɪ b iː ʂ k ə
siten	s iː t n̩
skadevare	s k ɑː d ə ʋ ɑː r ə
skattenivået	s k a tː ə n ɪ ʋ oː ə
skattereformen	s k a tː ə r ə f ɔ r m n̩
skattesatsen	s k a tː ə s a t s n̩
skaugum	s k æ ʉ ɡ ʉ m
skjulestedet	ʃ ʉː l ə s t eː d ə
skolebussen	s k uː l ə b ʉ sː n̩
skrifttype	s k r ɪ f t t yː p ə
skussmål	s k ʉ s m oː l
skyldner	ʃ ʏ l d n ə r
sleper	ʂ l eː p ə r
smilt	s m ɪ l t
smurfene	s m ʉ r f ə n ə
sok	s uː k
spansktalende	s p a n s k t ɑː l ə n d ə
spisestue	s p iː s ə s t ʉː ə
stekepannen	s t eː k ə p a nː n̩
stortsett	s t u ʈ s ɛ t
styringsgruppen	s t yː r ɪ ŋ s ɡ r ʉ pː n̩
sá	s ɑː
talspersoner	t ɑː l s p ɛ ʁ s uː n ə r
tengs	t ɛ ŋ s
tikke	² t ɪ kː ə
tilbakekomsten	t ɪ l b ɑː k ə k ɔ m s t n̩
tittelsporet	t ɪ tː ə l s p uː r ə
toc	t uː k
togets	t uː ɡ ə t s
tomannshånd	t u m a n s h ɔ n
torpedorør	t u r p e d u r øː r
trauste	t r æ ʉ s t ə
trigges	t r ɪ ɡː ə s
trucken	t r ʉ kː n̩
tøvet	t øː ʋ ə
ulm	ʉ l m
ulydig	ʉː l yː d ɪ
underlegges	ʉ n d ə ɾ l ɛ ɡː ə s
utfolder	ʉː t f ɔ l d ə r
utfoldet	ʉː t f ɔ l d ə
utgiverne	ʉː t j iː ʋ æ ɳ ə
utropte	ʉː t r ɔ p t ə
utvid	ʉː t ʋ iː
vannrette	ʋ ɑ n r ɛ tː ə
verifisering	ʋ ɛ r ɪ f ɪ s eː r ɪ ŋ
viltvoksende	ʋ ɪ l t ʋ ɔ k s ə n d ə
vimpel	ʋ ɪ m p ə l
vårløk	ʋ oː ɾ l øː k
åbo	oː b u
åttendeplass	ɔ tː ə n d ə p l a s
ær	æː r
aan	ɑː n
abram	a b r a m
akterover	a k t ə r oː ʋ ə r
algene	ɑ l ʃ ə n ə
altmann	ɑ l t m ɑ n
ambient	a m b ɪ ɛ n t
amistad	ɑ m ɪ s t ɑː
ander	ɑ n d ə r
annerkjennelse	ɑ nː ə r ç ɛ nː ə l s ə
anspente	ɑ n s p ɛ n t ə
antisemittismen	ɑ n t ɪ s ə m ɪ tː ɪ s m n̩
arrester	ɑ r ɛ s t ə r
artie	ɑ ʁ t j ə
avdragene	ɑː ʋ d r ɑː ɡ ə n ə
avgått	ɑː ʋ ɡ ɔ t
baard	b ɑː r
baath	b ɑː t
baez	b ɑː ə s
baht	b ɑː t
bajonetter	b a ʃ ʊ n ɛ tː ə r
bedyrer	b ə d yː r ə r
bemyndiget	b ə m ʏ n d ɪ ə
bensinstasjonene	b ɛ n s ɪ n s t a ʃ uː n ə n ə
beplantning	b ə p l ɑ n t n ɪ ŋ
bihulene	b ɪ h ʉː l ə n ə
bindeleddet	b ɪ n d ə l ɛ dː ə
bindingene	b ɪ n d ɪ ŋ ə n ə
blodcellene	b l uː s ɛ lː ə n ə
blodgivere	b l uː j ɪ ʋ ə r ə
blågrønn	b l oː ɡ r œ n
bokmessen	b uː k m ɛ sː n̩
bosser	b ɔ sː ə r
brace	b r ɑː s
budsjettkutt	b ʉ d ʃ ɛ t k ʉ t
byenes	b yː ə n ə s
ciro	s iː r u
corrigan	k ɔ r ɪ ɡ ɑː n
crab	k r ɑː b
creator	k r ɛ ɑː t ʊ r
crux	k r ʉ k s
dikterte	d ɪ k t eː ʁ t ə
diskrimineres	d ɪ s k r ɪ m ɪ n eː r ə s
disputt	d ɪ s p ʉ t
distress	d ɪ s t r ɛ s
dokkene	d ɔ kː ə n ə
draper	d r ɑː p ə r
dunke	d ʉ ŋ k ə
eftas	ɛ f t ɑ s
egent	eː ɡ ɛ n t
ekstravagant	ɛ k s t r a ʋ a ɡ a n t
elo	eː l u
emperor	ɛ m p ə r uː r
endorfiner	ɛ n d ɔ r f iː n ə r
enkeltindivid	ɛ ŋ k ə l t ɪ n d ɪ ʋ iː
ennis	ɛ nː ɪ s
fakter	f a k t ə r
feider	f æ ɪ d ə r
ferdigbygd	f æ ɖ ɪ b ʏ ɡ d
firkløver	f ɪ r k l øː ʋ ə r
fogd	f ɔ ɡ d
folkefest	f ɔ l k ə f ɛ s t
foreldregenerasjonen	f ɔ r ɛ l d r ɛ ɡ ɛ n ə r a ʃ uː n n̩
forester	f ɔ ɾ ɛ s t ə r
forgreninger	f ɔ r ɡ r eː n ɪ ŋ ə r
forklaringsmodell	f ɔ r k l ɑː r ɪ ŋ s m uː d ɛ l
formoder	f ɔ r m uː d ə r
forretter	f ɔ r ɛ tː ə r
forvaltningsrett	f ɔ r ʋ ɑ l t n ɪ ŋ s r ɛ t
forvitrer	f ɔ r ʋ ɪ t r ə r
føljetong	f œ l j ə t ɔ ŋ
gjendiktet	j ɛ n d ɪ k t ə
grekeren	ɡ r eː k ə r n̩
grynet	ɡ r yː n ə
hakkete	h a kː ə t ə
hama	h ɑː m ɑ
havarert	h a ʋ a r eː ʁ t
hedemarken	h eː d ə m ɑ r k n̩
heldal	h ɛ l d ɑː l
hetsen	h ɛ t s n̩
hier	h iː ə r
hitachi	h i t a t͡ʃ iː
hobbitene	h ɔ bː ɪ t ə n ə
hogger	h ɔ ɡː ə r
hospice	h ʊ s p ɪ s
huston	h ʉ s t uː n
ibux	iː b ʉ k s
identitetskrise	ɪ d ɛ n t ɪ t eː t s k r iː s ə
ilseng	ɪ l s ɛ ŋ
inaktivitet	ɪ n a k t ɪ ʋ ɪ t eː t
indusere	ɪ n d ʉ s eː r ə
infrastructure	ɪ n f r a s t r ʉ k t ʉː r ə
innretningene	ɪ nː r ɛ t n ɪ ŋ ə n ə
inspiration	ɪ n s p ɪ r a ɧ uː n
jumpin	j ʉ m p iː n
juncker	j ʉ ŋ k ə r
kantet	k a n t ə
kassandra	k a s a n d r a
kirurgene	ç ɪ r ʉ r ɡ ə n ə
kitt	ç ɪ tː
kjeldsen	ç ɛ l s n̩
konturer	k u n t ʉː r ə r
koples	k u p l eː s
kowalczyk	k u ʋ a l t͡ʃ yː k
kreasjon	k r ɛ a ʃ uː n
kutting	k ʉ tː ɪ ŋ
kvelende	k ʋ eː l ə n d ə
lemper	l ɛ m p ə r
lesende	l eː s ə n d ə
lisas	l iː s ɑ s
lobster	l ɔ b s t ə r
lunefull	l ʉː n ə f ʉ l
læregutt	l æː r ə ɡ ʉ t
læret	l æː r ə
løpingen	l øː p ɪ ŋ n̩
maher	m ɑː h ə r
majors	m a j u ʂ
maktforholdene	m a k t f ɔ r h ɔ l d ə n ə
matpakken	m aː t p a kː n̩
melkeku	m ɛ l k ə k ʉː
mesterens	m ɛ s t ə r ɛ n s
midland	m iː d l ɑ n
miro	m iː r u
modernitet	m uː d æ ɳ ɪ t eː t
moved	m uː v ə
myndighetsområde	m ʏ n d ɪ h eː t s ɔ m r oː d ə
namsen	n a m s n̩
nedenstående	n eː d ə n s t oː ə n d ə
negativer	n e ɡ a t iː ʋ ə r
nelsons	n ɛ l s uː n s
nemnden	n ɛ m d n̩
nettmobbing	n ɛ t m ɔ b ɪ ŋ
nettroll	n e t r o l
nilson	n ɪ l s uː n
nilu	n iː l ʉ
nini	n iː n ɪ
noten	n uː t n̩
nursing	n ʉ ʂ ɪ ŋ
oker	uː k ə r
oljemaling	ɔ l j ə m ɑː l ɪ ŋ
omga	ɔ m ɡ a
oppturen	ɔ p t ʉː r n̩
patologiske	p a t ʊ l uː ɡ ɪ s k ə
peiser	p æ ɪ s ə r
pera	p eː r a
perla	p æː ɭ a
pixar	p ɪ k s ɑ r
postal	p ʊ s t ɑː l
postmodernismen	p ɔ s t m uː d ə ɳ ɪ s m n̩
prises	p r iː s ə s
proklamert	p r u k l a m eː ʁ t
purpur	p ʉ r p ʉː r
påfugl	p oː f ʉ ɡ l
rafe	r ɑː f ə
rasehygiene	r ɑː s ə h yː ɡ ɪ ə n ə
riksveg	r i k s v eː ɡ
rundturen	r ʉ n t ʉː r n̩
rutland	r ʉː t l ɑ n
rødbrun	r øː b r ʉː n
salgspris	s a l ɡ s p r iː s
sanddyner	s a n d yː n ə r
schweigaards	ʃ v æ ɪ ɡ ɑː r s
scones	s k uː n ə s
sixtinske	s ɪ k s t iː n s k ə
skildringene	ʃ ɪ l d r ɪ ŋ ə n ə
skjelden	ʃ ɛ l d n̩
skjerming	² ʃ æ r m ɪ ŋ
skodd	s k ɔ dː
slug	ʂ l ʉː ɡ
soldats	s uː l d a t s
spend	s p ɛ n
stamper	s t a m p ə r
stash	s t a ʃ
stipulert	s t ɪ p ʉ l eː ʁ t
streak	s t r eː ɑ k
svøpe	s ʋ øː p ə
symboliserte	s ʏ m b ʊ l ɪ s eː ʁ t ə
sympatisere	s ʏ m p a t ɪ s eː r ə
sympatisør	s ʏ m p a t ɪ s øː r
synk	s ʏ ŋ k
sørås	s øː r oː s
takken	t a kː n̩
talerne	t ɑː l æ ɳ ə
tapstallene	t a p s t a lː ə n ə
taterne	t ɑː t æ ɳ ə
tillitsbrudd	t ɪ lː ɪ t s b r ʉ d
tits	t ɪ t s
tjo	ç uː
tritium	t r iː t ɪ ʉ m
tufs	t ʉ f s
tvangsmessig	t ʋ ɑ ŋ s m ɛ sː ɪ
ubehageligheter	ʉː b ə h ɑː ɡ ə l ɪ h eː t ə r
ungdyr	ʉ ŋ d yː r
utblåsning	ʉː t b l oː s n ɪ ŋ
utsendingene	ʉː t s ɛ n d ɪ ŋ ə n ə
utskrives	ʉː t s k r iː ʋ ə s
uvaner	ʉː ʋ ɑː n ə r
vandrehistorie	ʋ ɑ n d r ə h ɪ s t uː r j ə
veer	ʋ eː ə r
virkedager	ʋ ɪ r k ə d ɑː ɡ ə r
virksomhetsoverdragelse	ʋ ɪ r k s ɔ m h eː t s oː ʋ ɛ r d r ɑː ɡ ə l s ə
væpner	ʋ æː p n ə r
zoologi	s uː l u ɡ iː
ét	eː t
øster	ø s t ə r
addiction	a d ɪ k ʃ uː n
afi	ɑ f iː
aksjeloven	a k ʃ ə l oː ʋ n̩
amuletten	a m ʉ l ɛ tː n̩
anløper	ɑː n l øː p ə r
anon	a n uː n
arkhangelsk	ɑ r k h ɑ ŋ ə l s k
avbildede	ɑː ʋ b ɪ l d ə d ə
avsetter	ɑː ʋ s ɛ tː ə r
baktanker	b a k t a ŋ k ə r
barnebarns	b ɑː ɳ ə b ɑː ɳ s
bedrives	b ə d r iː ʋ ə s
beisfjord	b æ ɪ s f j uː r
bengtsson	b ɛ ŋ t s uː n
beskyldningen	b ə ʃ ʏ l d n ɪ ŋ n̩
bigger	b ɪ ɡː ə r
billings	b ɪ lː ɪ ŋ s
bjørkan	b j œ r k ɑː n
boon	b uː n
boro	b uː r u
bubba	b ʉ bː ɑ
coo	k uː
coupé	k u p eː
covent	k uː ʋ ɛ n t
coward	k ɔ ʋ ɑː r
diktatoriske	d ɪ k t a t uː r ɪ s k ə
dopingsaker	d uː p ɪ ŋ s ɑː k ə r
drektige	d r ɛ k t ɪ ə
dubbing	d ʉ bː ɪ ŋ
dveler	d ʋ eː l ə r
ekspedisjonens	ɛ k s p ɛ d ɪ ʃ uː n ɛ n s
ensporet	ɛ n s p uː r ə
etterforskingen	ɛ tː ə r f ɔ ʂ k ɪ ŋ n̩
ettroms	ɛ t r ɔ m s
familiebånd	f a m iː l j ə b ɔ n
farter	f a ʁ t ə r
fartsbot	f a ʁ t s b uː t
finde	f ɪ n d ə
folkefiende	f ɔ l k ə f iː ə n d ə
foo	f uː
formålene	f ɔ r m oː l ə n ə
forskningsgrupper	f ɔ ʂ k n ɪ ŋ s ɡ r ʉ pː ə r
forsyn	f ɔ ʂ yː n
forts	f u ʈ s
fullere	f ʉ l eː r ə
fullpakket	f ʉ l p a kː ə
følsomheten	f øː l s ɔ m h eː t n̩
gangbroen	ɡ a ŋ b r uː n̩
gebyrene	ɡ ə b yː r ə n ə
geller	ɡ ɛ lː ə r
gentle	ɡ ɛ n t l ə
gepard	ɡ ə p ɑː r
glid	ɡ l iː
gnag	ɡ n ɑː ɡ
goldfinger	ɡ ɔ l f ɪ ŋ ə r
groningen	ɡ r uː n ɪ ŋ n̩
grooming	ɡ r uː m ɪ ŋ
groven	ɡ r oː ʋ n̩
grundigligaen	ɡ r ʉ n d ɪ ɡ l ɪ ɡ ɑː n̩
gruppes	ɡ r ʉ pː ə s
gøyalt	j œ ʏ̯ ɑ l t
heimdall	h æ ɪ m d a l
helsesjekk	h ɛ l s ə ʃ ɛ k
hemp	h ɛ m p
herbjørnsrud	h e r b j øː ɳ s r ʉː
hestesport	h ɛ s t ə s p u ʈ
hjemler	j ɛ m l ə r
holtz	h o l t s
hummere	h ʉ m ə r ə
hungry	h ʉ ŋ ɾ yː
hunnkjønn	h ʉ n ç œ n
hypen	h yː p n̩
hyse	h yː s ə
identifikasjonen	ɪ d ɛ n t ɪ f ɪ k a ʃ uː n n̩
identifiser	ɪ d ɛ n t ɪ f iː s ə r
impala	ɪ m p ɑː l a
inf	ɪ n f
infact	ɪ n f a k t
inntektsgivende	ɪ nː t ɛ k t s j iː ʋ ə n d ə
innvandringsdebatt	ɪ nː ʋ a n d r ɪ ŋ s d ə b a t
inspiserer	ɪ n s p ɪ s eː r ə r
intranett	ɪ n t r a n ɛ t
islamiseringen	ɪ s l a m ɪ s eː r ɪ ŋ n̩
isu	iː s ʉ
jessen	j ɛ sː n̩
jovan	j uː ʋ ɑ n
jubileer	j ʉː b ɪ l eː ə r
justisministerens	j ʉ s t ɪ s m ɪ n ɪ s t ə r ɛ n s
justitia	j ʉ s t iː t ɪ a
kaci	k ɑː s ɪ
kattungen	k a tː ʊ ŋ n̩
kazan	k a z aː n
kjellberg	ç ɛ l b æ r
kjennskapen	ç ɛ n s k ɑː p n̩
kles	k l eː s
klokketårn	k l ɔ kː ə t oː ɳ
kokekar	k uː k ə k ɑː r
kombo	k u m b u
krakken	k r a kː n̩
krepsen	k r ɛ p s n̩
kriker	k r iː k ə r
krypt	k r y p t
kunstmuseet	k ʉ n s t m ʉ s eː ə
kvinnekampen	k ʋ ɪ nː ə k a m p n̩
lanterner	l ɑ n t æ ɳ ə r
larviks	l ɑ r ʋ i k s
lettelser	l ɛ tː ə l s ə r
lick	l ɪ k
lordene	l uː r ə n ə
lovfestede	l oː ʋ f ɛ s t ə d ə
luene	l ʉː ə n ə
lush	l ʉ ʂ
mamba	m a m b a
markhus	m ɑ r k h ʉː s
massasjen	m a s a ʃ n̩
melkekyr	m ɛ l k ə k yː r
midtøstens	m i d t œ s t ɛ n s
mogensen	m uː ɡ ɛ n s n̩
mondo	m u n d u
moretti	m u r e tː i
nasjonalisere	n a ʃ ʊ n a l ɪ s eː r ə
nauru	n æ ʉ r ʉ
nekrose	n e k r uː s e
neseblod	n eː s ə b l uː
nettby	n ɛ t b yː
nøtta	n œ tː ɑ
oas	uː ɑ s
objects	ɔ b j ɛ k t s
oljefeltet	ɔ l j ə f ɛ l t ə
olsbu	uː l s b ʉː
opptjente	ɔ p ç ɛ n t ə
orkidé	ɔ r k ɪ d eː
overliste	oː ʋ ə ɾ l ɪ s t ə
paier	p ɑ ɪ̯ ə r
pantheon	p a n t h uː n
partere	p a ʁ t eː r ə
peep	p iː p
persontog	p æ ʂ uː n t uː ɡ
pleies	p l æ ɪ ə s
politidistriktene	p ʊ l ɪ t ɪ d ɪ s t r ɪ k t ə n ə
primærnæringene	p r i m æː ɳ æː r ɪ ŋ ə n ə
probe	p r uː b ə
problematiserer	p r ʊ b l ə m a t ɪ s eː r ə r
prom	p r u m
prosentvise	p r ʊ s ɛ n t ʋ iː s ə
rands	r ɑ n s
rante	r ɑ n t ə
repeter	r ə p eː t ə r
responsibility	r ɛ s p ʊ n s ɪ b ɪ l ɪ t yː
rigel	r iː ɡ ə l
risten	r ɪ s t n̩
rockwell	r ɔ k ʋ ɛ l
rovfugler	r oː v f ʉ ɡ l ə r
rugbrød	r ʉː ɡ b r øː
rullere	r ʉ l eː r ə
rullestoler	r ʉ lː ə s t uː l ə r
rødløk	r øː l øː k
saksa	s a k s a
selina	s ə l iː n a
selvforsyning	s ɛ l f ɔ ʂ yː n ɪ ŋ
sexlyst	s ɛ k s l ʏ s t
sitteplassene	s ɪ tː ə p l a sː ə n ə
skammekroken	s k a mː ə k r uː k n̩
skoleoppgave	s k uː l ə u p ɡ ɑː ʋ ə
skrullinger	s k r ʉ lː ɪ ŋ ə r
skulket	s k ʉ l k ə
snåsamannen	s n oː s a m a nː n̩
speidet	s p æ ɪ d ə
stabilisator	s t a b ɪ l ɪ s ɑː t ʊ r
steenstrup	s t eː n s t r ʉː p
stemmebåndene	s t ɛ mː ə b ɔ n d ə n ə
stillinga	s t ɪ lː ɪ ŋ a
strap	s t r ɑː p
studentorganisasjoner	s t ʉː d ɛ n t ɔ r ɡ a n ɪ s a ʃ uː n ə r
stålrør	s t oː l r øː r
subsidiene	s ʉ b s iː d ɪ ə n ə
sunnaas	s ʉ n ɑː s
svartinger	s ʋ ɑ ʁ t ɪ ŋ ə r
tarot	t ɑ r uː t
terese	t ɛ r eː s ə
terningmoen	t æː ɳ ɪ ŋ m uː n̩
tilkalles	t ɪ l k ɑ lː ə s
tilt	t ɪ l t
tinglysing	t ɪ ŋ l yː s ɪ ŋ
tjall	ç ɑ l
toralf	t u r a l f
transformatoren	t r a n s f ɔ r m ɑː t ʊ r n̩
tribun	t r iː b ʉː n
tsi	t s iː
tøffing	t œ fː ɪ ŋ
ufølsom	ʉː f øː l s ɔ m
ulrike	ʉː l r iː k ə
utsi	ʉː t s ɪ
veiver	ʋ æ i̯ ʋ ə r
ventede	ʋ ɛ n t ə d ə
virile	ʋ ɪ r ɪ l ə
vrakes	ʋ r ɑː k ə s
xe	k s eː
agderfylkene	a ɡ d ə r f ʏ l k ə n ə
alligatorer	ɑ l ɪ ɡ ɑː t ʊ r ə r
allokert	ɑ l ʊ k eː ʁ t
ammende	a mː ə n d ə
amulett	a m ʉ l ɛ t
antidoping	ɑ n t ɪ d uː p ɪ ŋ
arif	ɑ r iː f
aspaas	a s p ɑː s
assisterte	a s ɪ s t eː ʁ t ə
aukland	æ ʉ k l ɑ n
avlusing	ɑː ʋ l ʉː s ɪ ŋ
badstua	b a d s t ʉː a
bagn	b a ŋ n
banditt	b a n d i t
bands	b a n s
barnebokforfatter	b ɑː ɳ ə b uː k f ɔ r f a tː ə r
barnetoget	b ɑː ɳ ə t uː ɡ ə
barokken	b ɑ r ɔ kː n̩
beginning	b ə ɡ ɪ n ɪ ŋ
bingham	b ɪ ŋ h ɑ m
blodfortynnende	b l uː f ɔ ʁ t ʏ nː ə n d ə
blodplater	b l uː p l ɑː t ə r
blåkopi	b l oː k u p iː
brahe	b r ɑː h ə
broket	b r uː k ə
brukerene	b r ʉː k ə r ə n ə
bruktbiler	b r ʉ k t b iː l ə r
busselskap	b ʉ sː ə l s k ɑː p
carmel	k a r m ə l
claudette	k l æ ʉ d ɛ tː ə
datastyrt	d ɑː t a s t yː ʁ t
dogme	d ɔ ɡ m ə
dpi	d eː p iː
drøyer	d r œ ʏ̯ ə r
døves	d øː ʋ ə s
easton	eː a s t uː n
eiendommens	æ ɪ ə n d ɔ m ɛ n s
eikefat	æ ɪ k ə f ɑː t
ekskluderende	ɛ k s k l ʉ d eː r ə n d ə
ellingsrud	ɛ lː ɪ ŋ s r ʉː
endetiden	ɛ n d ə t iː d n̩
engste	ɛ ŋ s t ə
ensfargede	ɛ n s f a r ɡ ə d ə
ensign	ɛ n s ɪ ŋ n
etterforskningsleder	ɛ tː ə r f ɔ ʂ k n ɪ ŋ s l eː d ə r
fara	f ɑː r ɑ
farligst	f ɑː ɭ ɪ s t
ferjene	f æ r j ə n ə
festningene	f ɛ s t n ɪ ŋ ə n ə
fiskeværet	f ɪ s k ə ʋ æː r ə
fixed	f ɪ k s ə
fleksibiliteten	f l ɛ k s ɪ b ɪ l ɪ t eː t n̩
flygel	f l yː ɡ ə l
folkemusikken	f ɔ l k ə m ʉ s ɪ kː n̩
fontane	f ʊ n t ɑː n ə
forden	f ɔ ɾ d n̩
foretagende	f ɔ r ə t ɑː ɡ ə n d ə
forsetet	f ɔ ʂ ɛ t ə
gangbro	ɡ a ŋ b r uː
gh	j oː
glasshuset	ɡ l ɑ s h ʉː s ə
glorete	ɡ l uː r ə t ə
godstolen	ɡ u s t uː l n̩
grilles	ɡ r ɪ lː ə s
griskhet	ɡ r ɪ s k h eː t
grunde	ɡ r ʉ n d ə
gti	ɡ t iː
haqqani	h a kː a n iː
hastighetene	h a s t ɪ h eː t ə n ə
heiene	h æ ɪ ə n ə
helan	h eː l ɑ n
helmand	h ɛ l m ɑ n
hjernevaske	j æː ɳ ə ʋ a s k ə
huder	h ʉː d ə r
hultin	h ʉ l t iː n
humlene	h ʉ m l ə n ə
husbygging	h ʉː s b ʏ ɡ ɪ ŋ
hylser	h ʏ l s ə r
håndboka	h ɔ n b uː k a
høgere	h øː ɡ ə r ə
høvisk	h øː ʋ ɪ s k
imitasjoner	ɪ m ɪ t a ʃ uː n ə r
implisere	ɪ m p l ɪ s eː r ə
indeksene	ɪ n d ɛ k s ə n ə
innvendingene	ɪ nː ʋ ɛ n d ɪ ŋ ə n ə
isbryter	iː s b r yː t ə r
ism	ɪ s m
jaktmarker	j a k t m a r k ə r
jaktvåpen	j a k t ʋ oː p n̩
jobbsøking	j ɔ b s øː k ɪ ŋ
jugendstil	j ʉː ɡ ə n s t iː l
junker	j ʉ ŋ k ə r
kannen	k a nː n̩
kilte	ç ɪ l t ə
kjempesøt	ç ɛ m p ə s øː t
kjøttfri	ç œ t f r iː
klasses	k l a sː ə s
kodingen	k uː d ɪ ŋ n̩
kontaktløs	k u n t a k t l øː s
kvinnekroppen	k ʋ ɪ nː ə k r ɔ pː n̩
kvisvik	k ʋ iː s ʋ iː k
kåken	k oː k n̩
lettbrus	l ɛ t b r ʉː s
lindboe	l ɪ n b uː ə
lokkene	l ɔ kː ə n ə
losses	l ɔ sː ə s
lovgivere	l oː ʋ j iː ʋ ə r ə
lovund	l oː ʋ ʉ n
luftinntak	l ʉ f t ɪ n t ɑː k
lyseblått	l yː s ə b l ɔ t
løvtrær	l øː ʋ t r æː r
madammen	m a d a mː n̩
markien	m ɑ r k ɪ n̩
meldinga	m ɛ l d ɪ ŋ a
merkels	m æ r k ə l s
mimmi	m ɪ mː ɪ
modena	m uː d ə n a
moseloven	m uː s ə l oː ʋ n̩
moster	m ʊ s t ə r
muslingene	m ʉ s l ɪ ŋ ə n ə
mutanter	m ʉ t a n t ə r
mørketiden	m œ r k ə t iː d n̩
natteliv	n ɑ tː ə l iː ʋ
nesbru	n eː s b r ʉː
norskproduserte	n ɔ ʂ k p r ʊ d ʉ s eː ʁ t ə
nusra	n ʉ s r a
nyren	n yː r n̩
nådegave	n oː d ə ɡ ɑː ʋ ə
nøff	n œ f
observatorium	ɔ b s ɛ r ʋ a t uː r ɪ ʉ m
oct	ɔ k t
oljet	ɔ l j ə
oljetankere	ɔ l j ə t a ŋ k ə r ə
oppringning	ɔ p r ɪ ŋ n ɪ ŋ
opprustningen	ɔ p r ʉ s t n ɪ ŋ n̩
organisasjonsfrihet	ɔ r ɡ a n ɪ s a ʃ uː n s f r iː h eː t
paver	p ɑː ʋ ə r
piren	p iː r n̩
piskes	p ɪ s k ə s
plagen	p l ɑː ɡ n̩
planteliv	p l ɑ n t ə l iː ʋ
popkultur	p u p k ʉ l t ʉː r
pra	p r ɑː
predasjon	p r e d a ʃ uː n
profilerer	p r ʊ f ɪ l eː r ə r
proton	p r u t uː n
reddere	r ɛ dː ə r ə
regattaer	r ə ɡ a tː a ə r
reims	r æ ɪ̯ m s
rekrutten	r ə k r ʉ tː n̩
restskatt	r ɛ s t s k a t
rettsprosess	r ɛ t s p r ʊ s ɛ s
revisjonisme	r ɛ ʋ ɪ ʃ ʊ n ɪ s m ə
