ها	h ɒː
زال	z ɒː l
زیرش	z iː ɾ e̞ ʃ
سختیه	s o x t iː j e̞
سندیکای	s æ n d iː k ɒː j
سوفیا	s uː f j ɒː
سولفور	s uː l æ f uː ɾ
شرايطي	ʃ o ɾ ɒː j e̞ t iː
شكنجه	ʃ e̞ k æ n d͡ʒ e̞
شلوغش	ʃ o l uː ɢ e̞ ʃ
شوخي	ʃ uː x iː
شگرف	ʃ e̞ g e̞ ɾ e̞ f
شیلد	ʃ iː l æ d
صدرنشین	s e̞ d æ ɾ n e̞ ʃ iː n
طواف	t æ v ɒː f
عقلش	æ ɢ l e̞ ʃ
عواید	æ v ɒː j æ d
فام	f ɒː m
فرامرزی	f æ ɾ ɒː m o ɾ z iː
فرجه	f æ ɾ d͡ʒ e̞
فرمی	f æ ɾ m iː
فروتنی	f o ɾ uː t æ n iː
فشارخون	f e̞ ʃ ɒː ɾ x o n
فلسطين	f æ l æ s t iː n
قحبه	ɢ æ h b e̞
قشنگش	ɢ e̞ ʃ n æ g æ ʃ
قمارباز	ɢ æ m ɒː ɾ b ɒː z
لورل	l uː ɾ æ l
لولو	l uː l uː
لگو	l e̞ g uː
لیزی	l iː z iː
ماجراست	m ɒː d͡ʒ ɾ ɒː s t
مافیایی	m ɒː f j ɒː j iː
مانه	m ɒː n e̞
مترسک	m æ t æ ɾ s e̞ k
مساعدت	m æ s ɒː ʔ æ d æ t
معصومین	m æ ʔ s uː m iː n
مونی	m uː n iː
میرا	m iː ɾ ɒː
میشیگان	m iː ʃ iː g ɒː n
نابینایی	n ɒː b iː n ɒː j iː
ناسازگار	n ɒː s ɒː z g ɒː ɾ
ناسزا	n ɒː s e̞ z ɒː
ناچیزی	n ɒː t͡ʃ iː z iː
نتونستی	n æ t uː n e̞ s t iː
نجم	n æ d͡ʒ æ m
نذارم	n æ z ɒː ɾ æ m
نشیم	n e̞ ʃ iː m
نمیارم	n e̞ m iː ɒː ɾ æ m
نورآباد	n æ v æ ɾ ɒː b ɒː d
نیابتی	n æ j ɒː b t iː
هردوی	h æ ɾ d æ v iː
همدستی	h æ m d æ s t iː
واحده	v ɒː h e̞ d e̞
واهمه	v ɒː h æ m e̞
ویدا	v iː d ɒː
وینس	v iː n e̞ s
ياران	j ɒː ɾ ɒː n
پالتو	p ɒː l t o
پاناسونیک	p ɒː n ɒː s uː n iː k
پریز	p æ ɾ iː z
پلکانی	p e̞ l e̞ k ɒː n iː
چانیول	t͡ʃ ɒː n j o l
چيزی	t͡ʃ iː z iː
چیزیش	t͡ʃ iː z iː ʃ
کاتب	k ɒː t e̞ b
کارته	k ɒː ɾ t e̞
کارگردانان	k ɒː ɾ g æ ɾ d ɒː n ɒː n
کافران	k ɒː f ɾ ɒː n
کبودی	k o b uː d iː
کربوهیدرات	k æ ɾ b uː h iː d æ ɾ ɒː t
کنعان	k æ n ʔ ɒː n
کوچکش	k uː t͡ʃ e̞ k e̞ ʃ
کیرا	k iː ɾ ɒː
گزینشی	g o z iː n e̞ ʃ iː
گودرز	g uː d æ ɾ z
die	d iː
آبدار	ɒː b e̞ d ɒː ɾ
آغازگر	ɒː ɢ ɒː z g æ ɾ
آماج	ɒː m ɒː d͡ʒ
آنفولانزا	ɒː n æ f uː l ɒː n z ɒː
آکوستیک	ɒː k uː s t iː k
ازلی	ɒː z l iː
افترا	o f t æ ɾ ɒː
ایزابل	iː z ɒː b e̞ l
ایلامی	iː l ɒː m iː
باربر	b ɒː ɾ b æ ɾ
بامبو	b ɒː m b uː
ببين	b e̞ b iː n
بليط	b e̞ l iː t
بکی	b e̞ k iː
تاثیرگذاری	t ɒː s iː ɾ g o z ɒː ɾ iː
تاجی	t ɒː d͡ʒ iː
تاخیری	t ɒː x iː ɾ iː
تارنمای	t ɒː ɾ n æ m ɒː j
تازیانه	t ɒː z j ɒː n e̞
تراپی	t æ ɾ ɒː p iː
ترحیم	t æ ɾ h iː m
ترديد	t æ ɾ d iː d
ترکوندن	t e̞ ɾ k uː n d æ n
تعلیمات	t æ ʔ l iː m ɒː t
تعمیق	t æ ʔ m iː ɢ
تقیه	t æ ɢ j e̞
تلقي	t æ l ɢ iː
جونور	d͡ʒ uː n æ v æ ɾ
حقوقم	h o ɢ uː ɢ æ m
خلبانان	x æ l b ɒː n ɒː n
خمش	x æ m e̞ ʃ
خواستگار	x ɒː s t e̞ g ɒː ɾ
دخترهای	d æ x t æ ɾ e̞ iː
درازمدت	d æ ɾ ɒː z m æ d æ t
درباری	d æ ɾ b ɒː ɾ iː
دربیاری	d æ ɾ b iː j ɒː ɾ iː
دلچسب	d æ l t͡ʃ æ s b
دوتاش	d uː t ɒː ʃ
دینو	d iː n o
رایانش	ɾ ɒː j ɒː n e̞ ʃ
رودکی	ɾ uː d æ k iː
زوجی	z uː d͡ʒ iː
زيباترين	z iː b ɒː t o ɾ iː n
سابقم	s ɒː b e̞ ɢ æ m
ساناز	s ɒː n ɒː z
سجاده	s e̞ d͡ʒ ɒː d e̞
سهرابی	s æ h ɾ ɒː b iː
سوخاری	s uː x ɒː ɾ iː
سکولاریسم	s e̞ k uː l ɒː ɾ iː s æ m
شیل	ʃ iː l
شیلا	ʃ iː l ɒː
طبابت	t æ b ɒː b æ t
طراز	t æ ɾ ɒː z
طیبه	t iː b e̞
عامر	ɒː m o ɾ
غني	ɢ æ n iː
غیرمنطقی	ɢ iː ɾ æ m æ n t æ ɢ iː
فاینال	f ɒː j ɒː n ɒː l
فرسنگ	f æ ɾ s æ n g
فرضا	f æ ɾ z ɒː
فرمایش	f æ ɾ m ɒː j e̞ ʃ
فله	f æ l e̞
فینالیست	f iː n ɒː l iː s t
لاتاری	l ɒː t ɒː ɾ iː
لاف	l ɒː f
مأمورین	m æ ʔ m uː ɾ iː n
متان	m æ t ɒː n
متروک	m æ t o ɾ uː k
مجردی	m æ d͡ʒ o ɾ d iː
مجروحان	m æ d͡ʒ o ɾ uː h ɒː n
مومیایی	m uː m iː ɒː j iː
مکاشفه	m æ k ɒː ʃ o f e̞
میخونی	m iː x o n iː
میکن	m iː k o n
نامفهوم	n ɒː m æ f æ h uː m
ناپسند	n ɒː p æ s æ n d
نذری	n æ z æ ɾ iː
نرسیدن	n æ ɾ æ s iː d æ n
نفخ	n æ f o x
نقاشان	n æ ɢ ɒː ʃ ɒː n
نوایی	n æ v ɒː j iː
نووا	n æ v ɒː
نکردنی	n æ k æ ɾ d æ n iː
نگرانه	n æ g e̞ ɾ ɒː n e̞
نیاکان	n æ j ɒː k ɒː n
هوادارانش	h æ v ɒː d ɒː ɾ ɒː n e̞ ʃ
هي	h iː
واسا	v ɒː s ɒː
يادگيري	j ɒː d e̞ g iː ɾ iː
ياري	j ɒː ɾ iː
پاری	p ɒː ɾ iː
پاسکال	p ɒː s k ɒː l
پاورپوینت	p ɒː v æ ɾ p uː j æ n t
پذير	p æ z iː ɾ
پرشین	p o ɾ ʃ iː n
پولداره	p uː l æ d ɒː ɾ e̞
پوکی	p uː k iː
پيگيري	p iː g iː ɾ iː
کرديد	k æ ɾ d iː d
کنتور	k o n t uː ɾ
کوکاکولا	k uː k ɒː k uː l ɒː
گذروندم	g o z æ ɾ æ v æ n d æ m
گرافیتی	g e̞ ɾ ɒː f iː t iː
یوری	j o ɾ iː
یوفا	j o f ɒː
آتشکده	ɒː t e̞ ʃ k æ d e̞
آفاق	ɒː f ɒː ɢ
آلیسون	ɒː l iː s uː n
آوردین	ɒː v æ ɾ d iː n
ادریس	æ d æ ɾ iː s
الکساندرا	a l k e̞ s ɒː n d æ ɾ ɒː
امدن	æ m d æ n
امرسون	æ m o ɾ s uː n
باهوشی	b ɒː h uː ʃ iː
ببينم	b e̞ b iː n æ m
بترسن	b e̞ t æ ɾ s æ n
براوو	b e̞ ɾ ɒː v o
برعلیه	b æ ɾ ʔ æ l iː j e̞
بشینین	b e̞ ʃ iː n iː n
بضاعت	b e̞ z ɒː ʔ æ t
بلایای	b e̞ l ɒː j ɒː j
بلر	b e̞ l æ ɾ
بورژوازی	b e̞ v æ ɾ ʒ æ v ɒː z iː
بیجار	b iː d͡ʒ ɒː ɾ
تبری	t æ b æ ɾ iː
تبليغ	t æ b l iː ɢ
تدبیری	t æ d b iː ɾ iː
تصفيه	t æ s f iː j e̞
تفهیم	t æ f h iː m
تقسیمات	t æ ɢ s iː m ɒː t
توئیت	t uː ʔ iː t
تیراژ	t iː ɾ ɒː ʒ
جیرفت	d͡ʒ iː ɾ o f t
جیپ	d͡ʒ iː p
حفظش	h æ f z e̞ ʃ
حلبی	h æ l æ b iː
حوادثی	h æ v ɒː d e̞ s iː
حکمتیار	h e̞ k æ m t j ɒː ɾ
خاکش	x ɒː k e̞ ʃ
خاکم	x ɒː k æ m
خرخره	x æ ɾ x æ ɾ e̞
خيلی	x e̞ j l iː
داروساز	d ɒː ɾ uː s ɒː z
درسي	d æ ɾ s iː
درطول	d æ ɾ t uː l
دلخوری	d æ l x o ɾ iː
دوستي	d uː s t iː
رابعه	ɾ ɒː b e̞ ʔ e̞
رابینز	ɾ ɒː b iː j æ n z
رفيق	ɾ æ f iː ɢ
روايت	ɾ æ v ɒː j æ t
ریمل	ɾ iː m æ l
زمرد	z o m o ɾ æ d
زیمنس	z iː m æ n s
سباستین	s e̞ b ɒː s t iː n
سربند	s o ɾ b æ n d
سرگردانی	s æ ɾ g æ ɾ d ɒː n iː
سني	s æ n iː
سوارش	s æ v ɒː ɾ e̞ ʃ
شاکر	ʃ ɒː k e̞ ɾ
شهداد	ʃ æ h d ɒː d
شکوهی	ʃ e̞ k uː h iː
شینگن	ʃ iː n g æ n
صدیقه	s æ d iː ɢ e̞
صیانت	s e̞ j ɒː n æ t
ظاهرش	z ɒː h e̞ ɾ e̞ ʃ
عراقي	æ ɾ ɒː ɢ iː
علاقت	æ l ɒː ɢ æ t
علماء	æ l m ɒː ʔ
غیور	ɢ e̞ j v æ ɾ
فائزه	f ɒː ʔ e̞ z e̞
فارق	f ɒː ɾ e̞ ɢ
فراگرفته	f æ ɾ ɒː g e̞ ɾ e̞ f t e̞
فرمانی	f æ ɾ m ɒː n iː
فیگور	f iː g uː ɾ
قلمبه	ɢ æ l m b e̞
قلیایی	ɢ æ l j ɒː j iː
قوزک	ɢ uː z e̞ k
كيلومتر	k iː l uː m æ t æ ɾ
لش	l e̞ ʃ
مادامی	m ɒː d ɒː m iː
ماراتن	m ɒː ɾ ɒː t æ n
مارال	m ɒː ɾ ɒː l
ماهرانه	m ɒː h æ ɾ ɒː n e̞
ماکس	m ɒː k e̞ s
مایی	m ɒː j iː
مبارزاتی	m æ b ɒː ɾ z ɒː t iː
متذکر	m æ t æ z k æ ɾ
مدرنیسم	m æ d æ ɾ n iː s æ m
مرغان	m æ ɾ ɢ ɒː n
مستبد	m æ s t æ b æ d
معرق	m æ ʔ ɾ æ ɢ
معين	m æ ʔ iː n
مغالطه	m æ ɢ ɒː l e̞ t e̞
مناظرات	m æ n ɒː z æ ɾ ɒː t
موتو	m uː t uː
موفقیتی	m uː f æ ɢ iː t iː
ميدهد	m iː d æ h æ d
میزدن	m iː z æ d æ n
میسوزه	m iː s uː z e̞
میمونن	m iː m uː n æ n
مینیاتوری	m iː n æ j ɒː t uː ɾ iː
میهمانی	m iː h æ m ɒː n iː
نانی	n ɒː n iː
نبیل	n æ b iː l
نتفلیکس	n æ t æ f l iː k æ s
نیازمندان	n æ j ɒː z m æ n d ɒː n
همونا	h æ m uː n ɒː
هن	h æ n
هنگامیکه	h e̞ n g ɒː m iː k e̞
هیتر	h iː t æ ɾ
وبگاه	v æ b e̞ g ɒː h
پايتخت	p ɒː j t æ x t
پایمال	p ɒː j m ɒː l
پایکوبی	p ɒː j k uː b iː
پرتا	p æ ɾ t ɒː
پرتی	p æ ɾ t iː
پرورده	p æ ɾ v æ ɾ d e̞
پسرهای	p æ s o ɾ e̞ iː
پهلوي	p æ h l æ v iː
پوشالی	p uː ʃ ɒː l iː
پوچی	p uː t͡ʃ iː
پیمایش	p e̞ j m ɒː j e̞ ʃ
چرچ	t͡ʃ æ ɾ t͡ʃ
چوگان	t͡ʃ uː g ɒː n
کاراگاه	k ɒː ɾ ɒː g ɒː h
کالینز	k ɒː l iː n z
کاپا	k ɒː p ɒː
کرنر	k æ ɾ n æ ɾ
کفتر	k o f t æ ɾ
کوته	k uː t e̞
کوفتیه	k uː f t iː j e̞
کویری	k uː j æ ɾ iː
یاوری	j ɒː v æ ɾ iː
یورویی	j o ɾ uː j iː
been	b iː n
list	l ɪ s t
milad	m iː l a d
آلاباما	ɒː l ɒː b ɒː m ɒː
آگاتا	ɒː g ɒː t ɒː
ارده	æ ɾ d e̞
امرالله	æ m ɾ ɒː l e̞ l e̞
انتی	æ n t iː
اورگان	o ɾ g ɒː n
اوز	o z
بادهای	b ɒː d e̞ iː
بالدار	b ɒː l d ɒː ɾ
بدافزار	b e̞ d ɒː f z ɒː ɾ
بسمت	b e̞ s æ m æ t
بشینه	b e̞ ʃ iː n e̞
بنیانگذاران	b e̞ n æ j ɒː n g o z ɒː ɾ ɒː n
بودو	b uː d uː
بووم	b e̞ v æ m
ترابری	t æ ɾ ɒː b æ ɾ iː
تراویس	t æ ɾ ɒː v iː s
تركيب	t æ ɾ k iː b
تریسی	t æ ɾ iː s iː
تریلی	t æ ɾ iː l iː
تقدیس	t æ ɢ d iː s
تنبور	t æ n b uː ɾ
توجهي	t uː d͡ʒ æ h iː
تیموری	t iː m uː ɾ iː
ثارالله	s ɒː ɾ ɒː l e̞ l e̞
ثامن	s ɒː m æ n
ثروتی	s o ɾ uː t iː
جرالد	d͡ʒ o ɾ ɒː l æ d
جستن	d͡ʒ o s t æ n
جعفرزاده	d͡ʒ æ ʔ f æ ɾ z ɒː d e̞
جلوي	d͡ʒ æ l æ v iː
جهانه	d͡ʒ æ h ɒː n e̞
جوشان	d͡ʒ uː ʃ ɒː n
حسابشون	h e̞ s ɒː b e̞ ʃ o n
خوردنی	x o ɾ d æ n iː
داروخونه	d ɒː ɾ uː x o n e̞
درامز	d æ ɾ ɒː m æ z
درمون	d æ ɾ m uː n
دلاوری	d æ l ɒː v æ ɾ iː
دهیاری	d æ h j ɒː ɾ iː
دوسم	d uː s æ m
ذائقه	z ɒː ʔ e̞ ɢ e̞
رفیقت	ɾ æ f iː ɢ æ t
رفیقی	ɾ æ f iː ɢ iː
رنگدانه	ɾ æ n g o d ɒː n e̞
روبین	ɾ uː b iː n
روتین	ɾ uː t iː n
زبونش	z o b uː n e̞ ʃ
زدین	z æ d iː n
سفرای	s o f ɾ ɒː j
سنگم	s æ n g æ m
سیرت	s iː ɾ æ t
سیمی	s iː m iː
شازند	ʃ ɒː z æ n d
شاکری	ʃ ɒː k æ ɾ iː
شطرنجی	ʃ e̞ t ɾ æ n d͡ʒ iː
صعب	s e̞ ʔ b
علتی	æ l t iː
فضول	f o z uː l
فعاله	f e̞ ʔ ɒː l e̞
فقيه	f æ ɢ j e̞
فوج	f uː d͡ʒ
قوامی	ɢ æ v ɒː m iː
قویا	ɢ uː j ɒː
لابلای	l ɒː b e̞ l ɒː j
مارش	m ɒː ɾ e̞ ʃ
ماشینه	m ɒː ʃ iː n e̞
مانیفست	m ɒː n iː f æ s t
متراژ	m æ t æ ɾ ɒː ʒ
محيطي	m æ h iː t iː
مردمک	m æ ɾ d æ m æ k
مزون	m æ z uː n
مسیج	m æ s iː d͡ʒ
مصدر	m æ s d æ ɾ
مطیعی	m æ t iː ʔ iː
منسوجات	m æ n s uː d͡ʒ ɒː t
مهدي	m æ h d iː
ميتوان	m iː t æ v ɒː n
میکردین	m iː k æ ɾ d iː n
ناسازگاری	n ɒː s ɒː z g ɒː ɾ iː
نامساعد	n ɒː m e̞ s ɒː ʔ æ d
نایین	n ɒː j iː n
نگرانت	n æ g e̞ ɾ ɒː n æ t
هردفعه	h æ ɾ d æ f ʔ e̞
هرس	h æ ɾ s
هموطن	h æ m uː t æ n
هوائی	h æ v ɒː ʔ iː
وقتمو	v æ ɢ t æ m uː
پایانش	p ɒː j ɒː n e̞ ʃ
پایینتر	p ɒː j iː n t æ ɾ
پرهام	p æ ɾ h ɒː m
پنس	p e̞ n s
پژمرده	p æ ʒ m o ɾ d e̞
پیپ	p e̞ j p
چرای	t͡ʃ æ ɾ ɒː j
چنته	t͡ʃ æ n t e̞
چپه	t͡ʃ æ p e̞
چینش	t͡ʃ iː n e̞ ʃ
کاربرانی	k ɒː ɾ b e̞ ɾ ɒː n iː
کارلا	k ɒː ɾ l ɒː
کارمان	k ɒː ɾ m ɒː n
کامیابی	k ɒː m j ɒː b iː
کانالهای	k ɒː n ɒː l e̞ iː
کتابو	k e̞ t ɒː b uː
کجام	k e̞ d͡ʒ ɒː m
کلاژن	k e̞ l ɒː ʒ æ n
کهولت	k e̞ h uː l æ t
گاوصندوق	g ɒː v æ s æ n d uː ɢ
گناباد	g o n ɒː b ɒː d
گوا	g o v ɒː
گوته	g uː t e̞
گوله	g uː l e̞
یاشار	j ɒː ʃ ɒː ɾ
یكی	j e̞ k iː
sky	s k iː
آمنه	ɒː m æ n e̞
آموختگان	ɒː m uː x t e̞ g ɒː n
آوريل	ɒː v æ ɾ iː l
آپارتاید	ɒː p ɒː ɾ t ɒː j æ d
اعتصابات	iː ʔ t e̞ s ɒː b ɒː t
اغفال	æ ɢ f ɒː l
بابلی	b ɒː b e̞ l iː
باتشکر	b ɒː t e̞ ʃ k æ ɾ
باکری	b ɒː k æ ɾ iː
ببینیش	b e̞ b iː n iː ʃ
بترسه	b e̞ t æ ɾ s e̞
بدهيد	b e̞ d æ h iː d
برگردونن	b æ ɾ g æ ɾ d uː n æ n
بزاق	b e̞ z ɒː ɢ
بسمه	b e̞ s æ m e̞
بغدادی	b e̞ ɢ o d ɒː d iː
بلندای	b e̞ l æ n d ɒː j
تجسس	t æ d͡ʒ s æ s
ترامادول	t æ ɾ ɒː m ɒː d uː l
تعدادشان	t e̞ ʔ d ɒː d e̞ ʃ ɒː n
تعمید	t æ ʔ m iː d
تعین	t æ ʔ iː n
تقبیح	t æ ɢ b iː h
توبی	t uː b iː
توسلی	t uː s æ l iː
جونو	d͡ʒ uː n uː
حساسم	h e̞ s ɒː s æ m
حمص	h æ m s
خاقانی	x ɒː ɢ ɒː n iː
خوبتون	x o b t uː n
خونوادم	x o n æ v ɒː d æ m
درویشی	d e̞ ɾ æ v iː ʃ iː
دندانه	d æ n d ɒː n e̞
دوسشون	d uː s e̞ ʃ o n
رایدر	ɾ ɒː j æ d æ ɾ
رهايي	ɾ æ h ɒː j iː
روسا	ɾ uː s ɒː
روهم	ɾ uː h æ m
زدگان	z æ d e̞ g ɒː n
زیتونی	z iː t uː n iː
ساختمانهای	s ɒː x t æ m ɒː n e̞ iː
سوروس	s uː ɾ uː s
سومر	s uː m o ɾ
شیدایی	ʃ iː d ɒː j iː
صابری	s ɒː b e̞ ɾ iː
صمیم	s æ m iː m
ظریفی	z æ ɾ iː f iː
فایت	f ɒː j æ t
فردو	f æ ɾ d uː
فشارش	f e̞ ʃ ɒː ɾ e̞ ʃ
فهمه	f æ h m e̞
فیلمبردار	f iː l o m b o ɾ d ɒː ɾ
قلوه	ɢ æ l uː h
كنسرت	k æ n s o ɾ t
لجبازی	l æ d͡ʒ b ɒː z iː
لرز	l æ ɾ z
لنزهای	l æ n z e̞ iː
لوب	l uː b
لوبیای	l uː b iː j ɒː j
لوپ	l uː p
لینگ	l iː n g
مامانه	m ɒː m ɒː n e̞
متقلب	m æ t æ ɢ l æ b
مجد	m æ d͡ʒ æ d
مردي	m o ɾ d iː
ملامت	m æ l ɒː m æ t
منچسترسیتی	m æ n t͡ʃ æ s t æ ɾ s iː t iː
موادغذایی	m æ v ɒː d æ ɢ z ɒː j iː
موتوره	m uː t uː ɾ e̞
ميتواند	m iː t æ v ɒː n æ d
ميگويد	m iː g uː j æ d
مکانیزه	m æ k ɒː n iː z e̞
میشده	m iː ʃ o d e̞
ناديده	n ɒː d iː d e̞
ناموسا	n ɒː m uː s ɒː
ندونم	n æ d uː n æ m
ندیدن	n æ d iː d æ n
نميتونم	n e̞ m iː t uː n æ m
نمیوفته	n e̞ m iː v o f t e̞
نکا	n æ k ɒː
نگاهشون	n æ g ɒː h e̞ ʃ o n
نیوزیلند	n æ j o z iː l æ n d
هتلی	h e̞ t æ l iː
هرچي	h æ ɾ t͡ʃ iː
هزارتومان	h æ z ɒː ɾ t uː m ɒː n
همکلاسی	h æ m k e̞ l ɒː s iː
هوندا	h æ v æ n d ɒː
هيچگاه	h iː t͡ʃ e̞ g ɒː h
واتیکان	v ɒː t iː k ɒː n
وفای	v æ f ɒː j
ويرايش	v iː ɾ ɒː j e̞ ʃ
پانویس	p ɒː n e̞ v iː s
پاکیزه	p ɒː k iː z e̞
پدربزرگش	p æ d æ ɾ b e̞ z æ ɾ g æ ʃ
پلاگین	p æ l ɒː g iː n
پولک	p uː l e̞ k
پيروز	p e̞ j ɾ uː z
چریکی	t͡ʃ æ ɾ iː k iː
چشاتو	t͡ʃ e̞ ʃ ɒː t o
چگونگي	t͡ʃ e̞ g uː n g iː
ژول	ʒ uː l
کادیلاک	k ɒː d iː l ɒː k
کاسبی	k ɒː s b iː
کاستن	k ɒː s t æ n
کراچی	k æ ɾ ɒː t͡ʃ iː
کلاهی	k e̞ l ɒː h iː
کلیساهای	k e̞ l iː s ɒː h iː
کیلوگرمی	k iː l uː g æ ɾ m iː
گرديد	g æ ɾ d iː d
گسیخته	g o s iː x t e̞
گلوبال	g o l uː b ɒː l
گواهينامه	g o v ɒː h iː n ɒː m e̞
گودزیلا	g uː d o z iː l ɒː
یادمون	j ɒː d o m uː n
یوجین	j o d͡ʒ iː n
car	k a ɾ
lost	l o s t
model	m o d e l
plus	p l uː s
source	s uː ɾ s
آبکاری	ɒː b e̞ k ɒː ɾ iː
آراد	ɒː ɾ ɒː d
آشغاله	ɒː ʃ o ɢ ɒː l e̞
آلاینده	ɒː l ɒː j æ n d e̞
آلما	ɒː l æ m ɒː
آمون	ɒː m uː n
آمینه	ɒː m iː n e̞
اشلی	æ ʃ o l iː
امامزادگان	æ m ɒː m æ z ɒː d e̞ g ɒː n
ایهام	iː h ɒː m
ایگور	iː g uː ɾ
بابابزرگ	b ɒː b ɒː b e̞ z æ ɾ g
بازنمایی	b ɒː z n æ m ɒː j iː
ببيند	b e̞ b iː n æ d
بدند	b e̞ d æ n d
برنزه	b æ ɾ n æ z e̞
بریزه	b e̞ ɾ iː z e̞
بزه	b e̞ z e̞
بفروشن	b e̞ f o ɾ uː ʃ æ n
بقول	b e̞ ɢ uː l
بهناز	b e̞ h æ n ɒː z
بودایی	b uː d ɒː j iː
بویه	b uː j e̞
بپرسن	b e̞ p o ɾ s æ n
بینگ	b iː j ɒː n g
تارهای	t ɒː ɾ e̞ iː
تحميل	t æ h m iː l
تردیدی	t æ ɾ d iː d iː
ترساندن	t æ ɾ s ɒː n d æ n
تضمين	t æ z m iː n
جمیع	d͡ʒ æ m iː ʔ
جوامعی	d͡ʒ æ v ɒː m e̞ ʔ iː
جیبت	d͡ʒ iː b æ t
حبه	h æ b e̞
حسابداران	h e̞ s ɒː b e̞ d ɒː ɾ ɒː n
حساسه	h e̞ s ɒː s e̞
حقشه	h æ ɢ ʃ e̞
حمال	h æ m ɒː l
حميد	h æ m iː d
حين	h e̞ j n
خرسندی	x æ ɾ s æ n d iː
دایان	d ɒː j ɒː n
دربرگیرنده	d æ ɾ b æ ɾ g iː ɾ æ n d e̞
درخته	d e̞ ɾ æ x t e̞
درهر	d æ ɾ h æ ɾ
دس	d æ s
دستانش	d æ s t ɒː n e̞ ʃ
دنت	d æ n t
دیدنم	d iː d æ n æ m
ذبیح	z æ b iː h
راغب	ɾ ɒː ɢ æ b
رنجش	ɾ æ n d͡ʒ e̞ ʃ
روستائیان	ɾ uː s t ɒː ʔ iː j ɒː n
زدنی	z æ d æ n iː
زهد	z æ h æ d
زیادتر	z iː j ɒː d t æ ɾ
سبك	s æ b æ k
سهامدار	s æ h ɒː m æ d ɒː ɾ
سوس	s uː s
سومه	s uː m e̞
سپنتا	s e̞ p e̞ n t ɒː
شغلي	ʃ o ɢ l iː
شکافته	ʃ e̞ k ɒː f t e̞
صبحت	s æ b æ h t
صلاحيت	s æ l ɒː h iː t
عينك	e̞ j n æ k
غل	ɢ æ l
غواص	ɢ æ v ɒː s
فیلمسازان	f iː l æ m s ɒː z ɒː n
قرقره	ɢ æ ɾ ɢ æ ɾ e̞
قولش	ɢ uː l e̞ ʃ
قومیتی	ɢ uː m iː t iː
كله	k æ l e̞
كون	k uː n
لينك	l iː n æ k
مادربزرگش	m ɒː d æ ɾ b e̞ z æ ɾ g æ ʃ
مبالغ	m æ b ɒː l æ ɢ
متعلقات	m æ t e̞ ʔ l æ ɢ ɒː t
متنفرن	m æ t æ n f æ ɾ æ n
مسری	m æ s o ɾ iː
ملزومات	m æ l z uː m ɒː t
مناقصه	m æ n ɒː ɢ s e̞
منیجر	m æ n iː d͡ʒ æ ɾ
ميراث	m iː ɾ ɒː s
مچی	m æ t͡ʃ iː
میلگرد	m iː l e̞ g æ ɾ æ d
نذاره	n æ z ɒː ɾ e̞
نشید	n e̞ ʃ iː d
نكردن	n æ k æ ɾ d æ n
نوساز	n uː s ɒː z
هاتف	h ɒː t æ f
هرمان	h æ ɾ m ɒː n
هولدن	h uː l æ d æ n
وآن	v æ ɒː n
واق	v ɒː ɢ
وثوق	v æ s uː ɢ
وندی	v æ n d iː
يادت	j ɒː d æ t
يكم	j e̞ k æ m
پاد	p ɒː d
پذیره	p æ z iː ɾ e̞
پشتيباني	p o ʃ t iː b ɒː n iː
پوستان	p uː s t ɒː n
پولاد	p uː l ɒː d
پیرامونی	p iː ɾ ɒː m uː n iː
چدن	t͡ʃ æ d æ n
کاووس	k ɒː v uː s
کسالت	k e̞ s ɒː l æ t
کفپوش	k o f p uː ʃ
کولا	k uː l ɒː
گزند	g o z æ n d
گستاخی	g o s t ɒː x iː
گناهم	g o n ɒː h æ m
یکیه	j e̞ k j e̞
یکیو	j e̞ k j o
ییلاق	j iː l ɒː ɢ
ba	b a
li	l iː
never	n e̞ v e̞ ɾ
آبم	ɒː b æ m
آیرون	ɒː j ɾ uː n
ئی	iː
اموز	æ m uː z
امیدهای	æ m iː d e̞ iː
اگزوز	æ g o z uː z
ایستا	iː s t ɒː
ایمپلنت	iː m æ p æ l æ n t
بارزانی	b ɒː ɾ z ɒː n iː
بازخواست	b ɒː z x ɒː s t
بالابر	b ɒː l ɒː b æ ɾ
بالايي	b ɒː l ɒː j iː
بدیعی	b e̞ d iː ʔ iː
برگردوند	b æ ɾ g æ ɾ d æ v æ n d
بزرگت	b e̞ z æ ɾ g æ t
بلوف	b e̞ l uː f
بهی	b e̞ h iː
بوتیک	b uː t iː k
بگردن	b e̞ g æ ɾ d æ n
بگيره	b e̞ g iː ɾ e̞
بیز	b iː z
تاندون	t ɒː n d uː n
تبحر	t æ b h æ ɾ
تخطی	t æ x t iː
ترکيه	t e̞ ɾ k iː j e̞
تضميني	t æ z m iː n iː
تعادلی	t æ ʔ ɒː d æ l iː
تعمیرکار	t æ ʔ m iː ɾ e̞ k ɒː ɾ
تلاشش	t æ l ɒː ʃ e̞ ʃ
تنسی	t æ n s iː
جاسوسان	d͡ʒ ɒː s uː s ɒː n
جديدترين	d͡ʒ o d iː d t æ ɾ iː n
جوئل	d͡ʒ uː ʔ e̞ l
جویانه	d͡ʒ uː j ɒː n e̞
حساسی	h e̞ s ɒː s iː
خاطراتم	x ɒː t e̞ ɾ ɒː t æ m
خلافکار	x æ l ɒː f k ɒː ɾ
خلاقيت	x æ l ɒː ɢ iː t
دارمت	d ɒː ɾ æ m æ t
دوستا	d uː s t ɒː
