the	t eː
isobel	i z oː b ə l
italiana	i t aː l i aː n aː
jankend	j ɑ ŋ k ə n t
jetzt	j ɛ t s t
jeugdploegen	j øː x t p l u ɣ ə
jihadist	j i ɦ aː d ɪ s t
jiskefet	j ɪ s k ə f ɛ t
jommeke	j ɔ m eː k ə
josine	j oː z i n ə
jurgens	j ʏ r ɣ ə n s
juri	j yː r i
kamerplanten	k aː m ə r p l ɑ n t ə
kampioenstitel	k ɑ m p i u n s t i t ə l
kapjes	k ɑ p j ə s
kernachtig	k ɛ r n ɑ x t ə x
kheb	k ɛ p
kidney	k ɪ d n i
kien	k i n
kikkertje	k ɪ k ə r t j ə
kinda	k ɪ n d aː
kindercentrum	k ɪ n d ə r s ɛ n t r ʏ m
kinderpardon	k ɪ n d ə r p ɑ r d ɔ n
kitano	k i t aː n oː
klembord	k l ɛ m b ɔ r t
klinkend	k l ɪ ŋ k ə n t
kluun	k l y n
knalfeest	k n ɑ l f eː s t
knorrige	k n ɔ r ə ɣ ə
knotwilgen	k n ɔ t ʋ ɪ l ɣ ə
koelste	k u l s t ə
kohn	k oː n
kokertje	k oː k ə r t j ə
koninginnenrit	k oː n ɪ ŋ ɪ n ə n r ɪ t
koppe	k ɔ p ə
kostenbesparingen	k ɔ s t ə b ə s p aː r ɪ ŋ ə
krabbelde	k r ɑ b ə l d ə
kristine	k r ɪ s t i n ə
kunstschilders	k ʏ n s t s x ɪ l d ə r s
kussentjes	k ʏ s ə n t j ə s
kusttram	k ʏ s t r ɑ m
kwaliteitsbewaking	k ʋ aː l i t ɛ i̯ t s b ə ʋ aː k ɪ ŋ
lampionnen	l ɑ m p i ɔ n ə
lancashire	l ɑ ŋ k ɑ ʃ iː r ə
landcode	l ɑ n t k oː d ə
langhaar	l ɑ ŋ ɦ aː r
laroche	l aː r ɔ x ə
lasterlijke	l ɑ s t ə r l ə k ə
ledoux	l eː d u
leeftijdscategorieën	l eː f t ɛ i̯ t s k aː t ə ɣ oː r i ə
leeftijdsopbouw	l eː f t ɛ i̯ t s ɔ p b ɑ u̯
leeggelopen	l eː x ə l oː p ə
leenwoorden	l eː n ʋ oː r d ə
leerboeken	l eː r b u k ə
leeuwenkuil	l eː u̯ ə k œ y̯ l
lelijks	l eː l ə k s
lende	l ɛ n d ə
levensbehoefte	l eː v ə n s b ə ɦ u f t ə
leyweg	l ɛ i̯ ʋ ɛ x
lichtvervuiling	l ɪ x t f ə r v œ y̯ l ɪ ŋ
liefdadigheidswerk	l i f d aː d ə x ɦ ɛ i̯ t s ʋ ɛ r k
liefelijk	l i f ə l ə k
lindebomen	l ɪ n d ə b oː m ə
listening	l ɪ s t ə n ɪ ŋ
liston	l ɪ s t ɔ n
litt	l ɪ t
loh	l oː
lolletje	l ɔ l ə t j ə
lut	l ʏ t
léopold	l eː oː p ɔ l t
maandschrift	m aː n t s x r ɪ f t
mab	m ɑ p
malin	m aː l ɪ n
marchetti	m ɑ r x ɛ t i
mariposa	m aː r i p oː z aː
marlo	m ɑ r l oː
meegereisde	m eː ɣ ə r ɛ i̯ s d ə
meerprijs	m eː r p r ɛ i̯ s
meesterbrein	m eː s t ə r b r ɛ i̯ n
meeuwsen	m eː u̯ s ə
mentos	m ɛ n t ɔ s
metaalindustrie	m eː t aː l ɪ n d ʏ s t r i
moederskindje	m u d ə r s k ɪ n t j ə
moerasgebied	m u r ɑ s x ə b i t
moortgat	m oː r t x ɑ t
mosasaurus	m oː z aː s ɑ u̯ r ʏ s
mous	m ɑ u̯ s
mq	ɛ m k aː
mullah	m ʏ l aː
murano	m y r aː n oː
museu	m y z øː
muziekblad	m y z i k b l ɑ t
muziekverenigingen	m y z i k v ə r eː n ə ɣ ɪ ŋ ə
nanometer	n aː n oː m eː t ə r
natuurwaarden	n aː t yː r ʋ aː r d ə
neckermann	n ɛ k ə r m ɑ n
neergestreken	n eː r ɣ ə s t r eː k ə
negerzoenen	n eː ɣ ə r z u n ə
nierop	n iː r ɔ p
niers	n iː r s
nieuwsprogramma	n i u̯ s p r oː ɣ r ɑ m aː
noorderhaven	n oː r d ə r ɦ aː v ə
noordwijkse	n oː r t ʋ ɛ i̯ k s ə
novice	n oː v i s
npv	ɛ n p eː v eː
nss	ɛ n ɛ s ɛ s
ntb	ɛ n t eː b eː
obamacare	oː b aː m aː k aː r ə
observatory	ɔ p s ɛ r v aː t oː r i
oceans	oː s eː ɑ n s
oezbeken	u z b eː k ə
olo	oː l oː
omhangen	ɔ m ɦ ɑ ŋ ə
onbekendheid	ɔ n b ə k ɛ n t ɦ ɛ i̯ t
oncontroleerbare	ɔ ŋ k ɔ n t r oː l eː r b aː r ə
ondankbaarheid	ɔ n d ɑ ŋ k b aː r ɦ ɛ i̯ t
onderwijsvernieuwing	ɔ n d ə r ʋ ɛ i̯ s f ə r n i u̯ ɪ ŋ
onsen	ɔ n s ə
ontstekingsremmers	ɔ n t s t eː k ɪ ŋ s r ɛ m ə r s
ontzagwekkende	ɔ n t z ɑ x ʋ ɛ k ə n d ə
onverdiend	ɔ n v ə r d i n t
onverzadigbaar	ɔ n v ə r z aː d ə x b aː r
onwrikbare	ɔ n v r ɪ k b aː r ə
oogde	oː x d ə
openingsfeest	oː p ə n ɪ ŋ s f eː s t
openingsronde	oː p ə n ɪ ŋ s r ɔ n d ə
opmerkten	ɔ p m ɛ r k t ə
oprijden	ɔ p r ɛ i̯ d ə
opspuiten	ɔ p s p œ y̯ t ə
opvliegend	ɔ p v l i ɣ ə n t
opvoeringen	ɔ p v u r ɪ ŋ ə
oranjeboom	oː r ɑ n j ə b oː m
osnabrück	ɔ s n aː b r ʏ k
osteopathie	ɔ s t eː oː p aː t i
overlapt	oː v ə r l ɑ p t
overlegde	oː v ə r l ɛ x d ə
overstemd	oː v ə r s t ɛ m t
paradoxale	p aː r aː d ɔ k s aː l ə
parkeergeld	p ɑ r k eː r ɣ ɛ l t
parkes	p ɑ r k ə s
parlevliet	p ɑ r l ə v l i t
partijvoorzitters	p ɑ r t ɛ i̯ v oː r z ɪ t ə r s
pell	p ɛ l
persdienst	p ɛ r s d i n s t
phytophthora	f i t ɔ f t ɦ oː r aː
pianolerares	p i aː n oː l eː r aː r ɛ s
pijpwerk	p ɛ i̯ p ʋ ɛ r k
placement	p l aː s m ɛ n t
plasman	p l ɑ s m ɑ n
pleiter	p l ɛ i̯ t ə r
polsstokhoogspringen	p ɔ l s t ɔ k ɦ oː x s p r ɪ ŋ ə
ponta	p ɔ n t aː
poollicht	p oː l ɪ x t
postal	p ɔ s t ɑ l
potverdomme	p ɔ t f ə r d ɔ m ə
praetor	p r eː t ɔ r
praktiserend	p r ɑ k t i z eː r ə n t
precisiewerk	p r eː s i z i ʋ ɛ r k
progamma	p r oː ɣ ɑ m aː
promotiefilmpje	p r oː m oː s i f ɪ l m p j ə
propagandist	p r oː p aː ɣ ɑ n d ɪ s t
provoceert	p r oː v oː s eː r t
publications	p y b l i k aː ʃ ɔ n s
pun	p ʏ n
purity	p y r i t i
quarles	k ʋ ɑ r l ɛ s
radioverkeer	r aː d i oː v ə r k eː r
reakties	r eː ɑ k s i s
rechtsvoor	r ɛ x t s f oː r
reclamewereld	r eː k l aː m ə ʋ eː r ə l t
regionalisering	r eː ɣ i oː n aː l i z eː r ɪ ŋ
reisbranche	r ɛ i̯ s b r ɑ n ʃ ə
reize	r ɛ i̯ z ə
rekenkundige	r eː k ə k ʏ n d ə ɣ ə
reload	r eː l oː t
renaud	r ə n ɑ u̯ t
rentmeesterschap	r ɛ n t m eː s t ə r s x ɑ p
republieken	r eː p y b l i k ə
revolvers	r eː v ɔ l v ə r s
reïntegratie	r eː ɪ n t ə ɣ r aː s i
rijkelijke	r ɛ i̯ k ə l ə k ə
rijksten	r ɛ i̯ k s t ə
rodenbach	r oː d ə b ɑ x
rokend	r oː k ə n t
rondvaartboten	r ɔ n t f aː r t b oː t ə
rosales	r oː z aː l ɛ s
rosarium	r oː z aː r i ʏ m
rothko	r ɔ t k oː
saal	s aː l
salzburgerland	s ɑ l z b ʏ r ɣ ə r l ɑ n t
samenvattende	s aː m ə n v ɑ t ə n d ə
schaafwond	s x aː f ʋ ɔ n t
schakelprogramma	s x aː k ə l p r oː ɣ r ɑ m aː
schellinkhout	s x ɛ l ɪ ŋ k ɦ ɑ u̯ t
schoenaerts	s x u n aː r t s
schokker	s x ɔ k ə r
schoolresultaten	s x oː l r eː z ʏ l t aː t ə
scottie	s k ɔ t i
scranton	s k r ɑ n t ɔ n
screenplay	s k r eː n p l eː
selle	s ɛ l ə
seng	s ɛ ŋ
shaka	ʃ aː k aː
sidewinder	s i d ə ʋ ɪ n d ə r
sigi	s i ɣ i
simi	s i m i
simoni	s i m oː n i
skylab	s k i l ɑ p
sli	s l i
slotfeest	s l ɔ t f eː s t
slotlaan	s l ɔ t l aː n
smaakloos	s m aː k l oː s
smartlappen	s m ɑ r t l ɑ p ə
sneeuwvlokken	s n eː u̯ v l ɔ k ə
snijwonden	s n ɛ i̯ ʋ ɔ n d ə
sokjes	s ɔ k j ə s
solidarity	s oː l i d aː r i t i
solly	s ɔ l i
solna	s ɔ l n aː
somaliland	s oː m aː l i l ɑ n t
specific	s p eː s i f ɪ k
speedboten	s p eː t b oː t ə
speelbare	s p eː l b aː r ə
splitste	s p l ɪ t s t ə
spoedvergadering	s p u t f ə r ɣ aː d ə r ɪ ŋ
stadsgracht	s t ɑ t s x r ɑ x t
stadsuitbreiding	s t ɑ t s œ y̯ t b r ɛ i̯ d ɪ ŋ
starring	s t ɑ r ɪ ŋ
starsky	s t ɑ r s k i
starte	s t ɑ r t ə
statham	s t aː t ɦ ɑ m
steegmans	s t eː x m ɑ n s
steenhouwer	s t eː n ɦ ɑ u̯ ə r
stellaire	s t ɛ l ɛː r ə
storyteller	s t oː r i t ɛ l ə r
studiekosten	s t y d i k ɔ s t ə
sture	s t yː r ə
substance	s ʏ p s t ɑ n s ə
sudden	s ʏ d ə
sukke	s ʏ k ə
supermodellen	s y p ə r m oː d ɛ l ə
supplier	s ʏ p l iː r
supportersclub	s ʏ p ɔ r t ə r s k l ʏ p
swv	ɛ s ʋ eː v eː
symbiotische	s ɪ m b i oː t i s ə
syntax	s ɪ n t ɑ k s
sölden	s œ l d ə
tacitus	t aː s i t ʏ s
tallen	t ɑ l ə
tandoori	t ɑ n d oː r i
tarte	t ɑ r t ə
tastte	t ɑ s t ə
taveerne	t aː v eː r n ə
tegenspeelster	t eː ɣ ə n s p eː l s t ə r
teler	t eː l ə r
temperatuurverschillen	t ɛ m p ə r aː t yː r v ə r s x ɪ l ə
tenietgedaan	t eː n i t x ə d aː n
tessie	t ɛ s i
tibor	t i b ɔ r
tillman	t ɪ l m ɑ n
timelapse	t i m ə l ɑ p s ə
toerentallen	t u r ə n t ɑ l ə
toot	t oː t
tore	t oː r ə
tps	t eː p eː ɛ s
tracklist	t r ɑ k l ɪ s t
trades	t r aː d ə s
transportsector	t r ɑ n s p ɔ r t s ɛ k t ɔ r
transportvliegtuig	t r ɑ n s p ɔ r t f l i x t œ y̯ x
travellers	t r aː v ɛ l ə r s
treinsporen	t r ɛ i̯ n s p oː r ə
trotseer	t r ɔ t s eː r
trouwerijen	t r ɑ u̯ ə r ɛ i̯ ə
trutje	t r ʏ t j ə
trutten	t r ʏ t ə
tsonga	t s ɔ ŋ ɣ aː
turfmarkt	t ʏ r f m ɑ r k t
tussenschot	t ʏ s ə n s x ɔ t
tweehonderdduizend	t ʋ eː ɦ ɔ n d ə r d œ y̯ z ə n t
uilenspiegel	œ y̯ l ə n s p i ɣ ə l
uitgekeerde	œ y̯ t x ə k eː r d ə
uitgelijnd	œ y̯ t x ə l ɛ i̯ n t
uithoudt	œ y̯ t ɦ ɑ u̯ t
uitknop	œ y̯ t k n ɔ p
uitliet	œ y̯ t l i t
unter	ʏ n t ə r
veenhoven	v eː n ɦ oː v ə
velocitas	v eː l oː s i t ɑ s
verano	v ə r aː n oː
verbraak	v ə r b r aː k
verdraag	v ə r d r aː x
verdunnen	v ə r d ʏ n ə
vergaderruimtes	v ə r ɣ aː d ə r r œ y̯ m t ə s
verhandelt	v ə r ɦ ɑ n d ə l t
verhardt	v ə r ɦ ɑ r t
verkleurde	v ə r k l øː r d ə
verkoold	v ə r k oː l t
verlangden	v ə r l ɑ ŋ d ə
vernauwd	v ə r n ɑ u̯ t
verslapt	v ə r s l ɑ p t
verstuikte	v ə r s t œ y̯ k t ə
vertoeft	v ə r t u f t
verviervoudigd	v ə r v iː r v ɑ u̯ d ə x t
vervingen	v ə r v ɪ ŋ ə
verwerp	v ə r ʋ ɛ r p
verwevenheid	v ə r ʋ eː v ə n ɦ ɛ i̯ t
veterschoenen	v eː t ə r s x u n ə
vetgehalte	v ɛ t x ə ɦ ɑ l t ə
vigor	v i ɣ ɔ r
vijfling	v ɛ i̯ f l ɪ ŋ
vijftigplussers	v ɛ i̯ f t ə x p l ʏ s ə r s
vijzelen	v ɛ i̯ z ə l ə
vilans	v i l ɑ n s
vluchtweg	v l ʏ x t ʋ ɛ x
voeder	v u d ə r
voedselsysteem	v u t s ə l s i s t eː m
voetbalfan	v u t b ɑ l f ɑ n
voetbalstadions	v u t b ɑ l s t aː d i ɔ n s
voorgezet	v oː r ɣ ə z ɛ t
voorschoolse	v oː r s x oː l s ə
vvp	v eː v eː p eː
waardepapieren	ʋ aː r d ə p aː p iː r ə
waggelen	ʋ ɑ ɣ ə l ə
wallstreet	ʋ ɑ l s t r eː t
washburn	ʋ ɑ ʃ b ʏ r n
waterveiligheid	ʋ aː t ə r v ɛ i̯ l ə x ɦ ɛ i̯ t
weerkaatsing	ʋ eː r k aː t s ɪ ŋ
werkelijkheden	ʋ ɛ r k ə l ə k ɦ eː d ə
werve	ʋ ɛ r v ə
wervelstorm	ʋ ɛ r v ə l s t ɔ r m
wetmatigheden	ʋ ɛ t m aː t ə x ɦ eː d ə
whore	ʋ oː r ə
wijdewormer	ʋ ɛ i̯ d ə ʋ ɔ r m ə r
wijnhaven	ʋ ɛ i̯ n ɦ aː v ə
winkelpersoneel	ʋ ɪ ŋ k ə l p ɛ r s oː n eː l
wonderbare	ʋ ɔ n d ə r b aː r ə
worcester	ʋ ɔ r s ɛ s t ə r
worries	ʋ ɔ r i s
worthy	ʋ ɔ r t i
wsnp	ʋ eː ɛ s ɛ n p eː
wurst	ʋ ʏ r s t
wylie	ʋ i l i
xia	k s i aː
yonkers	j ɔ ŋ k ə r s
yucatan	j y k aː t ɑ n
zakenreizen	z aː k ə n r ɛ i̯ z ə
zande	z ɑ n d ə
zandoogje	z ɑ n d oː x j ə
zanetti	z aː n ɛ t i
zondagnamiddag	z ɔ n d ɑ x n aː m ɪ d ɑ x
zoya	z oː j aː
zt	z eː t eː
zwembandjes	z ʋ ɛ m b ɑ n t j ə s
zwieten	z ʋ i t ə
özil	øː z ɪ l
académie	aː k aː d eː m i
adolphe	aː d ɔ l f ə
afgemat	ɑ f x ə m ɑ t
afgezonderde	ɑ f x ə z ɔ n d ə r d ə
aflaten	ɑ f l aː t ə
allerslechtste	ɑ l ə r s l ɛ x t s t ə
altra	ɑ l t r aː
amt	ɑ m t
anjo	ɑ n j oː
anniek	ɑ n i k
apartments	aː p ɑ r t m ɛ n t s
appartementencomplexen	ɑ p ɑ r t ə m ɛ n t ə k ɔ m p l ɛ k s ə
aquila	aː k i l aː
arbeidsongeschiktheidsverzekering	ɑ r b ɛ i̯ t s ɔ n ɣ ə s x ɪ k t ɦ ɛ i̯ t s f ə r z eː k ə r ɪ ŋ
arbitraire	ɑ r b i t r ɛː r ə
assisteerde	ɑ s i s t eː r d ə
assorti	ɑ s ɔ r t i
astraal	ɑ s t r aː l
attero	ɑ t ə r oː
audioboek	ɑ u̯ d i oː b u k
autoservice	oː t oː s ɛ r v i s ə
avv	aː v eː
axiale	ɑ k s i aː l ə
baerlestraat	b aː r l ɛ s t r aː t
baghdad	b ɑ x d ɑ t
bakers	b aː k ə r s
balzac	b ɑ l z ɑ k
banker	b ɑ ŋ k ə r
barden	b ɑ r d ə
beco	b eː k oː
bedrijfshal	b ə d r ɛ i̯ f s ɦ ɑ l
beecher	b eː x ə r
beenmergtransplantatie	b eː n m ɛ r x t r ɑ n s p l ɑ n t aː s i
beestenmarkt	b eː s t ə m ɑ r k t
begaanbare	b ə ɣ aː n b aː r ə
begeleidster	b ə ɣ ə l ɛ i̯ t s t ə r
behuizingen	b ə ɦ œ y̯ z ɪ ŋ ə
belangengroepen	b ə l ɑ ŋ ə n ɣ r u p ə
belastingjaar	b ə l ɑ s t ɪ ŋ j aː r
belastingplicht	b ə l ɑ s t ɪ ŋ p l ɪ x t
belastingrecht	b ə l ɑ s t ɪ ŋ r ɛ x t
belastingverhoging	b ə l ɑ s t ɪ ŋ v ə r ɦ oː ɣ ɪ ŋ
beleend	b ə l eː n t
beltran	b ɛ l t r ɑ n
bereidingen	b ə r ɛ i̯ d ɪ ŋ ə
bereidingswijze	b ə r ɛ i̯ d ɪ ŋ s ʋ ɛ i̯ z ə
bergs	b ɛ r x s
berichtenverkeer	b ə r ɪ x t ə n v ə r k eː r
bertrix	b ɛ r t r ɪ k s
bervoets	b ɛ r v u t s
beschenen	b ə s x eː n ə
beschermingsmiddelen	b ə s x ɛ r m ɪ ŋ s m ɪ d ə l ə
besloeg	b ə s l u x
besodemieterd	b ə s oː d ə m i t ə r t
bestuurscommissie	b ə s t yː r s k ɔ m ɪ s i
bestuurskamer	b ə s t yː r s k aː m ə r
betaalbaarder	b ə t aː l b aː r d ə r
beurswaarde	b øː r s ʋ aː r d ə
biedermeier	b i d ə r m ɛ i̯ ə r
bijeengekomen	b ɛ i̯ eː n ɣ ə k oː m ə
bijziendheid	b ɛ i̯ z i n t ɦ ɛ i̯ t
bikkelhard	b ɪ k ə l ɦ ɑ r t
binnenrijden	b ɪ n ə n r ɛ i̯ d ə
blauwer	b l ɑ u̯ ə r
blinkend	b l ɪ ŋ k ə n t
blogberichten	b l ɔ x b ə r ɪ x t ə
boekhoorn	b u k ɦ oː r n
boekhoudkundig	b u k ɦ ɑ u̯ t k ʏ n d ə x
boerderijtje	b u r d ə r ɛ i̯ t j ə
bontje	b ɔ n t j ə
bootstrap	b oː t s t r ɑ p
borkum	b ɔ r k ʏ m
bosmans	b ɔ s m ɑ n s
botanical	b oː t aː n i k ɑ l
botstructuur	b ɔ t s t r ʏ k t yː r
bpd	b eː p eː d eː
broedparen	b r u t p aː r ə
bromet	b r oː m ɛ t
bsm	b eː ɛ s ɛ m
bulgaria	b ʏ l ɣ aː r i aː
busta	b ʏ s t aː
butterflies	b ʏ t ə r f l i s
buurtjes	b yː r t j ə s
buurtzorg	b yː r t s ɔ r x
büttner	b ʏ t n ə r
californie	k aː l i f ɔ r n i
cameraatje	k aː m ə r aː t j ə
capaciteitsproblemen	k aː p aː s i t ɛ i̯ t s p r oː b l eː m ə
capgemini	k ɑ p x ə m i n i
carlito	k ɑ r l i t oː
carpenters	k ɑ r p ɛ n t ə r s
carplay	k ɑ r p l eː
castilië	k ɑ s t i l i ə
centraler	s ɛ n t r aː l ə r
cert	s ɛ r t
ciano	s i aː n oː
cim	s ɪ m
clematis	k l eː m aː t ɪ s
coherente	k oː ɦ ə r ɛ n t ə
communiceerde	k ɔ m y n i s eː r d ə
concerns	k ɔ n s ɛ r n s
consultaties	k ɔ n z ʏ l t aː s i s
copperfield	k ɔ p ə r f i l t
corelli	k oː r ɛ l i
corton	k ɔ r t ɔ n
costner	k ɔ s t n ə r
crispy	k r ɪ s p i
daagden	d aː x d ə
dagvlinders	d ɑ x f l ɪ n d ə r s
daikin	d ɑ i̯ k ɪ n
daklozenopvang	d ɑ k l oː z ə n ɔ p f ɑ ŋ
danzig	d ɑ n z ə x
deg	d ɛ x
dennenbossen	d ɛ n ə b ɔ s ə
dennie	d ɛ n i
denon	d eː n ɔ n
determinatie	d eː t ɛ r m i n aː s i
dhz	d eː ɦ aː z eː
dichtgaat	d ɪ x t x aː t
dichtmaken	d ɪ x t m aː k ə
dienstdoend	d i n s d u n t
dierenwinkels	d iː r ə n ʋ ɪ ŋ k ə l s
domkoppen	d ɔ m k ɔ p ə
dompelt	d ɔ m p ə l t
donkervoort	d ɔ ŋ k ə r v oː r t
doorvaart	d oː r v aː r t
doorweekte	d oː r ʋ eː k t ə
dorine	d oː r i n ə
driehoekjes	d r i ɦ u k j ə s
drugslab	d r ʏ x s l ɑ p
duda	d y d aː
dugan	d y ɣ ɑ n
duivesteijn	d œ y̯ v ə s t ɛ i̯ n
duizendjarige	d œ y̯ z ə n t j aː r ə ɣ ə
dupré	d y p r eː
dwaalde	d ʋ aː l d ə
dystopische	d ɪ s t oː p i s ə
ecology	eː k oː l oː ɣ i
ecowas	eː k oː ʋ ɑ s
edta	ɛ t aː
eige	ɛ i̯ ɣ ə
eigene	ɛ i̯ ɣ ə n ə
eit	ɛ i̯ t
either	ɛ i̯ t ə r
elam	eː l ɑ m
electronische	eː l ɛ k t r oː n i s ə
eliane	eː l i aː n ə
emanuelson	eː m aː n y ɛ l s ɔ n
endo	ɛ n d oː
erepodium	eː r ə p oː d i ʏ m
ervin	ɛ r v ɪ n
escalante	ɛ s k aː l ɑ n t ə
eskaders	ɛ s k aː d ə r s
eusebiuskerk	øː z ə b i ʏ s k ɛ r k
evolve	eː v ɔ l v ə
extravaganza	ɛ k s t r aː v aː ɣ ɑ n z aː
fak	f ɑ k
faker	f aː k ə r
familiearchief	f aː m i l i ɑ r x i f
farber	f ɑ r b ə r
farr	f ɑ r
fenne	f ɛ n ə
fenwick	f ɛ n ʋ ɪ k
filmgeschiedenis	f ɪ l m ɣ ə s x i d ə n ɪ s
filmscript	f ɪ l m s k r ɪ p t
flintstone	f l ɪ n t s t oː n ə
flock	f l ɔ k
folle	f ɔ l ə
fosfaatrechten	f ɔ s f aː t r ɛ x t ə
gansewinkel	ɣ ɑ n s ə ʋ ɪ ŋ k ə l
gaultier	ɣ ɑ u̯ l t iː r
gaya	ɣ aː j aː
gebouwencomplex	ɣ ə b ɑ u̯ ə k ɔ m p l ɛ k s
gedrags	ɣ ə d r ɑ x s
gedragsveranderingen	ɣ ə d r ɑ x s f ə r ɑ n d ə r ɪ ŋ ə
gehacked	ɣ ə ɦ ɑ k ə t
gelucht	ɣ ə l ʏ x t
gelukszoekers	ɣ ə l ʏ k s u k ə r s
gemakzuchtig	ɣ ə m ɑ k s ʏ x t ə x
gemeentepolitiek	ɣ ə m eː n t ə p oː l i t i k
gendarmerie	ɣ ɛ n d ɑ r m eː r i
geneesheren	ɣ ə n eː s ɦ eː r ə
geniepige	ɣ ə n i p ə ɣ ə
geplooide	ɣ ə p l oː i̯ d ə
gerichter	ɣ ə r ɪ x t ə r
getackeld	ɣ ə t ɑ k ə l t
getergd	ɣ ə t ɛ r x t
gevuurd	ɣ ə v yː r t
ghibli	ɣ i b l i
gilson	ɣ ɪ l s ɔ n
ginkgo	ɣ ɪ ŋ k x oː
goocheltrucs	ɣ oː x ə l t r ʏ k s
gracieuze	ɣ r aː s i øː z ə
grafschennis	ɣ r ɑ f s x ɛ n ɪ s
granola	ɣ r aː n oː l aː
gremlins	ɣ r ɛ m l ɪ n s
gretigheid	ɣ r eː t ə x ɦ ɛ i̯ t
groenink	ɣ r u n ɪ ŋ k
groepsgesprek	ɣ r u p s x ə s p r ɛ k
groepswerk	ɣ r u p s ʋ ɛ r k
gron	ɣ r ɔ n
groupe	ɣ r u p ə
gvd	ɣ eː v eː d eː
gymnasia	ɣ ɪ m n aː z i aː
haarscheurtjes	ɦ aː r s x øː r t j ə s
haba	ɦ aː b aː
habsburgse	ɦ ɑ p s b ʏ r x s ə
haen	ɦ aː n
hamada	ɦ aː m aː d aː
handelskade	ɦ ɑ n d ə l s k aː d ə
havenaar	ɦ aː v ə n aː r
heerenhoek	ɦ eː r ə n ɦ u k
hembrug	ɦ ɛ m b r ʏ x
herestraat	ɦ eː r ə s t r aː t
heteluchtballon	ɦ eː t ə l ʏ x t b ɑ l ɔ n
hitlerjugend	ɦ ɪ t l ə r j yː ɣ ə n t
holi	ɦ oː l i
honkballers	ɦ ɔ ŋ k b ɑ l ə r s
hora	ɦ oː r aː
hulplijnen	ɦ ʏ l p l ɛ i̯ n ə
ibu	i b y
idioterie	i d i oː t eː r i
ikki	ɪ k i
inci	ɪ n s i
inlevering	ɪ n l eː v ə r ɪ ŋ
inne	ɪ n ə
inpassing	ɪ n p ɑ s ɪ ŋ
instructrice	ɪ n s t r ʏ k t r i s ə
intended	ɪ n t ɛ n d ɛ t
introducé	ɪ n t r oː d y s eː
investigations	ɪ n v ɛ s t i ɣ aː ʃ ɔ n s
inworp	ɪ n ʋ ɔ r p
ipsos	ɪ p s ɔ s
iranian	i r aː n i ɑ n
jaipur	j ɑ i̯ p ʏ r
jakhalzen	j ɑ k ɦ ɑ l z ə
jannetje	j ɑ n ə t j ə
jennen	j ɛ n ə
jeugdkoor	j øː x t k oː r
joli	j oː l i
jonghe	j ɔ ŋ ɦ ə
kadijk	k aː d ɛ i̯ k
kala	k aː l aː
kardashians	k ɑ r d ɑ ʃ i ɑ n s
kasia	k aː z i aː
keene	k eː n ə
kenmerkte	k ɛ m ɛ r k t ə
keno	k eː n oː
kenshin	k ɛ n ʃ ɪ n
kep	k ɛ p
kerstmarkten	k ɛ r s t m ɑ r k t ə
keukenapparatuur	k øː k ə n ɑ p aː r aː t yː r
keyword	k ɛ i̯ ʋ ɔ r t
khomeini	k oː m ɛ i̯ n i
kienen	k i n ə
kift	k ɪ f t
kinderombudsman	k ɪ n d ə r ɔ m b ʏ t s m ɑ n
kistjes	k ɪ s t j ə s
kledingkeuze	k l eː d ɪ ŋ k øː z ə
klimplanten	k l ɪ m p l ɑ n t ə
kluitje	k l œ y̯ t j ə
kona	k oː n aː
koopakte	k oː p ɑ k t ə
koorleden	k oː r l eː d ə
kosmologie	k ɔ s m oː l oː ɣ i
kruistum	k r œ y̯ s t ʏ m
kunen	k y n ə
kunsthistorica	k ʏ n s t ɦ ɪ s t oː r i k aː
kunstliefhebber	k ʏ n s t l i f ɦ ɛ b ə r
kwadratische	k ʋ aː d r aː t i s ə
lakse	l ɑ k s ə
landbouwgebied	l ɑ n t b ɑ u̯ ɣ ə b i t
landbouwvoertuigen	l ɑ n t b ɑ u̯ v u r t œ y̯ ɣ ə
lawn	l ɑ u̯ n
lawyers	l aː ʋ iː r s
leiestreek	l ɛ i̯ ə s t r eː k
lenferink	l ɛ n f ə r ɪ ŋ k
leuren	l øː r ə
levenlang	l eː v ə l ɑ ŋ
levensbeschouwelijk	l eː v ə n s b ə s x ɑ u̯ ə l ə k
lezerspubliek	l eː z ə r s p y b l i k
liefhebberij	l i f ɦ ɛ b ə r ɛ i̯
locked	l ɔ k ə t
lofoten	l oː f oː t ə
lua	l y aː
luchtgekoelde	l ʏ x t x ə k u l d ə
lummelen	l ʏ m ə l ə
léa	l eː aː
maggi	m ɑ ɣ i
majeure	m aː j øː r ə
malick	m aː l ɪ k
manos	m aː n ɔ s
marquette	m ɑ r k ɛ t ə
maryanne	m aː r i ɑ n ə
maskertje	m ɑ s k ə r t j ə
matin	m aː t ɪ n
medegevangenen	m eː d ə ɣ ə v ɑ ŋ ə n ə
meeverzekerd	m eː v ə r z eː k ə r t
meisner	m ɛ i̯ s n ə r
melkvee	m ɛ l k f eː
mendonça	m ɛ n d ɔ n s aː
mensenrechtenactivisten	m ɛ n s ə n r ɛ x t ə n ɑ k t i v ɪ s t ə
menukaarten	m eː n y k aː r t ə
mercurial	m ɛ r k y r i ɑ l
meridianen	m eː r i d i aː n ə
meubelmakers	m øː b ə l m aː k ə r s
micrometer	m i k r oː m eː t ə r
middeltje	m ɪ d ə l t j ə
