að	aː ð
sinnið	s ɪ nː ɪ ð
sins	s ɪ n s
siðferðileg	s ɪ ð f ɛ r ð ɪ l ɛː ɣ
siðferðis	s ɪ ð f ɛ r ð ɪ s
sjálfbærar	s j a u l v p a iː r a r
sjávarsíðuna	s j a uː v a r s iː ð ʏ n a
sjóvár	s j o uː v a uː r
skammir	s k a mː ɪ r
skartgripum	s k a r̥ t k r ɪː p ʏ m
skerðingu	s c ɛ r ð i ŋ k ʏ
skifta	s c ɪ f t a
skilyrðið	s c ɪː l ɪ r ð ɪ ð
skinnið	s c ɪ nː ɪ ð
skordýrum	s k ɔ r t iː r ʏ m
skrauti	s k r ø yː t ɪ
skógræktarinnar	s k o uː k r a i x t a r ɪ nː a r
slæmrar	s t l a i m r a r
smásala	s m a uː s aː l a
snerpu	s t n ɛ r̥ p ʏ
sola	s ɔː l a
sorginni	s ɔ r c ɪ nː ɪ
sparað	s p aː r a ð
stakir	s t aː c ɪ r
starfsmanns	s t a r v s m a nː s
steinsteypt	s t e i n s t e i f t
stellingu	s t ɛ t l i ŋ k ʏ
stimpla	s t ɪ m̥ p l a
stjórnarráð	s t j o u r t n a r r a uː ð
stjórnarráðsins	s t j o u r t n a r r a u ð s ɪ n s
stjórnkerfið	s t j o u r t n cʰ ɛ r v ɪː ð
stjórnlaust	s t j o u r t n l ø y s t
stjórnmálaflokki	s t j o u r t n m a uː l a f l ɔ h c ɪ
stofnfélagar	s t ɔ p n f j ɛː l aː ɣ a r
stranga	s t r a u ŋ k a
strætisvagni	s t r a iː t ɪ s v a k n ɪ
stundarinnar	s t ʏ n t a r ɪ nː a r
stundi	s t ʏ n t ɪ
styrkþegi	s t ɪ r̥ k θ e iː j ɪ
styðji	s t ɪ ð j ɪ
stækkunar	s t a i h k ʏ n a r
stærðinni	s t a i r ð ɪ nː ɪ
stökkbreytingar	s t œ h k p r e iː t i ŋ k a r
stökkt	s t œ x t
stýringu	s t iː r i ŋ k ʏ
sunnudagurinn	s ʏ nː ʏ t aː ɣ ʏ r ɪ nː
sveigjanlegur	s v e iː j a n l ɛː ɣ ʏ r
sveinar	s v e iː n a r
sveitarfélögunum	s v e iː t a r f j ɛː l œː ɣ ʏ n ʏ m
svipmyndir	s v ɪː p m ɪ n t ɪ r
svolitlu	s v ɔː l ɪ h t l ʏ
svína	s v iː n a
sættum	s a i h t ʏ m
sætuefni	s a iː t ʏ ɛ p n ɪ
sérkennslu	s j ɛ r̥ cʰ ɛ n s t l ʏ
síbs	s i p s
síur	s iː ʏ r
sólríkum	s o u l r iː k ʏ m
söguþráð	s œː ɣ ʏ θ r a uː ð
sýningarnar	s iː n i ŋ k a r t n a r
taflfélag	tʰ a p l f j ɛː l aː ɣ
tammy	tʰ a mː ɪ
taps	tʰ a p s
tengil	tʰ e i ɲ c ɪ l
thule	tʰ ʏː l ɛ
tilfærslu	tʰ ɪ l f a i r̥ s t l ʏ
tilveran	tʰ ɪ l v ɛː r a n
tinnu	tʰ ɪ nː ʏ
tjáningar	tʰ j a uː n i ŋ k a r
toro	tʰ ɔː r ɔ
total	tʰ ɔː tʰ aː l
traustum	tʰ r ø y s t ʏ m
tryggingastofnun	tʰ r ɪ cː i ŋ k a s t ɔ p n ʏ n
tryggður	tʰ r ɪ ɣ ð ʏ r
tvennar	tʰ v ɛ nː a r
tónlistaratriði	tʰ o u n l ɪ s t a r a tʰ r ɪː ð ɪ
tóta	tʰ o uː t a
umrætt	ʏ m r a i h t
umræðuna	ʏ m r a iː ð ʏ n a
undarlegur	ʏ n t a r l ɛː ɣ ʏ r
upplýsir	ʏ h p l iː s ɪ r
uppsala	ʏ h p s aː l a
uppsprettur	ʏ h p s p r ɛ h t ʏ r
valmöguleika	v a l m œː ɣ ʏ l e iː k a
veggspjöld	v ɛ kː s p j œ l t
veigamiklu	v e iː ɣ a m ɪ h k l ʏ
veiðimönnum	v e iː ð ɪ m œ nː ʏ m
velferðarkerfi	v ɛ l f ɛ r ð a r cʰ ɛ r v ɪ
veraldleg	v ɛː r a l t l ɛː ɣ
verkanna	v ɛ r̥ k a nː a
verkefnastjórnun	v ɛ r̥ c ɛ p n a s t j o u r t n ʏ n
verslar	v ɛ r̥ s t l a r
verðlagningu	v ɛ r ð l a k n i ŋ k ʏ
verðmætari	v ɛ r ð m a iː t a r ɪ
vestmannaeyjabær	v ɛ s t m a nː a e iː j a p a iː r
vetrarins	v ɛː t r a r ɪ n s
veðurstofunnar	v ɛː ð ʏ r s t ɔː v ʏ nː a r
vinsælla	v ɪ n s a i t l a
virknin	v ɪ r̥ k n ɪ n
viðarsdóttir	v ɪː ð a r s t o u h t ɪ r
viðmiðum	v ɪ ð m ɪː ð ʏ m
viðmiðun	v ɪ ð m ɪː ð ʏ n
viðmælanda	v ɪ ð m a iː l a n t a
viðskiptabanka	v ɪ ð s c ɪ f t a p a u ŋ̊ k a
viðskiptaráð	v ɪ ð s c ɪ f t a r a uː ð
viðtekin	v ɪ ð tʰ ɛː c ɪ n
viðurkennda	v ɪː ð ʏ r cʰ ɛ n t a
váru	v a uː r ʏ
vægari	v a iː ɣ a r ɪ
vært	v a i r̥ t
vígstöðvum	v i x s t œ ð v ʏ m
vígvelli	v i ɣ v ɛ t l ɪ
vínyl	v iː n ɪː l
vísindalegt	v iː s ɪ n t a l ɛ x t
vörubíla	v œː r ʏ p iː l a
waldo	v a l t ɔ
wheel	v iː l
yfirbyggingu	ɪː v ɪ r p ɪ cː i ŋ k ʏ
yfirgangi	ɪː v ɪ r k a u ɲ c ɪ
yfirhöfuð	ɪː v ɪ r h œː v ʏ ð
áburði	a uː p ʏ r ð ɪ
áhrifavalda	a uː r̥ ɪː v a v a l t a
áhrifavaldur	a uː r̥ ɪː v a v a l t ʏ r
ákært	a uː cʰ a i r̥ t
árása	a uː r a uː s a
áss	a u sː
éti	j ɛː t ɪ
óeðlilega	o uː ɛ ð l ɪ l ɛː ɣ a
ógerlegt	o uː c ɛ r l ɛ x t
ógnin	o u k n ɪ n
óhöpp	o uː h œ h p
ójafnvægi	o uː j a p n v a iː j ɪ
ókleift	o uː k l e i f t
óleyst	o uː l e i s t
ómögulega	o uː m œː ɣ ʏ l ɛː ɣ a
ósi	o uː s ɪ
óumdeilt	o uː ʏ m t e i l̥ t
öfgar	œ v k a r
öruggasta	œː r ʏ kː a s t a
örvum	œ r v ʏ m
örófi	œː r o uː v ɪ
úlfalda	u l v a l t a
úrkoman	u r̥ kʰ ɔː m a n
útgefnu	uː t c ɛ p n ʏ
útvarpsstjóri	uː t v a r̥ p s s t j o uː r ɪ
þeyta	θ e iː t a
þiggur	θ ɪ kː ʏ r
þjófnaði	θ j o u p n aː ð ɪ
þjóðgarða	θ j o u ð k a r ð a
þroskaþjálfi	θ r ɔ s k a θ j a u l v ɪ
þröngu	θ r ø y ŋ k ʏ
þungan	θ u ŋ k a n
þyngdar	θ i ŋ t a r
þægilega	θ a iː j ɪ l ɛː ɣ a
þúfur	θ uː v ʏ r
þýddur	θ i tː ʏ r
afrika	a v r ɪː k a
aftengja	a f t e i ɲ c a
akra	aː k r a
almennileg	a l m ɛ nː ɪ l ɛː ɣ
andstaðan	a n t s t aː ð a n
atkvæðagreiðslunnar	aː t kʰ v a iː ð a k r e i ð s t l ʏ nː a r
aðalbjörg	aː ð a l p j œ r k
bangladess	p a u ŋ k l a t ɛ sː
bei	p e iː
blindni	p l ɪ n t n ɪ
blund	p l ʏ n t
boðinu	p ɔː ð ɪ n ʏ
bragðefni	p r a ɣ ð ɛ p n ɪ
breytu	p r e iː t ʏ
cell	s ɛ t l
dagblaðsins	t a ɣ p l a ð s ɪ n s
dapur	t aː p ʏ r
deigi	t e iː j ɪ
dortmund	t ɔ r̥ t m ʏ n t
draumnum	t r ø y m n ʏ m
einbeitti	e i n p e i h t ɪ
eldgosi	ɛ l t k ɔː s ɪ
eldum	ɛ l t ʏ m
every	ɛː v ɛː r ɪ
february	f ɛː p r ʏ aː r ɪ
fimleikum	f ɪ m l e iː k ʏ m
finland	f ɪ n l a n t
fiskimið	f ɪ s c ɪ m ɪː ð
fjármagnar	f j a u r m a k n a r
flaggað	f l a kː a ð
flykkjast	f l ɪ h c a s t
forsetakosningar	f ɔ r̥ s ɛː t a kʰ ɔ s t n i ŋ k a r
forystumönnum	f ɔː r ɪ s t ʏ m œ nː ʏ m
framsækna	f r a m s a i h k n a
frelsað	f r ɛ l s aː ð
geirvörtur	c e i r v œ r̥ t ʏ r
hafliðason	h a p l ɪː ð a s ɔː n
hamburg	h a m p ʏ r k
helmut	h ɛ l m ʏː t
herþjónustu	h ɛ r θ j o uː n ʏ s t ʏ
hlutlausa	l̥ ʏː t l ø yː s a
hlöðum	l̥ œː ð ʏ m
iðunni	ɪː ð ʏ nː ɪ
kaffisopa	kʰ a fː ɪ s ɔː p a
kletta	kʰ l ɛ h t a
klofnaði	kʰ l ɔ p n a ð ɪ
krýndur	kʰ r i n t ʏ r
kvennalandsliðið	kʰ v ɛ nː a l a n t s t l ɪː ð ɪ ð
kólnaði	kʰ o u l n aː ð ɪ
landsbókasafn	l a n t s p o uː k a s a p n
langoftast	l a u ŋ k ɔ f t a s t
langstökki	l a u ŋ k s t œ h c ɪ
leikmanns	l e iː k m a nː s
lumpur	l ʏ m̥ p ʏ r
læki	l a iː c ɪ
lóu	l o uː ʏ
mannanöfn	m a nː a n œ p n
mannvirkið	m a nː v ɪ r̥ c ɪ ð
miljón	m ɪ l j o uː n
miðborgar	m ɪ ð p ɔ r k a r
málaferli	m a uː l a f ɛ r t l ɪ
nafnsins	n a p n s ɪ n s
njörður	n j œ r ð ʏ r
noise	n ɔ iː s ɛ
notfært	n ɔː t f a i r̥ t
nytu	n ɪː t ʏ
náir	n a uː ɪ r
nöglum	n œ k l ʏ m
pilturinn	pʰ ɪ l̥ t ʏ r ɪ nː
progress	pʰ r ɔː k r ɛ sː
pylsu	pʰ ɪ l s ʏ
rassinum	r a sː ɪ n ʏ m
rauðri	r ø y ð r ɪ
reddast	r ɛ tː a s t
results	r ɛː s ʏ l̥ t s
ríkisborgurum	r iː c ɪ s p ɔ r k ʏ r ʏ m
ríkissjónvarpið	r iː c ɪ s s j o u n v a r̥ p ɪː ð
saklausir	s aː k l ø yː s ɪ r
sambandsríki	s a m p a n t s r iː c ɪ
samherjar	s a m h ɛ r j a r
sankti	s a u ŋ̊ k t ɪ
sarajevo	s aː r a j ɛː v ɔ
seka	s ɛː k a
sendiráði	s ɛ n t ɪ r a uː ð ɪ
skilgreindi	s c ɪ l k r e i n t ɪ
skottinu	s k ɔ h t ɪ n ʏ
skáldsögunni	s k a u l t s œː ɣ ʏ nː ɪ
slagorðið	s t l aː ɣ ɔ r ð ɪ ð
slakar	s t l aː k a r
smjörlíki	s m j œ r l iː c ɪ
smæstu	s m a i s t ʏ
snertiskjá	s t n ɛ r̥ t ɪ s c a uː
snúðu	s t n uː ð ʏ
sokkið	s ɔ h c ɪ ð
spendýra	s p ɛ n t iː r a
spyrð	s p ɪ r ð
stigahæstu	s t ɪː ɣ a h a i s t ʏ
sunnanvert	s ʏ nː a n v ɛ r̥ t
svæðanna	s v a iː ð a nː a
sópran	s o uː p r aː n
söm	s œː m
theresu	tʰ ɛː r ɛː s ʏ
tindastól	tʰ ɪ n t a s t o uː l
tortíma	tʰ ɔ r̥ tʰ iː m a
trafford	tʰ r a fː ɔ r t
tvíburar	tʰ v iː p ʏː r a r
tvískiptur	tʰ v iː s c ɪ f t ʏ r
tært	tʰ a i r̥ t
tónleikaferðalag	tʰ o u n l e iː k a f ɛ r ð a l aː ɣ
ungarnir	u ŋ k a r t n ɪ r
uppgang	ʏ h p k a u ŋ k
uppörvandi	ʏ h p œ r v a n t ɪ
varalit	v aː r a l ɪː t
vesturheimi	v ɛ s t ʏ r h e iː m ɪ
vindhraði	v ɪ n t r̥ aː ð ɪ
volta	v ɔ l̥ t a
vífill	v iː v ɪ t l
yfirtekið	ɪː v ɪ r tʰ ɛː c ɪ ð
ábyrgst	a uː p ɪ r k s t
áratugur	a uː r a tʰ ʏː ɣ ʏ r
ætlunarverk	a i h t l ʏ n a r v ɛ r̥ k
ítala	iː tʰ aː l a
óskarsverðlauna	o u s k a r s v ɛ r ð l ø yː n a
ögmundi	œ ɣ m ʏ n t ɪ
útvíkka	uː t v i h k a
þingfundi	θ i ŋ k f ʏ n t ɪ
þjóðlífi	θ j o u ð l iː v ɪ
þjóðvegum	θ j o u ð v ɛː ɣ ʏ m
þórsdóttir	θ o u r̥ s t o u h t ɪ r
afdráttarlaust	a v t r a u h t a r l ø y s t
afgang	a v k a u ŋ k
algerri	a l c ɛ rː ɪ
allmargar	a t l m a r k a r
alto	a l̥ t ɔ
amir	aː m ɪ r
andorra	a n t ɔ rː a
andsvar	a n t s v aː r
angist	a u ɲ c ɪ s t
athugar	aː t h ʏː ɣ a r
atvinnuleit	aː t v ɪ nː ʏ l e iː t
augans	ø yː ɣ a n s
aðlögunarhæfni	a ð l œː ɣ ʏ n a r h a i p n ɪ
barrett	p a rː ɛ h t
baráttumaður	p aː r a u h t ʏ m aː ð ʏ r
batni	p a h t n ɪ
beautiful	p ø yː t ɪ f ʏː l
beinustu	p e iː n ʏ s t ʏ
bengal	p e i ŋ k aː l
bergljót	p ɛ r k l j o uː t
bergþóru	p ɛ r k θ o uː r ʏ
bermúda	p ɛ r m uː t a
blikka	p l ɪ h k a
blómstraði	p l o u m s t r aː ð ɪ
borgarbókasafn	p ɔ r k a r p o uː k a s a p n
breiðar	p r e iː ð a r
brotnu	p r ɔ h t n ʏ
bráðri	p r a u ð r ɪ
bræðralag	p r a i ð r a l aː ɣ
brúnna	p r u t n a
byggju	p ɪ cː ʏ
byggðasafnið	p ɪ ɣ ð a s a p n ɪ ð
bárum	p a uː r ʏ m
bændurnir	p a i n t ʏ r t n ɪ r
bærilega	p a iː r ɪ l ɛː ɣ a
bókmenntaverðlaunin	p o uː k m ɛ n̥ t a v ɛ r ð l ø yː n ɪ n
búðinni	p uː ð ɪ nː ɪ
cam	kʰ aː m
cats	kʰ a h t s
compton	kʰ ɔ m̥ p tʰ ɔː n
custer	kʰ ʏ s t ɛ r
daddy	t a tː ɪ
dawn	t a uː n
donaldson	t ɔː n a l t s ɔː n
drekanum	t r ɛː k a n ʏ m
drekar	t r ɛː k a r
dreyfus	t r e iː v ʏ s
efnavopn	ɛ p n a v ɔ h p n
einfaldað	e i n f a l t a ð
einhverrar	e i n kʰ v ɛ rː a r
einrúmi	e i n r uː m ɪ
eldflaugum	ɛ l t f l ø yː ɣ ʏ m
elstur	ɛ l s t ʏ r
endilöngu	ɛ n t ɪ l ø y ŋ k ʏ
ethel	ɛː t h ɛː l
evil	ɛː v ɪ l
evrópuríki	ɛ v r o uː p ʏ r iː c ɪ
exi	ɛ k s ɪ
ferskir	f ɛ r̥ s c ɪ r
ferðahandbók	f ɛ r ð a h a n t p o uː k
fjögra	f j œ ɣ r a
fjölmennustu	f j œ l m ɛ nː ʏ s t ʏ
flóahreppi	f l o uː a r̥ ɛ h p ɪ
fontaine	f ɔ n̥ t a iː n ɛ
formgerð	f ɔ r m c ɛ r ð
forms	f ɔ r m s
formúlunni	f ɔ r m uː l ʏ nː ɪ
fossinum	f ɔ sː ɪ n ʏ m
foxy	f ɔ k s ɪ
framleiddu	f r a m l e i tː ʏ
framlengingar	f r a m l e i ɲ c i ŋ k a r
friðað	f r ɪː ð a ð
frum	f r ʏː m
frásagna	f r a uː s a k n a
fría	f r iː j a
fullvíst	f ʏ t l v i s t
fyrirmyndum	f ɪː r ɪ r m ɪ n t ʏ m
fyrirsætur	f ɪː r ɪ r s a iː t ʏ r
fínustu	f iː n ʏ s t ʏ
garðari	k a r ð a r ɪ
geisaði	c e iː s aː ð ɪ
gestgjafar	c ɛ s t c aː v a r
getnaðarvarnir	c ɛ h t n a ð a r v a r t n ɪ r
gjörbreytt	c œ r p r e i h t
gremju	k r ɛ m j ʏ
gulan	k ʏː l a n
gular	k ʏː l a r
gunter	k ʏ n̥ t ɛ r
gutti	k ʏ h t ɪ
gylltu	c ɪ l̥ t ʏ
gylltur	c ɪ l̥ t ʏ r
gíg	c iː ɣ
hamingjusamari	h aː m i ɲ c ʏ s aː m a r ɪ
hansson	h a n sː ɔ n
hartford	h a r̥ t f ɔ r t
harðræði	h a r ð r a iː ð ɪ
heights	h e i x t s
heilmikið	h e i l m ɪː c ɪ ð
heilsan	h e i l s a n
heimshlutum	h e i m s l̥ ʏː t ʏ m
herjum	h ɛ r j ʏ m
hershöfðingja	h ɛ r̥ s h œ v ð i ɲ c a
hjálplegt	ç a u l̥ p l ɛ x t
hjólbarða	ç o u l p a r ð a
hlaupin	l̥ ø yː p ɪ n
hljóðfærin	l̥ j o u ð f a iː r ɪ n
hlutastarf	l̥ ʏː t a s t a r v
hlýjan	l̥ iː j a n
holl	h ɔ t l
hreim	r̥ e iː m
hreinsdóttir	r̥ e i n s t o u h t ɪ r
hugræn	h ʏ ɣ r a iː n
hárum	h a uː r ʏ m
hælunum	h a iː l ʏ n ʏ m
hörmung	h œ r m u ŋ k
innanverðum	ɪ nː a n v ɛ r ð ʏ m
japanskar	j aː pʰ a n s k a r
japönum	j aː pʰ œː n ʏ m
jarðskjálftum	j a r ð s c a u l̥ t ʏ m
jeanne	j ɛ a nː ɛ
joss	j ɔ sː
jung	j u ŋ k
jørgen	j œ r k ɛ n
júlíana	j uː l i aː n a
kafka	kʰ a f k a
kanadískur	kʰ aː n a t i s k ʏ r
kanslara	kʰ a n s t l aː r a
keppendurnir	cʰ ɛ h p ɛ n t ʏ r t n ɪ r
kiel	cʰ ɪː l
kippir	cʰ ɪ h p ɪ r
kjötinu	cʰ œː t ɪ n ʏ
klárlega	kʰ l a uː r l ɛː ɣ a
kortunum	kʰ ɔ r̥ t ʏ n ʏ m
kristilegt	kʰ r ɪ s t ɪ l ɛ x t
kristnar	kʰ r ɪ s t n a r
krukkuna	kʰ r ʏ h k ʏ n a
krók	kʰ r o uː k
kunnuglega	kʰ ʏ nː ʏ k l ɛː ɣ a
kýla	cʰ iː l a
labbar	l a pː a r
landakoti	l a n t a kʰ ɔː t ɪ
latte	l a h t ɛ
leitir	l e iː t ɪ r
letrið	l ɛː t r ɪː ð
leyfisbréf	l e iː v ɪ s p r j ɛː v
ljósmyndunar	l j o uː s m ɪ n t ʏ n a r
ljúffeng	l j u fː e i ŋ k
ljúffengar	l j u fː e i ŋ k a r
lorca	l ɔ r̥ k a
lánar	l a uː n a r
lóðréttum	l o u ð r j ɛ h t ʏ m
lögmönnum	l œ ɣ m œ nː ʏ m
malbiki	m a l p ɪː c ɪ
manual	m aː n ʏ aː l
marseille	m a r̥ s e i t l ɛ
matsalnum	m aː t s a l n ʏ m
meini	m e iː n ɪ
mengað	m e i ŋ k a ð
miskunnarlaust	m ɪ s k ʏ nː a r l ø y s t
much	m ʏː x
munaðarlaus	m ʏː n a ð a r l ø yː s
munuð	m ʏː n ʏ ð
mónakó	m o uː n a kʰ o uː
möguleikana	m œː ɣ ʏ l e iː k aː n a
niðjar	n ɪ ð j a r
noir	n ɔ iː r
normanna	n ɔ r m a nː a
norðfjarðar	n ɔ r ð f j a r ð a r
nunnur	n ʏ nː ʏ r
nálgumst	n a u l k ʏ m̥ s t
næringargildi	n a iː r i ŋ k a r c ɪ l t ɪ
núðlur	n u ð l ʏ r
oddgeir	ɔ tː c e iː r
omx	ɔ m k s
opnunina	ɔ h p n ʏ n ɪː n a
orðasambönd	ɔ r ð a s a m p œ n t
oswalt	ɔː s v a l̥ t
perlum	pʰ ɛ r t l ʏ m
plön	pʰ l œː n
plötunum	pʰ l œː t ʏ n ʏ m
prodi	pʰ r ɔː t ɪ
pápa	pʰ a uː p a
pípu	pʰ iː p ʏ
rabbit	r a pː ɪ t
rakkar	r a h k a r
rannsakaðar	r a nː s aː k aː ð a r
renndi	r ɛ n t ɪ
rey	r e iː
risk	r ɪ s k
ritstörf	r ɪː t s t œ r v
rjúpur	r j uː p ʏ r
rofnar	r ɔ p n a r
ræktar	r a i x t a r
réttlætinu	r j ɛ h t l a iː t ɪ n ʏ
ríktu	r i x t ʏ
ríkulega	r iː k ʏ l ɛː ɣ a
samsettar	s a m s ɛ h t a r
shandong	s h a n t o u ŋ k
sigldum	s ɪ k l t ʏ m
sigurmark	s ɪː ɣ ʏ r m a r̥ k
sjúkrahússins	s j uː k r a h u sː ɪ n s
skemmtikraftur	s c ɛ m̥ t ɪ kʰ r a f t ʏ r
skemmtistöðum	s c ɛ m̥ t ɪ s t œː ð ʏ m
skiptanna	s c ɪ f tʰ a nː a
skjalasafn	s c aː l a s a p n
skjálfta	s c a u l̥ t a
skriðuklaustri	s k r ɪː ð ʏ kʰ l ø y s t r ɪ
skuldin	s k ʏ l t ɪ n
skákmanna	s k a uː k m a nː a
skóp	s k o uː p
skömmin	s k œ mː ɪ n
skúra	s k uː r a
slam	s t l aː m
slög	s t l œː ɣ
smíðaðar	s m iː ð a ð a r
sorry	s ɔ rː ɪ
spjalli	s p j a t l ɪ
sprengd	s p r e i ŋ t
steypti	s t e i f t ɪ
stiganum	s t ɪː ɣ a n ʏ m
stillingar	s t ɪ t l i ŋ k a r
stjórnmálaflokks	s t j o u r t n m a uː l a f l ɔ h k s
stofnaðar	s t ɔ p n a ð a r
stríðandi	s t r iː ð a n t ɪ
stundaskrá	s t ʏ n t a s k r a uː
stystu	s t ɪ s t ʏ
stínu	s t iː n ʏ
stöðluðu	s t œ ð l ʏː ð ʏ
suðurströnd	s ʏː ð ʏ r s t r œ n t
suðursveit	s ʏː ð ʏ r s v e iː t
svarfdæla	s v a r v t a iː l a
svartsengi	s v a r̥ t s e i ɲ c ɪ
svokallaði	s v ɔː k a t l aː ð ɪ
sæmdur	s a i m t ʏ r
sæmundsdóttir	s a iː m ʏ n t s t o u h t ɪ r
sænskar	s a i n s k a r
særður	s a i r ð ʏ r
sóknum	s o u h k n ʏ m
sökuð	s œː k ʏ ð
sørensen	s œː r ɛ n s ɛ n
tafir	tʰ aː v ɪ r
tannlæknis	tʰ a nː l a i h k n ɪ s
tea	tʰ ɛː a
terre	tʰ ɛ rː ɛ
thrones	tʰ r ɔː n ɛː s
tilfinningalegt	tʰ ɪ l f ɪ nː i ŋ k a l ɛ x t
tillitssemi	tʰ ɪ t l ɪ t s s ɛː m ɪ
toni	tʰ ɔː n ɪ
trúarlegar	tʰ r uː a r l ɛː ɣ a r
trúarlegt	tʰ r uː a r l ɛ x t
turbo	tʰ ʏ r p ɔ
tvöfaldar	tʰ v œː v a l t a r
tækniframfarir	tʰ a i h k n ɪ f r a m f aː r ɪ r
tætt	tʰ a i h t
tímatal	tʰ iː m a tʰ aː l
tölunum	tʰ œː l ʏ n ʏ m
uggi	ʏ cː ɪ
uglu	ʏ k l ʏ
umbreyting	ʏ m p r e iː t i ŋ k
umráð	ʏ m r a uː ð
uppfinningu	ʏ h p f ɪ nː i ŋ k ʏ
upplag	ʏ h p l aː ɣ
upplifi	ʏ h p l ɪː v ɪ
upplifum	ʏ h p l ɪː v ʏ m
uppsiglingu	ʏ h p s ɪ k l i ŋ k ʏ
upptæk	ʏ h p tʰ a iː k
valdatíma	v a l t a tʰ iː m a
varnarmálaráðherra	v a r t n a r m a uː l a r a uː ð h ɛ rː a
vegalengdin	v ɛː ɣ a l e i ŋ t ɪ n
vegamót	v ɛː ɣ a m o uː t
velkomið	v ɛ l kʰ ɔː m ɪ ð
velvet	v ɛ l v ɛː t
venst	v ɛ n s t
verkfærin	v ɛ r̥ k f a iː r ɪ n
verslunarstjóri	v ɛ r̥ s t l ʏ n a r s t j o uː r ɪ
vesalings	v ɛː s a l i ŋ k s
veðurfars	v ɛː ð ʏ r f a r̥ s
villisvín	v ɪ t l ɪ s v iː n
vitar	v ɪː t a r
volgt	v ɔ l k t
vonarstræti	v ɔː n a r s t r a iː t ɪ
vélaverkfræði	v j ɛː l a v ɛ r̥ k f r a iː ð ɪ
víninu	v iː n ɪ n ʏ
ádeila	a uː t e iː l a
ágætar	a uː c a iː t a r
ágætu	a uː c a iː t ʏ
áhafnar	a uː h a p n a r
ákváðum	a uː kʰ v a uː ð ʏ m
ákærur	a uː cʰ a iː r ʏ r
ásberg	a uː s p ɛ r k
ástkæra	a u s t cʰ a iː r a
íþróttamót	iː θ r o u h t a m o uː t
ólust	o uː l ʏ s t
óvirkur	o uː v ɪ r̥ k ʏ r
önnina	œ nː ɪ n a
öryggismál	œː r ɪ cː ɪ s m a uː l
útgefnar	uː t c ɛ p n a r
þorbjörgu	θ ɔ r p j œ r k ʏ
þorir	θ ɔː r ɪ r
þrotum	θ r ɔː t ʏ m
afgreidd	a v k r e i tː
afhentar	a v h ɛ n̥ t a r
akademíuna	aː k a t ɛː m i j ʏː n a
albertsson	a l p ɛ r̥ t s s ɔː n
algengum	a l c e i ŋ k ʏ m
algild	a l c ɪ l t
alta	a l̥ t a
alvarlegasta	a l v a r l ɛː ɣ a s t a
andoxunarefni	a n t ɔ k s ʏ n a r ɛ p n ɪ
andrá	a n t r a uː
andvara	a n t v aː r a
arasonar	aː r a s ɔː n a r
aristótelesar	aː r ɪ s t o uː tʰ ɛː l ɛː s a r
arnars	a r t n a r̥ s
athafnasvæði	aː t h a p n a s v a iː ð ɪ
atvinnuleysisbætur	aː t v ɪ nː ʏ l e iː s ɪ s p a iː t ʏ r
atvinnurekstur	aː t v ɪ nː ʏ r ɛ k s t ʏ r
auglýstur	ø y ɣ l i s t ʏ r
aukningar	ø y h k n i ŋ k a r
auðir	ø yː ð ɪ r
aðalatriðum	aː ð a l a tʰ r ɪː ð ʏ m
aðalfundur	aː ð a l f ʏ n t ʏ r
aðalmaður	aː ð a l m aː ð ʏ r
aðildarumsókn	aː ð ɪ l t a r ʏ m s o u h k n
aðjúnkt	a ð j u ŋ̊ k t
aðlögunar	a ð l œː ɣ ʏ n a r
aðstoðuðu	a ð s t ɔː ð ʏ ð ʏ
aðstöðuna	a ð s t œː ð ʏ n a
banner	p a nː ɛ r
bartlett	p a r̥ t l ɛ h t
beindu	p e i n t ʏ
berið	p ɛː r ɪ ð
beztu	p ɛ s t ʏ
bing	p i ŋ k
bjórar	p j o uː r a r
bjössi	p j œ sː ɪ
blaðsíðum	p l a ð s iː ð ʏ m
boðorðin	p ɔː ð ɔ r ð ɪ n
break	p r ɛː aː k
brekkum	p r ɛ h k ʏ m
breytilegum	p r e iː t ɪ l ɛː ɣ ʏ m
bridget	p r ɪ t c ɛː t
brottrekstur	p r ɔ h t r ɛ k s t ʏ r
bryson	p r ɪː s ɔ n
bræddi	p r a i tː ɪ
bréfsins	p r j ɛ f s ɪ n s
burbank	p ʏ r p a u ŋ̊ k
byko	p ɪː k ɔ
byssunni	p ɪ sː ʏ nː ɪ
bæjunum	p a iː j ʏ n ʏ m
bæklingi	p a i h k l i ɲ c ɪ
bítandi	p iː tʰ a n t ɪ
bólusetningar	p o uː l ʏ s ɛ h t n i ŋ k a r
búningnum	p uː n i ŋ k n ʏ m
cabo	kʰ aː p ɔ
carbon	kʰ a r p ɔː n
commander	kʰ ɔ mː a n t ɛ r
connors	kʰ ɔ nː ɔ r̥ s
cork	kʰ ɔ r̥ k
djúpstæð	t j uː p s t a iː ð
dos	t ɔː s
drag	t r aː ɣ
drif	t r ɪː v
drykkjar	t r ɪ h c a r
dubrovnik	t ʏ p r ɔ v n ɪː k
dvalarheimili	t v aː l a r h e iː m ɪ l ɪ
dvínandi	t v iː n a n t ɪ
dyrhólaey	t ɪ r h o uː l a e iː
dálitlu	t a uː l ɪ h t l ʏ
dálk	t a u l̥ k
dámar	t a uː m a r
dæmdan	t a i m t a n
dómsmálum	t o u m s m a uː l ʏ m
dómstóls	t o u m s t o u l s
