finns	f ɪ n s
synsam	²s 'yː n s a m
säkerhetsbältet	²s 'ɛː k ɛ r h eː t s b ɛ l t ɛ t
sökbara	²s 'øː k b ɑː r a
tallskog	²t 'a l s k uː ɡ
tem	t ɛ m
tillsynen	²t 'ɪ l s yː n ɛ n
träningsvecka	²t r 'ɛː n ɪ ŋ s v ɛ k a
tuppa	²t 'ɵ p a
uppgiftslämnare	²'ɵ p j ɪ f t s l ɛ m n a r ɛ
utarbetandet	²'ʉː t a r b eː t a n d ɛ t
vagnens	v a ŋ n 'ɛ n s
validera	v a l ɪ d 'eː r a
varuhusen	²v 'ɑː r ɵ h ʉː s ɛ n
vattenledningar	²v 'a t ɛ n l eː d n ɪ ŋ a r
viksjö	²v 'iː k ɧ øː
vinkällaren	²v 'iː n ɕ ɛ l a r ɛ n
vitmålade	²v 'iː t m oː l a d ɛ
växtätare	²v 'ɛ k s t ɛː t a r ɛ
äventyraren	²'ɛː v ɛ n t yː r a r ɛ n
årtusendet	²'oː t ʉː s ɛ n d ɛ t
överflödet	²'øː v ɛ r f l øː d ɛ t
överfölls	²'øː v ɛ r f œ l s
överlagt	²'øː v ɛ l a k t
accelerator	a k s ɛ l ɛ r 'ɑː t ʊ r
adoptioner	a d ɔ p ɧ 'uː n ɛ r
akte	²'a k t ɛ
anläggs	²'a n l ɛ ɡ s
arbetsinkomst	²'a r b eː t s ɪ n k ɔ m s t
arvtagaren	²'a r v t ɑː ɡ a r ɛ n
asfalterad	a s f a l t 'eː r a d
assessment	a s ɛ s m 'ɛ n t
avbrutet	²'ɑː v b r ʉː t ɛ t
avhängig	²'ɑː v h ɛ ŋ ɪ ɡ
avlyssnas	²'ɑː v l ʏ s n a s
baggen	²b 'a ɡ ɛ n
barndop	²b 'ɑː n d uː p
barnmat	²b 'ɑː n m ɑː t
berusande	b ɛ r 'ʉː s a n d ɛ
beskt	b ɛ s k t
blänker	b l 'ɛ ŋ k ɛ r
blåkulla	²b l 'oː k ɵ l a
briggen	²b r 'ɪ ɡ ɛ n
broderier	b r ʊ d 'eː r ɪ ɛ r
bullret	²b 'ɵ l r eː t
checken	²ɕ 'ɛ k ɛ n
chevy	ɕ ɛ v 'yː
darrade	²d 'a r a d ɛ
deng	d ɛ ŋ
derivata	d ɛ r ɪ v 'ɑː t a
disponeras	d ɪ s p ʊ n 'eː r a s
domstols	²d 'ʊ m s t uː l s
dons	d ɔ n s
dorn	d uː n
dramatens	d r a m a t 'ɛ n s
edd	ɛ d
efterlämnat	²'ɛ f t ɛ l ɛ m n a t
exkluderas	ɛ k s k l ɵ d 'eː r a s
femtekolonnare	²f 'ɛ m t ɛ k ʊ l ɔ n a r ɛ
femtiden	²f 'ɛ m t iː d ɛ n
fotled	²f 'uː t l eː d
frode	²f r 'uː d ɛ
fuktskador	²f 'ɵ k t s k ɑː d ʊ r
fästmön	²f 'ɛ s t m øː n
förenats	f œ r 'eː n a t s
gabbe	²ɡ 'a b ɛ
gammalmodiga	²ɡ 'a m a l m uː d ɪ ɡ a
gammastrålning	²ɡ 'a m a s t r oː l n ɪ ŋ
gastronomiska	ɡ a s t r ʊ n 'oː m ɪ s k a
gemena	j ɛ m 'eː n a
givmilda	²j 'iː v m ɪ l d a
glittrigt	²ɡ l 'ɪ t r ɪ k t
granskare	²ɡ r 'a n s k a r ɛ
grundregeln	²ɡ r 'ɵ n d r eː ɡ ɛ l n
gruvnäringen	²ɡ r 'ʉː v n ɛː r ɪ ŋ ɛ n
gullan	²ɡ 'ɵ l a n
gunnars	²ɡ 'ɵ n a ɕ
gömstället	²j 'œ m s t ɛ l ɛ t
halvering	h a l v 'eː r ɪ ŋ
handtagen	²h 'a n d t ɑː ɡ ɛ n
hemmablind	²h 'ɛ m a b l ɪ n d
hettas	²h 'ɛ t a s
huddingevägen	²h 'ɵ d ɪ ŋ ɛ v ɛː ɡ ɛ n
högform	²h 'øː ɡ f ɔ r m
idrottsgalan	²'iː d r ɔ t s ɡ ɑː l a n
inception	ɪ n s ɛ p ɧ 'uː n
inlagt	²'ɪ n l a k t
innehaven	²'ɪ n ɛ h ɑː v ɛ n
jett	j ɛ t
julsaga	²j 'ʉː l s ɑː ɡ a
jättesnyggt	²j 'ɛ t ɛ s n ʏ ɡ t
kavajer	k a v 'a j ɛ r
klassifikation	k l a s ɪ f ɪ k a ɧ 'uː n
kompletterad	k ɔ m p l ɛ t 'eː r a d
korkar	²k 'ɔ r k a r
korrigerad	k ɔ r ɪ ɧ 'eː r a d
korsfästelse	²k 'ɔ ɕ f ɛ s t ɛ l s ɛ
krigsbyte	²k r 'ɪ k s b yː t ɛ
krugman	²k r 'ʉː ɡ m a n
kvickhet	²k v 'ɪ k h eː t
kärror	²ɕ 'ɛ r ʊ r
lansing	²l 'a n s ɪ ŋ
likabehandling	²l 'iː k a b ɛ h a n d l ɪ ŋ
livskvaliteten	²l 'ɪ f s k v a l ɪ t eː t ɛ n
lokaliseras	l ʊ k a l ɪ s 'eː r a s
loot	l uː t
lufsen	²l 'ɵ f s ɛ n
lägesbild	²l 'ɛː ɡ ɛ s b ɪ l d
långlivad	²l 'ɔ ŋ l iː v a d
lösenorden	²l 'øː s ɛ n uː d ɛ n
matlusten	²m 'ɑː t l ɵ s t ɛ n
mea	²m 'eː a
medlemsavgiften	²m 'eː d l ɛ m s ɑː v j ɪ f t ɛ n
mellanlandning	²m 'ɛ l a n l a n d n ɪ ŋ
menlösa	²m 'eː n l øː s ɛ r
mordplatsen	²m 'uː d p l a t s ɛ n
myresjö	²m 'yː r ɛ ɧ øː
nedläggningar	²n 'eː d l ɛ ɡ n ɪ ŋ a r
nordsjö	²n 'uː d ɧ øː
nybryggt	²n 'yː b r ʏ ɡ t
nyhetstips	²n 'yː h eː t s t ɪ p s
ofärdig	²'uː f ɛː d ɪ ɡ
ogräset	²'uː ɡ r ɛː s ɛ t
omslagsbilden	²'ɔ m s l ɑː ɡ s b ɪ l d ɛ n
osäkerheter	²'uː s ɛː k ɛ r h eː t ɛ r
parodin	p a r ʊ d 'iː n
personnumret	²p a ɕ 'uː n ɵ m r eː t
plakett	p l a k 'ɛ t
plantager	p l a n t 'ɑː ɡ ɛ r
plussa	²p l 'ɵ s a
portugiser	p ʊ t ɵ ɡ 'iː s ɛ r
praktfullt	²p r 'a k t f ɵ l t
prayer	p r 'ɛ j ɛ r
premiere	p r ɛ m ɪ 'eː r ɛ
påvar	²p 'oː v a r
reagans	r ɛ a ɡ 'a n s
regeringsbildningen	²r ɛ j 'eː r ɪ ŋ s b ɪ l d n ɪ ŋ ɛ n
remsan	²r 'ɛ m s a n
riksdagsordningen	²r 'ɪ k s d ɑː ɡ s uː d n ɪ ŋ ɛ n
ruggiga	²r 'ɵ ɡ ɪ ɡ a
rättviseförmedlingen	²r 'ɛ t v iː s ɛ f œ r m eː d l ɪ ŋ ɛ n
sakristian	s a k r ɪ s t ɪ 'ɑː n
saltsjön	²s 'a l t ɧ øː n
samhälleligt	²s 'a m h ɛ l ɛ l ɪ k t
samtyckande	²s 'a m t ʏ k a n d ɛ
sarkofag	²s 'a r k ʊ f ɑː ɡ
segelfartyg	²s 'eː ɡ ɛ l f ɑː t yː ɡ
semesterbilder	²s ɛ m 'ɛ s t ɛ r b ɪ l d ɛ r
sets	s ɛ t s
sjätteplats	²ɧ 'ɛ t ɛ p l a t s
skiträdd	²ɧ 'iː t r ɛ d
skollunch	²s k 'ɔ l ɵ n ɧ
slemhinnor	²s l 'ɛ m h ɪ n ʊ r
sluga	²s l 'ʉː ɡ a
snillen	²s n 'ɪ l ɛ n
socialförsäkringar	²s ʊ s ɪ 'ɑː l f œ ɕ ɛː k r ɪ ŋ a r
sommarhuset	²s 'ɔ m a r h ʉː s ɛ t
stalka	²s t 'a l k a
sturegatan	²s t 'ʉː r ɛ ɡ ɑː t a n
svettningar	²s v 'ɛ t n ɪ ŋ a r
synade	²s 'yː n a d ɛ
säkerhetsfrågor	²s 'ɛː k ɛ r h eː t s f r oː ɡ ʊ r
södras	²s 'øː d r a s
talskrivare	²t 'ɑː l s k r iː v a r ɛ
talspråket	²t 'ɑː l s p r oː k ɛ t
tandborstar	²t 'a n d b ɔ ɕ t a r
tillfrågas	²t 'ɪ l f r oː ɡ a s
tillsättning	²t 'ɪ l s ɛ t n ɪ ŋ
tippning	²t 'ɪ p n ɪ ŋ
tonys	t ʊ n 'yː s
träslöjd	²t r 'ɛː s l œ j d
täpp	t ɛ p
uppföljningen	²'ɵ p f œ l j n ɪ ŋ ɛ n
upphittade	²'ɵ p h ɪ t a d ɛ
upphängda	²'ɵ p h ɛ ŋ d a
upprördheten	²'ɵ p r øː d h eː t ɛ n
uppstoppad	²'ɵ p s t ɔ p a d
upptäcktsfärd	²'ɵ p t ɛ k t s f ɛː d
uppväger	²'ɵ p v ɛː ɡ ɛ r
utdött	²'ʉː t d œ t
utfattig	²'ʉː t f a t ɪ ɡ
utgångsläget	²'ʉː t ɡ ɔ ŋ s l ɛː ɡ ɛ t
utrotningen	²'ʉː t r uː t n ɪ ŋ ɛ n
uttrar	²'ʉː t r a r
valkretsen	²v 'ɑː l k r ɛ t s ɛ n
vattenpipa	²v 'a t ɛ n p iː p a
vederbörandes	²v 'eː d ɛ r b øː r a n d ɛ s
verifierad	v ɛ r ɪ f ɪ 'eː r a d
viskositet	v ɪ s k ʊ s ɪ t 'eː t
välorganiserad	²v 'ɛː l ɔ r ɡ a n ɪ s eː r a d
våningshus	²v 'oː n ɪ ŋ s h ʉː s
älsklingens	²'ɛ l s k l ɪ ŋ ɛ n s
ängelsberg	²'ɛ ŋ ɛ l s b a r j
ärofyllda	²'ɛː r ʊ f ʏ l d a
återfödd	²'oː t ɛ r f œ d
åttaårig	²'ɔ t a oː r ɪ ɡ
överlappning	²'øː v ɛ l a p n ɪ ŋ
ability	a b ɪ l ɪ t 'yː
adresserad	a d r ɛ s 'eː r a d
alfabetiskt	a l f a b 'eː t ɪ s k t
ambient	a m b ɪ 'ɛ n t
amputerade	a m p ɵ t 'eː r a d ɛ
anteckningsboken	²'a n t ɛ k n ɪ ŋ s b uː k ɛ n
avrinningsområde	²'ɑː v r ɪ n ɪ ŋ s ɔ m r oː d ɛ
avsiktligen	²'ɑː v s ɪ k t l ɪ ɡ ɛ n
balar	²b 'ɑː l a r
biffiga	²b 'ɪ f ɪ ɡ a
bildernas	²b 'ɪ l d ɛ n a s
blodcirkulationen	²b l 'uː d s ɪ r k ɵ l a ɧ uː n ɛ n
blottas	²b l 'ɔ t a s
blöjorna	²b l 'œ j uː n a
bokföringsbrott	²b 'uː k f øː r ɪ ŋ s b r ɔ t
bombarderas	b ɔ m b a d 'eː r a s
boverkets	²b 'uː v a r k ɛ t s
bröllopsfest	²b r 'œ l ɔ p s f ɛ s t
bubblare	²b 'ɵ b l a r ɛ
busta	²b 'ɵ s t a
byggmästaren	²b 'ʏ ɡ m ɛ s t a r ɛ n
clamp	k l a m p
clever	k l 'eː v ɛ r
delområde	²d 'eː l ɔ m r oː d ɛ
disaster	d ɪ s 'a s t ɛ r
dödare	²d 'øː d a r ɛ
eteriska	ɛ t 'eː r ɪ s k a
fantiserade	f a n t ɪ s 'eː r a d ɛ
flankerna	²f l 'a ŋ k ɛ n a
flodhästar	²f l 'uː d h ɛ s t a r
flottig	²f l 'ɔ t ɪ ɡ
formgivningen	²f 'ɔ r m j iː v n ɪ ŋ ɛ n
forskningsanslag	²f 'ɔ ɕ k n ɪ ŋ s a n s l ɑː ɡ
framlägger	²f r 'a m l ɛ ɡ ɛ r
fuckad	²f 'ɵ k a d
fullgör	²f 'ɵ l j øː r
fuskpäls	²f 'ɵ s k p ɛ l s
förbittring	f œ r b 'ɪ t r ɪ ŋ
fördömanden	f œ d 'œ m a n d ɛ n
församlade	f œ ɕ 'a m l a d ɛ
försörjt	f œ ɕ 'œ r j t
förvaltningar	f œ r v 'a l t n ɪ ŋ a r
förvaltnings	f œ r v 'a l t n ɪ ŋ s
gast	ɡ a s t
glashuset	²ɡ l 'ɑː s h ʉː s ɛ t
graverade	ɡ r a v 'eː r a d ɛ
gruvar	²ɡ r 'ʉː v a r
guldgrävare	²ɡ 'ɵ l d ɡ r ɛː v a r ɛ
hajarna	²h 'a j a n a
handslaget	²h 'a n d s l ɑː ɡ ɛ t
hella	²h 'ɛ l a
hemställan	²h 'ɛ m s t ɛ l a n
hillerstorp	²h 'ɪ l ɛ ɕ t ɔ r p
hinta	²h 'ɪ n t a
hjältedåd	²j 'ɛ l t ɛ d oː d
hällristningar	²h 'ɛ l r ɪ s t n ɪ ŋ a r
ims	ɪ m s
inrättad	²'ɪ n r ɛ t a d
jeriko	j ɛ r 'iː k ʊ
journalists	ɧ ʊ n a l 'ɪ s t s
järnvägstrafik	²j 'ɛː n v ɛː ɡ s t r a f iː k
kallblodigt	²k 'a l b l uː d ɪ k t
klanta	²k l 'a n t a
klientens	k l ɪ ɛ n t 'ɛ n s
kolvar	²k 'ɔ l v a r
krigförande	²k r 'iː ɡ f øː r a n d ɛ
kryssaren	²k r 'ʏ s a r ɛ n
kundbesök	²k 'ɵ n d b ɛ s øː k
kunglighet	²k 'ɵ ŋ l ɪ ɡ h eː t
käkben	²ɕ 'ɛː k b eː n
lajva	²l 'a j v a
langaren	²l 'a ŋ a r ɛ n
lash	l a ɧ
likasinnad	²l 'iː k a s ɪ n a d
livsmedels	²l 'ɪ f s m eː d ɛ l s
ljuskrona	²j 'ʉː s k r uː n a
lusen	²l 'ʉː s ɛ n
lyktorna	²l 'ʏ k t uː n a
lågvatten	²l 'oː ɡ v a t ɛ n
mals	m a l s
mariner	m a r 'iː n ɛ r
mash	m a ɧ
medal	m ɛ d 'ɑː l
meningslöshet	²m 'eː n ɪ ŋ s l øː s h eː t
minnesord	²m 'ɪ n ɛ s uː d
moana	²m 'uː ɑː n a
morn	m uː n
motvilliga	²m 'uː t v ɪ l ɪ ɡ a
mynnade	²m 'ʏ n a d ɛ
myrar	²m 'yː r a r
mögligt	²m 'øː ɡ l ɪ k t
nyckfulla	²n 'ʏ k f ɵ l a
nyhetsplats	²n 'yː h eː t s p l a t s
näringspolitik	²n 'ɛː r ɪ ŋ s p ʊ l ɪ t iː k
ogiltigförklara	²'uː j ɪ l t ɪ ɡ f œ r k l ɑː r a
oklanderligt	²'uː k l a n d ɛ l ɪ k t
oredan	²'uː r eː d a n
oskadad	²'uː s k ɑː d a d
oskiljaktiga	²'uː ɧ ɪ l j a k t ɪ ɡ a
palmberg	²p 'a l m b a r j
pannben	²p 'a n b eː n
pendlingen	²p 'ɛ n d l ɪ ŋ ɛ n
personvagnar	²p a ɕ 'uː n v a ŋ n a r
portugisen	p ʊ t ɵ ɡ 'iː s ɛ n
postgiro	²p 'ɔ s t j iː r ʊ
postlåda	²p 'ɔ s t l oː d a
prästgatan	²p r 'ɛ s t ɡ ɑː t a n
purge	²p 'ɵ r j ɛ
påkomna	²p 'oː k ɔ m n a
påtalas	²p 'oː t ɑː l a s
påträffat	²p 'oː t r ɛ f a t
reserveras	r ɛ s a r v 'eː r a s
riksdagsgruppen	²r 'ɪ k s d ɑː ɡ s ɡ r ɵ p ɛ n
ringaren	²r 'ɪ ŋ a r ɛ n
romas	r ʊ m 'ɑː s
rosetter	r ʊ s 'ɛ t ɛ r
samarbetsvilja	²s 'a m a r b eː t s v ɪ l j a
samlaren	²s 'a m l a r ɛ n
samlingslokal	²s 'a m l ɪ ŋ s l ʊ k ɑː l
sammanbundna	²s 'a m a n b ɵ n d n a
sammanställda	²s 'a m a n s t ɛ l d a
sandford	²s 'a n d f uː d
semitiska	s ɛ m 'iː t ɪ s k a
sheep	ɧ iː p
sjöfarare	²ɧ 'øː f ɑː r a r ɛ
skattefusk	²s k 'a t ɛ f ɵ s k
skiljelinje	²ɧ 'ɪ l j ɛ l ɪ n j ɛ
skivarp	²ɧ 'iː v a r p
skolplikten	²s k 'uː l p l ɪ k t ɛ n
skolverksamhet	²s k 'uː l v a r k s a m h eː t
slanka	²s l 'a ŋ k a
slapphet	²s l 'a p h eː t
smältande	²s m 'ɛ l t a n d ɛ
smålänningen	²s m 'oː l ɛ n ɪ ŋ ɛ n
snöskotrar	²s n 'øː s k uː t r a r
sockerbit	²s 'ɔ k ɛ r b iː t
spirande	²s p 'iː r a n d ɛ
språklärare	²s p r 'oː k l ɛː r a r ɛ
stenhuggare	²s t 'eː n h ɵ ɡ a r ɛ
stjärnbild	²ɧ 'ɛː n b ɪ l d
stålrör	²s t 'oː l r øː r
svartklädda	²s v 'a t k l ɛ d a
svearna	²s v 'eː a n a
tankning	²t 'a ŋ k n ɪ ŋ
tappre	²t 'a p r ɛ
tillträdet	²t 'ɪ l t r ɛː d ɛ t
tjuvstartade	²ɕ 'ʉː v s t ɑː t a d ɛ
tjänsteflicka	²ɕ 'ɛ n s t ɛ f l ɪ k a
trafikleder	²t r a f 'iː k l eː d ɛ r
trampad	²t r 'a m p a d
tricken	²t r 'ɪ k ɛ n
trångsund	²t r 'ɔ ŋ s ɵ n d
tröttast	²t r 'œ t a s t
törnblom	²t 'øː n b l ʊ m
underhuggare	²'ɵ n d ɛ r h ɵ ɡ a r ɛ
underskattning	²'ɵ n d ɛ ɕ k a t n ɪ ŋ
undkommer	²'ɵ n d k ɔ m ɛ r
universitetslärare	²ɵ n ɪ v a ɕ ɪ t 'eː t s l ɛː r a r ɛ
uppställt	²'ɵ p s t ɛ l t
utgånget	²'ʉː t ɡ ɔ ŋ ɛ t
utvecklingsarbetet	²'ʉː t v ɛ k l ɪ ŋ s a r b eː t ɛ t
vattenflödet	²v 'a t ɛ n f l øː d ɛ t
vinnarskalle	²v 'ɪ n a ɕ k a l ɛ
viskande	²v 'ɪ s k a n d ɛ
vänsterperspektiv	²v 'ɛ n s t ɛ r p a ɕ p ɛ k t iː v
wallén	v a l 'eː n
ytterligheter	²'ʏ t ɛ l ɪ ɡ h eː t ɛ r
åberopade	²'oː b ɛ r uː p a d ɛ
ålderman	²'ɔ l d ɛ r m a n
ångande	²'ɔ ŋ a n d ɛ
årskullen	²'oː ɕ k ɵ l ɛ n
åstadkoms	²'oː s t ɑː d k ɔ m s
överlämnad	²'øː v ɛ l ɛ m n a d
övervägas	²'øː v ɛ r v ɛː ɡ a s
adderas	a d 'eː r a s
arbetsgrupper	²'a r b eː t s ɡ r ɵ p ɛ r
arbetsuppgiften	²'a r b eː t s ɵ p j ɪ f t ɛ n
armour	a r m 'uː r
avklippt	²'ɑː v k l ɪ p t
avlagd	²'ɑː v l a ɡ d
avskriver	²'ɑː v s k r iː v ɛ r
badplatsen	²b 'ɑː d p l a t s ɛ n
bedömma	b ɛ d 'œ m ɛ r
befolknings	b ɛ f 'ɔ l k n ɪ ŋ s
behagade	b ɛ h 'ɑː ɡ a d ɛ
besvarades	b ɛ s v 'ɑː r a d ɛ s
bjudningar	²b j 'ʉː d n ɪ ŋ a r
blodplättar	²b l 'uː d p l ɛ t a r
blötsnö	²b l 'øː t s n øː
boksläpp	²b 'uː k s l ɛ p
bortamål	²b 'ɔ t a m oː l
brödbit	²b r 'øː d b iː t
celina	s ɛ l 'iː n a
clippers	k l 'ɪ p ɛ ɕ
cutter	k 'ɵ t ɛ r
damkläder	²d 'a m k l ɛː d ɛ r
decentraliserade	d ɛ s ɛ n t r a l ɪ s 'eː r a d ɛ
detektiver	d ɛ t ɛ k t 'iː v ɛ r
dårhus	²d 'oː r h ʉː s
eliminering	ɛ l ɪ m ɪ n 'eː r ɪ ŋ
enkelheten	²'ɛ ŋ k ɛ l h eː t ɛ n
fag	f ɑː ɡ
fallera	f a l 'eː r a
fastslagit	²f 'a s t s l ɑː ɡ ɪ t
fjädringen	²f j 'ɛː d r ɪ ŋ ɛ n
framstått	²f r 'a m s t ɔ t
framtids	²f r 'a m t iː d s
fredman	²f r 'eː d m a n
frikyrkor	²f r 'iː ɕ ʏ r k ʊ r
fångenskapen	²f 'ɔ ŋ ɛ n s k ɑː p ɛ n
förbanne	f œ r b 'a n ɛ
förbrytelser	f œ r b r 'yː t ɛ l s ɛ r
förkovra	f œ r k 'oː v r a
förlängts	f œ l 'ɛ ŋ t s
förtjänstfullt	f œ r ɕ 'ɛ n s t f ɵ l t
förverkligande	f œ r v 'ɛ r k l ɪ ɡ a n d ɛ
gemener	j ɛ m 'eː n ɛ r
gems	j ɛ m s
grundexamen	²ɡ r 'ɵ n d ɛ k s ɑː m ɛ n
grundläggning	²ɡ r 'ɵ n d l ɛ ɡ n ɪ ŋ
grundorsaken	²ɡ r 'ɵ n d ʊ ɕ ɑː k ɛ n
halvsanningar	²h 'a l v s a n ɪ ŋ a r
hippt	h ɪ p t
hjärntvätten	²j 'ɛː n t v ɛ t ɛ n
hula	²h 'ʉː l a
hyresavtal	²h 'yː r ɛ s ɑː v t ɑː l
hästväg	²h 'ɛ s t v ɛː ɡ
högkostnadsskydd	²h 'øː ɡ k ɔ s t n a d s ɧ ʏ d
hörnefors	²h 'øː n ɛ f ɔ ɕ
identitetskris	²ɪ d ɛ n t ɪ t 'eː t s k r iː s
illegitim	ɪ l ɛ ɡ ɪ t 'iː m
influeras	ɪ n f l ɵ 'eː r a s
inhyst	²'ɪ n h ʏ s t
inloggningar	²'ɪ n l ɔ ɡ n ɪ ŋ a r
insjöar	²'ɪ n ɧ øː a r
institutions	ɪ n s t ɪ t ɵ ɧ 'uː n s
jumping	²j 'ɵ m p ɪ ŋ
knarkande	²k n 'a r k a n d ɛ
kommenterad	k ɔ m ɛ n t 'eː r a d
kompatibilitet	k ɔ m p a t ɪ b ɪ l ɪ t 'eː t
kons	k ɔ n s
kortfattade	²k 'ɔ t f a t a d ɛ
kortväxt	²k 'ɔ t v ɛ k s t
kosh	k ɔ ɧ
krill	k r ɪ l
kryddade	²k r 'ʏ d a d ɛ
krånglande	²k r 'ɔ ŋ l a n d ɛ
kuna	²k 'ʉː n a
kvalen	²k v 'ɑː l ɛ n
kvalspel	²k v 'ɑː l s p eː l
labyrinter	l a b ʏ r 'ɪ n t ɛ r
lundsbergs	²l 'ɵ n d s b a r j s
lyckönskningar	²l 'ʏ k œ n s k n ɪ ŋ a r
läslust	²l 'ɛː s l ɵ s t
lånats	²l 'oː n a t s
långdraget	²l 'ɔ ŋ d r ɑː ɡ ɛ t
malande	²m 'ɑː l a n d ɛ
materian	m a t ɛ r ɪ 'ɑː n
metallisk	m ɛ t 'a l ɪ s k
mobiliserade	m ʊ b ɪ l ɪ s 'eː r a d ɛ
modulära	m ʊ d ɵ l 'ɛː r a
morgonsoffan	²m 'ɔ r ɡ ɔ n s ɔ f a n
mård	m oː d
nationalrätt	²n a t ɧ ʊ n 'ɑː l r ɛ t
nedfallna	²n 'eː d f a l n a
näringslära	²n 'ɛː r ɪ ŋ s l ɛː r a
nöjesparker	²n 'œ j ɛ s p a r k ɛ r
oregistrerade	²'uː r ɛ j ɪ s t r eː r a d ɛ
orättfärdiga	²'uː r ɛ t f ɛː d ɪ ɡ a
osakligt	²'uː s ɑː k l ɪ k t
perfektionist	p a r f ɛ k ɧ ʊ n 'ɪ s t
pinglan	²p 'ɪ ŋ l a n
polariserade	p ʊ l a r ɪ s 'eː r a d ɛ
prestigen	p r ɛ s t 'iː ɡ ɛ n
prismässigt	²p r 'iː s m ɛ s ɪ k t
profilerar	p r ʊ f ɪ l 'eː r a r
puk	p ʉː k
resonemangen	r ɛ s ʊ n ɛ m 'a ŋ ɛ n
riddar	²r 'ɪ d a r
sabbad	²s 'a b a d
sammanställdes	²s 'a m a n s t ɛ l d ɛ s
samverkande	²s 'a m v a r k a n d ɛ
sexologi	s ɛ k s ʊ l ʊ ɡ 'iː
siare	²s 'iː a r ɛ
sittningen	²s 'ɪ t n ɪ ŋ ɛ n
skatteplanering	²s k 'a t ɛ p l a n eː r ɪ ŋ
skuldran	²s k 'ɵ l d r a n
skuldrorna	²s k 'ɵ l d r uː n a
skyler	ɧ 'yː l ɛ r
släktband	²s l 'ɛ k t b a n d
soprano	s ʊ p r 'ɑː n ʊ
spend	s p ɛ n d
sprayfärg	²s p r 'ɛ j f a r j
stollen	²s t 'ɔ l ɛ n
storsäljaren	²s t 'uː ɕ ɛ l j a r ɛ n
straffläggningen	²s t r 'a f l ɛ ɡ n ɪ ŋ ɛ n
stympning	²s t 'ʏ m p n ɪ ŋ
suk	s ʉː k
säkerhetsskull	²s 'ɛː k ɛ r h eː t s k ɵ l
sättningen	²s 'ɛ t n ɪ ŋ ɛ n
tillfälligtvis	²t 'ɪ l f ɛ l ɪ k t v iː s
tillförts	²t 'ɪ l f œ t ɕ
tillverkarens	²t 'ɪ l v a r k a r ɛ n s
tomtmark	²t 'ɔ m t m a r k
totta	²t 'ɔ t a
trident	t r ɪ d 'ɛ n t
tränarutbildning	²t r 'ɛː n a r ʉː t b ɪ l d n ɪ ŋ
tulle	²t 'ɵ l ɛ
tårtbit	²t 'oː t b iː t
uppkörd	²'ɵ p ɕ øː d
upplysningens	²'ɵ p l yː s n ɪ ŋ ɛ n s
uppmärksamt	²'ɵ p m a r k s a m t
utförsäkrade	²'ʉː t f œ ɕ ɛː k r a d ɛ
utrustats	²'ʉː t r ɵ s t a t s
uträttade	²'ʉː t r ɛ t a d ɛ
utvilade	²'ʉː t v iː l a d ɛ
utövaren	²'ʉː t øː v a r ɛ n
vallby	²v 'a l b yː
vandrarhemmet	²v 'a n d r a r h ɛ m ɛ t
vapenhandel	²v 'ɑː p ɛ n h a n d ɛ l
vaskar	²v 'a s k a r
vattenfyllda	²v 'a t ɛ n f ʏ l d a
veckotidningar	²v 'ɛ k ʊ t iː d n ɪ ŋ a r
venera	v ɛ n 'eː r a
viktoriansk	v ɪ k t ʊ r ɪ 'ɑː n s k
väntelista	²v 'ɛ n t ɛ l ɪ s t a
yrkeshögskolan	²'ʏ r k ɛ s h øː ɡ s k uː l a n
yrkesverksam	²'ʏ r k ɛ s v a r k s a m
ändamålen	²'ɛ n d a m oː l ɛ n
årsmedeltemperaturen	²'oː ɕ m eː d ɛ l t ɛ m p ɛ r a t ʉː r ɛ n
åskådaren	²'oː s k oː d a r ɛ n
återupplivar	²'oː t ɛ r ɵ p l iː v a r
ödelagt	²'øː d ɛ l a k t
överkänsliga	²'øː v ɛ r ɕ ɛ n s l ɪ ɡ a
absorption	a b s ɔ r p ɧ 'uː n
accident	a k s ɪ d 'ɛ n t
arealer	a r ɛ 'ɑː l ɛ r
ateismen	a t ɛ 'ɪ s m ɛ n
background	²b 'a k ɡ r a ʊ n d
bahar	²b 'ɑː h a r
bakgrunds	²b 'ɑː k ɡ r ɵ n d s
bakhjulen	²b 'ɑː k j ʉː l ɛ n
bakljus	²b 'ɑː k j ʉː s
bjälkar	²b j 'ɛ l k a r
bokomslag	²b 'uː k ɔ m s l ɑː ɡ
bombdådet	²b 'ɔ m b d oː d ɛ t
brandfarligt	²b r 'a n d f ɑː l ɪ k t
brandgula	²b r 'a n d ɡ ʉː l a
bundle	²b 'ɵ n d l ɛ
cafét	k a f 'eː t
chaka	²ɕ 'ɑː k a
charader	ɧ a r 'ɑː d ɛ r
coalition	k ʊ a l ɪ ɧ 'uː n
dalande	²d 'ɑː l a n d ɛ
danes	d a n 'eː s
derivatan	d ɛ r ɪ v 'ɑː t a n
distribuerad	d ɪ s t r ɪ b ɵ 'eː r a d
donat	d ʊ n 'ɑː t
dubbelrum	²d 'ɵ b ɛ l r ɵ m
ellens	ɛ l 'ɛ n s
envy	²'eː n v yː
fabricerade	f a b r ɪ s 'eː r a d ɛ
familjebok	²f a m 'ɪ l j ɛ b uː k
fastighetsverk	²f 'a s t ɪ ɡ h eː t s v a r k
fastslaget	²f 'a s t s l ɑː ɡ ɛ t
fiskas	²f 'ɪ s k a s
flumskolan	²f l 'ɵ m s k uː l a n
