to	t ɔ
darren	d a rː e n
demi	ɟ e m i
derivát	ɟ e r i v aː t
diplomat	ɟ i p l ɔ m a t
dlhoročného	d l̩ ɦ ɔ r ɔ t͡ʃ n eː ɦ ɔ
dokým	d ɔ k iː m
dopravnou	d ɔ p r a v n ɔ v
dospela	d ɔ s p e l a
dospievania	d ɔ s p ɪ̯ e v a ɲ ɪ̯ a
dot	d ɔ t
dvojnásobne	d v ɔ j n aː s ɔ b ɲ e
dôležitejší	d u̯ ɔ ʎ e ʒ i c e j ʃ iː
dýchaním	d iː x a ɲ iː m
dĺžkach	d l̩ː ʃ k a x
džungli	d͡ʒ u n ɡ ʎ i
džínsy	d͡ʒ iː n s i
edíciu	e ɟ iː t͡s i u
electronic	e l e t͡s t r ɔ ɲ i t͡s
epsilon	e p s i l ɔ n
eucharistie	e u x a r i s c ɪ̯ e
everest	e v e r e s t
existovalo	e ɡ z i s t ɔ v a l ɔ
exportu	e k s p ɔ r t u
faktora	f a k t ɔ r a
farárom	f a r aː r ɔ m
favorit	f a v ɔ r i t
fenoménu	f e n ɔ m eː n u
filozofická	f i l ɔ z ɔ f i t͡s k aː
fitnes	f i t ɲ e s
fix	f i k s
flora	f l ɔ r a
fonde	f ɔ n ɟ e
fotografických	f ɔ t ɔ ɡ r a f i t͡s k iː x
francúzov	f r a n t͡s uː z ɔ v
fyzickým	f i z i t͡s k iː m
geografické	ɡ e ɔ ɡ r a f i t͡s k eː
guide	ɡ u i ɟ e
gumy	ɡ u m i
hladní	ɦ l a d ɲ iː
hlavica	ɦ l a v i t͡s a
hmote	ɦ m ɔ c e
hmotných	ɦ m ɔ t n iː x
hodnotený	ɦ ɔ d n ɔ c e n iː
hokejistov	ɦ ɔ k e j i s t ɔ v
homer	ɦ ɔ m e r
hornín	ɦ ɔ r ɲ iː n
horskú	ɦ ɔ r s k uː
hviezdach	ɦ v ɪ̯ e z d a x
hygiena	ɦ i ɡ ɪ̯ e n a
hýbu	ɦ iː b u
infračervené	i n f r a t͡ʃ e r v e n eː
isteže	i s c e ʒ e
italia	i t a ʎ ɪ̯ a
jarných	j a r n iː x
jazdím	j a z ɟ iː m
jedlé	j e d l eː
jemnejšie	j e m ɲ e j ʃ ɪ̯ e
jojo	j ɔ j ɔ
kamere	k a m e r e
kang	k a n k
kazí	k a z iː
klinická	k ʎ i ɲ i t͡s k aː
kolko	k ɔ l k ɔ
kompletnej	k ɔ m p ʎ e t ɲ e j
komplikovanejšie	k ɔ m p ʎ i k ɔ v a ɲ e j ʃ ɪ̯ e
koncepciou	k ɔ n t͡s e p t͡s i ɔ v
koncertné	k ɔ n t͡s e r t n eː
kondómy	k ɔ n d ɔː m i
konfigurácii	k ɔ n f i ɡ u r aː t͡s i i
konope	k ɔ n ɔ p e
kreditné	k r e ɟ i t n eː
krstný	k r̩ s t n iː
kryme	k r i m e
králika	k r aː ʎ i k a
kúp	k uː p
kĺby	k l̩ː b i
laurie	l a u r ɪ̯ e
letnú	ʎ e t n uː
liekoch	ʎ ɪ̯ e k ɔ x
liečení	ʎ ɪ̯ e t͡ʃ e ɲ iː
listinou	ʎ i s c i n ɔ v
lt	l̩ t
lumen	l u m e n
lymfatických	l i m f a c i t͡s k iː x
majstrovstvo	m a j s t r ɔ v s t v ɔ
manželstvá	m a n ʒ e l s t v aː
masla	m a s l a
masívna	m a s iː v n a
maturite	m a t u r i c e
maľbe	m a ʎ b e
metrom	m e t r ɔ m
microsoftu	m i t͡s r ɔ s ɔ f t u
mile	m i ʎ e
mizne	m i z ɲ e
mlyna	m l i n a
modlí	m ɔ d ʎ iː
modlíme	m ɔ d ʎ iː m e
mozgovú	m ɔ z ɡ ɔ v uː
močového	m ɔ t͡ʃ ɔ v eː ɦ ɔ
mramor	m r a m ɔ r
mrežami	m r e ʒ a m i
murovaný	m u r ɔ v a n iː
myokardu	m i ɔ k a r d u
mýlim	m iː ʎ i m
nadobudnúť	n a d ɔ b u d n uː c
nahnevaný	n a ɦ ɲ e v a n iː
nainštalovaný	n a i n ʃ t a l ɔ v a n iː
najmladšia	n a j m l a t͡ʃː ɪ̯ a
nakrúcanie	n a k r uː t͡s a ɲ ɪ̯ e
naplánovaná	n a p l aː n ɔ v a n aː
narástol	n a r aː s t ɔ l
navrhoval	n a v r̩ ɦ ɔ v a l
nazýval	n a z iː v a l
nebezpečnej	ɲ e b e s p e t͡ʃ ɲ e j
nechutné	ɲ e x u t n eː
nechávame	ɲ e x aː v a m e
neporiadku	ɲ e p ɔ r ɪ̯ a t k u
nepovažujú	ɲ e p ɔ v a ʒ u j uː
nepresahuje	ɲ e p r e s a ɦ u j e
nereaguje	ɲ e r e a ɡ u j e
nerobíme	ɲ e r ɔ b iː m e
nesporne	ɲ e s p ɔ r ɲ e
nesúhlasu	ɲ e s uː ɦ l a s u
nezačal	ɲ e z a t͡ʃ a l
nezmenili	ɲ e z m e ɲ i ʎ i
nečítal	ɲ e t͡ʃ iː t a l
nečítala	ɲ e t͡ʃ iː t a l a
nite	ɲ i c e
nižnej	ɲ i ʒ ɲ e j
nom	n ɔ m
nositeľmi	n ɔ s i c e ʎ m i
nájdených	n aː j ɟ e n iː x
nálož	n aː l ɔ ʃ
náplasť	n aː p l a s c
nápoja	n aː p ɔ j a
národnému	n aː r ɔ d n eː m u
nórskeho	n ɔː r s k e ɦ ɔ
obaly	ɔ b a l i
obchvatu	ɔ p x v a t u
obedy	ɔ b e d i
obradov	ɔ b r a d ɔ v
obsiahnutý	ɔ p s ɪ̯ a ɦ n u t iː
obávali	ɔ b aː v a ʎ i
občianskom	ɔ p t͡ʃ ɪ̯ a n s k ɔ m
obžalovaný	ɔ b ʒ a l ɔ v a n iː
oceánov	ɔ t͡s e aː n ɔ v
odhalia	ɔ d ɦ a ʎ ɪ̯ a
odmietam	ɔ d m ɪ̯ e t a m
odmietanie	ɔ d m ɪ̯ e t a ɲ ɪ̯ e
odpojiť	ɔ t p ɔ j i c
odradiť	ɔ d r a ɟ i c
odvetu	ɔ d v e t u
optimalizácia	ɔ p t i m a l i z aː t͡s i a
opísaná	ɔ p iː s a n aː
opúšťajú	ɔ p uː ʃ c a j uː
opýta	ɔ p iː t a
oslovenie	ɔ s l ɔ v e ɲ ɪ̯ e
ozýva	ɔ z iː v a
panike	p a ɲ i k e
pb	p eː b eː
pedagóga	p e d a ɡ ɔː ɡ a
periodickej	p e r i ɔ ɟ i t͡s k e j
pilierom	p i ʎ ɪ̯ e r ɔ m
planiny	p l a ɲ i n i
platieb	p l a c ɪ̯ e p
podnikateľské	p ɔ d ɲ i k a c e ʎ s k eː
podnikové	p ɔ d ɲ i k ɔ v eː
pohyblivých	p ɔ ɦ i b ʎ i v iː x
pohybmi	p ɔ ɦ i b m i
pokušenie	p ɔ k u ʃ e ɲ ɪ̯ e
ponúkať	p ɔ n uː k a c
pope	p ɔ p e
poruchách	p ɔ r u x aː x
posielal	p ɔ s ɪ̯ e l a l
postavám	p ɔ s t a v aː m
postavíme	p ɔ s t a v iː m e
postupného	p ɔ s t u p n eː ɦ ɔ
potešil	p ɔ c e ʃ i l
používateľovi	p ɔ u ʒ iː v a c e ʎ ɔ v i
povinnú	p ɔ v i nː uː
povzbudenie	p ɔ v z b u ɟ e ɲ ɪ̯ e
pozdáva	p ɔ z d aː v a
pozemského	p ɔ z e m s k eː ɦ ɔ
požadovanej	p ɔ ʒ a d ɔ v a ɲ e j
požičal	p ɔ ʒ i t͡ʃ a l
prenasledoval	p r e n a s ʎ e d ɔ v a l
prenesie	p r e ɲ e s ɪ̯ e
prenosných	p r e n ɔ s n iː x
prenášanie	p r e n aː ʃ a ɲ ɪ̯ e
prerušila	p r e r u ʃ i l a
prezentujú	p r e z e n t u j uː
prezývky	p r e z iː v k i
prežíval	p r e ʒ iː v a l
prežívam	p r e ʒ iː v a m
priechodu	p r ɪ̯ e x ɔ d u
prieniku	p r ɪ̯ e ɲ i k u
primerané	p r i m e r a n eː
pripomínali	p r i p ɔ m iː n a ʎ i
priviezli	p r i v ɪ̯ e z ʎ i
projektant	p r ɔ j e k t a n t
projektový	p r ɔ j e k t ɔ v iː
prosperity	p r ɔ s p e r i t i
prostitútky	p r ɔ s c i t uː t k i
pružnosť	p r u ʒ n ɔ s c
príslušnom	p r iː s l u ʃ n ɔ m
prístupných	p r iː s t u p n iː x
psychiatrickej	p s i x ɪ̯ a t r i t͡s k e j
psychologických	p s i x ɔ l ɔ ɡ i t͡s k iː x
pápežovi	p aː p e ʒ ɔ v i
pátra	p aː t r a
rajec	r a j e t͡s
rampu	r a m p u
reforme	r e f ɔ r m e
rekreačná	r e k r e a t͡ʃ n aː
rekreačných	r e k r e a t͡ʃ n iː x
rezerv	r e z e r v
riaditeľov	r ɪ̯ a ɟ i c e ʎ ɔ v
riešená	r ɪ̯ e ʃ e n aː
rifle	r i f ʎ e
rivers	r i v e r s
romance	r ɔ m a n t͡s e
ropu	r ɔ p u
rotora	r ɔ t ɔ r a
rozlišujeme	r ɔ z ʎ i ʃ u j e m e
rozvinuté	r ɔ z v i n u t eː
rozvody	r ɔ z v ɔ d i
rukoväť	r u k ɔ v æ c
rázu	r aː z u
samuela	s a m u e l a
score	s t͡s ɔ r e
sektorov	s e k t ɔ r ɔ v
sekundách	s e k u n d aː x
short	ʃ ɔ r t
siedme	s ɪ̯ e d m e
simple	s i m p ʎ e
size	s i z e
skladanie	s k l a d a ɲ ɪ̯ e
skle	s k ʎ e
skrátiť	s k r aː c i c
skupinka	s k u p i n k a
skúsených	s k uː s e n iː x
slabým	s l a b iː m
slané	s l a n eː
slobodnú	s l ɔ b ɔ d n uː
slovanskej	s l ɔ v a n s k e j
smiala	s m ɪ̯ a l a
smrteľná	s m r̩ c e ʎ n aː
sobáša	s ɔ b aː ʃ a
softvérom	s ɔ f t v eː r ɔ m
spalín	s p a ʎ iː n
spevácka	s p e v aː t͡s k a
spoločenskými	s p ɔ l ɔ t͡ʃ e n s k iː m i
spomalí	s p ɔ m a ʎ iː
sprievodcov	s p r ɪ̯ e v ɔ t͡sː ɔ v
spáchala	s p aː x a l a
spätné	s p æ t n eː
stavebnou	s t a v e b n ɔ v
strateného	s t r a c e n eː ɦ ɔ
stravovania	s t r a v ɔ v a ɲ ɪ̯ a
stravovanie	s t r a v ɔ v a ɲ ɪ̯ e
streleckej	s t r e ʎ e t͡s k e j
strieľa	s t r ɪ̯ e ʎ a
stropy	s t r ɔ p i
strávených	s t r aː v e n iː x
suchom	s u x ɔ m
superman	s u p e r m a n
svedectvá	s v e ɟ e t͡s t v aː
svedomím	s v e d ɔ m iː m
symbolika	s i m b ɔ ʎ i k a
sídiel	s iː ɟ ɪ̯ e l
súhvezdí	s uː ɦ v e z ɟ iː
súpermi	s uː p e r m i
tabúľ	t a b uː ʎ
tanečníkov	t a ɲ e t͡ʃ ɲ iː k ɔ v
tehotné	c e ɦ ɔ t n eː
teplíc	c e p ʎ iː t͡s
terč	c e r t͡ʃ
tisícov	c i s iː t͡s ɔ v
tlaková	t l a k ɔ v aː
tlačil	t l a t͡ʃ i l
toni	t ɔ ɲ i
torpédo	t ɔ r p eː d ɔ
torte	t ɔ r c e
totálna	t ɔ t aː l n a
traduje	t r a d u j e
training	t r a i n i n k
trakt	t r a k t
troche	t r ɔ x e
trpezlivosti	t r̩ p e z ʎ i v ɔ s c i
trpezlivý	t r̩ p e z ʎ i v iː
trstenej	t r̩ s c e ɲ e j
trápenia	t r aː p e ɲ ɪ̯ a
turčianskej	t u r t͡ʃ ɪ̯ a n s k e j
tvoriace	t v ɔ r ɪ̯ a t͡s e
týkala	t iː k a l a
uhlíkových	u ɦ ʎ iː k ɔ v iː x
umelou	u m e l ɔ v
upevnené	u p e v ɲ e n eː
utečie	u c e t͡ʃ ɪ̯ e
uvoľnite	u v ɔ ʎ ɲ i c e
uväzniť	u v æ z ɲ i c
ušetrite	u ʃ e t r i c e
užívala	u ʒ iː v a l a
vaku	v a k u
vanessa	v a ɲ e sː a
vasilij	v a s i ʎ i j
vedeckými	v e ɟ e t͡s k iː m i
version	v e r s i ɔ n
veľkonočné	v e ʎ k ɔ n ɔ t͡ʃ n eː
vhodnom	v ɦ ɔ d n ɔ m
vierovyznania	v ɪ̯ e r ɔ v i z n a ɲ ɪ̯ a
viliama	v i ʎ ɪ̯ a m a
visieť	v i s ɪ̯ e c
vita	v i t a
vložila	v l ɔ ʒ i l a
vláknami	v l aː k n a m i
vnímali	v ɲ iː m a ʎ i
vosk	v ɔ s k
vybaví	v i b a v iː
vyberú	v i b e r uː
vybuchla	v i b u x l a
vyhľadávajú	v i ɦ ʎ a d aː v a j uː
vyjednávanie	v i j e d n aː v a ɲ ɪ̯ e
vynikajú	v i ɲ i k a j uː
vypnutý	v i p n u t iː
vysielané	v i s ɪ̯ e l a n eː
využitá	v i u ʒ i t aː
vyvíjali	v i v iː j a ʎ i
vyzdvihnutie	v i z d v i ɦ n u c ɪ̯ e
vyzná	v i z n aː
vyčerpaný	v i t͡ʃ e r p a n iː
vzdelávať	v z ɟ e l aː v a c
vzniknutý	v z ɲ i k n u t iː
východoslovenskej	v iː x ɔ d ɔ s l ɔ v e n s k e j
výhodná	v iː ɦ ɔ d n aː
výhrady	v iː ɦ r a d i
významní	v iː z n a m ɲ iː
whistler	v i s t ʎ e r
wrong	v r ɔ n k
yang	j a n k
zabavili	z a b a v i ʎ i
zabezpečte	z a b e s p e t͡ʃ c e
zabralo	z a b r a l ɔ
zachovávajú	z a x ɔ v aː v a j uː
zadnými	z a d n iː m i
zamestnal	z a m e s t n a l
zamilovali	z a m i l ɔ v a ʎ i
zamilovaný	z a m i l ɔ v a n iː
zastavilo	z a s t a v i l ɔ
zavlažovanie	z a v l a ʒ ɔ v a ɲ ɪ̯ e
začiatočníkov	z a t͡ʃ ɪ̯ a t ɔ t͡ʃ ɲ iː k ɔ v
začínalo	z a t͡ʃ iː n a l ɔ
zbierajú	z b ɪ̯ e r a j uː
zhorší	z ɦ ɔ r ʃ iː
zhromažďuje	z ɦ r ɔ m a ʒ ɟ u j e
zjazdu	z j a z d u
zložke	z l ɔ ʃ k e
znamenali	z n a m e n a ʎ i
zničenia	z ɲ i t͡ʃ e ɲ ɪ̯ a
zničených	z ɲ i t͡ʃ e n iː x
zníženou	z ɲ iː ʒ e n ɔ v
znížené	z ɲ iː ʒ e n eː
zoberiem	z ɔ b e r ɪ̯ e m
zodpovedali	z ɔ t p ɔ v e d a ʎ i
zoznamom	z ɔ z n a m ɔ m
zvieraťom	z v ɪ̯ e r a c ɔ m
zvukovú	z v u k ɔ v uː
zábavného	z aː b a v n eː ɦ ɔ
záhadné	z aː ɦ a d n eː
zálivu	z aː ʎ i v u
záplavy	z aː p l a v i
zúžiť	z uː ʒ i c
úložiska	uː l ɔ ʒ i s k a
úradníka	uː r a d ɲ iː k a
úvahu	uː v a ɦ u
úvodné	uː v ɔ d n eː
úvodných	uː v ɔ d n iː x
účelové	uː t͡ʃ e l ɔ v eː
účtovné	uː t͡ʃ t ɔ v n eː
účtovník	uː t͡ʃ t ɔ v ɲ iː k
časovač	t͡ʃ a s ɔ v a t͡ʃ
čepele	t͡ʃ e p e ʎ e
čiar	t͡ʃ ɪ̯ a r
čim	t͡ʃ i m
čitatelia	t͡ʃ i t a c e ʎ ɪ̯ a
čitateľom	t͡ʃ i t a c e ʎ ɔ m
členení	t͡ʃ ʎ e ɲ e ɲ iː
ďalekého	ɟ a ʎ e k eː ɦ ɔ
šafárika	ʃ a f aː r i k a
šatni	ʃ a t ɲ i
šikmo	ʃ i k m ɔ
školenie	ʃ k ɔ ʎ e ɲ ɪ̯ e
škály	ʃ k aː l i
špeciálnom	ʃ p e t͡s i aː l n ɔ m
šteniatka	ʃ c e ɲ ɪ̯ a t k a
štúdiový	ʃ t uː ɟ i ɔ v iː
železného	ʒ e ʎ e z n eː ɦ ɔ
živnosť	ʒ i v n ɔ s c
akciami	a k t͡s ɪ̯ a m i
akútny	a k uː t n i
analógový	a n a l ɔː ɡ ɔ v iː
angažovať	a n ɡ a ʒ ɔ v a c
animovaných	a ɲ i m ɔ v a n iː x
argentíny	a r ɡ e n c iː n i
arábie	a r aː b ɪ̯ e
autobusmi	a u t ɔ b u s m i
bae	b a e
balíky	b a ʎ iː k i
beat	b e a t
benzínové	b e n z iː n ɔ v eː
bežali	b e ʒ a ʎ i
blízkymi	b ʎ iː s k i m i
bolestiach	b ɔ ʎ e s c ɪ̯ a x
božskej	b ɔ ʃ s k e j
browna	b r ɔ v n a
budúcom	b u d uː t͡s ɔ m
bulvár	b u l v aː r
béla	b eː l a
búrke	b uː r k e
bývalou	b iː v a l ɔ v
celkovému	t͡s e l k ɔ v eː m u
cestnú	t͡s e s t n uː
charakteristických	x a r a k c e r i s c i t͡s k iː x
chirurgické	x i r u r ɡ i t͡s k eː
chorobám	x ɔ r ɔ b aː m
chutilo	x u c i l ɔ
coupé	t͡s u p eː
cyklistická	t͡s i k ʎ i s c i t͡s k aː
davies	d a v ɪ̯ e s
discovery	ɟ i s t͡s ɔ v e r i
disko	ɟ i s k ɔ
dióda	ɟ i ɔː d a
dobšinského	d ɔ p ʃ i n s k eː ɦ ɔ
dodávkou	d ɔ d aː v k ɔ v
dohliada	d ɔ ɦ ʎ ɪ̯ a d a
dotácia	d ɔ t aː t͡s i a
dráhou	d r aː ɦ ɔ v
drôty	d r u̯ ɔ t i
dvanástej	d v a n aː s c e j
dvoje	d v ɔ j e
dúfajú	d uː f a j uː
džungle	d͡ʒ u n ɡ ʎ e
ekonomickou	e k ɔ n ɔ m i t͡s k ɔ v
electronics	e l e t͡s t r ɔ ɲ i t͡s s
emo	e m ɔ
etických	e c i t͡s k iː x
etnickej	e t ɲ i t͡s k e j
event	e v e n t
expedícii	e k s p e ɟ iː t͡s i i
experimentálnej	e k s p e r i m e n t aː l ɲ e j
felipe	f e ʎ i p e
ferguson	f e r ɡ u s ɔ n
finálovej	f i n aː l ɔ v e j
finálového	f i n aː l ɔ v eː ɦ ɔ
flotile	f l ɔ c i ʎ e
font	f ɔ n t
formovaní	f ɔ r m ɔ v a ɲ iː
formátoch	f ɔ r m aː t ɔ x
fra	f r a
fénix	f eː n i k s
graffiti	ɡ r a fː i c i
gramatiky	ɡ r a m a c i k i
hlavička	ɦ l a v i t͡ʃ k a
hlodavce	ɦ l ɔ d a v t͡s e
hlása	ɦ l aː s a
holy	ɦ ɔ l i
hospodárskym	ɦ ɔ s p ɔ d aː r s k i m
hradnej	ɦ r a d ɲ e j
hromadu	ɦ r ɔ m a d u
hrozbe	ɦ r ɔ z b e
hrôzu	ɦ r u̯ ɔ z u
humorom	ɦ u m ɔ r ɔ m
hviezdam	ɦ v ɪ̯ e z d a m
inštalovaná	i n ʃ t a l ɔ v a n aː
inštinkt	i n ʃ c i n k t
iz	i s
izbovej	i z b ɔ v e j
jadrová	j a d r ɔ v aː
jedenástej	j e ɟ e n aː s c e j
jonáša	j ɔ n aː ʃ a
kardinála	k a r ɟ i n aː l a
kačica	k a t͡ʃ i t͡s a
klasickými	k l a s i t͡s k iː m i
klin	k ʎ i n
klinicky	k ʎ i ɲ i t͡s k i
komplexov	k ɔ m p ʎ e k s ɔ v
koncentrované	k ɔ n t͡s e n t r ɔ v a n eː
konceptov	k ɔ n t͡s e p t ɔ v
kontinentov	k ɔ n c i ɲ e n t ɔ v
kontraktu	k ɔ n t r a k t u
konzervy	k ɔ n z e r v i
korózii	k ɔ r ɔː z i i
kovovými	k ɔ v ɔ v iː m i
koňmi	k ɔ ɲ m i
krehká	k r e x k aː
kresieb	k r e s ɪ̯ e p
kreslá	k r e s l aː
krupina	k r u p i n a
krúžkov	k r uː ʃ k ɔ v
kubických	k u b i t͡s k iː x
kuchára	k u x aː r a
kuciaka	k u t͡s ɪ̯ a k a
kultu	k u l t u
kvalít	k v a ʎ iː t
kyslíku	k i s ʎ iː k u
kúpe	k uː p e
lab	l a p
lak	l a k
large	l a r ɡ e
lekárni	ʎ e k aː r ɲ i
lepšími	ʎ e p ʃ iː m i
lopatky	l ɔ p a t k i
magických	m a ɡ i t͡s k iː x
magistrátu	m a ɡ i s t r aː t u
majstrovi	m a j s t r ɔ v i
malička	m a ʎ i t͡ʃ k a
maske	m a s k e
masáže	m a s aː ʒ e
mechanickej	m e x a ɲ i t͡s k e j
medicínskych	m e ɟ i t͡s iː n s k i x
milovníkov	m i l ɔ v ɲ iː k ɔ v
minie	m i ɲ ɪ̯ e
mladou	m l a d ɔ v
modrými	m ɔ d r iː m i
monitorovať	m ɔ ɲ i t ɔ r ɔ v a c
mory	m ɔ r i
morí	m ɔ r iː
možnostiach	m ɔ ʒ n ɔ s c ɪ̯ a x
mpa	m p a
mýliť	m iː ʎ i c
mŕtvoly	m r̩ː t v ɔ l i
nadmorských	n a d m ɔ r s k iː x
nadobudlo	n a d ɔ b u d l ɔ
nahrala	n a ɦ r a l a
najdlhšia	n a j d l̩ x ʃ ɪ̯ a
najvýznamnejšou	n a j v iː z n a m ɲ e j ʃ ɔ v
napiť	n a p i c
nasadil	n a s a ɟ i l
naspamäť	n a s p a m æ c
nastavení	n a s t a v e ɲ iː
nastavený	n a s t a v e n iː
navôkol	n a v u̯ ɔ k ɔ l
nazývanej	n a z iː v a ɲ e j
necítite	ɲ e t͡s iː c i c e
nemenia	ɲ e m e ɲ ɪ̯ a
neodporúča	ɲ e ɔ t p ɔ r uː t͡ʃ a
nepamäti	ɲ e p a m æ c i
nestačil	ɲ e s t a t͡ʃ i l
nevyhovuje	ɲ e v i ɦ ɔ v u j e
nevyrieši	ɲ e v i r ɪ̯ e ʃ i
nevyzeralo	ɲ e v i z e r a l ɔ
nezačali	ɲ e z a t͡ʃ a ʎ i
neznámym	ɲ e z n aː m i m
nominácii	n ɔ m i n aː t͡s i i
nou	n ɔ v
novodobých	n ɔ v ɔ d ɔ b iː x
nudná	n u d n aː
nákupu	n aː k u p u
náprave	n aː p r a v e
náraze	n aː r a z e
obkľúčení	ɔ p k ʎ uː t͡ʃ e ɲ iː
oblečte	ɔ b ʎ e t͡ʃ c e
obvinených	ɔ b v i ɲ e n iː x
obyčajnú	ɔ b i t͡ʃ a j n uː
ochrannom	ɔ x r a nː ɔ m
odovzdala	ɔ d ɔ v z d a l a
odporúčaná	ɔ t p ɔ r uː t͡ʃ a n aː
odtieň	ɔ t c ɪ̯ e ɲ
okresnom	ɔ k r e s n ɔ m
omylu	ɔ m i l u
omši	ɔ m ʃ i
orbitu	ɔ r b i t u
organizáciám	ɔ r ɡ a n i z aː t͡s i aː m
organizátora	ɔ r ɡ a n i z aː t ɔ r a
osadu	ɔ s a d u
oslabené	ɔ s l a b e n eː
oslavujú	ɔ s l a v u j uː
pamiatkový	p a m ɪ̯ a t k ɔ v iː
pamätných	p a m æ t n iː x
pannu	p a nː u
pastiera	p a s c ɪ̯ e r a
peľu	p e ʎ u
piesky	p ɪ̯ e s k i
pití	p i c iː
platbu	p l a d b u
platené	p l a c e n eː
pochádzať	p ɔ x aː d͡z a c
podariť	p ɔ d a r i c
podiely	p ɔ ɟ ɪ̯ e l i
podporujúce	p ɔ t p ɔ r u j uː t͡s e
podriadiť	p ɔ d r ɪ̯ a ɟ i c
pomáham	p ɔ m aː ɦ a m
poprednými	p ɔ p r e d n iː m i
porotou	p ɔ r ɔ t ɔ v
posvätného	p ɔ s v æ t n eː ɦ ɔ
poučenie	p ɔ u t͡ʃ e ɲ ɪ̯ e
povestí	p ɔ v e s c iː
pozdravom	p ɔ z d r a v ɔ m
počiatok	p ɔ t͡ʃ ɪ̯ a t ɔ k
počkám	p ɔ t͡ʃ k aː m
počítajú	p ɔ t͡ʃ iː t a j uː
počítačmi	p ɔ t͡ʃ iː t a t͡ʃ m i
požadovanú	p ɔ ʒ a d ɔ v a n uː
prajeme	p r a j e m e
predchádzajúcimi	p r e t x aː d͡z a j uː t͡s i m i
prednášať	p r e d n aː ʃ a c
predpovedal	p r e t p ɔ v e d a l
premýšľa	p r e m iː ʃ ʎ a
premýšľali	p r e m iː ʃ ʎ a ʎ i
prenikajú	p r e ɲ i k a j uː
preskúmal	p r e s k uː m a l
presným	p r e s n iː m
prestávkami	p r e s t aː v k a m i
prestávkou	p r e s t aː v k ɔ v
pretekára	p r e c e k aː r a
priblížila	p r i b ʎ iː ʒ i l a
prichádzate	p r i x aː d͡z a c e
priebehom	p r ɪ̯ e b e ɦ ɔ m
priekopníkom	p r ɪ̯ e k ɔ p ɲ iː k ɔ m
priemerným	p r ɪ̯ e m e r n iː m
prijateľné	p r i j a c e ʎ n eː
prijímaní	p r i j iː m a ɲ iː
pripomínajúci	p r i p ɔ m iː n a j uː t͡s i
pristála	p r i s t aː l a
propagácii	p r ɔ p a ɡ aː t͡s i i
proroctvo	p r ɔ r ɔ t͡s t v ɔ
protokolov	p r ɔ t ɔ k ɔ l ɔ v
príťažlivosť	p r iː c a ʒ ʎ i v ɔ s c
páchateľov	p aː x a c e ʎ ɔ v
párik	p aː r i k
rampy	r a m p i
redaktora	r e d a k t ɔ r a
ren	r e n
rezignáciu	r e z i ɡ n aː t͡s i u
rm	r̩ m
rodokmeň	r ɔ d ɔ k m e ɲ
romantických	r ɔ m a n c i t͡s k iː x
rona	r ɔ n a
rozišiel	r ɔ z i ʃ ɪ̯ e l
rozpustný	r ɔ s p u s t n iː
rožňavy	r ɔ ʒ ɲ a v i
ruženec	r u ʒ e ɲ e t͡s
rôznorodých	r u̯ ɔ z n ɔ r ɔ d iː x
rúrky	r uː r k i
sedíme	s e ɟ iː m e
sibíri	s i b iː r i
sklamal	s k l a m a l
sklamaním	s k l a m a ɲ iː m
sklené	s k ʎ e n eː
sledovanosť	s ʎ e d ɔ v a n ɔ s c
slot	s l ɔ t
slovná	s l ɔ v n aː
slušnosť	s l u ʃ n ɔ s c
slzami	s l̩ z a m i
sníval	s ɲ iː v a l
sondu	s ɔ n d u
sov	s ɔ v
spisovatelia	s p i s ɔ v a c e ʎ ɪ̯ a
sponzorov	s p ɔ n z ɔ r ɔ v
sprievodcom	s p r ɪ̯ e v ɔ t͡sː ɔ m
správnosti	s p r aː v n ɔ s c i
spýta	s p iː t a
stale	s t a ʎ e
stiahnutí	s c ɪ̯ a ɦ n u c iː
stlačený	s t l a t͡ʃ e n iː
stovka	s t ɔ v k a
strácame	s t r aː t͡s a m e
stĺpcov	s t l̩ː p t͡s ɔ v
suk	s u k
surového	s u r ɔ v eː ɦ ɔ
svojích	s v ɔ j iː x
systémový	s i s t eː m ɔ v iː
sériách	s eː r i aː x
súdnictva	s uː d ɲ i t͡s t v a
sústredené	s uː s t r e ɟ e n eː
takzvaného	t a k z v a n eː ɦ ɔ
talianskym	t a ʎ ɪ̯ a n s k i m
tender	c e n d e r
terajšieho	c e r a j ʃ ɪ̯ e ɦ ɔ
testovacích	c e s t ɔ v a t͡s iː x
thajska	d ɦ a j s k a
tlakové	t l a k ɔ v eː
tlačiarni	t l a t͡ʃ ɪ̯ a r ɲ i
tmavom	t m a v ɔ m
topánkami	t ɔ p aː n k a m i
tragédii	t r a ɡ eː d i i
trstená	t r̩ s c e n aː
trvalú	t r̩ v a l uː
trávou	t r aː v ɔ v
turbíny	t u r b iː n i
udeľovania	u ɟ e ʎ ɔ v a ɲ ɪ̯ a
ujde	u j ɟ e
ukladať	u k l a d a c
ukončeniu	u k ɔ n t͡ʃ e ɲ ɪ̯ u
ukrajinská	u k r a j i n s k aː
ultrazvuk	u l t r a z v u k
user	u s e r
uvedomoval	u v e d ɔ m ɔ v a l
uvedomovať	u v e d ɔ m ɔ v a c
uňho	u ɲ ɦ ɔ
vagíny	v a ɡ iː n i
value	v a l u e
vidieckeho	v i ɟ ɪ̯ e t͡s k e ɦ ɔ
vinyl	v i n i l
viď	v i c
