אבל	a v a l
מלמדות	m a l m a d u t
מעיתון	m e i t o n
מצו	m a t͡s u
מצטמצם	m i t͡s t a m t͡s e m
מקדישה	m a k d i ʃ a
מקיום	m a k j u m
מקלף	m a k l a f
משאני	m i ʃ a n i
משגשג	m i ʃ ɡ e ʃ e ɡ
משלימות	m i ʃ l i m u t
מתבוננת	m i t b o n a n t
נוכחותה	n o χ χ u t a
נוסבאום	n o s b a u m
נחליף	n a χ l i f
ניגוני	n i ɡ o n i
נינוח	n i n u a χ
נכרתה	n i χ ʁ a t a
נקשרה	n i k ʃ a ʁ a
נשתה	n i ʃ t a
סולן	s o l a n
סיכת	s i χ e t
עומאר	o m a ʁ
עזאם	a z a m
עפות	a f u t
עצלנים	a t͡s l a n i m
ערוב	a ʁ u v
פדה	p a d a
פומה	p o m a
פלי	p a l i
פריקת	p ʁ i k e t
צדקיהו	t͡s a d k i h u
צידו	t͡s i d u
צייץ	t͡s a j a t͡s
קדאפי	k a d a f i
קדושי	k a d u ʃ i
קהלי	k a h a l i
קמיל	k a m i l
רואן	ʁ o a n
רוזין	ʁ o z i n
רעלנים	ʁ a a l a n i m
שאחותי	ʃ e a χ u t i
שבאות	ʃ a v a u t
שבמצרים	ʃ a v m a t͡s a ʁ i m
שברא	ʃ a v ʁ a
שהקדיש	ʃ a h a k d i ʃ
שיבושים	ʃ i b u ʃ i m
שיגדל	ʃ i ɡ d e l
שיגלה	ʃ i ɡ l a
שישלם	ʃ i ʃ l e m
שמילאו	ʃ m i l a u
שמשות	ʃ i m ʃ u t
שמתייחס	ʃ i m t a j a χ e s
שקובעת	ʃ k o v a a t
תוניס	t o n i s
תופיק	t o f i k
תחלוף	t a χ l u f
תסריטאי	t a s ʁ i t a j
תעש	t a a ʃ
תפן	t a f a n
תרגעו	t a ʁ ɡ a u
always	a l w a j s
stay	s t a j
uk	u k
אביכם	a v i χ e m
אברמסון	a v ʁ a m s o n
איכויות	i χ u j u t
אנגלה	a ŋ ɡ l a
אסלח	a s l a χ
אפריקני	a f ʁ i k a n i
אריג	a ʁ i ɡ
ארקדי	a ʁ k a d i
אשקול	a ʃ k o l
בגדד	b a ɡ d e d
בזכר	b i z k e ʁ
בחוב	b a χ u v
בחליפות	b a χ l i f u t
ביטן	b i t e n
בילינסון	b i l i n s o n
בירתה	b i ʁ t a
במוזיאונים	b e m u z i u n i m
בנוחות	b e n u χ u t
בקולה	b a k u l a
ברגותי	b a ʁ ɡ u t i
ברוחות	b ʁ u χ u t
ברפיח	b a ʁ p i a χ
בשיקולים	b e ʃ i k o l i m
בשעתיים	b i ʃ a t a j i m
בשפעת	b i ʃ p a a t
בתוניסיה	b e t o n i s j a
גיבוב	ɡ i b u v
גניזה	ɡ n i z a
גרד	ɡ a ʁ a d
גריזים	ɡ ʁ i z i m
האינטגרציה	h e i n t e ɡ ʁ a t͡s j a
האלמוגים	h e e l m u ɡ i m
הבס	h a v a s
הבריכות	h i v ʁ i χ u t
הדיסקים	h i d i s k i m
הדלקתי	h i d l e k t i
ההאזנה	h e e z a n a
הובן	h o v e n
הותיקים	h o t i k i m
הזיוף	h i z j u f
החוקתית	h e χ o k t i t
החטוף	h e χ t u f
הטחינה	h i t χ i n a
הטראגי	h i t ʁ a ɡ i
היבשים	h i b ʃ i m
הימצאו	h i m t͡s a u
היפר	h i p e ʁ
הירידות	h i ʁ i d u t
המגדיר	h i m ɡ d i ʁ
הנאמנה	h i n a m a n a
הנחנו	h i n χ a n u
הסיירת	h i s j a ʁ e t
הסמארטפון	h i s m a ʁ t e f o n
הסעת	h i s a t
הסתובבה	h i s t o v a v a
העטרה	e e t a ʁ a
העיוות	h e i v e t
העצירה	e e t͡s i ʁ a
העתידות	h e e t i d u t
הפתעת	h i f t a a t
הצארית	h i t͡s a ʁ i t
הצווים	h i t͡s v i m
הקוצים	h i k u t͡s i m
הקטבים	h i k t a v i m
הרהור	h i ʁ h o ʁ
השבחים	h i ʃ b a χ i m
השרוול	h i ʃ ʁ a v e l
התמסר	h i t m a s e ʁ
התמצאות	h i t m a t͡s a u t
התנוחה	h i t n u χ a
התקיף	h i t k i f
ואיכותיים	v e i χ u t a j i m
והבנת	v e h a v e n e t
והעבירה	v e e v i ʁ a
וז	v a z
וזהות	v i z h u t
וחמוד	v a χ m u d
וחסרות	v a χ s a ʁ u t
וידועה	v i d u a
ויהודית	v i h u d i t
ויחי	v i χ i
וישן	v i ʃ e n
וכוכב	v e χ u χ e v
ולידו	v a l i d u
וליתר	v e l i t e ʁ
ומחיר	v i m χ i ʁ
ועידן	v e i d e n
ורבין	v a ʁ b i n
ורביעי	v a ʁ b i a j
ותצא	v i t t͡s a
חדיר	χ a d i ʁ
חוטפת	χ o t e f e t
חירשים	χ i ʁ ʃ i m
חלפון	χ a l a f o n
חלץ	χ a l a t͡s
חנוק	χ a n u k
חסידה	χ a s i d a
חפותו	χ a f u t u
טיריון	t i ʁ j o n
יגדיל	j a ɡ d i l
יקדם	j a k d a m
כוסו	k o s o
כטוב	k a t u v
כינרת	k i n e ʁ e t
כיעד	k i a d
כמוצר	k a m u t͡s a ʁ
כרייה	k ʁ i j a
כריכה	k ʁ i χ a
כשראו	k a ʃ ʁ a u
כתנועה	k a t n u a
לאתיופיה	l e e t j o f j a
לדירוג	l a d i ʁ u ɡ
להבריא	l e h a v ʁ i
להתאמה	l e h i t a m a
לידידות	l i d i d u t
ליוגה	l i j u ɡ a
ללשכה	l i l ʃ a χ a
למערת	l i m a ʁ e t
למצמץ	l i m t͡s m e t͡s
לנחלה	l i n χ a l a
לפול	l a f u l
לשבטים	l i ʃ b a t i m
לשדך	l i ʃ d e χ
לשי	l a ʃ i
מאהב	m e a h a v
מאמנה	m e a m a n a
מחצר	m a χ t͡s a ʁ
מלבי	m a l a v i
מעירה	m e i ʁ a
משברי	m i ʃ b a ʁ i
משגרים	m i ʃ ɡ a ʁ i m
משדרות	m i ʃ d a ʁ u t
מתום	m a t u m
מתעלל	m i t a l e l
מתשע	m i t ʃ a
ניקולה	n i k u l a
ניתח	n i t e a χ
נמלא	n i m l a
נמני	n i m n i
ננעלה	n i n a l a
נפגוש	n i f ɡ o ʃ
נשפטו	n i ʃ p a t u
סבלני	s a v l a n i
סולת	s o l e t
סטפ	s a t a f
סיביר	s i b i ʁ
סימוכין	s i m u χ i n
סיפונה	s i p o n a
סמלה	s a m l a
סנגור	s a n ɡ o ʁ
עודנה	o d a n a
עילאית	i l a i t
עימי	i m i
עיסקה	i s k a
עירובין	i ʁ u v i n
עמיקם	a m i k e m
ענינים	a n i n i m
עפ	a f
פאם	p a a m
פוט	p o t
פונטי	p o n t i
פיספסתי	p i s p e s t i
פיקסל	p i k s e l
פעלתי	p a a l t i
פרדיננד	p a ʁ d i n a n d
צווארי	t͡s a v a ʁ i
צריכין	t͡s ʁ i χ i n
קבלני	k a v l a n i
קוטל	k o t e l
קופיקו	k o f i k o
קורנל	k o ʁ n e l
קימל	k i m e l
קיס	k i s
קלרנס	k a l ʁ a n a s
קסטל	k a s t a l
קפסולות	k a f s u l u t
קרמי	k a ʁ m i
קרעו	k a ʁ a u
רודה	ʁ o d a
רמאים	ʁ a m a i m
שאח	ʃ a a χ
שאיכשהו	ʃ e i χ ʃ a h u
שארצות	ʃ e a ʁ t͡s u t
שבס	ʃ a v a s
שגית	ʃ a ɡ i t
שהיטלר	ʃ e h i t l e ʁ
שהצטבר	ʃ e h i t͡s t a v e ʁ
שווארמה	ʃ v a ʁ m a
שחולק	ʃ a χ u l a k
שידר	ʃ i d e ʁ
שיעצור	ʃ i a t͡s o ʁ
שכורה	ʃ χ u ʁ a
שמחליט	ʃ i m χ a l i t
שמעלים	ʃ i m a l i m
שריקה	ʃ ʁ i k a
שרקי	ʃ a ʁ k i
ששיגר	ʃ ʃ i ɡ e ʁ
תודו	t o d u
תוצג	t o t͡s e ɡ
תכנסו	t a χ n a s u
תפור	t a f u ʁ
תצורת	t a t͡s u ʁ e t
body	b o d i
sam	s a m
shop	ʃ o p
times	t i m e s
wine	w i n e
אאוץ	a u t͡s
אבוש	a v u ʃ
אגרון	a ɡ ʁ o n
אוג	o ɡ
אחא	a χ a
אלחם	a l χ a m
אלט	a l a t
אלרגי	a l ʁ a ɡ i
אמבט	a m b a t
אמט	a m a t
אמיליו	a m i l j u
אתיופית	a t j o f i t
אתלטית	a t a l t i t
באט	b a a t
בדל	b a d a l
בההוא	b e h u
בהט	b e h e t
בהתראה	b e h i t ʁ a
בורבון	b o ʁ b o n
בורקס	b o ʁ k e s
בחרם	b a χ ʁ a m
בחשוון	b a χ ʃ a v a n
בטנה	b a t a n a
בטנו	b a t a n u
בירם	b i ʁ e m
בכובע	b e χ u v a
בלימודיו	b l i m u d j u
בעית	b a i t
בעיתות	b a i t u t
ברגיל	b a ʁ ɡ i l
ברר	b a ʁ a ʁ
בשיט	b e ʃ i t
בתשוקה	b i t ʃ u k a
גמישים	ɡ m i ʃ i m
דורטמונד	d o ʁ t a m o n d
דיכטר	d i χ t e ʁ
דיש	d i ʃ
הגמישות	h i ɡ m i ʃ u t
הגנטית	h i ɡ n a t i t
ההילה	h e h i l a
ההתראה	h e h i t ʁ a
הוכשר	h o χ ʃ e ʁ
הונה	h o n a
הטיפים	h i t i f i m
הטנדר	h i t n a d e ʁ
הידוק	h i d u k
הידים	h i d i m
הכנסים	h i χ n e s i m
הכפרה	h i χ p a ʁ a
הלגיטימציה	h i l ɡ i t i m e t͡s j a
הלוק	h a l u k
המדהימות	h i m d e h i m u t
המדרשה	h i m d a ʁ ʃ a
המכרות	h i m k a ʁ u t
המלאות	h i m l a u t
המלוות	h i m l a v e t
המספרי	h i m s p a ʁ i
המצוק	h i m t͡s o k
המקשה	h i m k e ʃ a
המרחקים	h i m ʁ a χ k i m
המריבות	h i m ʁ i v u t
המשונה	h i m ʃ o n a
המשפטנים	h i m ʃ p a t a n i m
המתנקש	h i m t a n k e ʃ
הנהנים	h i n h a n i m
הנזירה	h i n z i ʁ a
הנחקר	h i n χ a k e ʁ
הנלווה	h i n l a v a
הנערכים	h i n a ʁ k i m
הסגת	h i s ɡ e t
הסיטונאי	h i s i t o n a j
הסנדלר	h i s n a d l a ʁ
הערוך	e e ʁ u χ
העשר	e e ʃ e ʁ
הפטריות	h i f t a ʁ j u t
הצעיף	h i t͡s i f
הקליפים	h i k l i f i m
הקלע	h i k l a
הקרמיקה	h i k ʁ a m i k a
הרק	h a ʁ a k
השכיחים	h i ʃ k i χ i m
השכיל	h i ʃ k i l
השתלמויות	h i ʃ t a l m u j u t
התארח	h i t a ʁ e a χ
התחקירים	h i t χ a k i ʁ i m
התחרויות	h i t χ a ʁ u j u t
התפרק	h i t p a ʁ e k
ואיסוף	v e i s u f
וד	v a d
והורג	v e h o ʁ e ɡ
והוריד	v e h o ʁ i d
והציל	v e h i t͡s i l
וועדות	w a d u t
וח	v a χ
ויהפוך	v i h a f u χ
ויחסים	v i χ s i m
וימין	v i m i n
וישם	v i ʃ e m
ומותו	v a m u t u
ומניחים	v i m n i χ i m
ומקווים	v i m k a v i m
ונוכח	v e n u χ a χ
וניכר	v e n i k e ʁ
וסלי	v a s l i
וערבי	v e a ʁ b i
ורנון	v a ʁ n o n
ושטחים	v i ʃ t a χ i m
זומם	z o m e m
זלצמן	z i l t͡s m a n
חדוה	χ a d u a
חניות	χ a n j u t
טירונים	t i ʁ o n i m
יחוד	j a χ u d
יחפשו	j a χ p a ʃ u
ייעודה	j i u d a
כבישי	k a v i ʃ i
כישות	k i ʃ u t
לארצם	l e a ʁ t͡s e m
לבגדי	l i v ɡ a d i
לברכת	l i v ʁ e χ e t
לדולר	l a d u l a ʁ
לדלות	l i d l u t
להולדת	l e h u l e d e t
להוריה	l e h o ʁ j a
להמלצות	l e h i m l a t͡s u t
להסקה	l a h a s k a
להשביע	l e h i ʃ b i a
להתברר	l e h i t b a ʁ e ʁ
לודאי	l o d a j
לווינה	l a v i n a
לומדי	l o m a d i
לזמרת	l i z m e ʁ e t
לחניה	l a χ a n j a
לחסידי	l a χ s i d i
לחתימת	l a χ t i m e t
לטיל	l a t i l
לכנסיה	l i χ n a s j a
למותג	l a m u t e ɡ
למרן	l a m ʁ a n
לסוד	l a s u d
לצוף	l a t͡s u f
לקריאות	l i k ʁ i u t
לתמונת	l i t m o n e t
מאחוז	m e a χ u z
מאיי	m a a j
מאם	m a a m
מגג	m a ɡ a ɡ
מגפות	m a ɡ f u t
מהון	m a h o n
מהימין	m e h i m i n
מהתקציב	m e h i t k a t͡s i v
מישהוא	m i ʃ h u
מלחיצה	m a l χ i t͡s a
ממלאי	m a m l a j
מסעם	m a s a m
מעייני	m a a j a n i
מרחיבים	m a ʁ χ i v i m
מרקוביץ	m a ʁ k o v i t͡s
מתבודד	m i t b u d e d
מתגרה	m i t ɡ a ʁ a
נהוגים	n e h u ɡ i m
נורווגיה	n o ʁ v a ɡ j a
ניגנו	n i ɡ a n u
נען	n a a n
נעסוק	n a a s o k
נצלו	n i t͡s l u
נצרים	n i t͡s ʁ i m
נקנו	n a k a n u
נרי	n a ʁ i
נשאלו	n i ʃ a l u
סבסוד	s a v s u d
סדור	s a d u ʁ
סיסטם	s i s t e m
סמולנסקין	s m u l a n s k i n
עגיל	a ɡ i l
עונתי	o n a t i
עופו	o f u
עיכב	i χ e v
עישן	i ʃ e n
עלובי	a l u v i
עתיקת	a t i k e t
פוליסת	p o l i s e t
פמלה	p a m l a
פתיח	p a t i a χ
צביעת	t͡s a v i a t
צדים	t͡s a d i m
צדקנו	t͡s a d k a n u
צריח	t͡s a ʁ i a χ
קולטנים	k o l t a n i m
קוצץ	k o t͡s e t͡s
קטנטנות	k t a n t a n u t
קלוזנר	k l u z a n a ʁ
קליע	k l i a
קריצה	k ʁ i t͡s a
קרישה	k ʁ i ʃ a
רוקו	ʁ o k o
ריגושים	ʁ i ɡ u ʃ i m
שבחן	ʃ a v χ a n
שהותם	ʃ a h u t e m
שהכה	ʃ a h a χ a
שהתנגד	ʃ e h i t n e ɡ e d
שהתנהלה	ʃ e h i t n a l a
שינוע	ʃ i n u a
שיקבעו	ʃ i k b a u
שלובש	ʃ a l u v a ʃ
שמדי	ʃ a m a d i
שנאבד	ʃ i n a v e d
שנישאו	ʃ n i ʃ a u
ששואלים	ʃ ʃ u a l i m
שתרצי	ʃ i t ʁ a t͡s i
תברחו	t a v ʁ a χ u
תדהמה	t a d h a m a
תדחוף	t a d χ u f
תהו	t a h u
תמרי	t a m ʁ i
תמריצים	t a m ʁ i t͡s i m
תסיימי	t a s j a m i
תפקידך	t a f k i d e χ
als	a l s
duty	d u t i
kind	k i n d
metal	m e t a l
same	s a m e
sub	s u b
um	u m
אברמוב	a v ʁ a m u v
אגרנט	a ɡ ʁ a n t
אונ	o n
אופטימלי	o f t i m e l i
אופים	o f i m
אורבן	o ʁ b a n
אטי	a t i
אכילים	a χ i l i m
אלבומה	a l b u m a
אלביט	a l b i t
אלטון	a l t o n
אנזימים	a n z i m i m
אנטנה	a n t a n a
אצה	a t͡s a
אריס	a ʁ i s
ארמי	a ʁ m i
באוהלים	b e o h e l i m
באונייה	b e o n i j a
באחיו	b e a χ j u
בגט	b a ɡ a t
בודה	b o d a
בוואלה	b a v a l a
בוואריה	b a v a ʁ j a
בורי	b o ʁ i
ביראה	b i ʁ a
ביריה	b i ʁ j a
בכיכובם	b e χ i χ u v e m
במימד	b e m i m e d
במימי	b e m i m i
במישורים	b e m i ʃ u ʁ i m
בקעה	b a k a
בריטיות	b ʁ i t j u t
בשבדיה	b i ʃ b e d j a
גלוקוז	ɡ l u k o z
גף	ɡ a f
דזמונד	d i z m o n d
דיסקרטי	d i s k a ʁ t i
דלל	d a l a l
דנין	d a n j a n
האליל	h e e l i l
האמיצה	h e e m i t͡s a
הולה	h o l a
היפנוזה	h i p n u z a
הישארות	h i ʃ a ʁ u t
היתרי	h i t ʁ i
הכבוש	h i χ b u ʃ
הכנים	h i χ n i m
הלקחים	h i l k a χ i m
המבטיחים	h i m b a t i χ i m
המחבוא	h i m χ a v u
המממ	h i m m e m
המעצמה	h i m a t͡s m a
המציל	h i m t͡s i l
המשכיר	h i m ʃ k i ʁ
הסמיכה	h i s m i χ a
הסתער	h i s t a a ʁ
העיסה	h e i s a
הערכי	e e ʁ k i
הפללה	h i f l a l a
הצילני	h i t͡s i l a n i
הקאה	h i k a
הקאתי	h i k a t i
הקלינית	h i k l i n i t
הרכים	h i ʁ k i m
הרשאות	h i ʁ ʃ a u t
השכחה	h i ʃ k a χ a
השמרים	h i ʃ m a ʁ i m
השתבש	h i ʃ t a b e ʃ
התאנה	h i t a n a
התבררה	h i t b a ʁ a ʁ a
התווסף	h i t v a s e f
התיירותי	h i t j a ʁ u t i
התנינים	h i t n i n i m
התרכזה	h i t ʁ a χ z a
ואחזקה	v e a χ z a k a
וחלונות	v a χ l o n u t
וחשיבות	v a χ ʃ i v u t
וימת	v i m e t
ויציבות	v i t͡s i v u t
וכיבוש	v e χ i b u ʃ
ולש	v a l a ʃ
וממשלה	v i m m a ʃ l a
ועקרונות	v e a k ʁ o n u t
ופיטר	v i t e ʁ
וקמה	v a k a m a
ורזה	v a ʁ z a
ורשימות	v a ʁ ʃ i m u t
ושתים	v i ʃ t i m
ותשתיות	v i t ʃ a t j u t
ותתחילו	v i t t a χ i l u
חארות	χ a a ʁ u t
חיב	χ i v
חיבב	χ i b e v
חידשו	χ i d e ʃ u
חייכה	χ a j a χ a
חשבונאות	χ a ʃ b o n a u t
חשבונה	χ a ʃ b o n a
טיי	t a j
יבשתי	j a v ʃ a t i
ייעלם	j i a l e m
ילדם	j a l d a m
יסרב	j a s ʁ a v
ישתחרר	j i ʃ t a χ ʁ e ʁ
יתחתן	j i t χ a t e n
יתרות	j i t ʁ u t
כאומה	k a u m a
כבודי	k a v u d i
ככלות	k a χ l u t
כעסה	k a a s a
לאחיך	l e a χ i χ
לארסן	l e a ʁ s a n
להתהפך	l e h i t a f e χ
להתפתות	l e h i t p a t u t
לוטה	l o t a
לידיד	l i d i d
לימוזינה	l i m u z i n a
לכלכל	l i χ l a χ e l
למתחרים	l i m t a χ a ʁ i m
לעבודתה	l e a v u d t a
לצרפתית	l i t͡s ʁ a f t i t
לרקע	l a ʁ k a
לשמיכה	l i ʃ m i χ a
לתחיה	l i t χ a j a
מגיח	m a ɡ i a χ
מדביק	m a d b i k
מוטבע	m o t b a
מוריו	m o ʁ j o
מחצבים	m a χ t͡s a v i m
מיזה	m i z a
מילתא	m i l t a
מכתיבה	m a χ t i v a
מלחי	m a l χ i
מסלק	m a s l a k
מעירים	m e i ʁ i m
מעניש	m a a n i ʃ
מקווי	m a k v i
משמיד	m i ʃ m i d
משתחררים	m i ʃ t a χ ʁ a ʁ i m
משתפי	m i ʃ t a f i
מתפקידי	m i t p a k i d i
נגזרות	n i ɡ z a ʁ u t
נזרקה	n i z ʁ a k a
נרטיב	n i ʁ t i v
נשלל	n i ʃ l a l
סובלות	s o v l u t
סולטן	s o l t a n
סילאן	s i l a n
עדו	a d u
עכשוויים	a χ ʃ a v a j i m
עמידת	a m i d e t
עקד	a k a d
ערמומי	a ʁ m u m i
פא	p a
פארמה	p e a ʁ m a
פולחני	p o l χ a n i
פוס	p o s
פילו	p i l u
פליטות	p l i t u t
פלישות	p l i ʃ u t
פסלה	p a s l a
פריימן	p ʁ a j m a n
פרימיטיבית	p ʁ i m i t i v i t
צהל	t͡s a h a l
צמות	t͡s a m u t
צריבה	t͡s ʁ i v a
קד	k a d
קדמונים	k a d m o n i m
קומיקאי	k o m i k a j
קופ	k o f
קוריס	k o ʁ i s
קירבי	k i ʁ b i
קלעי	k a l a i
קפדן	k a f d a n
רופי	ʁ o f i
רתוי	ʁ a t u j
שהעליתי	ʃ e e l i t i
שהתפקיד	ʃ e h i t p a k i d
שזרק	ʃ i z ʁ e k
שחבריה	ʃ a χ b a ʁ j a
שיכניס	ʃ i χ n i s
שיסביר	ʃ i s b i ʁ
שמסיים	ʃ i m s a j i m
שמפריד	ʃ i m p ʁ i d
שמריה	ʃ i m ʁ i j a
שצבא	ʃ a t͡s b a
שרוע	ʃ a ʁ u a
תגובתך	t a ɡ u v t e χ
תוויות	t a v j u t
תחבולות	t a χ b u l u t
תחתוני	t a χ t o n i
תיחשב	t i χ ʃ e v
תפרים	t a f ʁ i m
תרסיס	t a ʁ s i s
תרשימים	t a ʁ ʃ i m i m
תשרוד	t i ʃ ʁ u d
bi	b i
film	f i l m
ms	m e s
studio	s t u d i o
walk	w a l k
wish	w i ʃ
yam	j a m
אבידה	a v i d a
אוכמניות	u χ m a n j u t
אולטרון	o l t a ʁ o n
אורטל	o ʁ t e l
אלוקי	a l u k i
אמתיים	a m t a j i m
אנדרווד	a n d a ʁ v a d
אנזים	a n z i m
אנלוגי	a n l u ɡ i
ארמניה	a ʁ m a n j a
בגרויות	b a ɡ ʁ u j u t
בהרצאות	b e h a ʁ t͡s a u t
בואנוס	b o a n o s
ביאה	b i a
בינתים	b i n t i m
בכישלון	b e χ i ʃ e l o n
בלנדר	b a l a n d a ʁ
בנותיהם	b e n u t j a m
בניחוח	b e n i χ u a χ
בסמל	b a s m a l
בתשתיות	b i t ʃ a t j u t
גאליס	ɡ a a l i s
גופית	ɡ o f i t
גידור	ɡ i d u ʁ
גירוד	ɡ i ʁ u d
גרגור	ɡ a ʁ ɡ o ʁ
גרגירי	ɡ a ʁ ɡ i ʁ i
גרנדה	ɡ a ʁ n a d a
גש	ɡ a ʃ
דגון	d a ɡ o n
דוש	d o ʃ
דים	d i m
האוסרים	h e o s a ʁ i m
האייפד	h e e p e d
האינטרנטית	h e i n t ʁ a n t i t
האכסניה	h e e χ s a n j a
הארורים	h e e ʁ o ʁ i m
הבריאים	h i v ʁ i i m
הועסק	h o a s e k
הופל	h o f e l
הזבוב	h i z b u v
הטראנס	h i t ʁ a n e s
הכשיר	h i χ ʃ i ʁ
הלשונות	h i l ʃ o n u t
המחמאות	h i m χ a m a u t
המטעים	h i m t a i m
המצגת	h i m t͡s e ɡ e t
המתנהל	h i m t a n a l
הנגיעה	h i n ɡ i a
הנחייה	h i n χ i j a
הנפה	h i n f a
הסטארט	h i s t a ʁ t
הסלולרית	h i s l o l a ʁ i t
הסריקה	h i s ʁ i k a
העמיתים	e e m i t i m
הערימה	e e ʁ i m a
הצמודים	h i t͡s m u d i m
הצנרת	h i t͡s n a ʁ e t
הצפוף	h i t͡s p u f
הרמקולים	h i ʁ m a k o l i m
הרשם	h i ʁ ʃ e m
השוורים	h i ʃ v a ʁ i m
השעמום	h i ʃ a m u m
השערת	h i ʃ a ʁ e t
התבור	h i t b u ʁ
התחדש	h i t χ a d e ʃ
התחלף	h i t χ a l e f
התמר	h i t m e ʁ
התענית	h i t a n i t
התריע	h i t ʁ i a
התרסקה	h i t ʁ a s k a
ודל	v a d a l
והדתיים	v e h i d t a j i m
וויאט	v i a t
ויטה	v i t a
ולין	v a l i n
ולרוץ	v a l ʁ u t͡s
ומאה	v i m a
ומעשרות	v i m a ʃ a ʁ u t
ומרתק	v i m ʁ a t e k
וערכה	v e a ʁ χ a
וקצין	v a k t͡s i n
ושואלים	v e ʃ u a l i m
ותעשו	v i t a ʃ u
זליכה	z a l i χ a
חבק	χ a v a k
חובתם	χ o v t e m
חיזור	χ i z u ʁ
חיסלו	χ i s l u
חלומה	χ a l u m a
חסכוני	χ a s k o n i
חציר	χ a t͡s i ʁ
חשבוננו	χ a ʃ b o n a n u
טוחן	t o χ a n
טנקי	t a n k i
טריפה	t ʁ i f a
יוצג	j o t͡s e ɡ
יטענו	j a t a n u
ייזכר	j i z k e ʁ
ייפוי	j i p u j
יישבר	j i ʃ b e ʁ
ילש	j a l a ʃ
יעני	j a a n i
יתנגד	j i t n e ɡ e d
כורע	k o ʁ a
כיהנה	k i h a n a
כרוזים	k ʁ u z i m
לברזיל	l i v ʁ a z i l
לגרמנית	l i ɡ ʁ a m a n i t
להזדקן	l e h i z d e k a n
להניד	l a h a n i d
להפצה	l e h a f t͡s a
להשגחה	l e h i ʃ ɡ a χ a
להשמיט	l e h i ʃ m i t
להשרות	l e h i ʃ ʁ u t
להשתלטות	l e h i ʃ t a l t u t
להתמזמז	l e h i t m a z m e z
לוני	l o n i
לוסיה	l o s j a
לועס	l o a s
לחנוך	l a χ n u χ
לטיעון	l a t i o n
ליאה	l i a
ליומן	l i j u m e n
ליטאי	l i t a j
לייסוד	l a j s u d
לנביא	l i n b i
לשביל	l i ʃ b i l
לשלבים	l i ʃ l a v i m
לשליט	l i ʃ l i t
מיצירותיו	m i t͡s i ʁ u t j u
מסב	m a s a v
מסביבה	m a s b i v a
מסדרה	m i s d a ʁ a
מסניף	m a s n i f
מספרן	m i s p a ʁ a n
מסרטים	m a s ʁ a t i m
מקרוני	m a k ʁ o n i
מרחיקי	m a ʁ χ i k i
משליש	m i ʃ l i ʃ
נטתה	n i t t a
ניאוף	n i u f
ניצנה	n i t͡s a n a
נכרית	n i χ ʁ i t
נפה	n a f a
נפשנו	n i f ʃ a n u
נצפתה	n i t͡s p a t a
נשאתי	n i ʃ a t i
נשלטים	n i ʃ l a t i m
סג	s a ɡ
סגרתי	s a ɡ ʁ a t i
סומנו	s o m a n u
סורר	s o ʁ a ʁ
סליל	s a l i l
סמכותה	s a m χ u t a
סמרטוטים	s a m a ʁ t u t i m
סרטיו	s a ʁ t i v
סריג	s ʁ i ɡ
עלבונות	a l b o n u t
עמומה	a m u m a
עקיבה	a k i v a
פיטורין	p i t u ʁ i n
פלר	p a l a ʁ
פרצופו	p a ʁ t͡s o f o
פשיסטי	p ʃ i s t i
צלולים	t͡s a l u l i m
צמאים	t͡s a m a i m
קבילה	k a v i l a
קברניט	k a v ʁ a n i t
קולון	k o l o n
קופונים	k o f o n i m
קופמן	k o f m a n
קוצב	k o t͡s e v
קירל	k i ʁ e l
קראק	k a ʁ a k
קרחת	k a ʁ a χ a t
רולס	ʁ o l a s
רייף	ʁ a j a f
ריסים	ʁ i s i m
רפיק	ʁ a f i k
שגרירי	ʃ a ɡ ʁ i ʁ i
שדנה	ʃ a d a n a
שהקשה	ʃ a h a k ʃ a
שובם	ʃ o v e m
שוכנע	ʃ u χ n a
שחבריו	ʃ a χ b a ʁ j u
שייסד	ʃ a j s e d
שיצטרך	ʃ i t͡s t a ʁ a χ
שלחן	ʃ a l χ a n
שלמישהו	ʃ a l m i ʃ a h u
שלקה	ʃ a l a k a
שמית	ʃ a m i t
שנישאה	ʃ n i ʃ a
שצפו	ʃ a t͡s a f u
שראשי	ʃ a ʁ a ʃ i
שרוח	ʃ a ʁ u a χ
שרן	ʃ a ʁ a n
שתגלה	ʃ i t ɡ a l a
תברואה	t a v ʁ u a
תגים	t a ɡ i m
תדהר	t a d h a ʁ
תהילת	t e h i l e t
תחבושות	t a χ b u ʃ u t
תסיר	t a s i ʁ
תרחיק	t a ʁ χ i k
תרשמי	t a ʁ ʃ a m i
תשתף	t i ʃ t e f
add	a d
index	i n d e k s
limited	l i m i t e d
nvidia	n v i d i a
san	s a n
say	s a j
set	s e t
six	s i k s
sun	s u n
were	w e ɾ e
אהדת	a h a d e t
אולמן	o l m a n
אוסטרי	o s t a ʁ i
אורסולה	o ʁ s u l a
אזמין	a z m i n
אימתי	i m t i
אירינה	i ʁ i n a
אישורה	i ʃ u ʁ a
אנדרטת	a n d a ʁ t e t
אנדרסן	a n d a ʁ s a n
אפליית	a f l a j i t
אפרוחים	a f ʁ u χ i m
ארג	a ʁ a ɡ
ארגוניות	a ʁ ɡ o n j u t
ארגנה	a ʁ ɡ a n a
ארוז	a ʁ u z
אשירה	a ʃ i ʁ a
אשליית	a ʃ l a j i t
בהצהרות	b e h i t͡s h a ʁ u t
