de	d e
edemedik	e d e m e d i c
elele	e l e l e
elementi	e l e m e n t i
emer	e m ɛ ɾ
emirle	e m i ɾ l e
emiyor	e m i j o ɾ
enflasyonu	ɛ n f l a s j o n u
engellenmiş	e n ɟ e l l e n m i ʃ
engelleyerek	e n ɟ e l l e j e ɾ e c
engelleyici	e n ɟ e l l e j i d͡ʒ i
etkinliklerle	e t c i n l i c l e ɾ l e
etmemektedir	e t m e m e c t e d i ɾ
etmişimdir	e t m i ʃ i m d i ɾ
eyfel	e j f e l
eşitsizliği	e ʃ i t s i z l i j ɪ
fareleri	f a ɾ e l e ɾ i
fasulyesi	f a s u l j e s i
faturalar	f a t u ɾ a l a ɾ
firmasından	f i ɾ m a s ɯ n d a n
folk	f o ɫ k
formunun	f o ɾ m u n u n
fun	f u n
fırsata	f ɯ ɾ s a t a
gabrielle	ɡ a b ɾ i ɛ l l e
gate	ɡ a t e
gavur	ɡ a v u ɾ
gazların	ɡ a z ɫ a ɾ ɯ n
gelinler	ɟ e l i n l e ɾ
geliştirmeleri	ɟ e l i ʃ t i ɾ m e l e ɾ i
geliştirmiştir	ɟ e l i ʃ t i ɾ m i ʃ t i ɾ
genco	ɟ e n d͡ʒ o
genelev	ɟ e n e l e v
genişleten	ɟ e n i ʃ l e t e n
gerçekleşmeyecek	ɟ e ɾ t͡ʃ e c l e ʃ m e j e d͡ʒ e c
gezginler	ɟ e z ɟ i n l e ɾ
geçmeleri	ɟ e t͡ʃ m e l e ɾ i
geçtiğine	ɟ e t͡ʃ t i i n e
gidilen	ɟ i d i l e n
gigi	ɟ i ɟ i
girmesin	ɟ i ɾ m e s i n
girmişler	ɟ i ɾ m i ʃ l e ɾ
gitmiyoruz	ɟ i t m i j o ɾ u z
grammy	ɡ ɾ a m m j
gömülen	ɟ ø m y l e n
gönderdiğim	ɟ ø n d e ɾ d i j i m
göndermiştir	ɟ ø n d e ɾ m i ʃ t i ɾ
gördüklerinde	ɟ ø ɾ d y c l e ɾ i n d e
götürerek	ɟ ø t y ɾ e ɾ e c
götürürken	ɟ ø t y ɾ y ɾ c e n
gü	ɟ y
gülümsemesi	ɟ y l y m s e m e s i
günlerimiz	ɟ y n l e ɾ i m i z
güzelleri	ɟ y z e l l e ɾ i
habib	h a b i b
halisdemir	h a l i s d e m i ɾ
hammer	h a m m e ɾ
hand	h ɑ n d
handikap	h a n d i k a p
hatırlamıyorsam	h a t ɯ ɾ ɫ a m ɯ j o ɾ s a m
hatırlayıp	h a t ɯ ɾ ɫ a j ɯ p
hayallerimi	h a j a l l e ɾ i m i
hazzı	h a z z ɯ
hedefiniz	h e d e f i n i z
hesaplanmıştır	h e s a p ɫ a n m ɯ ʃ t ɯ ɾ
hocasının	h o d͡ʒ a s ɯ n ɯ n
horon	h o ɾ o n
hortumu	h o ɾ t u m u
hoşlanmıyorum	h o ʃ ɫ a n m ɯ j o ɾ u m
hub	h u b
hwa	h w aː
hüznü	h y z n y
hızlandı	h ɯ z ɫ a n d ɯ
hızlandırıcı	h ɯ z ɫ a n d ɯ ɾ ɯ d͡ʒ ɯ
hızın	h ɯ z ɯ n
ilaçla	i l a t͡ʃ ɫ a
ilerisi	i l e ɾ i s i
ilgiden	i l ɟ i d e n
imzalanması	i m z a ɫ a n m a s ɯ
imzasıyla	i m z aː s ɯ j ɫ a
iradesinin	i ɾ aː d e s i n i n
irtibatı	i ɾ t i b a t ɯ
istermisiniz	i s t e ɾ m i s i n i z
iter	i t ɛ ɾ
ittifakının	i t t i f a k ɯ n ɯ n
iyisidir	i j i s i d i ɾ
içte	i t͡ʃ t e
işaretidir	i ʃ aː ɾ e t i d i ɾ
kademede	k a d e m e d e
kalabalıkta	k a ɫ a b a ɫ ɯ k t a
kalitesine	k a l i t e s i n e
kandırıyor	k a n d ɯ ɾ ɯ j o ɾ
kapımız	k a p ɯ m ɯ z
karagümrük	k a ɾ a ɟ y m ɾ y c
karim	k a ɾ i m
karta	k a ɾ t a
kartalı	k a ɾ t a ɫ ɯ
kartların	k a ɾ t ɫ a ɾ ɯ n
kartopu	k a ɾ t o p u
kartınız	k a ɾ t ɯ n ɯ z
kartıyla	k a ɾ t ɯ j ɫ a
kastım	k a s t ɯ m
katılanların	k a t ɯ ɫ a n l a ɾ ɯ n
kaydedilir	k a j d e d i l i ɾ
kaynağım	k a j n a ɯ m
kayıtlardan	k a j ɯ t ɫ a ɾ d a n
kayış	k a j ɯ ʃ
kazanılması	k a z a n ɯ ɫ m a s ɯ
kazanırsınız	k a z a n ɯ ɾ s ɯ n ɯ z
kaçınılmazdır	k a t͡ʃ ɯ n ɯ ɫ m a z d ɯ ɾ
keep	c e e p
kentten	c e n t t e n
keselim	c e s e l i m
keske	c e s c e
keşfetmeye	c e ʃ f e t m e j e
kirmizi	c i ɾ m i z i
kiti	c i t i
klavyede	k ɫ a v j e d e
klinikte	c l i n i c t e
kocasıyla	k o d͡ʒ a s ɯ j ɫ a
kolombiyalı	k o ɫ o m b i j a ɫ ɯ
kolçak	k o ɫ t͡ʃ a k
konuşamıyorum	k o n u ʃ a m ɯ j o ɾ u m
konyalı	k o n j a ɫ ɯ
koordinatörlüğü	k o o ɾ d i n a t ø ɾ l y j y
koparan	k o p a ɾ a n
korkulacak	k o ɾ k u ɫ a d͡ʒ a k
korumasına	k o ɾ u m a s ɯ n a
koğuş	k o u ʃ
koşacak	k o ʃ a d͡ʒ a k
kuklası	k u k ɫ a s ɯ
kullanılacaktır	k u ɫ ɫ a n ɯ ɫ a d͡ʒ a k t ɯ ɾ
kuruluşudur	k u ɾ u ɫ u ʃ u d u ɾ
kurumunda	k u ɾ u m u n d a
kuyunun	k u j u n u n
kuzum	k u z u m
kötülükler	c ø t y l y c l e ɾ
kötünün	c ø t y n y n
köşedeki	c ø ʃ e d e c i
küllerinden	c y l l e ɾ i n d e n
kıldığı	k ɯ ɫ d ɯ ɯ
kılındı	k ɯ ɫ ɯ n d ɯ
kırılıyor	k ɯ ɾ ɯ ɫ ɯ j o ɾ
kızlarından	k ɯ z ɫ a ɾ ɯ n d a n
lastikleri	l a s t i c l e ɾ i
lefter	l e f t ɛ ɾ
lem	l e m
lgbti	l ɟ b t i
lili	l i l i
limanın	l i m aː n ɯ n
limitsiz	l i m i t s i z
logosunu	l o ɡ o s u n u
lucescu	l u d͡ʒ e s d͡ʒ u
mackenzie	m a d͡ʒ c e n z i e
maddesini	m a d d e s i n i
makalesinde	m a k a l e s i n d e
makinesinde	m a c i n e s i n d e
malzemeye	m a l z e m e j e
margot	m a ɾ ɡ o t
mari	m aː ɾ iː
marketlerde	m a ɾ c e t l e ɾ d e
marko	m a ɾ k o
mektupların	m e c t u p l a ɾ ɯ n
menzile	m e n z i l e
mesajımı	m e s a ʒ ɯ m ɯ
meslekte	m e s l e c t e
metali	m e t aː l iː
mezhepler	m e z h e p l e ɾ
missy	m i s s j
mâl	m aː l
mücadelemizi	m y d͡ʒ aː d e l e m i z i
mükemmeldir	m y c e m m e l d i ɾ
müsünüz	m y s y n y z
müydü	m y j d y
nehirde	n e h i ɾ d e
nesini	n e s i n i
neyiz	n e j i z
okumaları	o k u m a l a ɾ ɯ
okumuyor	o k u m u j o ɾ
okuyorsunuz	o k u j o ɾ s u n u z
olmasada	o ɫ m a s a d a
olmuşsunuz	o ɫ m u ʃ s u n u z
oluşunun	o ɫ u ʃ u n u n
omzuma	o m z u m a
onaylanması	o n a j ɫ a n m a s ɯ
onurlandırmak	o n u ɾ ɫ a n d ɯ ɾ m a k
operasyondan	o p e ɾ a s j ɔ n d a n
ordusundan	o ɾ d u s u n d a n
organın	o ɾ ɡ a n ɯ n
ortadadır	o ɾ t a d a d ɯ ɾ
otogar	o t o ɡ a ɾ
oturmayı	o t u ɾ m a j ɯ
oynamadan	o j n a m a d a n
oyunumuz	o j u n u m u z
paketlenmiş	p a c e t l e n m i ʃ
parametreler	p a ɾ a m e t ɾ e l e ɾ
paraşütü	p a ɾ a ʃ y t y
partikül	p a ɾ t i c y l
parçalayıp	p a ɾ t͡ʃ a ɫ a j ɯ p
paylaştığınız	p a j ɫ a ʃ t ɯ ɯ n ɯ z
pietro	p i e t ɾ o
platformun	p l a t f o ɾ m u n
prensesin	p ɾ ɛ n s e s i n
provası	p ɾ o v a s ɯ
puslu	p u s ɫ u
radyoyu	ɾ a d j o j u
rakibimiz	ɾ a c i b i m i z
rami	ɾ aː m iː
reddederek	ɾ e d d e d e ɾ e c
rem	ɾ e m
riayet	ɾ i aː j e t
robotun	ɾ o b o t u n
rocco	ɾ o d͡ʒ d͡ʒ o
rory	ɾ o ɾ i
rıhtım	ɾ ɯ h t ɯ m
saatliğine	s a a t l i j i n e
sabahlara	s a b a h ɫ a ɾ a
saglikli	s a ɡ l i c l i
sahiplerinden	s aː h i p l e ɾ i n d e n
sahnelenen	s a h n e l e n e n
saliha	s aː l i h aː
sanattan	s a n a t t a n
sarkan	s a ɾ k a n
saunders	s a u n d e ɾ s
saymazsak	s a j m a z s a k
sayılmaktadır	s a j ɯ ɫ m a k t a d ɯ ɾ
sağlayabilmek	s aː ɫ a j a b i l m e c
script	s d͡ʒ ɾ i p t
sevmesini	s e v m e s i n i
shelby	ʃ e l b j
sigaradan	s i ɡ a ɾ a d a n
silahlardan	s i l a h ɫ a ɾ d a n
silinecek	s i l i n e d͡ʒ e c
simülasyonu	s i m y l a s j o n u
sinirini	s i n i ɾ i n i
sloan	s ɫ o a n
sofrasında	s o f ɾ a s ɯ n d a
sordunuz	s o ɾ d u n u z
striptiz	s t ɾ i p t i z
sunulacak	s u n u ɫ a d͡ʒ a k
surekli	s u ɾ e c l i
suçlarla	s u t͡ʃ ɫ a ɾ ɫ a
söylemenin	s ø j l e m e n i n
sürünerek	s y ɾ y n e ɾ e c
sıcaktır	s ɯ d͡ʒ a k t ɯ ɾ
sıkar	s ɯ k a ɾ
sıkıntının	s ɯ k ɯ n t ɯ n ɯ n
sınavlarına	s ɯ n a v ɫ a ɾ ɯ n a
sıyrılıp	s ɯ j ɾ ɯ ɫ ɯ p
sığınacak	s ɯ ɯ n a d͡ʒ a k
tabanının	t a b a n ɯ n ɯ n
talebesi	t a l e b e s i
tamara	t a m a ɾ a
tanışması	t a n ɯ ʃ m a s ɯ
tartışıldı	t a ɾ t ɯ ʃ ɯ ɫ d ɯ
tatiline	t a t i l i n e
tatlıyı	t a t ɫ ɯ j ɯ
taşlara	t a ʃ ɫ a ɾ a
taşınmaya	t a ʃ ɯ n m a j a
taşıyacağız	t a ʃ ɯ j a d͡ʒ a ɯ z
taşıyorlar	t a ʃ ɯ j o ɾ l a ɾ
tekerlekler	t e c e ɾ l e c l e ɾ
telefondaki	t e l e f o n d a c i
telefonlarına	t e l e f o n l a ɾ ɯ n a
televizyonunda	t e l e v i z j o n u n d a
temizleyici	t e m i z l e j i d͡ʒ i
ticaretle	t i d͡ʒ aː ɾ e t l e
tolgay	t o ɫ ɡ a j
tonda	t o n d a
toplayıcı	t o p ɫ a j ɯ d͡ʒ ɯ
trey	t ɾ e j
tugayı	t u ɡ a j ɯ
turne	t u ɾ n e
turşusu	t u ɾ ʃ u s u
tutkunu	t u t k u n u
törenlerinde	t ø ɾ e n l e ɾ i n d e
türdeki	t y ɾ d e c i
unutursun	u n u t u ɾ s u n
uyanacak	u j a n a d͡ʒ a k
uyandıracak	u j a n d ɯ ɾ a d͡ʒ a k
uzaklaşıyor	u z a k ɫ a ʃ ɯ j o ɾ
vadeden	v aː d e d e n
vatandaşlarını	v a t a n d a ʃ ɫ a ɾ ɯ n ɯ
yakışıklısın	j a k ɯ ʃ ɯ k ɫ ɯ s ɯ n
yalanını	j a ɫ a n ɯ n ɯ
yalnızlığa	j a ɫ n ɯ z ɫ ɯ a
yansıttığı	j a n s ɯ t t ɯ ɯ
yapabilmektedir	j a p a b i l m e c t e d i ɾ
yapmasından	j a p m a s ɯ n d a n
yapsanız	j a p s a n ɯ z
yarabbi	j a ɾ a b b i
yarışlara	j a ɾ ɯ ʃ ɫ a ɾ a
yarışmadan	j a ɾ ɯ ʃ m a d a n
yasaklama	j a s a k ɫ a m a
yazdır	j a z d ɯ ɾ
yazdıran	j a z d ɯ ɾ a n
yazılanları	j a z ɯ ɫ a n l a ɾ ɯ
yazılmıştı	j a z ɯ ɫ m ɯ ʃ t ɯ
yazılımların	j a z ɯ ɫ ɯ m l a ɾ ɯ n
yağını	j a ɯ n ɯ
yaşadığımızı	j a ʃ a d ɯ ɯ m ɯ z ɯ
yaşasaydı	j a ʃ a s a j d ɯ
yerlilerin	j e ɾ l i l e ɾ i n
yetersizliğinden	j e t e ɾ s i z l i j i n d e n
yurtiçi	j u ɾ t i t͡ʃ i
yönetimle	j ø n e t i m l e
yönlendiriyor	j ø n l e n d i ɾ i j o ɾ
yükleyip	j y c l e j i p
yükseklikten	j y c s e c l i c t e n
yükselip	j y c s e l i p
yükseltir	j y c s e l t i ɾ
yüzdendir	j y z d e n d i ɾ
yüzeyden	j y z e j d e n
yüzyıllarda	j y z j ɯ ɫ ɫ a ɾ d a
yüzyılı	j y z j ɯ ɫ ɯ
yılmazer	j ɯ ɫ m a z e ɾ
zeliha	z e l i h aː
zenginliğin	z e n ɟ i n l i j i n
zeytinli	z e j t i n l i
zincirin	z i n d͡ʒ i ɾ i n
âlemde	aː l e m d e
çaldınız	t͡ʃ a ɫ d ɯ n ɯ z
çalışınca	t͡ʃ a ɫ ɯ ʃ ɯ n d͡ʒ a
çalışırsın	t͡ʃ a ɫ ɯ ʃ ɯ ɾ s ɯ n
çekerse	t͡ʃ e c e ɾ s e
çevrenizde	t͡ʃ e v ɾ e n i z d e
çocukluğum	t͡ʃ o d͡ʒ u k ɫ u u m
çözümleme	t͡ʃ ø z y m l e m e
çıkarmıştı	t͡ʃ ɯ k a ɾ m ɯ ʃ t ɯ
çıktıklarında	t͡ʃ ɯ k t ɯ k ɫ a ɾ ɯ n d a
öle	ø l e
ötekine	ø t e c i n e
özgeçmiş	ø z ɟ e t͡ʃ m i ʃ
ülkücüler	y l c y d͡ʒ y l æ ɾ
ürpertici	y ɾ p e ɾ t i d͡ʒ i
üstlük	y s t l y c
üşüyor	y ʃ y j o ɾ
ıc	ɯ d͡ʒ
ında	ɯ n d a
ırkını	ɯ ɾ k ɯ n ɯ
ışıkların	ɯ ʃ ɯ k ɫ a ɾ ɯ n
ışığıyla	ɯ ʃ ɯ ɯ j ɫ a
şampiyonluğun	ʃ a m p i j o n ɫ u u n
şartını	ʃ a ɾ t ɯ n ɯ
şekerin	ʃ e c e ɾ i n
şeklinden	ʃ e c l i n d e n
şengül	ʃ e n ɟ y l
şinasi	ʃ i n aː s iː
şişeleri	ʃ i ʃ e l e ɾ i
şubesini	ʃ u b e s i n i
adamıydı	a d a m ɯ j d ɯ
adayımız	a d a j ɯ m ɯ z
adreslerini	a d ɾ e s l e ɾ i n i
adult	a d u ɫ t
aerobik	a e ɾ ɔ b i c
affetmem	a f f e t m e m
agir	a ɟ i ɾ
agora	a ɡ o ɾ a
ahlaka	a h ɫ a k a
album	a ɫ b u m
alejandro	a l e ʒ a n d ɾ o
algılanan	a ɫ ɡ ɯ ɫ a n a n
alışma	a ɫ ɯ ʃ m a
alışverişinde	a ɫ ɯ ʃ v e ɾ i ʃ i n d e
amaçlanan	a m a t͡ʃ ɫ a n a n
ami	aː m iː
anladığında	a n ɫ a d ɯ ɯ n d a
anlamayı	a n ɫ a m a j ɯ
anlayacağın	a n ɫ a j a d͡ʒ a ɯ n
anlayışında	a n ɫ a j ɯ ʃ ɯ n d a
anlaşmalı	a n ɫ a ʃ m a ɫ ɯ
anlaşmış	a n ɫ a ʃ m ɯ ʃ
annecim	a n n e d͡ʒ i m
aralığına	a ɾ a ɫ ɯ ɯ n a
aramaz	a ɾ a m a z
araştırmalarında	a ɾ a ʃ t ɯ ɾ m a l a ɾ ɯ n d a
arttırarak	a ɾ t t ɯ ɾ a ɾ a k
arıyordum	a ɾ ɯ j o ɾ d u m
asl	a s ɫ
aslıhan	a s ɫ ɯ h a n
atabilirim	a t a b i l i ɾ i m
atadığı	a t a d ɯ ɯ
atlamış	a t ɫ a m ɯ ʃ
atomun	a t o m u n
ayarını	a j a ɾ ɯ n ɯ
aynısından	a j n ɯ s ɯ n d a n
ayırıyor	a j ɯ ɾ ɯ j o ɾ
açacaktır	a t͡ʃ a d͡ʒ a k t ɯ ɾ
açlığa	a t͡ʃ ɫ ɯ a
açtıkları	a t͡ʃ t ɯ k ɫ a ɾ ɯ
açtınız	a t͡ʃ t ɯ n ɯ z
açıklanmayan	a t͡ʃ ɯ k ɫ a n m a j a n
açılışa	a t͡ʃ ɯ ɫ ɯ ʃ a
ağırlığa	a ɯ ɾ ɫ ɯ a
aşacak	a ʃ a d͡ʒ a k
aşktır	a ʃ k t ɯ ɾ
babalarına	b a b a ɫ a ɾ ɯ n a
bacaklarım	b a d͡ʒ a k ɫ a ɾ ɯ m
bag	b a ɡ
bahçesinin	b a h t͡ʃ e s i n i n
bakılacak	b a k ɯ ɫ a d͡ʒ a k
bardağa	b a ɾ d a a
barlarda	b a ɾ ɫ a ɾ d a
basarili	b a s a ɾ i l i
basladim	b a s ɫ a d i m
bastırdı	b a s t ɯ ɾ d ɯ
baydar	b a j d a ɾ
bayrama	b a j ɾ a m a
bağışlasın	b a ɯ ʃ ɫ a s ɯ n
başlamalı	b a ʃ ɫ a m a ɫ ɯ
başlangıçtan	b a ʃ ɫ a n ɡ ɯ t͡ʃ t a n
bedenden	b e d e n d e n
bekledin	b e c l e d i n
bekleyeceksin	b e c l e j e d͡ʒ e c s i n
belirtirken	b e l i ɾ t i ɾ c e n
benzemeye	b e n z e m e j e
beşar	b e ʃ a ɾ
bilgiden	b i l ɟ i d e n
bilgidir	b i l ɟ i d i ɾ
bilseniz	b i l s e n i z
bilseydin	b i l s e j d i n
birikir	b i ɾ i c i ɾ
birleşiyor	b i ɾ l e ʃ i j o ɾ
birleştirmeye	b i ɾ l e ʃ t i ɾ m e j e
birşeyleri	b i ɾ ʃ e j l e ɾ i
bitirilmesi	b i t i ɾ i l m e s i
bittiyse	b i t t i j s e
bokun	b o k u n
bologna	b o ɫ o ɡ n a
bozup	b o z u p
boşaltın	b o ʃ a ɫ t ɯ n
boşum	b o ʃ u m
bula	b u ɫ a
bulacaklar	b u ɫ a d͡ʒ a k l a ɾ
bulacağını	b u ɫ a d͡ʒ a ɯ n ɯ
bulunmayı	b u ɫ u n m a j ɯ
buluyorsun	b u ɫ u j o ɾ s u n
bölmesi	b ø l m e s i
bütünleşik	b y t y n l e ʃ i c
bütünlüğüne	b y t y n l y j y n e
büyükbabası	b y j y c b a b a s ɯ
büyüklere	b y j y c l e ɾ e
büyüt	b y j y t
bırakacağını	b ɯ ɾ a k a d͡ʒ a ɯ n ɯ
cadillac	d͡ʒ a d i l l a d͡ʒ
castillo	d͡ʒ a s t i l l o
cebindeki	d͡ʒ e b i n d e c i
cesetler	d͡ʒ e s e t l e ɾ
cevapladı	d͡ʒ e v a p ɫ a d ɯ
ciltte	d͡ʒ i l t t e
cream	d͡ʒ ɾ e a m
dallarından	d a ɫ ɫ a ɾ ɯ n d a n
dağılması	d a ɯ ɫ m a s ɯ
denetimini	d e n e t i m i n i
departmanında	d e p a ɾ t m a n ɯ n d a
derede	d e ɾ e d e
derlerse	d e ɾ l e ɾ s e
desinler	d e s i n l e ɾ
devredildi	d e v ɾ e d i l d i
değirmeni	d e i ɾ m e n i
değiştirmiştir	d e i ʃ t i ɾ m i ʃ t i ɾ
dinlemem	d i n l e m e m
dinlemiyorum	d i n l e m i j o ɾ u m
disi	d i s i
dizilerinden	d i z i l e ɾ i n d e n
donarak	d o n a ɾ a k
dostlara	d o s t ɫ a ɾ a
doğukan	d o u k a n
durduramaz	d u ɾ d u ɾ a m a z
durumdayken	d u ɾ u m d a j c e n
duyanlar	d u j a n l a ɾ
döndürür	d ø n d y ɾ y ɾ
döneceksin	d ø n e d͡ʒ e c s i n
düzeyindeki	d y z e j i n d e c i
düşüncelerinin	d y ʃ y n d͡ʒ e l e ɾ i n i n
düşünmektedir	d y ʃ y n m e c t e d i ɾ
düşünmeli	d y ʃ y n m e l i
düşünmenin	d y ʃ y n m e n i n
düşünmeyen	d y ʃ y n m e j e n
dışıdır	d ɯ ʃ ɯ d ɯ ɾ
ebedî	e b e d iː
edwin	e d w i n
elementleri	e l e m e n t l e ɾ i
elçileri	e l t͡ʃ i l e ɾ i
emeklilikte	e m e c l i l i c t e
emret	e m ɾ e t
encümen	ɛ n d͡ʒ y m ɛ n
enerjiden	e n e ɾ ʒ i d e n
engellemiş	e n ɟ e l l e m i ʃ
epeydir	e p e j d i ɾ
erkal	e ɾ k a l
etmezseniz	e t m e z s e n i z
etrafımdaki	e t ɾ a f ɯ m d a c i
etseler	e t s e l e ɾ
eşli	e ʃ l i
fatoş	f a t o ʃ
fazlalığı	f a z ɫ a ɫ ɯ ɯ
fetiş	f e t i ʃ
fikirli	f i c i ɾ l i
filonun	f i l o n u n
fine	f i n e
flint	f l i n t
formalar	f o ɾ m a l a ɾ
führer	f y h ɾ e ɾ
fırıncı	f ɯ ɾ ɯ n d͡ʒ ɯ
gazali	ɡ a z aː l iː
gazdan	ɡ a z d a n
gelirlerini	ɟ e l i ɾ l e ɾ i n i
gelmelerini	ɟ e l m e l e ɾ i n i
gemisinden	ɟ e m i s i n d e n
gemisiyle	ɟ e m i s i j l e
genişleterek	ɟ e n i ʃ l e t e ɾ e c
gençliğinde	ɟ e n t͡ʃ l i j i n d e
geoff	ɟ e ɔ f
gerry	ɟ e ɾ ɾ i
gerçekleşmişti	ɟ e ɾ t͡ʃ e c l e ʃ m i ʃ t i
gez	ɟ e z
gidenlerin	ɟ i d e n l e ɾ i n
gidişatını	ɟ i d i ʃ a t ɯ n ɯ
girişimciler	ɟ i ɾ i ʃ i m d͡ʒ i l e ɾ
gitmemesi	ɟ i t m e m e s i
gittiğinden	ɟ i t t i i n d e n
giyerim	ɟ i j e ɾ i m
giymesi	ɟ i j m e s i
gizliden	ɟ i z l i d e n
gollerini	ɡ o l l e ɾ i n i
goo	ɡ oː
gotham	ɡ o t h a m
grande	ɡ ɯ ɾ ɑ n d e
görüşmelerinde	ɟ ø ɾ y ʃ m e l e ɾ i n d e
görüşür	ɟ ø ɾ y ʃ y ɾ
göstermeli	ɟ ø s t e ɾ m e l i
gülüş	ɟ y l y ʃ
günlerimi	ɟ y n l e ɾ i m i
günümüzden	ɟ y n y m y z d e n
hakimlik	h a c i m l i c
haklarımızı	h a k ɫ a ɾ ɯ m ɯ z ɯ
hanımların	h a n ɯ m l a ɾ ɯ n
harabeye	h a ɾ a b e j e
harcıyoruz	h a ɾ d͡ʒ ɯ j o ɾ u z
hareketinde	h a ɾ e c e t i n d e
harfin	h a ɾ f i n
hastalıkla	h a s t a ɫ ɯ k ɫ a
hastaneyi	h a s t a n e j i
hatadan	h a t a d a n
hatunum	h a t u n u m
hatırlamam	h a t ɯ ɾ ɫ a m a m
havuzunda	h a v u z u n d a
hayretler	h a j ɾ e t l e ɾ
hayâl	h a j a l
hazırlandığı	h a z ɯ ɾ ɫ a n d ɯ ɯ
hedefinde	h e d e f i n d e
hemingway	h e m i n ɡ w a j
hesabımı	h e s aː b ɯ m ɯ
hisseler	h i s s e l e ɾ
hizmetli	h i z m e t l i
hollow	h o ɫ ɫ o w
hücreden	h y d͡ʒ ɾ e d e n
hım	h ɯ m
icine	i d͡ʒ i n e
ilerleyip	i l e ɾ l e j i p
incili	i n d͡ʒ i l i
inisiyatifi	i n i s i j a t i f i
inmeden	i n m e d e n
insanlari	i n s a n l a ɾ i
iris	i ɾ i s
isler	i s l e ɾ
istinye	i s t i n j e
izlemenizi	i z l e m e n i z i
içtiğin	i t͡ʃ t i i n
işlemesi	i ʃ l e m e s i
işleminden	i ʃ l e m i n d e n
johan	ʒ o h a n
kaddafi	k a d d aː f iː
kahvesini	k a h v e s i n i
kahya	k a h j aː
kaldırdığı	k a ɫ d ɯ ɾ d ɯ ɯ
kanadını	k a n a d ɯ n ɯ
kanalların	k a n a ɫ ɫ a ɾ ɯ n
kantin	k a n t i n
kanıtlamaya	k a n ɯ t ɫ a m a j a
kanıtlıyor	k a n ɯ t ɫ ɯ j o ɾ
kapanmasına	k a p a n m a s ɯ n a
kapanı	k a p a n ɯ
kapatırım	k a p a t ɯ ɾ ɯ m
kaplumbağalar	k a p ɫ u m b a a l a ɾ
kapsadığı	k a p s a d ɯ ɯ
kaptırdı	k a p t ɯ ɾ d ɯ
kapıldım	k a p ɯ ɫ d ɯ m
karakterlerinin	k a ɾ a k t e ɾ l e ɾ i n i n
kardeşinden	k a ɾ d e ʃ i n d e n
karikatürler	k a ɾ i k a t y ɾ l e ɾ
kartpostal	k a ɾ t p o s t a ɫ
karısından	k a ɾ ɯ s ɯ n d a n
karıştırılarak	k a ɾ ɯ ʃ t ɯ ɾ ɯ ɫ a ɾ a k
karıştırır	k a ɾ ɯ ʃ t ɯ ɾ ɯ ɾ
karşımdaki	k a ɾ ʃ ɯ m d a c i
karşısı	k a ɾ ʃ ɯ s ɯ
katleden	k a t l e d e n
katsayı	k a t s a j ɯ
katılmadan	k a t ɯ ɫ m a d a n
kavacık	k a v a d͡ʒ ɯ k
kaydetme	k a j d e t m e
kazalarında	k a z a ɫ a ɾ ɯ n d a
kaçının	k a t͡ʃ ɯ n ɯ n
kaçırmadan	k a t͡ʃ ɯ ɾ m a d a n
kemençe	c e m e n t͡ʃ e
kesimine	c e s i m i n e
kesiyoruz	c e s i j o ɾ u z
kişisin	c i ʃ i s i n
kobe	k o b e
kodun	k o d u n
kontu	k o n t u
konuştular	k o n u ʃ t u ɫ a ɾ
konuştuğunuz	k o n u ʃ t u u n u z
koordinatör	k o o ɾ d i n a t ø ɾ
kopacak	k o p a d͡ʒ a k
kulağın	k u ɫ a ɯ n
kurmasını	k u ɾ m a s ɯ n ɯ
kuruluştur	k u ɾ u ɫ u ʃ t u ɾ
kurşunlar	k u ɾ ʃ u n l a ɾ
kuşağında	k u ʃ a ɯ n d a
kılmaktadır	k ɯ ɫ m a k t a d ɯ ɾ
kırdar	k ɯ ɾ d a ɾ
kıyametin	k ɯ j aː m e t i n
kızıyım	k ɯ z ɯ j ɯ m
liderini	l i d e ɾ i n i
mahveden	m a h v e d e n
makası	m a k a s ɯ
malî	m aː l iː
mantığıyla	m a n t ɯ ɯ j ɫ a
masasının	m a s a s ɯ n ɯ n
mavinin	m a v i n i n
mayası	m a j a s ɯ
mağazadan	m a a z a d a n
mağazanın	m a a z a n ɯ n
memurluk	m e m u ɾ ɫ u k
mermileri	m e ɾ m i l e ɾ i
mesa	m e s aː
metredir	m e t ɾ e d i ɾ
molekülleri	m o l e c y l l e ɾ i
muhtesem	m u h t e s e m
müşterilerinin	m y ʃ t e ɾ i l e ɾ i n i n
namlu	n a m ɫ u
neyini	n e j i n i
neşeyle	n e ʃ e j l e
niyetiniz	n i j e t i n i z
nötron	n ø t ɾ o n
odamı	o d a m ɯ
olabiliyorsunuz	o ɫ a b i l i j o ɾ s u n u z
olmayayım	o ɫ m a j a j ɯ m
oluşumun	o ɫ u ʃ u m u n
onurdur	o n u ɾ d u ɾ
oradadır	o ɾ a d a d ɯ ɾ
ortaçgil	o ɾ t a t͡ʃ ɟ i l
oturumda	o t u ɾ u m d a
oynanması	o j n a n m a s ɯ
oynarlar	o j n a ɾ l a ɾ
oyulmuş	o j u ɫ m u ʃ
oyuncuyla	o j u n d͡ʒ u j ɫ a
padişaha	p a d i ʃ a h a
parlaklığını	p a ɾ ɫ a k ɫ ɯ ɯ n ɯ
parlar	p a ɾ ɫ a ɾ
parçalanan	p a ɾ t͡ʃ a ɫ a n a n
