deus	d ew s
resnick	ʁ e z n i k k
restarem	ʁ e s t ɐ ɾ ẽj̃
retraída	ʁ e t ɾ ɐ i d ɐ
revalida	ʁ e v ɐ l i d ɐ
ridicula	ʁ i d ʒ i k u l ɐ
rodrick	ʁ o d ɾ i k k
roku	ʁ o k u
rosalia	ʁ ɔ z ɐ l i ɐ
rousey	ʁ ow z e i
roxinho	ʁ o ʃ ĩ ɲ u
rucker	ʁ u k k e ɹ
rutgers	ʁ u t ʃ ʒ e ɹ s
saae	s ɐ ɐj
sabio	s ɐ b i u
sacanagens	s ɐ k ɐ n ɐ ʒ ẽ s
safaris	s ɐ f ɐ ɾ i j s
sailing	s ɐj l ĩ ɡ
saltitando	s ɐw t ʃ i t ɐ̃ d u
salton	s ɐw t õ
samo	s ɐ̃ m u
sancti	s ɐ̃ k t ʃ i
sanduba	s ɐ̃ d u b ɐ
sanduiches	s ɐ̃ d uj ʃ i s
secá	s e k ɐ
sefaz	s e f ɐj s
seguires	s e ɡ j ɾ i s
selagem	s e l ɐ ʒ ẽj̃
selas	s e l ɐ s
semanários	s e m ɐ n ɐ ɾ i u s
senar	s e n ɐ ɹ
sencientes	s ẽ s i ẽ t ʃ i s
sexologia	s e k s o l o ʒ i ɐ
shounen	ʃ ow n ẽ
simonson	s ĩ m õ s õ
sinestro	s ĩ n e s t ɾ u
skyscraper	s k i s k ɾ ɐ p e ɹ
sledgehammer	s l e d ʒ ʒ e ɐ̃ m e ɹ
sobressaindo	s o b ɾ e s ɐ ĩ d u
sobreveio	s o b ɾ e v ej u
soldas	s ɔ w d ɐ s
sondando	s õ d ɐ̃ d u
sorrisão	s o ʁ i z ɐ̃w̃
sow	s ow
spikes	s p i k i s
spt	s p t ʃ
sqn	s k n
subunidades	s u b ũ n i d ɐ d ʒ i s
sugadores	s u ɡ ɐ d o ɾ i s
supracitada	s u p ɾ ɐ s i t ɐ d ɐ
susu	s u z u
swingers	s w ĩ ʒ e ɹ s
tabosa	t ɐ b ɔ z ɐ
tamisa	t ɐ m i z ɐ
tanino	t ɐ n ĩ n u
tant	t ɐ̃ t ʃ
tantinho	t ɐ̃ t ʃ ĩ ɲ u
tardaram	t ɐ ʁ d ɐ ɾ ɐ̃w̃
tardo	t ɐ ʁ d u
taub	t ɐw b
tecnicista	t e k n i s i s t ɐ
termómetro	t e ʁ m ɔ m e t ɾ u
thu	t u
thy	t i
tima	t ʃ ĩ m ɐ
tolueno	t o l u ẽ n u
torcidos	t o ɹ s i d u s
tortinha	t o ɹ t ʃ ĩ ɲ ɐ
totonho	t o t õ ɲ u
traba	t ɾ ɐ b ɐ
traiçoeiros	t ɾ ɐj s o ej ɾ u s
transacional	t ɾ ɐ̃ z ɐ s i o n ɐw
transfronteiriça	t ɾ ɐ̃ s f ɾ õ t ej ɾ i s ɐ
transpetro	t ɾ ɐ̃ s p e t ɾ u
trials	t ɾ i ɐw s
trouxeste	t ɾ ow ʃ e s t ʃ i
twerk	t ʃ w e ɹ k
umedecido	ũ m e d e s i d u
uniceub	ũ n i s ew b
unidirecional	ũ n i d ʒ i ɾ e s i o n ɐw
upe	u p i
ure	u ɾ i
usemos	u z ẽ m u s
valdirene	v ɐw d ʒ i ɾ e n i
vaporização	v ɐ p o ɾ i z ɐ s ɐ̃w̃
vasculham	v ɐ s k u ʎ ɐ̃w̃
vdc	v d ʒ k
veneta	v e n e t ɐ
ventral	v ẽ t ɾ ɐw
vestuários	v e s t u ɐ ɾ i u s
viras	v i ɾ ɐ s
visitaria	v i z i t ɐ ɾ i ɐ
vislumbrou	v i s l ũ b ɾ ow
vitimada	v i t ʃ ĩ m ɐ d ɐ
waguinho	w ɐ ɡ ĩ ɲ u
warley	w ɐ ɹ l e i
warming	w ɐ ʁ m ĩ ɡ
watched	w ɐ t ʃ ʃ e d ʒ
weathers	w e ɐ t e ɹ s
witten	w i t ʃ t ẽ
womack	w o m ɐ k k
wsl	w s w
xelim	ʃ e l ĩ
yael	j ɐ ɛw
yemanjá	j e m ɐ̃ ʒ ɐ
zaid	z ɐj d ʒ
zamasu	z ɐ m ɐ z u
zant	z ɐ̃ t ʃ
zaza	z ɐ z ɐ
zonza	z õ z ɐ
éric	ɛ ɾ i k
abacates	ɐ b ɐ k ɐ t ʃ i s
abaixam	ɐ b ɐj ʃ ɐ̃w̃
abandonos	ɐ b ɐ̃ d õ n u s
abduzidos	ɐ b d u z i d u s
acessei	ɐ s e s ej
acetileno	ɐ s e t ʃ i l ẽ n u
aclamar	ɐ k l ɐ m ɐ ɹ
acontecidos	ɐ k õ t e s i d u s
acreditada	ɐ k ɾ e d ʒ i t ɐ d ɐ
acrónimos	ɐ k ɾ ɔ n ĩ m u s
acth	ɐ k t ʃ
adiei	ɐ d ʒ i ej
aegis	ɐj ʒ i j s
aftas	ɐ f t ɐ s
agrovila	ɐ ɡ ɾ o v i l ɐ
aimar	ɐ ĩ m ɐ ɹ
ajudadas	ɐ ʒ u d ɐ d ɐ s
alban	ɐw b ɐ̃
alek	ɐ l e k
ales	ɐ l i s
almejavam	ɐw m e ʒ ɐ v ɐ̃w̃
almoçado	ɐw m o s ɐ d u
almíscar	ɐw m i s k ɐ ɹ
alu	ɐ l u
ambassador	ɐ̃ b ɐ s ɐ d o ɹ
amooo	ɐ m o o u
amêijoa	ɐ m ej ʒ o ɐ
anchovas	ɐ̃ ʃ o v ɐ s
angelita	ɐ̃ ʒ e l i t ɐ
antecedendo	ɐ̃ t e s e d ẽ d u
antiaéreo	ɐ̃ t ʃ i ɐ ɛ ɾ e u
anunciem	ɐ n ũ s i ẽj̃
aparelhada	ɐ p ɐ ɾ e ʎ ɐ d ɐ
apedrejar	ɐ p e d ɾ e ʒ ɐ ɹ
apologize	ɐ p o l o ʒ i z i
aposentação	ɐ p o z ẽ t ɐ s ɐ̃w̃
apostólicas	ɐ p o s t ɔ l i k ɐ s
aproveitarmos	ɐ p ɾ o v ej t ɐ ʁ m u s
apátridas	ɐ p ɐ t ɾ i d ɐ s
arados	ɐ ɾ ɐ d u s
arcanos	ɐ ɹ k ɐ̃ n u s
armei	ɐ ʁ m ej
aromaterapia	ɐ ɾ o m ɐ t e ɾ ɐ p i ɐ
arque	ɐ ɹ k i
arrebentado	ɐ ʁ e b ẽ t ɐ d u
arrotos	ɐ ʁ o t u s
arrumadinha	ɐ ʁ ũ m ɐ d ʒ ĩ ɲ ɐ
ascot	ɐ s k o t ʃ
assalariada	ɐ s ɐ l ɐ ɾ i ɐ d ɐ
assemelhava	ɐ s e m e ʎ ɐ v ɐ
astrónomo	ɐ s t ɾ ɔ n o m u
astutos	ɐ s t u t u s
ataduras	ɐ t ɐ d u ɾ ɐ s
auras	ɐw ɾ ɐ s
ausenta	ɐw z ẽ t ɐ
autenticamente	ɐw t ẽ t ʃ i k ɐ m ẽ t ʃ i
autoconfiante	ɐw t o k õ f i ɐ̃ t ʃ i
axiais	ɐ k s i ɐj s
bahama	b ɐ ɐ̃ m ɐ
bangor	b ɐ̃ ɡ o ɹ
bannister	b ɐ̃ n i s t e ɹ
batidão	b ɐ t ʃ i d ɐ̃w̃
bauza	b ɐw z ɐ
bayonne	b ɐj õ n i
beatbox	b e ɐ t ʃ b o k s
beek	b e e k
beijaço	b ej ʒ ɐ s u
belgrade	b ew ɡ ɾ ɐ d ʒ i
belleville	b ew l e v iw l i
benes	b ẽ n i s
beslan	b e s l ɐ̃
beting	b e t ʃ ĩ ɡ
bilu	b i l u
bind	b ĩ d ʒ
bioinformática	b i o ĩ f o ʁ m ɐ t ʃ i k ɐ
bloguista	b l o ɡ j s t ɐ
bly	b w i
bms	b m s
bonder	b õ d e ɹ
borradas	b o ʁ ɐ d ɐ s
botinhas	b o t ʃ ĩ ɲ ɐ s
brasile	b ɾ ɐ z i l i
bratz	b ɾ ɐ t ʃ s
bravia	b ɾ ɐ v i ɐ
breed	b ɾ e e d ʒ
brilhará	b ɾ i ʎ ɐ ɾ ɐ
brings	b ɾ ĩ ɡ s
bromance	b ɾ o m ɐ̃ s i
bruschetta	b ɾ u s ʃ e t ʃ t ɐ
budas	b u d ɐ s
bushido	b u ʃ i d u
bósforo	b ɔ s f o ɾ u
caesars	k ɐj z ɐ ɹ s
cagaço	k ɐ ɡ ɐ s u
calabasas	k ɐ l ɐ b ɐ z ɐ s
canalizando	k ɐ n ɐ l i z ɐ̃ d u
canceriano	k ɐ̃ s e ɾ i ɐ̃ n u
candyman	k ɐ̃ d ʒ i m ɐ̃
capacitando	k ɐ p ɐ s i t ɐ̃ d u
caparaó	k ɐ p ɐ ɾ ɐ ɔ
capoeirista	k ɐ p o ej ɾ i s t ɐ
caramujos	k ɐ ɾ ɐ m u ʒ u s
carangola	k ɐ ɾ ɐ̃ ɡ o l ɐ
cardenas	k ɐ ʁ d ẽ n ɐ s
carismáticas	k ɐ ɾ i z m ɐ t ʃ i k ɐ s
caveirão	k ɐ v ej ɾ ɐ̃w̃
caíres	k ɐ i ɾ i s
cdn	k d ʒ n
celebrarmos	s e l e b ɾ ɐ ʁ m u s
cement	s e m ẽ t ʃ
certíssima	s e ɹ t ʃ i s ĩ m ɐ
cervi	s e ʁ v i
chalita	ʃ ɐ l i t ɐ
chapters	ʃ ɐ p t e ɹ s
charlatanismo	ʃ ɐ ɹ l ɐ t ɐ n i z m u
chattanooga	ʃ ɐ t ʃ t ɐ n o o ɡ ɐ
checada	ʃ e k ɐ d ɐ
checheno	ʃ e ʃ ẽ n u
ciclopes	s i k l o p i s
ciprestes	s i p ɾ e s t ʃ i s
classificadores	k l ɐ s i f i k ɐ d o ɾ i s
clostridium	k l o s t ɾ i d ʒ i ũ
coalas	k o ɐ l ɐ s
cobrinha	k o b ɾ ĩ ɲ ɐ
cochise	k o ʃ i z i
coenzima	k o ẽ z ĩ m ɐ
colapsos	k o l ɐ p s u s
colapsou	k o l ɐ p s ow
comerei	k o m e ɾ ej
compares	k õ p ɐ ɾ i s
compatible	k õ p ɐ t ʃ i b l i
comperj	k õ p e ʁ ʒ
competirão	k õ p e t ʃ i ɾ ɐ̃w̃
compressões	k õ p ɾ e s õj̃ s
comummente	k o m ũ m ẽ t ʃ i
conciliando	k õ s i l i ɐ̃ d u
concluida	k õ k l uj d ɐ
condenem	k õ d ẽ n ẽj̃
condensar	k õ d ẽ s ɐ ɹ
confianca	k õ f i ɐ̃ k ɐ
conhecedora	k o ɲ e s e d o ɾ ɐ
conhecereis	k o ɲ e s e ɾ ej s
consertada	k õ s e ɹ t ɐ d ɐ
consolá	k õ s o l ɐ
contentava	k õ t ẽ t ɐ v ɐ
controláveis	k õ t ɾ o l ɐ v ej s
convénio	k õ v ɛ n i u
copiá	k o p i ɐ
corneteiro	k o ʁ n e t ej ɾ u
correição	k o ʁ ej s ɐ̃w̃
cortisona	k o ɹ t ʃ i z õ n ɐ
coubesse	k ow b e s i
creiam	k ɾ ej ɐ̃w̃
cultivá	k u w t ʃ i v ɐ
cururu	k u ɾ u ɾ u
curuzu	k u ɾ u z u
cântaros	k ɐ̃ t ɐ ɾ u s
dais	d ɐj s
damned	d ɐ̃ n e d ʒ
dav	d ɐ v
decanato	d e k ɐ n ɐ t u
defiant	d e f i ɐ̃ t ʃ
deidara	d ej d ɐ ɾ ɐ
delatado	d e l ɐ t ɐ d u
delatou	d e l ɐ t ow
delos	d e l u s
demandou	d e m ɐ̃ d ow
deméter	d e m ɛ t e ɹ
dennison	d ẽ n i z õ
desbloqueados	d e z b l o k e ɐ d u s
desconexo	d e s k o n e k s u
desculpam	d e s k u w p ɐ̃w̃
desenterrado	d e z ẽ t e ʁ ɐ d u
desmoronaram	d e z m o ɾ o n ɐ ɾ ɐ̃w̃
desnorteada	d e z n o ɹ t e ɐ d ɐ
despedaçados	d e s p e d ɐ s ɐ d u s
despindo	d e s p ĩ d u
desprezaram	d e s p ɾ e z ɐ ɾ ɐ̃w̃
destruidoras	d e s t ɾ uj d o ɾ ɐ s
deutério	d ew t ɛ ɾ i u
dinarte	d ʒ ĩ n ɐ ɹ t ʃ i
diocesanas	d ʒ i o s e z ɐ̃ n ɐ s
dissecado	d ʒ i s e k ɐ d u
dobrá	d o b ɾ ɐ
dreamcast	d ɾ e ɐ̃ k ɐ s t ʃ
drip	d ɾ i p
dummy	d ũ m i
duvidem	d u v i d ẽj̃
econ	e k õ
ectópica	e k t ɔ p i k ɐ
eevee	e e v e i
eibar	ej b ɐ ɹ
elkins	ew k ĩ s
embalsamado	ẽ b ɐw s ɐ m ɐ d u
embry	ẽ b ɹ i
emm	ẽ m
empoderada	ẽ p o d e ɾ ɐ d ɐ
encobertas	ẽ k o b e ɹ t ɐ s
endurecida	ẽ d u ɾ e s i d ɐ
enganadora	ẽ ɡ ɐ n ɐ d o ɾ ɐ
engasgada	ẽ ɡ ɐ z ɡ ɐ d ɐ
entire	ẽ t ʃ i ɾ i
epo	e p u
erê	e ɾ e
escamosa	e s k ɐ m ɔ z ɐ
escolhessem	e s k o ʎ e s ẽj̃
esfolado	e s f o l ɐ d u
esfregaço	e s f ɾ e ɡ ɐ s u
especies	e s p e s i i s
espumando	e s p ũ m ɐ̃ d u
estipulações	e s t ʃ i p u l ɐ s õj̃ s
exaustivos	e z ɐw s t ʃ i v u s
except	e s s e p t ʃ
exonerada	e z o n e ɾ ɐ d ɐ
extremadura	e s t ɾ e m ɐ d u ɾ ɐ
eyshila	e i ʃ i l ɐ
fatalista	f ɐ t ɐ l i s t ɐ
fayed	f ɐj e d ʒ
façais	f ɐ s ɐj s
fcm	f k m
fcsh	f k ʃ
feitoria	f ej t o ɾ i ɐ
ferveu	f e ʁ v ew
ficássemos	f i k ɐ s e m u s
finca	f ĩ k ɐ
flausino	f l ɐw z ĩ n u
flertou	f l e ɹ t ow
fln	f w n
focava	f o k ɐ v ɐ
folder	f ow d e ɹ
fournier	f ow ʁ n i e ɹ
fredo	f ɾ e d u
fresquinhos	f ɾ e s k ĩ ɲ u s
fórceps	f ɔ ɹ s e p s
garbage	ɡ ɐ ʁ b ɐ ʒ i
garo	ɡ ɐ ɾ u
gems	ʒ ẽ s
genjutsu	ʒ ẽ ʒ u t ʃ s u
genoveva	ʒ e n o v e v ɐ
ghazal	ɡ ɐ z ɐw
givens	ʒ i v ẽ s
gois	ɡ oj s
gordurinha	ɡ o ʁ d u ɾ ĩ ɲ ɐ
gostámos	ɡ o s t ɐ m u s
gratidao	ɡ ɾ ɐ t ʃ i d ɐw
gravem	ɡ ɾ ɐ v ẽj̃
greeley	ɡ ɾ e e l e i
grigio	ɡ ɾ i ʒ i u
guernsey	ɡ e ʁ n s e i
guerrinha	ɡ e ʁ ĩ ɲ ɐ
hallie	ɐw l i
handel	ɐ̃ d ɛw
harumi	ɐ ɾ ũ m i
hauptmann	ɐw p t ʃ m ɐ̃ n
hawaiian	ɐw ɐj i ɐ̃
helping	ew p ĩ ɡ
hemodinâmica	e m o d ʒ ĩ n ɐ̃ m i k ɐ
herschel	e ɹ s ʃ ɛw
hibridização	i b ɾ i d ʒ i z ɐ s ɐ̃w̃
hiding	i d ʒ ĩ ɡ
hiei	i ej
homoparental	o m o p ɐ ɾ ẽ t ɐw
honro	õ ɾ u
horrendas	o ʁ ẽ d ɐ s
horóscopos	o ɾ ɔ s k o p u s
hoss	o s
hst	s t ʃ
huntley	ũ t l e i
ifpi	i f p i
igc	i ɡ k
ignorancia	i ɡ n o ɾ ɐ̃ s i ɐ
ilse	iw s i
imolação	ĩ m o l ɐ s ɐ̃w̃
implorado	ĩ p l o ɾ ɐ d u
inara	ĩ n ɐ ɾ ɐ
incapacitante	ĩ k ɐ p ɐ s i t ɐ̃ t ʃ i
incompreendida	ĩ k õ p ɾ e ẽ d ʒ i d ɐ
indicadora	ĩ d ʒ i k ɐ d o ɾ ɐ
infâncias	ĩ f ɐ̃ s i ɐ s
iniciações	ĩ n i s i ɐ s õj̃ s
inline	ĩ l ĩ n i
instalo	ĩ s t ɐ l u
invalidada	ĩ v ɐ l i d ɐ d ɐ
inválidas	ĩ v ɐ l i d ɐ s
iro	i ɾ u
isao	i z ɐw
ishmael	i ʃ m ɐ ɛw
isole	i z o l i
jaa	ʒ ɐ ɐ
jajá	ʒ ɐ ʒ ɐ
jonathas	ʒ o n ɐ t ɐ s
jsp	ʒ s p
jumenta	ʒ ũ m ẽ t ɐ
jundiai	ʒ ũ d ʒ i ɐj
kibe	k i b i
kirsch	k i ɹ s ʃ
kitana	k i t ɐ̃ n ɐ
kondzilla	k õ d ʒ z iw l ɐ
kpa	k p ɐ
kraven	k ɾ ɐ v ẽ
kubik	k u b i k
kwang	k w ɐ̃ ɡ
kwanzas	k w ɐ̃ z ɐ s
lagrange	l ɐ ɡ ɾ ɐ̃ ʒ i
lambia	l ɐ̃ b i ɐ
lavamos	l ɐ v ɐ̃ m u s
lawler	l ɐw l e ɹ
lca	w k ɐ
lidei	l i d ej
ligante	l i ɡ ɐ̃ t ʃ i
lipídica	l i p i d ʒ i k ɐ
lisandra	l i z ɐ̃ d ɾ ɐ
lisca	l i s k ɐ
lor	l o ɹ
lura	l u ɾ ɐ
lz	w s
lémures	l ɛ m u ɾ i s
maceira	m ɐ s ej ɾ ɐ
machucaria	m ɐ ʃ u k ɐ ɾ i ɐ
maioritária	m ɐj o ɾ i t ɐ ɾ i ɐ
maleáveis	m ɐ l e ɐ v ej s
malheiro	m ɐ ʎ ej ɾ u
malhoa	m ɐ ʎ o ɐ
manama	m ɐ n ɐ̃ m ɐ
manete	m ɐ n e t ʃ i
maraca	m ɐ ɾ ɐ k ɐ
mariska	m ɐ ɾ i s k ɐ
mav	m ɐ v
mccandless	m k k ɐ̃ d l e s
mcr	m k ɹ
mediúnica	m e d ʒ i u n i k ɐ
mejores	m e ʒ o ɾ i s
menospreze	m e n o s p ɾ e z i
metoo	m e t o u
metrônomo	m e t ɾ o n o m u
micheli	m i ʃ e l i
micronutrientes	m i k ɾ o n u t ɾ i ẽ t ʃ i s
micção	m i k s ɐ̃w̃
milito	m i l i t u
minimizada	m ĩ n ĩ m i z ɐ d ɐ
minimizado	m ĩ n ĩ m i z ɐ d u
mobilizem	m o b i l i z ẽj̃
molenga	m o l ẽ ɡ ɐ
moms	m õ s
monopoly	m õ n o p ow i
montfort	m õ t ʃ f o ɹ t ʃ
mormont	m o ʁ m õ t ʃ
mosaica	m ɔ z ɐj k ɐ
motu	m o t u
msnbc	m z n b k
mudarei	m u d ɐ ɾ ej
muitissimo	m uj t ʃ i s ĩ m u
muitoooo	m uj t o o o u
multilinguismo	m u w t ʃ i l ĩ ɡ j z m u
multiplex	m u w t ʃ i p l e k s
naify	n ɐj f i
nascerão	n ɐ s e ɾ ɐ̃w̃
nast	n ɐ s t ʃ
nathy	n ɐ t i
nigerianas	n i ʒ e ɾ i ɐ̃ n ɐ s
nio	n i u
notarial	n o t ɐ ɾ i ɐw
nougat	n ow ɡ ɐ t ʃ
nucleo	n u k l e u
nísia	n i z i ɐ
obj	o b ʒ
obrigadinho	o b ɾ i ɡ ɐ d ʒ ĩ ɲ u
obturação	o b t u ɾ ɐ s ɐ̃w̃
obvia	o b v i ɐ
oceânicos	o s e ɐ̃ n i k u s
och	o ʃ
ofendidas	o f ẽ d ʒ i d ɐ s
ogx	o ɡ k s
olcott	ow k o t ʃ t ʃ
olfativo	ow f ɐ t ʃ i v u
olhadas	o ʎ ɐ d ɐ s
omari	o m ɐ ɾ i
opioides	o p i oj d ʒ i s
opressões	o p ɾ e s õj̃ s
orm	o ʁ m
osha	o ʃ ɐ
ouattara	ow ɐ t ʃ t ɐ ɾ ɐ
ouvíamos	ow v i ɐ m u s
padeira	p ɐ d ej ɾ ɐ
paia	p ɐj ɐ
palitinho	p ɐ l i t ʃ ĩ ɲ u
paqueras	p ɐ k e ɾ ɐ s
parce	p ɐ ɹ s i
pareçe	p ɐ ɾ e s i
parido	p ɐ ɾ i d u
parking	p ɐ ɹ k ĩ ɡ
penalizada	p e n ɐ l i z ɐ d ɐ
pens	p ẽ s
perdoaram	p e ʁ d o ɐ ɾ ɐ̃w̃
pesquei	p e s k ej
petiscar	p e t ʃ i s k ɐ ɹ
phipps	f i p p s
piatã	p i ɐ t ɐ̃
pigossi	p i ɡ o s i
pinhalzinho	p ĩ ɲ ɐw z ĩ ɲ u
pinkie	p ĩ k i
pirraça	p i ʁ ɐ s ɐ
piçarras	p i s ɐ ʁ ɐ s
plato	p l ɐ t u
poeticamente	p o e t ʃ i k ɐ m ẽ t ʃ i
poitiers	p oj t ʃ i e ɹ s
polônio	p o l o n i u
ponciano	p õ s i ɐ̃ n u
ponderando	p õ d e ɾ ɐ̃ d u
pontuador	p õ t u ɐ d o ɹ
porosos	p o ɾ o z u s
posiçao	p o z i s ɐw
postgresql	p o s t ʃ ɡ ɾ e s k w
precises	p ɾ e s i z i s
precursoras	p ɾ e k u ɹ s o ɾ ɐ s
presidiária	p ɾ e z i d ʒ i ɐ ɾ i ɐ
prestigiando	p ɾ e s t ʃ i ʒ i ɐ̃ d u
presumiu	p ɾ e z ũ m iw
principezinho	p ɾ ĩ s i p e z ĩ ɲ u
prisao	p ɾ i z ɐw
procuremos	p ɾ o k u ɾ ẽ m u s
prolactina	p ɾ o l ɐ k t ʃ ĩ n ɐ
providas	p ɾ o v i d ɐ s
psirico	p s i ɾ i k u
ptdob	p t ʃ d o b
pti	p t ʃ i
pubmed	p u b m e d ʒ
puerpério	p u e ɹ p ɛ ɾ i u
pularem	p u l ɐ ɾ ẽj̃
putinho	p u t ʃ ĩ ɲ u
pz	p s
páis	p ɐj s
quimico	k ĩ m i k u
raba	ʁ ɐ b ɐ
radek	ʁ ɐ d e k
radisson	ʁ ɐ d ʒ i s õ
rajá	ʁ ɐ ʒ ɐ
raptores	ʁ ɐ p t o ɾ i s
reaproveitados	ʁ e ɐ p ɾ o v ej t ɐ d u s
reavivamento	ʁ e ɐ v i v ɐ m ẽ t u
rech	ʁ e ʃ
reconfigurar	ʁ e k õ f i ɡ u ɾ ɐ ɹ
recuerdos	ʁ e k u e ʁ d u s
reescreve	ʁ e e s k ɾ e v i
relacionaram	ʁ e l ɐ s i o n ɐ ɾ ɐ̃w̃
reliant	ʁ e l i ɐ̃ t ʃ
remarkable	ʁ e m ɐ ɹ k ɐ b l i
renascida	ʁ e n ɐ s i d ɐ
repararem	ʁ e p ɐ ɾ ɐ ɾ ẽj̃
repelem	ʁ e p e l ẽj̃
representative	ʁ e p ɾ e z ẽ t ɐ t ʃ i v i
reprovei	ʁ e p ɾ o v ej
restabeleça	ʁ e s t ɐ b e l e s ɐ
restaure	ʁ e s t ɐw ɾ i
retorcido	ʁ e t o ɹ s i d u
reunisse	ʁ e ũ n i s i
reutilizada	ʁ ew t ʃ i l i z ɐ d ɐ
revejam	ʁ e v e ʒ ɐ̃w̃
reviveram	ʁ e v i v e ɾ ɐ̃w̃
riario	ʁ i ɐ ɾ i u
rifkin	ʁ i f k ĩ
rigoletto	ʁ i ɡ o l e t ʃ t u
riki	ʁ i k i
riodejaneiro	ʁ i o d e ʒ ɐ n ej ɾ u
risadinhas	ʁ i z ɐ d ʒ ĩ ɲ ɐ s
rodizio	ʁ o d ʒ i z i u
rolinha	ʁ o l ĩ ɲ ɐ
rona	ʁ õ n ɐ
rosnando	ʁ o z n ɐ̃ d u
roz	ʁ ɔj s
rutledge	ʁ u t l e d ʒ ʒ i
salamander	s ɐ l ɐ m ɐ̃ d e ɹ
salsichão	s ɐw s i ʃ ɐ̃w̃
sangues	s ɐ̃ ɡ i s
sarcasticamente	s ɐ ɹ k ɐ s t ʃ i k ɐ m ẽ t ʃ i
satin	s ɐ t ʃ ĩ
sausalito	s ɐw z ɐ l i t u
schweinsteiger	s ʃ w e ĩ s t ej ʒ e ɹ
scm	s k m
seagate	s e ɐ ɡ ɐ t ʃ i
secarem	s e k ɐ ɾ ẽj̃
segundinho	s e ɡ ũ d ʒ ĩ ɲ u
seje	s e ʒ i
senciente	s ẽ s i ẽ t ʃ i
serraglio	s e ʁ ɐ ɡ l i u
seuss	s ew s
sheron	ʃ e ɾ õ
siamesas	s i ɐ m e z ɐ s
sidarta	s i d ɐ ɹ t ɐ
sidrolândia	s i d ɾ o l ɐ̃ d ʒ i ɐ
slug	s l u ɡ
somin	s o m ĩ
soubeste	s ow b e s t ʃ i
spec	s p e k
spengler	s p ẽ ɡ l e ɹ
squirrel	s k j ʁ ɛw
stamper	s t ɐ̃ p e ɹ
stevia	s t e v i ɐ
stopped	s t o p p e d ʒ
strix	s t ɾ i k s
strode	s t ɾ o d ʒ i
stromberg	s t ɾ õ b e ʁ ɡ
subornados	s u b o ʁ n ɐ d u s
subornou	s u b o ʁ n ow
subtileza	s u b t ʃ i l e z ɐ
summary	s ũ m ɐ ɹ i
surtado	s u ɹ t ɐ d u
sylvain	s iw v ɐ ĩ
taiko	t ɐj k u
tajiques	t ɐ ʒ i k i s
també	t ɐ̃ b ɛ
tancos	t ɐ̃ k u s
tejadilho	t e ʒ ɐ d ʒ i ʎ u
tensei	t ẽ s ej
teodósio	t e o d ɔ z i u
thanatos	t ɐ n ɐ t u s
torrentes	t o ʁ ẽ t ʃ i s
totta	t o t ʃ t ɐ
transformassem	t ɾ ɐ̃ s f o ʁ m ɐ s ẽj̃
transmitimos	t ɾ ɐ̃ z m i t ʃ ĩ m u s
transporto	t ɾ ɐ̃ s p o ɹ t u
trituração	t ɾ i t u ɾ ɐ s ɐ̃w̃
trix	t ɾ i k s
trufado	t ɾ u f ɐ d u
tugas	t u ɡ ɐ s
turne	t u ʁ n i
tussauds	t u s ɐw d ʒ s
tuto	t u t u
tyga	t ʃ i ɡ ɐ
ultrapassará	u w t ɾ ɐ p ɐ s ɐ ɾ ɐ
unificou	ũ n i f i k ow
uzbeques	u z b e k i s
vedes	v e d ʒ i s
vidigueira	v i d ʒ i ɡ ej ɾ ɐ
vigilia	v i ʒ i l i ɐ
viravam	v i ɾ ɐ v ɐ̃w̃
viris	v i ɾ i j s
visualizam	v i z u ɐ l i z ɐ̃w̃
vlc	v w k
volcano	v ɔ w k ɐ̃ n u
vomitava	v o m i t ɐ v ɐ
vovós	v o v ɔ s
wale	w ɐ l i
walla	w ɐw l ɐ
wham	w ɐ̃w̃
woodcock	w o o d ʒ k o k k
woodsen	w o o d ʒ s ẽ
yesung	j e z ũ ɡ
yondu	j õ d u
zahra	z ɐ ɾ ɐ
zaira	z ɐj ɾ ɐ
ziad	z i ɐ d ʒ
zoação	z o ɐ s ɐ̃w̃
zueira	z u ej ɾ ɐ
áquila	ɐ k j l ɐ
éderson	ɛ d e ɹ s õ
aai	ɐ ɐj
abaetetuba	ɐ b ɐj t e t u b ɐ
abarcando	ɐ b ɐ ɹ k ɐ̃ d u
abcesso	ɐ b s e s u
abraçarem	ɐ b ɾ ɐ s ɐ ɾ ẽj̃
acelerômetro	ɐ s e l e ɾ o m e t ɾ u
achaste	ɐ ʃ ɐ s t ʃ i
acinzentada	ɐ s ĩ z ẽ t ɐ d ɐ
acoplagem	ɐ k o p l ɐ ʒ ẽj̃
acreditávamos	ɐ k ɾ e d ʒ i t ɐ v ɐ m u s
acrônimos	ɐ k ɾ o n ĩ m u s
adelante	ɐ d e l ɐ̃ t ʃ i
adieu	ɐ d ʒ i ew
admitisse	ɐ d ʒ m i t ʃ i s i
adoecendo	ɐ d o e s ẽ d u
adolescencia	ɐ d o l e s ẽ s i ɐ
adormecia	ɐ d o ʁ m e s i ɐ
adpf	ɐ d ʒ p f
afinando	ɐ f ĩ n ɐ̃ d u
agasalhar	ɐ ɡ ɐ z ɐ ʎ ɐ ɹ
agrimensor	ɐ ɡ ɾ ĩ m ẽ s o ɹ
akhtar	ɐ k t ɐ ɹ
akuma	ɐ k ũ m ɐ
alarmou	ɐ l ɐ ʁ m ow
