de	d e
toe	t o e
transmitirle	t ɾ a n s m i t i ɾ l e
trav	t ɾ a b
tribunos	t ɾ i b u n o s
tropezando	t ɾ o p e s a n d o
tumbaron	t u m b a ɾ o n
tut	t u t
tómame	t o m a m e
uchiha	u t͡ʃ i a
ultramarinos	u l t ɾ a m a ɾ i n o s
unipersonales	u n i p e ɾ s o n a l e s
usc	u s k
usda	u s d a
utero	u t e ɾ o
utilizándose	u t i l i s a n d o s e
vadillo	b a d i ʝ o
veraces	b e ɾ a s e s
verificará	b e ɾ i f i k a ɾ a
versailles	b e ɾ s a i ʝ e s
vienna	b j e n n a
visconti	b i s k o n t i
volara	b o l a ɾ a
voltean	b o l t e a n
volved	b o l b e d
volvieras	b o l b j e ɾ a s
wta	u t a
yap	ʝ a p
zonda	s o n d a
zuma	s u m a
abdalá	a b d a l a
abl	a b l
abordarlo	a b o ɾ d a ɾ l o
abrirlas	a b ɾ i ɾ l a s
acatan	a k a t a n
acrecienta	a k ɾ e s j e n t a
acreditarse	a k ɾ e d i t a ɾ s e
acumulaba	a k u m u l a b a
adelantaba	a d e l a n t a b a
admision	a d m i s j o n
adrienne	a d ɾ j e n n e
aferrándose	a f e r a n d o s e
aferró	a f e r o
agregándole	a ɡ ɾ e ɡ a n d o l e
agrupó	a ɡ ɾ u p o
aguadilla	a ɡ w a d i ʝ a
aia	a j a
albos	a l b o s
alcaldia	a l k a l d j a
alda	a l d a
alegrará	a l e ɡ ɾ a ɾ a
alejarlo	a l e x a ɾ l o
alfareros	a l f a ɾ e ɾ o s
alger	a l x e ɾ
alquilaba	a l k i l a b a
alterarse	a l t e ɾ a ɾ s e
alyson	a l i s o n
anchorena	a n t͡ʃ o ɾ e n a
animaban	a n i m a b a n
aniston	a n i s t o n
anteproyectos	a n t e p ɾ o ʝ e ɡ t o s
antinarcóticos	a n t i n a ɾ k o t i k o s
aplaudía	a p l a u d i a
armenias	a ɾ m e n j a s
arregui	a r e ɡ i
atacará	a t a k a ɾ a
atrapo	a t ɾ a p o
autonomia	a u t o n o m j a
autovías	a u t o b i a s
averigüé	a b e ɾ i ɡ w e
añadiremos	a ɲ a d i ɾ e m o s
añadiéndole	a ɲ a d j e n d o l e
babies	b a b j e s
bacca	b a k a
baku	b a k u
barone	b a ɾ o n e
basel	b a s e l
bayan	b a ʝ a n
beban	b e b a n
becerros	b e s e r o s
beg	b e ɡ
benet	b e n e t
bertone	b e ɾ t o n e
bertram	b e ɾ t ɾ a m
biedma	b j e d m a
blau	b l a u
boon	b u n
borlas	b o ɾ l a s
brincos	b ɾ i n k o s
brindarnos	b ɾ i n d a ɾ n o s
bronson	b ɾ o n s o n
bruguera	b ɾ u ɡ e ɾ a
bufetes	b u f e t e s
bugatti	b u ɡ a t i
bulos	b u l o s
calcularse	k a l k u l a ɾ s e
calida	k a l i d a
calificacion	k a l i f i k a s j o n
campestres	k a m p e s t ɾ e s
capellanes	k a p e ʝ a n e s
caricaturistas	k a ɾ i k a t u ɾ i s t a s
carneiro	k a ɾ n e i ɾ o
cartulinas	k a ɾ t u l i n a s
carísimos	k a ɾ i s i m o s
cassettes	k a s e t
catalonia	k a t a l o n j a
cavaliers	k a b a l j e ɾ s
cerciorarse	s e ɾ s j o ɾ a ɾ s e
cernuda	s e ɾ n u d a
cham	t͡ʃ a m
chamberí	t͡ʃ a m b e ɾ i
character	t͡ʃ a ɾ a ɡ t e ɾ
charley	t͡ʃ a ɾ l e i
chascomús	t͡ʃ a s k o m u s
chichas	t͡ʃ i t͡ʃ a s
chistosas	t͡ʃ i s t o s a s
clément	k l e m e n
colapsaron	k o l a b s a ɾ o n
colciencias	k o l s j e n s j a s
compartiera	k o m p a ɾ t j e ɾ a
complacen	k o m p l a s e n
computacion	k o m p u t a s j o n
confies	k o n f j e s
congestionado	k o n x e s t j o n a d o
conroy	k o n r o i
consoladores	k o n s o l a d o ɾ e s
consultarle	k o n s u l t a ɾ l e
contestaría	k o n t e s t a ɾ i a
copié	k o p j e
corbett	k o ɾ b e t
corbusier	k o ɾ b u s j e ɾ
coronando	k o ɾ o n a n d o
cortines	k o ɾ t i n e s
crater	k ɾ a t e ɾ
creanme	k ɾ e a m m e
crearían	k ɾ e a ɾ i a n
crepes	k ɾ e p e s
crist	k ɾ i s t
crédulos	k ɾ e d u l o s
cuidaré	k w i d a ɾ e
cushing	k u ʃ i n
céntrate	s e n t ɾ a t e
debutantes	d e b u t a n t e s
decirselo	d e s i ɾ s e l o
declaré	d e k l a ɾ e
decrecientes	d e k ɾ e s j e n t e s
demostraremos	d e m o s t ɾ a ɾ e m o s
demóstenes	d e m o s t e n e s
denunciara	d e n u n s j a ɾ a
denunciará	d e n u n s j a ɾ a
denuncié	d e n u n s j e
depositantes	d e p o s i t a n t e s
derretirse	d e r e t i ɾ s e
desactivó	d e s a ɡ t i b o
desafiaron	d e s a f j a ɾ o n
desangra	d e s a n ɡ ɾ a
desarmó	d e s a ɾ m o
desconoces	d e s k o n o s e s
desearíamos	d e s e a ɾ i a m o s
desempeñen	d e s e m p e ɲ e n
desgarró	d e s ɡ a r o
designará	d e s i ɡ n a ɾ a
desinteresados	d e s i n t e ɾ e s a d o s
deslizando	d e s l i s a n d o
despegando	d e s p e ɡ a n d o
desperdició	d e s p e ɾ d i s j o
destruimos	d e s t ɾ w i m o s
destruirnos	d e s t ɾ w i ɾ n o s
desvelan	d e s b e l a n
developer	d e b e l o p e ɾ
devlin	d e b l i n
diatribas	d j a t ɾ i b a s
disparidades	d i s p a ɾ i d a d e s
diuréticos	d j u ɾ e t i k o s
dividan	d i b i d a n
dolia	d o l j a
domiciliarios	d o m i s i l j a ɾ j o s
educational	e d u k a t j o n a l
efectuaba	e f e ɡ t w a b a
eid	e i d
electrodomesticos	e l e ɡ t ɾ o d o m e s t i k o s
encabezará	e n k a b e s a ɾ a
enid	e n i d
enojaron	e n o x a ɾ o n
enseñare	e n s e ɲ a ɾ e
enseñarlo	e n s e ɲ a ɾ l o
entretengo	e n t ɾ e t e n ɡ o
envolturas	e m b o l t u ɾ a s
eon	e o n
eones	e o n e s
ephraim	e f ɾ a i m
equi	e k i
escojas	e s k o x a s
escozor	e s k o s o ɾ
esme	e s m e
espinosas	e s p i n o s a s
estacionó	e s t a s j o n o
estilísticas	e s t i l i s t i k a s
estilísticos	e s t i l i s t i k o s
evadió	e b a d j o
example	e ɡ s a m p l e
excelencias	e ɡ s e l e n s j a s
exdiputado	e ɡ s d i p u t a d o
exigirse	e ɡ s i x i ɾ s e
explotadora	e ɡ s p l o t a d o ɾ a
facilitara	f a s i l i t a ɾ a
falleciera	f a ʝ e s j e ɾ a
famicom	f a m i k o m
farnesio	f a ɾ n e s j o
fawcett	f a u s e t
finale	f i n a l e
fip	f i p
flashea	f l a ʃ e a
floreros	f l o ɾ e ɾ o s
fluyan	f l u ʝ a n
fob	f o b
fool	f u l
formaliza	f o ɾ m a l i s a
fortress	f o ɾ t ɾ e s
fortuny	f o ɾ t u n i
fot	f o t
fracasadas	f ɾ a k a s a d a s
gaditanos	ɡ a d i t a n o s
gagarin	ɡ a ɡ a ɾ i n
gajos	ɡ a x o s
galego	ɡ a l e ɡ o
galilei	ɡ a l i l e i
ganándole	ɡ a n a n d o l e
garcas	ɡ a ɾ k a s
golpearte	ɡ o l p e a ɾ t e
gora	ɡ o ɾ a
gotea	ɡ o t e a
graduacion	ɡ ɾ a d w a s j o n
greenwood	ɡ ɾ i n w u d
guta	ɡ u t a
hebillas	e b i ʝ a s
hermafroditas	e ɾ m a f ɾ o d i t a s
hipocresia	i p o k ɾ e s j a
hulu	u l u
huyera	u ʝ e ɾ a
iac	ʝ a k
icfes	i ɡ f e s
idiot	i d j o t
ilusionista	i l u s j o n i s t a
imaginaros	i m a x i n a ɾ o s
impensables	i m p e n s a b l e s
imputables	i m p u t a b l e s
impíos	i m p i o s
inauguramos	i n a u ɡ u ɾ a m o s
incidentalmente	i n s i d e n t a l m e n t e
infunde	i n f u n d e
iniciaban	i n i s j a b a n
inminencia	i m m i n e n s j a
inspeccion	i n s p e ɡ s j o n
instructivos	i n s t ɾ u ɡ t i b o s
intervenía	i n t e ɾ b e n i a
introvertida	i n t ɾ o b e ɾ t i d a
inunde	i n u n d e
invadan	i m b a d a n
involuntarias	i m b o l u n t a ɾ j a s
inyeccion	i n ʝ e ɡ s j o n
ironico	i ɾ o n i k o
jafar	x a f a ɾ
jalil	x a l i l
jeannette	x e a n e t
jerjes	x e ɾ x e s
joh	x o
jujeño	x u x e ɲ o
juntarte	x u n t a ɾ t e
jur	x u ɾ
jw	x u
karan	k a ɾ a n
kata	k a t a
keniano	k e n j a n o
kills	k i l s
kilombo	k i l o m b o
lacroix	l a k ɾ o i ɡ s
lafourcade	l a f o u ɾ k a d e
lamont	l a m o n
laplace	l a p l a s e
lavarla	l a b a ɾ l a
lazarus	l a s a ɾ u s
leerás	l e e ɾ a s
letrán	l e t ɾ a n
liaoning	l j a o n i n
liberas	l i b e ɾ a s
librerias	l i b ɾ e ɾ j a s
ligaduras	l i ɡ a d u ɾ a s
ligó	l i ɡ o
llevaras	ʝ e b a ɾ a s
logitech	l o x i t e t͡ʃ
macacos	m a k a k o s
madhya	m a d ʝ a
magnetto	m a ɡ n e t o
mandaremos	m a n d a ɾ e m o s
manolete	m a n o l e t e
manon	m a n o n
maslow	m a s l o u
maternales	m a t e ɾ n a l e s
maurizio	m a u ɾ i s j o
medulares	m e d u l a ɾ e s
mehdi	m e d i
menaje	m e n a x e
mencía	m e n s i a
mendocina	m e n d o s i n a
metaleros	m e t a l e ɾ o s
meterles	m e t e ɾ l e s
microorganismo	m i k ɾ o o ɾ ɡ a n i s m o
miku	m i k u
milenarios	m i l e n a ɾ j o s
milner	m i l n e ɾ
mirrey	m i r e i
mió	m j o
mockus	m o k u s
monolítica	m o n o l i t i k a
monserrate	m o n s e r a t e
montañeros	m o n t a ɲ e ɾ o s
monza	m o n s a
mooc	m u k
mue	m w e
muscle	m u s k l e
musico	m u s i k o
mutualistas	m u t w a l i s t a s
mysterio	m i s t e ɾ j o
nador	n a d o ɾ
neck	n e k
nei	n e i
nery	n e ɾ i
nest	n e s t
nomad	n o m a d
obsesion	o b s e s j o n
obtusa	o b t u s a
odontólogos	o d o n t o l o ɡ o s
ofertan	o f e ɾ t a n
ofreciéndose	o f ɾ e s j e n d o s e
olinda	o l i n d a
ophelia	o f e l j a
opresion	o p ɾ e s j o n
opten	o b t e n
organic	o ɾ ɡ a n i k
organizándose	o ɾ ɡ a n i s a n d o s e
orlov	o ɾ l o b
orne	o ɾ n e
ortuño	o ɾ t u ɲ o
oscureció	o s k u ɾ e s j o
pagándole	p a ɡ a n d o l e
pang	p a n
pantorrillas	p a n t o r i ʝ a s
parliament	p a ɾ l j a m e n
pasarles	p a s a ɾ l e s
pasáis	p a s a i s
pdt	p e d e t e
pelearte	p e l e a ɾ t e
perfilando	p e ɾ f i l a n d o
perjudicará	p e ɾ x u d i k a ɾ a
permanecí	p e ɾ m a n e s i
permití	p e ɾ m i t i
perpetró	p e ɾ p e t ɾ o
peruvian	p e ɾ u b j a n
petroglifos	p e t ɾ o ɡ l i f o s
pichu	p i t͡ʃ u
pigs	p i ɡ s
pilots	p i l o t s
pins	p i n s
pisoteando	p i s o t e a n d o
plummer	p l u m e ɾ
plá	p l a
porcel	p o ɾ s e l
porsupuesto	p o ɾ s u p w e s t o
posiblidad	p o s i b l i d a d
potosina	p o t o s i n a
prestarán	p ɾ e s t a ɾ a n
presunciones	p ɾ e s u n s j o n e s
principes	p ɾ i n s i p e s
procesamientos	p ɾ o s e s a m j e n t o s
prolongará	p ɾ o l o n ɡ a ɾ a
propicios	p ɾ o p i s j o s
protesten	p ɾ o t e s t e n
provocarle	p ɾ o b o k a ɾ l e
publicándose	p u b l i k a n d o s e
púrpuras	p u ɾ p u ɾ a s
qian	k j a n
quen	k e n
quilpué	k i l p w e
ragnarok	r a ɡ n a ɾ o k
rah	r a
ravens	r a b e n s
razonando	r a s o n a n d o
reaccionas	r e a ɡ s j o n a s
realengo	r e a l e n ɡ o
realizarlos	r e a l i s a ɾ l o s
reaparecen	r e a p a ɾ e s e n
rebaje	r e b a x e
reciclando	r e s i k l a n d o
recoges	r e k o x e s
reconstruyó	r e k o n s t ɾ u ʝ o
reef	r i f
reencuentra	r e e n k w e n t ɾ a
regalarme	r e ɡ a l a ɾ m e
regantes	r e ɡ a n t e s
reichstag	r e i t͡ʃ s t a ɡ
reirte	r e i ɾ t e
reiría	r e i ɾ i a
rennes	r e n n e s
renueven	r e n w e b e n
repertorios	r e p e ɾ t o ɾ j o s
replicas	r e p l i k a s
resaltaba	r e s a l t a b a
resaltaron	r e s a l t a ɾ o n
residan	r e s i d a n
retroactividad	r e t ɾ o a ɡ t i b i d a d
revisionistas	r e b i s j o n i s t a s
revuelven	r e b w e l b e n
rilke	r i l k e
rocía	r o s i a
rombos	r o m b o s
saboteadores	s a b o t e a d o ɾ e s
sacudía	s a k u d i a
saldran	s a l d ɾ a n
salías	s a l i a s
sarten	s a ɾ t e n
seguimientos	s e ɡ i m j e n t o s
selina	s e l i n a
senderistas	s e n d e ɾ i s t a s
servel	s e ɾ b e l
shabab	ʃ a b a b
shanti	ʃ a n t i
siganme	s i ɡ a m m e
sintetizan	s i n t e t i s a n
sintra	s i n t ɾ a
slo	e s l o
sociale	s o s j a l e
socrates	s o k ɾ a t e s
soltarte	s o l t a ɾ t e
sont	s o n t
sse	e s e
stradivarius	e s t ɾ a d i b a ɾ j u s
strippers	e s t ɾ i p e ɾ s
suprimieron	s u p ɾ i m j e ɾ o n
surprise	s u ɾ p ɾ i s e
suscriban	s u s k ɾ i b a n
suscripto	s u s k ɾ i b t o
séptica	s e b t i k a
tabernero	t a b e ɾ n e ɾ o
tactics	t a ɡ t i ɡ s
tami	t a m i
tati	t a t i
tdc	t e d e s e
tiem	t j e m
tits	t i t s
tláhuac	t l a w a k
tocándose	t o k a n d o s e
torreblanca	t o r e b l a n k a
torreon	t o r e o n
traicione	t ɾ a i s j o n e
transmitirán	t ɾ a n s m i t i ɾ a n
transportaron	t ɾ a n s p o ɾ t a ɾ o n
tretas	t ɾ e t a s
tricia	t ɾ i s j a
tudo	t u d o
tumultos	t u m u l t o s
turistico	t u ɾ i s t i k o
turros	t u r o s
ubicándose	u b i k a n d o s e
unifamiliares	u n i f a m i l j a ɾ e s
vaciaron	b a s j a ɾ o n
valses	b a l s e s
vanderbilt	b a n d e ɾ b i l t
variará	b a ɾ j a ɾ a
variety	b a ɾ j e t i
veronika	b e ɾ o n i k a
villalón	b i ʝ a l o n
zia	s j a
ziggy	s i ɡ i
zimmer	s i m e ɾ
ça	s a
abandonarán	a b a n d o n a ɾ a n
abla	a b l a
acentuando	a s e n t w a n d o
aceptase	a s e b t a s e
acting	a ɡ t i n
acuciantes	a k u s j a n t e s
acudiera	a k u d j e ɾ a
adama	a d a m a
adelanté	a d e l a n t e
ades	a d e s
adivinó	a d i b i n o
admisibles	a d m i s i b l e s
adquirirlo	a d k i ɾ i ɾ l o
advertirles	a d b e ɾ t i ɾ l e s
afanaron	a f a n a ɾ o n
ajusco	a x u s k o
alai	a l a i
alarmarse	a l a ɾ m a ɾ s e
alarmó	a l a ɾ m o
albergando	a l b e ɾ ɡ a n d o
aldunate	a l d u n a t e
aliente	a l j e n t e
allanando	a ʝ a n a n d o
amemos	a m e m o s
ancelotti	a n s e l o t i
angle	a n ɡ l e
anillas	a n i ʝ a s
apagara	a p a ɡ a ɾ a
aparearse	a p a ɾ e a ɾ s e
aparté	a p a ɾ t e
apristas	a p ɾ i s t a s
aprobaban	a p ɾ o b a b a n
arizpe	a ɾ i s p e
arrabales	a r a b a l e s
arreglara	a r e ɡ l a ɾ a
arribando	a r i b a n d o
arrolló	a r o ʝ o
arteta	a ɾ t e t a
asiq	a s i k
asturianas	a s t u ɾ j a n a s
asumas	a s u m a s
asustas	a s u s t a s
atacamos	a t a k a m o s
attention	a t e n t j o n
atun	a t u n
ausentó	a u s e n t o
avro	a b ɾ o
babu	b a b u
bachelor	b a t͡ʃ e l o ɾ
barbarroja	b a ɾ b a r o x a
barcazas	b a ɾ k a s a s
bardeo	b a ɾ d e o
bati	b a t i
beisbolista	b e i s b o l i s t a
belize	b e l i s e
bera	b e ɾ a
bilal	b i l a l
biogás	b j o ɡ a s
blanquea	b l a n k e a
blasones	b l a s o n e s
bochas	b o t͡ʃ a s
boscosas	b o s k o s a s
boyas	b o ʝ a s
brasileiro	b ɾ a s i l e i ɾ o
brescia	b ɾ e s j a
bromeo	b ɾ o m e o
caa	k a a
cafes	k a f e s
calculos	k a l k u l o s
calentitos	k a l e n t i t o s
calhoun	k a l o u n
cansaré	k a n s a ɾ e
carbonatos	k a ɾ b o n a t o s
carmichael	k a ɾ m i t͡ʃ a e l
carondelet	k a ɾ o n d e l e t
carrer	k a r e ɾ
casacas	k a s a k a s
caspe	k a s p e
caucásicos	k a u k a s i k o s
cenotes	s e n o t e s
censuren	s e n s u ɾ e n
centraban	s e n t ɾ a b a n
chamas	t͡ʃ a m a s
chingos	t͡ʃ i n ɡ o s
chuan	t͡ʃ w a n
chulería	t͡ʃ u l e ɾ i a
cide	s i d e
ciper	s i p e ɾ
circundan	s i ɾ k u n d a n
citen	s i t e n
civica	s i b i k a
clinicas	k l i n i k a s
cobresal	k o b ɾ e s a l
codazos	k o d a s o s
cogio	k o x j o
colocarlas	k o l o k a ɾ l a s
comenzase	k o m e n s a s e
comodines	k o m o d i n e s
competen	k o m p e t e n
compraran	k o m p ɾ a ɾ a n
comprendería	k o m p ɾ e n d e ɾ i a
comérselo	k o m e ɾ s e l o
concentrará	k o n s e n t ɾ a ɾ a
concibieron	k o n s i b j e ɾ o n
conformarme	k o n f o ɾ m a ɾ m e
confraternidad	k o n f ɾ a t e ɾ n i d a d
conllevaba	k o n ʝ e b a b a
conocian	k o n o s j a n
considerarme	k o n s i d e ɾ a ɾ m e
contad	k o n t a d
contanos	k o n t a n o s
contrataban	k o n t ɾ a t a b a n
convergència	k o m b e ɾ x e n s j a
conéctate	k o n e ɡ t a t e
coníferas	k o n i f e ɾ a s
coptos	k o b t o s
cosito	k o s i t o
cosmopolitismo	k o s m o p o l i t i s m o
crios	k ɾ j o s
crossroads	k ɾ o s r o a d s
csv	s e ɛ s b e
cubs	k u b s
cucharaditas	k u t͡ʃ a ɾ a d i t a s
culiacan	k u l j a k a n
culparlos	k u l p a ɾ l o s
curaba	k u ɾ a b a
dancer	d a n s e ɾ
debeis	d e b e i s
decepciono	d e s e b s j o n o
decretaron	d e k ɾ e t a ɾ o n
decídete	d e s i d e t e
degree	d e ɡ ɾ e e
delaney	d e l a n e i
demostrarnos	d e m o s t ɾ a ɾ n o s
derrotarlos	d e r o t a ɾ l o s
desagua	d e s a ɡ w a
desanime	d e s a n i m e
descansas	d e s k a n s a s
descomponerse	d e s k o m p o n e ɾ s e
describan	d e s k ɾ i b a n
describí	d e s k ɾ i b i
desfiló	d e s f i l o
desnudan	d e s n u d a n
despoblados	d e s p o b l a d o s
desu	d e s u
detectarse	d e t e ɡ t a ɾ s e
detecten	d e t e ɡ t e n
deterioran	d e t e ɾ j o ɾ a n
deza	d e s a
difamando	d i f a m a n d o
difusas	d i f u s a s
discontinua	d i s k o n t i n w a
discrepantes	d i s k ɾ e p a n t e s
disensiones	d i s e n s j o n e s
diseñe	d i s e ɲ e
disfrutéis	d i s f ɾ u t e i s
disimularlo	d i s i m u l a ɾ l o
disoluciones	d i s o l u s j o n e s
distinga	d i s t i n ɡ a
divagaciones	d i b a ɡ a s j o n e s
doblaba	d o b l a b a
dogmáticos	d o ɡ m a t i k o s
domiciliarias	d o m i s i l j a ɾ j a s
dormirá	d o ɾ m i ɾ a
duplex	d u p l e ɡ s
echándose	e t͡ʃ a n d o s e
edenor	e d e n o ɾ
efectúen	e f e ɡ t u e n
eiji	e i x i
eliminaba	e l i m i n a b a
elos	e l o s
emilie	e m i l j e
encajaban	e n k a x a b a n
encurtidos	e n k u ɾ t i d o s
enemy	e n e m i
enfoquen	e n f o k e n
ennis	e n n i s
enoch	e n o t͡ʃ
enredó	e n r e d o
ensayistas	e n s a ʝ i s t a s
entona	e n t o n a
entrarás	e n t ɾ a ɾ a s
entremeses	e n t ɾ e m e s e s
enviándole	e m b j a n d o l e
equívocos	e k i b o k o s
eritrocitos	e ɾ i t ɾ o s i t o s
escorrentía	e s k o r e n t i a
esparcieron	e s p a ɾ s j e ɾ o n
estatut	e s t a t u t
estropee	e s t ɾ o p e e
eth	e t
etiquetando	e t i k e t a n d o
examinen	e ɡ s a m i n e n
extinga	e ɡ s t i n ɡ a
fabre	f a b ɾ e
fabricarse	f a b ɾ i k a ɾ s e
fallecía	f a ʝ e s i a
faris	f a ɾ i s
faure	f a u ɾ e
fiduciaria	f i d u s j a ɾ j a
figuera	f i ɡ e ɾ a
fiordos	f j o ɾ d o s
fiscalías	f i s k a l i a s
fisicos	f i s i k o s
flamantes	f l a m a n t e s
flasheando	f l a ʃ e a n d o
floriano	f l o ɾ j a n o
fluidamente	f l w i d a m e n t e
folklóricas	f o l k l o ɾ i k a s
formarte	f o ɾ m a ɾ t e
francella	f ɾ a n s e ʝ a
gac	ɡ a k
gai	ɡ a i
ganaríamos	ɡ a n a ɾ i a m o s
gansu	ɡ a n s u
gastaban	ɡ a s t a b a n
gastro	ɡ a s t ɾ o
genghis	x e n ɡ i s
gieco	x j e k o
girará	x i ɾ a ɾ a
giuliana	x j u l j a n a
glow	ɡ l a u
grabas	ɡ ɾ a b a s
gradúan	ɡ ɾ a d u a n
grandisima	ɡ ɾ a n d i s i m a
guardabarros	ɡ w a ɾ d a b a r o s
gutural	ɡ u t u ɾ a l
gárgaras	ɡ a ɾ ɡ a ɾ a s
halen	a l e n
happiness	x a p i n e s
harada	a ɾ a d a
hem	e m
henrietta	e n r j e t a
hermógenes	e ɾ m o x e n e s
hervás	e ɾ b a s
hic	i k
hidrocarburo	i d ɾ o k a ɾ b u ɾ o
hina	i n a
holaaa	o l a a a
hominem	o m i n e m
honoré	o n o ɾ e
horóscopos	o ɾ o s k o p o s
huacas	w̝ a k a s
humillarse	u m i ʝ a ɾ s e
identificarme	i d e n t i f i k a ɾ m e
identificarte	i d e n t i f i k a ɾ t e
imaginaría	i m a x i n a ɾ i a
implantando	i m p l a n t a n d o
incrementaría	i n k ɾ e m e n t a ɾ i a
independiza	i n d e p e n d i s a
indicarme	i n d i k a ɾ m e
inmemorial	i m m e m o ɾ j a l
inmigratoria	i m m i ɡ ɾ a t o ɾ j a
insto	i n s t o
interconectadas	i n t e ɾ k o n e ɡ t a d a s
intermitentemente	i n t e ɾ m i t e n t e m e n t e
internó	i n t e ɾ n o
interurbano	i n t e ɾ u ɾ b a n o
intervencionistas	i n t e ɾ b e n s j o n i s t a s
intrusiones	i n t ɾ u s j o n e s
inventaba	i m b e n t a b a
invertirán	i m b e ɾ t i ɾ a n
invocaciones	i m b o k a s j o n e s
irremplazable	i r e m p l a s a b l e
isadora	i s a d o ɾ a
jarry	x a r i
jimbo	x i m b o
judit	x u d i t
jugarle	x u ɡ a ɾ l e
juzgarte	x u s ɡ a ɾ t e
kieran	k j e ɾ a n
kika	k i k a
komo	k o m o
krasnoyarsk	k ɾ a s n o ʝ a ɾ s k
kurdas	k u ɾ d a s
laborde	l a b o ɾ d e
larguen	l a ɾ ɡ e n
largué	l a ɾ ɡ e
larroque	l a r o k e
lastarria	l a s t a r j a
lavé	l a b e
lebanon	l e b a n o n
lida	l i d a
liderará	l i d e ɾ a ɾ a
llévala	ʝ e b a l a
llévalo	ʝ e b a l o
lotario	l o t a ɾ j o
lune	l u n e
lánzate	l a n s a t e
madsen	m a d s e n
malestares	m a l e s t a ɾ e s
mancuso	m a n k u s o
mandarin	m a n d a ɾ i n
maroc	m a ɾ o k
masson	m a s o n
mecanicos	m e k a n i k o s
mecatrónica	m e k a t ɾ o n i k a
megumi	m e ɡ u m i
megusta	m e ɡ u s t a
menospreciando	m e n o s p ɾ e s j a n d o
mentiste	m e n t i s t e
mentos	m e n t o s
mimbres	m i m b ɾ e s
modificará	m o d i f i k a ɾ a
moll	m o l
montezuma	m o n t e s u m a
moriste	m o ɾ i s t e
movedizas	m o b e d i s a s
mozárabes	m o s a ɾ a b e s
muele	m w e l e
mutando	m u t a n d o
márketing	m a ɾ k e t i n
nacha	n a t͡ʃ a
nairo	n a i ɾ o
negociaba	n e ɡ o s j a b a
nicea	n i s e a
niñitas	n i ɲ i t a s
nombrarlos	n o m b ɾ a ɾ l o s
nonato	n o n a t o
nutricionistas	n u t ɾ i s j o n i s t a s
nóbel	n o b e l
obleas	o b l e a s
obligarles	o b l i ɡ a ɾ l e s
observemos	o b s e ɾ b e m o s
offs	o f s
ondulaciones	o n d u l a s j o n e s
onemi	o n e m i
opresora	o p ɾ e s o ɾ a
option	o b t j o n
orbes	o ɾ b e s
otorgaban	o t o ɾ ɡ a b a n
ove	o b e
owner	a u n e ɾ
padron	p a d ɾ o n
paisajística	p a i s a x i s t i k a
palpitante	p a l p i t a n t e
panthers	p a n t e ɾ s
papiros	p a p i ɾ o s
paquistán	p a k i s t a n
pararía	p a ɾ a ɾ i a
pastoril	p a s t o ɾ i l
pasárselo	p a s a ɾ s e l o
peana	p e a n a
pedrería	p e d ɾ e ɾ i a
peleemos	p e l e e m o s
pellegrino	p e ʝ e ɡ ɾ i n o
penh	p e n
percibirse	p e ɾ s i b i ɾ s e
perderías	p e ɾ d e ɾ i a s
perdonadme	p e ɾ d o n a d m e
perduró	p e ɾ d u ɾ o
persigues	p e ɾ s i ɡ e s
physical	f i s i k a l
piazzolla	p j a s o ʝ a
pillando	p i ʝ a n d o
pinten	p i n t e n
piqueras	p i k e ɾ a s
poble	p o b l e
podr	p o d ɾ
polanski	p o l a n s k i
polinesios	p o l i n e s j o s
polvora	p o l b o ɾ a
pompeo	p o m p e o
ponchos	p o n t͡ʃ o s
poniéndolos	p o n j e n d o l o s
poquitín	p o k i t i n
porfin	p o ɾ f i n
portezuelo	p o ɾ t e s w e l o
postergando	p o s t e ɾ ɡ a n d o
predicaba	p ɾ e d i k a b a
preguntárselo	p ɾ e ɡ u n t a ɾ s e l o
prenderse	p ɾ e n d e ɾ s e
presidiarios	p ɾ e s i d j a ɾ j o s
prohibirá	p ɾ o i b i ɾ a
promocionarlo	p ɾ o m o s j o n a ɾ l o
protect	p ɾ o t e ɡ t
qro	k ɾ o
quedás	k e d a s
querra	k e r a
quimico	k i m i k o
québec	k e b e k
rascan	r a s k a n
rasgan	r a s ɡ a n
rastafari	r a s t a f a ɾ i
rastrean	r a s t ɾ e a n
rastreros	r a s t ɾ e ɾ o s
ratifico	r a t i f i k o
razer	r a s e ɾ
raíles	r a i l e s
reciclan	r e s i k l a n
recurro	r e k u r o
reduccionismo	r e d u ɡ s j o n i s m o
reencuentros	r e e n k w e n t ɾ o s
refuerce	r e f w e ɾ s e
regulaba	r e ɡ u l a b a
reido	r e i d o
reinicie	r e i n i s j e
remita	r e m i t a
reportaba	r e p o ɾ t a b a
resonando	r e s o n a n d o
restrictivos	r e s t ɾ i ɡ t i b o s
retractación	r e t ɾ a ɡ t a s j o n
revirtió	r e b i ɾ t j o
rezaban	r e s a b a n
rhin	r i n
riesgosas	r j e s ɡ o s a s
riu	r j u
rodaba	r o d a b a
rogué	r o ɡ e
romperlas	r o m p e ɾ l a s
roms	r o m s
rosalia	r o s a l j a
rosarinos	r o s a ɾ i n o s
sabiéndolo	s a b j e n d o l o
sacame	s a k a m e
sacyr	s a s i ɾ
sadat	s a d a t
saiz	s a i s
sanando	s a n a n d o
seducen	s e d u s e n
seleccionas	s e l e ɡ s j o n a s
