abad	a b a d
kelian	k ə l i a n
kelicap	k ə l i t͡ʃ a p
keligatan	k ə l i ɡ a t a n
keliling	k ə l i l e ŋ
kelim	k ə l e m
kelinci	k ə l ɪ n t͡ʃ i
keling	k ə l e ŋ
kelip	k ə l e p
keliru	k ə l i r u
kelmarin	k ə l m a r e n
kelola	k ə l o l a
keluar	k ə l u a
keluarga	k ə l u a r ɡ a
kelucuan	k ə l u t͡ʃ u a n
kelumpang	k ə l u m p a ŋ
kelupas	k ə l u p a s
kelupaskan	k ə l u p a s k a n
kem	k e m
kemabukan	k ə m a b o k a n
kemaman	k ə m a m a n
kemampanan	k ə m a m p a n a n
kemarau	k ə m a r a w
kemas	k ə m a s
kemasukan	k ə m a s o k a n
kembacang	k e m b a t͡ʃ a ŋ
kemban	k ə m b a n
kembang	k ə m b a ŋ
kembar	k ə m b a r
kemboja	k ə m b o d͡ʒ a
kembung	k ə m b o ŋ
kemeja	k ə m e d͡ʒ a
kementah	k ə m ə n t a h
kemih	k ə m i h
kemiskinan	k ə m i s k i n a n
kempen	k e m p e n
kemudi	k ə m u d i
kemudian	k ə m u d i a n
kemujuran	k ə m u d͡ʒ u r a n
kemungkinan	k ə m u ŋ k e n a n
kemuning	k ə m u n e ŋ
kena	k ə n a
kenal	k ə n a l
kenapa	k ə n a p a
kencang	k ə n t͡ʃ a ŋ
kencing	k ə n t͡ʃ e ŋ
kendi	k ə n d i
kenduri	k ə n d u r i
kening	k ə n e ŋ
kental	k ə n t a l
kentang	k ə n t a ŋ
kentut	k ə n t o t
kenyang	k ə ɲ a ŋ
kenyaringan	k ə ɲ a r e ŋ a n
kenyataan	k ə ɲ a t a a n
kepada	k ə p a d a
kepah	k ə p a h
kepak	k ə p a k
kepala	k ə p a l a
kepalingan	k ə p a l e ŋ ŋ a n
kepecutan	k ə p ə t͡ʃ o t a n
kependekan	k ə p e n d e k a n
kependudukan	k ə p ə n d u d o k a n
keperluan	k ə p ə r l u a n
keping	k ə p i ŋ
kepul	k ə p o l
kepulauan	k ə p u l a u̯ a n
kepunyaan	k ə p u ɲ a ʔ a n
kepuyuk	k ə p u j u k
kera	k ə r a
kerajang	k ə r a d͡ʒ a ŋ
keran	k ə r a n
kerana	k ə r a n a
kerang	k ə r a ŋ
kerani	k ə r a n i
keranjang	k ə r a n d͡ʒ a ŋ
kerap	k ə r a p
kerapu	k ə r a p u
keras	k ə r a s
kerbau	k ə b a w
kerbing	k ə r b e ŋ
kerdut	k ə r ə d u t
kerehatan	k ə r ə h a t a n
kerelatifan	k ə r ɛ l ə t i f a n
kerengga	k ə r e ŋ ɡ a
kerengsaan	k ə r ə ŋ s a a n
kerepek	k ə r ɛ p e k
kereta	k ə r e t a
keretapi	k ə r e t a p i
kering	k ə r e ŋ
kerinjal	k ə r i n d͡ʒ a l
keris	k ə r e s
kerja	k ə d͡ʒ ə
keropeng	k ə r o p e ŋ
keropok	k ə r o p o k
kersik	k ə r s i k
kertas	k ə r t a s
kerumun	k ə r u m o n
keruping	k ə r u p e ŋ
kesabaran	k ə s a b a r a n
kesalahan	k ə s a l a h a n
kesalasilahan	k ə s a l a s i l a h a n
kesan	k ə s a n
kesatu	k ə s a t u
kesedaran	k ə s ə d a r a n
kesedihan	k ə s ə d i h a n
keseimbangan	k ə s ə i m b a ŋ a n
kesembilan	k ə s ə m b i l a n
kesemua	k ə s ə m u a
kesemuanya	k ə s ə m u a ɲ a
kesenangan	k ə s ə n a ŋ a n
kesesalan	k ə s ə s a l a n
kesian	k ə s i a n
kesuma	k ə s u m a
kesunyian	k ə s u ɲ i a n
kesyukuran	k ə ʃ u k u r a n
keta	k e t ə
ketakmampuan	k ə t a k m a m p u a n
ketam	k ə t a m
ketat	k ə t a t
ketawa	k ə t a w a
kete	k e t ə
ketegangan	k ə t ə ɡ a ŋ a n
keterangan	k ə t ə r a ŋ a n
keterlarutan	k ə t ə r l a r u t a n
keti	k ə t i
ketiak	k ə t i a k
ketibas	k ə t i b a s
ketibus	k ə t i b o s
ketidakmungkinan	k ə t i d a k m u ŋ k e n a n
ketika	k ə t i k a
ketimbang	k ə t i m b a ŋ
keting	k ə t i ŋ
ketitam	k ə t i t a m
ketot	k e t o t
ketuanan	k ə t u a n a n
ketuban	k ə t u b a n
ketuhar	k ə t u h a
ketujuh	k ə t u d͡ʒ o h
ketupat	k ə t u p a t
keturunan	k ə t u r o n a n
kevoivodaan	k ə v o j v o d a a n
kewarganegaraan	k ə w a r ɡ a n ə ɡ a r a a n
khabar	x a b a r
khadijah	x a d i d͡ʒ a h
khalifah	k a l i f a h
khamis	k a m e s
khayal	x a j a l
khinzir	x i n z e
khusyuk	x u ʃ o k
kibar	k i b a r
kicap	k i t͡ʃ a p
kidal	k i d a l
kijang	k i d͡ʒ a ŋ
kikis	k i k i s
kilang	k i l a ŋ
kilas	k i l a s
kilat	k i l a t
kima	k i m a
kimak	k i m a k
kimpal	k i m p a l
kinabatangan	k i n a b a t a ŋ a n
kinar	k i n a
kindergarten	k i n d ə r ɡ a r t ə n
kini	k i n i
kipas	k i p a s
kira	k i r a
kirai	k i r a j
kiri	k i r i
kismis	k i s m e s
kita	k i t a
kitab	k i t a b
kitorang	k i t o r a ŋ
kiu	k i u
kk	k e k e
kl	k e ʔ e l
klac	k l a t͡ʃ
klang	k ə l a ŋ
klaring	k ə l a r i ŋ
klasik	k l a s i k
ko	k o
koc	k o t͡ʃ
kocak	k o t͡ʃ a k
kodek	k o d ə k
kodiang	k o d i a ŋ
kodok	k o d o k
koi	k o i̯
koki	k o k i
kolam	k o l a m
kolektif	k o l e k t i f
kolesom	k o l ə s o m
kolonialisme	k o l o n i a l i s m a
kolonisasi	k o l o n i s a s i
kome	k o m ə
komet	k o m e t
komisen	k o m i s e n
komisi	k o m i s i
komku	k ɔ m k u
kompleks	k o m p l e k s
komposer	k o m p o s ə r
komputer	k ɔ m p j u t ə
komrad	k o m r a d
komunikasi	k o m u n i k a s i
konbif	k o n b i f
konflik	k o n f l i k
kongsi	k o ŋ s i
konoha	k o n o h a
konon	k o n o n
kononnya	k o n o n ɲ a
konsensus	k o n s e n s u s
konsep	k o n s e p
konservatif	k o n s ə r v a t i f
konsonan	k ɔ n s o n a n
konstabel	k o n s t a b ə l
konteks	k o n t e k s
kontena	k o n t e n a
kontrol	k o n t r o l
kontroversi	k o n t r o v ə r s i
konven	k o n v e n
konvensyen	k o n v e n ʃ ə n
konvokesyen	k o n v o k e ʃ ə n
kopenhagen	k o p ə n h a ɡ ə n
kopernisium	k o p ə n i s i o m
kopi	k o p i
kopiah	k o p i a h
kopitiam	k o p i t i a m
kor	k o r
korang	k o r a ŋ
korea	k o r e a
korek	k o r e k
korg	k o r a ŋ
korona	k o r o n a
koronavirus	k o r o n a v i r u s
korunk	k o r a ŋ
korupsi	k o r a p s i
kota	k o t a
kotak	k o t a k
kotor	k o t o
kotoran	k o t o r a n
koyak	k o j a k
kpm	k e p i ʔ e m
kredibiliti	k r e d i b i l i t i
krisis	k r i s i s
kritikal	k r i t i k a l
kritis	k r i t i s
kronisme	k r o n i s m ə
krt	k e a r t i
ktm	k e t i e m
ku	k u
kuadrilion	k u a d r i l i o n
kuala	k u a l a
kuali	k u a l i
kualiti	k u a l i t i
kuang	k u a ŋ
kuantan	k u a n t a n
kuap	k u a p
kuar	k u a
kuarga	k u a r ɡ a
kuari	k u a r i
kuarza	k u a r z a
kuasa	k u a s a
kuatordesilion	k u a t o r d e s i l i o n
kuau	k u a u̯
kubang	k u b a ŋ
kubu	k u b u
kubur	k u b o
kucai	k u t͡ʃ a j
kuching	k u t͡ʃ e ŋ
kucing	k u t͡ʃ e ŋ
kuda	k u d a
kudapan	k u d a p a n
kudat	k u d a t
kuetiau	k u ə t i a w
kugar	k u ɡ a
kugiran	k u ɡ i r a n
kuih	k u e
kuil	k u e l
kuindesilion	k u i n d e s i l i o n
kuintilion	k u i n t i l i o n
kuiz	k u i z
kuki	k u k i
kuku	k u k u
kukuh	k u k o h
kula	k u l a
kulai	k u l a j
kulapuk	k u l a p u k
kulat	k u l a t
kulit	k u l e t
kulup	k u l o p
kulur	k u l o
kuman	k u m a n
kumandang	k u m a n d a ŋ
kumbang	k u m b a ŋ
kumbar	k u m b a r
kumis	k u m e s
kumpulan	k u m p u l a n
kumuh	k u m o h
kumur	k u m u r
kunca	k u n t͡ʃ a
kunci	k u n t͡ʃ i
kundur	k u n d u r
kuning	k u n e n
kuningan	k u n e ŋ a n
kunjung	k u n d͡ʒ u ŋ
kuno	k u n o
kunyah	k u ɲ a h
kupas	k u p a s
kupasan	k u p a s a n
kupi	k u p i
kuping	k u p e ŋ
kurang	k u r a ŋ
kurap	k u r a p
kureng	k u r e ŋ
kurium	k i ū r i ə m
kurma	a
kurnia	k u n i ə
kuruh	k u r o h
kurun	k u r o n
kusyen	k u ʃ ə n
kut	k o t
kutip	k u t e p
kutu	k u t u
kutub	k u t u p̚
kutubkhanah	k u t u b x a n a h
kutuk	k u t o k
kuwung	k u w o ŋ
kuyuk	k u j u ʔ
la	l a
laba	l a b a
labah	l a b a h
labuan	l a b u a n
labuh	l a b o h
labuhan	l a b o h a n
labuhkan	l a b o h k a n
lada	l a d a
ladam	l a d a m
lagi	l a ɡ i
lagu	l a ɡ u
lah	l a h
lahan	l a h a n
lahar	l a h a r
lai	l a j
laici	l a i t͡ʃ i
lain	l a e n
laju	l a d͡ʒ u
lak	l a k
laki	l a k i
laknatullah	l a k n a t u l l a h
lakon	l a k o n
laksa	l a k s a
laksamana	l a k s a m a n a
laksmi	l a k s m i
laku	l a k u
lakukan	l a k u k a n
lala	l a l a
lalat	l a l a t
lali	l ä l i
lalu	l a l u
laluan	l a l u a n
lama	l a m a
laman	l a m a n
lamar	l a m a r
lambang	l a m b a ŋ
lambat	l a m b a t
lamin	l a m i n
lampu	l a m p u
lamun	l a m o n
lamunan	l a m u n a n
lanca	l a n t͡ʃ a
lancar	l a n t͡ʃ a
lancarkan	l a n t͡ʃ a k a n
lancia	l a n t͡ʃ i a
landak	l a n d a k
lang	l a ŋ
langau	l a ŋ a u̯
langit	l a ŋ e t
langkah	l a ŋ k a h
langkat	l a ŋ k a t
langkawi	l a ŋ k a w i
langsat	l a ŋ s a t
langsung	l a ŋ s u ŋ
lanjut	l a n d͡ʒ o t
lanjutkan	l a n d͡ʒ u t k a n
lantai	l a n t a i̯
lantanum	l a n t a n o m
lantas	l a n t a s
lantik	l a n t e k
lanun	l a n o n
lap	l a p
lapah	l a p a h
lapan	l a p a n
lapar	l a p a
laptop	l a p t o p
lapuk	l a p u k
larangkan	l a r a ŋ k a n
laras	l a r a s
lari	l a r i
larut	l a r u t
lasam	l a s a m
latah	l a t a h
lateral	l a t ə r a l
latuh	l a t u h
lau	l a w
laut	l a o t
lautan	l a o t a n
lawa	l a w a
lawak	l a w a k
lawan	l a w a n
lawrensium	l a w r e n s i o m
layan	l a j a n
layanan	l a j a n a n
layang	l a j a ŋ
le	l ə
lebah	l ə b a h
lebai	l ə b a j
lebak	l ə b a k
lebih	l ə b e h
lebu	l ə b u
lebuh	l ə b o h
leftenan	l e f t ə n a n
legundi	l ə ɡ u n d i
leh	l e h
leher	l e h e
lek	l e k
lekas	l ə k a s
leklu	l e k l u
leksikografi	l e k s i k o ɡ r a f i
lekuk	l ə k o k
lelah	l ə l a h
lelaki	l ə l a k i
lelangit	l ə l a ŋ i t
lelap	l ə l a p
lelayang	l ə l a j a ŋ
lelong	l e l o ŋ
leluhur	l ə l u h o
lemah	l ə m a h
lemak	l ə m a ʔ
leman	l ə m a n
lemang	l ə m a ŋ
lemari	l ə m a ɣ i
lembah	l ə m b a h
lembap	l ə m b a p
lembayung	l ə m b a j o ŋ
lembu	l ə m b u
lembut	l ə m b o t
lempar	l e m p a
lempedal	l ə m p ə d ā l
lendir	l ə n d e
leng	l e ŋ
lenga	l e ŋ a
lengan	l ə ŋ a n
lengang	l ə ŋ a ŋ
lengkap	l ə ŋ k a p
lengkuas	l ə ŋ k u a s
lengkung	l ə ŋ k o ŋ
lensa	l ɛ n s a
lentang	l ə n t a ŋ
lentera	l ə n t e r a
lenting	l ə n t e ŋ
lenyap	l ə ɲ a p
lepa	l ə p a
lepak	l e p a k
lepas	l ə p a s
lepaskan	l ə p a s k a n
lepu	l e p u
lereng	l e r e ŋ
lesen	l e s e n
lestari	l e s t a r i
lestarikan	l e s t a r i k a n
lesung	l ə s u ŋ
letak	l ə t a k
letih	l ə t i h
letupan	l ə t o p a n
lewat	l e w a t
liang	l i a ŋ
liberal	l i b ə r ə l
liberalisme	l i b ə r a l i s m a
libya	l i b i a
lidah	l i d a h
lif	l i f
liga	l i ɡ a
ligat	l i ɡ a t
likur	l i k o
lilin	l i l i n
lima	l i m a
liman	l i m a n
limas	l i m a s
limau	l i m a w
limpah	l i m p a h
lincir	l i n t͡ʃ e
lindung	l i n d o ŋ
lingkar	l i ŋ k a r
lintah	l i n t a h
lintang	l i n t a ŋ
lipan	l i p a n
lipas	l i p a s
lipat	l i p a t
lipis	l i p i s
lipstik	l i p s t e k
liput	l i p u t
litium	l i t i o m
liwat	l i w a t
lobak	l o b a k
loceng	l o t͡ʃ e ŋ
loghat	l o ɣ ä t
lok	l o k
loka	l o k a
lokap	l o k a p
lokasi	l o k a s i
lolong	l o l o ŋ
lombong	l o m b o ŋ
londeh	l o n d e h
longan	l o ŋ ɡ a n
longkang	l o ŋ k a ŋ
losen	l o s e n
loteng	l o t e ŋ
loyang	l o j a ŋ
loyar	l o j a
lu	l u
luah	l u a h
luak	l u a ʔ
luang	l u a ŋ
luar	l u a
luas	l u a s
lubang	l u b a ŋ
lubnan	l u b n a n
lucu	l u t͡ʃ u
ludah	l u d a h
luka	l u k a
lukah	l u k a h
lukut	l u k u t
lumayan	l u m a j a n
lumpur	l u m p o
lumut	l u m o t
lunak	l u n a k
luncur	l u n t͡ʃ u r
lungsin	l u ŋ s i n
lungsur	l u ŋ s o
luntang	l u n t a ŋ
lupa	l u p a
luput	l u p u t
lurang	l u r a ŋ
lusa	l u s a
lutut	l u t o t
mabbim	m a b i m
mabuk	m a b o k
macam	m a t͡ʃ a m
macan	m a t͡ʃ a n
macang	m a t͡ʃ a ŋ
madah	m a d a h
madani	m a d a n i
madrasah	m a d r a s a h
magang	m a ɡ a ŋ
mageran	m a ɡ ə r a n
magik	m e d͡ʒ i k
maging	m a ɡ e ŋ
magnesium	m a k n e s i o m
mahafiraun	m a h a f i r a u n
mahaguru	m a h a ɡ u r u
mahal	m a h a l
maharaja	m a h a r a d͡ʒ a
maharani	m a h a r a n i
mahkota	m a h k o t a
mahogani	m a h o ɡ a n i
mahu	m a h u
mahupun	m a h u p u n
main	m a e n
mainan	m a i n a n
majalah	m a d͡ʒ a l a h
majlis	m a d͡ʒ l i s
maju	m a d͡ʒ u
mak	m a k
maka	m a k a
makam	m a k a m
makan	m a k a n
makanan	m a k a n a n
makhluk	m a h l o k
maki	m a k i
makin	m a k i n
maklum	m a ʔ l u m
maklumat	m a ʔ l u m a t
makrifat	m a k r i f a t
maksud	m a k s o d
makwe	m a k w ə
malah	m a l a h
malam	m a l a m
malang	m a l a ŋ
malapetaka	m a l a p ə t a k a
maldives	m a l d i v
mamah	m a m a h
mamai	m a m a i̯
mamak	m a m a k
mamalia	m a m a l i a
mampan	m a m p a n
mampankan	m a m p a n k a n
mampus	m a m p u s
mana	m a n a
manai	m a n a j
manakala	m a n a k a l a
mancang	m a n t͡ʃ a ŋ
manga	m a ŋ a
mangga	m a ŋ ɡ a
manggis	m a ŋ ɡ e s
manggustan	m a ŋ ɡ u s t a n
mangkat	m a ŋ k a t
mangkuk	m a ŋ k o k
mangsa	m a ŋ s a
mangun	m a ŋ o n
manikam	m a n i k a m
manira	m a n i r a
manis	m a n e s
manja	m a n d͡ʒ a
manjung	m a n d͡ʒ u ŋ
mansuh	m a n s o h
mantul	m a n t o l
manuk	m a n o k
manusia	m a n u s i ə
manuskrip	m a n u s k r i p
maoisme	m a o i s m ə
mara	m a r a
marah	m a r a h
marak	m a r a k
maran	m a r a n
mari	m a r i
marikh	m a r i x
marmar	m a r m a r
martabat	m a r r t a b a t
marxisme	m a k s i s m a
mas	m a s
masa	m a s a
masak	m a s a k
masih	m a s e h
masihi	m a s i h i
masin	m a s e n
masing	m a s i ŋ
masjid	m a s d͡ʒ e d
masokisme	m a s o k i s m ə
massa	m a s a
masuk	m a s o k
masukkan	m a s o k k a n
masyarakat	m a ʃ a r a k a t
mat	m a t
mata	m a t a
matahari	m a t a h a r i
matematik	m a t ə m a t i k
mati	m a t i
matrilineal	m a t r i l i n e a l
matriye	m a t r i j ə
matriyer	m a t r i j ə
maun	m a o n
maung	m a o ŋ
maya	m a j a
mayat	m a j a t
mayones	m a j o n e s
mayonis	m a j o n i s
medali	m ə d a l i
medsos	m e d s o s
mega	m e ɡ a
meja	m e d͡ʒ a
mekah	m ə k a h
mekak	m ə k a k
mekar	m ə k a r
mekdi	m e k d i
mel	m e l
melabuh	m ə l a b o h
melabuhkan	m ə l a b o h k a n
melaka	m ə l a k a
melamun	m ə l a m u n
melancarkan	m ə l a n t͡ʃ a k a n
melati	m ə l a t i
melayu	m ə l a j u
meleis	m ə l e i s
melengkung	m ə l ə ŋ k o ŋ
melestarikan	m ə l e s t a r i k a n
meletakkan	m ə l ə t a k k a n
melihat	m ə l i h a t
melirang	m ə l i r a ŋ
mellotron	m e l o t r o n
melokap	m ə l o k a p
melosen	m ə l o s e n
melukut	m ə l u k u t
meluputkan	m ə l u p u t k a n
melur	m ə l o
memagari	m ə m a ɡ a r i
memalingkan	m ə m a l e ŋ k a n
memalukan	m ə m a l u k a n
memampankan	m ə m a m p a n k a n
memandang	m ə m a n d a ŋ
memandu	m ə m a n d u
memang	m e m a ŋ
memasak	m ə m a s a k
memasukkan	m ə m a s o k k a n
membacang	m e m b a t͡ʃ a ŋ
membadut	m ə m b a d o t
membaguskan	m ə m b a ɡ o s k a n
membaharui	m ə m b a h a r u i
membahas	m ə m b a h a s
membahaskan	m ə m b a h a s k a n
membaiki	m ə m b a i k i
membandarkan	m ə m b a n d a k a n
membantai	m ə m b a n t a j
membawang	m ə m b a w a ŋ
membentang	m ə m b ə n t a ŋ
member	m e m b ə
memberi	m ə m b ə r i
membesar	m ə m b ə s a r
membetulkan	m ə m b ə t u l k a n
membiang	m ə m b i a ŋ
membincangkan	m ə m b i n t͡ʃ a ŋ k a n
membisu	m ə m b i s u
membuat	m ə m b u a t
membulat	m ə m b u l a t
membundar	m ə m b u n d a
membundarkan	m ə m b u n d a k a n
membunuh	m ə m b u n o h
membusuk	m ə m b u s u k
memecut	m ə m ə t͡ʃ u t
memekak	m ə m ə k a k
memekakkan	m ə m ə k a k k a n
memelayukan	m ə m ə l a j u k a n
memeningkan	m ə m ə n i ŋ k a n
memeterai	m ə m ə t ə r a j
meminta	m ə m i n t a
memisalkan	m ə m i s a l k a n
memotong	m ə m o t o ŋ
mempedulikan	m ə m p ə d u l i k a n
mempelai	m ə m p ə l a j
mempelam	m ə m p ə l a m
memperbaharu	m ə m p ə r b a h a r u
memperbaik	m ə m p ə b a e k
mempercontohkan	m ə m p ə r t͡ʃ o n t o h k a n
memperkatakan	m ə m p ə k a t ə k a n
mempersembahkan	m ə m p ə r s ə m b a h k a n
mempertontonkan	m ə m p ə r t o n t o n k a n
mempertuan	m ə m p ə r t u a n
memuaskan	m ə m u a s k a n
memudahkan	m ə m u d a h k a n
memudaratkan	m ə m u d a r a t k a n
memungkinkan	m ə m u ŋ k e n k a n
memungut	m ə m u ŋ o t
memvideokan	m ə m v i d e o k a n
menakal	m ə n a k a l
menakutkan	m ə n a k o t k a n
menambah	m ə n a m b a h
menambahkan	m ə n u m b a h k a n
menampan	m ə n a m p a n
menandakan	m ə n a n d a k a n
menang	m ə n a ŋ
menangis	m ə n a ŋ e s
menanjung	m ə n a n d͡ʒ u ŋ
menara	m ə n a r ə
menari	m ə n a r i
menarik	m ə n a r e k
menawarkan	m ə n a w a r k a n
mencapai	m ə n t͡ʃ a p a j
mencapap	m ə n t͡ʃ a p a p
mencari	m ə n t͡ʃ a r i
mencedok	m ə n t͡ʃ e d o ʔ
mencipta	m ə n t͡ʃ i p t a
menciput	m ə n t͡ʃ i p o t
mencontoh	m ə n t͡ʃ o n t o h
mencontohi	m ə n t͡ʃ o n t o h i
mencontohkan	m ə n t͡ʃ o n t o h k a n
mencuri	m ə n t͡ʃ u r i
menda	m ə n d a
mendakan	m ə n d a k a n
mende	m ə n d ə
mendengus	m ə n d ə ŋ u s
mendiskriminasikan	m ə n d i s k r i m i n a s i k a n
menduduki	m ə n d u d o k i
mendung	m ə n d o ŋ
menegah	m ə n ə ɡ a h
menelan	m ə n ə l a n
menelefon	m ə n e l i f o n
menengok	m ə n e ŋ o k
menerangkan	m ə n ə r a ŋ k a n
meneroka	m ə n ə r o k a
meneruskan	m ə n ə r o s k a n
mengabadikan	m ə ŋ a b a d i k a n
mengabar	m ə ŋ a b a r
mengabuk	m ə ŋ a b u k
mengacan	m ə ŋ a t͡ʃ a n
mengacau	m ə ŋ a t͡ʃ a u̯
mengaduh	m ə ŋ a d o h
mengaku	m ə ŋ a k u
mengamuk	m ə ŋ a m o ʔ
mengamuskan	m ə ŋ a m o s k a n
menganjing	m ə ŋ a n d͡ʒ e ŋ
mengantuk	m ə ŋ a n t o k
menganwarkan	m ə ŋ a n w a r k a n
mengapa	m ə ŋ a p a
mengarah	m ə ŋ a r a h
mengata	m ə ŋ a t a
mengeduduki	m ə ŋ ə d u d o k i
mengedut	m ə ŋ ə d o t
mengedutkan	m ə ŋ ə d o t k a n
mengelek	m ə ŋ e l e ʔ
mengelip	m ə ŋ ə l e p
mengelupas	m ə ŋ ə l u p a s
mengenai	m ə ŋ ə n a ʔ i
mengeong	m ə ŋ e o ŋ
mengerti	m ə ŋ ə r t i
mengesahkan	m ə ŋ ə s a h k a n
mengetahui	m ə ŋ ə t a h u j
menggelar	m ə ŋ ɡ ə l a
menggerek	m ə ŋ ɡ e r e ʔ
menggerekkan	m ə ŋ ɡ e r e ʔ k a n
menggosok	m ə ŋ ɡ o s o k
menghela	m ə n ɣ e l a
menghiraukan	m ə n ɣ i r a u k a n
mengimplementasikan	m ə ŋ i m p l e m e n t a s i k a n
menginsafi	m ə ŋ i n s a f i
menginsafkan	m ə ŋ i n s a f k a n
mengiring	m ə ŋ i r i ŋ
mengisi	m ə ŋ i s i
mengkarung	m ə ŋ k a r o ŋ
mengkasar	m ə ŋ k a s a
mengkuang	m ə ŋ k u a ŋ
mengolah	m ə ŋ o l a h
mengurniakan	m ə ŋ k u r n i a k a n
meninggal	m ə n i ŋ ɡ a l
meninjau	m ə n i n d͡ʒ a u̯
menipu	m ə n i p u
meniti	m ə n i t i
menjadi	m ə n d͡ʒ a d i
menjawab	m ə n d͡ʒ a w a b
menjengah	m ə n d͡ʒ ə ŋ a h
menjepunkan	m ə n d͡ʒ ə p u n k a n
menjulang	m ə n d͡ʒ u l a ŋ
menjustifikasikan	m ə n d͡ʒ a s t i f i k a s i k a n
menolehkan	m ə n o l e h k a n
menonton	m ə n o n t o n
menora	a
menswastakan	m ə n s w a s t a k a n
mentadak	m ə n t a d a k
mentah	m ə n t a h
mental	m e n t a l
mentari	m ə n t a r i
mentega	m ə n t e ɡ a
menteri	m ə n t ə r i
menujah	m ə n u d͡ʒ a h
menuju	m ə n u d͡ʒ u
menular	m ə n u l a r
menurunkan	m ə n u r u n k a n
menyajikan	m ə ɲ a d͡ʒ i k a n
menyambung	m ə ɲ a m b u ŋ
menyampah	m ə ɲ a m p a h
menyapu	m ə ɲ a p u
menyatakan	m ə ɲ a t a k a n
menyebabkan	m ə ɲ ə b a b k a n
menyelubungi	m ə ɲ ə l u b ʊ ŋ i
menyemai	m ə ɲ ə m a i
menyembah	m ə ɲ ə m b a h
menyembahkan	m ə ɲ ə m b a h k a n
menyentak	m ə ɲ ə n t a k
menyentuh	m ə ɲ ə n t o h
menyerang	m ə ɲ ə r a ŋ
menyesal	m ə ɲ ə s a l
menyesali	m ə ɲ ə s a l i
menyesalkan	m ə ɲ ə s a l k a n
menyeterika	m ə ɲ ə t ə r i k a
menyuarakan	m ə ɲ u a r a k a n
menyulam	m ə ɲ u l a m
menyurat	m ə ɲ u r a t
menyurati	m ə ɲ u r a t i
menyuratkan	m ə ɲ u r a t k a n
menyusurgalurkan	m ə ɲ u s o r ɡ a l o k a n
merah	m e r a h
merajuk	m ə r a d͡ʒ o k
merak	m ə r a k
merambong	m ə r a m b o ŋ
meranduk	m ə r a n d o k
merangkak	m ə r a ŋ k a k
meranti	m ə r a n t i
mercun	m ə r t͡ʃ o n
merdeheka	m ə d ə h e k a
meregas	m ə r ə ɡ a s
meregat	m ə r ə ɡ a t
mereka	m ə r e k a
merenung	m ə r ə n u ŋ
merenungi	m ə r ə n u ŋ i
merepet	m ə r e p e t
meringkik	m ə r i ŋ k e k
merinyu	m ə r i ɲ u
meritokrasi	m e r i t o k r a s i
meritokratik	m e r i t o k r a t i k
merkuri	m ə k u r i
merpati	m ə p a t i
merumikan	m ə r u m e k a n
merunggai	m ə r u ŋ ɡ a j
merupakan	m ə r u p a k a n
mesej	m e s e d͡ʒ
mesia	m e s i a
mesin	m e s i n
mesingan	m e s i n ɡ a n
mesir	m ə s e
meski	m ə s k i
meskipun	m ə s k i p o n
mesosfera	m e s o s f e r a
mesra	m ə s r a
mesyuarat	m ə ʃ u a r a t
metatesis	m e t a t e s i s
meterai	m ə t ə r a j
mewah	m ɛ w a h
mi	m i
miang	m i a ŋ
mikrofon	m a j k r o f o n
mikropemproses	m i k r o p ə m p r o s ə s
mikroskop	m i k r o s k o p
milik	m i l e k
milo	m a j l o
mimbar	m i m b a
mimpi	m i m p i
minarkisme	m i n a k i z ə m
minat	m i n a t
minggu	m i ŋ ɡ u
minta	m i n t a
mintak	m i n t a k
mintakulburuj	m i n t a k u l b u r o d͡ʒ
minum	m i n o m
minuman	m i n u m a n
minyak	m i ɲ a k
mirah	m i r ə a h
mirip	m i r i p
misai	m i s a i̯
misal	m i s a l
misalan	m i s a l a n
misalkan	m i s a l k a n
misi	m i s i
miskin	m i s k e n
misoa	m i s o a
misoginis	m i s o d͡ʒ ə n i s
mitos	m i t o s
model	m o d e l
modem	m o d e m
mogok	m o ɡ o k
mohon	m o h o n
mohong	m o h o ŋ
moktan	m o k t a n
molekul	m o l e k u l
momen	m o m e n
monogami	m o n o ɡ a m i
monorel	m o n o r e l
montok	m o n t o k
monyet	m o ɲ e t
morfem	m o r f e m
moto	m o t o
motosikal	m o t o s i k a l
moyang	m o j a ŋ
mssm	e m e s e s e m
mua	m u a
muara	m u a r a
muat	m u a t
muda	m u d a
mudi	m u d i
muflis	m u f l i s
mufti	m u f t i
muharam	m u h a r a m
mujahid	m u d͡ʒ a h e d
mujur	m u d͡ʒ u r
muka	m u k a
mula	m u l a
mulai	m u l a i
mulut	m u l o t
munafik	m u n a f e k
mungkin	m u ŋ k e n
mungkinkan	m u ŋ k e n k a n
muntah	m u n t a h
murah	m u r a h
murid	m u r e d
musa	m u s a
musang	m u s a ŋ
musim	m u s e m
musnah	m u s n a h
mustahil	m u s t a h e l
musytari	m u ʃ t a r i
mutiara	m u t i a r a
mutlak	m u t l a k
mutu	m u t u
muzik	m j u z ɪ k
muzium	m i u z i o m
nabi	n a b i
nafas	n a f a s
naga	n a ɡ a
nah	n a h
nahu	n a h u
naib	n a i b
naik	n a e k
najam	n a d͡ʒ a m
najis	n a d͡ʒ i s
nak	n a k
nakal	n a k a l
nalih	n a l e h
nam	n a m
nama	n a m a
nampak	n a m p a k
namun	n a m o n
nan	n a n
nana	n a n a
nanah	n a n a h
nanas	n a n a s
