अ	ɐ
प्रति	p ɾ ɐ t̪ i
प्रतिकार	p ɾ ɐ t̪ i k ɑː ɾ ɐ
प्रतिगच्छति	p ɾ ɐ t i ɡ ɐ t t͡ɕʰ ɐ t i
प्रतिज्ञा	p ɾ ɐ t i d͡ʑ ɲ ɑː
प्रतिदिनम्	p ɾ ɐ t̪ i d̪ i n̪ ɐ m
प्रतिनिधित्व	p ɾ ɐ t i n i dʱ i t ʋ ɐ
प्रतिपदा	p ɾ ɐ t i p ɐ d ɑː
प्रतिपद्	p ɾ ɐ t i p ɐ́ d
प्रतिबद्ध	p ɾ ɐ t i b ɐ d dʱ ɐ́
प्रतिबन्ध्	p ɾ ɐ t i b ɐ n dʱ
प्रतिबिम्ब	p ɾ ɐ t̪ i b i m b ɐ
प्रतिबुद्ध	p ɾ ɐ t̪ i b u d̪ d̪ʱ ɐ
प्रतिभा	p ɾ ɐ t i bʱ ɑː
प्रतिभाति	p ɾ ɐ t i bʱ ɑː t i
प्रतिमन्	p ɾ ɐ t i m ɐ n
प्रतिमा	p ɾ ɐ t i m ɑ́ː
प्रतिरमति	p ɾ ɐ t i ɾ ɐ m ɐ t i
प्रतिरोध	p ɾ ɐ t i ɾ ɐ w dʱ ɐ
प्रतिलोम	p ɾ ɐ t i l ɐ w m ɐ́
प्रतिवेश	p ɾ ɐ t̪ i ʋ eː ɕ ɐ
प्रतिवेश्य	p ɾ ɐ t i ʋ ɐ j ɕ j ɐ
प्रतिशाखा	p ɾ ɐ t i ɕ ɑː kʰ ɑː
प्रतिश्याय	p ɾ ɐ t i ɕ j ɑː j ɐ
प्रतिष्ठा	p ɾ ɐ t i ʂ ʈʰ ɑ́ː
प्रतिष्ठित	p ɾ ɐ t̪ i ʂ ʈʰ i t̪ ɐ
प्रतीक	p ɾ ɐ t̪ iː k ɐ
प्रतीक्ष	p ɾ ɐ t iː k ʂ ɐ
प्रतीक्षण	p ɾ ɐ t iː k ʂ ɐ ɳ ɐ
प्रतीक्षम्	p ɾ ɐ t iː k ʂ ɐ m
प्रतीक्षा	p ɾ ɐ t iː k ʂ ɑː
प्रतीक्ष्	p ɾ ɐ t iː k ʂ
प्रतीची	p ɾ ɐ t íː t͡ɕ iː
प्रतीति	p ɾ ɐ t iː t i
प्रतीत्यसमुत्पाद	p ɾ ɐ t̪ iː t̪ j ɐ s̪ ɐ m u t̪ p ɑː d̪ ɐ
प्रतोली	p ɾ ɐ t ɐ w l iː
प्रत्न	p ɾ ɐ t n ɐ́
प्रत्यक्ष	p ɾ ɐ t j ɐ́ k ʂ ɐ
प्रत्यञ्च्	p ɾ ɐ t j ɐ́ ɲ t͡ɕ
प्रत्यभिज्ञा	p ɾ ɐ t j ɐ bʱ i d͡ʑ ɲ ɑː
प्रत्यभिज्ञान	p ɾ ɐ t j ɐ bʱ i d͡ʑ ɲ ɑː n ɐ
प्रत्यय	p ɾ ɐ t j ɐ j ɐ
प्रत्याक्रुश्	p ɾ ɐ t j ɑː k ɾ u ɕ
प्रत्याक्रोशति	p ɾ ɐ t j ɑː k ɾ ɐ w ɕ ɐ t i
प्रत्यागच्छति	p ɾ ɐ t j ɑː ɡ ɐ t t͡ɕʰ ɐ t i
प्रत्याययति	p ɾ ɐ t̪ j ɑː j ɐ j ɐ t̪ i
प्रत्याशिनी	p ɾ ɐ t j ɑː ɕ i n iː
प्रत्याशिन्	p ɾ ɐ t j ɑː ɕ i n
प्रत्याशी	p ɾ ɐ t j ɑː ɕ iː
प्रत्युत्पन्न	p ɾ ɐ t̪ j u t̪ p ɐ n̪ n̪ ɐ
प्रत्युष्ट	p ɾ ɐ t̪ j u ʂ ʈ ɐ
प्रथम	p ɾ ɐ tʰ ɐ m ɐ́
प्रथमपुरुष	p ɾ ɐ t̪ʰ ɐ m ɐ p u ɾ u ʂ ɐ
प्रथमम्	p ɾ ɐ tʰ ɐ m ɐ́ m
प्रथमा	p ɾ ɐ tʰ ɐ m ɑː
प्रथमानि	p ɾ ɐ tʰ ɐ m ɑ́ː n i
प्रथस्	p ɾ ɐ t̪ʰ ɐ s̪
प्रथित	p ɾ ɐ tʰ i t ɐ́
प्रथिमन्	p ɾ ɐ tʰ i m ɐ́ n
प्रथ्	p ɾ ɐ tʰ
प्रदातोस्	p ɾ ɐ d ɑː t ɐ w s
प्रदाय	p ɾ ɐ d ɑː j ɐ
प्रदूषण	p ɾ ɐ d uː ʂ ɐ ɳ ɐ
प्रदेश	p ɾ ɐ d ɐ j ɕ ɐ
प्रद्युम्न	p ɾ ɐ d j u m n ɐ
प्रधान	p ɾ ɐ dʱ ɑː n ɐ
प्रपञ्च	p ɾ ɐ p ɐ ɲ t͡ɕ ɐ
प्रपद्यते	p ɾ ɐ p ɐ d j ɐ t ɐ j
प्रपा	p ɾ ɐ p ɑː
प्रपाठक	p ɾ ɐ p ɑː ʈʰ ɐ k ɐ
प्रपितामह	p ɾ ɐ p i t ɑː m ɐ ɦ ɐ́
प्रपितामही	p ɾ ɐ p i t ɑː m ɐ ɦ iː
प्रबन्ध	p ɾ ɐ b ɐ n dʱ ɐ
प्रबुध्	p ɾ ɐ b u d̪ʱ
प्रभा	p ɾ ɐ bʱ ɑː
प्रभाकर	p ɾ ɐ bʱ ɑː k ɐ ɾ ɐ
प्रभाकीट	p ɾ ɐ bʱ ɑː k iː ʈ ɐ
प्रभात	p ɾ ɐ bʱ ɑː t ɐ́
प्रभाति	p ɾ ɐ bʱ ɑː t i
प्रभासि	p ɾ ɐ bʱ ɑː s i
प्रभु	p ɾ ɐ bʱ u
प्रभू	p ɾ ɐ bʱ uː
प्रभूत	p ɾ ɐ bʱ uː t̪ ɐ
प्रमत्त	p ɾ ɐ m ɐ t t ɐ
प्रमद	p ɾ ɐ m ɐ d ɐ
प्रमन्थ	p ɾ ɐ m ɐ n tʰ ɐ
प्रमाण	p ɾ ɐ m ɑː ɳ ɐ
प्रमाद	p ɾ ɐ m ɑː d̪ ɐ
प्रमिति	p ɾ ɐ m i t i
प्रमीला	p ɾ ɐ m iː l ɑː
प्रमुख	p ɾ ɐ m u kʰ ɐ
प्रमेतोस्	p ɾ ɐ m eː t̪ oː s̪
प्रमोद	p ɾ ɐ m oː d̪ ɐ
प्रयज्ञ	p ɾ ɐ j ɐ d͡ʑ ɲ ɐ
प्रयत्न	p ɾ ɐ j ɐ t n ɐ
प्रयाण	p ɾ ɐ j ɑː ɳ ɐ
प्रयाणिक	p ɾ ɐ j ɑː ɳ i k ɐ
प्रयुत	p ɾ ɐ j u t ɐ
प्रयोजन	p ɾ ɐ j oː d͡ʑ ɐ n̪ ɐ
प्रलोभ	p ɾ ɐ l̪ oː bʱ ɐ
प्रवते	p ɾ ɐ ʋ ɐ t̪ eː
प्रवदति	p ɾ ɐ ʋ ɐ d ɐ t i
प्रवर्तन	p ɾ ɐ ʋ ɐ ɾ t ɐ n ɐ
प्रवस्ते	p ɾ ɐ ʋ ɐ s t ɐ j
प्रवहति	p ɾ ɐ ʋ ɐ ɦ ɐ t̪ i
प्रवह्	p ɾ ɐ ʋ ɐ ɦ
प्रवाचे	p ɾ ɐ ʋ ɑː t͡ɕ eː
प्रवाल	p ɾ ɐ ʋ ɑː l ɐ
प्रवास	p ɾ ɐ ʋ ɑː s ɐ
प्रवाह	p ɾ ɐ ʋ ɑː ɦ ɐ
प्रविश्	p ɾ ɐ ʋ i ɕ
प्रविष्ट	p ɾ ɐ ʋ i ʂ ʈ ɐ
प्रवृत्ति	p ɾ ɐ ʋ r̩ t t i
प्रवृद्ध	p ɾ ɐ ʋ r̩ d dʱ ɐ́
प्रवृध्	p ɾ ɐ ʋ r̩ dʱ
प्रवेश	p ɾ ɐ ʋ eː ɕ ɐ
प्रवेशक	p ɾ ɐ ʋ eː ɕ ɐ k ɐ
प्रव्रज्य	p ɾ ɐ ʋ ɾ ɐ d͡ʑ j ɐ
प्रशंसा	p ɾ ɐ ɕ ɐ̃ s ɑː
प्रशस्ति	p ɾ ɐ ɕ ɐ s̪ t̪ i
प्रशान्त	p ɾ ɐ ɕ ɑː n t ɐ
प्रशास्तृ	p ɾ ɐ ɕ ɑː s t ŕ̩
प्रशीतित्र	p ɾ ɐ ɕ iː t̪ i t̪ ɾ ɐ
प्रश्न	p ɾ ɐ ɕ n ɐ́
प्रसङ्ग	p ɾ ɐ s ɐ ŋ ɡ ɐ
प्रसद्	p ɾ ɐ s ɐ d
प्रसन्न	p ɾ ɐ s ɐ n n ɐ
प्रसाद	p ɾ ɐ s ɑː d ɐ
प्रसिति	p ɾ ɐ s i t i
प्रसिद्ध	p ɾ ɐ s i d dʱ ɐ
प्रसिद्धि	p ɾ ɐ s̪ i d̪ d̪ʱ i
प्रसू	p ɾ ɐ s uː
प्रस्तर	p ɾ ɐ s t ɐ ɾ ɐ
प्रस्ताव	p ɾ ɐ s t ɑː ʋ ɐ
प्रस्तुत	p ɾ ɐ s̪ t̪ u t̪ ɐ
प्रस्थ	p ɾ ɐ s tʰ ɐ
प्रस्थान	p ɾ ɐ s tʰ ɑː n ɐ
प्रस्रव	p ɾ ɐ s ɾ ɐ ʋ ɐ
प्रस्विन्न	p ɾ ɐ s ʋ i n n ɐ
प्रहर	p ɾ ɐ ɦ ɐ ɾ ɐ
प्रहसन	p ɾ ɐ ɦ ɐ s̪ ɐ n̪ ɐ
प्रहार	p ɾ ɐ ɦ ɑː ɾ ɐ
प्रहृ	p ɾ ɐ ɦ r̩
प्रहेलिका	p ɾ ɐ ɦ eː l̪ i k ɑː
प्रह्लाद	p ɾ ɐ ɦ l ɑː d ɐ
प्राकार	p ɾ ɑː k ɑː ɾ ɐ
प्राकृत	p ɾ ɑː k r̩ t ɐ
प्राङ्	p ɾ ɑː ŋ
प्राची	p ɾ ɑː t͡ɕ iː
प्राचीन	p ɾ ɑː t͡ɕ iː n̪ ɐ
प्राचीनावीत	p ɾ ɑː t͡ɕ iː n ɑː ʋ iː t ɐ́
प्राचीर	p ɾ ɑː t͡ɕ iː ɾ ɐ
प्राच्य	p ɾ ɑː t͡ɕ i j ɐ́
प्राञ्च्	p ɾ ɑː ɲ t͡ɕ
प्राण	p ɾ ɑː ɳ ɐ
प्राणक	p ɾ ɑː ɳ ɐ k ɐ
प्राणायाम	p ɾ ɑː ɳ ɑː j ɑː m ɐ
प्राणिन्	p ɾ ɑː ɳ i n̪
प्राणी	p ɾ ɑː ɳ iː
प्रातःकाल	p ɾ ɑː t ɐ h k ɑː l ɐ
प्रातर्	p ɾ ɑː t ɐ́ ɾ
प्रातस्त्य	p ɾ ɑː t ɐ s t j ɐ
प्रातिपद	p ɾ ɑː t i p ɐ d ɐ́
प्रातिमोक्ष	p ɾ ɑː t̪ i m oː k ʂ ɐ
प्राथमिक	p ɾ ɑː tʰ ɐ m i k ɐ
प्राधी	p ɾ ɑː dʱ iː
प्रान्त	p ɾ ɑː n t ɐ
प्रापयति	p ɾ ɑː p ɐ j ɐ t i
प्राप्	p ɾ ɑː p
प्राप्तिका	p ɾ ɑː p t̪ i k ɑː
प्राप्य	p ɾ ɑː p j ɐ
प्राप्यक	p ɾ ɑː p j ɐ k ɐ
प्रामाण्य	p ɾ ɑː m ɑː ɳ j ɐ
प्रायस्	p ɾ ɑː j ɐ s
प्रारभ्	p ɾ ɑː ɾ ɐ bʱ
प्रारम्भ	p ɾ ɑː ɾ ɐ m bʱ ɐ
प्रार्थन	p ɾ ɑː ɾ t̪ʰ ɐ n̪ ɐ
प्रार्थना	p ɾ ɑː ɾ t̪ʰ ɐ n̪ ɑː
प्रावृष्	p ɾ ɑː ʋ r̩ ʂ
प्रास	p ɾ ɑː s ɐ
प्रासाद	p ɾ ɑː s ɑː d ɐ
प्रास्यति	p ɾ ɑː s j ɐ t i
प्राह्ण	p ɾ ɑː ɦ ɳ ɐ
प्रिय	p ɾ i j ɐ
प्रियकारक	p ɾ i j ɐ k ɑː ɾ ɐ k ɐ
प्रियङ्गु	p ɾ i j ɐ ŋ ɡ u
प्रियते	p ɾ i j ɐ t ɐ j
प्रियदर्शिन्	p ɾ i j ɐ d̪ ɐ ɾ ɕ i n̪
प्रियस्वप्न	p ɾ i j ɐ s ʋ ɐ p n ɐ
प्री	p ɾ iː
प्रीणाति	p ɾ i ɳ ɑ́ː t i
प्रीणीतस्	p ɾ iː ɳ iː t ɐ s
प्रीत	p ɾ iː t ɐ́
प्रीति	p ɾ iː t i
प्रीयते	p ɾ iː j ɐ t ɐ j
प्रुषित	p ɾ u ʂ i t ɐ́
प्रुषितस्य	p ɾ u ʂ i t ɐ́ s j ɐ
प्रुष्	p ɾ u ʂ
प्रुष्णुवन्ति	p ɾ u ʂ ɳ u ʋ ɐ n̪ t̪ i
प्रुष्णोति	p ɾ u ʂ ɳ oː t̪ i
प्रुष्वा	p ɾ u ʂ ʋ ɑː
प्रेक्षण	p ɾ eː k ʂ ɐ ɳ ɐ
प्रेक्षते	p ɾ eː k ʂ ɐ t̪ eː
प्रेक्ष्	p ɾ eː k ʂ
प्रेत	p ɾ eː t̪ ɐ
प्रेमन्	p ɾ eː m ɐ n̪
प्रेरण	p ɾ eː ɾ ɐ ɳ ɐ
प्रेषण	p ɾ eː ʂ ɐ ɳ ɐ
प्रेषणीय	p ɾ eː ʂ ɐ ɳ iː j ɐ
प्रेषित	p ɾ eː ʂ i t̪ ɐ
प्रेष्	p ɾ eː ʂ
प्रेष्ठ	p ɾ eː ʂ ʈʰ ɐ
प्रैणान	p ɾ ɑ j ɳ ɑː n̪ ɐ
प्रैतोस्	p ɾ ɑ j t̪ oː s̪
प्रो	p ɾ oː
प्रोक्त	p ɾ oː k t̪ ɐ
प्रोञ्छति	p ɾ oː ɲ t͡ɕʰ ɐ t̪ i
प्रोथति	p ɾ oː t̪ʰ ɐ t̪ i
प्रोष्ठ	p ɾ oː ʂ ʈʰ ɐ
प्रौढ	p ɾ ɑ w ɖʱ ɐ
प्लक्ष	p l ɐ k ʂ ɐ́
प्लक्षद्वीप	p l ɐ k ʂ ɐ d ʋ iː p ɐ́
प्लव	p l ɐ ʋ ɐ́
प्लवते	p l ɐ́ ʋ ɐ t ɐ j
प्लिहन्	p l̪ i ɦ ɐ n̪
प्लीहन्	p l iː ɦ ɐ́ n
प्लु	p l u
प्लुषि	p l ú ʂ i
प्लुष्	p l u ʂ
प्सरस्	p s ɐ́ ɾ ɐ s
प्सा	p s ɑː
प्सात	p s ɑː t ɐ́
प्साति	p s ɑ́ː t i
प्सु	p s u
प्सुरस्	p s ú ɾ ɐ s
फकार	pʰ ɐ k ɑː ɾ ɐ
फट	pʰ ɐ ʈ ɐ
फडिङ्गा	pʰ ɐ ɖ i ŋ ɡ ɑː
फडु	pʰ ɐ ɖ u
फण	pʰ ɐ ɳ ɐ
फणा	pʰ ɐ ɳ ɑː
फणिन्	pʰ ɐ ɳ i n
फण्	pʰ ɐ ɳ
फण्ड	pʰ ɐ ɳ ɖ ɐ
फल	pʰ ɐ l̪ ɐ
फलक	pʰ ɐ l ɐ k ɐ
फलति	pʰ ɐ l ɐ t i
फलन	pʰ ɐ l ɐ n ɐ
फलनम्	pʰ ɐ l̪ ɐ n̪ ɐ m
फलनस्य	pʰ ɐ l̪ ɐ n̪ ɐ s̪ j ɐ
फलनात्	pʰ ɐ l̪ ɐ n̪ ɑː t̪
फलनाय	pʰ ɐ l̪ ɐ n̪ ɑː j ɐ
फलनेन	pʰ ɐ l̪ ɐ n̪ eː n̪ ɐ
फलित	pʰ ɐ l i t ɐ
फल्	pʰ ɐ l
फल्गु	pʰ ɐ l ɡ ú
फाणित	pʰ ɑː ɳ i t ɐ
फाल	pʰ ɑː l̪ ɐ
फाल्गुन	pʰ ɑː l ɡ u n ɐ́
फिङ्गक	pʰ i ŋ ɡ ɐ k ɐ
फिरङ्ग	pʰ i ɾ ɐ ŋ ɡ ɐ
फिरङ्गिन्	pʰ i ɾ ɐ ŋ ɡ i n̪
फुत्कार	pʰ u t k ɑː ɾ ɐ
फुप्फुस	pʰ u p pʰ u s̪ ɐ
फुल्ल	pʰ u l l ɐ
फेन	pʰ eː n̪ ɐ
फेनक	pʰ eː n̪ ɐ k ɐ
फेल्	pʰ eː l̪
बकार	b ɐ k ɑː ɾ ɐ
बकुल	b ɐ k u l̪ ɐ
बज	b ɐ d͡ʑ ɐ
बजाय	b ɐ d͡ʑ ɑː j ɐ
बजे	b ɐ d͡ʑ eː
बटु	b ɐ ʈ u
बणिज्	b ɐ ɳ i d͡ʑ
बदर	b ɐ d ɐ ɾ ɐ
बद्ध	b ɐ d dʱ ɐ́
बद्धक	b ɐ d̪ d̪ʱ ɐ k ɐ
बधिर	b ɐ dʱ i ɾ ɐ́
बध्नाति	b ɐ dʱ n ɑ́ː t i
बध्यते	b ɐ dʱ j ɐ t ɐ j
बन्दिनी	b ɐ n d i n iː
बन्दिन्	b ɐ n d i n
बन्दी	b ɐ n̪ d̪ iː
बन्ध	b ɐ n dʱ ɐ́
बन्धति	b ɐ n̪ d̪ʱ ɐ t̪ i
बन्धन	b ɐ n̪ d̪ʱ ɐ n̪ ɐ
बन्धु	b ɐ n̪ d̪ʱ u
बप्सति	b ɐ p s̪ ɐ t̪ i
बबन्ध	b ɐ b ɐ n̪ d̪ʱ ɐ
बबर्ह	b ɐ b ɐ ɾ ɦ ɐ
बब्बूल	b ɐ b b uː l ɐ
बभस्ति	b ɐ bʱ ɐ s̪ t̪ i
बभाज	b ɐ bʱ ɑː d͡ʑ ɐ
बभार	b ɐ bʱ ɑː ɾ ɐ
बभूव	b ɐ bʱ uː ʋ ɐ
बभ्रु	b ɐ bʱ ɾ u
बभ्रे	b ɐ bʱ ɾ eː
बर्कर	b ɐ ɾ k ɐ ɾ ɐ
बर्जह	b ɐ ɾ d͡ʑ ɐ ɦ ɐ
बर्जह्य	b ɐ ɾ d͡ʑ ɐ ɦ j ɐ
बर्ढा	b ɐ ɾ ɖʱ ɑː
बर्बट	b ɐ ɾ b ɐ ʈ ɐ
बर्बटी	b ɐ ɾ b ɐ ʈ iː
बर्बर	b ɐ ɾ b ɐ ɾ ɐ
बर्हयति	b ɐ ɾ ɦ ɐ j ɐ t̪ i
बर्हिष्ठ	b ɐ ɾ ɦ i ʂ ʈʰ ɐ
बर्हिस्	b ɐ ɾ ɦ i s̪
बल	b ɐ l ɐ́
बलराम	b ɐ l̪ ɐ ɾ ɑː m ɐ
बलवत्	b ɐ l ɐ ʋ ɐ́ t
बलवान्	b ɐ l ɐ ʋ ɑ́ː n
बलि	b ɐ l í
बलिन्	b ɐ l í n
बलिवर्द	b ɐ l i ʋ ɐ ɾ d ɐ
बलीवर्द	b ɐ l iː ʋ ɐ́ ɾ d ɐ
बलीवर्दः	b ɐ l íː ʋ ɐ ɾ d ɐ h
बसयान	b ɐ s̪ ɐ j ɑː n̪ ɐ
बस्त	b ɐ s t ɐ́
बस्यान	b ɐ s̪ j ɑː n̪ ɐ
बहल	b ɐ ɦ ɐ l ɐ
बहिः	b ɐ ɦ i h
बहिर्	b ɐ ɦ i ɾ
बहिष्	b ɐ ɦ i ʂ
बहिष्कार	b ɐ ɦ i ʂ k ɑː ɾ ɐ
बहिस्	b ɐ ɦ i s̪
बहु	b ɐ ɦ u
बहुक	b ɐ ɦ u k ɐ
बहुता	b ɐ ɦ u t̪ ɑː
बहुत्व	b ɐ ɦ u t̪ ʋ ɐ
बहुबोल्लक	b ɐ ɦ u b oː l̪ l̪ ɐ k ɐ
बहुमूल्य	b ɐ ɦ u m uː l j ɐ
बहुल	b ɐ ɦ u l ɐ́
बहुविकल्पीय​	b ɐ ɦ u ʋ i k ɐ l̪ p iː j ɐ
बहुव्रीहि	b ɐ ɦ u ʋ ɾ iː ɦ i
बहुशस्	b ɐ ɦ u ɕ ɐ s̪
बहुश्रुत	b ɐ ɦ u ɕ ɾ u t ɐ
बह्लिक	b ɐ ɦ l i k ɐ
बह्वृच	b ɐ ɦ ʋ r̩ t͡ɕ ɐ
बाङ्गलादेश	b ɑː ŋ ɡ ɐ l̪ ɑː d̪ eː ɕ ɐ
बाढ	b ɑː ɖʱ ɐ
बाण	b ɑː ɳ ɐ
बाणभट्ट	b ɑː ɳ ɐ bʱ ɐ ʈ ʈ ɐ
बाधताम्	b ɑː dʱ ɐ t ɑː m
बाधति	b ɑː d̪ʱ ɐ t̪ i
बाधते	b ɑː d̪ʱ ɐ t̪ eː
बाधा	b ɑː d̪ʱ ɑː
बाधिता	b ɑː dʱ i t ɑː
बाधिष्यते	b ɑː dʱ i ʂ j ɐ t ɐ j
बाधे	b ɑː dʱ ɐ j
बान्धव	b ɑː n dʱ ɐ ʋ ɐ
बाल	b ɑː l ɐ́
बालकः	b ɑː l ɐ k ɐ h
बालकेलि	b ɑː l ɐ k ɐ j l i
बालकौ	b ɑː l ɐ k ɑː w
बालक्रीडा	b ɑː l ɐ k ɾ iː ɖ ɑː
बाला	b ɑː l ɑː
बालातप	b ɑː l̪ ɑː t̪ ɐ p ɐ
बालिका	b ɑː l i k ɑː
बालिश	b ɑː l i ɕ ɐ
बाल्य	b ɑː l j ɐ
बाळ्ह	b ɑː ɭ̆ʱ ɐ
बावेरु	b ɑː ʋ eː ɾ u
बाष्प	b ɑː ʂ p ɐ
बाहु	b ɑː ɦ u
बाह्य	b ɑː ɦ j ɐ
बिडाल	b i ɖ ɑː l ɐ
बिडाला	b i ɖ ɑː l ɑː
बिडाली	b i ɖ ɑː l̪ iː
बिन्दु	b i n d ú
बिन्दुसार	b i n d u s ɑː ɾ ɐ
बिभर्ति	b i bʱ ɐ ɾ t̪ i
बिभाय	b i bʱ ɑː j ɐ
बिभेति	b i bʱ eː t̪ i
बिभ्यति	b i bʱ j ɐ t i
बिभ्रत्	b i bʱ ɾ ɐ t̪
बिम्ब	b i m b ɐ
बिल	b i l̪ ɐ
बिल्व	b i l ú ʋ ɐ
बीज	b iː d͡ʑ ɐ
बीजक	b iː d͡ʑ ɐ k ɐ
बीजगणित	b iː d͡ʑ ɐ ɡ ɐ ɳ i t̪ ɐ
बुक्कति	b u k k ɐ t i
बुक्कन	b u k k ɐ n ɐ
बुक्कयति	b u k k ɐ j ɐ t i
बुक्क्	b u k k
बुद्ध	b u d dʱ ɐ́
बुद्धस्य	b u d̪ d̪ʱ ɐ s̪ j ɐ
बुद्धाय	b u d dʱ ɑ́ː j ɐ
बुद्धि	b u d̪ d̪ʱ i
बुद्धीन्द्रिय	b u d dʱ iː n d ɾ i j ɐ́
बुद्ध्वा	b u d dʱ ʋ ɑː
बुद्बुद	b u d b u d ɐ
बुध	b u d̪ʱ ɐ
बुधवार	b u dʱ ɐ ʋ ɑː ɾ ɐ
बुध्	b u d̪ʱ
बुध्न	b u dʱ n ɐ́
बुध्यते	b u d̪ʱ j ɐ t̪ eː
बुन्द	b u n d ɐ́
बुबुध्वांस्	b u b u dʱ ʋ ɑ̃ː s
बुबोध	b u b oː d̪ʱ ɐ
बुभुक्षति	b u bʱ u k ʂ ɐ t i
बुभुक्षा	b u bʱ u k ʂ ɑː
बुभुक्षित	b u bʱ u k ʂ i t ɐ
बुभुक्षु	b u bʱ u k ʂ u
बुभूषति	b u bʱ uː ʂ ɐ t i
बुलबुल	b u l̪ ɐ b u l̪ ɐ
बुल्व	b u l ʋ ɐ́
बृंहति	b r̩̃ ɦ ɐ t i
बृंहित	b r̩̃ ɦ i t ɐ́
बृहति	b r̩ ɦ ɐ t í
बृहत्	b r̩ ɦ ɐ t̪
बृहदारण्यक	b r̩ ɦ ɐ d̪ ɑː ɾ ɐ ɳ j ɐ k ɐ
बृहन्त्	b r̩ ɦ ɐ n̪ t̪
बृहस्	b r̩ ɦ ɐ s
बृहस्पति	b r̩ ɦ ɐ s̪ p ɐ t̪ i
बृहस्पतिवार	b r̩ ɦ ɐ s p ɐ t i ʋ ɑː ɾ ɐ
बृह्	b r̩ ɦ
बृह्यते	b r̩ ɦ j ɐ t̪ eː
बेडा	b eː ɖ ɑː
बैजिक	b ɑ j d͡ʑ i k ɐ
बैल्व	b ɑ j l̪ ʋ ɐ
बोध	b oː d̪ʱ ɐ
बोधति	b oː d̪ʱ ɐ t̪ i
बोधते	b oː d̪ʱ ɐ t̪ eː
बोधन	b oː d̪ʱ ɐ n̪ ɐ
बोधयति	b oː d̪ʱ ɐ j ɐ t̪ i
बोधि	b oː d̪ʱ i
बोधिसत्त्व	b oː d̪ʱ i s̪ ɐ t̪ t̪ ʋ ɐ
बोभवति	b oː bʱ ɐ ʋ ɐ t̪ i
बोभवीति	b oː bʱ ɐ ʋ iː t̪ i
बोभोति	b oː bʱ oː t̪ i
बोल्लक	b oː l̪ l̪ ɐ k ɐ
ब्रध्न	b ɾ ɐ dʱ n ɐ́
ब्रवीति	b ɾ ɐ ʋ iː t̪ i
ब्रह्म	b ɾ ɐ ɦ m ɐ
ब्रह्मचर्य	b ɾ ɐ ɦ m ɐ t͡ɕ ɐ ɾ j ɐ
ब्रह्मदारु	b ɾ ɐ ɦ m ɐ d ɑː ɾ u
ब्रह्मन्	b ɾ ɐ ɦ m ɐ n̪
ब्रह्मयज्ञ	b ɾ ɐ ɦ m ɐ j ɐ d͡ʑ ɲ ɐ
ब्रह्मविद्या	b ɾ ɐ ɦ m ɐ ʋ i d j ɑ́ː
ब्रह्मवेद	b ɾ ɐ ɦ m ɐ ʋ eː d̪ ɐ
ब्रह्मा	b ɾ ɐ ɦ m ɑː
ब्रह्माण्ड	b ɾ ɐ ɦ m ɑː ɳ ɖ ɐ
ब्रह्मिष्ठ	b ɾ ɐ ɦ m i ʂ ʈʰ ɐ
ब्रह्मी	b ɾ ɐ ɦ m iː
ब्रह्मोद्य	b ɾ ɐ ɦ m oː d̪ j ɐ
ब्राह्म	b ɾ ɑː ɦ m ɐ
ब्राह्मण	b ɾ ɑː ɦ m ɐ ɳ ɐ
ब्राह्मणब्रुव	b ɾ ɑː ɦ m ɐ ɳ ɐ b ɾ u ʋ ɐ
ब्राह्मि	b ɾ ɑː ɦ m i
ब्राह्मी	b ɾ ɑː ɦ m iː
ब्रुव	b ɾ u ʋ ɐ
ब्रू	b ɾ uː
ब्रूयते	b ɾ uː j ɐ t ɐ j
ब्रूहि	b ɾ uː ɦ i
भक्त	bʱ ɐ k t ɐ́
भक्ति	bʱ ɐ k t í
भक्ष	bʱ ɐ k ʂ ɐ
भक्षण	bʱ ɐ k ʂ ɐ ɳ ɐ
भक्षति	bʱ ɐ k ʂ ɐ t̪ i
भक्ष्	bʱ ɐ k ʂ
भग	bʱ ɐ ɡ ɐ
भगदत्त	bʱ ɐ ɡ ɐ d ɐ t t ɐ
भगवत्	bʱ ɐ ɡ ɐ ʋ ɐ t̪
भगवद्	bʱ ɐ ɡ ɐ ʋ ɐ d
भगवद्गीता	bʱ ɐ ɡ ɐ ʋ ɐ d ɡ iː t ɑ́ː
भगवन्	bʱ ɐ ɡ ɐ ʋ ɐ n
भगवन्त	bʱ ɐ ɡ ɐ ʋ ɐ n t ɐ
भगवान्	bʱ ɐ ɡ ɐ ʋ ɑː n
भगिनीपुत्र	bʱ ɐ ɡ i n iː p u t ɾ ɐ
भगी	bʱ ɐ ɡ iː
भगीरथ	bʱ ɐ ɡ iː ɾ ɐ t̪ʰ ɐ
भग्न	bʱ ɐ ɡ n ɐ́
भङ्ग	bʱ ɐ ŋ ɡ ɐ
भजति	bʱ ɐ d͡ʑ ɐ t̪ i
भजते	bʱ ɐ d͡ʑ ɐ t̪ eː
भजन	bʱ ɐ d͡ʑ ɐ n ɐ
भज्	bʱ ɐ d͡ʑ
भज्यते	bʱ ɐ d͡ʑ j ɐ t̪ eː
भञ्जक	bʱ ɐ ɲ d͡ʑ ɐ k ɐ
भञ्जिन्	bʱ ɐ ɲ d͡ʑ i n
भट	bʱ ɐ ʈ ɐ
