ͷ	t͡s
προσπλέων	p r o s p l e o n
προσπλεούσας	p r o s p l e u s a s
προσποιέω	p r o s p i e o
προσποιήσειαν	p r o s p i i s i a n
προσπόρισμα	p r o s p o r i z m a
προσσχόντες	p r o s kʰ o n t e s
προσσχών	p r o s kʰ o n
προστάσσω	p r o s t a s o
προστάτης	p r o s t a t e̝ s
προστέθηκα	p r o s t e tʰ e̝ k a
προστίθεμαι	p r o s t i tʰ e m ɛ
προστίθεσθαι	p r o s t i tʰ e s tʰ ɛ
προστίθημι	p r o s t i tʰ e̝ m i
προστίθησι	p r o s t i tʰ e̝ s i
προστιθέν	p r o s t i tʰ e n
προστιθέντα	p r o s t i tʰ e n t a
προστιθέντας	p r o s t i tʰ e n t a s
προστιθέντες	p r o s t i tʰ e n t e s
προστιθέντι	p r o s t i tʰ e n t i
προστιθέντος	p r o s t i tʰ e n t o s
προστιθέντων	p r o s t i tʰ e n t o n
προστιθείς	p r o s t i tʰ i s
προστιθείσης	p r o s t i tʰ i s e̝ s
προστιθεῖσα	p r o s t i tʰ i s a
προστιθεῖσαν	p r o s t i tʰ i s a n
προστιθεῖσι	p r o s t i tʰ i s i
προστιθεῖσιν	p r o s t i tʰ i s i n
προστρέχω	p r o s t r e kʰ o
προσυγγίγνομαι	p r o s i ɲ ɟ i ɣ n o m e
προσφέρει	p r o s f e r i
προσφέρειν	p r o s f e r i n
προσφέρεις	p r o s f e r i s
προσφέρεσθαι	p r o s f e r e s θ e
προσφέρεσθε	p r o s f e r e s θ e
προσφέρεται	p r o s f e r e t e
προσφέρετε	p r o s f e r e t e
προσφέρησθε	p r o s f e r i s θ e
προσφέρηται	p r o s f e r i t e
προσφέρητε	p r o s f e r i t e
προσφέροι	p r o s f e r i
προσφέροιμεν	p r o s f e r i m e n
προσφέροιμι	p r o s f e r i m i
προσφέροιντο	p r o s f e r i n d o
προσφέροις	p r o s f e r i s
προσφέροιτο	p r o s f e r i t o
προσφέρομαι	p r o s f e r o m e
προσφέρομεν	p r o s f e r o m e n
προσφέρονται	p r o s f e r o n d e
προσφέρουσι	p r o s f e r u s i
προσφέρουσιν	p r o s f e r u s i n
προσφέρω	p r o s f e r o
προσφέρωμαι	p r o s f e r o m e
προσφέρωμεν	p r o s f e r o m e n
προσφέρωνται	p r o s f e r o n d e
προσφέρωσι	p r o s f e r o s i
προσφέρῃ	p r o s f e r i
προσφέρῃς	p r o s f e r i s
προσφερέτω	p r o s f e r e t o
προσφερής	p r o s f e r i s
προσφερόμεθα	p r o s f e r o m e θ a
προσφερώμεθα	p r o s f e r o m e θ a
προσφορά	p r o s f o r a
προσφωνέω	p r o s f o n e o
προσφύομαι	p r o s f i o m e
προσχωρέω	p r o s kʰ o r e o
προσωπεῖον	p r o s o p i o n
προσωποποιία	p r o s o p o p i i a
προσόδους	p r o s o d u s
προσόδων	p r o s o d o n
προσόδῳ	p r o s o d o
προσώποιν	p r o s o p i n
προσώποις	p r o s o p i s
προσώπου	p r o s o p u
προσώπω	p r o s o p o
προσώπων	p r o s o p o n
προσώπῳ	p r o s o p o
προσῄει	p r o s e̝ i
προσῆκον	p r o s e̝ k o n
προσῆλθον	p r o s e̝ l tʰ o n
προσῳδία	p r o s o d i a
προσῳδίαν	p r o s o d i a n
προσῳδίας	p r o s o d i a s
προσῳδιῶν	p r o s o d i o n
προτέρα	p r o t e r a
προτέραις	p r o t e r e s
προτέραν	p r o t e r a n
προτέρας	p r o t e r a s
προτέρη	p r o t e r e̝
προτέρην	p r o t e r e̝ n
προτέρης	p r o t e r e̝ s
προτέροις	p r o t e r i s
προτέρου	p r o t e r u
προτέρους	p r o t e r u s
προτέρω	p r o t e r o
προτέρων	p r o t e r o n
προτέρᾳ	p r o t e r a
προτέρῃ	p r o t e r e̝
προτέρῳ	p r o t e r o
προτί	p r o t i
προτίθημι	p r o t i tʰ e̝ m i
προτείνω	p r o t i n o
προτερέω	p r o t e r e o
προτεραίᾳ	p r o t e r e a
προτεραῖος	p r o t e r e o s
προτερῆσαι	p r o t e r e̝ s ɛ
προτιμάω	p r o t i m a o
προτιμήσεις	p r o t i m e̝ s i s
προτιμωρέω	p r o t i m o r e o
προτοθύης	p r o t o tʰ y e̝ s
προτρέπομαι	p r o t r e p o m e
προτρέπομεν	p r o t r e p o m e n
προτρέπω	p r o t r e p o
προυγεγένηντο	p r u ɡ e ɡ e n e̝ n t o
προυσίας	p r u s i a s
προυτιμωρήσατε	p r u t i m o r e̝ s a t e
προυχώρησε	p r u kʰ o r e̝ s e
προφάσει	p r o f a s i
προφάσεως	p r o f a s e o s
προφέρω	p r o f e r o
προφήταις	p r o f i t e s
προφήτας	p r o f i t a s
προφήτην	p r o f i t i n
προφήτης	p r o f i t i s
προφήτου	p r o f i t u
προφήτῃ	p r o f i t i
προφανής	p r o f a n i s
προφανοῦς	p r o f a n u s
προφανῶς	p r o f a n o s
προφασίζομαι	p r o f a s i z o m e
προφητίζειν	p r o f i t i z i n
προφητίζω	p r o f i t i z o
προφητεία	p r o f i t i a
προφητεύομαι	p r o f i t e v o m e
προφητεύω	p r o f i t e v o
προφητικός	p r o f i t i k o s
προφητῶν	p r o f i t o n
προφορά	p r o f o r a
προφρονέως	p r o f r o n e o s
προφυλακτικός	p r o f i l a k t i k o s
προφῆτα	p r o f i t a
προφῆται	p r o f i t e
προχωρέω	p r o kʰ o r e o
προχωρήσας	p r o kʰ o r e̝ s a s
προχωρησάντων	p r o kʰ o r e̝ s a n t o n
προχόῳ	p r o kʰ o o
προωθέω	p r o o tʰ e o
προϊάπτω	p r o i a p t o
προϊδόντες	p r o i d o n t e s
προϊδών	p r o i d o n
προϊούσα	p r o i u s a
προϊούσας	p r o i u s a s
προϊούσης	p r o i u s e̝ s
προϊσχόμενοι	p r o i s kʰ o m e n y
προϊσχόμενος	p r o i s kʰ o m e n o s
προϊόν	p r o i o n
προϊόντα	p r o i o n d a
προϊόντες	p r o i o n d e s
προϊόντος	p r o i o n d o s
προϊόντων	p r o i o n d o n
προϊών	p r o i o n
προόδου	p r o o d u
προόδῳ	p r o o d o
προύβη	p r u b e̝
προύγραψα	p r u ɡ r a p s a
προὐφασίζετο	p r u f a s i z e t o
προὐφείλω	p r u f i l o
προὐφειλομένης	p r u f i l o m e n i s
προὐφειλόμενος	p r u f i l o m e n o s
προὔπεμψαν	p r u p e m p s a n
προὔχειν	p r u kʰ i n
προὔχοντα	p r u kʰ o n t a
προὔχοντες	p r u kʰ o n t e s
προὔχω	p r u kʰ o
προὔχων	p r u kʰ o n
προῆλθον	p r o e̝ l tʰ o n
προῆσθε	p r o e̝ s tʰ e
προῖκα	p r i k a
προῖκας	p r i k a s
προῖκες	p r i c e s
προῖτος	p r i t o s
προῦμνα	p r u m n a
προῦμνον	p r u m n o n
προῦσα	p r u s a
πρυλέες	p r i l e e s
πρυμνά	p r i m n a
πρυμνήσι'	p r i m n i s i
πρυμνήσια	p r i m n i s i a
πρυμνήσιος	p r i m n i s i o s
πρυμνόν	p r i m n o n
πρυμνός	p r i m n o s
πρυμνῇ	p r i m n i
πρυμνῇσι	p r i m n i s i
πρωΐ	p r o i
πρωκτός	p r o k t o s
πρωτάων	p r o t a o n
πρωτέας	p r o t e a s
πρωτέων	p r o t e o n
πρωταγωνιστής	p r o t a ɡ o n i s t e̝ s
πρωταγόρας	p r o t a ɡ o r a s
πρωταύλης	p r o t a v l i s
πρωτεσίλαος	p r o t e s i l a o s
πρωτεύς	p r o t e f s
πρωτεῖον	p r o t i o n
πρωτεῖος	p r o t i o s
πρωτογόνων	p r o t o ɡ o n o n
πρωτολογία	p r o t o l o ɡ i a
πρωτολόγος	p r o t o l o ɡ o s
πρωτοστάτης	p r o t o s t a t e̝ s
πρωτοτόκια	p r o t o t o c i a
πρωτοτόκος	p r o t o t o k o s
πρωτοτύπου	p r o t o t i p u
πρωτοτύπων	p r o t o t i p o n
πρωτόγονος	p r o t o ɡ o n o s
πρωτόκολλον	p r o t o k o l l o n
πρωτός	p r o t o s
πρωτότοκος	p r o t o t o k o s
πρωτότυπα	p r o t o t i p a
πρωτότυπε	p r o t o t i p e
πρωτότυποι	p r o t o t i p i
πρωτότυπον	p r o t o t i p o n
πρωτότυπος	p r o t o t i p o s
πρωτῶν	p r o t o n
πρό	p r o
πρόβατα	p r o b a t a
πρόβατον	p r o b a t o n
πρόβλημα	p r o b l e̝ m a
πρόγνωσις	p r o ɡ n o s i s
πρόγονε	p r o ɡ o n e
πρόγονοι	p r o ɡ o n y
πρόγονον	p r o ɡ o n o n
πρόγονος	p r o ɡ o n o s
πρόγραμμα	p r o ɡ r a m m a
πρόδικος	p r o d i k o s
πρόδομος	p r o d o m o s
πρόειμι	p r o i m i
πρόεσαν	p r o e s a n
πρόθειος	p r o tʰ i o s
πρόθεσις	p r o tʰ e s i s
πρόθοος	p r o tʰ o o s
πρόθυμος	p r o tʰ y m o s
πρόθυρον	p r o tʰ y r o n
πρόκειμαι	p r o c i m e
πρόκειται	p r o c i t e
πρόκλησις	p r o k l e̝ s i s
πρόκλος	p r o k l o s
πρόκνη	p r o k n e̝
πρόκρις	p r o k r i s
πρόληψις	p r o l e̝ p s i s
πρόλοβος	p r o l o b o s
πρόλογε	p r o l o ɡ e
πρόλογοι	p r o l o ɡ y
πρόλογον	p r o l o ɡ o n
πρόλογος	p r o l o ɡ o s
πρόμαχος	p r o m a kʰ o s
πρόμος	p r o m o s
πρόνοια	p r o n i a
πρόνοος	p r o n o o s
πρόξ	p r o k s
πρόξενοι	p r o k s e n i
πρόξενος	p r o k s e n o s
πρόοδος	p r o o d o s
πρόοιδα	p r o i ð a
πρόπαν	p r o p a n
πρόπαππος	p r o p a p o s
πρόπας	p r o p a s
πρόπολις	p r o p o l i s
πρόπομα	p r o p o m a
πρόποσις	p r o p o s i s
πρόρρησιν	p r o r i s i n
πρόρρησις	p r o r i s i s
πρός	p r o s
πρόσειμι	p r o s i m i
πρόσεισι	p r o s i s i
πρόσθ'	p r o s tʰ
πρόσθε	p r o s tʰ e
πρόσθεν	p r o s tʰ e n
πρόσθεσις	p r o s tʰ e s i s
πρόσθησθε	p r o s tʰ e̝ s tʰ e
πρόσκωπος	p r o s k o p o s
πρόσληψις	p r o z l e̝ p s i s
πρόσοδος	p r o s o d o s
πρόσοικος	p r o s i k o s
πρόσσω	p r o s o
πρόσταγμα	p r o s t a ɡ m a
πρόσταξις	p r o s t a k s i s
πρόστυλος	p r o s t i l o s
πρόσφατος	p r o s f a t o s
πρόσφερε	p r o s f e r e
πρόσφημι	p r o s f i m i
πρόσχιον	p r o s kʰ i o n
πρόσω	p r o s o
πρόσωπα	p r o s o p a
πρόσωπον	p r o s o p o n
πρόταξις	p r o t a k s i s
πρότασις	p r o t a s i s
πρότεραι	p r o t e r e
πρότερε	p r o t e r e
πρότεροι	p r o t e r i
πρότερον	p r o t e r o n
πρόφασιν	p r o f a s i n
πρόφασις	p r o f a s i s
πρόφρονι	p r o f r o n i
πρόφρων	p r o f r o n
πρόχοος	p r o kʰ o o s
πρόϊμος	p r o i m o s
πρύμνα	p r i m n a
πρύμναν	p r i m n a n
πρύμνῃ	p r i m n i
πρύτανις	p r i t a n i s
πρώην	p r o e̝ n
πρώξ	p r o k s
πρώτα	p r o t a
πρώταιν	p r o t e n
πρώταις	p r o t e s
πρώταιϊν	p r o t e i n
πρώτας	p r o t a s
πρώτειος	p r o t i o s
πρώτη	p r o t e̝
πρώτην	p r o t e̝ n
πρώτης	p r o t e̝ s
πρώτιστα	p r o t i s t a
πρώτιστον	p r o t i s t o n
πρώτιστος	p r o t i s t o s
πρώτοιν	p r o t i n
πρώτοιο	p r o t i o
πρώτοις	p r o t i s
πρώτοισι	p r o t i s i
πρώτοισιν	p r o t i s i n
πρώτοιϊν	p r o t i i n
πρώτοο	p r o t o o
πρώτου	p r o t u
πρώτους	p r o t u s
πρώτω	p r o t o
πρώτων	p r o t o n
πρώτῃ	p r o t e̝
πρώτῃς	p r o t e̝ s
πρώτῃσι	p r o t e̝ s i
πρώτῃσιν	p r o t e̝ s i
πρώτῃϊν	p r o t e̝ i n
πρώτῳ	p r o t o
πρώϊμος	p r o i m o s
πρᾳέα	p r a e a
πρᾳέσι	p r a e s i
πρᾳέσιν	p r a e s i n
πρᾳέων	p r a e o n
πρᾳεία	p r a i a
πρᾳείαιν	p r a i e n
πρᾳείαις	p r a i e s
πρᾳείας	p r a i a s
πρᾳείᾳ	p r a i a
πρᾳειῶν	p r a i o n
πρᾳεῖα	p r a i a
πρᾳεῖαι	p r a i e
πρᾳεῖαν	p r a i a n
πρᾳεῖς	p r a i s
πρᾴοιν	p r a i n
πρᾴοις	p r a i s
πρᾴου	p r a u
πρᾴους	p r a u s
πρᾴω	p r a o
πρᾴων	p r a o n
πρᾴῳ	p r a o
πρᾶα	p r a a
πρᾶγμα	p r a ɡ m a
πρᾶε	p r a e
πρᾶξαι	p r a k s e
πρᾶξι	p r a k s i
πρᾶξιν	p r a k s i n
πρᾶξις	p r a k s i s
πρᾶοι	p r a i
πρᾶον	p r a o n
πρᾶος	p r a o s
πρᾶς	p r a s
πρᾶσις	p r a s i s
πρᾶσσον	p r a s o n
πρᾶτα	p r a t a
πρᾶται	p r a t e
πρᾶτον	p r a t o n
πρᾶτος	p r a t o s
πρᾶττε	p r a t e
πρᾷα	p r a a
πρᾷε	p r a e
πρᾷοι	p r a i
πρᾷον	p r a o n
πρᾷος	p r a o s
πρῆξις	p r e̝ k s i s
πρῖγκιψ	p r i ŋ k i p s
πρῖνος	p r i n o s
πρῴ	p r o
πρῶτ'	p r o t
πρῶτα	p r o t a
πρῶται	p r o t e
πρῶτε	p r o t e
πρῶτοι	p r o t i
πρῶτον	p r o t o n
πρῶτος	p r o t o s
πρῶϊ	p r o i
πρῷμος	p r o m o s
πρῷρα	p r o r a
πτάρνυμαι	p t a r n i m e
πτέλας	p t e l a s
πτέρινος	p t e r i n o s
πτέρις	p t e r i s
πτέρνα	p t e r n a
πτέρνη	p t e r n e̝
πτέρνης	p t e r n e̝ s
πτέρυγα	p t e r i ɣ a
πτέρυγας	p t e r i ɣ a s
πτέρυγε	p t e r i ʝ e
πτέρυγες	p t e r i ʝ e s
πτέρυγι	p t e r i ʝ i
πτέρυγος	p t e r i ɣ o s
πτέρυξ	p t e r i k s
πτέρυξι	p t e r i k s i
πτέρυξιν	p t e r i k s i n
πτήσσω	p t e̝ s s o
πτίλον	p t i l o n
πτίλωσις	p t i l o s i s
πτίσσω	p t i s o
πταίω	p t e o
πταρμική	p t a r m i c i
πτελέα	p t e l e a
πτελέϊνος	p t e l e i n o s
πτελεός	p t e l e o s
πτερά	p t e r a
πτερία	p t e r i a
πτεροῖν	p t e r i n
πτεροῖς	p t e r i s
πτεροῦ	p t e r u
πτερυγοειδής	p t e r i ɣ o i ð i s
πτερωτός	p t e r o t o s
πτερόεις	p t e r o i s
πτερόεντ'	p t e r o e n d
πτερόεντα	p t e r o e n d a
πτερόν	p t e r o n
πτερόω	p t e r o o
πτερύγεσι	p t e r i ʝ e s i
πτερύγεσιν	p t e r i ʝ e s i n
πτερύγεσσι	p t e r i ʝ e s i
πτερύγεσσιν	p t e r i ʝ e s i n
πτερύγιον	p t e r i ʝ i o n
πτερύγοιν	p t e r i ʝ i n
πτερύγοιϊν	p t e r i ʝ i i n
πτερύγων	p t e r i ɣ o n
πτερώ	p t e r o
πτερῶν	p t e r o n
πτερῷ	p t e r o
πτηνός	p t e̝ n o s
πτισάνη	p t i s a n e̝
πτοέω	p t o e o
πτολέμοιο	p t o l e m i o
πτολέμους	p t o l e m u s
πτολίεθρον	p t o l i e tʰ r o n
πτολίπορθον	p t o l i p o r tʰ o n
πτολίπορθος	p t o l i p o r tʰ o s
πτολεμίζειν	p t o l e m i z i n
πτολεμίζω	p t o l e m i z o
πτολεμαΐδα	p t o l e m a i d a
πτολεμαΐς	p t o l e m a i s
πτολεμαίου	p t o l e m e u
πτολεμαίῳ	p t o l e m e o
πτολεμαϊκός	p t o l e m a i k o s
πτολεμαῖε	p t o l e m e e
πτολεμαῖον	p t o l e m e o n
πτολεμαῖος	p t o l e m e o s
πτολιπόρθῳ	p t o l i p o r tʰ o
πτυχή	p t i ç i
πτωτικός	p t o t i k o s
πτωτός	p t o t o s
πτωχή	p t o kʰ e̝
πτωχοί	p t o kʰ y
πτωχοτροφεῖον	p t o kʰ o t r o pʰ i o n
πτωχούς	p t o kʰ u s
πτωχόν	p t o kʰ o n
πτωχός	p t o kʰ o s
πτωχῶς	p t o kʰ o s
πτωχῷ	p t o kʰ o
πτόλεμος	p t o l e m o s
πτόλιν	p t o l i n
πτόλιος	p t o l i o s
πτόλις	p t o l i s
πτόρθος	p t o r tʰ o s
πτύγμα	p t i ɣ m a
πτύγξ	p t i ŋ k s
πτύξ	p t i k s
πτύξις	p t i k s i s
πτύον	p t i o n
πτύσμα	p t i z m a
πτύσσω	p t i s o
πτύχας	p t i x a s
πτύχιον	p t i ç i o n
πτύω	p t i o
πτώξ	p t o k s
πτῆσις	p t e̝ s i s
πτῶμα	p t o m a
πτῶσις	p t o s i s
πτῷον	p t o o n
πυανεψιών	p i a n e p s i o n
πυγά	p i ɣ a
πυγάς	p i ɣ a s
πυγή	p i ʝ i
πυγήν	p i ʝ i n
πυγαί	p i ʝ e
πυγαῖν	p i ʝ e n
πυγαῖς	p i ʝ e s
πυγμή	p i ɣ m i
πυγμαῖος	p i ɣ m e o s
πυγμῆς	p i ɣ m i s
πυγολαμπίς	p i ɣ o l a m b i s
πυγών	p i ɣ o n
πυγῆς	p i ʝ i s
πυγῇ	p i ʝ i
πυγῶν	p i ɣ o n
πυθέσθαι	p i θ e s θ e
πυθία	p i θ i a
πυθαγορικός	p i θ a ɣ o r i k o s
πυθαγορῶν	p i θ a ɣ o r o n
πυθαγόρα	p i θ a ɣ o r a
πυθαγόραι	p i θ a ɣ o r e
πυθαγόραιν	p i θ a ɣ o r e n
πυθαγόραις	p i θ a ɣ o r e s
πυθαγόραν	p i θ a ɣ o r a n
πυθαγόρας	p i θ a ɣ o r a s
πυθαγόρου	p i θ a ɣ o r u
πυθαγόρᾳ	p i θ a ɣ o r a
πυθμήν	p i θ m i n
πυθοίμην	p i θ i m i n
πυθοκλῆς	p i θ o k l i s
πυθωνίδης	p i θ o n i ð i s
πυθόδωρος	p i θ o ð o r o s
πυθόμενοι	p i θ o m e n i
πυθόμενος	p i θ o m e n o s
πυθώ	p i θ o
πυκινά	p i c i n a
πυκινάς	p i c i n a s
πυκινάων	p i c i n a o n
πυκινέ	p i c i n e
πυκινέων	p i c i n e o n
πυκινή	p i c i n i
πυκινήν	p i c i n i n
πυκιναί	p i c i n e
πυκιναῖν	p i c i n e n
πυκιναῖς	p i c i n e s
πυκιναῖϊν	p i c i n e i n
πυκινοί	p i c i n i
πυκινούς	p i c i n u s
πυκινοῖν	p i c i n i n
πυκινοῖο	p i c i n i o
πυκινοῖς	p i c i n i s
πυκινοῖσι	p i c i n i s i
πυκινοῖσιν	p i c i n i s i n
πυκινοῖϊν	p i c i n i i n
πυκινοῦ	p i c i n u
πυκινόν	p i c i n o n
πυκινόο	p i c i n o o
πυκινός	p i c i n o s
πυκινώ	p i c i n o
πυκινῆς	p i c i n i s
πυκινῇ	p i c i n i
πυκινῇς	p i c i n i s
πυκινῇσι	p i c i n i s i
πυκινῇσιν	p i c i n i s i n
πυκινῶν	p i c i n o n
πυκινῶς	p i c i n o s
πυκινῷ	p i c i n o
πυκνά	p i k n a
πυκνάς	p i k n a s
πυκνή	p i k n i
πυκνήν	p i k n i n
πυκνί	p i k n i
πυκναί	p i k n e
πυκναῖς	p i k n e s
πυκνοί	p i k n i
πυκνοτέρα	p i k n o t e r a
πυκνοτέραις	p i k n o t e r e s
πυκνοτέραν	p i k n o t e r a n
πυκνοτέρας	p i k n o t e r a s
πυκνοτέροις	p i k n o t e r i s
πυκνοτέρου	p i k n o t e r u
πυκνοτέρους	p i k n o t e r u s
πυκνοτέρων	p i k n o t e r o n
πυκνοτέρᾳ	p i k n o t e r a
πυκνοτέρῳ	p i k n o t e r o
πυκνούς	p i k n u s
πυκνοῖς	p i k n i s
πυκνοῖσι	p i k n i s i
πυκνοῖσιν	p i k n i s i n
πυκνοῦ	p i k n u
πυκνόκομον	p i k n o k o m o n
πυκνόν	p i k n o n
πυκνός	p i k n o s
πυκνότερα	p i k n o t e r a
πυκνότεραι	p i k n o t e r e
πυκνότεροι	p i k n o t e r i
πυκνότερον	p i k n o t e r o n
πυκνότερος	p i k n o t e r o s
πυκνῆς	p i k n i s
πυκνῇ	p i k n i
πυκνῇς	p i k n i s
πυκνῇσι	p i k n i s i
πυκνῇσιν	p i k n i s i n
πυκνῶν	p i k n o n
πυκνῷ	p i k n o
πυκτεύω	p i k t e v o
πυλάδης	p i l a ð i s
πυλάων	p i l a o n
πυλέων	p i l e o n
πυλήνη	p i l i n i
πυλίς	p i l i s
πυλίων	p i l i o n
πυλεών	p i l e o n
πυλωρός	p i l o r o s
πυλών	p i l o n
πυλῶν	p i l o n
πυνθάνομαι	p i n θ a n o m e
πυνθάνονται	p i n θ a n o n d e
πυνθανόμενοι	p i n θ a n o m e n i
πυνθανόμενος	p i n θ a n o m e n o s
πυξίον	p i k s i o n
πυξίς	p i k s i s
πυξών	p i k s o n
πυρά	p i r a
πυράγρα	p i r a ɣ r a
πυράν	p i r a n
πυράς	p i r a s
πυρέσσω	p i r e s o
πυρέττω	p i r e t o
πυρή	p i r i
πυρήν	p i r i n
πυρήνη	p i r i n i
πυρί	p i r i
πυρία	p i r i a
πυρίτης	p i r i t i s
πυρίφλεκτος	p i r i f l e k t o s
πυραί	p i r e
πυραλίς	p i r a l i s
πυραμίς	p i r a m i s
πυραμοῦς	p i r a m u s
πυραυγής	p i r a v ʝ i s
πυραῖν	p i r e n
πυραῖς	p i r e s
πυργοφύλαξ	p i r ɣ o f i l a k s
πυρείου	p i r i u
πυρετοί	p i r e t i
πυρετούς	p i r e t u s
πυρετοῖν	p i r e t i n
πυρετοῖς	p i r e t i s
πυρετοῦ	p i r e t u
πυρετόν	p i r e t o n
πυρετός	p i r e t o s
πυρετῶν	p i r e t o n
πυρετῷ	p i r e t o
πυρεῖα	p i r i a
πυρεῖον	p i r i o n
πυρηναῖα	p i r i n e a
πυριλάμπης	p i r i l a m b i s
πυρκαϊά	p i r k a i a
πυρκαϊή	p i r k a i i
πυρκαϊήν	p i r k a i i n
πυρκαϊῆς	p i r k a i i s
πυροβόλος	p i r o v o l o s
πυρομέτρης	p i r o m e t r i s
πυρομαντεία	p i r o m a n d i a
πυροῖς	p i r i s
πυροῖσι	p i r i s i
πυροῖσιν	p i r i s i n
πυρράζω	p i r a z o
πυρρίας	p i r i a s
πυρροκόραξ	p i r o k o r a k s
πυρρούλας	p i r u l a s
πυρρός	p i r o s
πυρσαίνω	p i r s e n o
πυρσοφόρος	p i r s o f o r o s
πυρσός	p i r s o s
πυρωπός	p i r o p o s
πυρόν	p i r o n
πυρός	p i r o s
πυρόω	p i r o o
πυρᾶς	p i r a s
πυρᾷ	p i r a
πυρῆς	p i r i s
πυρῇ	p i r i
πυρῶν	p i r o n
πυτίνη	p i t i n i
πυός	p i o s
πω	p o
πωγώνιον	p o ɡ o n i o n
πωλέειν	p o l e i n
πωλέεσκε	p o l e e s c e
πωλέον	p o l e o n
πωλέουσα	p o l e u s a
πωλέουσι	p o l e u s i
πωλέουσιν	p o l e u s i n
πωλέω	p o l e o
πωλέων	p o l e o n
πωλήσαι	p o l e̝ s ɛ
πωλήσει	p o l e̝ s i
πωλήσειν	p o l e̝ s i n
πωλήσεις	p o l e̝ s i s
πωλήσεται	p o l e̝ s e t ɛ
πωλήσω	p o l e̝ s o
πωλήσῃ	p o l e̝ s e̝
πωλήσῃς	p o l e̝ s e̝ s
πωλείτω	p o l i t o
πωλεῖ	p o l i
πωλεῖν	p o l i n
πωλεῖς	p o l i s
πωλεῖσθαι	p o l i s tʰ ɛ
πωλεῖται	p o l i t e
πωλεῖτε	p o l i t e
πωλησάτω	p o l e̝ s a t o
πωλοίη	p o l i i
πωλουμένη	p o l u m e n e̝
πωλούμενον	p o l u m e n o n
πωλούμενος	p o l u m e n o s
πωλοῖεν	p o l i e n
πωλοῦν	p o l u n
πωλοῦνται	p o l u n d e
πωλοῦσα	p o l u s a
πωλοῦσι	p o l u s i
πωλοῦσιν	p o l u s i n
πωλῆσαι	p o l e̝ s ɛ
πωλῇ	p o l e̝
πωλῇς	p o l e̝ s
πωλῶ	p o l o
πωλῶμεν	p o l o m e n
πωλῶν	p o l o n
πωλῶσι	p o l o s i
πωλῶσιν	p o l o s i n
πωρός	p o r o s
πως	p o s
πόα	p o a
πόδα	p o d a
πόδας	p o d a s
πόδε	p o d e
πόδες	p o d e s
πόδεσι	p o d e s i
πόδεσιν	p o d e s i n
πόδεσσι	p o d e s s i
πόδεσσιν	p o d e s s i n
πόδιον	p o d i o n
πόει	p o i
πόθεν	p o tʰ e n
πόθι	p o tʰ i
πόθος	p o tʰ o s
πόθου	p o tʰ u
πόκος	p o k o s
πόλεας	p o l e a s
πόλει	p o l i
πόλεις	p o l i s
πόλεμε	p o l e m e
πόλεμοι	p o l e m i
πόλεμον	p o l e m o n
πόλεμονδε	p o l e m o n d e
πόλεμος	p o l e m o s
πόλεος	p o l e o s
πόλεσι	p o l e s i
πόλεσιν	p o l e s i n
πόλεων	p o l e o n
πόλεως	p o l e o s
πόλη	p o l e̝
πόληα	p o l e̝ a
πόληας	p o l e̝ a s
πόληες	p o l e̝ e s
πόληος	p o l e̝ o s
πόληϊ	p o l e̝ i
πόλι	p o l i
πόλιας	p o l i a s
πόλιε	p o l i e
πόλιες	p o l i e s
πόλιν	p o l i n
πόλινδ'	p o l i n d
πόλινδε	p o l i n d e
πόλιον	p o l i o n
πόλιος	p o l i o s
πόλις	p o l i s
πόλισι	p o l i s i
πόλισιν	p o l i s i n
πόλισμα	p o l i z m a
πόλισσι	p o l i s i
πόλισσιν	p o l i s i n
πόλιϊ	p o l i i
πόλλ'	p o l
πόλτος	p o l t o s
πόλυβος	p o l i v o s
πόλῃ	p o l e̝
πόνε	p o n e
πόνοι	p o n i
πόνοιν	p o n i n
πόνοιο	p o n i o
πόνοις	p o n i s
πόνοισι	p o n i s i
πόνον	p o n o n
πόνος	p o n o s
πόνου	p o n u
πόνους	p o n u s
πόντε	p o n d e
πόντοιο	p o n d i o
πόντον	p o n d o n
πόντος	p o n d o s
πόντου	p o n d u
πόντῳ	p o n d o
πόνω	p o n o
πόνων	p o n o n
πόνῳ	p o n o
πόπανον	p o p a n o n
πόπειος	p o p i o s
πόπλιος	p o p l i o s
πόποι	p o p i
πόππυσμα	p o p i z m a
πόρε	p o r e
πόρεν	p o r e n
πόρκης	p o r c i s
πόρκος	p o r k o s
πόρναι	p o r n e
πόρνη	p o r n e̝
πόρνος	p o r n o s
πόρνοψ	p o r n o p s
πόροι	p o r i
πόροιν	p o r i n
πόροις	p o r i s
πόρον	p o r o n
πόρος	p o r o s
πόρου	p o r u
πόρους	p o r u s
πόρπαξ	p o r p a k s
πόρπη	p o r p e̝
πόρτις	p o r t i s
πόρφυρε	p o r f i r e
πόρω	p o r o
πόρων	p o r o n
πόρῳ	p o r o
πόσαις	p o s e s
πόσας	p o s a s
πόσε	p o s e
πόσειδον	p o s i d o n
πόση	p o s e̝
πόσην	p o s e̝ n
πόσθη	p o s tʰ e̝
πόσιν	p o s i n
πόσιος	p o s i o s
πόσις	p o s i s
πόσοις	p o s i s
πόσον	p o s o n
πόσος	p o s o s
πόστος	p o s t o s
πόσῃ	p o s e̝
πόσῳ	p o s o
πότε	p o t e
πότερα	p o t e r a
πότεραι	p o t e r e
