achab	aː k a b
elm	ɛ l m
elne	ɛ l
elnen	ɛ l n ə n
elven	a l v ə
elvyssh	a l v i ʃ
em	ɛː m
emeraude	ɛ m ə r a n t
emeroides	ɛ m ə r u i̯ d i s
emperice	ɛ m p ə r i s
emperie	a u̯ m p ə r iː
emperour	ɛ m p ə r eː r
empire	ɛ m p iː r
emty	a m p t iː
enamoured	ɛ n a m u r ɛ d
enbawmen	ɛ m b a u̯ m ə n
encens	ɛ n s ɛ n s
encensen	ɛ n s ɛ n s ə n
enchaufen	ɛ n t͡ʃ a u̯ f ə n
enchauntement	ɛ n t͡ʃ a n t m ɛ n t
enchaunten	ɛ n t ʃ a n t ə n
enchaunteresse	ɛ n t͡ʃ a n t ə r ɛ s
enchauntour	ɛ n t ʃ a n t u r
enchauntynge	ɛ n t͡ʃ a n t i n ɡ
enchesoun	ɛ n t͡ʃ ɛː z u n
enchewen	ɛ n t͡ʃ i u̯ ə n
encompassen	ɛ n k u m p a s ə n
encres	ɛ n k r ɛ s
encresen	ɛ n k r ɛ s ə n
encresynge	ɛ n k r ɛ s i n ɡ
endamagen	ɛ n d a m a d͡ʒ ə n
ende	eː n d
endeles	eː n d l ɛ s
endelesly	ɛ n d l ɛ s l iː
endelesnesse	eː n d l ɛː s n ɛ s
endely	eː n d l iː
enden	eː n d ə n
endere	eː n d ə r
endeynen	ɛ n d æ i̯ n ə n
endowable	ɛ n d uː aː b l ə
endowement	ɛ n d uː m ɛ n t
endowen	ɛ n d uː ə n
endower	ɛ n d uː ə r
endowynge	ɛ n d uː i n ɡ
endynge	eː n d i n ɡ
ene	ɛ̝ː n
enemy	ɛ n m iː
enemyte	ɛ n m i t eː
enen	ɛː n ə n
enes	ɛ n s
enfeblen	ɛ n f eː b l ə n
enfeblisshen	ɛ n f eː b l i ʃ ə n
enformacioun	ɛ n f ɔ r m aː s i uː n
enformen	ɛ n f u r m ə n
enformour	ɛ n f uː r m u r
engel	eː n d͡ʒ ə l
engreynen	ɛ n ɡ r æ i̯ n ə n
enhauncen	ɛ n a n s ə n
enhauncynge	ɛ n h a n s i n ɡ
enheritable	ɛ n ɛ r i t aː b l ə
enheritaunce	ɛ n ɛ r i t a n s
enquest	i n k w ɛ s t
enrollen	ɛ n r uː l ə n
enserche	ɛ n s ɛ r t͡ʃ
enserchen	ɛ n s ɛ r t͡ʃ ə n
ensercher	ə n s ɛ r t ʃ uː r
enserching	ɛ n s ɛ r t͡ʃ i n ɡ
enthrallen	ɛ n θ r a l ə n
entre	ɛ n t r eː
entren	ɛ n t r ə n
enula	ɛ n i u̯ l aː
envenymen	ɛ n v ɛ n i m ə n
envenymous	ə n v ɛ n i m ə s
envenymynge	ɛ n v ɛ n i m i n ɡ
envie	ɛ n v iː
envien	ɛ n v iː ə n
envious	ɛ n v i u s
equal	ɛː k w a l
er	ɛ̝ː r
erable	ɛː r aː b ə l
erchebischop	a r t͡ʃ b i ʃ ə p
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r i k
erd	ɛ̝ː r d
ere	ɛː r
eren	ɛ r i ə n
erende	a r d ə n
erere	ɛ r i ə r
ergo	ɛ r ɡ oː
eri	ɛː r iː
erl	eː r l
erldom	eː r l d a m
erly	ɛ r l iː
ermyne	a r m i n
ern	ɛ̝ː r n
ernen	ɛ r n ə n
erthe	eː r ð
erthely	eː r l iː
erthequake	eː r ð k w aː k
ertheward	eː r ð w a r d
erve	ɛ r f
eschaufen	ɛ s t ʃ a u̯ f ə n
eschaunge	ɛ s t͡ʃ a u̯ n d͡ʒ
eschaungen	ɛ s t͡ʃ a u̯ n d͡ʒ ə n
escheker	ɛ s t͡ʃ ɛ k eː r
eschete	ɛ s t͡ʃ ɛː t
escheten	ɛ s t͡ʃ ɛː t ə n
escheterie	ɛ s t͡ʃ ɛː t ə r iː
eschetour	ɛ s t͡ʃ ɛː t u r
eschewen	ɛ s k i u̯ ə n
est	ɛː s t
este	eː s t
esterne	ɛː s t ə r n
estward	ɛː s t w a r d
esy	ɛ z iː
et	eː t
ete	ɛː t
eten	ɛ̞ː t ə n
eternal	ɛ t ɛ r n a l
eternally	ɛ t ɛ r n a l iː
eterne	ɛ t ɛ r n
eternyte	ɛː t ɛ r n i t eː
ethe	eː ð
ethymologie	ɛ t i m ɔ l ɔ d͡ʒ iː
etynge	ɛː t i n ɡ
eukarist	ɛ u̯ k a r i s t
eunuk	ɛ u̯ n i u̯ k
eure	i u̯ r
even	ɛː v ə
eventyde	ɛː v ə n t iː d
ever	ɛ v ə r
everichon	ɛ v r i t͡ʃ ɔ̝ː n
evermo	ɛ v r ə m ɔː
evermore	ɛ v r ə m ɔː r
every	ɛ v r i l k
evest	ɛ f s t
evete	ɛ f t
ew	i u̯
ewage	ɛ u̯ a d ʒ
ewe	j ɔ u̯
ewer	ɛ u̯ eː r
ewerer	ɛ u̯ r ə r
ewerie	ɛ u̯ r iː
ewilch	i w i l k
ewrous	i u̯ r u s
exaccioun	ɛ k s a k s i uː n
exaumple	ɛ ɡ z a m p ə l
exposicioun	ɛ k s p ɔː z i s j u n
expounen	ɛ k s p u n ə n
extenden	ɛ k s t ɛ n d ə n
extorcion	ə k s t ɔ r s j u n
extre	a k s t r eː
ey	æ i̯
eye	e i̯
eyed	e i̯ ə d
eyeful	æ i̯ f u l
eymynge	æ i̯ m i n ɡ
face	f aː s
facioun	f a k s j u n
faculte	f a k u l t eː
faden	f aː d ə n
fader	f a d ə r
faderhode	f a d ə r h ɔː d
faderles	f a d ə r l ɛ̝ː s
faderly	f a d ə r l iː
fadren	f a d r ə n
fage	f a d͡ʒ
fagen	f a d͡ʒ ə n
fagot	f a k ə t
faie	f æ i̯
faierie	f æ i̯ r i
fain	f æ i̯ n
fal	f a l
fallen	f a l ə n
fals	f a l s
falwen	f a l i u̯ n
famylye	f a m i l iː
fan	f a n
fane	f aː n
fannen	f a n ə n
fanon	f a n u n
fantasie	f a n s iː
fantasien	f a n s iː
fantome	f a n t a m
fardel	f a r d ɛ l
fare	f aː r
faren	f a r ə n
farowen	f a r i u̯ ə n
fass	f a s
fassynge	f a s i n ɡ
fat	f a t
fauconer	f a u̯ k n ə r
faucoun	f a u̯ k u n
faunt	f a n t
faute	f a l t
favour	f aː v u r
favourable	f aː v u r aː b l ə
favouren	f aː v u r ə n
favourere	f aː v u r ə r
fawn	f a u̯ n
fawnen	f a u̯ n ə n
fawnynge	f a u̯ n i n ɡ
fax	f a k s
faxwax	f a k s w a k s
feal	f eː a l
feaute	f ɛ u̯ t eː
febilte	f eː b ə l t eː
feble	f eː b l ə
feblen	f eː b l ə n
feblenesse	f eː b l ə n ɛ s
feblesse	f eː b l ɛ s
feblischen	f eː b l i ʃ ə n
febly	f eː b l iː
fecche	f a t͡ʃ
fecchen	f ɛ t͡ʃ ə n
fede	f ɛː d
feden	f eː d ə n
feeld	f eː l d
feeldi	f eː l d iː
feeste	f ɛː s t e
feien	f æ i̯ ə n
feith	f æ i̯
felawe	f ɛ l a u̯
felawely	f ɛ l a u̯ l iː
felawen	f ɛ l a u̯ ə n
felawerede	f ɛ l a u̯ r ɛ̝ː d
felaweschipe	f ɛ l a u̯ ʃ i p
felaweschipen	f ɛ l a u̯ ə ʃ i p ə n
feldefare	f eː l d f aː r
fele	f eː l
felefold	f ɛː l f ɔː l d
fellen	f ɛ l ə n
fellere	f a l ə r
felt	f ɛ l t
felten	f ɛ l t ə n
felter	f ɛ l t ə r
felwe	f ɛ l iː
felynge	f eː l i n ɡ
femele	f ɛː m aː l
femen	f ɛ̝ː m ə n
femynyne	f ɛ m i n iː n
femynyte	f ɛ m i n i n i t eː
fen	f ɛ n
fend	f eː n d
fendly	f eː n d l iː
fenel	f ɛ n ə l
fenkel	f i n k ə l
fenny	f ɛ n iː
fenygreke	f eː n i u̯ ɡ r eː k
fer	f ɛ r
ferd	f ɛː r d
ferde	f eː r d
ferdful	f ɛː r d f u l
ferdnesse	f ɛː r d n ɛ s
fere	f ɛː r
feren	f ɛː r ə n
ferial	f ɛː r i a l
ferie	f ɛ r iː
ferien	f ɛ r i ə n
ferme	f a r m
fermely	f ɛ r m l iː
fermen	f ɛ r m ə n
fermour	f ɛ r m u r
fern	f ɛ̝ː r n
ferny	f ɛ r n iː
fers	f eː r s
fersly	f eː r s l iː
fersnesse	f eː r s n ɛ s
ferthe	f eː r ð
ferthendel	f eː r ð ə n d ɛ l
ferthing	f eː r ð i n ɡ
fervent	f ɛ r v ɛ n t
fervently	f ɛ r v ɛ n t l iː
ferventnesse	f ɛ r v ɛ n t n ɛ s
fervour	f ɛ r v u r
fesaunt	f ɛ z a n t
festlich	f ɛː s t l i t͡ʃ
feture	f ɛː t i u̯ r
feuter	f ɛ u̯ t ə r
fewe	f ɛ u̯
feye	f æ i̯
feynen	f æ i̯ n ə n
feyre	f æ i̯ r
feþer	f ɛ d ə r
ficcioun	f i k s j u n
fidelite	f i d ɛ l i t eː
fiele	f iː ə l
fifte	f i f t
fiftene	f i f t eː n
fiftenthe	f i f t eː n d
fiftethe	f i f t eː ð
fiftithe	f i f t i ð
fifty	f i f t iː
fige	f i ɡ
figee	f i ɡ eː
figer	f eː r
fight	f i x t
fighten	f i x t ə n
fightere	f i x t ə r
figure	f i ɡ i u̯ r
filchen	f i l t͡ʃ ə n
fille	f i l
fillen	f i l ə n
filme	f i l m
finden	f i n d ə n
fiole	f iː ɔ l
firre	f i r
firren	f i r ə n
firse	f i r z
first	f i r s t
fisch	f i ʃ
fischer	f i ʃ ə r
fissure	f i s i u̯ r
fist	f i s t
fithele	f i ð l ə
fithelen	f i d l ə n
fithelere	f i ð l ə r
flask	f l a s k
flasket	f l a s k ɛ t
flat	f l a t
flathe	f l aː ð
flathon	f l a ð u n
flaught	f l a u̯ x t
flaun	f l a u̯ n
flavour	f l aː v u r
flawme	f l a m
flawmen	f l a m b ə n
flawmy	f l a m iː
flax	f l a k s
flaxen	f l a k s ə n
flayre	f l æ i̯ r
fle	f l æ i̯
flecche	f l ɛ t͡ʃ
fleccher	f l ɛ t͡ʃ eː r
flees	f l eː s
flegge	f l i d͡ʒ
flem	f l ɛː m
fleme	f l eː m
flemen	f l eː m ə n
flen	f l eː n
flerd	f l ɛ r d
flesh	f l ɛ ʃ
flet	f l ɛ t
flete	f l eː t
fleten	f l eː t ə n
fleumatik	f l ɛ u̯ m a t iː k
flewme	f l ɛ u̯ m
fleyl	f l æ i̯ l
flicche	f l i k
flien	f l e i̯ n
flo	f l ɔː
flod	f l oː d
flodgate	f l oː d j ɛ t
flok	f l ɔ k
flon	f l ɔː n
flor	f l oː r
flote	f l ɔː t
floten	f l ɔ t ə n
floteren	f l u t ə r ə n
flothere	f l ɔ ð r ə
flour	f l uː r
flourdelis	f l uː r d ɛ l iː s
flouren	f l uː r ə n
floury	f l uː r iː
flourynge	f l uː r i n ɡ
flowen	f l ɔ u̯ ə n
flowndre	f l u n d ə r
flowynge	f l ɔ u̯ i n ɡ
flum	f l i m
flye	f l e i̯
flyngen	f l eː n ɡ ə n
flynt	f l i n t
flyt	f l i t
flyten	f l iː t ə n
fnast	f n a s t
fnesen	f n eː z ə n
fnesy	f n eː z iː
fnorten	f n ɔ r t ə n
fo	f ɔː
fodder	f ɔ d ə r
fode	f oː d
fol	f oː l
fold	f ɔː l d
folden	f a l d ə n
fole	f ɔ̞ː l
folehardy	f oː l h a r d iː
folen	f oː l ə n
folie	f oː l iː
folily	f ɔ l i l iː
folisch	f oː l i ʃ
folk	f ɔ l k
folly	f oː l i t͡ʃ
folwen	f i l i x
folwere	f ɔ l i u̯ ə r
fom	f aː m
foman	f ɔː m a n
fomen	f ɔ̝ː m ə n
fomentacioun	f ɔː m ɛ n t aː s i uː n
fomenten	f ɔː m ɛ n t ə n
fomy	f ɔ̝ː m iː
fomynge	f ɔ̝ː m i n ɡ
fonden	f a n d
fondynge	f ɔː n d i n ɡ
fongen	f a n ɡ ə n
fonger	f ɔ n ɡ ə r
fonne	f u n
fonned	f u n d
fonnen	f u n ə n
forage	f ɔ r aː d ʒ
forbreiden	f ɔ r b r æ i̯ d ə n
forcouth	f ɔ r k uː θ
forcoveren	f ɔ r k ɔ v r ə n
fordemen	f o r d eː m ə n
fordwynen	f ɔ r d w iː n ə n
forefynger	f ɔ̞ː r f i n ɡ ə r
foreland	f oː r l a n d
forest	f ɔ r ɛ s t
forester	f ɔ r i s t eː r
foreward	f oː r ə w a r d
foreyn	f u r i n
foreyner	f u r i n ə r
forfader	f ɔː r f a d ə r
forfreten	f ɔ r f r ɛ̞ː t ə n
forge	f oː r d͡ʒ
forgen	f oː r d͡ʒ ə n
forger	f ɔː r d͡ʒ eː r
forgeresse	f ɔː r d͡ʒ ə r ɛ s
forgynge	f oː r d͡ʒ i n ɡ
forhed	f ɔː r h ɛ d
forke	f ɔ r k
forken	f ɔ r k ə n
forkerven	f ɔ r k ɛ r v ə n
forme	f u r m
formen	f u r m ə n
forneys	f u r n i s
fornfader	f ɔː r n f a d ə r
forow	f u r i u̯
forsethen	f ɔ r s eː ð ə n
forstage	f ɔː r s t aː d ʒ
forswelten	f ɔ r s w ɛ l t ə n
forsweren	f ɔ r s w ɛː r i ə n
forswerer	f ɔ r s w ɛː r ə r
forswerynge	f ɔ r s w ɛː r i n ɡ
forten	f ɔ r t eː n
fortune	f ɔ r t i u̯ n
forwerpen	f ɔ r w a r p ə n
foryeten	f ɔ r j ɛ t ə n
foryiven	f ɔ r j eː v ə n
foster	f ɔ s t r ə
fostren	f ɔ s t r ə n
fot	f oː t
fotbal	f oː t b a l
foted	f oː t i d
foten	f oː t ə n
fother	f oː ð ə r
fotles	f oː t l ɛ s
fotman	f oː t m a n
fotynge	f oː t i n ɡ
fou	f ɔ u̯
foul	f u ɣ ə l
foule	f uː l
foulen	f uː l ə n
foulere	f uː l ə r
foulhede	f uː l h ɛ̝ː d
foully	f uː l iː
foulnesse	f uː l n ɛ s
foun	f a u̯ n
four	f uː r
fourtene	f ɔ u̯ r t eː n
fourtenthe	f ɔ u̯ r t eː n ð
fourtenyght	f ɔ u̯ r t eː n n i x t
fourtethe	f uː r t eː ð
fourtithe	f ɔ u̯ r t i ð
fourty	f ɔ u̯ r t i
fous	f uː s
fox	f ɔ k s
foyle	f u i̯ l
fragment	f r a ɡ m ɛ n t
frangible	f r a n d͡ʒ i b l
frapen	f r a p ə n
fraude	f r a u̯ d
fraudulent	f r a u̯ d i l ɛ n t
fraudulently	f r a u̯ d i l ɛ n t l iː
frayel	f r aː ɛ l
fre	f r eː
freden	f r eː d ə n
fredom	f r eː d a m
freen	f r eː n
fremde	f r ɛ m d
freme	f r ɛ m ə
frend	f r eː n d
frenden	f r eː n d ə n
frendful	f r eː n d f u l
frendles	f r eː n d l ɛ̝ː s
frendly	f r eː n d l iː
frendman	f r eː n d m a n
frendrede	f r eː n d r ɛː d
frendschipe	f r ɛ n d ʃ i p
frenesie	f r a n z iː
frenetik	f r a n t i k
frenge	f r ɛ n d͡ʒ
frenged	f r ɛ n d͡ʒ i d
frere	f r eː r
fresen	f r eː z ə n
fressh	f r ɛ ʃ
fret	f r ɛ t
freten	f r ɛ t ə n
frie	f r iː
fright	f r i x t
frighten	f r i x t ə n
frightful	f r i x t f u l
frighti	f r i x t iː
frightihed	f r i x t iː h ɛː d
frightilike	f r i x t iː l iː k
frightly	f r i x t l iː
frith	f i r θ
frithen	f r eː ð ə n
frogge	f r ɔ ɡ
frossh	f r ɔ s
frost	f r ɔ s t
frosty	f r ɔ s t iː
frounce	f r uː n s
frounceles	f r uː n s l ɛ̝ː s
frouncen	f r uː n s ə n
frount	f r u n t
frountel	f r u n t ɛ l
frounter	f r u n t eː r
fruyt	f r i u̯ t
fruytles	f r i u̯ t l ɛ̝ː s
fryen	f r iː ə n
fryken	f r i k i ə n
fryture	f r i t i u̯ r
fuayle	f i u̯ æ i̯ l
fulfillen	f u l f i l ə n
fulhede	f u l h ɛ̝ː d
fulle	f u l
fullen	f u l i u̯ ə n
fullere	f u l ə r
fulloght	f u l u x t
fully	f u l l i t͡ʃ
fulnesse	f u l n ɛ s
fulsom	f u l s u m
fulsomly	f u l s u m l iː
fulsomnesse	f u l s u m n ɛ s
fulthe	f u l θ
fume	f i u̯ m
fumen	f i u̯ m ə n
fumerelle	f u m r ə l
fumosite	f i u̯ m ɔː s i t eː
fumous	f i u̯ m u s
fumygacioun	f i u̯ m i ɡ aː s i uː n
fumyter	f i m i t ɛː r
funke	f u n k
furbisshen	f u r b i ʃ ə n
furbisshour	f u r b i ʃ u r
furious	f i u̯ r i u s
furiously	f i u̯ r i u s l i
furlong	f u r l a n ɡ
furment	f r u m ɛ n t
furmente	f r u m ɛ n t eː
furour	f i u̯ r oː r
fusen	f uː z ə n
fustian	f u s t i aː n
future	f i u̯ t i r
fyf	f iː f
fyke	f iː k
fyn	f i n
fynch	f i n t͡ʃ
fynger	f i n ɡ ə r
fyr	f eː r
fyry	f eː r iː
gad	ɡ a d
gadelyng	ɡ a d ə l i n ɡ
gaderen	ɡ a d ɛ r ə n
gage	ɡ aː d ʒ
gain	j eː n
galder	ɡ a l d ə r
galyngale	ɡ a l i n ɡ a l
game	ɡ a m
gameful	ɡ a m f u l
gamely	ɡ aː m l iː
gamen	ɡ a m ə n
gamenen	ɡ a m n ə n
gamenful	ɡ a m ə n f u l
gamenly	ɡ a m ə n l iː
gandre	ɡ a n d r ə
ganet	ɡ a n a t
garbage	ɡ a r b aː d͡ʒ
garde	ɡ a r d
gardein	ɡ a r d æ i̯ n
gardener	ɡ a r d i n eː r
gardyn	ɡ a r d i n
garfysche	ɡ aː r f i ʃ
garisoun	ɡ a r i s u n
garite	ɡ a r i t
garlek	ɡ a r l eː k
garn	ɡ a r n
garnement	ɡ a r m ɛ n t
garnisoun	ɡ a r n i z u n
garnyssh	ɡ a r n i ʃ
garnysshen	ɡ a r n i ʃ ə n
garsavese	ɡ a r s a v ɛ z
garter	ɡ a r t eː r
garth	ɡ a r θ
gasen	ɡ aː z ə n
gaspen	ɡ a s p ə n
gasten	ɡ a s t ə n
gate	j a t
gaude	ɡ a u̯ d
gaudi	ɡ a u̯ d iː
gauge	ɡ a u̯ d͡ʒ
gaugen	ɡ a u̯ d͡ʒ ə n
gauger	ɡ a u̯ d ʒ uː r
gauntelet	ɡ a u̯ n t l ɛ t
gavel	ɡ a v ə l
gavelkynde	ɡ a v l i k eː n d
gay	ɡ æ i̯
gayn	ɡ æ i̯ n
gaynen	ɡ æ i̯ n ə n
gaynly	ɡ æ i̯ n l iː
gayole	d͡ʒ a v ə l
gayoler	d͡ʒ a v ə l ə r
geaunt	d ʒ iː a u̯ n t
gele	d ʒ ɛ l eː
gelen	d ʒ ɛ l ə n
gelice	j ə l iː t͡ʃ
gemow	d ʒ ɛ m ɔ u̯
gendre	d͡ʒ ɛ n d r ə
general	d͡ʒ ɛ n ə r a l
generally	d ʒ ɛ n ə r a l iː
genge	ɡ eː n d͡ʒ
gentilman	d͡ʒ ɛ n t i l m a n
gentryse	d͡ʒ ɛ n t r iː s
geomancie	d͡ʒ ɛː m a n s iː
gerner	ɡ a r n ə r
gernet	ɡ ɛ r n ɛ t
gersom	ɡ a r s u m
gerth	ɡ a r θ
gesene	ɡ ɛ̝ z ə n
gest	ɡ i s t
geste	d͡ʒ ɛ s t
gesten	d ʒ ɛ s t ə n
gestenen	ɡ ɛ s t n ə n
gestning	ɡ ɛ s t n i n ɡ
gestour	ɡ ɛ s t uː r
gestyng	ɡ ɛ s t i n ɡ
get	d͡ʒ ɛ t
geten	ɡ ɛ t ə n
gige	ɡ iː d ʒ
gilden	ɡ i l d ə n
gilour	ɡ iː l u r
gingivere	d͡ʒ i n d͡ʒ i v ə r
girle	r l
giterne	ɡ eː t ɛ r n
given	ɡ eː v ə n
glacen	ɡ l aː s ə n
glacynge	ɡ l aː s i n ɡ
glad	ɡ l a d
glade	ɡ l aː d
glas	ɡ l a s
glasen	ɡ l a s ə n
glasiere	ɡ l a z j ə r
glasy	ɡ l a s iː
glasynge	ɡ l a s i n ɡ
glaunsyng	ɡ l a n s i n ɡ
glede	ɡ l eː d
gleowinge	ɡ l i u̯ i n ɡ
gleu	ɡ l ɛ u̯
glew	ɡ l i u̯
glewen	ɡ l i u̯ j ə n
glewer	ɡ l i u̯ ə r
glewy	ɡ l i u̯ iː
glewysch	ɡ l i u̯ i ʃ
gleyve	ɡ l æ i̯ v
gliden	ɡ l iː d ə n
glorie	ɡ l ɔ r iː
glorien	ɡ l ɔ r iː ə n
glorifien	ɡ l ɔː r i f iː ə n
glorifiynge	ɡ l ɔː r i f iː i n ɡ
glorious	ɡ l ɔ r i u s
gloriously	ɡ l ɔː r i u s l iː
gloriynge	ɡ l ɔː r iː i n ɡ
glouworm	ɡ l ɔ u̯ w u r m
glove	ɡ l oː v
gloven	ɡ l oː v ə n
glovere	ɡ l oː v ə r
glowen	ɡ l ɔ u̯ ə n
gluynge	ɡ l i u̯ i n ɡ
glyffen	ɡ l i f ə n
gnast	ɡ n a s t
gnat	ɡ n a t
gnawen	k n a u̯ ə n
gnawynge	ɡ n a u̯ i n ɡ
gniden	ɡ n iː d ə n
gnodden	ɡ n u d ə n
gobonen	ɡ ɔ b u n ə n
goboun	ɡ u b u n
god	ɡ ɔ d
gode	ɡ ɔ̝ː d
goderhele	ɡ oː d ə r h æ i̯ l
godfader	ɡ ɔ d f a d ə r
godmoder	ɡ ɔ d m oː d ə r
godsone	ɡ ɔ d s u n
goke	ɡ oː k
goky	ɡ oː k iː
gold	ɡ oː l d
golden	ɡ oː l d ə n
gome	ɡ oː m
gon	ɡ aː
gong	ɡ a n ɡ
good	ɡ oː d
goodles	ɡ oː d l ɛ s
goodlich	ɡ oː d l i t ʃ
goodnesse	ɡ oː d n ɛ s
gor	ɡ ɑː r
gore	ɡ ɔː r
goren	ɡ ɔː r ə n
gorgon	ɡ ɔ r ɡ oː n
gorst	ɡ ɔ r s
gos	ɡ oː s
goshauk	ɡ oː s h a u̯ k
gosherde	ɡ ɔ z a r d
goslyng	ɡ eː s l i n ɡ
gospel	ɡ ɔ d s p ɛ l
gospellere	ɡ ɔ d s p ɛ l ə r
gossomer	ɡ oː s u m ə r
gost	ɡ ɔː s t
gostly	ɡ aː s t l iː
got	ɡ aː t
gounde	ɡ u n d
goundy	ɡ u n d iː
gourde	ɡ uː r d
governail	ɡ u v ə r n æ i̯ l
governaunce	ɡ u v ə r n a n s
governement	ɡ u v ɛ r m ɛ n t
governen	ɡ u v ə r n ə n
governeresse	ɡ u v ɛ r n ə r ɛ s
governour	ɡ u v ə r n u r
governynge	ɡ u v ɛ r n i n ɡ
gowne	ɡ uː n
graal	ɡ r a aː l
grace	ɡ r aː s
graceful	ɡ r aː s f u l
graceles	ɡ r aː s l ɛ s
gracelessly	ɡ r aː s l ɛ s l iː
gracen	ɡ r aː s ə n
gracious	ɡ r aː s i u s
graciously	ɡ r aː s j oː s l iː
graciousnesse	ɡ r aː s i uː s n ɛ s
gramarie	ɡ r a m a r iː
gramarien	ɡ r a m aː r i ə n
grame	ɡ r a m ə
gramere	ɡ r a m eː r
gras	ɡ r a s
grasen	ɡ r aː z ə n
grasgrene	ɡ r a s ɡ r eː n
grashope	ɡ i r s h ɔ p
grasiere	ɡ r aː z i ə r
grassen	ɡ r a s ə n
grasy	ɡ r a s iː
graunge	ɡ r a u̯ n d͡ʒ
graunger	ɡ r a u̯ n d͡ʒ ə r
grave	ɡ r a f
graven	ɡ r aː v ə n
gravere	ɡ r aː v ə r
graveston	ɡ r aː v s t ɔ̝ː n
gravey	ɡ r aː v eː
grayn	ɡ r æ i̯ n
grayned	ɡ r æ i̯ n ə d
gre	ɡ r eː
greable	ɡ r eː aː b ə l
grece	ɡ r eː s
greceles	ɡ r ɛ s l ɛ̝ː s
grecen	ɡ r ɛː s ə n
gredire	ɡ r i d iː r
gredy	ɡ r eː d iː
gredyly	ɡ r eː d iː l iː
gredynesse	ɡ r eː d iː n ɛ s
green	ɡ r eː ə n
grely	ɡ r eː l iː
grene	ɡ r eː n
gressehopper	ɡ r a s h ɔ p ə r
gressy	ɡ r ɛː s iː
gresynge	ɡ r eː s i n ɡ
grete	ɡ r ɛː t
gretly	ɡ r ɛː t l iː
gretnesse	ɡ r ɛː t n ɛ s
greve	ɡ r ɛ̝ː v
greven	ɡ r eː v ə n
grey	ɡ r æ i̯
greyn	ɡ r æ i̯ n
greynen	ɡ r æ i̯ n ə n
greynyng	ɡ r æ i̯ n i n ɡ
greyve	ɡ r æ i̯ v
gridil	ɡ r i d i l
griffoun	ɡ r i f i n
grind	ɡ r iː n d
grinten	ɡ r i n t ə n
gripe	ɡ r eː p
gripel	ɡ r i p ə l
gripen	ɡ r iː p ə n
grippe	ɡ r i p
grippen	ɡ r i p ə n
gris	ɡ r i s
grisen	ɡ r iː z ə n
grith	ɡ i r θ
griþen	ɡ r eː ð ə n
grocerye	ɡ r ɔː s ə r iː
grom	ɡ r oː m
gron	ɡ r aː n
gronen	ɡ r aː n
gronynge	ɡ r aː n i n ɡ
grot	ɡ r ɔ t
ground	ɡ r u n d
groundles	ɡ r u n d l ɛ̝ː s
grove	ɡ r ɑː v
growen	ɡ r ɔ u̯ ə n
growte	ɡ r u t
groyn	ɡ r i u̯ n
groynen	ɡ r u i̯ n ə n
groynynge	ɡ r u i̯ n i n ɡ
grunten	ɡ r u n t ə n
gruntynge	ɡ r u n t i n ɡ
grynden	ɡ r i n d ə n
gryndynge	ɡ r i n d i n ɡ
grys	ɡ r iː s
gul	ɡ oː l
gulchen	k u l t͡ʃ ə n
gumme	ɡ u m
gummen	ɡ u m ə n
gunne	ɡ u n
gunnepoudre	ɡ u n p uː d r ə
gunner	ɡ u n eː r
gunneston	ɡ u n s t ɔ̝ː n
gurnard	ɡ u r n a r d
gutte	ɡ u t
gydy	ɡ eː d iː
gyge	d͡ʒ i ɡ ə
gyngebred	d͡ʒ i n d͡ʒ b r a s
gyser	d͡ʒ i z ə r
gyserne	d͡ʒ i z ə r n
hacche	h a k
hacchen	h a t ʃ ə n
hacchynge	h a t͡ʃ i n ɡ
hache	h a t͡ʃ
hachet	h a t͡ʃ ɛ t
haching	h a t͡ʃ i n ɡ
hading	h ɑː d i n ɡ
haggen	h a ɡ ə n
hagis	h a ɡ i s
hak	h aː k
hake	h aː k
hakeney	h a k n æ i̯
hakke	h a k
hakken	h a k ə n
hakkere	h a k ə r
hakkynge	h a k i n ɡ
hakle	h a k l ə
hale	h aː l
halibut	h a l i b u t
halier	h a l j ə r
halk	h a l k
halm	h a l m
halpeni	h a l p ɛ n iː
halt	h a l t
halten	h a l t ə n
halter	h a l t r ə
halyday	h a l i d æ i̯
ham	h a m
hamelen	h a m ə l ə n
hamer	h a m b ə r
hameren	h a m r ə n
hamme	h a m
hangen	h a n ɡ ə n
happenen	h a p n ə n
happy	h a p iː
hard	h a r d
hardiesse	h a r d iː ɛ s
hardshipe	h a r d ʃ i p
hare	h aː r
harneys	h a r n i s
harneysen	h a r n i s ə n
harwe	h a r i u̯
hasard	h a z a r d
hasardour	h a z a r d u r
hasardrie	h a z a r d r iː
hasel	h aː z ə l
hassasis	a s a s i s
hastelet	a s t i l ɛ t
hat	h a t
hate	h aː t
hateful	h a t f u l
hatel	h a t ə l
hateliche	h a t l iː t ʃ
haten	h aː t ə n
hater	h a t ə r
hatere	h aː t ə r
haterede	h aː t r ɛ d
haterel	h a t r ə l
haterynge	h aː t ə r i n ɡ
hatesum	h aː t s u m
hatfully	h aː t f u l iː
hatten	h a t ə n
hattere	h a t ə r
hatynge	h a t j u n ɡ
hauberjoun	a b ə r d͡ʒ u n
hauberk	a u̯ b ɛ r k
hauht	h a u̯ x t
hauk	h a f k
haven	a
havene	h a v n ə
