a	ɐ
fartas	f ɐ ɹ t ɐ s
farto	f ɐ ɹ t u
fartos	f ɐ ɹ t u s
fartura	f ɐ ɹ t u ɾ ɐ
fará	f ɐ ɾ ɐ
farão	f ɐ ɾ ɐ̃w̃
faríamos	f ɐ ɾ i ɐ m u s
faróis	f ɐ ɾ ɔj s
fas	f ɐj s
fasano	f ɐ z ɐ̃ n u
fascina	f ɐ s ĩ n ɐ
fascinada	f ɐ s ĩ n ɐ d ɐ
fascinado	f ɐ s ĩ n ɐ d u
fascinados	f ɐ s ĩ n ɐ d u s
fascinante	f ɐ s ĩ n ɐ̃ t ʃ i
fascinantes	f ɐ s ĩ n ɐ̃ t ʃ i s
fascinar	f ɐ s ĩ n ɐ ɹ
fascination	f ɐ s ĩ n ɐ t ʃ i õ
fascinava	f ɐ s ĩ n ɐ v ɐ
fascinação	f ɐ s ĩ n ɐ s ɐ̃w̃
fascinou	f ɐ s ĩ n ow
fascismo	f ɐ s i z m u
fascista	f ɐ s i s t ɐ
fascistas	f ɐ s i s t ɐ s
fasciíte	f ɐ s i i t ʃ i
fascículo	f ɐ s s i k u l u
fascículos	f ɐ s s i k u l u s
fascínio	f ɐ s s i n i u
fase	f ɐ z i
fases	f ɐ z i s
fashion	f ɐ ʃ i õ
fassbinder	f ɐ s b ĩ d e ɹ
fasso	f ɐ s u
fast	f ɐ s t ʃ
fastígio	f ɐ s t ʃ i ʒ i u
fat	f ɐ t ʃ
fatah	f ɐ t ɐ
fatais	f ɐ t ɐj s
fatal	f ɐ t ɐw
fatalidade	f ɐ t ɐ l i d ɐ d ʒ i
fatalismo	f ɐ t ɐ l i z m u
fatalmente	f ɐ t ɐw m ẽ t ʃ i
fatec	f ɐ t e k
fateh	f ɐ t e
father	f ɐ t e ɹ
fatia	f ɐ t ʃ i ɐ
fatiada	f ɐ t ʃ i ɐ d ɐ
fatiado	f ɐ t ʃ i ɐ d u
fatias	f ɐ t ʃ i ɐ s
fatigante	f ɐ t ʃ i ɡ ɐ̃ t ʃ i
fatiota	f ɐ t ʃ i o t ɐ
fato	f ɐ t u
fator	f ɐ t o ɹ
fatores	f ɐ t o ɾ i s
fatorial	f ɐ t o ɾ i ɐw
fatos	f ɐ t u s
fats	f ɐ t ʃ s
fatura	f ɐ t u ɾ ɐ
faturadas	f ɐ t u ɾ ɐ d ɐ s
faturado	f ɐ t u ɾ ɐ d u
faturados	f ɐ t u ɾ ɐ d u s
faturam	f ɐ t u ɾ ɐ̃w̃
faturamento	f ɐ t u ɾ ɐ m ẽ t u
faturando	f ɐ t u ɾ ɐ̃ d u
faturar	f ɐ t u ɾ ɐ ɹ
faturaram	f ɐ t u ɾ ɐ ɾ ɐ̃w̃
faturas	f ɐ t u ɾ ɐ s
faturava	f ɐ t u ɾ ɐ v ɐ
faturou	f ɐ t u ɾ ow
fatídica	f ɐ t ʃ i d ʒ i k ɐ
fatídico	f ɐ t ʃ i d ʒ i k u
fau	f ɐw
faulkner	f ɐw w k n e ɹ
fauna	f ɐ ũ n ɐ
faundes	f ɐ ũ d ʒ i s
fauno	f ɐ ũ n u
faure	f ɐw ɾ i
fause	f ɐw z i
faustin	f ɐw s t ʃ ĩ
faustino	f ɐw s t ʃ ĩ n u
fausto	f ɐw s t u
faustão	f ɐw s t ɐ̃w̃
faut	f ɐw t ʃ
faux	f ɐw k s
fauze	f ɐw z i
fauzi	f ɐw z i
fava	f ɐ v ɐ
favas	f ɐ v ɐ s
favela	f ɐ v ɛ l ɐ
favelada	f ɐ v e l ɐ d ɐ
faveladas	f ɐ v e l ɐ d ɐ s
favelado	f ɐ v e l ɐ d u
favelados	f ɐ v e l ɐ d u s
favelas	f ɐ v e l ɐ s
favelização	f ɐ v e l i z ɐ s ɐ̃w̃
favo	f ɐ v u
favor	f ɐ v o ɹ
favoravelmente	f ɐ v o ɾ ɐ v ew m ẽ t ʃ i
favorece	f ɐ v o ɾ e s i
favorecem	f ɐ v o ɾ e s ẽj̃
favorecendo	f ɐ v o ɾ e s ẽ d u
favorecer	f ɐ v o ɾ e s e ɹ
favoreceram	f ɐ v o ɾ e s e ɾ ɐ̃w̃
favoreceria	f ɐ v o ɾ e s e ɾ i ɐ
favoreceriam	f ɐ v o ɾ e s e ɾ i ɐ̃w̃
favorecerá	f ɐ v o ɾ e s e ɾ ɐ
favoreceu	f ɐ v o ɾ e s ew
favorecia	f ɐ v o ɾ e s i ɐ
favorecida	f ɐ v o ɾ e s i d ɐ
favorecidas	f ɐ v o ɾ e s i d ɐ s
favorecido	f ɐ v o ɾ e s i d u
favorecidos	f ɐ v o ɾ e s i d u s
favorecimento	f ɐ v o ɾ e s ĩ m ẽ t u
favorecimentos	f ɐ v o ɾ e s ĩ m ẽ t u s
favores	f ɐ v o ɾ i s
favoreça	f ɐ v o ɾ e s ɐ
favorita	f ɐ v o ɾ i t ɐ
favoritas	f ɐ v o ɾ i t ɐ s
favorite	f ɐ v o ɾ i t ʃ i
favoritismo	f ɐ v o ɾ i t ʃ i z m u
favorito	f ɐ v o ɾ i t u
favoritos	f ɐ v o ɾ i t u s
favoráveis	f ɐ v o ɾ ɐ v ej s
favorável	f ɐ v o ɾ ɐ v ew
favos	f ɐ v u s
favre	f ɐ v ɾ i
fawcett	f ɐw s e t ʃ t ʃ
fax	f ɐ k s
faxes	f ɐ ʃ i s
faxina	f ɐ ʃ ĩ n ɐ
faxineira	f ɐ ʃ ĩ n ej ɾ ɐ
faxineiras	f ɐ ʃ ĩ n ej ɾ ɐ s
faxineiro	f ɐ ʃ ĩ n ej ɾ u
faxineiros	f ɐ ʃ ĩ n ej ɾ u s
fay	f ɐ i
fayad	f ɐj ɐ d ʒ
faye	f ɐj i
fayh	f ɐ i
faz	f ɐj s
fazedores	f ɐ z e d o ɾ i s
fazem	f ɐ z ẽj̃
fazemos	f ɐ z ẽ m u s
fazenda	f ɐ z ẽ d ɐ
fazendas	f ɐ z ẽ d ɐ s
fazendeiro	f ɐ z ẽ d ej ɾ u
fazendeiros	f ɐ z ẽ d ej ɾ u s
fazendinha	f ɐ z ẽ d ʒ ĩ ɲ ɐ
fazendo	f ɐ z ẽ d u
fazendária	f ɐ z ẽ d ɐ ɾ i ɐ
fazendários	f ɐ z ẽ d ɐ ɾ i u s
fazer	f ɐ z e ɹ
fazerem	f ɐ z e ɾ ẽj̃
fazermos	f ɐ z e ʁ m u s
fazia	f ɐ z i ɐ
faziam	f ɐ z i ɐ̃w̃
fazio	f ɐ z i u
fazzio	f ɐ z z i u
fazê	f ɐ z e
fazíamos	f ɐ z i ɐ m u s
faça	f ɐ s ɐ
façam	f ɐ s ɐ̃w̃
façamos	f ɐ s ɐ̃ m u s
façanha	f ɐ s ɐ̃ ɲ ɐ
façanhas	f ɐ s ɐ̃ ɲ ɐ s
faço	f ɐ s u
faé	f ɐ ɛ
faísca	f ɐ i s k ɐ
faíscas	f ɐ i s k ɐ s
fbh	f b
fbi	f b i
fc	f k
fcb	f k b
fcesp	f s e s p
fcvs	f k v s
fcz	f k s
fda	f d ɐ
fdc	f d ʒ k
fde	f d ʒ i
fdp	f d ʒ p
fds	f d ʒ s
fe	f i
fea	f e ɐ
fear	f e ɐ ɹ
features	f e ɐ t u ɾ i s
feb	f e b
febec	f e b e k
febem	f e b ẽj̃
febraban	f e b ɾ ɐ b ɐ̃
febravest	f e b ɾ ɐ v e s t ʃ
febre	f e b ɾ i
febres	f e b ɾ i s
febril	f e b ɾ iw
fecais	f e k ɐj s
fecamp	f e k ɐ̃ p
fecha	f e ʃ ɐ
fechada	f e ʃ ɐ d ɐ
fechadas	f e ʃ ɐ d ɐ s
fechado	f e ʃ ɐ d u
fechados	f e ʃ ɐ d u s
fechadura	f e ʃ ɐ d u ɾ ɐ
fechaduras	f e ʃ ɐ d u ɾ ɐ s
fecham	f e ʃ ɐ̃w̃
fechamento	f e ʃ ɐ m ẽ t u
fechamentos	f e ʃ ɐ m ẽ t u s
fechamos	f e ʃ ɐ̃ m u s
fechando	f e ʃ ɐ̃ d u
fechar	f e ʃ ɐ ɹ
fecharam	f e ʃ ɐ ɾ ɐ̃w̃
fecharem	f e ʃ ɐ ɾ ẽj̃
fecharia	f e ʃ ɐ ɾ i ɐ
fechará	f e ʃ ɐ ɾ ɐ
fecharão	f e ʃ ɐ ɾ ɐ̃w̃
fechasse	f e ʃ ɐ s i
fechava	f e ʃ ɐ v ɐ
fechavam	f e ʃ ɐ v ɐ̃w̃
feche	f e ʃ i
fechem	f e ʃ ẽj̃
fecho	f e ʃ u
fechou	f e ʃ ow
fechá	f e ʃ ɐ
fecotrigo	f e k o t ɾ i ɡ u
fecunda	f e k ũ d ɐ
fecundar	f e k ũ d ɐ ɹ
fecundação	f e k ũ d ɐ s ɐ̃w̃
fecundidade	f e k ũ d ʒ i d ɐ d ʒ i
fecundo	f e k ũ d u
fed	f e d ʒ
fede	f e d ʒ i
fedelho	f e d e ʎ u
feder	f e d e ɹ
federados	f e d e ɾ ɐ d u s
federais	f e d e ɾ ɐj s
federal	f e d e ɾ ɐw
federalismo	f e d e ɾ ɐ l i z m u
federalista	f e d e ɾ ɐ l i s t ɐ
federalistas	f e d e ɾ ɐ l i s t ɐ s
federation	f e d e ɾ ɐ t ʃ i õ
federativa	f e d e ɾ ɐ t ʃ i v ɐ
federativas	f e d e ɾ ɐ t ʃ i v ɐ s
federativo	f e d e ɾ ɐ t ʃ i v u
federação	f e d e ɾ ɐ s ɐ̃w̃
federações	f e d e ɾ ɐ s õj̃ s
federico	f e d e ɾ i k u
fedor	f e d o ɹ
fedorento	f e d o ɾ ẽ t u
feedback	f e e d ʒ b ɐ k k
feel	f e ɛw
feeling	f e e l ĩ ɡ
feema	f e ẽ m ɐ
feffer	f e f f e ɹ
fehab	f e ɐ b
fei	f ej
feia	f ej ɐ
feias	f ej ɐ s
feicon	f ej k õ
feiffer	f ej f f e ɹ
feijoada	f ej ʒ o ɐ d ɐ
feijoadas	f ej ʒ o ɐ d ɐ s
feijão	f ej ʒ ɐ̃w̃
feijó	f ej ʒ ɔ
feijóo	f ej ʒ ɔ u
feijões	f ej ʒ õj̃ s
fein	f e ĩ
feio	f ej u
feios	f ej u s
feira	f ej ɾ ɐ
feirabend	f ej ɾ ɐ b ẽ d ʒ
feirante	f ej ɾ ɐ̃ t ʃ i
feirantes	f ej ɾ ɐ̃ t ʃ i s
feiras	f ej ɾ ɐ s
feirinha	f ej ɾ ĩ ɲ ɐ
feita	f ej t ɐ
feitas	f ej t ɐ s
feiticeira	f ej t ʃ i s ej ɾ ɐ
feiticeiras	f ej t ʃ i s ej ɾ ɐ s
feiticeiro	f ej t ʃ i s ej ɾ u
feiticeiros	f ej t ʃ i s ej ɾ u s
feitio	f ej t ʃ i u
feitios	f ej t ʃ i u s
feitiçaria	f ej t ʃ i s ɐ ɾ i ɐ
feitiço	f ej t ʃ i s u
feito	f ej t u
feitor	f ej t o ɹ
feitos	f ej t u s
feitosa	f ej t ɔ z ɐ
feitura	f ej t u ɾ ɐ
feixe	f ej ʃ i
feixes	f ej ʃ i s
feição	f ej s ɐ̃w̃
feições	f ej s õj̃ s
feiúra	f ej u ɾ ɐ
fel	f ɛw
felder	f ew d e ɹ
feldman	f ew d ʒ m ɐ̃
feldmann	f ew d ʒ m ɐ̃ n
felice	f e l i s i
feliciano	f e l i s i ɐ̃ n u
felicidade	f e l i s i d ɐ d ʒ i
felicidades	f e l i s i d ɐ d ʒ i s
felicitação	f e l i s i t ɐ s ɐ̃w̃
felino	f e l ĩ n u
felinos	f e l ĩ n u s
felinto	f e l ĩ t u
felipe	f e l i p i
felippe	f e l i p p i
felisberto	f e l i z b e ɹ t u
felix	f e l i k s
feliz	f e l i j s
felizardo	f e l i z ɐ ʁ d u
felizardos	f e l i z ɐ ʁ d u s
felizes	f e l i z i s
felizmente	f e l i z m ẽ t ʃ i
fellini	f ew l ĩ n i
felonia	f e l o n i ɐ
felpudo	f ew p u d u
feltrin	f ew t ɾ ĩ
feltro	f ɛw t ɾ u
felícia	f e l i s i ɐ
felício	f e l i s i u
feminilidade	f e m ĩ n i l i d ɐ d ʒ i
feminina	f e m ĩ n ĩ n ɐ
femininas	f e m ĩ n ĩ n ɐ s
feminino	f e m ĩ n ĩ n u
femininos	f e m ĩ n ĩ n u s
feminismo	f e m ĩ n i z m u
feminista	f e m ĩ n i s t ɐ
feministas	f e m ĩ n i s t ɐ s
femme	f ẽ m i
fenaban	f e n ɐ b ɐ̃
fenabrave	f e n ɐ b ɾ ɐ v i
fenacon	f e n ɐ k õ
fenadi	f e n ɐ d ʒ i
fenaj	f ẽ n ɐ ʒ
fenaqueijo	f e n ɐ k ej ʒ u
fenaseg	f e n ɐ z e ɡ
fenasoft	f e n ɐ z o f t ʃ
fenatec	f e n ɐ t e k
fences	f ẽ s i s
fenda	f ẽ d ɐ
fendas	f ẽ d ɐ s
fendi	f ẽ d ʒ i
fendido	f ẽ d ʒ i d u
fendler	f ẽ d l e ɹ
fenecimento	f e n e s ĩ m ẽ t u
fenilli	f e n iw l i
fenit	f ẽ n i t ʃ
fenix	f e n i k s
feno	f ẽ n u
fenomenal	f e n o m e n ɐw
fenomenologia	f e n o m e n o l o ʒ i ɐ
fentect	f ẽ t e k t ʃ
fenícia	f e n i s i ɐ
fenícios	f e n i s i u s
fenômeno	f e n o m e n u
fenômenos	f e n o m e n u s
feola	f e o l ɐ
fepasa	f e p ɐ z ɐ
feppa	f e p p ɐ
fera	f e ɾ ɐ
feras	f e ɾ ɐ s
ferdinand	f e ʁ d ʒ ĩ n ɐ̃ d ʒ
ferdinando	f e ʁ d ʒ ĩ n ɐ̃ d u
fere	f e ɾ i
ferem	f e ɾ ẽj̃
ferenc	f e ɾ ẽ k
feres	f e ɾ i s
ferguson	f e ʁ ɡ u z õ
feria	f e ɾ i ɐ
feriado	f e ɾ i ɐ d u
feriados	f e ɾ i ɐ d u s
feriadão	f e ɾ i ɐ d ɐ̃w̃
ferida	f e ɾ i d ɐ
feridas	f e ɾ i d ɐ s
ferido	f e ɾ i d u
feridos	f e ɾ i d u s
ferimento	f e ɾ ĩ m ẽ t u
ferimentos	f e ɾ ĩ m ẽ t u s
ferina	f e ɾ ĩ n ɐ
ferindo	f e ɾ ĩ d u
ferir	f e ɾ i ɹ
feriram	f e ɾ i ɾ ɐ̃w̃
feriu	f e ɾ iw
fermat	f e ʁ m ɐ t ʃ
fermata	f e ʁ m ɐ t ɐ
fermentação	f e ʁ m ẽ t ɐ s ɐ̃w̃
fermento	f e ʁ m ẽ t u
fermilab	f e ʁ m i l ɐ b
fernado	f e ʁ n ɐ d u
fernand	f e ʁ n ɐ̃ d ʒ
fernanda	f e ʁ n ɐ̃ d ɐ
fernandenrique	f e ʁ n ɐ̃ d ẽ ɾ i k i
fernandes	f e ʁ n ɐ̃ d ʒ i s
fernandez	f e ʁ n ɐ̃ d ej s
fernandinha	f e ʁ n ɐ̃ d ʒ ĩ ɲ ɐ
fernandinho	f e ʁ n ɐ̃ d ʒ ĩ ɲ u
fernandistas	f e ʁ n ɐ̃ d ʒ i s t ɐ s
fernando	f e ʁ n ɐ̃ d u
fernandohenriquismo	f e ʁ n ɐ̃ d o ẽ ɾ i k j z m u
fernandohenriquista	f e ʁ n ɐ̃ d o ẽ ɾ i k j s t ɐ
fernandy	f e ʁ n ɐ̃ d ʒ i
fernandópolis	f e ʁ n ɐ̃ d ɔ p o l i s
fernández	f e ʁ n ɐ n d e s
fernão	f e ʁ n ɐ̃w̃
ferocidade	f e ɾ o s i d ɐ d ʒ i
ferolla	f e ɾ ɔ w l ɐ
feromônios	f e ɾ o m o n i u s
feroz	f e ɾ ɔj s
feroza	f e ɾ o z ɐ
ferozes	f e ɾ o z i s
ferozmente	f e ɾ o z m ẽ t ʃ i
ferradura	f e ʁ ɐ d u ɾ ɐ
ferragem	f e ʁ ɐ ʒ ẽj̃
ferragens	f e ʁ ɐ ʒ ẽ s
ferramenta	f e ʁ ɐ m ẽ t ɐ
ferramentas	f e ʁ ɐ m ẽ t ɐ s
ferramenteiro	f e ʁ ɐ m ẽ t ej ɾ u
ferran	f e ʁ ɐ̃
ferrand	f e ʁ ɐ̃ d ʒ
ferrante	f e ʁ ɐ̃ t ʃ i
ferrar	f e ʁ ɐ ɹ
ferrara	f e ʁ ɐ ɾ ɐ
ferraretto	f e ʁ ɐ ɾ e t ʃ t u
ferrari	f e ʁ ɐ ɾ i
ferrarini	f e ʁ ɐ ɾ ĩ n i
ferraris	f e ʁ ɐ ɾ i j s
ferraro	f e ʁ ɐ ɾ u
ferraz	f e ʁ ɐj s
ferreira	f e ʁ ej ɾ ɐ
ferreiro	f e ʁ ej ɾ u
ferrenha	f e ʁ ẽ ɲ ɐ
ferrenho	f e ʁ ẽ ɲ u
ferrenhos	f e ʁ ẽ ɲ u s
ferrer	f e ʁ e ɹ
ferrero	f e ʁ e ɾ u
ferretti	f e ʁ e t ʃ t ʃ i
ferri	f e ʁ i
ferro	f e ʁ u
ferroada	f e ʁ o ɐ d ɐ
ferroeste	f e ʁ o e s t ʃ i
ferrolho	f e ʁ o ʎ u
ferros	f e ʁ u s
ferrosos	f e ʁ o z u s
ferrovia	f e ʁ o v i ɐ
ferrovias	f e ʁ o v i ɐ s
ferroviária	f e ʁ o v i ɐ ɾ i ɐ
ferroviárias	f e ʁ o v i ɐ ɾ i ɐ s
ferroviário	f e ʁ o v i ɐ ɾ i u
ferroviários	f e ʁ o v i ɐ ɾ i u s
ferrugem	f e ʁ u ʒ ẽj̃
ferruginoso	f e ʁ u ʒ ĩ n o z u
ferruzzi	f e ʁ u z z i
ferry	f e ʁ i
ferryboat	f e ʁ i b o ɐ t ʃ
ferrão	f e ʁ ɐ̃w̃
ferré	f e ʁ ɛ
fertilidade	f e ɹ t ʃ i l i d ɐ d ʒ i
fertilizante	f e ɹ t ʃ i l i z ɐ̃ t ʃ i
fertilizantes	f e ɹ t ʃ i l i z ɐ̃ t ʃ i s
fertilizar	f e ɹ t ʃ i l i z ɐ ɹ
fertilização	f e ɹ t ʃ i l i z ɐ s ɐ̃w̃
ferun	f e ɾ ũ
ferve	f e ʁ v i
fervem	f e ʁ v ẽj̃
fervendo	f e ʁ v ẽ d u
fervente	f e ʁ v ẽ t ʃ i
ferver	f e ʁ v e ɹ
ferveção	f e ʁ v e s ɐ̃w̃
fervida	f e ʁ v i d ɐ
fervidas	f e ʁ v i d ɐ s
fervido	f e ʁ v i d u
fervilha	f e ʁ v i ʎ ɐ
fervilhamento	f e ʁ v i ʎ ɐ m ẽ t u
fervilhante	f e ʁ v i ʎ ɐ̃ t ʃ i
fervo	f e ʁ v u
fervor	f e ʁ v o ɹ
fervoroso	f e ʁ v o ɾ o z u
fervura	f e ʁ v u ɾ ɐ
fest	f e s t ʃ
festa	f e s t ɐ
festança	f e s t ɐ̃ s ɐ
festas	f e s t ɐ s
festeiro	f e s t ej ɾ u
festeiros	f e s t ej ɾ u s
festeja	f e s t e ʒ ɐ
festejada	f e s t e ʒ ɐ d ɐ
festejado	f e s t e ʒ ɐ d u
festejados	f e s t e ʒ ɐ d u s
festejam	f e s t e ʒ ɐ̃w̃
festejando	f e s t e ʒ ɐ̃ d u
festejar	f e s t e ʒ ɐ ɹ
festejaram	f e s t e ʒ ɐ ɾ ɐ̃w̃
festejava	f e s t e ʒ ɐ v ɐ
festejavam	f e s t e ʒ ɐ v ɐ̃w̃
festejos	f e s t e ʒ u s
festejou	f e s t e ʒ ow
festim	f e s t ʃ ĩ
festinha	f e s t ʃ ĩ ɲ ɐ
festinhas	f e s t ʃ ĩ ɲ ɐ s
festiva	f e s t ʃ i v ɐ
festivais	f e s t ʃ i v ɐj s
festival	f e s t ʃ i v ɐw
festivas	f e s t ʃ i v ɐ s
festividades	f e s t ʃ i v i d ɐ d ʒ i s
festivo	f e s t ʃ i v u
festspielhaus	f e s t ʃ s p i e ʎ ɐw s
festy	f e s t ʃ i
fetais	f e t ɐj s
fetal	f e t ɐw
fetiche	f e t ʃ i ʃ i
fetiches	f e t ʃ i ʃ i s
fetichismo	f e t ʃ i ʃ i z m u
fetichista	f e t ʃ i ʃ i s t ɐ
fetichização	f e t ʃ i ʃ i z ɐ s ɐ̃w̃
feto	f e t u
fetos	f e t u s
fetter	f e t ʃ t e ɹ
feudais	f ew d ɐj s
feudal	f ew d ɐw
feudo	f ew d u
feudos	f ew d u s
fev	f e v
fevereiro	f e v e ɾ ej ɾ u
feyenoord	f ej e n o o ʁ d ʒ
fez	f ej s
fezes	f e z i s
ff	f f
fflch	f f w ʃ
fg	f ɡ
fgts	f ɡ t ʃ s
fgv	f ɡ v
fh	f
fhc	f k
fi	f i
fia	f i ɐ
fiabci	f i ɐ b s i
fiada	f i ɐ d ɐ
fiador	f i ɐ d o ɹ
fiança	f i ɐ̃ s ɐ
fiapo	f i ɐ p u
fiar	f i ɐ ɹ
fiasco	f i ɐ s k u
fiat	f i ɐ t ʃ
fiação	f i ɐ s ɐ̃w̃
fib	f i b
fiba	f i b ɐ
fibe	f i b i
fibra	f i b ɾ ɐ
fibras	f i b ɾ ɐ s
fibrocimento	f i b ɾ o s ĩ m ẽ t u
fibrose	f i b ɾ o z i
fibroso	f i b ɾ o z u
fica	f i k ɐ
ficado	f i k ɐ d u
ficam	f i k ɐ̃w̃
ficamos	f i k ɐ̃ m u s
ficando	f i k ɐ̃ d u
ficar	f i k ɐ ɹ
ficara	f i k ɐ ɾ ɐ
ficaram	f i k ɐ ɾ ɐ̃w̃
ficarei	f i k ɐ ɾ ej
ficarem	f i k ɐ ɾ ẽj̃
ficaremos	f i k ɐ ɾ ẽ m u s
ficaria	f i k ɐ ɾ i ɐ
ficariam	f i k ɐ ɾ i ɐ̃w̃
ficarmos	f i k ɐ ʁ m u s
ficará	f i k ɐ ɾ ɐ
ficarão	f i k ɐ ɾ ɐ̃w̃
ficasse	f i k ɐ s i
ficassem	f i k ɐ s ẽj̃
ficava	f i k ɐ v ɐ
ficavam	f i k ɐ v ɐ̃w̃
ficcionais	f i k s i o n ɐj s
ficcional	f i k s i o n ɐw
ficcionista	f i k s i o n i s t ɐ
ficcus	f i k k uj s
ficha	f i ʃ ɐ
fichar	f i ʃ ɐ ɹ
fichas	f i ʃ ɐ s
fichte	f i ʃ t ʃ i
fichário	f i ʃ ɐ ɾ i u
fichários	f i ʃ ɐ ɾ i u s
fico	f i k u
ficou	f i k ow
fiction	f i k t ʃ i õ
fictícia	f i k t ʃ i s i ɐ
fictícias	f i k t ʃ i s i ɐ s
fictício	f i k t ʃ i s i u
fictícios	f i k t ʃ i s i u s
ficávamos	f i k ɐ v ɐ m u s
ficção	f i k s ɐ̃w̃
ficções	f i k s õj̃ s
fidalga	f i d ɐw ɡ ɐ
fidalgo	f i d ɐw ɡ u
fidalguia	f i d ɐw ɡ j ɐ
fidedigno	f i d e d ʒ i ɡ n u
fidel	f i d ɛw
fidela	f i d ɛ l ɐ
fidelidade	f i d e l i d ɐ d ʒ i
fidelis	f i d e l i j s
fideo	f i d e u
fiduciária	f i d u s i ɐ ɾ i ɐ
fiduciário	f i d u s i ɐ ɾ i u
fidélis	f i d ɛ l i s
fieira	f i ej ɾ ɐ
fiel	f i ɛw
field	f i ew d ʒ
fields	f i ew d ʒ s
fielmente	f i ew m ẽ t ʃ i
fiennes	f i ẽ n i s
fiep	f i e p
fiepag	f i e p ɐ ɡ
fiergs	f i e ʁ ɡ s
fiesp	f i e s p
fiesta	f i e s t ɐ
fifa	f i f ɐ
fifth	f i f t ʃ
fifties	f i f t ʃ i i s
figa	f i ɡ ɐ
figaro	f i ɡ ɐ ɾ u
figer	f i ʒ e ɹ
fight	f i ɡ t ʃ
fighter	f i ɡ t e ɹ
fighting	f i ɡ t ʃ ĩ ɡ
figo	f i ɡ u
figos	f i ɡ u s
figueira	f i ɡ ej ɾ ɐ
figueiras	f i ɡ ej ɾ ɐ s
figueiredo	f i ɡ ej ɾ e d u
figueres	f i ɡ e ɾ i s
figueroa	f i ɡ e ɾ o ɐ
figura	f i ɡ u ɾ ɐ
figurado	f i ɡ u ɾ ɐ d u
figuram	f i ɡ u ɾ ɐ̃w̃
figurante	f i ɡ u ɾ ɐ̃ t ʃ i
figurantes	f i ɡ u ɾ ɐ̃ t ʃ i s
figurar	f i ɡ u ɾ ɐ ɹ
figuras	f i ɡ u ɾ ɐ s
figurativa	f i ɡ u ɾ ɐ t ʃ i v ɐ
figurativas	f i ɡ u ɾ ɐ t ʃ i v ɐ s
figurativismo	f i ɡ u ɾ ɐ t ʃ i v i z m u
figurativo	f i ɡ u ɾ ɐ t ʃ i v u
figurava	f i ɡ u ɾ ɐ v ɐ
figuração	f i ɡ u ɾ ɐ s ɐ̃w̃
figurações	f i ɡ u ɾ ɐ s õj̃ s
figure	f i ɡ u ɾ i
figurinha	f i ɡ u ɾ ĩ ɲ ɐ
figurinhas	f i ɡ u ɾ ĩ ɲ ɐ s
figurinista	f i ɡ u ɾ ĩ n i s t ɐ
figurino	f i ɡ u ɾ ĩ n u
figurinos	f i ɡ u ɾ ĩ n u s
figurou	f i ɡ u ɾ ow
figurão	f i ɡ u ɾ ɐ̃w̃
figurões	f i ɡ u ɾ õj̃ s
fiji	f i ʒ i
fikret	f i k ɾ e t ʃ
fila	f i l ɐ
filadelfia	f i l ɐ d ew f i ɐ
filadelfo	f i l ɐ d ɛw f u
filadélfia	f i l ɐ d ɛw f i ɐ
filamento	f i l ɐ m ẽ t u
filamentos	f i l ɐ m ẽ t u s
filantropia	f i l ɐ̃ t ɾ o p i ɐ
filantropo	f i l ɐ̃ t ɾ o p u
filantrópica	f i l ɐ̃ t ɾ ɔ p i k ɐ
filantrópicas	f i l ɐ̃ t ɾ ɔ p i k ɐ s
filantrópico	f i l ɐ̃ t ɾ ɔ p i k u
filantrópicos	f i l ɐ̃ t ɾ ɔ p i k u s
filarmônica	f i l ɐ ʁ m o n i k ɐ
filas	f i l ɐ s
filatelista	f i l ɐ t e l i s t ɐ
fileira	f i l ej ɾ ɐ
fileiras	f i l ej ɾ ɐ s
files	f i l i s
filgueiras	f iw ɡ ej ɾ ɐ s
filha	f i ʎ ɐ
filharada	f i ʎ ɐ ɾ ɐ d ɐ
filhas	f i ʎ ɐ s
filhinho	f i ʎ ĩ ɲ u
filho	f i ʎ u
filhos	f i ʎ u s
filhote	f i ʎ o t ʃ i
filhotes	f i ʎ o t ʃ i s
filia	f i l i ɐ
filiada	f i l i ɐ d ɐ
filiadas	f i l i ɐ d ɐ s
filiado	f i l i ɐ d u
filiados	f i l i ɐ d u s
filiais	f i l i ɐj s
filial	f i l i ɐw
filiar	f i l i ɐ ɹ
filiação	f i l i ɐ s ɐ̃w̃
filiações	f i l i ɐ s õj̃ s
filinto	f i l ĩ t u
filiou	f i l i ow
filipe	f i l i p i
filipina	f i l i p ĩ n ɐ
filipinas	f i l i p ĩ n ɐ s
filipino	f i l i p ĩ n u
filipinos	f i l i p ĩ n u s
filipovic	f i l i p o v i k
filippi	f i l i p p i
filippo	f i l i p p u
fillardis	f iw l ɐ ʁ d ʒ i j s
fillmore	f iw w m o ɾ i
film	f iw m
filma	f iw m ɐ
filmada	f iw m ɐ d ɐ
filmadas	f iw m ɐ d ɐ s
filmado	f iw m ɐ d u
filmadora	f iw m ɐ d o ɾ ɐ
filmados	f iw m ɐ d u s
filmagem	f iw m ɐ ʒ ẽj̃
filmagens	f iw m ɐ ʒ ẽ s
filmam	f iw m ɐ̃w̃
filmando	f iw m ɐ̃ d u
filmar	f iw m ɐ ɹ
filmaram	f iw m ɐ ɾ ɐ̃w̃
filmava	f iw m ɐ v ɐ
filme	f iw m i
filmei	f iw m ej
filmes	f iw m i s
filmetes	f iw m e t ʃ i s
