't	t
schläifsteen	ʃ l æː ɪ̯ f ʃ t eː n
schläim	ʃ l æː ɪ̯ m
schläiss	ʃ l æː ɪ̯ s
schléck	ʃ l e k
schléi	ʃ l ɜ ɪ̯
schléier	ʃ l ɜ ɪ̯ ɐ
schlëff	ʃ l ə f
schlëssel	ʃ l e s e l
schmadd	ʃ m a t
schmalz	ʃ m ɑ l t͡s
schmier	ʃ m iː r
schmëdd	ʃ m ə t
schnapp	ʃ n a p
schnatt	ʃ n ɑ t
schnatz	ʃ n ɑ t s
schnauer	ʃ n a u̯ e r
schnaueren	ʃ n a u̯ r e n
schnauftubak	ʃ n æː ʊ̯ f t u b aː k
schneid	ʃ n ɑ ɪ̯ t
schneider	ʃ n ɑ ɪ̯ d ɐ
schneiderfësch	ʃ n ɑ ɪ̯ d ɐ f ə ʃ
schniewel	ʃ n i ə̯ v ə l
schnieweldéier	ʃ n i ə̯ v ə l d ɜ ɪ̯ ɐ
schnouer	ʃ n e u̯ e r
schnuddel	ʃ n u d ə l
schnuddelhong	ʃ n u d ə l h o ŋ
schnéi	ʃ n ɜ ɪ
schnéibier	ʃ n ɜ ɪ̯ b iː ə̯
schnéibiesem	ʃ n ɜ ɪ̯ b i ə̯ z ə m
schnéieil	ʃ n ɜ ɪ ɑ ɪ l
schnéiflack	ʃ n ɜ ɪ̯ f l ɑ k
schnéiklatz	ʃ n e i̯ k l a t s
schnéikläckelchen	ʃ n ɜ ɪ̯ k l æ k ə l ɕ ə n
schnéimännchen	ʃ n ɜ ɪ̯ m æ n ɕ ə n
schnéiplou	ʃ n ɜ ɪ̯ p l ə ʊ̯
schnéireen	ʃ n ɜ ɪ̯ ʀ eː n
schnéischauer	ʃ n ɜ ɪ̯ ʃ ɑ ʊ̯ ɐ
schnéischëpp	ʃ n ɜ ɪ̯ ʃ ə p
schnéiwick	ʃ n ɜ ɪ̯ v i k
schnëss	ʃ n ə s
schnëtt	ʃ n ə t
schnëtz	ʃ n ə t s
schnëtzel	ʃ n ə t s ə l
schockelasbotter	ʃ o k ə l aː z b o t ɐ
schold	ʃ o l t
schong	ʃ o ŋ
schongbiischt	ʃ o ŋ b i ʃ t
schoss	ʃ o s
schossel	ʃ o s ə l
schoul	ʃ ə ʊ̯ l
schoulkand	ʃ ə ʊ̯ l k ɑ n t
schoun	ʃ ə ʊ̯ n
schouss	ʃ ə ʊ̯ s
schouster	ʃ ə ʊ̯ s t ɐ
schrack	ʃ r a k
schrauf	ʃ ʀ ɑ ʊ̯ f
schreifmaschinn	ʃ ʀ a ɪ v m ɑ ʃ i n
schrëft	ʃ ʀ ə f t
schrëftgeléierten	ʃ ʀ ə v d ɡ ə l ɜ ɪ̯ ɐ t ə n
schrëtt	ʃ r e t
schuel	ʃ u e̯ l
schwaarm	ʃ w aː m
schwaart	ʃ v aː χ t
schwaarzbier	ʃ v aː r t s b iː r
schwamp	ʃ w ɑ m p
schwan	ʃ w aː n
schwangerschaft	ʃ w ɑ ŋ ɐ ʃ ɑ f t
schwanz	ʃ w ɑ n t͡s
schwanzmees	ʃ w ɑ n d͡z m eː s
schweess	ʃ w eː s
schwell	ʃ w æ l
schwiefel	ʃ v i e̯ f e l
schwier	ʃ w iː ə̯
schwong	ʃ w o ŋ
schwonk	ʃ w o ŋ k
schwäert	ʃ v eː r t
schwäerter	ʃ v eː r t e r
schwäin	ʃ v æ i̯ n
schwäiz	ʃ v æː ɪ̯ t͡s
schwämm	ʃ v æ m
schwänz	ʃ w æ n t͡s
schwéngchen	ʃ v e ŋ χ e n
schwéngefleesch	ʃ v e ŋ e f l eː ʃ
schäin	ʃ æː ɪ̯ n
schäiss	ʃ æː ɪ̯ s
schätz	ʃ æ t͡s
schéier	ʃ ɜ ɪ̯ ɐ
schëff	ʃ ə f
schëld	ʃ ə l t
schëller	ʃ ə l ɐ
schënner	ʃ ə n ɐ
schëpp	ʃ ə p
schëppen	ʃ e p e n
schëtz	ʃ ə t͡s
secourist	s e k u ʀ i s t
see	z eː
seech	z eː ɕ
seef	z eː f
seegel	z eː ʁ e l
seegen	z eː ʁ e n
seel	z eː l
seem	z eː m
seen	z eː n
seid	z ɑ ɪ̯ t
sensatioun	s ãː s ɑ s j ə ʊ̯ n
setzgromper	z æ t s ɡ ʀ o m p ɐ
sich	z i ɕ
sichmaschinn	z i ɕ m ɑ ʃ i n
siff	z i f
sigel	z i ʁ e l
signal	s i n j aː l
siicht	z iː ɕ t
silb	z i l p
sireen	z i ʀ eː n
site	s i t
sitt	z i t
skelett	s k e l æ t
skizz	s k i t͡s
sklaverei	s k l aː v ə ʀ ɑ ɪ̯
skorpioun	s k o r p j e u̯ n
slip	s l i p
so	z oː
soff	z o f
som	z oː m
sonn	z o n
sonndeg	z o n d e χ
sonneblumm	z o n ə b l u m
sonnebrëll	s o n ə b ʀ ə l
sonnefleck	z o n ə f l æ k
sonnenauer	z o n ə n ɑ ʊ̯ ɐ
sonnenopgang	z o n ə n o p ɡ ɑ ŋ
sonnenënnergang	z o n e n e n ɐ ɡ ɑ ŋ
sonneprabbeli	z o n p ʀ ɑ b ə l iː
sonneschäin	z o n ə ʃ æː ɪ̯ n
soumissioun	s u m i s j ə ʊ̯ n
soutien	s u t j ɛ̃ː
souvenir	s u v ə n iː ə̯
spaass	ʃ p aː s
spackelter	ʃ p ɑ k æ l t ɐ
spadséiergang	ʃ p ɑ d͡z ɜ ɪ̯ ɐ ɡ ɑ ŋ
spargel	ʃ p a ʁ ʑ ə l
spatz	ʃ p ɑ t s
spaut	ʃ p ɑ ʊ̯ t
spaweck	ʃ p aː v æ k
speck	ʃ p æ k
speech	ʃ p eː ɕ
spelz	ʃ p æ l t͡s
spidol	ʃ p i d oː l
spiecht	ʃ p i e̯ χ t
spierk	ʃ p iː ə̯ k
spigel	ʃ p i ʁ e l
spigelee	ʃ p i ʑ ə l eː
spigelkaarp	ʃ p i ʑ ə l k aː p
spill	ʃ p i l
spillkaart	ʃ p i l k aː t
spinat	ʃ p i n aː t
spioun	ʃ p i ə ʊ̯ n
spoun	ʃ p e u̯ n
sprachwuert	ʃ p ʀ a χ v u e̯ t
sprenz	ʃ p ʀ æ n t͡s
spriecher	ʃ p ʀ i ə̯ χ ɐ
sproch	ʃ p ʀ o χ
sprong	ʃ p ʀ o ŋ
spronk	ʃ p r o ŋ k
sprooch	ʃ p ʀ oː χ
sproochgebitt	ʃ p r oː χ ɡ e b i t
spréif	ʃ p ʀ ɜ ɪ f
sprëtz	ʃ p ʀ ə t s
spuenesch	ʃ p u ə̯ n ə ʃ
spuenier	ʃ p u ə̯ n i ɐ
spuer	ʃ p uː ə̯
spuerk	ʃ p uː ə̯ k
spuervigel	ʃ p uː ə̯ f i ʑ ə l
spuervull	ʃ p uː ə̯ f u l
spull	ʃ p u l
spur	ʃ p uː ə̯
sputt	ʃ p u t
späicher	ʃ p æː ɪ̯ ɕ ɐ
spëtz	ʃ p ə t s
spëtzt	ʃ p ə t s t
staang	ʃ t aː ŋ
stad	ʃ t aː t
stadmauer	ʃ t aː d m ɑ ʊ̯ ə
stall	ʃ t ɑ l
stam	ʃ t aː m
stamm	ʃ t ɑ m
stammbam	ʃ t ɑ m b aː m
stand	ʃ t ɑ n t
stater	ʃ t aː t e r
stee	ʃ t eː
steebock	ʃ t eː b o k
steebroch	ʃ t eː b ʀ o χ
steekueb	ʃ t eː k u ə̯ b
steemetzer	ʃ t eː m æ t͡s ɐ
steen	ʃ t eː n
steepiisch	ʃ t eː p iː ʃ
steeën	ʃ t eː ə n
steier	ʃ t ɑ ɪ̯ ɐ
steng	ʃ t æ ŋ
stied	ʃ t i e̯ t
stier	ʃ t iː r
stieren	ʃ t iː r e n
stiermer	ʃ t iː ə̯ m ɐ
still	ʃ t i l
stiwwel	ʃ t i v ə l
stoff	ʃ t o f
stol	ʃ t oː l
stomp	ʃ t o m p
stong	ʃ t o ŋ
stonn	ʃ t o n
stonneplang	ʃ t o n ə p l ɑ ŋ
stot	ʃ t oː t
stouss	ʃ t ə ʊ̯ s
strand	ʃ t ʀ ɑ n t
strapp	ʃ t ʁ ɑ p
strategie	ʃ t ʁ a t e ʒ iː
strauss	ʃ t r a u̯ s
streck	ʃ t ʀ æ k
strief	ʃ t ʀ i ə f
stronk	ʃ t ʀ o ŋ k
strooss	ʃ t ʀ oː s
stroossbuerg	ʃ t r oː s b u e̯ χ
strumm	ʃ t ʀ u m
sträif	ʃ t ʀ æː ɪ̯ f
sträit	ʃ t ʀ æː ɪ̯ t
sträitfall	ʃ t ʀ æː ɪ̯ t f ɑ l
stréckel	ʃ t ʀ e k ə l
stréihutt	ʃ t ʀ ɜ ɪ̯ h u t
strénk	ʃ t ʀ e ŋ k
strëmp	ʃ t ʀ e m p
stuel	ʃ t u ə l
stuerm	ʃ t uː ə m
stuff	ʃ t u f
stull	ʃ t u l
stäerkt	ʃ t ɛː ə̯ k t
stär	ʃ t eː r
stärchen	ʃ t eː r χ e n
stären	ʃ t eː r e n
stärercher	ʃ t eː r e r χ e r
stéck	ʃ t e k
stécker	ʃ t e k ɐ
stéckstoff	ʃ t e k ʃ t o f
stéier	ʃ t e i̯ e r
stéieren	ʃ t e i̯ r e n
stéifkand	ʃ t ɜ ɪ̯ f k ɑ n t
stéifmamm	ʃ t ɜ ɪ̯ f m ɑ m
stéifpapp	ʃ t ɜ ɪ̯ f p ɑ p
stéit	ʃ t ɜ ɪ̯ t
stëbs	ʃ t ə p s
stëft	ʃ t ə f t
stëmm	ʃ t ə m
su	z uː
succès	s y k s ɛ
sucht	z u χ t
suel	z u ə l
suerg	z u e̯ χ
summer	z u m e r
summerwee	z u m ɐ v eː
symptom	s i m p t oː m
séchel	z ə ɕ ə l
séi	z e i̯
séihond	z ɜ ɪ̯ h o n t
séil	z ɜ ɪ l
séipäerdchen	z ɜ ɪ̯ p ɛː ə̯ t ɕ ə n
sëlwer	s ə l v ɐ
sëlwermënz	z ə l v ɐ m ə n t͡s
sënd	z e n t
sënn	z e n
sëtz	z ə t s
süden	z yː d ə n
taart	t aː χ t
tallong	t ɑ l o ŋ
tast	t ɑ s t
tatta	t ɑ t a
tatz	t ɑ t s
taxichauffeur	t ɑ k s i ʃ oː f ɐ
televisioun	t ə l ə v i z j ə ʊ̯ n
tempel	t æ m p ə l
teppech	t æ p ə ɕ
terrass	t æ ʀ ɑ s
thees	t eː s
tierk	t i e̯ k
tierkei	t i e̯ k a i̯
timber	t æ̃ b e r
toilettëpabeier	t o̯ ɑ l æ t ə p ɑ b ɜ i̯ ɐ
tomat	t o m aː t
tomatejus	t o m aː t ə ʒ yː
tosch	t o ʃ
toun	t ə ʊ̯ n
trach	t r a χ
traisch	t ʀ æː ɪ̯ ʃ
traité	t r e t e
trap	t ʀ aː p
trapegelänner	t ʀ aː p ə ɡ ə l æ n ɐ
trapp	t ʁ ɑ p
tratt	t ʀ ɑ t
trauer	t ʀ ɑ ʊ̯ ɐ
traufel	t ʀ ɑ ʊ̯ f ə l
trei	t ʀ a i̯
tromm	t ʀ o m
troun	t ʀ ə ʊ̯ n
trouscht	t ʀ ə ʊ̯ ʃ t
tréin	t ʀ ɜ ɪ̯ n
trëtt	t ʀ ə t
trëtz	t ʀ ə t s
trüffel	t ʀ y f ə l
tubak	t u b a k
tuerm	t u ə̯ m
tulp	t u l p
tureil	t uː ə̯ ɑ i̯ l
turnschlapp	t u ʀ n ʃ l ɑ p
tut	t uː t
täissel	t æ i̯ s e l
täsch	t æ ʃ
täschemesser	t æ ʃ ə m æ s ɐ
täschendéif	t æ ʃ ə n d ɜ ɪ̯ f
téi	t e i̯
tënt	t ə n t
ubau	u b æː ʊ̯
uebst	u e̯ p s t
uebstbam	u ə p s t b aː m
uebstdrëpp	u ə p s t d ʀ ə p
uebstjus	u ə̯ p s t ʒ yː
uebstzalot	u ə p s t s ɑ l oː t
uebstzort	u ə p s t s ɔ ʀ t
ueleg	u e̯ l e χ
uelzecht	u ə l t͡s ə ɕ t
uerden	uː ə̯ d ə n
uerder	uː ə̯ d ɐ
uerdnung	uː ə̯ d n u ŋ
uergel	uː ə̯ ʑ ə l
uergelbauer	u e̯ ʀ ɣ e l b a u̯ e ʀ
uergelspiller	uː ə̯ ʑ ə l ʃ p i l ɐ
uert	u e̯ t
uess	u ə̯ s
uessen	u ə̯ s ə n
uewen	u e̯ v e n
uewerkuer	u ə v ɐ k uː ə̯
ufank	u f ɑ ŋ k
ufro	u f ʀ oː
ulaf	u l aː f
ulm	u l m
ursaach	uː ʀ z aː χ
usproch	u ʃ p ʀ o χ
usprooch	u ʃ p ʀ oː χ
vagin	v a ʒ æ̃
vaginen	v a ʒ æ̃ e n
vakanz	v ɑ k ɑ n t s
vanill	v ɑ n i l
vas	v aː s
veianen	f ɑ ɪ̯ aː n ə n
veinen	f ɑ ɪ̯ n ə n
verbuet	f ɐ b u ə t
verdeedeger	f ɐ d eː d e ʁ ɐ
verfall	f ɐ f ɑ l
verfollegung	f ɐ f o l e ʁ u ŋ
verhalen	f ɐ h aː l ə n
verlaangen	f ɐ l aː ŋ ə n
verspriechen	f ɐ ʃ p ʀ i ə̯ χ e n
verspriechung	f ɐ ʃ p ʀ i ə̯ χ u ŋ
versteesdemech	f e r ʃ t eː s d e m e χ
versécherung	f ɐ z e χ e ʀ u ŋ
verteideger	f ɐ t ɑ ɪ̯ d e ʁ ɐ
verzweiwelung	f ɐ t͡s w ɑ ɪ̯ v ə l u ŋ
veräin	f e r æ i̯ n
veräiner	f e r æ i̯ n e r
vigel	f i ʁ e l
virdeel	f i ɐ̯ d eː l
virnumm	f iː ə̯ n u m
virolog	v i ʁ o l oː k
virologie	v i ʁ o l o ɡ iː
virstellung	f i ɐ̯ ʃ t æ l u ŋ
vitesse	v i t æ s
vollek	f o l ə k
vollmound	f o l m ə ʊ̯ n t
vott	v o t
vugel	f u ʁ e l
vull	f u l
véi	f ɜ ɪ̯
véiereck	f e i̯ r æ k
vëlo	v ə l oː
vëlossport	v ə l oː s ʃ p o ʀ t
waarzel	v aː t͡s ə l
waasser	v aː s e r
waasserball	v aː s ɐ b ɑ l
waasseren	v aː s e r e n
waasserlaf	v aː s ɐ l aː f
waassermann	v aː s ɐ m ɑ n
waassermeloun	v aː s ɐ m ə l ə ʊ̯ n
waasserpiipsert	v aː s ɐ p iː p s ɐ t
waasserpouken	v aː s ə p ə ʊ̯ k ə n
waasserstoff	v aː s ɐ ʃ t o f
wab	v aː p
waff	v ɑ f
wak	v aː k
wakelter	v aː k ə l t ɐ
wal	v aː l
wallis	v ɑ l i s
wand	v a n t
wandvitesse	v ɑ n d v i t æ s
wann	v ɑ n
wanter	v a n t e r
wantergréng	v ɑ n t ɐ ɡ ʀ e ŋ
wanterint	v ɑ n t ə ʀ i n t
wanterpanewippchen	v ɑ n t ɐ p aː n ə v i p ɕ ə n
watt	v ɑ t
wecker	v æ k ə
weed	v eː t
ween	v eː n
weeschësser	v eː ʃ ə s ɐ
weess	v eː s
weeër	v eː e r
wei	v ɑ ɪ̯
weid	v ɑ ɪ̯ t
weidemees	v ɑ ɪ̯ d ə m eː s
well	v æ l
welt	v æ l t
westen	v æ s t ə n
wett	v æ t
wick	v i k
widder	v i d ɐ
wiechter	v i e̯ χ t e r
wiel	v i e̯ l
wier	v iː ə̯
wierbeldéier	v iː ʀ b e l d ɜ ɪ̯ ɐ
wierfel	v iː ə̯ f ə l
wierm	v iː ə̯ m
wiert	v iː ə t
wiesen	v i ə z ə n
wiessel	v i ə̯ s ə l
winker	v i ŋ k ɐ
wirschtchen	v i r ʃ e n
wirschtercher	v i r ʃ t e r χ e r
wisel	v i z ə l
wisepiipsert	v iː z ə p i p s ɐ t
wittfra	v i t f ʀ aː
witz	v i t͡s
wo	v oː
woch	v o χ
woll	v o l
wollek	v o l ə k
wollekekrazert	v o l ə k ə k ʀ aː t͡s ɐ t
wolz	v o l t s
won	v oː n
wonn	v o n
wonner	v o n ɐ
wopen	v oː p e n
wouerecht	v e u̯ r e χ t
wuecht	v u e̯ χ t
wuechtel	v u ə̯ ɕ t ə l
wuechthond	v u ə̯ ɕ t h o n t
wued	v u ə̯ t
wuel	v u ə l
wuer	v u ɐ
wuerm	v uː ə̯ m
wuerzel	v u ə̯ t͡s ə l
wues	v u ə s
wuess	v u ə s
wull	v u l
wunneng	v u n e ŋ
wurscht	v u r ʃ t
wurschten	v u r ʃ t e n
wäermt	v ɛː ə̯ m t
wäert	v eː r t
wäikeller	v æː ɪ̯ k æ l ɐ
wäin	v æ i̯ n
wäiner	v æ i̯ n e r
wäissrussland	v æː ɪ̯ z ʀ u s l ɑ n t
wäitsprong	v æː ɪ̯ t ʃ p ʀ o ŋ
wäsch	v æ ʃ
wäschbier	v æ ʃ b i ə̯
wäschkichen	v æ ʃ k i ɕ ə n
wäschkuerf	v æ ʃ k uː ə̯ f
wässeg	v æ s ə ɕ
wéi	v e i̯
wéngert	v e ŋ e r t
wénkel	v e ŋ k ə l
wëllef	v ə l ə f
wëllen	v ə l ə n
wënzer	v ə n t͡s ɐ
wësch	v ə ʃ
wëssen	v ə s ə n
zaang	t s aː ŋ
zack	t s ɑ k
zalot	t s a l oː t
zam	t s aː m
zander	t͡s ɑ n d ɐ
zant	t s ɑ n t
zap	t͡s aː p
zapp	t s ɑ p
zatz	t s ɑ t s
zebra	t͡s eː b ʀ a
zebrasträif	t͡s eː b ʀ ɑ ʃ t ʀ æː ɪ̯ f
zeck	t s æ k
zeechen	t͡s eː ɕ ə n
zeen	t͡s eː n
zeien	t͡s ɑ ɪ̯ ə n
zeil	t s ɑ ɪ̯ l
zeitung	t s a i̯ t u ŋ
zeitungen	t͡s ɑ ɪ̯ t u ŋ ə n
zell	t s æ l
zelleri	t͡s æ l ə ʁ i
zelt	t͡s æ l t
zervéit	t͡s ɐ v ɜ ɪ̯ t
ziedel	t͡s i ə̯ d ə l
zier	t͡s iː ə̯
zigarett	t͡s i ɡ ɑ ʀ æ t
zigel	t͡s i ʑ ə l
zil	t͡s iː l
zill	t s i l
zillzapp	t͡s i l t͡s ɑ p
zitroun	t͡s i t ʀ ə ʊ̯ n
ziwwi	t s i v i
zoch	t s o χ
zocker	t s o k e r
zodi	t͡s oː d iː
zoll	t s o l
zomm	t͡s o m
zon	t͡s oː n
zooss	t s oː s
zoossiss	t͡s oː s i s
zopp	t͡s o p
zort	t s o r t
zoufall	t͡s ə ʊ̯ f ɑ l
zoustand	t͡s ə ʊ̯ ʃ t ɑ n t
zuch	t͡s u χ
zuel	t s u e̯ l
zuucht	t s uː χ t
zwangsrekrutéierten	t͡s w ɑ ŋ s ʀ ə k ʀ u t ɜ ɪ̯ ɐ t ə n
zweck	t͡s w æ k
zwecker	t͡s w æ k ɐ
zweiwel	t s v a i̯ v e l
zwilling	t͡s w i l i ŋ
zwir	t͡s w iː ə̯
zwirkinnek	t͡s w iː ə̯ k i n e k
zwiwwel	t͡s w i v ə l
zwäig	t s v æ i̯ χ
zylinder	t͡s i l i n d ɐ
zäertlechkeet	t͡s ɛː ə̯ t l ə ɕ k eː t
zäit	t s æ i̯ t
zäitplang	t͡s æː ɪ̯ t p l ɑ ŋ
zäitschrëft	t͡s æː ɪ̯ t ʃ ʁ ə f t
zänn	t͡s æ n
zänndokter	t͡s æ n d o k t ɐ
zäregas	t s eː r e ɡ aː s
zäreneffekt	t͡s ɛː ʀ ə n e f æ k t
zécken	t͡s e k ə n
zéif	t͡s ɜ ɪ f
zéiwennol	t͡s ɜ ɪ̯ v ə n oː l
zénk	t͡s e ŋ k
zëmmer	t͡s ə m ɐ
zënn	t s ə n
aacht	aː χ t
aarbechtslos	aː r b e χ t s l oː s
aartlech	aː r t l e χ
abiméiert	ɑ b i m ɜ ɪ̯ ɐ t
ablécklech	ɑ p l e k l e χ
abonéieren	ɑ b o n ɜ ɪ̯ ə ʀ ə n
absichtlech	ɑ p z i χ t l e χ
abstrakt	ɑ p s t ʀ ɑ k t
absurd	ɑ p z u ʀ t
adeleg	aː d e l e χ
afen	aː f e n
agreabel	ɑ ɡ ʁ e aː b ə l
agresséieren	ɑ ɡ ʀ æ s ɜ ɪ̯ ə ʀ ə n
ahnen	aː n e n
akadeemesch	ɑ k ɑ d eː m ə ʃ
akribesch	ɑ k r iː b e ʃ
aktivéieren	ɑ k t i v ɜ ɪ̯ ə ʀ ə n
al	aː l
alertéieren	ɑ l æ ʀ t ɜ ɪ̯ ə ʀ ə n
alignéieren	ɑ l i n j ɜ ɪ̯ ə ʀ ə n
allefalls	ɑ l ə f ɑ l s
allenenn	ɑ l ə n æ n
allerdéngs	ɑ l ɐ d e ŋ s
allmächteg	ɑ l m æ ɕ t e ɕ
amplaz	a m p l aː t s
an	a n
anchecken	a n t ʃ æ k e n
andecken	a n d æ k e n
andeelen	a n d eː l e n
andeems	a n d eː m s
andreiwen	a n d ʀ a i̯ v e n
androen	a n d ʀ o e n
aner	aː n e ʀ
anescht	aː n e ʃ t
apaart	a p aː t
aplaz	a p l aː t s
aschléissen	a ʃ l e i̯ s e n
aschätzen	a ʃ æ t s e n
asetzen	a z æ t s e n
ausfroen	æː ʊ s f ʀ oː ə n
awanderen	a v a n d e ʀ e n
awer	aː v e ʀ
baang	b aː ŋ
baken	b aː k e n
bannen	b a n e n
batter	b a t e r
bedeckt	b e d æ k t
bedeiten	b e d a i̯ t e n
bedrécken	b e d ʀ e k e n
beezen	b eː t s e n
befielen	b e f i e̯ l e n
begieren	b e ɡ i e̯ ʀ e n
begierlech	b e ɡ iː ʀ l e χ
begleeden	b e ɡ l eː d e n
begrënnen	b e ɡ ʀ e n e n
begéinen	b e ɡ e i̯ n e n
behaapten	b e h aː p t e n
beige	b eː ʃ
beleedegen	b e l eː d e ʁ e n
beleeën	b e l e e n
bemierken	b e m i e̯ k e n
beobachten	b e oː b a χ t e n
bereien	b e ʀ a i̯ e n
beriichten	b e ʀ iː χ t e n
beréieren	b e ʀ e i̯ ʀ e n
beschléissen	b e ʃ l e i̯ s e n
beschreiwen	b e ʃ ʀ a i̯ v e n
beschränken	b e ʃ ʀ æ ŋ k e n
beschwéiert	b e ʃ v e ɪ̯ e ʀ t
besetzen	b e z æ t s e n
besonnesch	b e z o n e ʃ
bespriechen	b e ʃ p ʀ i e̯ χ e n
bestellen	b e ʃ t æ l e n
bestiits	b e ʃ t iː t s
bestit	b e ʃ t iː t
bestrofen	b e ʃ t ʀ oː f e n
bestueden	b e ʃ t u e̯ d e n
bestuet	b e ʃ t u e̯ t
betounen	b e t e u̯ n e n
beuechten	b e u e̯ χ t e n
bewegen	b e v eː ʁ e n
bezeechnen	b e t s eː χ n e n
bezeien	b e t s a i̯ e n
bezuelen	b e t s u e̯ l e n
bezweiwelen	b e t s v a i̯ v e l e n
bezwéngen	b ə t͡s w e ŋ ə n
bieden	b i e̯ d e n
biergen	b i e̯ ʁ e n
biergof	b iː ʀ χ oː f
biergop	b i ə̯ ʀ χ o p
biewen	b i e̯ v e n
biichten	b iː χ t e n
biischten	b iː ʃ t ə n
bilden	b i l d e n
billen	b i l e n
bis	b i s
bitzen	b i t s e n
blann	b l a n
blatzeg	b l ɑ t s e χ
bleech	b l eː χ
bleechen	b l eː χ e n
bleiwen	b l a i̯ v e n
blennen	b l æ n e n
blesséieren	b l æ s e i̯ ʀ e n
blitt	b l i t
blitts	b l i t s
blo	b l o
bloost	b l oː s t
blosen	b l oː z e n
blouss	b l e u̯ s
bludden	b l u d e n
bluttjonk	b l u t j o ŋ k
bluttrout	b l u t ʀ e u̯ t
bläien	b l æ i̯ e n
bläifräi	b l æ i̯ f r æ i̯
bléien	b l e i̯ e n
bléis	b l e i̯ s
bléist	b l e i̯ s t
bléit	b l e i̯ t
blénken	b l e ŋ k e n
blëtzen	b l e t s e n
botanesch	b oː t aː n e ʃ
botzen	b o t s e n
braconnéieren	b ʀ a k o n e i̯ ʀ e n
brauchen	b ʀ æ u̯ χ e n
brauen	b r a u̯ e n
breet	b ʀ eː t
brennen	b ʀ æ n e n
bretzeg	b ʀ æ t s ə ɕ
bretzen	b ʀ æ t s e n
briech	b ʀ i e̯ χ
briecht	b ʀ i e̯ χ t
brittesch	b ʀ i t e ʃ
broden	b ʀ oː d e n
brodéieren	b ʀ o d e i̯ ʀ e n
brong	b ʀ o ŋ
bronkeg	b ʀ o ŋ k e χ
bréchs	b ʀ e χ s
brécht	b r e χ t
bréit	b ʀ e i̯ t
bréits	b ʀ e i̯ t s
bréngen	b r e ŋ e n
brëllen	b r e l e n
buchen	b u χ e n
buddelen	b u d e l e n
bueden	b u e̯ d e n
bueren	b uː r e n
bäikommen	b æ i̯ k o m e n
bäileeën	b æ i̯ l e e n
bäisetzen	b æ i̯ z æ t s e n
bäiss	b æ i̯ s
bäissen	b æ i̯ s e n
bäisst	b æ i̯ s t
bécken	b e k e n
béid	b e i̯ t
béiden	b e i̯ d e n
béis	b e i̯ s
béissen	b e i̯ s e n
bëlleg	b e l e χ
bënns	b e n s
bënnt	b e n t
bëselen	b e z e l e n
capabel	k a p aː b e l
catchen	k a t ʃ e n
changéieren	ʃ ã ʒ e i̯ ʀ e n
chaufféieren	ʃ o f e i̯ ʀ e n
chrëschtlech	k ʀ e ʃ t l e χ
coachen	k oː t͡ʃ ə n
couragéiert	k u ʀ aː ʒ e ɪ̯ e ʀ t
d'	d
daachen	d aː χ e n
dach	d a χ
dacks	d a k s
dafstomm	d aː f ʃ t o m
dangen	d a ŋ e n
danken	d a ŋ k e n
dann	d a
danzen	d a n t s e n
daper	d aː p e ʀ
dass	d a s
dat	d a t
datt	d a t
dauchen	d æ u̯ χ e n
daueren	d a u̯ ʀ e n
dausend	d a u̯ z e n t
dech	d e χ
deefen	d eː f e n
deeglech	d eː χ l e χ
deelen	d eː l e n
deem	d eː m
deemno	d eː m n o
deemools	d eː m oː l s
deen	d eː n
dees	d eː s
deet	d eː t
degustéieren	d eː ɡ y s t e i̯ ʀ e n
deier	d a i̯ e ʀ
dem	d e m
den	d e n
deng	d e ŋ
dengem	d e ŋ e m
dengen	d e ŋ e n
denger	d e ŋ e ʀ
denken	d æ ŋ k e n
der	d e r
derhanner	d e ʀ h a n e ʀ
dicht	d i χ t
dier	d iː r
diktéieren	d i k t e i̯ ʀ e n
dillen	d i l e n
dinn	d i n
diskutéieren	d i s k u t e i̯ ʀ e n
ditzen	d i t s e n
do	d o
dobannen	d o b a n e n
dobaussen	d o b æ u̯ s e n
dobäi	d o b æ i̯
doduerch	d o d u e̯ χ
dofir	d o f iː ʀ
doften	d o f t e n
dogéint	d o ɡ e i̯ n t
dohannen	d o h a n e n
dohanner	d o h a n e ʀ
dohin	d o h i n
dohinner	d o h i n e ʀ
domat	d oː m a t
domm	d o m
donkel	d o ŋ k e l
donneren	d o n e ʀ e n
dono	d o n o
doran	d o ʀ a n
doraus	d o ʀ æ u̯ s
doriwwer	d o ʀ i v e ʀ
doropshin	d o ʀ o p s h i n
dorun	d o ʀ u n
dout	d e u̯ t
dovun	d o f u n
dovunner	d o f u n e ʀ
dozou	d o t s e u̯
draleeën	d ʀ a l e e n
dran	d ʀ a n
dreeën	d r eː e n
dreif	d ʀ a i̯ f
dreifs	d ʀ a i̯ f s
dreift	d r a i̯ f t
dreiwen	d r a i̯ v e n
dreschen	d ʀ æ ʃ e n
driwwer	d ʀ i v e ʀ
dro	d ʀ o
droen	d r oː e n
droleg	d ʀ oː l e χ
drun	d ʀ u n
dräifach	d ʀ æ i̯ f a χ
dräimol	d ʀ æ i̯ m oː l
dräizéng	d ʀ æ i̯ t s e ŋ
dräizéngt	d ʀ æ i̯ t s e ŋ t
drängen	d ʀ æ ŋ e n
dränken	d ʀ æ ŋ k e n
dréchnen	d ʀ e χ n e n
drécken	d r e k e n
dréien	d r e i̯ e n
