ཀ	* k a
ལི་ཝང	* l i w a ŋ
ལི་ཤི	* l i ɕ i
ལི་ཤི་མཚོན་འཁོར	* l i ɕ i m t͡sʰ o nᵑ kʰ o r
ལུག	* l u k
ལུང་པ	* l u ŋ p a
ལུད	* l u t
ལུད་པ	* l u t p a
ལེ་ཐོ	* l e tʰ o
ལེགས	* l e k s
ལེགས་པོ	* l e k s p o
ལེགས་སྦྱར	* l e k s z bʲ a r
ལེགས་སྦྱར་སྐད	* l e k s z bʲ a r s k a t
ལེན	* l e n
ལོ	* l o
ལོ་གསར	* l o k s a r
ལོ་མ	* l o m a
ལོ་ཙཱ་བ	l o ˩˨ t͡s a ˥˥ w aˑ
ལོ་རྒྱུས	* l o r ɡʲ u s
ལྔ	* l ŋ a
ལྔ་པ	* l ŋ a p a
ལྔ་བཅུ	* l ŋ a p t͡ɕ u
ལྕགས	* l t͡ɕ a k s
ལྕགས་རྟ	t͡ɕ a ˥˨ t aˑ
ལྕགས་ལམ	* l t͡ɕ a k s l a m
ལྕམ	* l t͡ɕ a m
ལྕེ	* l t͡ɕ e
ལྕེ་ཚ	* l t͡ɕ e t͡sʰ a
ལྕོག་ཙེ	t͡ɕ o k̚ˀ ˥˥ t͡s e ˥˥
ལྗགས	* l d͡ʑ a k s
ལྗང་ཁུ	* l d͡ʑ a ŋ kʰ u
ལྗི	* l d͡ʑ i
ལྗི་བ	* l d͡ʑ i b a
ལྗོངས	* l d͡ʑ o ŋ s
ལྟ	* l t a
ལྟ་ཀློག	* l t a k l o k
ལྟ་བ	* l t a b a
ལྟ་བུ	* l t a b u
ལྟ་སྟངས	* l t a s t a ŋ s
ལྟ་སྲུང	* l t a s r u ŋ
ལྟབ	* l t a p
ལྟབ་པ	* l t a p p a
ལྟམ	* l t a m
ལྟམས	* l t a m s
ལྟུང	* l t u ŋ
ལྟུང་བ	* l t u ŋ b a
ལྟེ་ཁུང	* l t e kʰ u ŋ
ལྟེ་བ	* l t e b a
ལྟེམས	* l t e m s
ལྟོ	* l t o
ལྟོགས	* l t o k s
ལྟོགས་པ	* l t o k s p a
ལྡག	* l d a k
ལྡན	* l d a n
ལྡིར	* l d i r
ལྡུམ་ར	* l d u m r a
ལྡོག	* l d o k
ལྦ་ཚྭ	* l b a t͡sʰʷ a
ལྦུ་བ	* l b u b a
ལྷ	* l̥ a
ལྷ་ཁང	* l̥ a kʰ a ŋ
ལྷ་གཅིག	* l̥ a k t͡ɕ i k
ལྷ་དབང	* l̥ a d b a ŋ
ལྷ་མོ	* l̥ a m o
ལྷ་མོ་དགོན	* l̥ a m o d ɡ o n
ལྷ་ས	* l̥ a s a
ལྷ་ས་བ	* l̥ a s a b a
ལྷག་པ	* l̥ a k p a
ལྷག་མཐོང	* l̥ a k m tʰ o ŋ
ལྷགས་པ	* l̥ a k s p a
ལྷོ	* l̥ o
ལྷོ་པ	* l̥ o p a
ལྷོ་སྣེ	ɬ o ˥˥ n eˑ
ལྷོ་སྣེ་གླིང	ɬ o ˥˥ n eˑ l i ŋ ˥˥
ཤ	* ɕ a
ཤངས	* ɕ a ŋ s
ཤར	* ɕ a r
ཤར་བ	ɕ é r p a
ཤི	* ɕ i
ཤིག	* ɕ i k
ཤིང	* ɕ i ŋ
ཤིང་ཀུན	* ɕ i ŋ k u n
ཤིང་ཏོག	* ɕ i ŋ t o k
ཤིང་ནགས	* ɕ i ŋ n a k s
ཤིང་བརྐོས	* ɕ i ŋ p r k o s
ཤིང་ཚ	* ɕ i ŋ t͡sʰ a
ཤིང་འབྲས	* ɕ i ŋᵐ b r a s
ཤིང་རྩི	* ɕ i ŋ r t͡s i
ཤིང་སྡོང	* ɕ i ŋ z d o ŋ
ཤིན་ཏུ་སྦྱང་བ	* ɕ i n t u z bʲ a ŋ b a
ཤུག་པ	* ɕ u k p a
ཤུབས	* ɕ u p s
ཤེལ	* ɕ e l
ཤེལ་དམ	* ɕ e l d a m
ཤེལ་སྒོ	* ɕ e l z ɡ o
ཤེས	* ɕ e s
ཤེས་པ	* ɕ e s p a
ཤེས་བྱ	* ɕ e s bʲ a
ཤོག	* ɕ o k
ཤོག་ངོས	* ɕ o k ŋ o s
ཤོག་བུ	* ɕ o k b u
ཤོར	* ɕ o r
ཤོས	* ɕ o s
ས	* s a
ས་ཁམས་རིག་པ	* s a kʰ a m s r i k p a
ས་ཁུལ	* s a kʰ u l
ས་གཡོས	* s a ɡ j o s
ས་དཀར	* s a t k a r
ས་བཀྲ	* s a b k r a
ས་འགུལ	* s aᵑ ɡ u l
ས་ཡ	* s a j a
ས་ཡོམ	* s a j o m
ས་རྟགས	* s a r t a k s
སང་ཉིན	* s a ŋ ȵ i n
སངས་རྒྱས	* s a ŋ s r ɡʲ a s
སད	* s a t
སམ་ཊ	s a m ˥˥ t aˑ
སམ་ཏ	* s a m t a
སི་པན	* s i p a n
སིལ་ར	* s i l r a
སུ	* s u
སུམ་ཅུ	* s u m t͡ɕ u
སུམ་རྟགས	* s u m r t a k s
སེ་བ	* s e b a
སེ་འབྲུ	* s eᵐ b r u
སེང	* s e ŋ
སེང་གེ	* s e ŋ ɡ e
སེངྒེ	s e ŋ ˥˥ k e ˥˥
སེམས	* s e m s
སེམས་གསོ	* s e m s k s o
སེམས་ཅན	* s e m s t͡ɕ a n
སེམས་པ	* s e m s p a
སེམས་སྡེ	* s e m s z d e
སེར	* s e r
སེར་པོ	* s e r p o
སོ	* s o
སོ་པ	* s o p a
སོག་པོ	* s o k p o
སོགས	* s o k s
སྐད	* s k a t
སྐད་བརྡ་རིག་པ	* s k a t b r d a r i k p a
སྐད་ཡིག	* s k a t j i k
སྐད་རིགས	* s k a t r i k s
སྐད་ལུགས	* s k a t l u k s
སྐད་སྒྲ	* s k a t z ɡ r a
སྐམ་པོ	* s k a m p o
སྐར་མ	* s k a r m a
སྐར་རྩིས	* s k a r r t͡s i s
སྐུ	* s k u
སྐུ་གདུང	* s k u g d u ŋ
སྐུལ་ཚིག	* s k u l t͡sʰ i k
སྐེ	* s k e
སྐྱ་བོ	* s kʲ a b o
སྐྱིད་པོ	* s kʲ i t p o
སྐྱུག་བཤལ	* s kʲ u k p ɕ a l
སྐྱུར་མོ	* s kʲ u r m o
སྐྱེ	* s kʲ e
སྐྱེ་དམན	* s kʲ e d m a n
སྐྱེ་རྒ་ན་འཆི	* s kʲ e r ɡ a n aⁿ t͡ɕʰ i
སྐྱོ	* s kʲ o
སྐྱོ་གླུ	* s kʲ o g l u
སྐྱོ་པོ	* s kʲ o p o
སྐྱོ་བ	* s kʲ o b a
སྐྱོང	* s kʲ o ŋ
སྐྱོབ་པ	* s kʲ o p p a
སྐྲ	* s k r a
སྐྲ་གཞུག	* s k r a g ʑ u k
སྐྲང	* s k r a ŋ
སྐྲངས་པ	* s k r a ŋ s p a
སྐྲན	* s k r a n
སྒ	* z ɡ a
སྒ་སེར	* z ɡ a s e r
སྒང་ཐོག	* z ɡ a ŋ tʰ o k
སྒམ	* z ɡ a m
སྒལ་པ	* z ɡ a l p a
སྒུག	* z ɡ u k
སྒེ་ཁུང	* z ɡ e kʰ u ŋ
སྒེའུ་ཁུང	k i ˩˨ kʰ u ŋ ˥˥
སྒོ	* z ɡ o
སྒོ་ང	* z ɡ o ŋ a
སྒོ་ལྕགས	* z ɡ o l t͡ɕ a k s
སྒོག་པ	* z ɡ o k p a
སྒོང་ང	* z ɡ o ŋ ŋ a
སྒོར་མོ	* z ɡ o r m o
སྒྱུ་རྩལ	* z ɡʲ u r t͡s a l
སྒྱུར	* z ɡʲ u r
སྒྲ	* z ɡ r a
སྒྲ་གདངས	* z ɡ r a g d a ŋ s
སྒྲ་སྒྱུར	* z ɡ r a z ɡʲ u r
སྒྲ་སྙན	* z ɡ r a z ȵ a n
སྒྲིག	* z ɡ r i k
སྒྲིག་འཛུགས	* z ɡ r i kⁿ d͡z u k s
སྒྲིལ	* z ɡ r i l
སྒྲུབ	* z ɡ r u p
སྒྲུབ་ཐབས	* z ɡ r u p tʰ a p s
སྒྲོ	* z ɡ r o
སྔ	* z ŋ a
སྔ་དྲོ	* z ŋ a d r o
སྔ་དྲོ་བདེ་ལེགས	* z ŋ a d r o b d e l e k s
སྔོན་པོ	* z ŋ o n p o
སྔོན་འགྲོ	* z ŋ o nᵑ ɡ r o
སྔོན་འཇུག	* z ŋ o nⁿ d͡ʑ u k
སྙམ	* z ȵ a m
སྙིང	* z ȵ i ŋ
སྙིང་རྗེ	* z ȵ i ŋ r d͡ʑ e
སྟག	* s t a k
སྟངས	* s t a ŋ s
སྟེགས་བུ	* s t e k s b u
སྟེང	* s t e ŋ
སྟོང	* s t o ŋ
སྟོང་པ་ཉིད	* s t o ŋ p a ȵ i t
སྟོད་མངའ་རིས	* s t o t m ŋ a r i s
སྟོན	* s t o n
སྟོན་ཀ	* s t o n k a
སྟོན་ཐོག	* s t o n tʰ o k
སྟོན་པ	* s t o n p a
སྟོབས	* s t o p s
སྟོབས་རྒྱས	* s t o p s r ɡʲ a s
སྟོབས་ལྡན	* s t o p s l d a n
སྡིག་སྲིན	* z d i k s r i n
སྡུག	* z d u k
སྡུག་གླུ	* z d u k g l u
སྡུག་པ	* z d u k p a
སྡུག་པོ	* z d u k p o
སྡུག་བསྔལ	* z d u k b z ŋ a l
སྡུད	* z d u t
སྡུར	* z d u r
སྡུར་བ	* z d u r b a
སྡེ་རིགས	* z d e r i k s
སྡོད	* z d o t
སྡོམ	* z d o m
སྣ	* z n a
སྣ་མིན་སྣ་ཚོགས	* z n a m i n z n a t͡sʰ o k s
སྣ་ལྡན	* z n a l d a n
སྣག་ཚ	* z n a k t͡sʰ a
སྣུབ	* z n u p
སྣུམ	* z n u m
སྣུམ་འཁོར	* z n u mᵑ kʰ o r
སྣེ	n eˑ
སྤང་རྒྱན	* s p a ŋ r ɡʲ a n
སྤང་སྤོས	* s p a ŋ s p o s
སྤེན་པ	* s p e n p a
སྤོ་བོ	* s p o b o
སྤོ་ལོ	* s p o l o
སྤོས	* s p o s
སྤོས་དཀར	* s p o s t k a r
སྤོས་ཤེལ	* s p o s ɕ e l
སྤྱང་ཀི	* s pʲ a ŋ k i
སྤྱང་པོ	* s pʲ a ŋ p o
སྤྱན	* s pʲ a n
སྤྱི་མཐུན་རྒྱལ་ཁབ	* s pʲ i m tʰ u n r ɡʲ a l kʰ a p
སྤྱི་ཚོགས	* s pʲ i t͡sʰ o k s
སྤྱི་ཚོགས་རིང་ལུགས	* s pʲ i t͡sʰ o k s r i ŋ l u k s
སྤྱི་ལེ	* s pʲ i l e
སྤྱི་སྐད	* s pʲ i s k a t
སྤྲིང	* s p r i ŋ
སྤྲིན	* s p r i n
སྤྲིན་པ	* s p r i n p a
སྤྲུལ	* s p r u l
སྤྲུལ་པ	* s p r u l p a
སྤྲུལ་སྐུ	* s p r u l s k u
སྤྲེའུ	p i u ˥˥
སྤྲོས་མེད	* s p r o s m e t
སྦག་སྦག	* z b a k z b a k
སྦལ་བ	* z b a l b a
སྦས་ཡུལ	* z b a s j u l
སྦི་ཅི་ལི	p i ˩˨ t͡ɕ i ˥˥ l iˑ
སྦྱང	* z bʲ a ŋ
སྦྱིན	* z bʲ i n
སྦྱིན་པ	* z bʲ i n p a
སྦྱོར	* z bʲ o r
སྦྱོར་ཀློག	* z bʲ o r k l o k
སྦྲང་རྩི	* z b r a ŋ r t͡s i
སྦྲུལ	* z b r u l
སྨན	* z m a n
སྨན་ཁང	* z m a n kʰ a ŋ
སྨན་ཁབ	* z m a n kʰ a p
སྨན་པ	* z m a n p a
སྨིན་མ	* z m i n m a
སྨུག་པ	* z m u k p a
སྨྱུག་མ	* z mʲ u k m a
སྨྱོན་པ	* z mʲ o n p a
སྨྲ	* z m r a
སྨྲ་བ	* z m r a b a
སྲང་ལམ	* s r a ŋ l a m
སྲམ	* s r a m
སྲས	* s r a s
སྲས་མོ	* s r a s m o
སྲིང་མོ	* s r i ŋ m o
སྲིད	* s r i t
སྲིན་བུ	* s r i n b u
སྲིན་བུ་པད་མ	* s r i n b u p a t m a
སྲུང་སྐྱོང་ཁུལ	ʂ u ŋ ˥˨ c o ŋˑ kʰ yː ˥˥
སྲུལ	* s r u l
སྲོག	* s r o k
སླར	* z l a r
སློབ	* z l o p
སློབ་ཁང	* z l o p kʰ a ŋ
སློབ་ཁྲིད	* z l o p kʰ r i t
སློབ་ཁྲིད་བྱེད	* z l o p kʰ r i t bʲ e t
སློབ་གྲྭ	* z l o p g rʷ a
སློབ་གྲྭ་ཆེན་མོ	* z l o p g rʷ a t͡ɕʰ e n m o
སློབ་དེབ	* z l o p d e p
སློབ་ཕྲུག	* z l o p pʰ r u k
སློབ་མ	* z l o p m a
སློབ་སྟོན	* z l o p s t o n
ཧ	* h a
ཧ་ཡང	* h a j a ŋ
ཧམ་སྤྱོད	* h a m s pʲ o t
ཧར	* h a r
ཧར་པོ	* h a r p o
ཧི་མ་ལ་ཡ	h i m ˥˥ l a j aˑ
ཧྲུལ	* r̥ u l
ཧྲུལ་པོ	* r̥ u l p o
ཨ	* ʔ a
ཨ་ཁུ	* ʔ a kʰ u
ཨ་ག་རུ	* ʔ a ɡ a r u
ཨ་ཆུང	* ʔ a t͡ɕʰ u ŋ
ཨ་ཕ	* ʔ a pʰ a
ཨ་མ	* ʔ a m a
ཨ་མཆོག	* ʔ a m t͡ɕʰ o k
ཨ་མདོ	* ʔ a m d o
ཨ་མྲ	* ʔ a m r a
ཨ་ཞང	* ʔ a ʑ a ŋ
ཨ་ཞང་གི	* ʔ a ʑ a ŋ ɡ i
ཨ་རག	* ʔ a r a k
ཨ་ལོང	* ʔ a l o ŋ
ཨ་ལྕག	* ʔ a l t͡ɕ a k
ཨ་ཤོམ	* ʔ a ɕ o m
ཨང་ཀི	* ʔ a ŋ k i
ཨང་གྲངས	* ʔ a ŋ ɡ r a ŋ s
ཨང་རྩིས	* ʔ a ŋ r t͡s i s
ཨེམ་ཆི	ʔ e m ˥˥ t͡ɕʰ i ˥˥
ཨོཾ	ʔ o m ˥˥
