-al	a l
livonština	l ɪ v o n ʃ c ɪ n a
livorno	l ɪ v o r n o
livornský	l ɪ v o r n s k iː
livrej	l ɪ v r ɛ j
liz	l ɪ s
lize	l ɪ z ɛ
lizéna	l ɪ z ɛː n a
liči	l ɪ t͡ʃ ɪ
lišaj	l ɪ ʃ a j
lišej	l ɪ ʃ ɛ j
lišejník	l ɪ ʃ ɛ j ɲ iː k
lišen	l ɪ ʃ ɛ n
lišil	l ɪ ʃ ɪ l
liška	l ɪ ʃ k a
lišta	l ɪ ʃ t a
lištička	l ɪ ʃ c ɪ t͡ʃ k a
lišák	l ɪ ʃ aː k
lišče	l ɪ ʃ t͡ʃ ɛ
liščí	l ɪ ʃ t͡ʃ iː
ližina	l ɪ ʒ ɪ n a
lne	l n ɛ
lnem	l n ɛ m
lnu	l n u
lněný	l ɲ ɛ n iː
loael	l o a ɛ l
loajalita	l o a j a l ɪ t a
lob	l o p
lobbismus	l o b ɪ z m u s
lobbista	l o b ɪ s t a
lobbistova	l o b ɪ s t o v a
lobbistu	l o b ɪ s t u
lobbisty	l o b ɪ s t ɪ
lobbistů	l o b ɪ s t uː
lobbistův	l o b ɪ s t uː f
lobbovat	l o b o v a t
lobby	l o b ɪ
lobovat	l o b o v a t
lobulární	l o b u l aː r ɲ iː
lobární	l o b aː r ɲ iː
loch	l o x
lochenický	l o x ɛ ɲ ɪ t s k iː
lochotíňanek	l o x o c iː ɲ a n ɛ k
lochotíňanka	l o x o c iː ɲ a n k a
lodenový	l o d ɛ n o v iː
lodi	l o ɟ ɪ
lodivod	l o ɟ ɪ v o t
lodička	l o ɟ ɪ t͡ʃ k a
lodnice	l o d ɲ ɪ t͡s ɛ
lodní	l o d ɲ iː
lodník	l o d ɲ iː k
lodníkův	l o d ɲ iː k uː f
lodním	l o d ɲ iː m
lodyha	l o d ɪ ɦ a
lodyžce	l o d ɪ ʃ t͡s ɛ
lodí	l o ɟ iː
lodích	l o ɟ iː x
lodím	l o ɟ iː m
lodě	l o ɟ ɛ
loděmi	l o ɟ ɛ m ɪ
loděnický	l o ɟ ɛ ɲ ɪ t s k iː
loděnka	l o ɟ ɛ n k a
log	l o k
logaritmus	l o ɡ a r ɪ t m u s
logem	l o ɡ ɛ m
logický	l o ɡ ɪ t͡s k iː
logika	l o ɡ ɪ k a
logo	l o ɡ o
logofilie	l o ɡ o f ɪ l ɪ ɛ
logopedie	l o ɡ o p ɛ d ɪ j ɛ
lojovice	l o j o v ɪ t͡s ɛ
lok	l o k
loka	l o k a
lokace	l o k a t͡s ɛ
lokajský	l o k a j s k iː
lokalit	l o k a l ɪ t
lokalita	l o k a l ɪ t a
lokalitách	l o k a l ɪ t aː x
lokalizovali	l o k a l ɪ z o v a l ɪ
lokalizovat	l o k a l ɪ z o v a t
lokalizovati	l o k a l ɪ z o v a c ɪ
lokativ	l o k a t ɪ f
loket	l o k ɛ t
loketní	l o k ɛ t ɲ iː
lokna	l o k n a
lokomotiv	l o k o m o t ɪ f
lokomotiva	l o k o m o t ɪ v a
lokomotivami	l o k o m o t ɪ v a m ɪ
lokomotivní	l o k o m o c ɪ v ɲ iː
lokomotivo	l o k o m o t ɪ v o
lokomotivou	l o k o m o t ɪ v ou̯
lokomotivu	l o k o m o t ɪ v u
lokomotivy	l o k o m o t ɪ v ɪ
lokomotivách	l o k o m o t ɪ v aː x
lokomotivám	l o k o m o t ɪ v aː m
lokomotivě	l o k o m o t ɪ v j ɛ
loktuše	l o k t u ʃ ɛ
lokál	l o k aː l
lokálka	l o k aː l k a
lokálkou	l o k aː l k ou̯
lokální	l o k aː l ɲ iː
lokálního	l o k aː l ɲ iː ɦ o
lokáč	l o k aː t͡ʃ
lolek	l o l ɛ k
lolita	l o l ɪ t a
lom	l o m
lomař	l o m a r̝
lombardie	l o m b a r d ɪ j ɛ
lomcovat	l o m t͡s o v a t
lomenice	l o m ɛ ɲ ɪ t͡s ɛ
lomikámen	l o m ɪ k aː m ɛ n
lomítko	l o m iː t k o
londýn	l o n d iː n
londýnský	l o n d iː n s k iː
londýně	l o n d iː ɲ ɛ
londýňan	l o n d iː ɲ a n
longitudinální	l o n ɡ ɪ t u d ɪ n aː l ɲ iː
loni	l o ɲ ɪ
lopar	l o p a r
lopata	l o p a t a
lopatka	l o p a t k a
lopotování	l o p o t o v aː ɲ iː
lopuch	l o p u x
lopuchový	l o p u x o v iː
lordstvo	l o r t͡s t v o
lordóza	l o r d oː z a
loreta	l o r ɛ t a
loretský	l o r ɛ t s k iː
lorátní	l o r aː t ɲ iː
los	l o s
losangeleský	l o s ɛ n d͡ʒ l s k iː l o s ɛ n d͡ʒ ɛ l ɛ s k iː
lose	l o s ɛ
loser	l uː z ɛ r
losice	l o s ɪ t͡s ɛ
losos	l o s o s
lososnatý	l o s o s n a t iː
lososová	l o s o s o v aː
lososový	l o s o s o v iː
lososí	l o s o s iː
losovačka	l o s o v a t ʃ k a
lostr	l o s t r
losí	l o s iː
lot	l o t
lotos	l o t o s
lotosoví	l o t o s o v iː
lotosový	l o t o s o v iː
lotr	l o t r
lotyš	l o t ɪ ʃ
lotyška	l o t ɪ ʃ k a
lotyšsko	l o t ɪ ʃ s k o
lotyšsky	l o t ɪ ʃ s k ɪ
lotyšský	l o t ɪ ʃ s k iː
louce	l ou̯ t͡s ɛ
louhi	l ou̯ ɦ ɪ
louisiana	l u j s ɪ a n a
louk	l ou̯ k
louka	l ou̯ k a
loukami	l ou̯ k a m ɪ
louko	l ou̯ k o
loukou	l ou̯ k ou̯
loukoť	l ou̯ k o c
loukoťoví	l ou̯ k o c o v iː
loukoťový	l ou̯ k o c o v iː
louku	l ou̯ k u
louky	l ou̯ k ɪ
loukách	l ou̯ k aː x
loukám	l ou̯ k aː m
loun	l ou̯ n
lounek	l ou̯ n ɛ k
lounsko	l ou̯ n s k o
lounský	l ou̯ n s k iː
louny	l ou̯ n ɪ
loupaný	l ou̯ p a n iː
loupat	l ou̯ p a t
loupati	l ou̯ p a c ɪ
loupe	l ou̯ p ɛ
loupež	l ou̯ p ɛ ʃ
loupeže	l ou̯ p ɛ ʒ ɛ
loupeživý	l ou̯ p ɛ ʒ ɪ v iː
loupežník	l ou̯ p ɛ ʒ ɲ iː k
loupit	l o u p ɪ t
loupák	l ou̯ p aː k
loupáček	l ou̯ p aː t͡ʃ ɛ k
loupíce	l o u p iː t͡s ɛ
louskáček	l ou̯ s k aː t͡ʃ ɛ k
loutka	l ou̯ t k a
loutkařit	l ou̯ t k a r̝ ɪ t
loutna	l ou̯ t n a
loutnista	l ou̯ t n ɪ s t a
loutnový	l ou̯ t n o v iː
louče	l ou̯ t͡ʃ ɛ
louňan	l ou̯ ɲ a n
louňanka	l ou̯ ɲ a n k a
louže	l ou̯ ʒ ɛ
louži	l ou̯ ʒ ɪ
loužička	l ou̯ ʒ ɪ t͡ʃ k a
lov	l o f
lovaň	l o v a ɲ
love	l o v ɛ
lovec	l o v ɛ t͡s
lovecký	l o v ɛ t͡s k iː
lovečák	l o v ɛ t͡ʃ aː k
loviště	l o v ɪ ʃ c ɛ
lovkyně	l o f k ɪ ɲ ɛ
lovný	l o v n iː
loď	l o c
loďka	l o c k a
loďmi	l o ɟ m ɪ
loďstvo	l o c s t v o
loňskou	l o ɲ s k ou̯
loňské	l o ɲ s k ɛː
loňského	l o ɲ s k ɛː ɦ o
loňském	l o ɲ s k ɛː m
loňský	l o ɲ s k iː
loňských	l o ɲ s k iː x
lošák	l o ʃ aː k
ložisko	l o ʒ ɪ s k o
ložnice	l o ʒ ɲ ɪ t͡s ɛ
ložní	l o ʒ ɲ iː
luanda	l u a n d a
lub	l u p
lublaň	l u b l a ɲ
lubomír	l u b o m iː r
lubor	l u b o r
lubový	l u b o v iː
lubrikant	l u b r ɪ k a n t
lucemburk	l u t͡s ɛ m b u r k
lucembursko	l u t͡s ɛ m b u r s k o
lucembursky	l u t͡s ɛ m b u r s k ɪ
lucemburský	l u t͡s ɛ m b u r s k iː
lucemburčan	l u t͡s ɛ m b u r t͡ʃ a n
lucerka	l u t͡s ɛ r k a
lucerna	l u t͡s ɛ r n a
lucernový	l u t͡s ɛ r n o v iː
lucie	l u t͡s ɪ j ɛ
lucifer	l u t͡s ɪ f ɛ r
lucka	l u t͡s k a
lucko	l u t͡s k o
lucký	l u t s k iː
ludiše	l u ɟ ɪ ʃ ɛ
ludmila	l u d m ɪ l a
ludolfův	l u d o l f uː f
ludvík	l u d v iː k
lues	l u ɛ s
luft	l u f t
luh	l u x
luk	l u k
lukavská	l u k a f s k aː
lukešová	l u k ɛ ʃ o v aː
lukostřelkyně	l u k o s t r̝ ɛ l k ɪ ɲ ɛ
lukrativní	l u k r a t ɪ v ɲ iː
lukrativních	l u k r a t ɪ v ɲ iː x
luku	l u k u
lukulský	l u k u l s k iː
lukáš	l u k aː ʃ
lukášův	l u k aː ʃ uː f
luků	l u k uː
lulan	l u l a n
lulav	l u l a f
lulin	l u l ɪ n
lulka	l u l k a
lulínek	l u l iː n ɛ k
lumbální	l u m b aː l ɲ iː
lumen	l u m ɛ n
luminiscence	l u m ɪ n ɪ s t͡s ɛ n t͡s ɛ
luminiskovat	l u m ɪ n ɪ s k o v a t
lump	l u m p
lumík	l u m iː k
lumír	l u m iː r
lumírův	l u m iː r uː f
luna	l u n a
lunapark	l u n a p a r k
lunaparkoví	l u n a p a r k o v iː
lunaparkový	l u n a p a r k o v iː
lunatismus	l u n a t ɪ z m u s
luneta	l u n ɛ t a
lunný	l u n iː
luno	l u n o
lunt	l u n t
lunula	l u n u l a
lunám	l u n aː m
lunární	l u n aː r ɲ iː
lup	l u p
lupa	l u p a
lupenka	l u p ɛ n k a
lupenkový	l u p ɛ n k o v iː
lupení	l u p ɛ ɲ iː
lupič	ɦ o l ɪ t͡ʃ
lupiče	l u p ɪ t͡ʃ ɛ
lupičem	l u p ɪ t͡ʃ ɛ m
lupiči	l u p ɪ t͡ʃ ɪ
lupičích	l u p ɪ t͡ʃ iː x
lupičů	l u p ɪ t͡ʃ uː
lupičům	l u p ɪ t͡ʃ uː m
lupičův	l u p ɪ t͡ʃ uː f
lupo	l u p o
lupu	l u p u
lupy	l u p ɪ
lurdský	l u r t s k iː
lusaka	l u s a k a
lusk	l u s k
luskoun	l u s k ou̯ n
lustig	l u s c ɪ k
lustr	l u s t r
lustrace	l u s t r a t͡s ɛ
lustrový	l u s t r o v iː
lustrum	l u s t r u m
lutecium	l u t ɛː t͡s ɪ j u m
luterijánský	l u t ɛ r ɪ j aː n s k iː
luterský	l u t ɛ r s k iː
luteránský	l u t ɛ r aː n s k iː
lutnový	l u t n o v iː
lutr	l u t r
lutrie	l u t r ɪ j ɛ
lutrijánský	l u t r ɪ j aː n s k iː
lutrový	l u t r o v iː
lutránský	l u t r aː n s k iː
lutych	l u t ɪ x
lutyšský	l u t ɪ ʃ s k iː
lux	l u k s
luxační	l u k s a t͡ʃ ɲ iː
luxor	l u k s o r
luxová	l u k s o v aː
luxusní	l u k s u s ɲ iː
luxusním	l u k s u s ɲ iː m
luzný	l u z n iː
lučan	l u t͡ʃ a n
lučba	l u d͡ʒ b a
lučební	l u t͡ʃ ɛ b ɲ iː
lučebník	l u t͡ʃ ɛ b ɲ iː k
lučina	l u t͡ʃ ɪ n a
lučištník	l u t͡ʃ ɪ ʃ t ɲ iː k
lučiště	l u t͡ʃ ɪ ʃ c ɛ
luční	l u t͡ʃ ɲ iː
luňan	l u ɲ a n
luňanka	l u ɲ a n k a
luňančin	l u ɲ a n t͡ʃ ɪ n
luňanův	l u ɲ a n uː f
luňák	l u ɲ aː k
luňáčí	l u ɲ aː t͡ʃ iː
luštěninový	l u ʃ c ɛ ɲ ɪ n o v iː
lužice	l u ʒ ɪ t͡s ɛ
lužickosrbsky	l u ʒ ɪ t͡s k o s r p s k ɪ
lužickosrbský	l u ʒ ɪ t͡s k o s r p s k iː
lužnice	l u ʒ ɲ ɪ t͡s ɛ
lužní	l u ʒ ɲ iː
lva	l v a
lvice	l v ɪ t͡s ɛ
lvov	l v o f
lvový	l v o v iː
lví	l v iː
lvíček	l v iː t͡ʃ ɛ k
lyceum	l ɪ t͡s ɛ u m
lymfa	l ɪ m f a
lymfatický	l ɪ m f a t ɪ t͡s k iː
lymfocyt	l ɪ m f o t͡s ɪ t
lymfocytóza	l ɪ m f o t͡s ɪ t oː z a
lynčovat	l ɪ n t͡ʃ o v a t
lyon	l ɪ j o n
lyonský	l ɪ j o n s k iː
lyra	l ɪ r a
lyrický	l ɪ r ɪ t͡s k iː
lyrik	l ɪ r ɪ k
lyrika	l ɪ r ɪ k a
lyrochvost	l ɪ r o x v o s t
lyrovitý	l ɪ r o v ɪ t iː
lysina	l ɪ s ɪ n a
lyska	l ɪ s k a
lysozym	l ɪ s o z ɪ m
lysý	l ɪ s iː
lytický	l ɪ t ɪ t͡s k iː
lyzol	l ɪ z o l
lyzozom	l ɪ z o z o m
lyčan	l ɪ t͡ʃ a n
lyžař	l ɪ ʒ a r̝
lyžařka	l ɪ ʒ a r̝ k a
lyžařský	l ɪ ʒ a r̝ s k iː
lyže	l ɪ ʒ ɛ
lyžovat	l ɪ ʒ o v a t
lyžovati	l ɪ ʒ o v a c ɪ
lyžování	l ɪ ʒ o v aː ɲ iː
lyžák	l ɪ ʒ aː k
lyžárna	l ɪ ʒ aː r n a
lyžích	l ɪ ʒ iː x
lze	l z ɛ
ládovat	l aː d o v a t
ládrovaný	l aː d r o v a n iː
lágr	l aː ɡ r
lágrový	l aː ɡ r o v iː
láhev	l aː ɦ ɛ f
láhve	l aː ɦ v ɛ
láhvový	l aː ɦ v o v iː
lák	l aː k
lákadlo	l aː k a d l o
lákaly	l aː k a l ɪ
lákat	l aː k a t
lákový	l a k o v iː
láká	l aː k aː
lál	l aː l
láma	l aː m a
lámaje	l aː m a j ɛ
lámat	l aː m a t
lámou	l aː m ou̯
lán	l aː n
lánový	l aː n o v iː
lány	l aː n ɪ
lásce	l aː s t͡s ɛ
lásek	l aː s ɛ k
láska	l aː s k a
láskami	l aː s k a m ɪ
lásko	l aː s k o
láskou	l aː s k ou̯
lásku	l aː s k u
lásky	l aː s k ɪ
láskyplný	l aː s k ɪ p l n iː
láskách	l aː s k aː x
láskám	l aː s k aː m
látek	l aː t ɛ k
láteřit	l aː t ɛ r̝ ɪ t
látka	l aː t k a
látkou	l aː t k ou̯
látkový	l aː t k o v iː
látro	l aː t r o
látrový	l aː t r o v iː
láv	l aː f
láva	l aː v a
lávka	l aː f k a
lávový	l aː v o v iː
lává	l aː v aː
lázeň	l aː z ɛ ɲ
lázeňský	l aː z ɛ ɲ s k iː
lázni	l aː z ɲ ɪ
lázní	l aː z ɲ iː
lázně	l aː z ɲ ɛ
láčka	l aː t͡ʃ k a
láďa	l aː ɟ a
lék	l ɛː k
lékař	l ɛː k a r̝
lékaři	l ɛː k a r̝ ɪ
lékařka	l ɛː k a r̝ k a
lékařskou	l ɛː k a r̝ s k ou̯
lékařské	l ɛː k a r̝ s k ɛː
lékařském	l ɛː k a r̝ s k ɛː m
lékařský	l ɛː k a r̝ s k iː
lékařství	l ɛː k a r̝ s t v iː
lékařů	l ɛː k a r̝ uː
lékařův	l ɛː k a r̝ uː f
lékopisný	l ɛː k o p ɪ s n iː
lékový	l ɛː k o v iː
lékořice	l ɛː k o r̝ ɪ t͡s ɛ
lékořicový	l ɛː k o r̝ ɪ t͡s o v iː
léky	l ɛː k ɪ
lékárenský	l ɛː k aː r ɛ n s k iː
lékárna	l ɛː k aː r n a
lékárnický	l ɛː k aː r ɲ ɪ t͡s k iː
lékárnictví	l ɛː k aː r ɲ ɪ t͡s t v iː
lékárnička	l ɛː k aː r ɲ ɪ t͡ʃ k a
lékárník	l ɛː k aː r ɲ iː k
lékárníkův	l ɛː k aː r ɲ iː k uː f
lémanský	l ɛː m a n s k iː
lének	l ɛː n ɛ k
léno	l ɛː n o
lépe	l ɛː p ɛ
lésový	l ɛː z o v iː
léta	l ɛː t a
létající	l ɛː t a j iː t͡s iː
létajících	l ɛː t a j iː t͡s iː x
létajícího	l ɛː t a j iː t͡s iː ɦ o
létal	l ɛː t a l
létalová	l ɛː t a l o v aː
létat	l ɛː t a t
létavicový	l ɛː t a v ɪ t͡s o v iː
létem	l ɛː t ɛ m
léto	l ɛː t o
létě	l ɛː c ɛ
lézt	l ɛː s t
léčba	l ɛː d͡ʒ b a
léčebna	l ɛː t͡ʃ ɛ b n a
léčebný	l ɛː t͡ʃ ɛ b n iː
léčebným	l ɛː t͡ʃ ɛ b n iː m
léčeni	l ɛː t͡ʃ ɛ ɲ ɪ
léčit	l ɛː t͡ʃ ɪ t
léčitelný	l ɛː t͡ʃ ɪ t ɛ l n iː
léčitelský	l ɛː t͡ʃ ɪ t ɛ l s k iː
léčivo	l ɛː t͡ʃ ɪ v o
léčivý	l ɛː t͡ʃ ɪ v iː
léčný	l ɛː t͡ʃ n iː
léčí	l ɛː t͡ʃ iː
líbajíc	l iː b a j iː t͡s
líbal	l iː b a l
líbat	l iː b a t
líbavě	l iː b a v j ɛ
líbeznice	l iː b ɛ z ɲ ɪ t s ɛ
líbezný	l iː b ɛ z n iː
líbivě	l iː b ɪ v j ɛ
líbánkový	l iː b aː n k o v iː
líbánky	l iː b aː n k ɪ
líbání	l iː b aː ɲ iː
líc	l iː t͡s
líce	l iː t͡s ɛ
lícha	l iː x a
lícní	l iː t͡s ɲ iː
lídrů	l iː d r uː
lídři	l iː d r̝ ɪ
líh	l iː x
líha	l iː ɦ a
lík	l iː k
límec	l iː m ɛ t͡s
límeček	l iː m ɛ t͡ʃ ɛ k
lín	l iː n
línat	l iː n a t
líná	l iː n aː
líný	l iː n iː
líp	l iː p
lípa	l iː p a
lípami	l iː p a m ɪ
lípo	l iː p o
lípou	l iː p ou̯
lípu	l iː p u
lípy	l iː p ɪ
lípách	l iː p aː x
lípám	l iː p aː m
lípě	l iː p j ɛ
lísa	l iː s a
líska	l iː s k a
lískový	l iː s k o v iː
lístek	l iː s t ɛ k
lít	l iː t
lítačka	l iː t a t͡ʃ k a
líti	l iː c ɪ
líto	l iː t o
lítost	l iː t o s t
lítý	l iː t iː
lívanec	l iː v a n ɛ t͡s
lívanečník	l iː v a n ɛ t͡ʃ ɲ iː k
líza	l iː z a
lízat	l iː z a t
líznout	l iː z n o u t
líčení	l iː t͡ʃ ɛ ɲ iː
líčený	l iː t͡ʃ ɛ n iː
líčidlo	l iː t͡ʃ ɪ d l o
líčila	l iː t͡ʃ ɪ l a
líčit	l iː t͡ʃ ɪ t
líčiti	l iː t͡ʃ ɪ c ɪ
líšeň	l iː ʃ ɛ ɲ
líška	l iː ʃ k a
líšťan	l iː ʃ c a n
líšťany	l iː ʃ c a n ɪ
lógr	l oː ɡ r
lóže	l oː ʒ ɛ
lýko	l iː k o
lýkovcový	l iː k o f t͡s o v iː
lýkový	l iː k o v iː
lýkožravý	l iː k o ʒ r a v iː
lýtko	l iː t k o
lýtkový	l iː t k o v iː
lýčený	l iː t͡ʃ ɛ n iː
lýčí	l iː t͡ʃ iː
lůj	l uː j
lůno	l uː n o
lůse	l uː s ɛ
lůza	l uː z a
lůže	l uː ʒ ɛ
lůžko	l uː ʃ k o
lůžkový	l uː ʃ k o v iː
lže	l ʒ ɛ
lžemi	l ʒ ɛ m ɪ
lži	l ʒ ɪ
lžidoktor	l ʒ ɪ d o k t o r
lžička	l ʒ ɪ t͡ʃ k a
lžou	l ɦ ou̯
lžu	l ʒ u
lžíce	l ʒ iː t͡s ɛ
maastricht	m aː s t r ɪ x t
maastrichtský	m aː s t r ɪ x t s k iː
macajský	m a k a j s k iː
macao	m a k a o
macecha	m a t͡s ɛ x a
macelokš	m a t͡s ɛ l o k ʃ
macerovat	m a t͡s ɛ r o v a t
maces	m a t͡s ɛ s
macesový	m a t͡s ɛ s o v iː
maceška	m a t͡s ɛ ʃ k a
maceškový	m a t͡s ɛ ʃ k o v iː
mach	m a x
machen	m a x ɛ n
machiavelismus	m a k ɪ j a v ɛ l ɪ z m u s
machiavelizmus	m a k ɪ j a v ɛ l ɪ z m u s
machiavellismus	m a k ɪ j a v ɛ l ɪ z m u s
machinacích	m a x ɪ n a t͡s iː x
machna	m a x n a
machometánka	m a x o m ɛ t aː n k a
machorka	m a x o r k a
machov	m a x o f
machr	m a x r
machrovat	m a x r o v a t
macht	m a x t
macháček	m a x aː t͡ʃ ɛ k
macháčkovi	m a x aː t͡ʃ k o v ɪ
macinský	m a t͡s ɪ n s k iː
macková	m a t͡s k o v aː
madagaskar	m a d a ɡ a s k a r
madagaskarský	m a d a ɡ a s k a r s k iː
madam	m a d a m
madame	m a d a m ɛ
madla	m a d l a
madlo	m a d l o
madona	m a d o n a
madonský	m a d o n s k iː
madrid	m a d r ɪ t
madridské	m a d r ɪ t͡s k ɛː
madridský	m a d r ɪ t͡s k iː
madrigalový	m a d r ɪ ɡ a l o v iː
madriďanka	n ɛ p aː l k a
madráský	m a d r aː s k iː
maděra	m a ɟ ɛ r a
maděránek	m a ɟ ɛ r aː n ɛ k
maffie	m a f ɪ j ɛ
mafie	m a f ɪ j ɛ
mafián	m a f ɪ aː n
magazín	m a ɡ a z iː n
magda	m a ɡ d a
magdaléna	m a ɡ d a l ɛː n a
magdeburský	m a ɡ d ɛ b u r s k iː
magdička	m a ɡ ɟ ɪ t ʃ k a
magenta	m a d͡ʒ ɛ n t a
magický	m a ɡ ɪ t͡s k iː
magie	m a ɡ ɪ j ɛ
magister	m a ɡ ɪ s t ɛ r
magistr	m a ɡ ɪ s t r
magistra	m a ɡ ɪ s t r a
magistro	m a ɡ ɪ s t r o
magistru	m a ɡ ɪ s t r u
magistry	m a ɡ ɪ s t r ɪ
magistrály	m a ɡ ɪ s t r aː l ɪ
magistrátem	m a ɡ ɪ s t r aː t ɛ m
magistrátní	m a ɡ ɪ s t r aː t ɲ iː
magistrátních	m a ɡ ɪ s t r aː t ɲ iː x
magistrátu	m a ɡ ɪ s t r aː t u
magistře	m a ɡ ɪ s t r̝ ɛ
maglajz	m a ɡ l a j s
magma	m a ɡ m a
magnet	m a ɡ n ɛ t
magnetek	m a ɡ n ɛ t ɛ k
magnetický	m a ɡ n ɛ t ɪ t͡s k iː
magnetit	m a ɡ n ɛ t ɪ t
magnetka	m a ɡ n ɛ t k a
magnetofon	m a ɡ n ɛ t o f o n
magnetofonoví	m a ɡ n ɛ t o f o n o v iː
magnetofonový	m a ɡ n ɛ t o f o n o v iː
magnetosféra	m a ɡ n ɛ t o s f ɛː r a
magnetoskop	m a ɡ n ɛ t o s k o p
magnetovec	m a ɡ n ɛ t o v ɛ t͡s
magnitudo	m a ɡ n ɪ t uː d oː
magnátův	m a ɡ n aː t uː f
magor	m a ɡ o r
mahagonový	m a ɦ a ɡ o n o v iː
mahalebka	m a ɦ a l ɛ p k a
mahler	m aː l ɛ r
mahonií	m a ɦ o n ɪ j iː
mail	m ɛ j l
maine	m ɛ j n
mainstreamový	m ɛ j n s t r iː m o v iː
maje	m a j ɛ
majerková	m a j ɛ r k o v aː
majetek	m a j ɛ t ɛ k
majetkový	m a j ɛ t k o v iː
majetku	m a j ɛ t k u
majetný	m a j ɛ t n iː
majitel	m a j ɪ t ɛ l
majitelce	m a j ɪ t ɛ l t͡s ɛ
majitelek	m a j ɪ t ɛ l ɛ k
majitelem	m a j ɪ t ɛ l ɛ m
majitelka	m a j ɪ t ɛ l k a
majitelkami	m a j ɪ t ɛ l k a m ɪ
majitelko	m a j ɪ t ɛ l k o
majitelkou	m a j ɪ t ɛ l k ou̯
majitelku	m a j ɪ t ɛ l k u
majitelky	m a j ɪ t ɛ l k ɪ
majitelkách	m a j ɪ t ɛ l k aː x
majitelkám	m a j ɪ t ɛ l k aː m
majitelé	m a j ɪ t ɛ l ɛː
majitelů	m a j ɪ t ɛ l uː
majitelův	m a j ɪ t ɛ l uː f
majlant	m a j l a n t
majnek	m a j n ɛ k
majolikový	m a j o l ɪ k o v iː
majonéza	m a j o n ɛː z a
majonézový	m a j o n ɛː z o v iː
major	m a j o r
majora	m a j o r a
majordomus	m a j o r d oː m u s
majore	m a j o r ɛ
majorem	m a j o r ɛ m
majoritním	m a j o r ɪ t ɲ iː m
majoránka	m a j o r aː n k a
majoránkový	m a j o r aː n k o v iː
majoránku	m a j o r aː n k u
majstrštyk	m a j s t r ʃ t ɪ k
majuskule	m a j u s k u l ɛ
majzlík	m a j z l iː k
maják	m a j aː k
majákový	m a j aː k o v iː
mají	m a j iː
majíc	m a j iː t͡s
majíce	m a j iː t͡s ɛ
mající	m a j iː t͡s iː
majír	m a j iː r
makabejský	m a k a b ɛ j s k iː
makabiáda	m a k a b ɪ j aː d a
makabrózní	m a k a b r oː z ɲ iː
makadam	m a k a d a m
makadamový	m a k a d a m o v iː
makak	m a k a k
makaron	m a k a r o n
makarony	m a k a r o n ɪ
makat	m a k a t
makačce	m a k a t͡ʃ t͡s ɛ
makačkami	m a k a t͡ʃ k a m ɪ
makačku	m a k a t͡ʃ k u
makchie	m a k x ɪ j ɛ
makedonie	m a k ɛ d o n ɪ j ɛ
makedonka	m a k ɛ d o n k a
makedonsky	m a k ɛ d o n s k ɪ
makedonský	m a k ɛ d o n s k iː
makedonština	m a k ɛ d o n ʃ c ɪ n a
makej	m a k ɛ j
makléř	m a k l ɛː r̝
makléřův	m a k l ɛː r̝ uː f
makovice	m a k o v ɪ t͡s ɛ
makovicový	m a k o v ɪ t͡s o v iː
makovička	m a k o v ɪ t͡ʃ k a
makový	m a k o v iː
makrel	m a k r ɛ l
makrela	m a k r ɛ l a
makrelami	m a k r ɛ l a m ɪ
makrele	m a k r ɛ l ɛ
makrelo	m a k r ɛ l o
makrelou	m a k r ɛ l ou̯
makrelu	m a k r ɛ l u
makrely	m a k r ɛ l ɪ
makrelách	m a k r ɛ l aː x
makrelám	m a k r ɛ l aː m
makrofág	m a k r o f aː k
makromolekulární	m a k r o m o l ɛ k u l aː r ɲ iː
makronodulární	m a k r o n o d u l aː r ɲ iː
makulatura	m a k u l a t u r a
makulátní	m a k u l aː t ɲ iː
makulář	m a k u l aː r̝
makáč	m a k aː t͡ʃ
malachaj	m a l a x a j
malaga	m a l a ɡ a
malajka	m a l a j k a
malajsie	m a l a j z ɪ j ɛ
malajsijského	m a l a j z ɪ j s k ɛ ɦ oː
malajsijský	m a l a j z ɪ j s k iː
malajsko	m a l a j s k o
malajsky	m a l a j s k ɪ
malajský	m a l a j s k iː
malajština	m a l a j ʃ c ɪ n a
malakologie	m a l a k o l o ɡ ɪ j ɛ
malawi	m a l a v ɪ
malcánek	m a l t͡s aː n ɛ k
male	m a l ɛ
malebný	m a l ɛ b n iː
maledivský	m a l ɛ d ɪ f s k iː
maledivy	m a l ɛ d ɪ v ɪ
malej	m a l ɛ j
malečov	m a l ɛ t͡ʃ o f
malečovský	m a l ɛ t͡ʃ o f s k iː
malgaština	m a l ɡ a ʃ c ɪ n a
mali	m a l ɪ
malicherný	m a l ɪ x ɛ r n iː
malignita	m a l ɪ ɡ n ɪ t a
malignom	m a l ɪ ɡ n o m
maligní	m a l ɪ ɡ ɲ iː
malijec	m a l ɪ j ɛ t͡s
malijka	m a l ɪ j k a
malin	m a l ɪ n
malina	m a l ɪ n a
malinovice	m a l ɪ n o v ɪ t͡s ɛ
malinovka	m a l ɪ n o f k a
malinový	m a l ɪ n o v iː
malivánek	m a l ɪ v aː n ɛ k
maličko	m a l ɪ t͡ʃ k o
mallorca	m a l o r k a m a l j o r k a
malokvětý	m a l o k v j ɛ t iː
malometrážní	m a l o m ɛ t r aː ʒ ɲ iː
malomocenství	m a l o m o t͡s ɛ n s t v iː
maloobchodní	m a l o o p x o d ɲ iː
maloobsahový	m a l o ʔ o p s a ɦ o v iː
