на	n a
фабрикою	f a b r i k ɔ j u
ханом	x a n ɔ m
ходімо	x ɔ d i m ɔ
хонда	x ɔ n d a
цель	t͡sʰ ɛ l ɪ
ядром	j a d r ɔ m
ar	ɑː ɾ
legal	l ɛ ɡ ɑː l
sans	s ɑ n s
аре	a rʲ ɛ
бате	b a tʲ ɛ
бор	b ɔ r
бортом	b ɔ r t ɔ m
гнила	ɡ n i l a
годинником	ɡ ɔ d i n n i k ɔ m
гризе	ɡ r i z ɛ
дада	d a d a
дебет	d ɛ b ɛ t
джакузі	d͡ʒ a k u z i
дивана	d i v a n a
додана	d ɔ d a n a
дістану	d i s t a n u
загадково	z a ɣ a t k ɔ v ɔ
задарма	z a d a r m a
задаю	z a d a j u
затор	z a tʰ ɔ r
зонами	z ɔ n a m i
киевская	k i j ɛ v s k a j a
кривонос	k r i v ɔ n o s
крот	k r ɔ t
куна	k u n a
мамці	m a m t͡sʰ
марками	m a r k a m i
махати	m a x a tʲ i
міняв	m i n j a v
нарадах	n a r a d a x
однини	ɔ d n i n i
паперова	p a pʲ ɛ r ɔ v a
папі	p a pʲ
паром	p a r ɔ m
поезд	p ɔ j ɛ z d
попасть	p ɔ p a s tʲ
пособие	p ɔ s ɔ b i j ɛ
принижують	p r i n i ʒ u j u tʲ
продажних	p r ɔ d a ʒ n i x
промислів	p r ɔ m i s l i v
пропуски	p r ɔ p u s k i
стер	s tʲ ɛ r
страха	s t r a x a
травами	t r a v a m i
транзитних	t r a n z i t n i x
хану	x a n u
харизматичний	x a r i z m a tʰ i t͡ɕʰ n iː
хун	x ʊ n
яскраву	j a s k r a v u
based	b ɑː s ɛ d
berlin	b ɛ ɾ l ɪ n
cent	d͡ʒ ɛ n t
gate	ɡ ɑː t ɛ
hands	h ɑ n d s
ibf	ɪ b f
legends	l ɛ ɡ ɛ n d s
vista	v ɪ s t ɑː
атм	a tʰ m
бад	b a d
бевз	b ɛ v z
бед	b ɛ d
боксом	b ɔ k s ɔ m
гарри	ɡ a r r i
гнома	ɡ n ɔ m a
гноми	ɡ n ɔ m i
гопота	ɡ ɔ p ɔ t a
готовить	ɡ ɔ t ɔ v i tʲ
дарт	d a r t
драбини	d r a b i n i
експортом	j ɛ k s p ɔ r t ɔ m
жести	ʒ ɛ s t i
журавля	ʒ ʊ r a v ɮʲ a
знаках	z n a k a x
козаччини	k ɔ z a t͡ɕ t͡ɕʰ i n i
копали	k ɔ p a l i
котрою	k ɔ t r ɔ j u
краба	k r a b a
криз	k r i z
кшиштоф	k ɕ i ɕ t ɔ f
майю	m ɛː j u
молились	m ɔ l i l i s ɪ
мэр	m e r
наркозом	n a r k ɔ z ɔ m
нру	n r ʊ
пит	p i t
плакать	p ɮ a k a tʲ
покривали	p ɔ k r i v a l i
порохом	p ɔ r ɔ x ɔ m
продажа	p r ɔ d a ʒ a
підніми	p i d n i m i
пірат	p i r a t
ракетка	r a kʲ ɛ t k a
трик	t r i k
яном	j a n ɔ m
false	f ɑ l s ɛ
feb	f ɛ b
fit	f ɪ t
hawk	h ɑː w k
sugar	s ʊ ɡ ɑː ɾ
аарона	aː r ɔ n a
агроном	a ɡ r ɔ n ɔ m
алмазів	a ɮ m a z i v
безболісно	b ɛ z b ɔ l i s n o
ближе	b l i ʒ ɛ
британську	b r i t a n s ɪ k u
гана	ɡ a n a
гантер	ɡ a n tʲ ɛ r
гонорари	ɡ ɔ n ɔ r a r i
горизонтом	ɡ ɔ r i z ɔ n t ɔ m
дек	d ɛ k
драка	d r a k a
дым	d i m
жопі	ʒ ɔ p i
забрано	z a b r a n o
запалом	z a p a ɮ ɔ m
запхати	z a p x a tʲ i
ирина	i r i n a
командна	k ɔ m a n d n a
края	k r a j a
мінні	m i n n i
набираю	n a b i r a j u
нано	n a n o
наносили	n a n ɔ s i l i
нападами	n a p a d a m i
нацистською	n a t͡sʰ i s t sʲ k ɔ j u
ног	n ɔ ɡ
палм	p a ɮ m
парни	p a r n i
паровоза	p a r ɔ v ɔ z a
подадуть	p ɔ d a d u tʲ
поиск	p ɔ j i s k
посадами	p ɔ s a d a m i
початковою	p ɔ t͡ɕ a t k ɔ v ɔ j u
підставу	p i d s t a v u
русизм	r ʊ s i z m
собори	s ɔ b ɔ r i
соколів	s ɔ k ɔ l i v
спаму	s p a m u
хорват	x ɔ r v a t
хробака	x r ɔ b a k a
цeй	t͡sʰ ɛ i
частим	t͡ɕ a s tʲ i m
щасті	ɕ a s tʲ
armed	ɑː ɾ m ɛ d
paypal	p ɑ j p ɑː l
plane	p l ɑː n ɛ
plaza	p l ɑː z ɑː
rest	r ɛ s t
айрес	ɛː rʲ ɛ s
білборди	b i ɮ b ɔ r d i
джой	d͡ʒ ɔ j
жереб	ʒ ɛ r ɛ b
забий	z a b iː
запрошу	z a p r ɔ ɕ u
засинай	z a s i n ɛː
зниклим	z n i k l i m
зіркових	z i r k ɔ v i x
какую	k a k u j u
каску	k a s k u
козацьку	k ɔ z a t͡sʲ k u
комарова	k ɔ m a r ɔ v a
конрада	k ɔ n r a d a
корт	k ɔ r t
кохай	k ɔ x ɛː
кросворд	k r ɔ s v ɔ r d
лапах	ɮ a p a x
лиц	l i t͡sʰ
мев	m ɛ v
морзі	m ɔ r z i
морской	m ɔ r s k ɔ j
муру	m ʊ r ʊ
надрах	n a d r a x
народам	n a r ɔ d a m
ноль	n ɔ lʲ
оззі	ɔ z z i
панцир	p a n t͡sʰ i r
парт	p a r t
пасху	p a s x u
пиздили	p i z d i l i
попытка	p ɔ p i t k a
похожа	p ɔ x ɔ ʑ a
пошаною	p ɔ ɕ a n ɔ j u
приготовить	p r i ɡ ɔ t ɔ v i tʲ
припадало	p r i p a d a l o
работ	r a b ɔ t
риф	r i f
сашу	s a ɕ u
соні	s ɔ n i
страт	s t r a t
схуд	s x ʊ d
такер	t a kʲ ɛ r
фанні	f a n n i
фас	f a s
фотографи	f ɔ t ɔ ɡ r a f i
фінальних	f i n a lʲ n i x
хуг	x ʊ ɡ
anyone	ɑ n j oː n ɛ
award	ɑː w ɑː ɾ d
base	b ɑː s ɛ
fed	f ɛ d
fell	f ɛ l
glass	ɡ l ɑ s
kombat	k o m b ɑ t
listen	l ɪ s t ɛ n
wake	w ɑː k ɛ
абрикоси	a b r i k ɔ s i
балух	b a ɮ ʊ x
бахмутському	b a x m ʊ t sʲ k ɔ m ʊ
бейбі	b ɛ j b i
блиском	b l i s k ɔ m
бору	b ɔ r u
гамбурзі	ɡ a m b ʊ r z i
гот	ɡ ɔ t
гун	ɡ ʊ n
дихають	d i x a j u tʲ
дод	d ɔ d
долиною	d ɔ l i n ɔ j u
донором	d ɔ n ɔ r ɔ m
дурь	d ʊ rʲ
еббі	j ɛ b b i
елтон	j ɛ l t ɔ n
занят	z a nʲ a t
зносини	z n ɔ s i n i
зіграно	z i ɡ r a n o
казкова	k a z k ɔ v a
каркасу	k a r k a s u
кашку	k a ɕ k u
книжково	k n i ʒ k ɔ v ɔ
книш	k n i ɕ
конні	k ɔ n n i
копать	k ɔ p a tʲ
коханок	k ɔ x a n ɔ k
краб	k r a b
мамой	m a m ɔ j
мешок	m ɛ ɕ ɔ k
модним	m ɔ d n i m
мудрих	m ʊ d r i x
міцністю	m i t͡sʰ n i s tʲ u
наб	n a b
наздогнали	n a z d ɔ ɡ n a l i
натяку	n a tʲ a k u
остров	ɔ s t r ɔ v
панова	p a n ɔ v a
паперову	p a pʲ ɛ r ɔ v u
паранойя	p a r a n ɔ j a
побито	p ɔ b i t ɔ
помстою	p ɔ m s t ɔ j u
пришили	p r i ɕ i l i
просит	p r ɔ s i t
проснись	p r ɔ s n i s ɪ
прост	p r ɔ s t
рашкою	r a ɕ k ɔ j u
сиська	s i s ɪ k ɑ
скину	s k i n u
скрипалів	s k r i p a l i v
скромну	s k r ɔ m n ʊ
смотрит	s m ɔ t r i t
собакам	s ɔ b a k a m
соснових	s ɔ s n ɔ v i x
стаса	s t a s a
хант	x a n t
хибних	x i b n i x
ходим	x ɔ d i m
цифровим	t͡sʰ i f r ɔ v i m
чаду	t͡ɕ a d u
шут	ʃ ʊ t
afp	ɑ f p
investment	ɪ n v ɛ s t m ɛ n t
vegas	v ɛ ɡ ɑː s
альто	a ɮʲ tʰ ɔ
арбітром	a r b i t r ɔ m
аха	a x a
бiса	b i s a
бандитом	b a n d i t ɔ m
бобом	b ɔ b ɔ m
гарантіями	ɡ a r a n tʰ i j a m i
дa	d ɑː
джорджо	d͡ʒ ɔ r d͡ʒ ɔ
диском	d i s k ɔ m
донор	d ɔ n ɔ r
жорсткою	ʒ ɔ r s t k ɔ j u
закрой	z a k r ɔ j
запам	z a p a m
заток	z a tʰ ɔ k
збиті	z b i tʲ i
звонит	z ʋ ɔ n i t
знало	z n a l o
зік	z i k
каїда	k a j d a
командах	k ɔ m a n d a x
командирам	k ɔ m a n d i r a m
коридорами	k ɔ r i d ɔ r a m i
крам	k r a m
красивою	k r a s i v ɔ j u
марними	m a r n i m i
марцін	m a r t͡sʰ i n
напарником	n a p a r n i k ɔ m
охота	ɔ x ɔ t a
памяті	p a mʲ a tʲ i
парашу	p a r a ɕ u
подавання	p ɔ d a v a n nʲ a
порадить	p ɔ r a d i tʲ
поставимо	p ɔ s t a vʲ i m ɔ
похож	p ɔ x ɔ ʒ
притоку	p r i t ɔ k u
прищів	p r i ɕ t͡ɕ i v
пробила	p r ɔ b i l a
провалом	p r ɔ v a l ɔ m
пікс	p i k s
раймонд	r ɛː m ɔ n d
раїси	r a j s i
розправою	r ɔ z p r a v ɔ j u
самi	s a m i
совет	s ɔ ʋ ɛ t
стаціонарний	s t a t͡sʰ j ɔ n a r n iː
стов	s t ɔ v
тойво	t ɔ j v ɔ
томоса	t ɔ m ɔ s a
трах	t r a x
цінною	t͡sʰ i n n ɔ j u
чадним	t͡ɕ a d n i m
часовому	t͡ɕ a s ɔ v ɔ m u
ші	ʃ i
dot	d o t
mistake	m ɪ s t ɑː k ɛ
азотом	a z ɔ t ɔ m
ака	a k a
арго	a r ɡ ɔ
безстроково	b ɛ z s t r ɔ k ɔ ʋ ɔ
берн	b ɛ r n
бокових	b ɔ k ɔ v i x
гамбург	ɡ a m b ʊ r k
готовою	ɡ ɔ t ɔ v ɔ j u
дебілізм	d ɛ b i l i z m
дем	d ɛ m
знаходимося	z n a x ɔ d i m ɔ s j a
какое	k a k ɔ j ɛ
киримли	k i r i m l i
кормит	k ɔ r m i t
корою	k ɔ r ɔ j u
краш	k r a ɕ
кримську	k r i m s ɪ k u
кропиви	k r ɔ p i v i
лазар	ɮ a z a r
левел	l ɛ v ɛ l
мария	m a r i j a
мина	m i n a
набрид	n a b r i d
нелох	n ɛ l ɔ x
нес	n ɛ s
ниже	n i ʒ ɛ
никакой	n i k a k ɔ j
оі	ɔ j
пад	p a d
папером	p a pʲ ɛ r ɔ m
пасаж	p a s a ʒ
пах	p a x
пос	p ɔ s
посижу	p ɔ s i ʒ u
поскольку	p ɔ s k ɔ lʲ k u
примат	p r i m a t
проданих	p r ɔ d a n i x
прощати	p r ɔ ɕ t͡ɕ a tʲ i
підбірку	p i d b i r k u
піддають	p i d d a j u tʲ
разных	r a z n i x
рибні	r i b n i
сиро	s i r oː
скидали	s k i d a l i
скликали	s k l i k a l i
сніжок	s n i ʒ ɔ k
соди	s ɔ d i
станами	s t a n a m i
фаху	f a x u
хорових	x ɔ r ɔ v i x
часов	t͡ɕ a s ɔ v
эфир	e f i r
hbo	h b oː
mad	m ɑː d
moi	m o i
share	ʃ ɑː ɾ ɛ
агс	a ɡ s
базовому	b a z ɔ v ɔ m u
беконом	b ɛ k ɔ n ɔ m
газону	ɡ a z ɔ n u
гер	ɡ ɛ r
готову	ɡ ɔ t ɔ v u
додж	d ɔ d͡ʒ
дозор	d ɔ z ɔ r
задано	z a d a n o
змінам	z m i n a m
зрад	z r a d
канави	k a n a vʲ i
канат	k a n a t
марину	m a r i n u
медуз	m ɛ d u z
мокру	m ɔ k r u
містку	m i s t k u
насипали	n a s i p a l i
нту	n t u
обамою	ɔ b a m ɔ j u
обирала	ɔ b i r a l a
опоздать	ɔ p ɔ z d a tʲ
ордою	ɔ r d ɔ j u
папка	p a p k a
пика	p i k a
поглинають	p ɔ ɡ l i n a j u tʲ
попадали	p ɔ p a d a l i
порядних	p ɔ rʲ a d n i x
пристань	p r i s t a nʲ
пропан	p r ɔ p a n
прописана	p r ɔ p i s a n a
раптове	r a p t ɔ vʲ ɛ
рая	r a j a
робітником	r ɔ b i t n i k ɔ m
ронін	r ɔ n i n
ротора	r ɔ t ɔ r a
сидор	s i d ɔ r
сосиски	s ɔ s i s k i
страницы	s t r a n i t͡sʰ i
стрижку	s t r i ʒ k u
танцем	t a n t͡sʰ ɛ m
хатою	x a tʰ ɔ j u
хорошая	x ɔ r ɔ ɕ a j a
христе	x r i s tʲ ɛ
щогли	ɕ ɔ ɡ l i
vol	v o l
аграрно	a ɡ r a r n o
азотних	a z ɔ t n i x
болів	b ɔ l i v
босфор	b ɔ s f ɔ r
брили	b r i l i
джоді	d͡ʒ ɔ d i
додона	d ɔ d ɔ n a
драбина	d r a b i n a
дірк	d i r k
загал	z a ɣ a ɮ
задишка	z a d i ɕ k a
законними	z a k ɔ n n i m i
закриваю	z a k r i v a j u
киянина	k i j a n i n a
кримсько	k r i m s ɪ k ɔ
крохмалю	k r ɔ x m a lʲ u
лоза	l ɔ z a
лозова	l ɔ z ɔ v a
мандати	m a n d a tʲ i
мирною	m i r n ɔ j u
морс	m ɔ r s
москалю	m ɔ s k a lʲ u
наркозу	n a r k ɔ z u
натягу	n a tʲ a ɣ u
натяком	n a tʲ a k ɔ m
нечесно	n ɛ t͡ɕ ɛ s n o
паличками	p a ɮ i t͡ɕʰ k a m i
питомо	p i t ɔ m ɔ
правок	p r a v ɔ k
пішоходи	p i ʃ ɔ x ɔ d i
рибака	r i b a k a
русское	r ʊ s s k ɔ j ɛ
сакала	s a k a ɮ a
таж	t a ʒ
таза	t a z a
шень	ɕ ɛ n ɪ
mane	m ɑː n ɛ
nam	n ɑː m
sale	s ɑː l ɛ
swiss	s w ɪ s
takes	t ɑː k ɛ s
ui	u i
universal	ʊ n ɪ v ɛ ɾ s ɑː l
апатія	a p a tʲ i j a
багдада	b a ɡ d a d a
балади	b a ɮ a d i
берліну	b ɛ r l i n u
ганною	ɡ a n n ɔ j u
ганяють	ɡ a nʲ a j u tʲ
дамаску	d a m a s k u
джордана	d͡ʒ ɔ r d a n a
домоглися	d ɔ m ɔ ɡ l i s j a
завершить	z a vʲ ɛ r ɕ i tʲ
завозять	z a v ɔ z j a tʲ
запальний	z a p a ɮʲ n iː
змивати	z m i v a tʲ i
зонда	z ɔ n d a
зірвано	z i r v a n o
кати	k a tʲ i
кожнім	k ɔ ʑ n i m
кок	k ɔ k
кригою	k r i ɡ ɔ j u
лисиць	l i s i t͡sʲ
лишаю	l i ɕ a j u
магда	m a ɡ d a
мариною	m a r i n ɔ j u
мох	m ɔ x
мінському	m i n s ɪ k ɔ m u
номінальною	n ɔ m i n a lʲ n ɔ j u
покров	p ɔ k r ɔ v
признать	p r i z n a tʲ
прикрасами	p r i k r a s a m i
продавать	p r ɔ d a v a tʲ
рам	r a m
розходимося	r ɔ z x ɔ d i m ɔ s j a
симптомом	s i m p t ɔ m ɔ m
скрипку	s k r i p k u
сона	s ɔ n a
тадж	t a d͡ʒ
тамада	t a m a d a
тарасова	t a r a s ɔ v a
тарзан	t a r z a n
тарс	t a r s
фарма	f a r m a
часах	t͡ɕ a s a x
dog	d oː ɡ
lion	l i oː n
load	l o ɑː d
ost	o s t
staff	s t ɑ f
wanted	w ɑ n t ɛ d
women	w oː m ɛ n
абс	a b s
айс	a i s
алма	a ɮ m a
алмати	a ɮ m a tʲ i
ая	a j a
базиліка	b a z i l i k a
балони	b a ɮ ɔ n i
баригам	b a r i ɣ a m
гаес	ɡ a j ɛ s
гном	ɡ n ɔ m
дог	d ɔ ɡ
жені	ʒ ɛ n i
жопи	ʒ ɔ p i
заза	z a z a
заявах	z a j a v a x
зед	z ɛ d
изд	i z d
касира	k a s i r a
кондор	k ɔ n d ɔ r
лапками	ɮ a p k a m i
макар	m a k a r
мирними	m i r n i m i
напрасно	n a p r a s n o
нила	n i l a
огризко	ɔ ɡ r i z k ɔ
оси	ɔ s i
пака	p a k a
панду	p a n d u
помірною	p ɔ m i r n ɔ j u
порта	p ɔ r t a
похмура	p ɔ x m ʊ r a
припаси	p r i p a s i
проезд	p r ɔ j ɛ z d
прорвали	p r ɔ r v a l i
підло	p i d l o
равенна	r a vʲ ɛ n n a
римом	r i m ɔ m
римському	r i m s ɪ k ɔ m u
рифи	r i f i
розривають	r ɔ z r i v a j u tʲ
рум	r ʊ m
руп	r ʊ p
сапер	s a pʲ ɛ r
сером	s ɛ r ɔ m
скраю	s k r a j u
скриню	s k r i n j u
спамом	s p a m ɔ m
тая	t a j a
фрост	f r ɔ s t
халати	x a ɮ a tʲ i
ходимо	x ɔ d i m ɔ
хромосоми	x r ɔ m ɔ s ɔ m i
цінну	t͡sʰ i n n u
чорноморську	t͡ɕ ɔ r n ɔ m ɔ r s ɪ k u
ялини	j a l i n i
apps	ɑ p s
plant	p l ɑ n t
yamaha	j ɑ m ɑː h ɑ
адм	a d m
андерса	a n dʲ ɛ r s a
артистом	a r tʰ i s t ɔ m
балада	b a ɮ a d a
барани	b a r a n i
бока	b ɔ k a
болісні	b ɔ l i s n i
денну	d ɛ n n ʊ
додання	d ɔ d a n nʲ a
запасним	z a p a s n i m
зривають	z r i v a j u tʲ
комод	k ɔ m ɔ d
комори	k ɔ m ɔ r i
літописи	l i t ɔ p i s i
мартою	m a r tʰ ɔ j u
масовому	m a s ɔ v ɔ m u
міцною	m i t͡sʰ n ɔ j u
наглядову	n a ɡ ɮʲ a d ɔ v u
наказують	n a k a z u j u tʲ
нахилом	n a x i ɮ ɔ m
образах	ɔ b r a z a x
окопів	ɔ k ɔ p i v
основана	ɔ s n ɔ v a n a
пальчиком	p a lʲ t͡ɕʰ i k ɔ m
парох	p a r ɔ x
пашу	p a ɕ u
письмом	p i s ɪ m ɔ m
погодними	p ɔ ɡ ɔ d n i m i
покривала	p ɔ k r i v a l a
привод	p r i v ɔ d
призом	p r i z ɔ m
піднятими	p i d nʲ a tʲ i m i
пізніших	p i z n i ɕ i x
радам	r a d a m
рими	r i m i
томасом	t ɔ m a s ɔ m
тото	t ɔ t ɔ
точною	t ɔ t͡ʃ n ɔ j u
трахати	t r a x a tʲ i
усiм	ʊ s ɪ m
фатіма	f a tʲ i m a
фешн	f ɛ ɕ n
формы	f ɔ r m i
фізособи	f i z ɔ s ɔ b i
хак	x a k
хассан	x a s s a n
храмове	x r a m ɔ vʲ ɛ
хромосом	x r ɔ m ɔ s ɔ m
цигарками	t͡sʰ i ɣ a r k a m i
цитатою	t͡sʰ i t a t ɔ j u
ягня	j a ɡ nʲ a
яником	j a n i k ɔ m
ясніше	j a s n i ɕ ɛ
coal	d͡ʒ o ɑː l
med	m ɛ d
pull	p ʊ l
softserve	s o f t s ɛ ɾ v ɛ
ахахаха	a x a x a x a
базис	b a z i s
бота	b ɔ t a
гармс	ɡ a r m s
гришина	ɡ r i ɕ i n a
доставить	d ɔ s t a vʲ i tʲ
ельза	j ɛ l ɪ z ɑ
жестом	ʒ ɛ s t ɔ m
жодними	ʒ ɔ d n i m i
забивали	z a b i v a l i
запор	z a p ɔ r
захисним	z a x i s n i m
козацько	k ɔ z a t͡sʲ k ɔ
лику	l i k u
мех	m ɛ x
моторс	m ɔ t ɔ r s
мразоту	m r a z ɔ t u
мікрофони	m i k r ɔ f ɔ n i
наробили	n a r ɔ b i l i
нациками	n a t͡sʰ i k a m i
номінально	n ɔ m i n a lʲ n o
попід	p ɔ p i d
призів	p r i z i v
ризі	r i z i
сабах	s a b a x
фондова	f ɔ n d ɔ v a
хамас	x a m a s
хатун	x a tʰ u n
хахахаха	x a x a x a x a
хон	x ɔ n
хори	x ɔ r i
цеж	t͡sʰ ɛ ʒ
чорнилом	t͡ɕ ɔ r n i l ɔ m
ban	b ɑ n
delta	d ɛ l t ɑː
faq	f ɑ q
jet	ʒ ɛ t
арс	a r s
арх	a r x
барбари	b a r b a r i
барни	b a r n i
баром	b a r ɔ m
бем	b ɛ m
бобер	b ɔ b ɛ r
бозі	b ɔ z i
борисом	b ɔ r i s ɔ m
горн	ɡ ɔ r n
договора	d ɔ ɡ ɔ v ɔ r a
ембер	j ɛ m b ɛ r
жанром	ʒ a n r ɔ m
законною	z a k ɔ n n ɔ j u
зама	z a m a
замочити	z a m ɔ t͡ɕʰ i tʲ i
замутити	z a m ʊ tʲ i tʲ i
засипають	z a s i p a j u tʲ
збараж	z b a r a ʒ
змити	z m i tʲ i
канто	k a n t ɔ
конан	k ɔ n a n
листоп	l i s t ɔ p
мавпу	m a w p u
макрона	m a k r ɔ n a
мафи	m a f i
многих	m n ɔ ɡ i x
мотори	m ɔ t ɔ r i
напрокат	n a p r ɔ k a t
нор	n ɔ r
нос	n ɔ s
окраса	ɔ k r a s a
парсонс	p a r s ɔ n s
паф	p a f
пограв	p ɔ ɡ r a v
подарована	p ɔ d a r ɔ v a n a
поширилися	p ɔ ɕ i r i l i s j a
прибрано	p r i b r a n o
природнім	p r i r ɔ d n i m
приток	p r i t ɔ k
приход	p r i x ɔ d
програмна	p r ɔ ɡ r a m n a
раяна	r a j a n a
розраховую	r ɔ z r a x ɔ v u j u
садить	s a d i tʲ
самая	s a m a j a
саня	s a nʲ a
снідом	s n i d ɔ m
странах	s t r a n a x
тарифна	t a r i f n a
ханс	x a n s
харбор	x a r b ɔ r
языком	j a z i k ɔ m
ялина	j a l i n a
bild	b ɪ l d
blind	b l ɪ n d
fa	f ɑː
gulf	ɡ ʊ l f
lift	l ɪ f t
trail	t ɾ ɑː i l
адаму	a d a m u
аст	a s t
бомжі	b ɔ m ʒ i
гарнюня	ɡ a r nʲ u nʲ a
гасить	ɡ a s i tʲ
гус	ɡ ʊ s
джен	d͡ʒ ɛ n
димом	d i m ɔ m
дорожнім	d ɔ r ɔ ʑ n i m
заграти	z a ɡ r a tʲ i
зиску	z i s k u
змінним	z m i n n i m
змістити	z m i s tʲ i tʲ i
ист	i s t
канати	k a n a tʲ i
клопіт	k l ɔ p i t
кнопок	k n ɔ p ɔ k
краплю	k r a p ɮʲ u
лапках	ɮ a p k a x
лига	l i ɡ a
маз	m a z
мейн	m ɛ j n
морозів	m ɔ r ɔ z i v
мохом	m ɔ x ɔ m
наполяганням	n a p ɔ ɮʲ a ɣ a n nʲ a m
неаполь	n ɛ a p ɔ lʲ
неллі	n ɛ l l i
няню	nʲ a nʲ u
писало	p i s a l o
погоню	p ɔ ɡ ɔ n j u
помадою	p ɔ m a d ɔ j u
попросту	p ɔ p r ɔ s t u
правам	p r a v a m
пригадала	p r i ɣ a d a ɮ a
придатними	p r i d a t n i m i
приморському	p r i m ɔ r s ɪ k ɔ m u
притока	p r i t ɔ k a
прописали	p r ɔ p i s a l i
ридати	r i d a tʲ i
хаджі	x a d͡ʒ i
чада	t͡ɕ a d a
anal	ɑ n ɑː l
oracle	o ɾ ɑː d͡ʒ l ɛ
terms	t ɛ ɾ m s
ананас	a n a n a s
баранини	b a r a n i n i
баррозу	b a r r ɔ z u
баси	b a s i
безсмертних	b ɛ z s m ɛ r t n i x
богиню	b ɔ ɡ i n j u
бінокль	b i n ɔ k lʲ
гади	ɡ a d i
гасне	ɡ a s nʲ ɛ
городах	ɡ ɔ r ɔ d a x
даль	d a lʲ
деббі	d ɛ b b i
детские	d ɛ t s k i j ɛ
джитсу	d͡ʒ i t s u
джохара	d͡ʒ ɔ x a r a
добриво	d ɔ b r i v ɔ
доном	d ɔ n ɔ m
дор	d ɔ r
дослідним	d ɔ s l i d n i m
дыры	d i r i
европы	j ɛ v r ɔ p i
засинаю	z a s i n a j u
зейн	z ɛ j n
змов	z m ɔ v
каналам	k a n a ɮ a m
каркаса	k a r k a s a
корж	k ɔ r ʒ
кормова	k ɔ r m ɔ v a
коробочка	k ɔ r ɔ b ɔ t͡ʃ k a
місцина	m i s t͡sʰ i n a
міфом	m i f ɔ m
налякана	n a ɮʲ a k a n a
народной	n a r ɔ d n ɔ j
натякають	n a tʲ a k a j u tʲ
орбіт	ɔ r b i t
осіли	ɔ s i l i
партизанами	p a r tʰ i z a n a m i
подбали	p ɔ d b a l i
похвала	p ɔ x v a l a
пригощали	p r i ɡ ɔ ɕ t͡ɕ a l i
прозорими	p r ɔ z ɔ r i m i
піддана	p i d d a n a
підіть	p i d i tʲ
рибних	r i b n i x
розбито	r ɔ z b i t ɔ
розказую	r ɔ z k a z u j u
розрізу	r ɔ z r i z u
ройс	r ɔ j s
скот	s k ɔ t
создания	s ɔ z d a n i j a
стопа	s t ɔ p a
страхову	s t r a x ɔ v u
тазу	t a z u
трахать	t r a x a tʲ
фінському	f i n s ɪ k ɔ m u
cost	d͡ʒ o s t
iaaf	i ɑː f
virgin	v ɪ ɾ ɡ ɪ n
акорди	a k ɔ r d i
амер	a mʲ ɛ r
бам	b a m
бідною	b i d n ɔ j u
горохом	ɡ ɔ r ɔ x ɔ m
грозу	ɡ r ɔ z u
доб	d ɔ b
добавить	d ɔ b a v i tʲ
договорах	d ɔ ɡ ɔ v ɔ r a x
експортних	j ɛ k s p ɔ r t n i x
загадкове	z a ɣ a t k ɔ vʲ ɛ
заробить	z a r ɔ b i tʲ
змінною	z m i n n ɔ j u
казанова	k a z a n ɔ v a
казкою	k a z k ɔ j u
копання	k ɔ p a n nʲ a
кормом	k ɔ r m ɔ m
майну	m ɛː n ʊ
макара	m a k a r a
мест	m ɛ s t
модрини	m ɔ d r i n i
мозкових	m ɔ z k ɔ v i x
моральним	m ɔ r a lʲ n i m
моран	m ɔ r a n
надсилають	n a d s i ɮ a j u tʲ
нафтова	n a f t ɔ v a
номіналів	n ɔ m i n a l i v
папуг	p a p u ɡ
породами	p ɔ r ɔ d a m i
порожнин	p ɔ r ɔ ʑ n i n
порожньою	p ɔ r ɔ ʑ nʲ ɔ j u
порізів	p ɔ r i z i v
початково	p ɔ t͡ɕ a t k ɔ v ɔ
приправа	p r i p r a v a
прозорою	p r ɔ z ɔ r ɔ j u
проси	p r ɔ s i
піхву	p i x v u
рог	r ɔ ɡ
рокко	r ɔ k k ɔ
русе	r ʊ s ɛ
сада	s a d a
самбора	s a m b ɔ r a
сирок	s i r ɔ k
старых	s t a r i x
тарасов	t a r a s ɔ v
тарасом	t a r a s ɔ m
фара	f a r a
фонтаном	f ɔ n t a n ɔ m
форту	f ɔ r t u
хакера	x a kʲ ɛ r a
цноту	t͡sʰ n ɔ t u
язиками	j a z i k a m i
японському	j a p ɔ n s ɪ k ɔ m u
duck	d ʊ k
gal	ɡ ɑ l
near	n ɛ ɑː ɾ
акі	a kʲ
бароном	b a r ɔ n ɔ m
бони	b ɔ n i
главами	ɡ ɫ a v a m i
дез	d ɛ z
завершать	z a vʲ ɛ r ɕ a tʲ
заграв	z a ɡ r a v
заможним	z a m ɔ ʑ n i m
запалу	z a p a ɮ u
зламаних	z ɮ a m a n i x
имею	i m ɛ j u
капут	k a p u t
кліки	k l i k i
коліном	k ɔ l i n ɔ m
командант	k ɔ m a n d a n t
косить	k ɔ s i tʲ
коханку	k ɔ x a ŋ k u
кро	k r ɔ
мапах	m a p a x
момот	m ɔ m ɔ t
набряку	n a b rʲ a k u
пагонах	p a ɣ ɔ n a x
пацанами	p a t͡sʰ a n a m i
перм	p ɛ r m
писок	p i s ɔ k
пишні	p i ɕ n i
поділі	p ɔ d i l i
примара	p r i m a r a
промовами	p r ɔ m ɔ v a m i
пропану	p r ɔ p a n u
проривом	p r ɔ r i v ɔ m
піс	p i s
