iš	i ʃ
trąšos	t r ɔ n ʃ o s
tvirtinimo	t v i r t i n i m o
užlipti	u ʒ l i p t i
šiltos	ʃ i l t o s
žalvario	ʒ a l v a r j o
adata	a d a t a
balanso	b a l a n s o
disciplina	d i ʃ ʃ i p l i n a
dom	d o m
ed	e d
garis	ɡ a r i s
giminę	ɡ i m i n ɛ
himno	h i m n o
išmintis	i ʃ m i n t i s
ketvirto	k e t v i r t o
klubams	k l u b a m s
konteksto	k o n t ɛ k s t o
kuru	k u r u
lito	l i t o
lošimo	l o ʃ i m o
minus	m i n u s
mokyt	m o k i t
neliktų	n e l i k t o
netaps	n e t a p s
nežinomi	n e ʒ i n o m i
nutiktų	n u t i k t o
olos	o l o s
omega	o m e ɡ a
pikto	p i k t o
pliki	p l i k i
prisistatyti	p r i z i s t a t i t i
rūšimis	r uː ʃ i m i s
susirinks	s u z i r i ŋ k s
sutikus	s u t i k u s
sutvirtinti	s u t v i r t i n t i
teritorinio	t e r i t o r i n j o
viens	v j ɛ̃ s
virusu	v i r u z u
šerifas	ʃ e r i f a s
žiburio	ʒ i b u r j o
židinį	ʒ i d i n i
žinom	ʒ i n o m
act	a k t
adrenalino	a d r e n a l i n o
amy	a m i
atspindys	a t s p i n d i s
boom	b oː m
bruklino	b r u k l i n o
daleles	d a l e l e s
galaxy	ɡ a l a k s i
galybę	ɡ a l i b ɛ
glūdi	ɡ l uː d i
igoris	i ɡ o r i s
institutų	i n s t i t u t o
italas	i t a l a s
išsyk	i ʃ s i k
kupiškis	k u p i ʃ k i s
left	l ɛ f t
likimu	l i k i m u
magnetinis	m a ɲ ɲ e t i n i s
mechaninis	m e ʃ a n i n i s
medinio	m e d i n j o
mylimo	m i l i m o
nerti	n e r t i
nevalgo	n e v a l ɡ o
obligacijos	o b l i ɡ a t͡ʃ i j o s
pagrindiniam	p a ɡ r i n d i n j a m
politechnikos	p o l i t e k n i k o s
pritarti	p r i t a r t i
profesionalo	p r o f e z j o n a l o
simno	s i m n o
sinagogos	s i n a ɡ o ɡ o s
skutimosi	s k u t i m o s i
spirito	s p i r i t o
stiklines	s t i k l i n e s
stumti	s t u m t i
terminu	t e r m i n u
ubuntu	u b u n t u
vargina	v a r d͡ʒ i n a
vidutinį	v i d u t i n i
visom	v i z o m
žuvimi	ʒ u v i m i
agresijos	a ɡ r e z i j o s
alenas	a l e n a s
atsarginis	a t͡s a r d͡ʒ i n i s
civiliai	t͡ʃ i v i l j a i
daniel	d a n j ɛ l
electric	e l ɛ k t r i k
festival	f e s t i v a l
genetikos	ɡ e n e t i k o s
gipso	ɡ i p s o
gyvūnijos	ɡ i v uː n i j o s
hill	h i l
ignalina	i ɲ ɲ a l i n a
išlindo	i ʃ l i n d o
kristinos	k r i s t i n o s
meditacijos	m e d i t a t͡ʃ i j o s
miltinio	m i l t i n j o
moteriški	m o t e r i ʃ k i
numirti	n u m i r t i
nusibodo	n u z i b o d o
prekinis	p r e k i n i s
ribota	r i b o t a
riboti	r i b o t i
sodus	s o d u s
spindi	s p i n d i
sukūrus	s u k uː r u s
sultimis	s u l t i m i s
tekstu	t ɛ k s t u
tony	t o n i
tumo	t u m o
tvirtinti	t v i r t i n t i
ve	v e
vežimo	v e ʒ i m o
vito	v i t o
vogti	v o k t i
čekį	t͡ʃ e k i
šoninis	ʃ o n i n i s
šūvių	ʃ uː v i o
budos	b u d o s
būstinę	b uː s t i n ɛ
cukrumi	k u k r u m i
dark	d a ʁ k
disertacijos	d i z e r t a t͡ʃ i j o s
dolerius	d o l e r i u s
duše	d u ʃ e
fe	f e
granitas	ɡ r a n i t a s
grifas	ɡ r i f a s
imk	i m k
instrumentu	i n s t r u m e n t u
kembridžo	k e m b r i d͡ʒ o
kibirkštis	k i b i r k ʃ t i s
kings	k i ŋ s
klesti	k l e s t i
kos	k o s
kūdikius	k uː d i k i u s
lagaminas	l a ɡ a m i n a s
lola	l o l a
medumi	m e d u m i
milo	m i l o
mokymu	m o k i m u
motinų	m o t i n o
negyvena	n e ɡ i v e n a
nestebina	n e s t e b i n a
peteris	p e t e r i s
piliečiu	p i l j e t͡ʃ i u
potvynio	p o t v i n j o
praradimo	p r a r a d i m o
privatiems	p r i v a t j ɛ m s
rungties	ʁ u ŋ t i s
rūpinsis	r uː p i n s i s
serijų	s e r i j o
simbolinę	s i m b o l i n ɛ
sis	s i s
stiprius	s t i p r i u s
terminus	t e r m i n u s
tobuli	t o b u l i
toni	t o n i
torino	t o r i n o
triukų	t r i u k o
trukti	t r u k t i
vincento	v i n t͡ʃ ɛ n t o
visiškos	v i z i ʃ k o s
ženevos	ʒ e n e v o s
žibintus	ʒ i b i n t u s
adrianas	a d r i a n a s
baronas	b a ʀ o n a s
circus	t͡ʃ i r k u s
dana	d a n a
davis	d a v i s
easy	iː z i
fono	f o n o
gaja	ɡ a j a
gimdyti	ɡ i m d i t i
instrukcijų	i n s t r u k t͡ʃ i j o
into	i n t o
kan	k a n
kid	k i d
lovų	l o v o
lošimų	l o ʃ i m ɔ
molotovo	m o l o t o v o
nebegalima	n e b e ɡ a l i m a
nesąmones	n e z ɔ m o n e s
netiko	n e t i k o
nežinomos	n e ʒ i n o m o s
oficialiu	o f i t͡ʃ a l j u
pridengti	p r i d e ŋ t i
punk	p u ŋ k
roboto	r o b o t o
sklypus	s k l i p u s
sportinę	s p o r t i n ɛ
sužinosite	s u ʒ i n o z i t e
tolimesnį	t o l i m e s n i
uss	u s
vertimus	v e r t i m u s
vudu	v u d u
čiuožimo	t͡ʃ i w o ʒ i m o
šešiolikos	ʃ e ʃ i o l i k o s
žvejys	ʒ v e j y s
coca	k o k a
columbia	k o l u m b j a
dalyviu	d a l i v j u
deni	d e n i
emisijos	e m i z i j o s
giliu	ɡ i l j u
igno	i ɲ ɲ o
istoriniame	i s t o r i n j a m e
išbūti	i ʒ b uː t i
išskirtinį	i ʃ s k i r t i n i
jolita	j o l i t a
kilusio	k i l u z j o
koki	k o k i
kopos	k o p o s
kopti	k o p t i
mega	m e ɡ a
melodijų	m e l o d i j o
milžiniško	m i l ʒ i n i ʃ k o
nukristi	n u k r i s t i
nurodomi	n u r o d o m i
pagamina	p a ɡ a m i n a
pjūklo	p j uː k l o
populiarinti	p o p u l j a r i n t i
priminsiu	p r i m i n s j u
pušyno	p u ʃ i n o
run	ʁ u n
suvoki	s u v o k i
tao	t a o
tomu	t o m u
truputis	t r u p u t i s
turiniu	t u r i n j u
vokiečius	v o k i e t͡ʃ i u s
atimta	a t i m t a
biologinis	b i o l o d͡ʒ i n i s
brigada	b r i ɡ a d a
būtinybę	b uː t i n i b ɛ
centus	t͡ʃ ɛ n t u s
dalinis	d a l i n i s
deep	d eː p
degtukų	d e k t u k o
elektroninę	e l ɛ k t r o n i n ɛ
gimus	ɡ i m u s
gotikos	ɡ o t i k o s
hi	h i
išoriniu	i ʃ o r i n j u
kišti	k i ʃ t i
klipo	k l i p o
kovoms	k o v o m s
lygumų	l i ɡ u m oː
mara	m a r a
ming	m i ŋ
minimali	m i n i m a l i
mirs	m i r s
mirusius	m i r u z i u s
mit	m i t
miškinis	m i ʃ k i n i s
negalia	n e ɡ a l j a
netruks	n e t ʀ u k s
ni	n i
nutarimus	n u t a r i m u s
pagerina	p a d͡ʒ e r i n a
pamenate	p a m e n a t e
parametrus	p a r a m e t r u s
plitimo	p l i t i m o
plėtojimo	p l i t o j i m o
primenanti	p r i m e n a n t i
realiu	r e a l j u
rutina	r u t i n a
sing	s i ŋ
skoniu	s k o n j u
skyrimo	s k i r i m o
sutiksite	s u t i k s i t e
systems	s i s t ɛ m s
think	t i ŋ k
tikti	t i k t i
universitetus	u n i v e r s i t e t u s
užterštumo	u ʃ t e r ʃ t u m o
veto	v e t o
vp	v e p e
šukuosenos	ʃ u k u o s e n o s
šuniuko	ʃ u n i u k o
agata	a ɡ a t a
atstatyta	a t s t a t i t a
centrinį	t͡ʃ e n t r i n i
cola	k o l a
dora	d o r a
dyką	d i k ɔ w̃
džeko	d͡ʒ e k o
ekonominiu	e k o n o m i n j u
epidemijos	e p i d e m i j o s
er	e r
forto	f o r t o
grafinio	ɡ r a f i n j o
helio	h e l j o
idealų	i d e a l o
ina	i n a
its	i t͡s
išgirdę	i ʒ ɡ i r d ɛ
kilpos	k i l p o s
kontaktus	k o n t a k t u s
kulkomis	k u l k o m i s
literatūrinis	l i t e r a t uː r i n i s
mediniu	m e d i n j u
meri	m e r i
modulio	m o d u l j o
nemyli	n e m i l i
palyda	p a l i d a
paragino	p a r a d͡ʒ i n o
pe	p e
persijos	p e r s i j o s
petkevičius	p e t k e v i t͡ʃ i u s
pigu	p i ɡ u
pilietinis	p i l j e t i n i s
poemos	p o e m o s
pristatys	p r i s t a t i s
profesinis	p r o f e z i n i s
profesionaliu	p r o f e z j o n a l j u
sero	s e r o
sim	s i m
simbolinis	s i m b o l i n i s
siuntinį	s i u n t i n i
skoto	s k o t o
specialia	s p e t͡ʃ a l j a
sudominti	s u d o m i n t i
sugadinta	s u ɡ a d i n t a
susitarimus	s u z i t a r i m u s
sutikite	s u t i k i t e
tetos	t e t o s
tonu	t o n u
tvirto	t v i r t o
vožtuvų	v o ʃ t u v o
čin	t͡ʃ i n
ats	a t͡s
blu	b l u
cross	k r ɔ s
dialogo	d i a l o ɡ o
dūmus	d uː m u s
filiale	f i l j a l e
gabenimo	ɡ a b e n i m o
garsina	ɡ a r s i n a
kit	k i t
knygoms	k n i ɡ o m s
lat	l a t
matydama	m a t i d a m a
metafora	m e t a f o r a
mito	m i t o
nebegaliu	n e b e ɡ a l j u
nustos	n u s t o s
nutilo	n u t i l o
profesinį	p r o f e z i n i
pu	p u
sekos	s e k o s
sovietinę	s o v j e t i n ɛ
spindulio	s p i n d u l j o
titulus	t i t u l u s
turistinis	t u r i s t i n i s
varis	v a r i s
ada	a d a
apeliacinio	a p e l j a t͡ʃ i n j o
aprašymo	a p r a ʃ i m o
būtinos	b uː t i n o s
dali	d a l i
datas	d a t a s
emulsiklis	e m u l s i k l i s
film	f i l m
folk	f o l k
fotografo	f o t o ɡ r a f o
girdisi	ɡ i r d i z i
gretos	ɡ r e t o s
grigas	ɡ r i ɡ a s
inkstus	i ŋ k s t u s
ipad	i p a d
išmokome	i ʃ m o k o m e
išorinę	i ʃ o r i n ɛ
jogurto	j o ɡ u r t o
ketinu	k e t i n u
kortomis	k o r t o m i s
kovinis	k o v i n i s
kultūrines	k u l t uː r i n e s
lelijos	l e l i j o s
lijo	l i j o
likimus	l i k i m u s
lipo	l i p o
mokiniu	m o k i n j u
mokyklomis	m o k i k l o m i s
mylimam	m i l i m a m
neštis	n e ʃ t i s
nominacijų	n o m i n a t͡ʃ i j o
norintis	n o r i n t i s
parodykite	p a r o d i k i t e
pildosi	p i l d o s i
pistoletu	p i s t o l e t u
poto	p o t o
prekėmis	p r e k i m i s
reali	r e a l i
rytinę	r i t i n ɛ
specialiomis	s p e t͡ʃ a l j o m i s
teliko	t e l i k o
tikintis	t i k i n t i s
tikrino	t i k r i n o
uno	u n o
vertinimu	v e r t i n i m u
vokiškos	v o k i ʃ k o s
wiki	w i k i
įrašytų	i r a ʃ i t o
šilti	ʃ i l t i
šimkus	ʃ i m k u s
šulinio	ʃ u l i n j o
žudiko	ʒ u d i k o
derinami	d e r i n a m i
diametras	d i a m e t r a s
focus	f o k u s
grafinis	ɡ r a f i n i s
heavy	h i v i
institutu	i n s t i t u t u
iškirsti	i ʃ k i r s t i
išnešti	i ʃ n e ʃ t i
julijos	j u l i j o s
kepimo	k e p i m o
living	l i v i ŋ
mišiniu	m i ʃ i n j u
mūsiškių	m uː s i ʃ k i o
negresia	n e ɡ r e z i a
pritvirtinti	p r i t v i r t i n t i
pušys	p u ʃ i s
special	s p e t͡ʃ a l
specifinį	s p e t͡ʃ i f i n i
sumušti	s u m u ʃ t i
sutikome	s u t i k o m e
teen	t eː n
trukusio	t r u k u z j o
trumpomis	t r u m p o m i s
ups	u p s
veržtis	v e r ʃ t i s
čerčilis	t͡ʃ e r t͡ʃ i l i s
šulinį	ʃ u l i n i
atidengta	a t i d e ŋ t a
avarinis	a v a r i n i s
civilinę	t͡ʃ i v i l i n ɛ
dedamos	d e d a m o s
diskus	d i s k u s
etnografijos	e t n o ɡ r a f i j o s
ever	e v e r
granatos	ɡ r a n a t o s
hills	h i l s
iškilti	i ʃ k i l t i
kenedis	k e n e d i s
kiškis	k i ʃ k i s
korporacijų	k o r p o r a t͡ʃ i j o
kovotojo	k o v o t o j o
kubo	k u b o
lan	l a n
lin	l i n
logotipo	l o ɡ o t i p o
matricos	m a t r i k o s
meninį	m e n i n i
mitus	m i t u s
moteriškų	m o t e r i ʃ k o
multi	m u l t i
need	n eː d
neketino	n e k e t i n o
nelygu	n e l i ɡ u
nosimi	n o z i m i
nutaria	n u t a r j a
oto	o t o
pigi	p i ɡ i
praradę	p r a r a d ɛ
pratimus	p r a t i m u s
praversti	p r a v ɛ r s t i
pripildyti	p r i p i l d i t i
raminta	r a m i n t a
rimtus	r i m t u s
rodosi	r o d o s i
sirupo	s i r u p o
skolintis	s k o l i n t i s
sotus	s o t u s
sugadino	s u ɡ a d i n o
than	t a n
tobulino	t o b u l i n o
tono	t o n o
turimus	t u r i m u s
čekis	t͡ʃ e k i s
šeštoji	ʃ e ʃ t o j i
šilto	ʃ i l t o
šu	ʃ u
žūti	ʒ uː t i
academy	a k a d e m i
adaptacijos	a d a p t a t͡ʃ i j o s
balo	b a l o
bobo	b o b o
bosnijos	b o z n i j o s
budistų	b u d i s t o
color	k o l o r
dyzelinis	d i z e l i n i s
emilijos	e m i l i j o s
fun	f u n
funkcijoms	f u ŋ k t͡ʃ i j o m s
globojo	ɡ l o b o j o
išimtį	i ʃ i m t i
išlipo	i ʃ l i p o
kontracepcijos	k o n t r a t͡ʃ e p t͡ʃ i j o s
kunigams	k u n i ɡ a m s
kvotos	k v o t o s
lemti	l e m t i
lis	l i s
lorenzo	l o ʀ ɛ n t͡s o
midi	m i d i
mum	m u m
nežinoti	n e ʒ i n o t i
opus	o p u s
ot	o t
philips	f i l i p s
pjūvis	p j uː v i s
politiniams	p o l i t i n j a m s
posūkį	p o s uː k i
prisimenate	p r i z i m e n a t e
pso	p s o
pulto	p u l t o
simfoninio	s i m f o n i n j o
simfoninis	s i m f o n i n i s
skubu	s k u b u
skysto	s k i s t o
stilistikos	s t i l i s t i k o s
sukaks	s u k a k s
supilti	s u p i l t i
susitarę	s u z i t a r ɛ
tikslumo	t i k s l u m o
tim	t i m
tylu	t i l u
viking	v i k i ŋ
vinis	v i n i s
černobylio	t͡ʃ e r n o b i l j o
židiniu	ʒ i d i n j u
atrodantis	a t r o d a n t i s
balboa	b a l b o a
been	b eː n
biochemijos	b i o ʃ e m i j o s
brendimo	b r e n d i m o
budi	b u d i
dalims	d a l i m s
degti	d e k t i
dekoracijų	d e k o r a t͡ʃ i j o
derinimo	d e r i n i m o
didino	d i d i n o
dvigubu	d v i ɡ u b u
džeksono	d͡ʒ e k s o n o
džonis	d͡ʒ o n i s
ek	e k
galinio	ɡ a l i n j o
garantijos	ɡ a r a n t i j o s
genda	ɡ ɛ n d a
gobtuvu	ɡ o p t u v u
granata	ɡ r a n a t a
him	h i m
hit	h i t
idomu	i d o m u
imkite	i m k i t e
išdrįso	i ʃ d r i z o
jidiš	j i d i ʃ
jin	d͡ʒ i n
kenedžio	k e n e d͡ʒ j o
kometos	k o m e t o s
kristoforo	k r i s t o f o r o
lifto	l i f t o
lima	l i m a
medina	m e d i n a
met	m e t
metju	m e t j u
milžiniškus	m i l ʒ i n i ʃ k u s
nacionalistų	n a t͡ʃ o n a l i s t o
nenustatyta	n e n u s t a t i t a
nick	n i k
nutolę	n u t o l ɛ
oliveris	o l i v e r i s
om	o m
petraitis	p e t r a i t i s
pirmumo	p i r m u m o
rasiu	r a z j u
seneliu	s e n e l j u
skubi	s k u b i
sodinti	s o d i n t i
subtilus	s u p t i l u s
sukilo	s u k i l o
susprogdinti	s u s p r o ɡ d i n t i
suvilioti	s u v i l j o t i
theo	t e o
trylikos	t r i l i k o s
užtikrinimo	u ʃ t i k r i n i m o
vejos	v e j o s
volteris	v o l t ə r i s
šonu	ʃ o n u
šūvis	ʃ uː v i s
не	n ɛ
по	p ɔ
aria	a r j a
astra	a s t r a
biliardo	b i l j a r d o
braga	b r a ɡ a
bull	b u l
bučinys	b u t͡ʃ i n i s
davido	d a v i d o
doktrinos	d o k t r i n o s
dublino	d u b l i n o
fa	f a
facto	f a k t o
gdansko	ɡ d a n s k o
gira	ɡ i r a
gretimo	ɡ r e t i m o
internetinio	i n t e r n e t i n j o
išmintį	i ʃ m i n t i
jovita	j o v i t a
juknevičius	j u k n e v i t͡ʃ i u s
ketvirtis	k e t v i r t i s
lili	l i l i
liverpool	l i v ə r p oː l
mechanika	m e ʃ a n i k a
meninę	m e n i n ɛ
mikrofono	m i k r o f o n o
nunešti	n u n e ʃ t i
nusileidus	n u z i l ɛ i̯ d u s
oksido	o k s i d o
optinis	o p t i n i s
perdavimus	p e r d a v i m u s
pervežimo	p e r v e ʒ i m o
plyšius	p l i ʃ i u s
pradedami	p r a d e d a m i
problematika	p r o b l e m a t i k a
put	p u t
puškino	p u ʃ k i n o
reno	r e n o
roll	ʀ o l
specialisto	s p e t͡ʃ a l i s t o
suprasi	s u p r a z i
teritorinį	t e r i t o r i n i
tikite	t i k i t e
tolimojo	t o l i m o j o
vidines	v i d i n e s
ass	ɑ s
baterijų	b a t e r i j o
bim	b i m
bonus	b o n u s
dharmos	d a ʁ m o s
diametro	d i a m e t r o
gaminiams	ɡ a m i n j a m s
goda	ɡ o d a
identiteto	i d e n t i t e t o
ietį	j e t i
io	i o
ist	i s t
iškęsti	i ʃ k ɛ n s t i
išliktų	i ʃ l i k t o
išskrido	i ʃ s k r i d o
kakta	k a k t a
kokoso	k o k o s o
kontrakto	k o n t r a k t o
kukli	k u k l i
kyšį	k i ʃ i
likutis	l i k u t i s
madona	m a d o n a
memorialo	m e m o r j a l o
mobilus	m o b i l u s
nuvilti	n u v i l t i
pildyti	p i l d i t i
pirtys	p i r t i s
plyti	p l i t i
polis	p o l i s
por	p o r
potencialo	p o t e n t͡ʃ a l o
prabilo	p r a b i l o
pratybų	p r a t i b o
roy	ʁ ɔ j
rusios	r u z j o s
seks	s ɛ k s
septintojo	s e p t i n t o j o
silpnumo	s i l p n u m o
specialistams	s p e t͡ʃ a l i s t a m s
sritimis	s r i t i m i s
stebėtis	s t e b i t i s
steel	s t eː l
sutrikus	s u t r i k u s
sušvelninti	s u ʃ v e l n i n t i
svetimo	z v e t i m o
teorinis	t e o r i n i s
tikslūs	t i k s l uː s
vert	v ɛ r t
vilkijos	v i l k i j o s
viskis	v i s k i s
visokio	v i z o k i o
žemynos	ʒ e m i n o s
adam	a d a m
apartamentus	a p a r t a m e n t u s
bala	b a l a
civilius	t͡ʃ i v i l j u s
didinimo	d i d i n i m o
diplomato	d i p l o m a t o
dvikovos	d v i k o v o s
eli	e l i
emilis	e m i l i s
florencijos	f l o r e n t͡ʃ i j o s
gaminimas	ɡ a m i n i m a s
infekcijų	i n f e k t͡ʃ i j o
kokybe	k o k i b e
legal	l e ɡ a l
lit	l i t
metropolitas	m e t r o p o l i t a s
monikos	m o n i k o s
nemunu	n e m u n u
pilietinį	p i l j e t i n i
plito	p l i t o
požeminio	p o ʒ e m i n j o
prieskonis	p r i s k o n i s
priskirtos	p r i s k i r t o s
skilimo	s k i l i m o
slopinti	z l o p i n t i
sportinį	s p o r t i n i
titulinis	t i t u l i n i s
tiškevičius	t i ʃ k e v i t͡ʃ i u s
tolimesnis	t o l i m e s n i s
treti	t r e t i
trupučio	t r u p u t͡ʃ j o
turimos	t u r i m o s
šo	ʃ o
apibendrinti	a p i b e n d r i n t i
bara	b a r a
casino	k a z i n o
debatų	d e b a t o
dirbusi	d i r b u z i
dog	d o k
donato	d o n a t o
dot	d o t
džimis	d͡ʒ i m i s
emalio	e m a l j o
gajos	ɡ a j o s
gala	ɡ a l a
galybės	ɡ a l i b i s
golf	ɡ o l f
grindimis	ɡ r i n d i m i s
hipotekos	h i p o t e k o s
hong	h o ŋ
instrukcijos	i n s t r u k t͡ʃ i j o s
isp	i s p
išjunkite	i ʃ j u ŋ k i t e
jutimo	j u t i m o
karybos	k a ʁ i b o s
kenijos	k e n i j o s
ketveri	k e t v e r i
kopūstus	k o p uː s t u s
kritinis	k r i t i n i s
libijos	l i b i j o s
literatūrinę	l i t e r a t uː r i n ɛ
matyta	m a t i t a
megan	m e ɡ a n
miao	m i a o
mir	m i r
modulį	m o d u l i
monografijos	m o n o ɡ r a f i j o s
mylimos	m i l i m o s
nea	n e a
neprimena	n e p r i m e n a
normaliu	n o r m a l j u
nurimti	n u r i m t i
ofiso	o f i z o
pilotu	p i l o t u
poetu	p o e t u
polina	p o l i n a
požeminis	p o ʒ e m i n i s
primintų	p r i m i n t o
pririšti	p r i r i ʃ t i
recepto	r e t͡ʃ ɛ p t o
reguliarus	r e ɡ u l j a r u s
relikvijos	r e l i k v i j o s
rungtys	ʁ u ŋ t i s
sidabru	s i d a b r u
skundo	s k u n d o
tempu	t ɛ m p u
them	t ɛ m
tikroms	t i k ʀ ɔ m s
today	t o d a j
ul	u l
ya	j a
šerti	ʃ e r t i
žibintų	ʒ i b i n t o
žuvusio	ʒ u v u z j o
apyl	a p i l
aristotelis	a r i s t o t e l i s
asmenybe	a z m e n i b e
baba	b a b a
bayern	b a j ɛ ʀ n
bd	b e d e
bolonijos	b o l o n i j o s
boriso	b o r i z o
bu	b u
dalina	d a l i n a
daryklos	d a ʀ i k l o s
dings	d i ŋ s
elis	e l i s
fermentacijos	f e r m e n t a t͡ʃ i j o s
girtis	ɡ i r t i s
išgąsdino	i ʒ ɡ ɔ z d i n o
išgąsdinti	i ʒ ɡ ɔ̃ z d i n t i
kristupo	k r i s t u p o
kroviniams	k r o v i n j a m s
lūžo	l uː ʒ o
mar	m a r
močiute	m o t͡ʃ j u t e
mylinti	m i l i n t i
oksidacijos	o k s i d a t͡ʃ i j o s
ovidijus	o v i d i j u s
padedanti	p a d e d a n t i
poligone	p o l i ɡ o n e
prisijunk	p r i z i j u ŋ k
regata	r e ɡ a t a
represijos	r e p r e z i j o s
rimkus	r i m k u s
segmentų	s e ɡ m e n t o
senesni	s e n e s n i
sijos	s i j o s
sirijus	s i r i j u s
specialiame	s p e t͡ʃ a l j a m e
stipria	s t i p r i a
stulpo	s t u l p o
svetimos	z v e t i m o s
technologinis	t e k n o l o d͡ʒ i n i s
total	t o t a l
vidiniu	v i d i n j u
apeliacinis	a p e l j a t͡ʃ i n i s
buna	b u n a
dinamo	d i n a m o
donaldo	d o n a l d o
dono	d o n o
drenažo	d r e n a ʒ o
džersyje	d͡ʒ e r s i j ə
dži	d͡ʒ i
emo	e m o
etilo	e t i l o
fish	f i ʃ
fluxus	f l u k s u s
gintas	ɡ i n t a s
inde	i n d e
ius	i u s
išgirstų	i ʒ ɡ i r s t o
išvirti	i ʃ v i r t i
joy	d͡ʒ ɔ j
keep	k eː p
kimono	k i m o n o
kin	k i n
kitimo	k i t i m o
komiksus	k o m i k s u s
lego	l e ɡ o
lolita	l o l i t a
mintimi	m i n t i m i
mobili	m o b i l i
mona	m o n a
mylite	m i l i t e
mūšius	m uː ʃ i u s
navy	n a v i
neprarado	n e p r a r a d o
niki	n i k i
nutikę	n u t i k ɛ
olimpinį	o l i m p i n i
patriarcho	p a t r i a r k o
persikų	p e r s i k o
piramidę	p i r a m i d ɛ
prabos	p r a b o s
priverstinio	p r i v e r s t i n j o
retą	r e t ɔ w̃
rytinio	r i t i n j o
seksualinį	s e k s u a l i n i
still	s t i l
struktūrinis	s t r u k t uː r i n i s
sukurtu	s u k u r t u
sumanymo	s u m a n i m o
sunkvežimius	s u ŋ k v e ʒ i m i u s
things	t i ŋ s
titulų	t i t u l o
tobulo	t o b u l o
tremtis	t r e m t i s
trečiajam	t r e t͡ʃ j a j a m
trinti	t r i n t i
turimi	t u r i m i
tęstinio	t ɛ n s t i n j o
tęstinis	t ɛ n s t i n i s
vin	v i n
yi	j i
šuniukų	ʃ u n i u k o
šįryt	ʃ i r i t
žinosite	ʒ i n o z i t e
žūtbūt	ʒ uː d b uː t
animacinio	a n i m a t͡ʃ i n j o
bendruosius	b e n d r u o z i u s
bokštus	b o k ʃ t u s
cilindras	t͡ʃ i l i n d r a s
derina	d e r i n a
dianos	d i a n o s
didi	d i d i
gabenami	ɡ a b e n a m i
genys	ɡ e n i s
gildijos	ɡ i l d i j o s
granatas	ɡ r a n a t a s
gu	ɡ u
helovino	h e l o v i n o
imuniteto	i m u n i t e t o
ira	i r a
išvykome	i ʃ v i k o m e
koncertinę	k o n t͡ʃ e r t i n ɛ
krepšius	k r e p ʃ i u s
kumščiu	k u m ʃ t͡ʃ i u
liksite	l i k s i t e
list	l i s t
mars	m a r s
milius	m i l j u s
mu	m u
must	m u s t
nebūsi	n e b uː z i
nedirbo	n e d i r b o
poker	p o k e r
pramoninio	p r a m o n i n j o
prisimink	p r i z i m i ŋ k
pulso	p u l s o
quo	k w o
rikį	r i k i
rub	ʁ u p
ryškiu	r i ʃ k j u
sergio	s e r d͡ʒ o
sindromu	s i n d r o m u
sintetinis	s i n t e t i n i s
skundus	s k u n d u s
supo	s u p o
sužinok	s u ʒ i n o k
tipinis	t i p i n i s
tolimos	t o l i m o s
trenerį	t r e n e r i
trip	t r i p
turino	t u r i n o
venos	v e n o s
visišku	v i z i ʃ k u
vyriškų	v y r i ʃ k o
šriftu	ʃ r i f t u
žodinis	ʒ o d i n i s
america	a m ɛ r i k a
atominis	a t o m i n i s
away	a w a j
bill	b i l
bona	b o n a
byra	b i ʀ a
būtybę	b uː t i b ɛ
charlotte	ʃ a ʁ l ɔ t
demi	d e m i
devintojo	d e v i n t o j o
diafragma	d i a f r a ɡ m a
didvyriu	d i d v i r j u
domenas	d o m e n a s
domeno	d o m e n o
ekspedicijų	e k s p e d i t͡ʃ i j o
emocinis	e m o t͡ʃ i n i s
fernando	f e r n a n d o
gabijos	ɡ a b i j o s
gaga	ɡ a ɡ a
gamintas	ɡ a m i n t a s
gap	ɡ a p
grimas	ɡ r i m a s
ioji	j o d͡ʒ i
kay	k a j
kilnus	k i l n u s
kimba	k i m b a
kompiuterinę	k o m p j u t e r i n ɛ
kub	k u p
kumpis	k u m p i s
kurijos	k u r i j o s
kyšo	k i ʃ o
kūjis	k uː j i s
lentomis	l e n t o m i s
lipni	l i p n i
metinio	m e t i n j o
mirtys	m i r t i s
nepritaria	n e p r i t a r j a
nusilpo	n u z i l p o
oficialia	o f i t͡ʃ a l j a
petru	p e t r u
pilimi	p i l i m i
prisiliesti	p r i z i l j e s t i
pritapti	p r i t a p t i
profilį	p r o f i l i
pupos	p u p o s
regatos	r e ɡ a t o s
rekordinis	r e k o r d i n i s
repeticijos	r e p e t i t͡ʃ i j o s
res	ʀ ɛ s
režisūros	r e ʒ i z uː r o s
ri	r i
ronis	r o n i s
sputnik	s p u t n i k
stiprybę	s t i p r i b ɛ
stovinti	s t o v i n t i
stovintį	s t o v i n t i
sugadina	s u ɡ a d i n a
tyko	t i k o
tyra	t i ʀ a
urano	u r a n o
užmesti	u ʒ m e s t i
užmigo	u ʒ m i ɡ o
variante	v a r j a n t e
vientiso	v j e n t i z o
vysk	v y s k
žilinsko	ʒ i l i n s k o
žuvims	ʒ u v i m s
af	a f
aromato	a r o m a t o
asmenybes	a z m e n i b e s
boba	b o b a
departamentu	d e p a r t a m e n t u
džonu	d͡ʒ o n u
ekonomistų	e k o n o m i s t o
eterinio	e t e r i n j o
etninę	e t n i n ɛ
etnokultūros	e t n o k u l t uː r o s
ev	e f
