un	u n
delfīnu	d e l f iː n u
hokejistu	h o k e j i s t u
idiotu	i d i o t u
ieguvumu	i e ɡ u v u m u
ietves	i e t v e s
indiju	i n d i j u
indulis	i n d u l i s
izlēmis	i z l eː m i s
izmērus	i z m eː r u s
izmērīt	i z m eː r iː t
komēdiju	k o m eː d i j u
kontrolētu	k o n t r o l eː t u
kristīnes	k r i s t iː n e s
lego	l e ɡ o
limits	l i m i t s
miltu	m i l t u
motīvs	m o t iː v s
neciešu	n e t͡s i e ʃ u
neglīts	n e ɡ l iː t s
neredzētu	n e r e d͡z eː t u
neteicu	n e t e i t͡s u
pieņēmis	p i e ɲ eː m i s
pin	p i n
posteni	p o s t e n i
priekšpusē	p r i e k ʃ p u s eː
pudelē	p u d e l eː
skices	s k i t͡s e s
slepenu	s l e p e n u
sērijās	s eː r i j ɑː s
torti	t o r t i
tūlītēju	t uː l iː t eː j u
vinu	v i n u
viļņus	v i ʎ ɲ u s
vēsturisku	v eː s t u r i s k u
vēži	v eː ʒ i
cienīgu	t͡s i e n iː ɡ u
ekspozīciju	e k s p o z iː t͡s i j u
fils	f i l s
fin	f i n
floti	f l o t i
hi	h i
hit	h i t
investēt	i n v e s t eː t
jomu	j o m u
jēzum	j eː z u m
krekli	k r e k l i
kristietību	k r i s t i e t iː b u
krēsli	k r eː s l i
leņķis	l e ɲ d͡ʒ i s
lifts	l i f t s
mirsti	m i r s t i
mērnieku	m eː r n i e k u
necieš	n e t͡s i e ʃ
neguļ	n e ɡ u ʎ
nervus	n e r v u s
neveiksmīgi	n e v e i k s m iː ɡ i
niko	n i k o
novieto	n o v i e t o
nū	n uː
pievērš	p i e v eː r ʃ
pilnus	p i l n u s
politisks	p o l i t i s k s
pulciņš	p u l t͡s i ɲ ʃ
risinās	r i s i n ɑː s
rīsi	r iː s i
see	s eː
server	s e r v e r
sos	s o s
spoku	s p o k u
sūtīs	s uː t iː s
ugunskuru	u ɡ u n s k u r u
zudusi	z u d u s i
blūms	b l uː m s
būtnēm	b uː t n eː m
cienīgi	t͡s i e n iː ɡ i
cietu	t͡s i e t u
dubļu	d u b ʎ u
dzejoļi	d͡z e j o ʎ i
dzemdē	d͡z e m d eː
dzinējus	d͡z i n eː j u s
džefs	d͡ʒ e f s
efektīvs	e f e k t iː v s
iepirkums	i e p i r k u m s
itunes	i t u n e s
juridiski	j u r i d i s k i
klēpī	k l eː p iː
kombuļu	k o m b u ʎ u
komplimentu	k o m p l i m e n t u
koncepciju	k o n t͡s e p t͡s i j u
kreklus	k r e k l u s
kurpēm	k u r p eː m
mikroviļņu	m i k r o v i ʎ ɲ u
mo	m o
mīļu	m iː ʎ u
ni	n i
nieks	n i e k s
nomirtu	n o m i r t u
nomiršu	n o m i r ʃ u
pieminēts	p i e m i n eː t s
pieņēmusi	p i e ɲ eː m u s i
pēcspēles	p eː t͡s s p eː l e s
rīklē	r iː k l eː
skulptūru	s k u l p t uː r u
stingru	s t i n ɡ r u
svētes	s v eː t e s
ugunī	u ɡ u n iː
vietni	v i e t n i
viļņiem	v i ʎ ɲ i eˀ m
vu	v u
vēnu	v eː n u
vērtu	v eː r t u
vēss	v eː sː
vīnes	v iː n e s
zvērs	z v eː r s
bruto	b r u t o
bultu	b u l t u
dzīvošu	d͡z iː v o ʃ u
girls	ɡ i r l s
iztēli	i z t eː l i
king	k i n ɡ
klusu	k l u s u
konfesiju	k o n f e s i j u
kundzei	k u n d͡z e i
mirkļus	m i r k ʎ u s
nenāks	n e n ɑː k s
neredzēji	n e r e d͡z eː j i
nopietnus	n o p i e t n u s
nositīs	n o s i t iː s
nosvinēt	n o s v i n eː t
novērtētu	n o v eː r t eː t u
piekritu	p i e k r i t u
pieņēmums	p i e ɲ eː m u m s
pilnmēness	p i l n m eː n e sː
plūdi	p l uː d i
pozu	p o z u
singls	s i n ɡ l s
skudru	s k u d r u
solās	s o l ɑː s
soču	s o t͡ʃ u
spurs	s p u r s
sveicieni	s v e i t͡s i eˀ n i
sveikt	s v e i k t
topu	t o p u
veikuši	v e i k u ʃ i
vēlmju	v eː l m j u
čeku	t͡ʃ e k u
cienīgs	t͡s i e n iː ɡ s
dus	d u s
dusmīgi	d u s m iː ɡ i
ekonomisti	e k o n o m i s t i
ezeri	e z e r i
hormoni	h o r m o n i
iebilst	i e b i l s t
ilgāks	i l ɡ ɑː k s
indivīdu	i n d i v iː d u
kronis	k r o n i s
luudzu	l uː d͡z u
lēnu	l eː n u
meklēsim	m e k l eː s i m
mežus	m e ʒ u s
mūsējo	m uː s eː j o
nederēs	n e d e r eː s
nelikumīgu	n e l i k u m iː ɡ u
nemīlu	n e m iː l u
neto	n e t o
nožēlu	n o ʒ eː l u
peli	p e l i
pielikumu	p i e l i k u m u
pilij	p i l i j
portretu	p o r t r e t u
pupi	p u p i
riks	r i k s
seku	s e k u
set	s e t
sliktie	s l i k t i e
tunelī	t u n e l iː
veselo	v e s e l o
vēsu	v eː s u
burvis	b u r v i s
dzirdētu	d͡z i r d eː t u
eseju	e s e j u
grunti	ɡ r u n t i
iekļuvusi	i e k ʎ u v u s i
ilgumu	i l ɡ u m u
izkrīt	i z k r iː t
kompozīciju	k o m p o z iː t͡s i j u
krituši	k r i t u ʃ i
kļūmes	k ʎ uː m e s
mirkļi	m i r k ʎ i
mūžīgu	m uː ʒ iː ɡ u
nelietoju	n e l i e t o j u
neo	n e o
nespēlēju	n e s p eː l eː j u
nokrist	n o k r i s t
notur	n o t u r
noziegumi	n o z i e ɡ u m i
pensionāri	p e n s i o n ɑː r i
pers	p e r s
pieteikts	p i e t e i k t s
pulksteņi	p u l k s t e ɲ i
pūlis	p uː l i s
recepšu	r e t͡s e p ʃ u
rekonstrukciju	r e k o n s t r u k t͡s i j u
resni	r e s n i
skrējienu	s k r eː j i e n u
slēdzis	s l eː d͡z i s
sper	s p e r
sēj	s eː j
tipi	t i p i
vinči	v i n t͡ʃ i
bučo	b u t͡ʃ o
egles	e ɡ l e s
homo	h o m o
ieteikumus	i e t e i k u m u s
impulss	i m p u l sː
indeksu	i n d e k s u
interpretēt	i n t e r p r e t eː t
investoru	i n v e s t o r u
izdzīvo	i z d͡z iː v o
izjūt	i z j uː t
komā	k o m ɑː
kritizē	k r i t i z eː
melnām	m e l n ɑː m
nopirkts	n o p i r k t s
numuriņu	n u m u r i ɲ u
pozā	p o z ɑː
psihologi	p s i h o l o ɡ i
pulksteņu	p u l k s t e ɲ u
robins	r o b i n s
spēlēts	s p eː l eː t s
studējis	s t u d eː j i s
svinēti	s v i n eː t i
sēklām	s eː k l ɑː m
testus	t e s t u s
tinte	t i n t e
uzbruktu	u z b r u k t u
vecene	v e t͡s e n e
vii	v iː
viltotu	v i l t o t u
zirnekļi	z i r n e k ʎ i
īriju	iː r i j u
cietīs	t͡s i e t iː s
demo	d e m o
derīgu	d e r iː ɡ u
džeku	d͡ʒ e k u
eksperimentus	e k s p e r i m e n t u s
humoru	h u m o r u
ievērojis	i e v eː r o j i s
izņēmumi	i z ɲ eː m u m i
lopi	l o p i
līt	l iː t
mīnu	m iː n u
nekļūs	n e k ʎ uː s
nekļūst	n e k ʎ uː s t
novērojumu	n o v eː r o j u m u
nīls	n iː l s
pi	p i
pieminekļi	p i e m i n e k ʎ i
piespēli	p i e s p eː l i
pieturu	p i e t u r u
polu	p o l u
progresu	p r o ɡ r e s u
ritmu	r i t m u
ru	r u
sodus	s o d u s
stilīgi	s t i l iː ɡ i
sūnām	s uː n ɑː m
trenerim	t r e n e r i m
turētu	t u r eː t u
veltījis	v e l t iː j i s
vērst	v eː r s t
zemenes	z e m e n e s
zīmīgi	z iː m iː ɡ i
blīvums	b l iː v u m s
dzejoļu	d͡z e j o ʎ u
eglīte	e ɡ l iː t e
filmē	f i l m eː
finansiālā	f i n ɑ n s i ɑː l ɑː
fun	f u n
iegūsi	i e ɡ uː s i
kodeksu	k o d e k s u
kompleksi	k o m p l e k s i
krūzes	k r uː z e s
likvidēts	l i k v i d eː t s
lindu	l i n d u
mb	m b
misisipi	m i s i s i p i
motīvi	m o t iː v i
murgu	m u r ɡ u
mēri	m eː r i
nedrīkstētu	n e d r iː k s t eː t u
nelielo	n e l i e l o
nošu	n o ʃ u
pilsētiņu	p i l s eː t i ɲ u
prognozēt	p r o ɡ n o z eː t
riski	r i s k i
serveris	s e r v e r i s
slinkums	s l i n k u m s
slēdzenes	s l eː d͡z e n e s
solī	s o l iː
strīdi	s t r iː d i
tiki	t i k i
tree	t r eː
ts	t s
tukšo	t u k ʃ o
uznāk	u z n ɑː k
viltojums	v i l t o j u m s
vot	v o t
ērgļu	eː r ɡ ʎ u
še	ʃ e
bungu	b u n ɡ u
busiņu	b u s i ɲ u
ceptu	t͡s e p t u
deli	d e l i
devēji	d e v eː j i
felipe	f e l i p e
gudrību	ɡ u d r iː b u
izdevīgs	i z d e v iː ɡ s
kokteilis	k o k t e i l i s
komplektus	k o m p l e k t u s
krūti	k r uː t i
lūzumu	l uː z u m u
mitrumu	m i t r u m u
mūris	m uː r i s
netur	n e t u r
nometnei	n o m e t n e i
nozīmēs	n o z iː m eː s
optisko	o p t i s k o
perimetru	p e r i m e t r u
rums	r u m s
rīkus	r iː k u s
spožu	s p o ʒ u
testi	t e s t i
verdi	v e r d i
veselus	v e s e l u s
vēlmēm	v eː l m eː m
vērtējumu	v eː r t eː j u m u
īsfilmu	iː s f i l m u
ņēmu	ɲ eː m u
biku	b i k u
bušu	b u ʃ u
centu	t͡s e n t u
deividu	d e i v i d u
fiksi	f i k s i
fui	f u i
gūti	ɡ uː t i
izlozes	i z l o z e s
izlēmusi	i z l eː m u s i
konkurentu	k o n k u r e n t u
kukuli	k u k u l i
meitiņu	m e i t i ɲ u
mītne	m iː t n e
nedrīksti	n e d r iː k s t i
netīro	n e t iː r o
nomu	n o m u
oranžā	o r ɑ n ʒ ɑː
our	o u r
pirku	p i r k u
puisēns	p u i s eː n s
pulveris	p u l v e r i s
rumu	r u m u
sfērā	s f eː r ɑː
slimu	s l i m u
sprīdītis	s p r iː d iː t i s
sunītis	s u n iː t i s
tūrē	t uː r eː
vecus	v e t͡s u s
vietnēm	v i e t n eː m
viktoru	v i k t o r u
virzību	v i r z iː b u
vēsi	v eː s i
ūdeņus	uː d e ɲ u s
bi	b i
ciešu	t͡s i e ʃ u
cīnījies	t͡s iː n iː j i e s
dziesmiņu	d͡z i e s m i ɲ u
efekti	e f e k t i
emocionāls	e m o t͡s i o n ɑː l s
focus	f o t͡s u s
frizūru	f r i z uː r u
fēru	f eː r u
gleznām	ɡ l e z n ɑː m
glīts	ɡ l iː t s
grimst	ɡ r i m s t
grūtību	ɡ r uː t iː b u
his	h i s
ilūziju	i l uː z i j u
inde	i n d e
indes	i n d e s
izdoti	i z d o t i
kit	k i t
levits	l e v i t s
lētu	l eː t u
meri	m e r i
mūku	m uː k u
neguļu	n e ɡ u ʎ u
postenī	p o s t e n iː
pērku	p eː r k u
pūci	p uː t͡s i
roboti	r o b o t i
spēt	s p eː t
trenere	t r e n e r e
tūkstoti	t uː k s t o t i
upēm	u p eː m
uzcelts	u z t͡s e l t s
veikto	v e i k t o
vērsis	v eː r s i s
zirņu	z i r ɲ u
zoo	z oː
cilveks	t͡s i l v e k s
definē	d e f i n eː
diētu	d i eː t u
diži	d i ʒ i
džungļu	d͡ʒ u n ɡ ʎ u
eksportēt	e k s p o r t eː t
grēki	ɡ r eː k i
kompromisu	k o m p r o m i s u
kritizēt	k r i t i z eː t
kritušo	k r i t u ʃ o
krējumu	k r eː j u m u
lekcijām	l e k t͡s i j ɑː m
liftu	l i f t u
nespēsi	n e s p eː s i
nesu	n e s u
nogurumu	n o ɡ u r u m u
pelnus	p e l n u s
pieslēguma	p i e s l eː ɡ u m ɑ
pildījumu	p i l d iː j u m u
pumpuri	p u m p u r i
rēzekni	r eː z e k n i
sīpoli	s iː p o l i
tilpumu	t i l p u m u
tēviņš	t eː v i ɲ ʃ
uzlīmes	u z l iː m e s
yes	j e s
zvēri	z v eː r i
zīmīti	z iː m iː t i
blīvi	b l iː v i
cepu	t͡s e p u
cēlās	t͡s eː l ɑː s
etnisko	e t n i s k o
fenomenu	f e n o m e n u
gulēšu	ɡ u l eː ʃ u
guļus	ɡ u ʎ u s
iegūtie	i e ɡ uː t i e
ieies	i e i e s
iekļuvis	i e k ʎ u v i s
its	i t s
iztēles	i z t eː l e s
kodus	k o d u s
koknesē	k o k n e s eː
kretīni	k r e t iː n i
krūmi	k r uː m i
krūtīs	k r uː t iː s
kļūsim	k ʎ uː s i m
likumprojektu	l i k u m p r o j e k t u
likvidē	l i k v i d eː
mirklim	m i r k l i m
mīlētu	m iː l eː t u
nezinās	n e z i n ɑː s
nieku	n i e k u
nosist	n o s i s t
notīrīt	n o t iː r iː t
novecojis	n o v e t͡s o j i s
opis	o p i s
pet	p e t
skuju	s k u j u
spīdoši	s p iː d o ʃ i
svecītes	s v e t͡s iː t e s
sīkumu	s iː k u m u
tonī	t o n iː
tronī	t r o n iː
uznācis	u z n ɑː t͡s i s
versijām	v e r s i j ɑː m
vienās	v i e n ɑː s
viskiju	v i s k i j u
vīnogu	v iː n o ɡ u
ņēmēju	ɲ eː m eː j u
būvju	b uː v j u
ciltis	t͡s i l t i s
dzēru	d͡z eː r u
dēlus	d eː l u s
fokuss	f o k u sː
frekvenci	f r e k v e n t͡s i
grifs	ɡ r i f s
hitleru	h i t l e r u
ieņēmis	i e ɲ eː m i s
kopējs	k o p eː j s
kļūdījos	k ʎ uː d iː j o s
līmeņi	l iː m e ɲ i
meksiku	m e k s i k u
misūri	m i s uː r i
mīksti	m iː k s t i
neceri	n e t͡s e r i
neeju	n eː j u
nervi	n e r v i
nolēmusi	n o l eː m u s i
pievienoju	p i e v i e n o j u
pildītu	p i l d iː t u
plecs	p l e t͡s s
pč	p t͡ʃ
pūtēju	p uː t eː j u
ripo	r i p o
septiņdesmit	s e p t i ɲ d e s m i t
sintēzes	s i n t eː z e s
stimulē	s t i m u l eː
test	t e s t
trolejbusi	t r o l e j b u s i
tūri	t uː r i
viltīgi	v i l t iː ɡ i
ļāvis	ʎ ɑː v i s
bremžu	b r e m ʒ u
gudro	ɡ u d r o
gulēsi	ɡ u l eː s i
gumiju	ɡ u m i j u
intelektu	i n t e l e k t u
izīrēt	i z iː r eː t
kokteiļu	k o k t e i ʎ u
konkrēto	k o n k r eː t o
kuršu	k u r ʃ u
lēnā	l eː n ɑː
līme	l iː m e
māki	m ɑː k i
netiksim	n e t i k s i m
netēlo	n e t eː l o
neveiksmīgs	n e v e i k s m iː ɡ s
novirze	n o v i r z e
pildīti	p i l d iː t i
premjeru	p r e m j e r u
pupiņu	p u p i ɲ u
reizēs	r e i z eː s
rezerve	r e z e r v e
tirgi	t i r ɡ i
vīrusi	v iː r u s i
ēzelis	eː z e l i s
žurku	ʒ u r k u
citēt	t͡s i t eː t
diks	d i k s
ekspedīciju	e k s p e d iː t͡s i j u
iemigt	i e m i k t
iepretim	i e p r e t i m
instrukciju	i n s t r u k t͡s i j u
ist	i s t
izdzēru	i z d͡z eː r u
izlikt	i z l i k t
izlozē	i z l o z eː
klips	k l i p s
kristīni	k r i s t iː n i
kuks	k u k s
lūks	l uː k s
mīlēju	m iː l eː j u
neiztikt	n e i z t i k t
nemeklēju	n e m e k l eː j u
nespējot	n e s p eː j o t
nesējs	n e s eː j s
neteikt	n e t e i k t
odu	o d u
oo	oː
pietikt	p i e t i k t
pliku	p l i k u
positivus	p o s i t i v u s
prototipu	p r o t o t i p u
pē	p eː
repše	r e p ʃ e
revolūciju	r e v o l uː t͡s i j u
ro	r o
seksīgs	s e k s iː ɡ s
ser	s e r
simboliku	s i m b o l i k u
smilts	s m i l t s
smiltīs	s m i l t iː s
steidzīgi	s t e i d͡z iː ɡ i
sīriju	s iː r i j u
tits	t i t s
uzbūves	u z b uː v e s
uzņēmējus	u z ɲ eː m eː j u s
virmo	v i r m o
vīnē	v iː n eː
ēdīšu	eː d iː ʃ u
derību	d e r iː b u
ekskluzīvu	e k s k l u z iː v u
fiksēti	f i k s eː t i
instruktoru	i n s t r u k t o r u
kolektīvi	k o l e k t iː v i
krūms	k r uː m s
let	l e t
monitoru	m o n i t o r u
nenovērtē	n e n o v eː r t eː
nesit	n e s i t
ot	o t
pētīju	p eː t iː j u
reperi	r e p e r i
rokijs	r o k i j s
rokturi	r o k t u r i
sept	s e p t
september	s e p t e m b e r
solījumi	s o l iː j u m i
svīst	s v iː s t
sāki	s ɑː k i
too	t oː
tumšu	t u m ʃ u
upēs	u p eː s
veicu	v e i t͡s u
veinu	v e i n u
velku	v e l k u
virspuses	v i r s p u s e s
ēdīs	eː d iː s
bill	b i lː
cilveku	t͡s i l v e k u
cimdu	t͡s i m d u
elektro	e l e k t r o
finišs	f i n i ʃ s
grupējums	ɡ r u p eː j u m s
indi	i n d i
indivīds	i n d i v iː d s
iznākusi	i z n ɑː k u s i
krusti	k r u s t i
links	l i n k s
lēkmes	l eː k m e s
līderus	l iː d e r u s
līs	l iː s
maiņā	m ɑ i ɲ ɑː
meiču	m e i t͡ʃ u
moduli	m o d u l i
motivē	m o t i v eː
nelikšu	n e l i k ʃ u
nezvērs	n e z v eː r s
nopelnu	n o p e l n u
pirkumus	p i r k u m u s
rīkoti	r iː k o t i
sekojoši	s e k o j o ʃ i
sekunde	s e k u n d e
stiprums	s t i p r u m s
sēdētu	s eː d eː t u
tipus	t i p u s
tulīt	t u l iː t
turēšu	t u r eː ʃ u
type	t y p e
tēlus	t eː l u s
vergi	v e r ɡ i
viesīte	v i e s iː t e
virknes	v i r k n e s
zemās	z e m ɑː s
zonām	z o n ɑː m
zīmējumus	z iː m eː j u m u s
eglītis	e ɡ l iː t i s
ieguvēju	i e ɡ u v eː j u
importu	i m p o r t u
izdzēs	i z d͡z eː s
izlēmi	i z l eː m i
izvēlēti	i z v eː l eː t i
jū	j uː
kurt	k u r t
left	l e f t
liki	l i k i
lēkt	l eː k t
mači	m ɑ t͡ʃ i
meloju	m e l o j u
mirušu	m i r u ʃ u
mu	m u
mušu	m u ʃ u
mīti	m iː t i
nekļūsti	n e k ʎ uː s t i
neredzēšu	n e r e d͡z eː ʃ u
nopirksi	n o p i r k s i
novembri	n o v e m b r i
pievilcīgi	p i e v i l t͡s iː ɡ i
pingvīni	p i n ɡ v iː n i
profili	p r o f i l i
slīpi	s l iː p i
sējumu	s eː j u m u
uin	u i n
western	w e s t e r n
zilonis	z i l o n i s
ziloņu	z i l o ɲ u
ām	ɑː m
ūsām	uː s ɑː m
bruņu	b r u ɲ u
celiņu	t͡s e l i ɲ u
dep	d e p
diski	d i s k i
efektus	e f e k t u s
efektīvu	e f e k t iː v u
elku	e l k u
eye	e j e
gruzīnu	ɡ r u z iː n u
gulēsim	ɡ u l eː s i m
gūto	ɡ uː t o
ievērtē	i e v eː r t eː
kritēriji	k r i t eː r i j i
milzīgus	m i l z iː ɡ u s
ministr	m i n i s t r
net	n e t
netiec	n e t i e t͡s
netikt	n e t i k t
nodotu	n o d o t u
noguldījumu	n o ɡ u l d iː j u m u
nogāzes	n o ɡ ɑː z e s
nomiru	n o m i r u
oik	o i k
piekļūtu	p i e k ʎ uː t u
progresīvo	p r o ɡ r e s iː v o
pudelēs	p u d e l eː s
putu	p u t u
rubē	r u b eː
runāsi	r u n ɑː s i
sekojošo	s e k o j o ʃ o
skrēju	s k r eː j u
solim	s o l i m
somām	s o m ɑː m
streičs	s t r e i t͡ʃ s
strīdus	s t r iː d u s
svinību	s v i n iː b u
sēdēšu	s eː d eː ʃ u
timotijs	t i m o t i j s
tēv	t eː v
uzspēlēsim	u z s p eː l eː s i m
veins	v e i n s
vienpusēji	v i e n p u s eː j i
zombijs	z o m b i j s
cepums	t͡s e p u m s
gripu	ɡ r i p u
ienirt	i e n i r t
izdzīvotu	i z d͡z iː v o t u
jogu	j o ɡ u
lenti	l e n t i
lerijs	l e r i j s
luksemburgu	l u k s e m b u r ɡ u
lēkā	l eː k ɑː
lūku	l uː k u
mīkstie	m iː k s t i e
mīlulīt	m iː l u l iː t
mīlīgi	m iː l iː ɡ i
necienīgi	n e t͡s i e n iː ɡ i
netērē	n e t eː r eː
neņemu	n e ɲ e m u
nike	n i k e
nocirst	n o t͡s i r s t
nopietnību	n o p i e t n iː b u
nosūti	n o s uː t i
peldes	p e l d e s
pieveikt	p i e v e i k t
pikniks	p i k n i k s
prezentēs	p r e z e n t eː s
rezolūciju	r e z o l uː t͡s i j u
rūts	r uː t s
sekciju	s e k t͡s i j u
solistu	s o l i s t u
solīji	s o l iː j i
spīdums	s p iː d u m s
strikti	s t r i k t i
sēnītes	s eː n iː t e s
veltīti	v e l t iː t i
versijās	v e r s i j ɑː s
vesti	v e s t i
vērs	v eː r s
vērtēs	v eː r t eː s
win	w i n
zīmoli	z iː m o l i
būtni	b uː t n i
civilo	t͡s i v i l o
dīns	d iː n s
egils	e ɡ i l s
eglīti	e ɡ l iː t i
ekoskolu	e k o s k o l u
ervīns	e r v iː n s
fil	f i l
jūk	j uː k
klīniku	k l iː n i k u
kostīmi	k o s t iː m i
kritumu	k r i t u m u
krišs	k r i ʃ s
krūšturis	k r uː ʃ t u r i s
kursē	k u r s eː
lk	l k
mēreni	m eː r e n i
mīksto	m iː k s t o
nokritis	n o k r i t i s
nospēlēt	n o s p eː l eː t
onkulis	o n k u l i s
oto	o t o
pielietojot	p i e l i e t o j o t
piepildījumu	p i e p i l d iː j u m u
pilnveido	p i l n v e i d o
reisi	r e i s i
retro	r e t r o
rozēm	r o z eː m
skrejceļš	s k r e j t͡s e ʎ ʃ
spektru	s p e k t r u
sprints	s p r i n t s
stili	s t i l i
streiku	s t r e i k u
svinēs	s v i n eː s
sīkums	s iː k u m s
sūtījumus	s uː t iː j u m u s
turēti	t u r eː t i
tvertnē	t v e r t n eː
vilces	v i l t͡s e s
west	w e s t
būvi	b uː v i
cīruļi	t͡s iː r u ʎ i
devēju	d e v eː j u
ekosistēmu	e k o s i s t eː m u
filtru	f i l t r u
flip	f l i p
gulbi	ɡ u l b i
gēni	ɡ eː n i
iecienīts	i e t͡s i e n iː t s
ieinteresēti	i e i n t e r e s eː t i
lzs	l z s
mīkstums	m iː k s t u m s
nosūtītu	n o s uː t iː t u
pieaugošo	p i e ɑ u ɡ o ʃ o
puisītis	p u i s iː t i s
pētījis	p eː t iː j i s
sekotu	s e k o t u
sofiju	s o f i j u
sūnu	s uː n u
tempu	t e m p u
vo	v o
īrēt	iː r eː t
bik	b i k
cienīt	t͡s i e n iː t
desu	d e s u
eksistēt	e k s i s t eː t
frī	f r iː
grupējumu	ɡ r u p eː j u m u
grīns	ɡ r iː n s
ievēlēti	i e v eː l eː t i
izņēmumu	i z ɲ eː m u m u
krūšturi	k r uː ʃ t u r i
kūts	k uː t s
meklējuši	m e k l eː j u ʃ i
nesteidzīgi	n e s t e i d͡z iː ɡ i
novedīs	n o v e d iː s
pildīts	p i l d iː t s
podu	p o d u
prezentē	p r e z e n t eː
pulksteņus	p u l k s t e ɲ u s
riteņi	r i t e ɲ i
sekmēt	s e k m eː t
sintēzi	s i n t eː z i
specifiski	s p e t͡s i f i s k i
steigu	s t e i ɡ u
svītru	s v iː t r u
sūtīts	s uː t iː t s
triku	t r i k u
tuksnesis	t u k s n e s i s
upīte	u p iː t e
urīnu	u r iː n u
villijs	v i lː i j s
vēstnieku	v eː s t n i e k u
zirņi	z i r ɲ i
ēru	eː r u
šūnā	ʃ uː n ɑː
centrus	t͡s e n t r u s
frekvenču	f r e k v e n t͡ʃ u
guvumu	ɡ u v u m u
ingus	i n ɡ u s
izvērst	i z v eː r s t
list	l i s t
meklējumus	m e k l eː j u m u s
motocikli	m o t o t͡s i k l i
must	m u s t
mērījumus	m eː r iː j u m u s
mūks	m uː k s
nemāki	n e m ɑː k i
neturu	n e t u r u
neļausim	n e ʎ ɑ u s i m
nometnēm	n o m e t n eː m
nopelnītu	n o p e l n iː t u
prestižu	p r e s t i ʒ u
provincē	p r o v i n t͡s eː
pūču	p uː t͡ʃ u
sencis	s e n t͡s i s
sfēru	s f eː r u
shit	ʃ i t
sinepes	s i n e p e s
skumju	s k u m j u
slēpās	s l eː p ɑː s
steel	s t eː l
sūtījis	s uː t iː j i s
toņu	t o ɲ u
viņpus	v i ɲ p u s
zolitūde	z o l i t uː d e
dzeršu	d͡z e r ʃ u
dzimušie	d͡z i m u ʃ i e
dāsns	d ɑː s n s
fortu	f o r t u
grims	ɡ r i m s
help	h e l p
ieteikts	i e t e i k t s
inspektoru	i n s p e k t o r u
izbūvēt	i z b uː v eː t
kimi	k i m i
knuts	k n u t s
kokteili	k o k t e i l i
neveiksmēm	n e v e i k s m eː m
nokļuvuši	n o k ʎ u v u ʃ i
peldu	p e l d u
piespēlēm	p i e s p eː l eː m
pēdās	p eː d ɑː s
referendumu	r e f e r e n d u m u
rozīnes	r o z iː n e s
slēdzi	s l eː d͡z i
sojuz	s o j u z
specifisku	s p e t͡s i f i s k u
stūris	s t uː r i s
stūrītis	s t uː r iː t i s
sējējs	s eː j eː j s
tulku	t u l k u
veču	v e t͡ʃ u
virzīt	v i r z iː t
vēstulēs	v eː s t u l eː s
zemledus	z e m l e d u s
zvērests	z v eː r e s t s
zīmei	z iː m e i
bikstu	b i k s t u
būtņu	b uː t ɲ u
egoisms	e ɡ o i s m s
eriks	e r i k s
ieguldījumi	i e ɡ u l d iː j u m i
ieslodzīti	i e s l o d͡z iː t i
ikonu	i k o n u
interjeru	i n t e r j e r u
iziesim	i z i e s i m
izturīgi	i z t u r iː ɡ i
jrt	j r̩ t
kritisko	k r i t i s k o
ledū	l e d uː
likmēm	l i k m eː m
lno	l n o
loki	l o k i
minētie	m i n eː t i e
mīkstu	m iː k s t u
nejēdzīgi	n e j eː d͡z iː ɡ i
nesēju	n e s eː j u
piekritēji	p i e k r i t eː j i
pimpis	p i m p i s
prestižo	p r e s t i ʒ o
promo	p r o m o
pusīti	p u s iː t i
pīts	p iː t s
reto	r e t o
rinkēvičs	r i n k eː v i t͡ʃ s
rubenis	r u b e n i s
runām	r u n ɑː m
solisti	s o l i s t i
spring	s p r i n ɡ
suvenīru	s u v e n iː r u
tiri	t i r i
tulks	t u l k s
tulpju	t u l p j u
tērpus	t eː r p u s
vēstī	v eː s t iː
šekspīrs	ʃ e k s p iː r s
šķidro	ʃ t͡ʃ i d r o
budistu	b u d i s t u
ceļojot	t͡s e ʎ o j o t
dildo	d i l d o
glīti	ɡ l iː t i
ilgo	i l ɡ o
je	j e
kuldīgu	k u l d iː ɡ u
kultūrvēstures	k u l t uː r v eː s t u r e s
letes	l e t e s
lo	l o
meklējumu	m e k l eː j u m u
misionāru	m i s i o n ɑː r u
motīvu	m o t iː v u
mēlē	m eː l eː
mēms	m eː m s
nolikts	n o l i k t s
notekūdeņu	n o t e k uː d e ɲ u
novietoti	n o v i e t o t i
novirzīti	n o v i r z iː t i
pilnvērtīgu	p i l n v eː r t iː ɡ u
pirkumu	p i r k u m u
protestu	p r o t e s t u
pīteru	p iː t e r u
resurss	r e s u r sː
segumi	s e ɡ u m i
sep	s e p
siguldu	s i ɡ u l d u
sinonīmi	s i n o n iː m i
spermu	s p e r m u
spēsim	s p eː s i m
veiktie	v e i k t i e
veltīgi	v e l t iː ɡ i
verdzību	v e r d͡z iː b u
vēlēt	v eː l eː t
zole	z o l e
zudumu	z u d u m u
zīlītes	z iː l iː t e s
žīdu	ʒ iː d u
cilv	t͡s i l v
devām	d e v ɑː m
dzērusi	d͡z eː r u s i
dūņu	d uː ɲ u
einšteins	e i n ʃ t e i n s
elfi	e l f i
funkcionē	f u n k t͡s i o n eː
grūtu	ɡ r uː t u
indivīdi	i n d i v iː d i
izjūti	i z j uː t i
