на	n a
губой	ɡ u b ɔ j
гёте	ɡ j ɔ tʲ ɛ
декретом	d ɛ k rʲ ɛ t ɔ m
дип	d i p
добрынин	d ɔ b r i n i n
дорогому	d ɔ r ɔ ɡ ɔ m u
дск	d s k
еси	j ɛ s i
забытая	z a b i t a j a
заправка	z a p r a w̜ k a
заходя	z a x ɔ dʲ a
зимина	z i m i n a
зс	z ə s
изобрести	j z ɔ b rʲ ɛ s tʲ i
икт	j i k t
кабельное	k a bʲ ɛ lʲ n ɔ j ɛ
казарм	k a z a r m
калитку	k a ɮ i tʰ k u
капустин	k a p u s tʲ i n
катей	k a tʲ ɛ j
кашей	k a ɕ ɛ j
клинт	k l i n t
клинтона	k l i n t ɔ n a
клубника	k l u b n i k a
кожаная	k ɔ ʑ a n a j a
конная	k ɔ n n a j a
косвенных	k ɔ s ʋ ɛ n n i x
косить	k ɔ s i tʲ
краматорска	k r a m a tʰ ɔ r s k a
красит	k r a s i t
краснеть	k r a s nʲ ɛ tʲ
кредите	k rʲ ɛ d i tʲ ɛ
крокус	k r ɔ k u s
крутом	k r u t ɔ m
крыме	k r i mʲ ɛ
крэйг	k r e i ɡ
курящих	k u rʲ a ɕ t͡ɕ i x
кэй	k e i
лимоны	l i m ɔ n i
линдсей	l i n d s ɛ j
лоза	l ɔ z a
мадагаскара	m a d a ɣ a s k a r a
маск	m a s k
матиас	m a tʲ i̯ aː s
матроса	m a tʰ r ɔ s a
меньшем	m ɛ n ɪ ɕ ɛ m
меняешь	m ɛ n j ɛ ɕ ɪ
мирской	m i r s k ɔ j
мокрое	m ɔ k r ɔ j ɛ
монахинь	m ɔ n a x i nʲ
мориса	m ɔ r i s a
накопил	n a k ɔ pʲ i l
напомни	n a p ɔ m n i
натереть	n a tʲ ɛ rʲ ɛ tʲ
начинание	n a t͡ɕ i n a n i j ɛ
некоему	n ɛ k ɔ j ɛ m u
нин	n i n
носи	n ɔ s i
обихода	ɔ b i x ɔ d a
обком	ɔ b k ɔ m
обоз	ɔ b ɔ z
оградой	ɔ ɡ r a d ɔ j
осужденным	ɔ s u ʑ d͡ʑ ɛ n n i m
охлаждением	ɔ x ɮ a ʑ d͡ʑ ɛ n i j ɛ m
оэср	o e s r
пешка	pʲ ɛ ɕ k a
пинка	p i n k a
пленника	p lʲ ɛ n n i k a
поглощать	p ɔ ɡ l ɔ ɕ t͡ɕ a tʲ
подведение	p ɔ d ʋ ɛ d ɛ n i j ɛ
поддержано	p ɔ d dʲ ɛ r ʑ a n o
подлинно	p ɔ d l i n n o
подростку	p ɔ d r ɔ s t k u
ползти	p ɔ l z tʲ i
получало	p ɔ l u t͡ɕ a l o
помещено	p ɔ mʲ ɛ ɕ t͡ɕ ɛ n o
понаслышке	p ɔ n a s l i ɕ kʲ ɛ
поплакать	p ɔ p l a k a tʲ
праха	p r a x a
предкам	p rʲ ɛ d k a m
престижного	p rʲ ɛ s tʲ i ʑ n o ɡ o
претензия	p rʲ ɛ tʲ ɛ n z i j a
пробую	p r ɔ b u j u
пролил	p r ɔ l i l
пропускаю	p r ɔ p u s k a j u
профессорско	p r ɔ fʲ ɛ s s ɔ r s k ɔ
профсоюзные	p r ɔ f s ɔ j u z n i j ɛ
рабыня	r a b i nʲ a
разыграны	r a z i ɡ r a n i
режиссуру	rʲ ɛ ʑ i s s u r u
решётку	rʲ ɛ ɕ j ɔ t k u
рику	r i k u
розыгрыши	r ɔ z i ɡ r i ɕ i
россиянину	r ɔ s i j a n i n u
ротару	r ɔ t a r u
салам	s a ɮ a m
сахалинская	s a x a ɮ i n s k a j a
сбиты	s b i t i
свит	s ʋ i t
сербией	s ɛ r b i j ɛ j
сигары	s i ɡ a r i
симпатией	s i m p a tʲ i j ɛ j
следственном	s l ɛ d s t ʋ ɛ n n o m
сложны	s l ɔ ʑ n i
смутные	s m u t n i j ɛ
снятию	s nʲ a tʲ i j u
совокупная	s ɔ ʋ ɔ k u p n a j a
создам	s ɔ z d a m
ссуду	s s u d u
столике	s t ɔ l i kʲ ɛ
сш	s ɕ
сыграно	s i ɡ r a n o
така	t a k a
тана	t a n a
темпл	tʲ ɛ m p ə l
томском	t ɔ m s k ɔ m
ударно	u d a r n o
усложнить	u s l ɔ ʑ n i tʲ
утолить	u t ɔ l i tʲ
утренним	u t rʲ ɛ n n i m
учебнику	u t͡ɕ ɛ b n i k u
уэллса	u e ɮ ɮ s a
фигурку	f i ɡ u r k u
философским	f i ɮ ɔ s ɔ f s k i m
формируя	f ɔ r m i r u j a
франсуаза	f r a n s u a z a
фуд	f u d
хребте	x rʲ ɛ b tʲ ɛ
чар	t͡ɕ a r
черкесии	t͡ɕ ɛ r kʲ ɛ s i j
чит	t͡ɕ i t
шнура	ɕ n u r a
эст	e s t
юноше	j u n ɔ ɕ ɛ
языкознание	j a z i k ɔ z n a n i j ɛ
яс	j a s
batman	b a t m a n
bo	b o
chase	t͡ʃ a s e
doctor	d o k t o r
gone	ɡ o n e
io	i o
local	l o k a l
rap	r a p
report	r e p o r t
solar	s o l a r
sunrise	s u n r i s e
win	w i n
азбуки	a z b u kʲ
алены	a ɮʲ ɛ n i
амос	a m ɔ s
антей	a n tʲ ɛ j
баллоны	b a ɮː ɔ n i
барсы	b a r s i
басист	b a s i s t
беднее	b ɛ d n ɛ j ɛ
беззакония	b ɛ z z a k ɔ n i j a
биение	b i j ɛ n i j ɛ
брент	b rʲ ɛ n t
бродяг	b r ɔ d j a ɡ
бубен	b u b ɛ n
бурей	b u rʲ ɛ j
взвешивания	ʋ z ʋ ɛ ɕ i ʋ a n i j a
водоем	ʋ ɔ d ɔ j ɛ m
возведению	ʋ ɔ z ʋ ɛ d ɛ n i j u
возложение	ʋ ɔ z l ɔ ʑ ɛ n i j ɛ
войску	ʋ ɔ j s k u
волоса	ʋ ɔ l ɔ s a
воплощать	ʋ ɔ p l ɔ ɕ t͡ɕ a tʲ
ворскла	ʋ ɔ r s k l a
воском	ʋ ɔ s k ɔ m
восприятию	ʋ ɔ s p r i j a tʲ i j u
воссоздание	ʋ ɔ s s ɔ z d a n i j ɛ
вояж	ʋ ɔ j a ʒ
вск	ʋ s k
выгодную	ʋ i ɡ ɔ d n u j u
вынужденным	ʋ i n u ʑ d͡ʑ ɛ n n i m
вышку	ʋ i ɕ k u
гадания	ɡ a d a n i j a
гадюка	ɡ a dʲ u k a
генеральные	ɡ ɛ n ɛ r a lʲ n i j ɛ
голо	ɡ ɔ l o
горную	ɡ ɔ r n u j u
грэй	ɡ r e i
гум	ɡ u m
густых	ɡ u s t i x
депп	d ɛ p p
дерьмово	d ɛ r ɪ m ɔ ʋ ɔ
дизельные	d i z ɛ l ɪ n i j ɛ
дозе	d ɔ z ɛ
доколе	d ɔ k ɔ lʲ ɛ
драфте	d r a f tʲ ɛ
дуру	d u r u
забытой	z a b i tʰ ɔ j
заемщика	z a j ɛ m ɕ i k a
занесены	z a nʲ ɛ s ɛ n i
засыпаю	z a s i p a j u
зис	z i s
знамения	z n a mʲ ɛ n i j a
избегайте	i z bʲ ɛ ɡ ɛː tʲ ɛ
иихф	j i x f
казармах	k a z a r m a x
карабах	k a r a b a x
каролину	k a r ɔ l i n u
клиффорд	k l i f f ɔ r d
колина	k ɔ l i n a
колонией	k ɔ l ɔ n i j ɛ j
коляской	k ɔ lʲ a s k ɔ j
конфетка	k ɔ n fʲ ɛ t k a
корпусах	k ɔ r p u s a x
кратным	k r a tʰ n i m
кристально	k r i s t a lʲ n o
крофт	k r ɔ f t
крючком	k rʲ u t͡ɕ k ɔ m
кряду	k rʲ a d u
куки	k u kʲ
кулинарных	k u ɮ i n a r n i x
кучку	k u t͡ɕ k u
ладонью	l a d ɔ nʲ j u
леночка	l ɛ n ɔ t͡ɕ k a
лимиты	l i m i t i
лозы	l ɔ z i
малдер	m a ɮ dʲ ɛ r
мамаши	m a m a ɕ i
маршрутных	m a r ɕ r u t n i x
мерзкое	m ɛ r z k ɔ j ɛ
меркурия	m ɛ r k u r i j a
мрот	m r ɔ t
мясная	mʲ a s n a j a
надёжно	n a dʲ ɔ ʑ n o
настю	n a s tʲ u
натуру	n a tʰ u r u
натянуть	n a tʲ a n u tʲ
недурно	n ɛ d u r n o
непризнанной	n ɛ p r i z n a n n ɔ j
несовершенство	n ɛ s ɔ ʋ ɛ r ɕ ɛ n s t ʋ ɔ
николс	n i k ɔ l s
номинальная	n ɔ m i n a lʲ n a j a
нра	n r a
обилия	ɔ b i l i j a
облил	ɔ b l i l
объединит	ɔ b j ɛ d i n i t
одре	ɔ d rʲ ɛ
означала	ɔ z n a t͡ɕ a l a
окраина	ɔ k r a j i n a
ослабляет	ɔ s l a b ɮʲ a j ɛ t
пластмасс	p l a s t m a s s
плиткой	p l i t k ɔ j
плоско	p l ɔ s k ɔ
подведем	p ɔ d ʋ ɛ d ɛ m
подогнать	p ɔ d ɔ ɡ n a tʲ
подъему	p ɔ d ʊ j ɛ m u
последовательное	p ɔ s lʲ ɛ d ɔ ʋ a tʲ ɛ l ɪ n ɔ j ɛ
последующими	p ɔ s lʲ ɛ d u j u ɕ t͡ɕ i m i
поющие	p ɔ j u ɕ t͡ɕ i j ɛ
предохранитель	p rʲ ɛ d ɔ x r a n i tʲ ɛ lʲ ɪ
прет	p rʲ ɛ t
пришедшая	p r i ɕ ɛ d ɕ a j a
пробуют	p r ɔ b u j u t
профильных	p r ɔ f i lʲ n i x
проходу	p r ɔ x ɔ d u
прочую	p r ɔ t͡ɕ u j u
пушистые	p u ɕ i s t i j ɛ
разгонять	r a z ɡ ɔ nʲ a tʲ
расслоение	r a s s l ɔ j ɛ n i j ɛ
раст	r a s t
раф	r a f
рваные	r ʋ a n i j ɛ
ришелье	r i ɕ ɛ l ɪ j ɛ
рияд	r i j a d
ркк	r k k
рождена	r ɔ ʑ d͡ʑ ɛ n a
салатом	s a ɮ a t ɔ m
самосознание	s a m ɔ s ɔ z n a n i j ɛ
самоходных	s a m ɔ x ɔ d n i x
сваи	s ʋ a j
сведет	s ʋ ɛ d ɛ t
свело	s ʋ ɛ l o
светлов	s ʋ ɛ t l ɔ ʋ
свиные	s ʋ i n i j ɛ
сене	s ɛ n ɛ
сингла	s i ŋ ɡ l a
синдзи	s i n d͡z i
скандальная	s k a n d a ɮʲ n a j a
смазка	s m a z k a
сметана	s mʲ ɛ t a n a
сметану	s mʲ ɛ t a n u
смо	s m ɔ
смородина	s m ɔ r ɔ d i n a
сношения	s n ɔ ɕ ɛ n i j a
советнику	s ɔ ʋ ɛ t n i k u
советуем	s ɔ ʋ ɛ t u j ɛ m
соединенным	s ɔ j ɛ d i n ɛ n n i m
сожрал	s ɔ ʑ r a l
сокрытия	s ɔ k r i tʲ i j a
срать	s r a tʲ
ставшим	s t a w ɕ i m
старуху	s t a r u x u
стволе	s t ʋ ɔ lʲ ɛ
стрелком	s t rʲ ɛ l k ɔ m
строг	s t r ɔ ɡ
субару	s u b a r u
съезду	s j ɛ z d u
тол	t ɔ l
тонут	t ɔ n u t
тпу	t p u
трусости	t r u s ɔ s tʲ i
туризме	t u r i z mʲ ɛ
тётка	tʲ ɔ t k a
убитая	u b i t a j a
угощать	u ɡ ɔ ɕ t͡ɕ a tʲ
угрозах	u ɡ r ɔ z a x
узко	u z k ɔ
укрылись	u k r i ɮ i s ɪ
умершие	u mʲ ɛ r ɕ i j ɛ
упомянуты	u p ɔ mʲ a n u t i
употребил	u p ɔ t rʲ ɛ b i l
учением	u t͡ɕ ɛ n i j ɛ m
федерер	f ɛ d ɛ r ɛ r
филлипса	f i ɮː i p s a
фонариком	f ɔ n a r i k ɔ m
фрая	f r a j a
хлопать	x ɮ ɔ p a tʲ
честнее	t͡ɕ ɛ s t n ɛ j ɛ
чистит	t͡ɕ i s tʲ i t
шабаш	ɕ a b a ɕ
штерн	ɕ tʲ ɛ r n
щуки	ɕ u kʲ
burger	b u r ɡ e r
check	t͡ʃ e k
div	d i v
dos	d o s
fish	f i ʃ
ost	o s t
pocket	p o k e t
police	p o l i t͡ʃ e
qu	k u
tales	t a l e s
адамса	a d a m s a
алмаза	a ɮ m a z a
арбузы	a r b u z i
аферы	a fʲ ɛ r i
баранины	b a r a n i n i
белу	b ɛ l u
бени	b ɛ n i
близкому	b l i z k ɔ m u
брит	b r i t
велению	ʋ ɛ l ɛ n i j u
великодушно	ʋ ɛ l i k ɔ d u ɕ n o
возникала	ʋ ɔ z n i k a l a
вокальные	ʋ ɔ k a lʲ n i j ɛ
воскресных	ʋ ɔ s k rʲ ɛ s n i x
выговорить	ʋ i ɡ ɔ ʋ ɔ r i tʲ
вынужденная	ʋ i n u ʑ d͡ʑ ɛ n n a j a
выпады	ʋ i p a d i
гам	ɡ a m
гаммы	ɡ a m m i
гарантом	ɡ a r a n tʰ ɔ m
геббельс	ɡ ɛ b b ɛ l ɪ s
гидра	ɡ i d r a
гордитесь	ɡ ɔ r d i tʲ ɛ s ɪ
грехе	ɡ rʲ ɛ xʲ ɛ
дверные	d ʋ ɛ r n i j ɛ
доведение	d ɔ ʋ ɛ d ɛ n i j ɛ
занимающие	z a n i m a j u ɕ t͡ɕ i j ɛ
запуски	z a p u s kʲ
затормозить	z a tʰ ɔ r m ɔ z i tʲ
игумена	i ɡ u mʲ ɛ n a
измаил	j z m a j i l
иржи	j i r ʑ i
исходящих	j i s x ɔ dʲ a ɕ t͡ɕ i x
йоге	j ɔ ɡʲ ɛ
кабельные	k a bʲ ɛ lʲ n i j ɛ
казанских	k a z a n s kʲ i x
камы	k a m i
карамзина	k a r a m z i n a
клим	k l i m
клифф	k l i f f
командирам	k ɔ m a n d i r a m
корсет	k ɔ r s ɛ t
криминала	k r i m i n a l a
кристофа	k r i s t ɔ f a
кубой	k u b ɔ j
кузена	k u z ɛ n a
кузнецком	k u z nʲ ɛ t͡sʰ k ɔ m
ланки	l a ŋ kʲ
леннона	l ɛ n n o n a
лишено	l i ɕ ɛ n o
лопатин	l ɔ p a tʲ i n
маня	m a nʲ a
мастей	m a s tʲ ɛ j
махом	m a x ɔ m
мирза	m i r z a
монархию	m ɔ n a r x i j u
морзе	m ɔ r z ɛ
наголо	n a ɡ ɔ l o
назар	n a z a r
нанимают	n a n i m a j u t
настасья	n a s t a sʲ j a
нововведение	n ɔ ʋ ɔ ʋ ʋ ɛ d ɛ n i j ɛ
норе	n ɔ rʲ ɛ
нутро	n u t r o
обманут	ɔ b m a n u t
обсуждением	ɔ b s u ʑ d͡ʑ ɛ n i j ɛ m
обучающих	ɔ b u t͡ɕ a j u ɕ t͡ɕ i x
овальные	ɔ ʋ a lʲ n i j ɛ
озу	ɔ z u
осколком	ɔ s k ɔ l k ɔ m
отпуском	ɔ t p u s k ɔ m
падая	p a d a j a
погубил	p ɔ ɡ u b i l
подобия	p ɔ d ɔ b i j a
подойдя	p ɔ d ɔ j dʲ a
подсобных	p ɔ d s ɔ b n i x
позабыть	p ɔ z a b i tʲ
позволите	p ɔ z ʋ ɔ l i tʲ ɛ
полету	p ɔ lʲ ɛ t u
помирать	p ɔ m i r a tʲ
помоложе	p ɔ m ɔ l ɔ ʑ ɛ
порезал	p ɔ rʲ ɛ z a l
предала	p rʲ ɛ d a l a
пригодные	p r i ɡ ɔ d n i j ɛ
приемного	p r i j ɛ m n o ɡ o
признаний	p r i z n a n i j
пропускную	p r ɔ p u s k n u j u
проходящая	p r ɔ x ɔ dʲ a ɕ t͡ɕ a j a
прочем	p r ɔ t͡ɕ ɛ m
прядь	p rʲ a dʲ
пхукет	p x u kʲ ɛ t
радужные	r a d u ʑ n i j ɛ
расширяя	r a s ɕ i rʲ a j a
режимами	rʲ ɛ ʑ i m ɑ m i
рискуешь	r i s k u j ɛ ɕ ɪ
розни	r ɔ z n i
сибирским	s i b i r s k i m
симпсона	s i m p s ɔ n a
сказочной	s k a z ɔ t͡ɕʰ n ɔ j
скачут	s k a t͡ɕ u t
слышна	s l i ɕ n a
снаряжением	s n a rʲ a ʑ ɛ n i j ɛ m
снятой	s nʲ a t ɔ j
соглашениях	s ɔ ɡ l a ɕ ɛ n i j a x
старту	s t a r tʰ u
стенли	s tʲ ɛ n l i
страданиях	s t r a d a n i j a x
стучал	s t u t͡ɕ a l
судимость	s u d i m ɔ s tʲ
сыты	s i t i
темах	tʲ ɛ m ə x
терраса	tʲ ɛ r r a s a
томасу	t ɔ m a s u
томографии	t ɔ m ɔ ɡ r a f i j
топологии	t ɔ p ɔ l ɔ ɡ i j
тошнило	t ɔ ɕ n i l o
угостил	u ɡ ɔ s tʲ i l
ударам	u d a r a m
уединение	u j ɛ d i n ɛ n i j ɛ
устно	u s t n o
утешать	u tʲ ɛ ɕ a tʲ
финским	f i n s k i m
фирмам	f i r m a m
флор	f l ɔ r
флэша	f l e ɕ a
формальная	f ɔ r m a lʲ n a j a
фургона	f u r ɡ ɔ n a
хантера	x a n tʲ ɛ r a
холсте	x ɔ l s tʲ ɛ
храп	x r a p
хэл	x e ɮ
четким	t͡ɕ ɛ t k i m
чудные	t͡ɕ u d n i j ɛ
эсер	e s ɛ r
эфирные	e f i r n i j ɛ
ярком	j a r k ɔ m
bus	b u s
electronic	e l e k t r ɔ n i k
fund	f u n d
globe	ɡ l o b e
neo	n e o
order	o r d e r
republic	r e p u b l i k
ride	r i d e
simple	s i m p l e
агонии	a ɡ ɔ n i j
адресной	a d rʲ ɛ s n ɔ j
алины	a ɮ i n i
алхимии	a ɮ x i m i j
алхимия	a ɮ x i m i j a
анестезии	a nʲ ɛ s tʲ ɛ z i j
анюта	a nʲ u t a
афанасия	a f a n a s i j a
бакли	b a k l i
бездомные	b ɛ z d ɔ m n i j ɛ
бернс	b ɛ r n s
бесплодия	b ɛ s p l ɔ d i j a
божественным	b ɔ ʑ ɛ s t ʋ ɛ n n i m
бота	b ɔ t a
ватерлоо	ʋ a tʲ ɛ r l oː
ведьмой	ʋ ɛ d ɪ m ɔ j
видимая	ʋ i d i m a j a
виконт	ʋ i k ɔ n t
вить	ʋ i tʲ
вложенных	ʋ l ɔ ʑ ɛ n n i x
внёс	ʋ nʲ ɔ s
возит	ʋ ɔ z i t
воинскими	ʋ ɔ j i n s k i m i
войнам	ʋ ɔ j n a m
всемирные	ʋ s ɛ m i r n i j ɛ
выпуклые	ʋ i p u k l i j ɛ
вырабатывают	ʋ i r a b a tʰ i ʋ a j u t
гарт	ɡ a r tʰ
генштаб	ɡ ɛ n ɕ t a b
гибридного	ɡ i b r i d n o ɡ o
гонял	ɡ ɔ nʲ a l
грима	ɡ r i m a
гриффит	ɡ r i f f i t
длин	d l i n
доведя	d ɔ ʋ ɛ d j a
доку	d ɔ k u
дул	d u l
дуло	d u l o
дюжину	dʲ u ʑ i n u
задумала	z a d u m a ɮ a
заправку	z a p r a w̜ k u
зум	z u m
зума	z u m a
искру	j i s k r u
кассира	k a s i r a
кисель	k i s ɛ l ɪ
клерк	k lʲ ɛ r k
клики	k l i kʲ
клипперс	k l i p pʲ ɛ r s
кожаных	k ɔ ʑ a n i x
кончике	k ɔ n t͡ɕ i kʲ ɛ
криминал	k r i m i n a l
кричите	k r i t͡ɕ i tʲ ɛ
кроликом	k r ɔ l i k ɔ m
кухонь	k u x ɔ nʲ
ланс	l a n s
литургия	l i tʰ u r ɡ i j a
лишило	l i ɕ i l o
малышкой	m a l i ɕ k ɔ j
мати	m a tʲ i
мифи	m i f i
моторс	m ɔ t ɔ r s
небесным	n ɛ b ɛ s n i m
неплохую	n ɛ p l ɔ x u j u
неповиновения	n ɛ p ɔ ʋ i n o ʋ ɛ n i j a
неполная	n ɛ p ɔ l n a j a
нормана	n ɔ r m a n a
ны	n i
обменные	ɔ b m ɛ n n i j ɛ
окисление	ɔ k i s lʲ ɛ n i j ɛ
оконных	ɔ k ɔ n n i x
освещал	ɔ s ʋ ɛ ɕ t͡ɕ a l
охранные	ɔ x r a n n i j ɛ
падающие	p a d a j u ɕ t͡ɕ i j ɛ
падающих	p a d a j u ɕ t͡ɕ i x
пизду	p i z d u
питать	p i t a tʲ
питерс	p i tʲ ɛ r s
пла	p l a
плоское	p l ɔ s k ɔ j ɛ
плоском	p l ɔ s k ɔ m
погостить	p ɔ ɡ ɔ s tʲ i tʲ
подругам	p ɔ d r u ɡ a m
пожилую	p ɔ ʑ i l u j u
покера	p ɔ kʲ ɛ r a
пометкой	p ɔ mʲ ɛ t k ɔ j
помыслы	p ɔ m i s l i
попку	p ɔ p k u
потряс	p ɔ t rʲ a s
пофигу	p ɔ f i ɡ u
пражской	p r a ʑ s k ɔ j
прибавка	p r i b a w̜ k a
примерные	p r i m ɛ r n i j ɛ
припять	p r i pʲ a tʲ
прокатит	p r ɔ k a tʲ i t
прохождением	p r ɔ x ɔ ʑ d͡ʑ ɛ n i j ɛ m
прохождению	p r ɔ x ɔ ʑ d͡ʑ ɛ n i j u
пьём	p j ɔ m
разгромом	r a z ɡ r ɔ m ɔ m
раменском	r a mʲ ɛ n s k ɔ m
римском	r i m s k ɔ m
рукою	r u k ɔ j u
руна	r u n a
санки	s a ŋ kʲ
свержению	s ʋ ɛ r ʑ ɛ n i j u
сенсор	s ɛ n s ɔ r
склонам	s k l ɔ n a m
ско	s k ɔ
скупают	s k u p a j u t
солидно	s ɔ l i d n o
солидные	s ɔ l i d n i j ɛ
соню	s ɔ nʲ u
сосудах	s ɔ s u d a x
сочтет	s ɔ t͡ɕ tʲ ɛ t
сочтут	s ɔ t͡ɕ t u t
старр	s t a r r
съёмка	s j ɔ m k a
таисия	t a j s i j a
тама	t a m a
тезиса	tʲ ɛ z i s ɑ
тормозные	t ɔ r m ɔ z n i j ɛ
туманно	t u m a n n o
туп	t u p
тупике	t u p i kʲ ɛ
тюремным	tʲ u rʲ ɛ m n i m
тяге	tʲ a ɡʲ ɛ
уборы	u b ɔ r i
удобна	u d ɔ b n a
упора	u p ɔ r a
упразднить	u p r a z d n i tʲ
услышаны	u s l i ɕ a n i
утомляет	u t ɔ m ɮʲ a j ɛ t
утюг	u tʲ u ɡ
учениями	u t͡ɕ ɛ n i j a m i
фара	f a r a
флоре	f l ɔ rʲ ɛ
фока	f ɔ k a
фомы	f ɔ m i
фосфорных	f ɔ s f ɔ r n i x
фотка	f ɔ t k a
хаты	x a tʰ i
хиро	x i r o
частичную	t͡ɕ a s tʲ i t͡ɕʰ n u j u
численно	t͡ɕ i s lʲ ɛ n n o
штопор	ɕ t ɔ p ɔ r
beta	b e t a
child	t͡ʃ i l d
dell	d e l
dogs	d o ɡ s
nirvana	n i r v a n a
premium	p r e m i u m
tekken	t e k k e n
use	u s e
wolf	w o l f
zone	z o n e
алроса	a ɮ r ɔ s a
ань	a nʲ
атаманы	a tʰ a m a n i
ахмеда	a x mʲ ɛ d a
балконы	b a ɮ k ɔ n i
бард	b a r d
беннет	b ɛ n n ɛ t
бинты	b i n t i
болотные	b ɔ l ɔ t n i j ɛ
вагина	ʋ a ɡ i n a
валютным	ʋ a ɮʲ u t n i m
вечен	ʋ ɛ t͡ɕ ɛ n
вечерком	ʋ ɛ t͡ɕ ɛ r k ɔ m
взрослое	ʋ z r ɔ s l ɔ j ɛ
викарий	ʋ i k a r i j
вкс	ʋ k s
внушают	ʋ n u ɕ a j u t
войске	ʋ ɔ j s kʲ ɛ
волоске	ʋ ɔ l ɔ s kʲ ɛ
воспринимаем	ʋ ɔ s p r i n i m ɑ j ɛ m
восхищаются	ʋ ɔ s x i ɕ t͡ɕ a j u t sʲ a
вреден	ʋ rʲ ɛ d ɛ n
вступ	ʋ s t u p
выгоняют	ʋ i ɡ ɔ nʲ a j u t
выдало	ʋ i d a l o
вымпел	ʋ i m pʲ ɛ l
вырубить	ʋ i r u b i tʲ
высадил	ʋ i s a d i l
высш	ʋ i s ɕ
выхино	ʋ i x i n o
выходными	ʋ i x ɔ d n i m i
вьетнамом	ʋ j ɛ t n a m ɔ m
гипса	ɡ i p s a
годе	ɡ ɔ dʲ ɛ
данью	d a nʲ j u
двойными	d ʋ ɔ j n i m i
десмонд	d ɛ s m ɔ n d
джинн	d͡ʑ i n
дикость	d i k ɔ s tʲ
дину	d i n u
дит	d i t
донском	d ɔ n s k ɔ m
задайте	z a d ɛː tʲ ɛ
занятию	z a nʲ a tʲ i j u
запиши	z a pʲ i ɕ i
звуке	z ʋ u kʲ ɛ
злаки	z ɮ a kʲ
значатся	z n a t͡ɕ a tʲ sʲ a
значком	z n a t͡ɕ k ɔ m
идеалам	i d ɛ a l a m
именных	i m ɛ n n i x
исмаил	i s m a j i l
кабул	k a b u l
казах	k a z a x
кармы	k a r m i
клонит	k l ɔ n i t
клубнику	k l u b n i k u
кнопке	k n ɔ p kʲ ɛ
колоссальное	k ɔ l ɔ s s a lʲ n ɔ j ɛ
комету	k ɔ mʲ ɛ t u
кормом	k ɔ r m ɔ m
корму	k ɔ r m u
корням	k ɔ r nʲ a m
кра	k r a
краснодарской	k r a s n ɔ d a r s k ɔ j
крючка	k rʲ u t͡ɕ k a
ланка	l a ŋ k a
лидирующие	l i d i r u j u ɕ t͡ɕ i j ɛ
лимана	l i m a n a
лиры	l i r i
лишат	l i ɕ a t
льдах	ɮʲ ɪ d ə x
мару	m a r u
маслу	m a s ɮ u
медная	m ɛ d n a j a
мозгах	m ɔ z ɡ a x
монографию	m ɔ n ɔ ɡ r a f i j u
мраморной	m r a m ɔ r n ɔ j
мраморные	m r a m ɔ r n i j ɛ
мудрое	m u d r ɔ j ɛ
мышью	m i ɕ j u
мясу	mʲ a s u
наладил	n a ɮ a dʲ i l
намекал	n a mʲ ɵ k a l
нанесена	n a nʲ ɛ s ɛ n a
наркоз	n a r k ɔ z
наркоза	n a r k ɔ z a
нары	n a r i
натурал	n a tʰ u r a ɮ
негодяя	n ɛ ɡ ɔ d j a j a
негоже	n ɛ ɡ ɔ ʑ ɛ
неосознанно	n ɛ o s ɔ z n a n n o
несущего	n ɛ s u ɕ t͡ɕ ɛ ɡ ɔ
неудобные	n ɛ u d ɔ b n i j ɛ
ный	n i i
обменных	ɔ b m ɛ n n i x
одина	ɔ d i n a
окнам	ɔ k n a m
опаской	ɔ p a s k ɔ j
оповещение	ɔ p ɔ ʋ ɛ ɕ t͡ɕ ɛ n i j ɛ
орду	ɔ r d u
орут	ɔ r u t
основаниями	ɔ s n ɔ ʋ a n i j a m i
оста	ɔ s t a
отбросил	ɔ t b r ɔ s i l
отослать	ɔ t ɔ s l a tʲ
отречения	ɔ t rʲ ɛ t͡ɕ ɛ n i j a
отчаянная	ɔ t t͡ɕ a j a n n a j a
палас	p a ɮ a s
пау	p a u
первенств	p ɛ r ʋ ɛ n s t ʋ
пешие	p ɛ ɕ i j ɛ
повержен	p ɔ ʋ ɛ r ʑ ɛ n
погрузить	p ɔ ɡ r u z i tʲ
подам	p ɔ d a m
поданных	p ɔ d a n n i x
подробных	p ɔ d r ɔ b n i x
покоях	p ɔ k ɔ j a x
полынь	p ɔ l i nʲ
полярным	p ɔ lʲ a r n i m
понятии	p ɔ nʲ a tʲ i j
порезы	p ɔ rʲ ɛ z i
постирать	p ɔ s tʲ i r a tʲ
преданий	p rʲ ɛ d a n i j
припяти	p r i pʲ a tʲ i
пристал	p r i s t a l
пробились	p r ɔ b i l i s ɪ
проводимости	p r ɔ ʋ ɔ d i m ɔ s tʲ i
прогрессии	p r ɔ ɡ rʲ ɛ s s i j
прокляты	p r ɔ k lʲ a tʲ i
проскочить	p r ɔ s k ɔ t͡ɕ i tʲ
псом	p s ɔ m
птичку	p tʲ i t͡ɕ k u
пухом	p u x ɔ m
рабам	r a b a m
разборка	r a z b ɔ r k a
разорение	r a z ɔ rʲ ɛ n i j ɛ
резал	rʲ ɛ z a l
рэмси	r e m s i
рюмки	rʲ u m kʲ i
салюта	s a ɮʲ u t a
сахары	s a x a r i
сбоя	s b ɔ j a
